Delaware,350,UNC Wilmington,48
19:18,350,Devontae Cacok Defensive Rebound.,31,28
19:05,350,Ty Taylor II missed Jumper.,31,28
19:05,48,Eric Carter Defensive Rebound.,31,28
18:40,48,Chyree Walker made Three Point Jumper. Assisted by Ryan Daly.,34,28
18:13,350,Marcus Bryan missed Jumper.,34,28
18:13,48,Ryan Daly Defensive Rebound.,34,28
18:05,48,Ryan Daly missed Jumper.,34,28
18:05,48,Anthony Mosley Offensive Rebound.,34,28
18:00,350,Foul on Jordon Talley.,34,28
18:00,48,Anthony Mosley missed Free Throw.,34,28
18:00,48,Delaware Deadball Team Rebound.,34,28
18:00,48,Anthony Mosley missed Free Throw.,34,28
18:00,350,Devontae Cacok Defensive Rebound.,34,28
17:54,350,Ty Taylor II missed Layup.,34,28
17:54,350,Marcus Bryan Offensive Rebound.,34,28
17:50,350,Marcus Bryan made Layup.,34,30
17:21,48,Anthony Mosley Turnover.,34,30
17:19,350,Jordon Talley Steal.,34,30
17:15,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,34,32
16:54,48,Ryan Daly missed Three Point Jumper.,34,32
16:54,350,Devontae Cacok Defensive Rebound.,34,32
16:38,350,Jaylen Fornes missed Jumper.,34,32
16:38,48,Eric Carter Defensive Rebound.,34,32
16:15,48,Chyree Walker missed Three Point Jumper.,34,32
16:15,350,Devontae Cacok Defensive Rebound.,34,32
15:52,350,Ty Taylor II made Jumper. Assisted by Jordon Talley.,34,34
15:21,48,Eric Carter missed Jumper.,34,34
15:21,350,Jordon Talley Defensive Rebound.,34,34
15:15,350,Jaylen Fornes missed Layup.,34,34
15:15,350,Devontae Cacok Offensive Rebound.,34,34
15:11,350,Devontae Cacok made Dunk.,34,36
15:09,48,Delaware  Timeout,34,36
15:09,350,Official TV Timeout,34,36
14:40,48,Anthony Mosley missed Three Point Jumper.,34,36
14:40,350,Ty Taylor II Defensive Rebound.,34,36
14:30,350,Ty Taylor II missed Three Point Jumper.,34,36
14:30,350,Jay Estime' Offensive Rebound.,34,36
14:27,350,Jay Estime' missed Jumper.,34,36
14:27,350,Devontae Cacok Offensive Rebound.,34,36
14:25,350,Devontae Cacok missed Jumper.,34,36
14:25,350,Devontae Cacok Offensive Rebound.,34,36
14:24,350,Official TV Timeout,34,36
14:09,350,Foul on Devontae Cacok.,34,36
14:09,350,Devontae Cacok Turnover.,34,36
13:49,48,Skye Johnson missed Jumper.,34,36
13:49,350,Devontae Cacok Block.,34,36
13:47,350,Jordon Talley Defensive Rebound.,34,36
13:31,350,Jordon Talley missed Jumper.,34,36
13:31,350,Jay Estime' Offensive Rebound.,34,36
13:28,350,Jay Estime' made Jumper.,34,38
13:11,350,Foul on Jeffrey Gary.,34,38
12:51,48,Ryan Allen missed Jumper.,34,38
12:51,350,Marcus Bryan Block.,34,38
12:49,350,Jaylen Fornes Defensive Rebound.,34,38
12:27,350,Jordon Talley missed Jumper.,34,38
12:27,48,Chyree Walker Defensive Rebound.,34,38
12:15,48,Chyree Walker missed Jumper.,34,38
12:15,350,Marcus Bryan Block.,34,38
12:13,48,Chyree Walker Offensive Rebound.,34,38
12:11,48,Chyree Walker made Jumper.,36,38
11:56,350,Jay Estime' missed Three Point Jumper.,36,38
11:56,48,Skye Johnson Defensive Rebound.,36,38
11:34,48,Darian Bryant missed Jumper.,36,38
11:34,350,Marcus Bryan Defensive Rebound.,36,38
11:30,350,Marcus Bryan Turnover.,36,38
11:29,48,Ryan Allen Steal.,36,38
11:18,48,Foul on Skye Johnson.,36,38
11:18,48,Skye Johnson Turnover.,36,38
11:18,350,Official TV Timeout,36,38
11:06,350,Devontae Cacok made Jumper. Assisted by Ty Taylor II.,36,40
11:06,48,Foul on Skye Johnson.,36,40
11:06,350,Devontae Cacok made Free Throw.,36,41
10:55,48,Foul on Ryan Daly.,36,41
10:55,48,Ryan Daly Turnover.,36,41
10:42,350,Marcus Bryan made Layup.,36,43
10:16,48,Ryan Allen made Three Point Jumper. Assisted by Ryan Daly.,39,43
10:15,48,Delaware  Timeout,39,43
9:59,48,Foul on Ryan Daly.,39,43
9:59,350,Marcus Bryan missed Free Throw.,39,43
9:59,350,UNC Wilmington Deadball Team Rebound.,39,43
9:59,350,Marcus Bryan made Free Throw.,39,44
9:35,48,Anthony Mosley missed Jumper.,39,44
9:35,48,Eric Carter Offensive Rebound.,39,44
9:31,48,Eric Carter made Jumper.,41,44
9:11,350,Jaylen Fornes Turnover.,41,44
9:09,48,Anthony Mosley Steal.,41,44
9:00,48,Ryan Allen made Three Point Jumper. Assisted by Ryan Daly.,44,44
8:58,350,UNC Wilmington  Timeout,44,44
8:33,350,Jay Estime' missed Three Point Jumper.,44,44
8:33,48,Ryan Allen Defensive Rebound.,44,44
8:28,48,Ryan Daly missed Three Point Jumper.,44,44
8:28,350,Jay Estime' Defensive Rebound.,44,44
8:15,350,Marcus Bryan missed Jumper.,44,44
8:15,48,Eric Carter Defensive Rebound.,44,44
8:03,48,Ryan Daly missed Layup.,44,44
8:03,350,Devontae Cacok Block.,44,44
8:01,350,Jordon Talley Defensive Rebound.,44,44
7:40,350,Jay Estime' missed Three Point Jumper.,44,44
7:40,350,Marcus Bryan Offensive Rebound.,44,44
7:37,350,Marcus Bryan missed Jumper.,44,44
7:37,48,Eric Carter Block.,44,44
7:37,350,Devontae Cacok Offensive Rebound.,44,44
7:37,350,Official TV Timeout,44,44
7:22,350,Jordon Talley made Layup.,44,46
7:00,48,Eric Carter made Jumper.,46,46
6:33,350,Ty Taylor II made Jumper. Assisted by Jaylen Fornes.,46,48
6:08,48,Ryan Daly missed Three Point Jumper.,46,48
6:08,350,Jay Estime' Defensive Rebound.,46,48
6:07,48,Foul on Eric Carter.,46,48
5:45,350,Jaylen Fornes missed Jumper.,46,48
5:45,350,Devontae Cacok Offensive Rebound.,46,48
5:29,350,Devontae Cacok Turnover.,46,48
5:27,48,Eric Carter Steal.,46,48
5:14,48,Ryan Allen made Three Point Jumper. Assisted by Anthony Mosley.,49,48
4:48,350,Jaylen Fornes made Dunk. Assisted by Devontae Cacok.,49,50
4:28,350,Foul on Ty Taylor II.,49,50
4:09,48,Ryan Allen made Three Point Jumper. Assisted by Anthony Mosley.,52,50
3:50,350,Jordon Talley made Layup.,52,52
3:27,48,Ryan Allen missed Jumper.,52,52
3:27,350,Jay Estime' Defensive Rebound.,52,52
3:21,48,Foul on Ryan Allen.,52,52
3:21,350,Official TV Timeout,52,52
3:21,350,Jaylen Fornes made Free Throw.,52,53
3:21,350,Jaylen Fornes made Free Throw.,52,54
3:04,48,Anthony Mosley missed Jumper.,52,54
3:04,350,Devontae Cacok Block.,52,54
3:01,350,Jay Estime' Defensive Rebound.,52,54
2:44,350,Foul on Devontae Cacok.,52,54
2:44,350,Devontae Cacok Turnover.,52,54
2:22,48,Foul on Eric Carter.,52,54
2:22,48,Eric Carter Turnover.,52,54
2:04,350,Jaylen Fornes missed Three Point Jumper.,52,54
2:04,48,Anthony Mosley Defensive Rebound.,52,54
1:59,350,Foul on Jordon Talley.,52,54
1:59,48,Anthony Mosley missed Free Throw.,52,54
1:59,48,Delaware Deadball Team Rebound.,52,54
1:59,48,Anthony Mosley missed Free Throw.,52,54
1:59,350,Devontae Cacok Defensive Rebound.,52,54
1:32,350,Jordon Talley missed Jumper.,52,54
1:32,350,Devontae Cacok Offensive Rebound.,52,54
1:29,350,Devontae Cacok missed Jumper.,52,54
1:29,48,Ryan Allen Defensive Rebound.,52,54
1:26,48,Ryan Daly missed Jumper.,52,54
1:26,350,Jaylen Fornes Block.,52,54
1:26,48,Eric Carter Offensive Rebound.,52,54
1:26,48,Technical Foul on Eric Carter.,52,54
1:26,48,Foul on Eric Carter.,52,54
1:26,350,Foul on Jaylen Fornes.,52,54
1:26,48,Ryan Daly made Free Throw.,53,54
1:26,48,Ryan Daly made Free Throw.,54,54
1:26,350,Jordon Talley made Free Throw.,54,55
1:26,350,Jordon Talley made Free Throw.,54,56
1:03,350,Jay Estime' missed Three Point Jumper.,54,56
1:03,48,Darian Bryant Defensive Rebound.,54,56
0:50,48,Ryan Daly made Jumper.,56,56
0:50,350,Foul on Jordon Talley.,56,56
0:50,48,Ryan Daly made Free Throw.,57,56
0:29,350,Jordon Talley missed Jumper.,57,56
0:29,48,Skye Johnson Defensive Rebound.,57,56
0:28,350,Foul on Jordon Talley.,57,56
0:28,48,Anthony Mosley missed Free Throw.,57,56
0:28,350,Devontae Cacok Defensive Rebound.,57,56
0:10,350,Jordon Talley missed Jumper.,57,56
0:10,48,Ryan Daly Defensive Rebound.,57,56
0:08,350,Foul on Devontae Cacok.,57,56
0:08,48,Ryan Daly made Free Throw.,58,56
0:08,48,Ryan Daly missed Free Throw.,58,56
0:08,48,Chyree Walker Offensive Rebound.,58,56
0:07,350,Foul on Jeffrey Gary.,58,56
0:07,48,Chyree Walker missed Free Throw.,58,56
0:07,48,Delaware Deadball Team Rebound.,58,56
0:07,48,Chyree Walker missed Free Throw.,58,56
0:07,48,Ryan Daly Offensive Rebound.,58,56
0:05,350,Foul on Marcus Bryan.,58,56
0:05,48,Ryan Daly missed Free Throw.,58,56
0:05,48,Delaware Deadball Team Rebound.,58,56
0:05,48,Ryan Daly missed Free Throw.,58,56
0:05,350,Jaylen Fornes Defensive Rebound.,58,56
0:03,350,UNC Wilmington  Timeout,58,56
0:03,48,Delaware  Timeout,58,56
0:02,350,Jaylen Fornes missed Three Point Jumper.,58,56
0:02,48,Ryan Daly Defensive Rebound.,58,56
0:00,350,End of Game,58,56
