North Florida,344,Mississippi State,2454
10:20,2454,Wajid Aminu missed Jumper.,22,23
10:20,344,Aric Holman Defensive Rebound.,22,23
10:14,344,Eli Wright missed Three Point Jumper.,22,23
10:14,344,Aric Holman Offensive Rebound.,22,23
10:10,344,Aric Holman made Jumper.,22,25
9:58,2454,J.T. Escobar missed Three Point Jumper.,22,25
9:58,344,Abdul Ado Defensive Rebound.,22,25
9:39,344,Aric Holman made Dunk. Assisted by Eli Wright.,22,27
9:19,2454,Wajid Aminu made Jumper.,24,27
9:01,344,Tyson Carter Turnover.,24,27
8:59,2454,J.T. Escobar Steal.,24,27
8:52,2454,Osborn Blount made Layup.,26,27
8:23,344,Eli Wright made Layup. Assisted by Aric Holman.,26,29
8:13,344,Foul on Eli Wright.,26,29
8:04,2454,Ivan Gandia-Rosa made Three Point Jumper.,29,29
7:43,344,Nick Weatherspoon missed Jumper.,29,29
7:43,344,Xavian Stapleton Offensive Rebound.,29,29
7:39,344,Xavian Stapleton made Jumper.,29,31
7:30,2454,Trip Day missed Jumper.,29,31
7:30,344,Quinndary Weatherspoon Defensive Rebound.,29,31
7:09,344,KeyShawn Feazell missed Jumper.,29,31
7:09,344,KeyShawn Feazell Offensive Rebound.,29,31
7:06,344,KeyShawn Feazell missed Jumper.,29,31
7:05,2454,Noah Horchler Block.,29,31
7:04,2454,Trip Day Defensive Rebound.,29,31
6:53,2454,Ivan Gandia-Rosa missed Three Point Jumper.,29,31
6:53,344,Xavian Stapleton Defensive Rebound.,29,31
6:44,344,Tyson Carter missed Three Point Jumper.,29,31
6:44,2454,Ryan Burkhardt Defensive Rebound.,29,31
6:44,344,Foul on KeyShawn Feazell.,29,31
6:44,344,Official TV Timeout,29,31
6:29,344,Foul on Xavian Stapleton.,29,31
6:27,2454,Noah Horchler made Jumper. Assisted by Ivan Gandia-Rosa.,31,31
6:04,344,E.J. Datcher made Dunk. Assisted by Lamar Peters.,31,33
5:50,2454,Ivan Gandia-Rosa Turnover.,31,33
5:49,344,Lamar Peters Steal.,31,33
5:47,344,Lamar Peters made Layup.,31,35
5:38,344,Foul on E.J. Datcher.,31,35
5:38,2454,Trip Day made Free Throw.,32,35
5:38,2454,Trip Day made Free Throw.,33,35
5:25,344,Abdul Ado Turnover.,33,35
5:01,2454,Wajid Aminu missed Jumper.,33,35
5:01,344,Nick Weatherspoon Defensive Rebound.,33,35
4:54,344,Quinndary Weatherspoon missed Layup.,33,35
4:54,2454,J.T. Escobar Defensive Rebound.,33,35
4:50,2454,J.T. Escobar missed Three Point Jumper.,33,35
4:50,344,Nick Weatherspoon Defensive Rebound.,33,35
4:43,2454,Foul on Brian Coffey II.,33,35
4:43,344,Nick Weatherspoon made Free Throw.,33,36
4:43,344,Nick Weatherspoon made Free Throw.,33,37
4:35,2454,Wajid Aminu missed Three Point Jumper.,33,37
4:35,344,Lamar Peters Defensive Rebound.,33,37
4:21,344,Lamar Peters missed Jumper.,33,37
4:21,344,Abdul Ado Offensive Rebound.,33,37
4:15,344,Abdul Ado Turnover.,33,37
4:14,2454,Trip Day Steal.,33,37
4:00,344,Foul on Lamar Peters.,33,37
4:00,2454,Osborn Blount made Free Throw.,34,37
4:00,2454,Osborn Blount made Free Throw.,35,37
3:50,344,Nick Weatherspoon made Jumper.,35,39
3:36,2454,Brian Coffey II made Three Point Jumper. Assisted by Noah Horchler.,38,39
3:20,344,Lamar Peters missed Three Point Jumper.,38,39
3:20,344,Eli Wright Offensive Rebound.,38,39
3:16,344,Eli Wright made Two Point Tip Shot.,38,41
3:04,2454,Osborn Blount made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,41,41
2:43,344,Lamar Peters Turnover.,41,41
2:43,344,Foul on Lamar Peters.,41,41
2:43,344,Official TV Timeout,41,41
2:28,2454,Noah Horchler Turnover.,41,41
2:26,344,Aric Holman Steal.,41,41
2:02,344,Aric Holman made Dunk. Assisted by Quinndary Weatherspoon.,41,43
1:50,2454,Wajid Aminu missed Jumper.,41,43
1:50,344,Abdul Ado Block.,41,43
1:48,2454,Noah Horchler Offensive Rebound.,41,43
1:42,2454,Noah Horchler missed Jumper.,41,43
1:42,344,Abdul Ado Block.,41,43
1:40,2454,North Florida Offensive Rebound.,41,43
1:37,2454,Osborn Blount made Jumper.,43,43
1:11,344,Aric Holman missed Jumper.,43,43
1:11,344,Eli Wright Offensive Rebound.,43,43
1:07,344,Nick Weatherspoon Turnover.,43,43
0:50,2454,Ivan Gandia-Rosa Turnover.,43,43
0:38,344,Aric Holman made Dunk. Assisted by Quinndary Weatherspoon.,43,45
0:03,2454,Ivan Gandia-Rosa Turnover.,43,45
0:01,344,Quinndary Weatherspoon Steal.,43,45
0:01,344,Quinndary Weatherspoon made Layup.,43,47
0:00,344,End of 1st half,43,47
19:46,2454,Ryan Burkhardt missed Three Point Jumper.,43,47
19:46,344,Quinndary Weatherspoon Defensive Rebound.,43,47
19:24,344,Aric Holman Turnover.,43,47
19:13,2454,Ivan Gandia-Rosa Turnover.,43,47
18:56,344,Aric Holman made Jumper.,43,49
18:36,2454,J.T. Escobar Turnover.,43,49
18:25,344,Tyson Carter made Jumper.,43,51
18:17,2454,North Florida  Timeout,43,51
18:17,344,Official TV Timeout,43,51
18:00,2454,Noah Horchler missed Three Point Jumper.,43,51
18:00,344,Tyson Carter Defensive Rebound.,43,51
17:49,344,Aric Holman made Dunk. Assisted by Quinndary Weatherspoon.,43,53
17:37,2454,Wajid Aminu made Jumper.,45,53
17:37,344,Foul on Aric Holman.,45,53
17:37,2454,Wajid Aminu made Free Throw.,46,53
17:25,2454,Foul on Noah Horchler.,46,53
17:25,344,Abdul Ado missed Free Throw.,46,53
17:25,344,Mississippi State Deadball Team Rebound.,46,53
17:25,344,Abdul Ado made Free Throw.,46,54
17:16,2454,Trip Day missed Three Point Jumper.,46,54
17:16,344,Abdul Ado Defensive Rebound.,46,54
17:08,2454,Foul on J.T. Escobar.,46,54
17:08,344,Tyson Carter made Free Throw.,46,55
17:08,344,Tyson Carter made Free Throw.,46,56
16:53,2454,Ivan Gandia-Rosa missed Jumper.,46,56
16:53,344,Quinndary Weatherspoon Defensive Rebound.,46,56
16:47,2454,Foul on J.T. Escobar.,46,56
16:47,344,Nick Weatherspoon made Free Throw.,46,57
16:47,344,Nick Weatherspoon made Free Throw.,46,58
16:33,2454,Ryan Burkhardt Turnover.,46,58
16:23,344,Quinndary Weatherspoon made Three Point Jumper. Assisted by Xavian Stapleton.,46,61
16:03,2454,Osborn Blount Turnover.,46,61
16:03,344,Nick Weatherspoon Steal.,46,61
15:56,344,Abdul Ado Turnover.,46,61
15:56,344,Foul on Abdul Ado.,46,61
15:56,344,Official TV Timeout,46,61
15:50,344,Foul on Xavian Stapleton.,46,61
15:41,2454,Trip Day made Jumper.,48,61
15:23,344,Quinndary Weatherspoon Turnover.,48,61
15:23,344,Foul on Quinndary Weatherspoon.,48,61
15:05,2454,Trip Day missed Three Point Jumper.,48,61
15:05,344,Lamar Peters Defensive Rebound.,48,61
14:47,344,Tyson Carter made Jumper.,48,63
14:31,2454,Wajid Aminu missed Jumper.,48,63
14:31,344,Abdul Ado Defensive Rebound.,48,63
14:23,344,Lamar Peters Turnover.,48,63
14:21,2454,Trip Day Steal.,48,63
14:14,2454,Osborn Blount missed Jumper.,48,63
14:14,344,Quinndary Weatherspoon Block.,48,63
14:11,2454,Osborn Blount Offensive Rebound.,48,63
14:06,2454,Ivan Gandia-Rosa missed Three Point Jumper.,48,63
14:06,344,Quinndary Weatherspoon Defensive Rebound.,48,63
13:55,344,Xavian Stapleton made Three Point Jumper. Assisted by Quinndary Weatherspoon.,48,66
13:54,2454,Foul on Wajid Aminu.,48,66
13:54,344,Xavian Stapleton made Free Throw.,48,67
13:38,2454,Ivan Gandia-Rosa made Three Point Jumper.,51,67
13:08,344,Xavian Stapleton made Jumper.,51,69
12:57,344,Foul on E.J. Datcher.,51,69
12:57,2454,Ivan Gandia-Rosa missed Free Throw.,51,69
12:57,2454,North Florida Deadball Team Rebound.,51,69
12:57,2454,Ivan Gandia-Rosa made Free Throw.,52,69
12:39,344,Xavian Stapleton missed Dunk.,52,69
12:39,344,Eli Wright Offensive Rebound.,52,69
12:34,344,E.J. Datcher made Jumper. Assisted by Eli Wright.,52,71
12:22,2454,Wajid Aminu missed Three Point Jumper.,52,71
12:22,2454,Noah Horchler Offensive Rebound.,52,71
12:19,344,Foul on Lamar Peters.,52,71
12:12,2454,Osborn Blount Turnover.,52,71
11:58,344,Xavian Stapleton made Three Point Jumper. Assisted by Lamar Peters.,52,74
11:42,2454,Brian Coffey II missed Jumper.,52,74
11:42,344,E.J. Datcher Defensive Rebound.,52,74
11:36,344,Eli Wright made Dunk. Assisted by Lamar Peters.,52,76
11:25,2454,J.T. Escobar missed Jumper.,52,76
11:25,344,Eli Wright Defensive Rebound.,52,76
11:19,344,Xavian Stapleton made Three Point Jumper. Assisted by Nick Weatherspoon.,52,79
11:10,2454,J.T. Escobar Turnover.,52,79
11:08,344,Xavian Stapleton Steal.,52,79
10:50,344,E.J. Datcher Turnover.,52,79
10:50,344,Foul on E.J. Datcher.,52,79
10:50,344,Official TV Timeout,52,79
10:37,2454,Ryan Burkhardt made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,55,79
10:20,344,Lamar Peters Turnover.,55,79
10:20,2454,Osborn Blount Steal.,55,79
10:03,2454,Trip Day made Jumper.,57,79
9:44,344,Aric Holman made Three Point Jumper. Assisted by Eli Wright.,57,82
9:20,344,Foul on Abdul Ado.,57,82
9:20,2454,Trip Day made Free Throw.,58,82
9:20,2454,Trip Day made Free Throw.,59,82
9:06,2454,Foul on Osborn Blount.,59,82
8:59,2454,Foul on Trip Day.,59,82
8:56,344,Eli Wright missed Jumper.,59,82
8:56,344,Aric Holman Offensive Rebound.,59,82
8:51,344,Tyson Carter made Jumper.,59,84
8:40,344,Foul on Aric Holman.,59,84
8:40,2454,Trip Day made Free Throw.,60,84
8:40,2454,Trip Day missed Free Throw.,60,84
8:40,2454,Trip Day Offensive Rebound.,60,84
8:35,2454,Trip Day missed Jumper.,60,84
8:35,344,Aric Holman Block.,60,84
8:35,2454,North Florida Offensive Rebound.,60,84
8:16,2454,Trip Day made Jumper. Assisted by Osborn Blount.,62,84
8:01,344,Quinndary Weatherspoon made Layup.,62,86
7:49,344,Foul on Quinndary Weatherspoon.,62,86
7:49,344,Official TV Timeout,62,86
7:49,2454,Ivan Gandia-Rosa made Free Throw.,63,86
7:49,2454,Ivan Gandia-Rosa made Free Throw.,64,86
7:36,344,Abdul Ado made Jumper. Assisted by Quinndary Weatherspoon.,64,88
7:23,2454,Ryan Burkhardt made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,67,88
7:23,344,Foul on Quinndary Weatherspoon.,67,88
7:23,2454,Ryan Burkhardt missed Free Throw.,67,88
7:23,344,Abdul Ado Defensive Rebound.,67,88
7:12,344,Quinndary Weatherspoon made Three Point Jumper.,67,91
6:56,2454,Ryan Burkhardt made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,70,91
6:34,344,Eli Wright missed Three Point Jumper.,70,91
6:34,2454,Ryan Burkhardt Defensive Rebound.,70,91
6:27,2454,Ivan Gandia-Rosa missed Three Point Jumper.,70,91
6:27,344,Abdul Ado Defensive Rebound.,70,91
6:09,2454,Foul on Osborn Blount.,70,91
6:09,344,Quinndary Weatherspoon made Free Throw.,70,92
6:09,344,Quinndary Weatherspoon made Free Throw.,70,93
5:58,2454,Brian Coffey II Turnover.,70,93
5:41,344,Abdul Ado missed Jumper.,70,93
5:41,2454,Osborn Blount Defensive Rebound.,70,93
5:32,2454,Noah Horchler missed Three Point Jumper.,70,93
5:32,344,Nick Weatherspoon Defensive Rebound.,70,93
5:26,344,Nick Weatherspoon Turnover.,70,93
5:08,2454,Brian Coffey II missed Jumper.,70,93
5:08,2454,Trip Day Offensive Rebound.,70,93
5:04,2454,Trip Day made Jumper.,72,93
4:44,344,Xavian Stapleton missed Three Point Jumper.,72,93
4:44,344,Tyson Carter Offensive Rebound.,72,93
4:39,344,KeyShawn Feazell made Jumper.,72,95
4:26,2454,J.T. Escobar made Jumper.,74,95
4:11,344,Quinndary Weatherspoon missed Three Point Jumper.,74,95
4:11,2454,Wajid Aminu Defensive Rebound.,74,95
4:04,2454,J.T. Escobar made Three Point Jumper. Assisted by Ryan Burkhardt.,77,95
4:00,344,Mississippi State  Timeout,77,95
4:00,344,Official TV Timeout,77,95
3:50,344,Nick Weatherspoon Turnover.,77,95
3:37,2454,Trip Day made Jumper.,79,95
3:17,344,Tyson Carter made Three Point Jumper. Assisted by Xavian Stapleton.,79,98
3:00,2454,Trip Day Turnover.,79,98
2:59,344,Xavian Stapleton Steal.,79,98
2:51,344,KeyShawn Feazell made Jumper. Assisted by Xavian Stapleton.,79,100
2:40,344,Foul on KeyShawn Feazell.,79,100
2:40,2454,Wajid Aminu made Free Throw.,80,100
2:40,2454,Wajid Aminu made Free Throw.,81,100
2:10,344,Nick Weatherspoon made Layup.,81,102
1:57,2454,Emmanuel Lambright missed Three Point Jumper.,81,102
1:57,344,KeyShawn Feazell Defensive Rebound.,81,102
1:49,344,Eli Wright missed Jumper.,81,102
1:49,344,Mississippi State Offensive Rebound.,81,102
1:43,344,Drew Davis missed Jumper.,81,102
1:43,2454,Benedikt Haid Defensive Rebound.,81,102
1:33,2454,Trip Day missed Jumper.,81,102
1:33,344,E.J. Datcher Block.,81,102
1:31,344,KeyShawn Feazell Defensive Rebound.,81,102
1:27,344,KeyShawn Feazell made Layup.,81,104
1:27,2454,Foul on Brian Coffey II.,81,104
1:27,344,KeyShawn Feazell made Free Throw.,81,105
1:09,2454,Emmanuel Lambright missed Three Point Jumper.,81,105
1:09,344,E.J. Datcher Defensive Rebound.,81,105
1:01,344,KeyShawn Feazell missed Three Point Jumper.,81,105
1:01,344,Mitch Storm Offensive Rebound.,81,105
0:48,344,Drew Davis missed Jumper.,81,105
0:48,2454,Benedikt Haid Block.,81,105
0:48,344,Mississippi State Offensive Rebound.,81,105
0:47,344,Nick Singleton made Jumper. Assisted by Drew Davis.,81,107
0:37,2454,Emmanuel Lambright missed Jumper.,81,107
0:37,344,E.J. Datcher Defensive Rebound.,81,107
0:24,344,KeyShawn Feazell made Dunk.,81,109
0:00,344,End of Game,81,109
