Florida State,150,Duke,52
1:53,52,Ike Obiagu Turnover.,42,42
1:31,150,Gary Trent Jr missed Jumper.,42,42
1:31,150,Marvin Bagley III Offensive Rebound.,42,42
1:25,150,Marvin Bagley III made Layup.,42,44
1:13,150,Foul on Marvin Bagley III.,42,44
1:10,52,Phil Cofer made Three Point Jumper. Assisted by Trent Forrest.,45,44
0:54,150,Trevon Duval missed Three Point Jumper.,45,44
0:54,52,Trent Forrest Defensive Rebound.,45,44
0:38,150,Foul on Javin DeLaurier.,45,44
0:38,52,Mfiondu Kabengele made Free Throw.,46,44
0:38,52,Mfiondu Kabengele made Free Throw.,47,44
0:19,150,Wendell Carter Jr missed Jumper.,47,44
0:19,52,Braian Angola Defensive Rebound.,47,44
0:06,150,Foul on Wendell Carter Jr.,47,44
0:06,52,Braian Angola made Free Throw.,48,44
0:06,52,Braian Angola made Free Throw.,49,44
0:03,52,Foul on Braian Angola.,49,44
0:03,150,Grayson Allen missed Free Throw.,49,44
0:03,150,Duke Deadball Team Rebound.,49,44
0:03,150,Grayson Allen made Free Throw.,49,45
0:01,52,Braian Angola missed Three Point Jumper.,49,45
0:01,150,Duke Defensive Rebound.,49,45
0:00,150,End of 1st half,49,45
20:00,52,Jump Ball won by Florida State,49,45
19:57,52,Terance Mann Turnover.,49,45
19:57,150,Trevon Duval Steal.,49,45
19:53,150,Trevon Duval made Layup.,49,47
19:42,52,Phil Cofer made Three Point Jumper. Assisted by CJ Walker.,52,47
19:21,150,Wendell Carter Jr missed Layup.,52,47
19:17,52,Ike Obiagu Block.,52,47
19:08,150,Duke Offensive Rebound.,52,47
19:03,150,Trevon Duval missed Three Point Jumper.,52,47
19:03,52,Phil Cofer Defensive Rebound.,52,47
18:56,52,Foul on Phil Cofer.,52,47
18:56,52,Phil Cofer Turnover.,52,47
18:49,150,Grayson Allen missed Three Point Jumper.,52,47
18:49,150,Gary Trent Jr Offensive Rebound.,52,47
18:41,150,Gary Trent Jr missed Three Point Jumper.,52,47
18:41,150,Wendell Carter Jr Offensive Rebound.,52,47
18:36,150,Wendell Carter Jr missed Layup.,52,47
18:36,52,Ike Obiagu Block.,52,47
18:36,150,Gary Trent Jr Offensive Rebound.,52,47
18:31,52,Foul on CJ Walker.,52,47
18:29,150,Wendell Carter Jr Turnover.,52,47
18:29,52,Phil Cofer Steal.,52,47
18:17,150,Foul on Trevon Duval.,52,47
18:10,52,CJ Walker made Three Point Jumper. Assisted by Braian Angola.,55,47
17:51,150,Trevon Duval missed Three Point Jumper.,55,47
17:51,52,CJ Walker Defensive Rebound.,55,47
17:44,52,CJ Walker missed Layup.,55,47
17:34,150,Trevon Duval Block.,55,47
17:33,150,Grayson Allen Defensive Rebound.,55,47
17:28,150,Grayson Allen made Three Point Jumper. Assisted by Marvin Bagley III.,55,50
17:13,52,Terance Mann Turnover.,55,50
17:13,150,Gary Trent Jr Steal.,55,50
17:07,52,Foul on Braian Angola.,55,50
17:04,150,Marvin Bagley III made Three Point Jumper. Assisted by Grayson Allen.,55,53
17:04,52,Foul on M.J. Walker.,55,53
17:04,150,Marvin Bagley III made Free Throw.,55,54
16:54,150,Foul on Alex O'Connell.,55,54
16:54,52,Braian Angola missed Three Point Jumper.,55,54
16:54,150,Marvin Bagley III Defensive Rebound.,55,54
16:38,150,Gary Trent Jr made Three Point Jumper. Assisted by Wendell Carter Jr.,55,57
16:25,52,Braian Angola missed Layup.,55,57
16:25,150,Wendell Carter Jr Block.,55,57
16:25,52,Ike Obiagu Offensive Rebound.,55,57
16:15,52,Ike Obiagu Turnover.,55,57
16:15,150,Marvin Bagley III Steal.,55,57
16:06,150,Grayson Allen missed Jumper.,55,57
16:06,150,Marvin Bagley III Offensive Rebound.,55,57
16:02,150,Marvin Bagley III made Dunk.,55,59
16:02,52,Florida State  Timeout,55,59
16:02,52,Technical Foul on Florida State.,55,59
16:02,150,Grayson Allen made Free Throw.,55,60
16:02,150,Grayson Allen made Free Throw.,55,61
15:54,52,Phil Cofer made Three Point Jumper. Assisted by M.J. Walker.,58,61
15:40,150,Official TV Timeout,58,61
15:30,150,Grayson Allen missed Layup.,58,61
15:30,150,Wendell Carter Jr Offensive Rebound.,58,61
15:21,150,Wendell Carter Jr missed Layup.,58,61
15:21,52,Trent Forrest Defensive Rebound.,58,61
15:13,52,Phil Cofer missed Three Point Jumper.,58,61
15:13,150,Wendell Carter Jr Defensive Rebound.,58,61
15:08,150,Alex O'Connell made Three Point Jumper. Assisted by Wendell Carter Jr.,58,64
14:48,150,Foul on Gary Trent Jr.,58,64
14:41,150,Foul on Wendell Carter Jr.,58,64
14:41,52,Mfiondu Kabengele missed Free Throw.,58,64
14:41,52,Florida State Deadball Team Rebound.,58,64
14:41,52,Mfiondu Kabengele made Free Throw.,59,64
14:32,150,Gary Trent Jr missed Three Point Jumper.,59,64
14:32,52,Trent Forrest Defensive Rebound.,59,64
14:24,150,Foul on Marvin Bagley III.,59,64
14:13,52,Mfiondu Kabengele missed Three Point Jumper.,59,64
14:13,150,Grayson Allen Defensive Rebound.,59,64
13:58,150,Alex O'Connell missed Three Point Jumper.,59,64
13:58,52,Terance Mann Defensive Rebound.,59,64
13:40,52,Mfiondu Kabengele made Layup. Assisted by M.J. Walker.,61,64
13:40,150,Foul on Marques Bolden.,61,64
13:40,52,Mfiondu Kabengele missed Free Throw.,61,64
13:40,150,Gary Trent Jr Defensive Rebound.,61,64
13:21,150,Gary Trent Jr missed Jumper.,61,64
13:21,52,Trent Forrest Defensive Rebound.,61,64
13:19,150,Foul on Gary Trent Jr.,61,64
13:19,52,Trent Forrest made Free Throw.,62,64
13:19,52,Trent Forrest made Free Throw.,63,64
13:12,150,Marvin Bagley III made Layup. Assisted by Alex O'Connell.,63,66
12:56,150,Foul on Trevon Duval.,63,66
12:56,52,Mfiondu Kabengele made Free Throw.,64,66
12:56,52,Mfiondu Kabengele missed Free Throw.,64,66
12:56,150,Wendell Carter Jr Defensive Rebound.,64,66
12:42,150,Marvin Bagley III made Layup. Assisted by Grayson Allen.,64,68
12:28,52,M.J. Walker missed Layup.,64,68
12:28,150,Wendell Carter Jr Block.,64,68
12:28,150,Wendell Carter Jr Defensive Rebound.,64,68
12:15,150,Grayson Allen made Three Point Jumper. Assisted by Alex O'Connell.,64,71
11:57,150,Foul on Gary Trent Jr.,64,71
11:57,150,Official TV Timeout,64,71
11:57,52,Mfiondu Kabengele made Free Throw.,65,71
11:57,52,Mfiondu Kabengele made Free Throw.,66,71
11:31,150,Grayson Allen missed Three Point Jumper.,66,71
11:30,150,Duke Deadball Team Rebound.,66,71
11:30,52,Foul on Terance Mann.,66,71
11:23,150,Gary Trent Jr missed Jumper.,66,71
11:23,150,Marvin Bagley III Offensive Rebound.,66,71
11:23,150,Marvin Bagley III missed Two Point Tip Shot.,66,71
11:23,52,CJ Walker Defensive Rebound.,66,71
11:05,52,Phil Cofer missed Layup.,66,71
11:05,52,Mfiondu Kabengele Offensive Rebound.,66,71
10:52,52,Terance Mann made Three Point Jumper. Assisted by CJ Walker.,69,71
10:33,150,Gary Trent Jr missed Three Point Jumper.,69,71
10:33,150,Wendell Carter Jr Offensive Rebound.,69,71
10:23,150,Marvin Bagley III made Jumper. Assisted by Grayson Allen.,69,73
10:15,52,CJ Walker made Layup.,71,73
9:58,150,Foul on Wendell Carter Jr.,71,73
9:58,150,Wendell Carter Jr Turnover.,71,73
9:50,52,Braian Angola missed Three Point Jumper.,71,73
9:45,52,Florida State Offensive Rebound.,71,73
9:25,52,Braian Angola made Three Point Jumper. Assisted by Trent Forrest.,74,73
8:59,150,Grayson Allen missed Three Point Jumper.,74,73
8:59,150,Marvin Bagley III Offensive Rebound.,74,73
8:51,150,Marvin Bagley III made Jumper.,74,75
8:42,52,CJ Walker missed Jumper.,74,75
8:42,150,Marvin Bagley III Defensive Rebound.,74,75
8:40,52,Foul on CJ Walker.,74,75
8:40,150,Marvin Bagley III missed Free Throw.,74,75
8:40,150,Marvin Bagley III Offensive Rebound.,74,75
8:40,150,Marvin Bagley III made Layup.,74,77
8:40,52,Foul on Braian Angola.,74,77
8:40,150,Marvin Bagley III made Free Throw.,74,78
8:28,52,Trent Forrest Turnover.,74,78
8:13,150,Grayson Allen made Layup.,74,80
8:05,52,Braian Angola made Layup.,76,80
8:05,150,Foul on Grayson Allen.,76,80
8:05,52,Braian Angola missed Free Throw.,76,80
8:05,150,Marvin Bagley III Defensive Rebound.,76,80
7:35,150,Grayson Allen missed Jumper.,76,80
7:35,150,Javin DeLaurier Offensive Rebound.,76,80
7:32,150,Duke  Turnover.,76,80
7:32,150,Official TV Timeout,76,80
7:11,52,Braian Angola made Three Point Jumper. Assisted by Mfiondu Kabengele.,79,80
6:59,150,Trevon Duval missed Layup.,79,80
6:59,150,Marvin Bagley III Offensive Rebound.,79,80
6:53,52,Foul on Mfiondu Kabengele.,79,80
6:53,150,Marvin Bagley III missed Free Throw.,79,80
6:53,150,Duke Deadball Team Rebound.,79,80
6:53,150,Marvin Bagley III missed Free Throw.,79,80
6:53,52,Braian Angola Defensive Rebound.,79,80
6:46,150,Foul on Marvin Bagley III.,79,80
6:46,52,Terance Mann made Free Throw.,80,80
6:46,52,Terance Mann made Free Throw.,81,80
6:31,150,Wendell Carter Jr made Layup. Assisted by Trevon Duval.,81,82
6:28,150,Duke  Timeout,81,82
6:13,52,Mfiondu Kabengele missed Jumper.,81,82
6:13,52,Terance Mann Offensive Rebound.,81,82
6:07,52,Terance Mann missed Jumper.,81,82
6:07,52,Terance Mann Offensive Rebound.,81,82
6:07,52,Terance Mann made Two Point Tip Shot.,83,82
5:44,150,Marvin Bagley III made Dunk. Assisted by Trevon Duval.,83,84
5:32,52,Braian Angola made Three Point Jumper. Assisted by Trent Forrest.,86,84
5:18,150,Gary Trent Jr missed Three Point Jumper.,86,84
5:18,52,Braian Angola Defensive Rebound.,86,84
5:11,52,Braian Angola made Layup.,88,84
4:57,150,Trevon Duval made Three Point Jumper.,88,87
4:32,52,Mfiondu Kabengele missed Jumper.,88,87
4:32,150,Gary Trent Jr Defensive Rebound.,88,87
4:21,150,Trevon Duval made Layup.,88,89
4:12,52,Florida State  Timeout,88,89
4:01,52,Braian Angola made Three Point Jumper. Assisted by CJ Walker.,91,89
3:49,150,Trevon Duval missed Layup.,91,89
3:49,150,Marvin Bagley III Offensive Rebound.,91,89
3:41,150,Alex O'Connell missed Jumper.,91,89
3:41,150,Marvin Bagley III Offensive Rebound.,91,89
3:41,52,Foul on Trent Forrest.,91,89
3:41,150,Marvin Bagley III made Free Throw.,91,90
3:41,150,Marvin Bagley III made Free Throw.,91,91
3:34,52,Braian Angola missed Three Point Jumper.,91,91
3:30,52,Florida State Deadball Team Rebound.,91,91
3:30,150,Foul on Gary Trent Jr.,91,91
3:30,52,Terance Mann made Free Throw.,92,91
3:30,52,Terance Mann made Free Throw.,93,91
3:14,150,Trevon Duval missed Three Point Jumper.,93,91
3:14,150,Wendell Carter Jr Offensive Rebound.,93,91
2:59,150,Trevon Duval made Layup. Assisted by Wendell Carter Jr.,93,93
2:42,52,CJ Walker missed Three Point Jumper.,93,93
2:42,150,Gary Trent Jr Defensive Rebound.,93,93
2:29,150,Wendell Carter Jr made Dunk. Assisted by Trevon Duval.,93,95
2:09,52,Foul on Trent Forrest.,93,95
2:09,52,Trent Forrest Turnover.,93,95
2:04,150,Gary Trent Jr missed Three Point Jumper.,93,95
2:04,52,Trent Forrest Defensive Rebound.,93,95
1:54,52,CJ Walker missed Layup.,93,95
1:54,150,Marvin Bagley III Defensive Rebound.,93,95
1:44,150,Trevon Duval made Layup.,93,97
1:31,52,Florida State  Timeout,93,97
1:29,52,Braian Angola missed Three Point Jumper.,93,97
1:29,150,Trevon Duval Defensive Rebound.,93,97
1:20,52,Foul on CJ Walker.,93,97
1:20,150,Marvin Bagley III missed Free Throw.,93,97
1:20,150,Duke Deadball Team Rebound.,93,97
1:20,150,Marvin Bagley III made Free Throw.,93,98
1:10,52,Phil Cofer missed Three Point Jumper.,93,98
1:10,150,Duke Deadball Team Rebound.,93,98
0:41,150,Grayson Allen missed Jumper.,93,98
0:41,52,Terance Mann Defensive Rebound.,93,98
0:32,52,Terance Mann missed Jumper.,93,98
0:32,150,Marvin Bagley III Defensive Rebound.,93,98
0:20,150,Wendell Carter Jr made Dunk. Assisted by Trevon Duval.,93,100
0:20,52,Braian Angola missed Three Point Jumper.,93,100
0:20,52,Braian Angola Offensive Rebound.,93,100
0:12,52,Phil Cofer missed Three Point Jumper.,93,100
0:12,150,Wendell Carter Jr Defensive Rebound.,93,100
0:00,150,End of Game,93,100
