University of Great Falls,Error,Eastern Washington,331
11:32,-1,Treyvon Bashir Steal.,2,21
11:26,-1,Treyvon Bashir missed Jumper.,2,21
11:26,331,Jacob Wiley Defensive Rebound.,2,21
11:09,331,Cody Benzel made Three Point Jumper. Assisted by Jacob Wiley.,2,24
10:58,-1,Tymarieh Dixon missed Layup.,2,24
10:58,331,Cody Benzel Defensive Rebound.,2,24
10:44,331,Official TV Timeout,2,24
10:39,331,Jesse Hunt Turnover.,2,24
10:37,-1,Andre Slavik Steal.,2,24
10:26,-1,Andre Slavik Turnover.,2,24
10:25,331,Michael Wearne Steal.,2,24
10:10,331,Ty Gibson made Three Point Jumper. Assisted by Mason Peatling.,2,27
9:53,-1,Sergio Berkley made Jumper.,4,27
9:30,331,Mason Peatling missed Layup.,4,27
9:30,331,Jesse Hunt Offensive Rebound.,4,27
9:28,331,Jesse Hunt made Layup.,4,29
9:10,-1,Matthew Brooks-McGregor missed Jumper.,4,29
9:10,331,Mason Peatling Defensive Rebound.,4,29
8:57,331,Ty Gibson made Three Point Jumper. Assisted by Jesse Hunt.,4,32
8:30,-1,Sergio Berkley Turnover.,4,32
8:29,331,Michael Wearne Steal.,4,32
8:21,331,Jesse Hunt missed Three Point Jumper.,4,32
8:21,-1,Iain Carr Defensive Rebound.,4,32
8:15,331,Foul on Ty Gibson.,4,32
8:09,-1,Jared Schultz missed Three Point Jumper.,4,32
8:09,331,Mario Soto Defensive Rebound.,4,32
7:56,331,Ty Gibson made Three Point Jumper. Assisted by Mario Soto.,4,35
7:36,-1,Sergio Berkley missed Three Point Jumper.,4,35
7:36,331,Mason Peatling Defensive Rebound.,4,35
7:27,331,Ty Gibson made Three Point Jumper.,4,38
7:27,-1,Foul on Sergio Berkley.,4,38
7:27,331,Official TV Timeout,4,38
7:27,331,Ty Gibson made Free Throw.,4,39
7:08,331,Foul on Mario Soto.,4,39
7:07,-1,Treyvon Bashir Turnover.,4,39
6:49,331,Jesse Hunt missed Jumper.,4,39
6:49,-1,Tymarieh Dixon Defensive Rebound.,4,39
6:43,331,Foul on Mario Soto.,4,39
6:24,-1,Davone Oliver Jr. made Three Point Jumper. Assisted by Jared Schultz.,7,39
6:11,331,Geremy McKay missed Layup.,7,39
6:11,-1,Tymarieh Dixon Block.,7,39
6:10,-1,Treyvon Bashir Defensive Rebound.,7,39
5:58,-1,Davone Oliver Jr. made Three Point Jumper. Assisted by Jared Schultz.,10,39
5:58,331,Eastern Washington  Timeout,10,39
5:36,331,Mario Soto missed Jumper.,10,39
5:36,-1,Great Falls Defensive Rebound.,10,39
5:01,-1,Davone Oliver Jr. missed Jumper.,10,39
5:01,331,Jacob Wiley Block.,10,39
5:01,-1,Great Falls Offensive Rebound.,10,39
4:56,-1,Jared Schultz missed Three Point Jumper.,10,39
4:56,331,Jacob Wiley Defensive Rebound.,10,39
4:43,331,Bogdan Bliznyuk made Jumper.,10,41
4:32,-1,Davone Oliver Jr. made Three Point Jumper. Assisted by Jarred Burr.,13,41
4:14,331,Felix Von Hofe missed Three Point Jumper.,13,41
4:14,-1,Great Falls Defensive Rebound.,13,41
4:13,331,Foul on Mario Soto.,13,41
3:53,-1,Davone Oliver Jr. Turnover.,13,41
3:53,331,Official TV Timeout,13,41
3:36,331,Felix Von Hofe made Jumper. Assisted by Luka Vulikic.,13,43
3:36,-1,Foul on Tymarieh Dixon.,13,43
3:36,331,Felix Von Hofe missed Free Throw.,13,43
3:36,-1,Tymarieh Dixon Defensive Rebound.,13,43
3:20,-1,Jared Schultz made Three Point Jumper. Assisted by Jarred Burr.,16,43
3:03,331,Mario Soto made Three Point Jumper. Assisted by Bogdan Bliznyuk.,16,46
2:52,331,Foul on Mario Soto.,16,46
2:52,-1,Jared Schultz made Free Throw.,17,46
2:52,-1,Jared Schultz made Free Throw.,18,46
2:42,331,Bogdan Bliznyuk Turnover.,18,46
2:41,-1,Treyvon Bashir Steal.,18,46
2:38,-1,Tymarieh Dixon made Layup. Assisted by Jared Schultz.,20,46
2:22,-1,Foul on Treyvon Bashir.,20,46
2:22,331,Bogdan Bliznyuk made Free Throw.,20,47
2:22,331,Bogdan Bliznyuk made Free Throw.,20,48
1:55,-1,Jared Schultz missed Three Point Jumper.,20,48
1:55,-1,Treyvon Bashir Offensive Rebound.,20,48
1:53,-1,Treyvon Bashir made Layup.,22,48
1:39,331,Foul on Jacob Wiley.,22,48
1:22,-1,Foul on Tymarieh Dixon.,22,48
1:22,-1,Tymarieh Dixon Turnover.,22,48
1:06,331,Bogdan Bliznyuk made Jumper. Assisted by Felix Von Hofe.,22,50
0:57,-1,Jared Schultz Turnover.,22,50
0:56,331,Luka Vulikic Steal.,22,50
0:52,331,Luka Vulikic missed Layup.,22,50
0:52,-1,Iain Carr Defensive Rebound.,22,50
0:41,-1,Treyvon Bashir missed Three Point Jumper.,22,50
0:41,331,Eastern Washington Defensive Rebound.,22,50
0:26,-1,Foul on Jarred Burr.,22,50
0:26,331,Bogdan Bliznyuk made Free Throw.,22,51
0:00,-1,Davone Oliver Jr. missed Jumper.,22,51
0:00,331,Eastern Washington Defensive Rebound.,22,51
0:00,331,End of 1st half,22,51
19:44,331,Sir Washington made Layup.,22,53
19:31,-1,Foul on Iain Carr.,22,53
19:31,-1,Iain Carr Turnover.,22,53
19:17,331,Geremy McKay made Layup. Assisted by Jacob Wiley.,22,55
19:05,331,Foul on Geremy McKay.,22,55
18:47,-1,Foul on Iain Carr.,22,55
18:47,-1,Iain Carr Turnover.,22,55
18:30,331,Felix Von Hofe made Three Point Jumper. Assisted by Bogdan Bliznyuk.,22,58
18:13,-1,Tymarieh Dixon missed Jumper.,22,58
18:13,331,Felix Von Hofe Defensive Rebound.,22,58
18:07,-1,Foul on Jared Schultz.,22,58
18:01,331,Sir Washington made Three Point Jumper. Assisted by Bogdan Bliznyuk.,22,61
17:32,-1,Jared Schultz made Jumper. Assisted by Tymarieh Dixon.,24,61
17:16,331,Geremy McKay made Layup. Assisted by Jacob Wiley.,24,63
16:48,-1,Davone Oliver Jr. Turnover.,24,63
16:33,331,Sir Washington missed Layup.,24,63
16:33,-1,Jared Schultz Defensive Rebound.,24,63
16:17,331,Foul on Geremy McKay.,24,63
16:01,-1,Tymarieh Dixon missed Layup.,24,63
16:01,-1,Tymarieh Dixon Offensive Rebound.,24,63
15:55,-1,Tymarieh Dixon missed Dunk.,24,63
15:55,-1,Tymarieh Dixon Offensive Rebound.,24,63
15:52,-1,Tymarieh Dixon made Layup.,26,63
15:37,-1,Foul on Tymarieh Dixon.,26,63
15:37,331,Official TV Timeout,26,63
15:26,331,Felix Von Hofe missed Three Point Jumper.,26,63
15:26,331,Jacob Wiley Offensive Rebound.,26,63
15:23,331,Jacob Wiley missed Layup.,26,63
15:23,-1,Sergio Berkley Defensive Rebound.,26,63
15:03,-1,Tymarieh Dixon made Layup. Assisted by Sergio Berkley.,28,63
14:42,331,Bogdan Bliznyuk made Jumper.,28,65
14:26,-1,Jared Schultz made Jumper.,30,65
14:02,331,Bogdan Bliznyuk missed Layup.,30,65
14:02,-1,Tymarieh Dixon Defensive Rebound.,30,65
13:53,-1,Jared Schultz made Three Point Jumper. Assisted by Sergio Berkley.,33,65
13:26,331,Sir Washington missed Jumper.,33,65
13:26,331,Geremy McKay Offensive Rebound.,33,65
13:24,331,Geremy McKay made Layup.,33,67
13:07,-1,Davone Oliver Jr. made Jumper.,35,67
12:44,331,Jacob Wiley made Jumper.,35,69
12:27,-1,Davone Oliver Jr. made Jumper.,37,69
12:17,331,Felix Von Hofe made Layup.,37,71
12:02,-1,Jared Schultz missed Three Point Jumper.,37,71
12:02,-1,Davone Oliver Jr. Offensive Rebound.,37,71
11:57,-1,Tymarieh Dixon made Layup. Assisted by Davone Oliver Jr..,39,71
11:57,331,Foul on Jacob Wiley.,39,71
11:57,331,Official TV Timeout,39,71
11:57,-1,Tymarieh Dixon made Free Throw.,40,71
11:36,331,Ty Gibson made Three Point Jumper. Assisted by Mason Peatling.,40,74
11:27,-1,Jared Schultz missed Three Point Jumper.,40,74
11:27,331,Michael Wearne Defensive Rebound.,40,74
11:21,-1,Foul on Treyvon Bashir.,40,74
11:05,331,Michael Wearne missed Layup.,40,74
11:05,331,Jesse Hunt Offensive Rebound.,40,74
11:02,331,Jesse Hunt missed Layup.,40,74
11:02,-1,Davone Oliver Jr. Defensive Rebound.,40,74
10:56,331,Foul on Cody Benzel.,40,74
10:56,-1,Sergio Berkley made Free Throw.,41,74
10:56,-1,Sergio Berkley made Free Throw.,42,74
10:56,-1,Great Falls  Timeout,42,74
10:46,331,Ty Gibson Turnover.,42,74
10:34,-1,Jarred Burr missed Three Point Jumper.,42,74
10:34,331,Ty Gibson Defensive Rebound.,42,74
10:19,331,Mason Peatling made Layup. Assisted by Cody Benzel.,42,76
10:04,-1,Sergio Berkley Turnover.,42,76
9:48,-1,Foul on Iain Carr.,42,76
9:43,-1,Foul on Matthew Brooks-McGregor.,42,76
9:43,331,Jesse Hunt made Free Throw.,42,77
9:43,331,Jesse Hunt made Free Throw.,42,78
9:20,-1,Matthew Brooks-McGregor Turnover.,42,78
9:01,331,Jesse Hunt made Dunk. Assisted by Mason Peatling.,42,80
8:50,-1,Iain Carr made Layup.,44,80
8:45,331,Foul on Luka Vulikic.,44,80
8:37,-1,Foul on Davone Oliver Jr..,44,80
8:22,331,Sir Washington made Layup.,44,82
7:57,-1,Tymarieh Dixon made Layup. Assisted by Sergio Berkley.,46,82
7:38,331,Mason Peatling made Layup. Assisted by Jesse Hunt.,46,84
7:28,-1,Sergio Berkley Turnover.,46,84
7:27,331,Cody Benzel Steal.,46,84
7:24,331,Cody Benzel made Layup.,46,86
7:14,-1,Tymarieh Dixon made Layup.,48,86
7:14,331,Foul on Mason Peatling.,48,86
7:14,331,Official TV Timeout,48,86
7:14,-1,Tymarieh Dixon made Free Throw.,49,86
7:05,331,Jesse Hunt made Layup.,49,88
6:59,331,Foul on Sir Washington.,49,88
6:59,-1,Matthew Brooks-McGregor made Free Throw.,50,88
6:59,-1,Matthew Brooks-McGregor made Free Throw.,51,88
6:43,331,Sir Washington Turnover.,51,88
6:29,-1,Jared Schultz made Jumper.,53,88
6:16,331,Ty Gibson missed Three Point Jumper.,53,88
6:16,-1,Treyvon Bashir Defensive Rebound.,53,88
6:14,331,Eastern Washington  Timeout,53,88
5:55,-1,Davone Oliver Jr. made Jumper.,55,88
5:45,331,Michael Wearne Turnover.,55,88
5:36,-1,Frank Gump Iii missed Three Point Jumper.,55,88
5:36,331,Sir Washington Defensive Rebound.,55,88
5:27,331,Sir Washington Turnover.,55,88
5:26,-1,Jarred Burr Steal.,55,88
5:24,-1,Jarred Burr missed Layup.,55,88
5:24,331,Sir Washington Block.,55,88
5:22,-1,Jarred Burr Offensive Rebound.,55,88
5:21,331,Foul on Felix Von Hofe.,55,88
5:21,-1,Jarred Burr made Free Throw.,56,88
5:19,-1,Jarred Burr made Free Throw.,57,88
5:08,331,Bogdan Bliznyuk made Layup.,57,90
5:08,331,Eastern Washington  Timeout,57,90
5:04,-1,Foul on Jarred Burr.,57,90
4:45,331,Ty Gibson made Three Point Jumper. Assisted by Sir Washington.,57,93
4:14,-1,Jarred Burr made Three Point Jumper. Assisted by Iain Carr.,60,93
3:54,-1,Foul on Frank Gump Iii.,60,93
3:53,331,Official TV Timeout,60,93
3:53,331,Bogdan Bliznyuk made Free Throw.,60,94
3:53,331,Bogdan Bliznyuk made Free Throw.,60,95
3:27,-1,Matthew Brooks-McGregor Turnover.,60,95
3:24,-1,Foul on Iain Carr.,60,95
3:24,331,Mason Peatling missed Free Throw.,60,95
3:24,331,Eastern Washington Deadball Team Rebound.,60,95
3:24,331,Mason Peatling made Free Throw.,60,96
3:16,331,Foul on Ty Gibson.,60,96
3:16,-1,Jarred Burr missed Free Throw.,60,96
3:16,-1,Frank Gump Iii Offensive Rebound.,60,96
3:10,-1,Matthew Brooks-McGregor made Jumper.,62,96
2:38,331,Sir Washington missed Three Point Jumper.,62,96
2:38,-1,Frank Gump Iii Defensive Rebound.,62,96
2:32,-1,Matthew Brooks-McGregor made Layup.,64,96
2:25,-1,Foul on Iain Carr.,64,96
2:25,331,Grant Gibb made Free Throw.,64,97
2:25,331,Grant Gibb made Free Throw.,64,98
2:13,-1,Davone Oliver Jr. missed Three Point Jumper.,64,98
2:13,-1,Treyvon Bashir Offensive Rebound.,64,98
2:09,-1,Jarred Burr made Three Point Jumper. Assisted by Treyvon Bashir.,67,98
2:00,331,Grant Gibb made Layup.,67,100
2:00,-1,Foul on Treyvon Bashir.,67,100
2:00,331,Grant Gibb made Free Throw.,67,101
1:47,-1,Frank Gump Iii made Three Point Jumper. Assisted by Jarred Burr.,70,101
1:33,331,Jesse Hunt missed Layup.,70,101
1:33,-1,Treyvon Bashir Defensive Rebound.,70,101
1:26,-1,Frank Gump Iii missed Three Point Jumper.,70,101
1:26,-1,Matthew Brooks-McGregor Offensive Rebound.,70,101
1:25,331,Foul on Jesse Hunt.,70,101
1:25,-1,Matthew Brooks-McGregor missed Free Throw.,70,101
1:25,-1,Great Falls Deadball Team Rebound.,70,101
1:25,-1,Matthew Brooks-McGregor made Free Throw.,71,101
1:04,-1,Foul on Jarred Burr.,71,101
1:04,331,Jacob Wiley made Free Throw.,71,102
1:04,331,Jacob Wiley made Free Throw.,71,103
0:58,-1,Matthew Brooks-McGregor made Jumper. Assisted by Jarred Burr.,73,103
0:41,-1,Foul on Davone Oliver Jr..,73,103
0:41,331,Luka Vulikic missed Free Throw.,73,103
0:41,331,Eastern Washington Deadball Team Rebound.,73,103
0:41,331,Luka Vulikic missed Free Throw.,73,103
0:41,-1,Treyvon Bashir Defensive Rebound.,73,103
0:32,-1,Matthew Brooks-McGregor missed Layup.,73,103
0:32,-1,Davone Oliver Jr. Offensive Rebound.,73,103
0:27,-1,Davone Oliver Jr. missed Three Point Jumper.,73,103
0:27,331,Jacob Wiley Defensive Rebound.,73,103
0:24,331,Foul on Luka Vulikic.,73,103
0:23,-1,Frank Gump Iii made Three Point Jumper. Assisted by Jarred Burr.,76,103
0:00,331,End of Game,76,103
