Nicholls,52,Florida State,2447
15:55,52,Christ Koumadje made Layup.,0,9
15:55,2447,Foul on Liam Thomas.,0,9
15:55,52,Official TV Timeout,0,9
15:55,52,Christ Koumadje made Free Throw.,0,10
15:40,2447,Ja'Dante' Frye missed Jumper.,0,10
15:40,52,CJ Walker Defensive Rebound.,0,10
15:34,52,Braian Angola-Rodas made Layup.,0,12
15:15,2447,Adam Ward missed Jumper.,0,12
15:15,52,Dwayne Bacon Defensive Rebound.,0,12
14:52,52,Dwayne Bacon missed Three Point Jumper.,0,12
14:52,2447,Ja'Dante' Frye Defensive Rebound.,0,12
14:44,2447,Tre O'Neal Turnover.,0,12
14:44,52,Braian Angola-Rodas Steal.,0,12
14:39,52,CJ Walker Turnover.,0,12
14:23,2447,Stevie Repichowski Turnover.,0,12
14:23,52,CJ Walker made Layup.,0,14
13:52,52,Foul on CJ Walker.,0,14
13:52,2447,Adam Ward made Free Throw.,1,14
13:52,2447,Adam Ward made Free Throw.,2,14
13:45,52,Christ Koumadje made Dunk. Assisted by PJ Savoy.,2,16
13:30,2447,Jahvaughn Powell Turnover.,2,16
13:30,52,Trent Forrest Steal.,2,16
13:21,52,Trent Forrest made Layup.,2,18
13:04,2447,Adam Ward missed Jumper.,2,18
13:04,52,Trent Forrest Defensive Rebound.,2,18
12:57,52,PJ Savoy missed Three Point Jumper.,2,18
12:57,2447,Johnathan Bell Defensive Rebound.,2,18
12:40,52,Foul on CJ Walker.,2,18
12:31,2447,Johnathan Bell Turnover.,2,18
12:19,52,Brandon Allen missed Three Point Jumper.,2,18
12:19,2447,Nicholls Deadball Team Rebound.,2,18
12:16,52,Foul on Christ Koumadje.,2,18
12:00,2447,Adam Ward Turnover.,2,18
12:00,52,CJ Walker Steal.,2,18
12:00,2447,Foul on Jahvaughn Powell.,2,18
11:51,52,PJ Savoy missed Three Point Jumper.,2,18
11:51,52,Trent Forrest Offensive Rebound.,2,18
11:45,52,Trent Forrest made Layup.,2,20
11:40,2447,Ja'Dante' Frye Turnover.,2,20
11:40,52,CJ Walker Steal.,2,20
11:35,52,Trent Forrest made Layup. Assisted by CJ Walker.,2,22
11:35,2447,Nicholls  Timeout,2,22
11:35,52,Official TV Timeout,2,22
11:25,2447,Jahvaughn Powell Turnover.,2,22
11:13,52,Xavier Rathan-Mayes made Jumper.,2,24
10:46,2447,Adam Ward made Layup. Assisted by Ja'Dante' Frye.,4,24
10:34,52,PJ Savoy made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,4,27
10:15,2447,Ja'Dante' Frye Turnover.,4,27
10:08,52,Terance Mann made Dunk. Assisted by Dwayne Bacon.,4,29
9:43,2447,Tre O'Neal missed Three Point Jumper.,4,29
9:43,2447,Ja'Dante' Frye Offensive Rebound.,4,29
9:38,2447,Ja'Dante' Frye made Jumper.,6,29
9:30,52,PJ Savoy made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,6,32
9:09,2447,Ja'Dante' Frye made Layup. Assisted by Luka Kamber.,8,32
9:09,52,Foul on Jarquez Smith.,8,32
9:09,2447,Ja'Dante' Frye made Free Throw.,9,32
8:50,52,Jarquez Smith missed Layup.,9,32
8:50,2447,Liam Thomas Block.,9,32
8:50,2447,Liam Thomas Defensive Rebound.,9,32
8:41,2447,Johnathan Bell missed Three Point Jumper.,9,32
8:41,52,Xavier Rathan-Mayes Defensive Rebound.,9,32
8:32,2447,Foul on Ja'Dante' Frye.,9,32
8:32,52,Xavier Rathan-Mayes missed Free Throw.,9,32
8:32,52,Florida St Deadball Team Rebound.,9,32
8:32,52,Xavier Rathan-Mayes made Free Throw.,9,33
8:14,2447,Luka Kamber missed Three Point Jumper.,9,33
8:14,52,Dwayne Bacon Defensive Rebound.,9,33
8:02,52,Dwayne Bacon made Layup.,9,35
7:47,2447,Johnathan Bell missed Jumper.,9,35
7:47,52,Xavier Rathan-Mayes Defensive Rebound.,9,35
7:35,52,Dwayne Bacon made Jumper.,9,37
7:35,2447,Foul on Luka Kamber.,9,37
7:35,52,Official TV Timeout,9,37
7:35,52,Dwayne Bacon made Free Throw.,9,38
7:21,2447,Stevie Repichowski missed Three Point Jumper.,9,38
7:21,52,Xavier Rathan-Mayes Defensive Rebound.,9,38
7:14,52,Braian Angola-Rodas made Layup. Assisted by Xavier Rathan-Mayes.,9,40
6:53,2447,Jahvaughn Powell missed Three Point Jumper.,9,40
6:53,2447,Johnathan Bell Offensive Rebound.,9,40
6:47,2447,Johnathan Bell made Layup.,11,40
6:36,52,Michael Ojo made Layup. Assisted by Braian Angola-Rodas.,11,42
6:25,2447,Jahvaughn Powell made Layup.,13,42
6:12,52,Michael Ojo made Layup. Assisted by Xavier Rathan-Mayes.,13,44
5:53,2447,Johnathan Bell missed Jumper.,13,44
5:53,52,Florida St Defensive Rebound.,13,44
5:44,52,Michael Ojo made Layup. Assisted by Braian Angola-Rodas.,13,46
5:25,2447,Jahvaughn Powell Turnover.,13,46
5:16,52,Michael Ojo Turnover.,13,46
4:55,2447,Ja'Dante' Frye missed Jumper.,13,46
4:55,52,Dwayne Bacon Defensive Rebound.,13,46
4:44,52,Dwayne Bacon made Layup.,13,48
4:28,52,Foul on CJ Walker.,13,48
4:28,2447,Tre O'Neal made Free Throw.,14,48
4:28,2447,Tre O'Neal made Free Throw.,15,48
4:18,52,Dwayne Bacon made Three Point Jumper. Assisted by Trent Forrest.,15,51
3:52,2447,Tre O'Neal missed Jumper.,15,51
3:52,2447,Adam Ward Offensive Rebound.,15,51
3:49,52,Official TV Timeout,15,51
3:41,2447,Stevie Repichowski Turnover.,15,51
3:32,52,PJ Savoy missed Three Point Jumper.,15,51
3:32,52,Xavier Rathan-Mayes Offensive Rebound.,15,51
3:26,52,Xavier Rathan-Mayes Turnover.,15,51
3:26,2447,Stevie Repichowski Steal.,15,51
3:21,2447,Ja'Dante' Frye missed Three Point Jumper.,15,51
3:21,2447,Adam Ward Offensive Rebound.,15,51
3:17,52,Foul on Christ Koumadje.,15,51
3:17,2447,Adam Ward missed Free Throw.,15,51
3:17,52,Christ Koumadje Defensive Rebound.,15,51
3:12,52,Xavier Rathan-Mayes made Layup. Assisted by Trent Forrest.,15,53
2:58,52,Foul on Xavier Rathan-Mayes.,15,53
2:58,2447,Jahvaughn Powell made Free Throw.,16,53
2:58,2447,Jahvaughn Powell made Free Throw.,17,53
2:52,52,PJ Savoy missed Three Point Jumper.,17,53
2:52,52,Trent Forrest Offensive Rebound.,17,53
2:43,52,Trent Forrest missed Layup.,17,53
2:43,2447,Adam Ward Block.,17,53
2:43,52,Florida St Offensive Rebound.,17,53
2:37,52,Foul on Trent Forrest.,17,53
2:37,52,Trent Forrest Turnover.,17,53
2:27,2447,Adam Ward made Jumper. Assisted by Jahvaughn Powell.,19,53
2:06,52,Brandon Allen made Three Point Jumper. Assisted by Trent Forrest.,19,56
1:51,2447,Jahvaughn Powell missed Layup.,19,56
1:51,52,Christ Koumadje Block.,19,56
1:51,2447,Johnathan Bell Offensive Rebound.,19,56
1:37,2447,Johnathan Bell made Jumper.,21,56
1:31,52,Christ Koumadje Turnover.,21,56
1:31,2447,Johnathan Bell Steal.,21,56
1:27,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Johnathan Bell.,24,56
1:05,52,Xavier Rathan-Mayes made Three Point Jumper. Assisted by Trent Forrest.,24,59
0:45,2447,Stevie Repichowski missed Three Point Jumper.,24,59
0:45,52,Trent Forrest Defensive Rebound.,24,59
0:31,52,Christ Koumadje made Jumper. Assisted by Brandon Allen.,24,61
0:07,2447,Jahvaughn Powell missed Three Point Jumper.,24,61
0:07,52,Florida St Defensive Rebound.,24,61
0:00,52,End of 1st half,24,61
20:00,2447,Jump Ball won by Nicholls,24,61
19:57,2447,Jahvaughn Powell made Jumper.,26,61
19:34,52,Braian Angola-Rodas missed Layup.,26,61
19:34,2447,Nicholls Defensive Rebound.,26,61
19:25,2447,Liam Thomas made Layup. Assisted by Jahvaughn Powell.,28,61
19:06,52,Xavier Rathan-Mayes missed Layup.,28,61
19:06,2447,Johnathan Bell Defensive Rebound.,28,61
18:55,2447,Liam Thomas missed Layup.,28,61
18:55,52,Michael Ojo Block.,28,61
18:55,2447,Nicholls Offensive Rebound.,28,61
18:53,52,Florida St  Timeout,28,61
18:39,2447,Jahvaughn Powell Turnover.,28,61
18:39,52,Xavier Rathan-Mayes Steal.,28,61
18:34,52,Xavier Rathan-Mayes made Layup.,28,63
18:10,2447,Tre O'Neal made Jumper.,30,63
17:45,2447,Foul on Johnathan Bell.,30,63
17:45,52,Braian Angola-Rodas made Free Throw.,30,64
17:45,52,Braian Angola-Rodas made Free Throw.,30,65
17:30,2447,Jahvaughn Powell missed Three Point Jumper.,30,65
17:30,52,Dwayne Bacon Defensive Rebound.,30,65
17:21,52,Terance Mann Turnover.,30,65
17:04,2447,Ja'Dante' Frye missed Layup.,30,65
17:04,52,Dwayne Bacon Defensive Rebound.,30,65
16:58,52,Xavier Rathan-Mayes Turnover.,30,65
16:58,2447,Liam Thomas Steal.,30,65
16:50,52,Foul on Dwayne Bacon.,30,65
16:50,2447,Ja'Dante' Frye made Free Throw.,31,65
16:50,2447,Ja'Dante' Frye made Free Throw.,32,65
16:34,52,Michael Ojo made Dunk. Assisted by Trent Forrest.,32,67
16:15,2447,Jahvaughn Powell missed Layup.,32,67
16:15,52,Michael Ojo Block.,32,67
16:15,2447,Ja'Dante' Frye Offensive Rebound.,32,67
16:05,2447,Ja'Dante' Frye missed Layup.,32,67
16:05,52,Trent Forrest Defensive Rebound.,32,67
15:56,52,Dwayne Bacon missed Jumper.,32,67
15:56,2447,Johnathan Bell Defensive Rebound.,32,67
15:48,2447,Ja'Dante' Frye missed Layup.,32,67
15:48,52,Michael Ojo Block.,32,67
15:48,2447,Liam Thomas Offensive Rebound.,32,67
15:39,2447,Johnathan Bell made Jumper. Assisted by Liam Thomas.,34,67
15:31,52,Trent Forrest Turnover.,34,67
15:26,52,Foul on Dwayne Bacon.,34,67
15:12,2447,Stevie Repichowski made Three Point Jumper. Assisted by Jahvaughn Powell.,37,67
14:59,2447,Foul on Stevie Repichowski.,37,67
14:59,52,Dwayne Bacon made Free Throw.,37,68
14:59,52,Dwayne Bacon made Free Throw.,37,69
14:49,2447,Jahvaughn Powell Turnover.,37,69
14:49,52,Dwayne Bacon Steal.,37,69
14:41,52,Trent Forrest made Layup. Assisted by Dwayne Bacon.,37,71
14:36,2447,Tre O'Neal Turnover.,37,71
14:36,52,Trent Forrest Steal.,37,71
14:32,52,Trent Forrest made Layup.,37,73
14:32,2447,Nicholls  Timeout,37,73
14:22,2447,Adam Ward missed Jumper.,37,73
14:22,52,Christ Koumadje Block.,37,73
14:22,2447,Adam Ward Offensive Rebound.,37,73
14:11,52,Foul on Christ Koumadje.,37,73
14:11,2447,Ja'Dante' Frye made Free Throw.,38,73
14:11,2447,Ja'Dante' Frye made Free Throw.,39,73
14:01,2447,Foul on Adam Ward.,39,73
13:59,52,Brandon Allen made Jumper. Assisted by CJ Walker.,39,75
13:35,2447,Ja'Dante' Frye missed Three Point Jumper.,39,75
13:35,52,Florida St Defensive Rebound.,39,75
13:26,52,CJ Walker made Three Point Jumper. Assisted by PJ Savoy.,39,78
13:04,52,Foul on Christ Koumadje.,39,78
13:04,2447,Ja'Dante' Frye missed Free Throw.,39,78
13:04,2447,Nicholls Deadball Team Rebound.,39,78
13:04,2447,Ja'Dante' Frye missed Free Throw.,39,78
13:04,2447,Nicholls Offensive Rebound.,39,78
12:48,2447,Stevie Repichowski missed Three Point Jumper.,39,78
12:48,52,Trent Forrest Defensive Rebound.,39,78
12:39,52,PJ Savoy made Three Point Jumper. Assisted by Trent Forrest.,39,81
12:15,2447,Tre O'Neal missed Jumper.,39,81
12:15,52,Florida St Defensive Rebound.,39,81
12:03,52,PJ Savoy missed Three Point Jumper.,39,81
12:03,2447,Tre O'Neal Defensive Rebound.,39,81
11:57,2447,Adam Ward made Dunk. Assisted by Tre O'Neal.,41,81
11:35,52,CJ Walker missed Three Point Jumper.,41,81
11:35,52,Michael Ojo Offensive Rebound.,41,81
11:29,52,Michael Ojo made Layup.,41,83
11:09,2447,Stevie Repichowski missed Three Point Jumper.,41,83
11:09,2447,Ja'Dante' Frye Offensive Rebound.,41,83
11:03,52,Foul on Michael Ojo.,41,83
11:03,52,Official TV Timeout,41,83
11:03,2447,Ja'Dante' Frye made Free Throw.,42,83
11:03,2447,Ja'Dante' Frye made Free Throw.,43,83
10:48,52,Dwayne Bacon missed Layup.,43,83
10:48,2447,Jahvaughn Powell Defensive Rebound.,43,83
10:42,2447,Ja'Dante' Frye missed Three Point Jumper.,43,83
10:42,2447,Liam Thomas Offensive Rebound.,43,83
10:38,52,Foul on Michael Ojo.,43,83
10:32,2447,Liam Thomas missed Dunk.,43,83
10:32,52,PJ Savoy Defensive Rebound.,43,83
10:24,52,Dwayne Bacon made Layup. Assisted by PJ Savoy.,43,85
9:58,2447,Tre O'Neal missed Three Point Jumper.,43,85
9:58,52,Michael Ojo Defensive Rebound.,43,85
9:49,52,Dwayne Bacon made Dunk. Assisted by Xavier Rathan-Mayes.,43,87
9:26,2447,Jahvaughn Powell Turnover.,43,87
9:16,52,Braian Angola-Rodas made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,43,90
8:57,2447,Tre O'Neal Turnover.,43,90
8:57,52,Xavier Rathan-Mayes Steal.,43,90
8:48,52,Xavier Rathan-Mayes made Three Point Jumper.,43,93
8:25,2447,Ja'Dante' Frye missed Jumper.,43,93
8:25,52,Braian Angola-Rodas Defensive Rebound.,43,93
8:14,52,Dwayne Bacon missed Dunk.,43,93
8:14,2447,Adam Ward Block.,43,93
8:14,52,Florida St Offensive Rebound.,43,93
8:07,52,Christ Koumadje missed Jumper.,43,93
8:07,2447,Jahvaughn Powell Defensive Rebound.,43,93
7:55,2447,Ja'Dante' Frye made Layup.,45,93
7:42,52,Christ Koumadje made Dunk. Assisted by Xavier Rathan-Mayes.,45,95
7:29,2447,Ja'Dante' Frye made Layup.,47,95
7:20,52,Braian Angola-Rodas missed Three Point Jumper.,47,95
7:20,52,Christ Koumadje Offensive Rebound.,47,95
7:13,52,Christ Koumadje missed Layup.,47,95
7:13,2447,Johnathan Bell Defensive Rebound.,47,95
7:05,2447,Johnathan Bell missed Three Point Jumper.,47,95
7:05,52,Braian Angola-Rodas Defensive Rebound.,47,95
6:58,52,PJ Savoy made Three Point Jumper. Assisted by Braian Angola-Rodas.,47,98
6:40,52,Foul on Braian Angola-Rodas.,47,98
6:40,52,Official TV Timeout,47,98
6:40,2447,Jahvaughn Powell missed Free Throw.,47,98
6:40,52,Brandon Allen Defensive Rebound.,47,98
6:32,2447,Foul on Luka Kamber.,47,98
6:31,52,Brandon Allen missed Jumper.,47,98
6:31,2447,Jahvaughn Powell Defensive Rebound.,47,98
6:22,2447,Johnathan Bell missed Layup.,47,98
6:22,52,Terance Mann Defensive Rebound.,47,98
6:11,52,Terance Mann Turnover.,47,98
5:47,52,Foul on CJ Walker.,47,98
5:47,2447,Tre O'Neal missed Free Throw.,47,98
5:47,2447,Nicholls Deadball Team Rebound.,47,98
5:47,52,Foul on Brandon Allen.,47,98
5:47,2447,Johnathan Bell made Free Throw.,48,98
5:47,2447,Johnathan Bell made Free Throw.,49,98
5:30,2447,Foul on Luka Kamber.,49,98
5:30,52,Braian Angola-Rodas made Free Throw.,49,99
5:30,52,Braian Angola-Rodas made Free Throw.,49,100
5:18,2447,Jahvaughn Powell missed Three Point Jumper.,49,100
5:18,52,Braian Angola-Rodas Block.,49,100
5:18,52,Christ Koumadje Defensive Rebound.,49,100
5:01,52,Braian Angola-Rodas made Three Point Jumper. Assisted by CJ Walker.,49,103
4:39,52,Foul on Brandon Allen.,49,103
4:39,2447,Ja'Dante' Frye made Free Throw.,50,103
4:39,2447,Ja'Dante' Frye made Free Throw.,51,103
4:30,52,PJ Savoy made Three Point Jumper. Assisted by CJ Walker.,51,106
4:18,2447,Johnathan Bell made Jumper.,53,106
4:04,52,Brandon Allen missed Three Point Jumper.,53,106
4:04,2447,Jahvaughn Powell Defensive Rebound.,53,106
3:56,2447,Jahvaughn Powell missed Layup.,53,106
3:56,52,Christ Koumadje Block.,53,106
3:56,2447,Nicholls Offensive Rebound.,53,106
3:55,52,Official TV Timeout,53,106
3:52,2447,Jahvaughn Powell missed Jumper.,53,106
3:52,52,PJ Savoy Defensive Rebound.,53,106
3:39,52,Brandon Allen made Three Point Jumper. Assisted by Braian Angola-Rodas.,53,109
3:15,2447,Johnathan Bell missed Three Point Jumper.,53,109
3:15,2447,Johnathan Bell Offensive Rebound.,53,109
3:09,2447,Ja'Dante' Frye made Three Point Jumper. Assisted by Jahvaughn Powell.,56,109
2:48,52,PJ Savoy missed Three Point Jumper.,56,109
2:48,52,Christ Koumadje Offensive Rebound.,56,109
2:48,52,PJ Savoy missed Three Point Jumper.,56,109
2:48,2447,Stevie Repichowski Defensive Rebound.,56,109
2:26,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Ja'Dante' Frye.,59,109
2:06,52,CJ Walker Turnover.,59,109
2:06,2447,Luka Kamber Steal.,59,109
1:59,2447,Johnathan Bell made Layup. Assisted by Jahvaughn Powell.,61,109
1:45,52,Brandon Allen made Three Point Jumper. Assisted by Braian Angola-Rodas.,61,112
1:45,52,Florida St  Timeout,61,112
1:33,2447,Ja'Dante' Frye missed Layup.,61,112
1:33,52,Brandon Allen Defensive Rebound.,61,112
1:24,52,Trent Forrest made Three Point Jumper. Assisted by Brandon Allen.,61,115
1:08,2447,Stevie Repichowski missed Three Point Jumper.,61,115
1:08,52,Christ Koumadje Defensive Rebound.,61,115
1:00,52,PJ Savoy missed Three Point Jumper.,61,115
1:00,52,CJ Walker Offensive Rebound.,61,115
0:41,52,PJ Savoy made Three Point Jumper. Assisted by Brandon Allen.,61,118
0:26,2447,Jahvaughn Powell made Jumper.,63,118
0:00,52,End of Game,63,118
