Vanderbilt,2393,Middle Tennessee,238
8:47,2393,Antwain Johnson missed Layup.,12,17
8:47,238,Clevon Brown Block.,12,17
8:45,238,Clevon Brown Defensive Rebound.,12,17
8:40,2393,Foul on Xavier Habersham.,12,17
8:39,238,Riley LaChance missed Three Point Jumper.,12,17
8:39,2393,Reggie Upshaw Defensive Rebound.,12,17
8:27,2393,Edward Simpson missed Three Point Jumper.,12,17
8:27,2393,Antwain Johnson Offensive Rebound.,12,17
8:21,238,Foul on Matthew Fisher-Davis.,12,17
8:21,2393,Antwain Johnson missed Free Throw.,12,17
8:21,2393,Middle Tennessee Deadball Team Rebound.,12,17
8:21,2393,Antwain Johnson made Free Throw.,12,18
8:08,238,Payton Willis missed Three Point Jumper.,12,18
8:08,2393,Xavier Habersham Defensive Rebound.,12,18
7:49,2393,Xavier Habersham made Three Point Jumper. Assisted by Edward Simpson.,12,21
7:46,238,Vanderbilt  Timeout,12,21
7:46,2393,Official TV Timeout,12,21
7:32,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,15,21
7:14,2393,Xavier Habersham missed Jumper.,15,21
7:14,238,Luke Kornet Defensive Rebound.,15,21
7:12,2393,Foul on Aldonis Foote.,15,21
6:57,238,Matthew Fisher-Davis Turnover.,15,21
6:56,2393,Edward Simpson Steal.,15,21
6:43,2393,Giddy Potts missed Layup.,15,21
6:43,238,Riley LaChance Defensive Rebound.,15,21
6:36,238,Luke Kornet missed Three Point Jumper.,15,21
6:36,238,Clevon Brown Offensive Rebound.,15,21
6:31,238,Clevon Brown made Layup.,17,21
6:08,2393,Giddy Potts missed Three Point Jumper.,17,21
6:08,238,Riley LaChance Defensive Rebound.,17,21
6:04,2393,Foul on Aldonis Foote.,17,21
5:41,238,Matthew Fisher-Davis missed Layup.,17,21
5:41,2393,Giddy Potts Defensive Rebound.,17,21
5:18,2393,Giddy Potts missed Jumper.,17,21
5:18,238,Riley LaChance Defensive Rebound.,17,21
5:05,238,Clevon Brown made Jumper.,19,21
4:36,2393,Giddy Potts made Three Point Jumper. Assisted by Reggie Upshaw.,19,24
4:12,238,Riley LaChance Turnover.,19,24
3:54,2393,Giddy Potts made Jumper.,19,26
3:28,238,Jeff Roberson made Layup. Assisted by Clevon Brown.,21,26
3:05,238,Foul on Clevon Brown.,21,26
3:05,2393,Official TV Timeout,21,26
3:05,2393,Reggie Upshaw missed Free Throw.,21,26
3:05,2393,Middle Tennessee Deadball Team Rebound.,21,26
3:05,2393,Reggie Upshaw missed Free Throw.,21,26
3:05,238,Clevon Brown Defensive Rebound.,21,26
2:38,238,Jeff Roberson missed Layup.,21,26
2:38,2393,Reggie Upshaw Defensive Rebound.,21,26
2:12,2393,Tyrik Dixon missed Three Point Jumper.,21,26
2:12,2393,Tyrik Dixon Offensive Rebound.,21,26
1:56,2393,Giddy Potts missed Three Point Jumper.,21,26
1:56,238,Matthew Fisher-Davis Defensive Rebound.,21,26
1:30,238,Nolan Cressler missed Three Point Jumper.,21,26
1:30,2393,JaCorey Williams Defensive Rebound.,21,26
1:07,2393,Reggie Upshaw made Jumper.,21,28
0:49,238,Matthew Fisher-Davis missed Three Point Jumper.,21,28
0:49,2393,JaCorey Williams Defensive Rebound.,21,28
0:27,2393,Giddy Potts made Three Point Jumper. Assisted by Edward Simpson.,21,31
0:05,238,Matthew Fisher-Davis missed Three Point Jumper.,21,31
0:05,238,Vanderbilt Offensive Rebound.,21,31
0:01,238,Luke Kornet made Jumper. Assisted by Nolan Cressler.,23,31
0:00,2393,End of 1st half,23,31
19:38,2393,Reggie Upshaw made Jumper.,23,33
19:08,2393,Foul on Edward Simpson.,23,33
19:08,238,Payton Willis made Free Throw.,24,33
19:08,238,Payton Willis made Free Throw.,25,33
18:52,2393,Reggie Upshaw missed Three Point Jumper.,25,33
18:52,238,Matthew Fisher-Davis Defensive Rebound.,25,33
18:49,2393,Foul on Giddy Potts.,25,33
18:35,238,Luke Kornet missed Jumper.,25,33
18:35,2393,JaCorey Williams Defensive Rebound.,25,33
18:12,2393,Reggie Upshaw made Jumper.,25,35
17:52,238,Luke Kornet missed Three Point Jumper.,25,35
17:52,2393,Tyrik Dixon Defensive Rebound.,25,35
17:44,238,Foul on Luke Kornet.,25,35
17:43,2393,JaCorey Williams made Jumper.,25,37
17:23,238,Luke Kornet missed Jumper.,25,37
17:23,2393,Tyrik Dixon Defensive Rebound.,25,37
17:20,238,Foul on Nolan Cressler.,25,37
17:07,2393,JaCorey Williams Turnover.,25,37
17:02,238,Riley LaChance missed Jumper.,25,37
17:02,2393,JaCorey Williams Defensive Rebound.,25,37
16:51,238,Foul on Nolan Cressler.,25,37
16:51,2393,Giddy Potts made Free Throw.,25,38
16:51,2393,Giddy Potts made Free Throw.,25,39
16:39,238,Matthew Fisher-Davis Turnover.,25,39
16:38,2393,Edward Simpson Steal.,25,39
16:34,2393,Reggie Upshaw made Dunk. Assisted by Giddy Potts.,25,41
16:32,238,Vanderbilt  Timeout,25,41
16:11,2393,Foul on Giddy Potts.,25,41
16:11,238,Matthew Fisher-Davis made Free Throw.,26,41
16:11,238,Matthew Fisher-Davis made Free Throw.,27,41
16:00,2393,Reggie Upshaw made Jumper. Assisted by Tyrik Dixon.,27,43
15:42,238,Matthew Fisher-Davis made Layup.,29,43
15:37,238,Foul on Riley LaChance.,29,43
15:37,2393,Official TV Timeout,29,43
15:36,2393,Edward Simpson missed Three Point Jumper.,29,43
15:36,238,Vanderbilt Defensive Rebound.,29,43
15:07,238,Clevon Brown missed Jumper.,29,43
15:07,2393,Tyrik Dixon Defensive Rebound.,29,43
14:59,2393,Giddy Potts made Layup. Assisted by Tyrik Dixon.,29,45
14:44,238,Riley LaChance made Layup.,31,45
14:21,2393,Edward Simpson missed Three Point Jumper.,31,45
14:21,238,Joe Toye Defensive Rebound.,31,45
14:17,2393,Foul on JaCorey Williams.,31,45
14:08,238,Jeff Roberson missed Three Point Jumper.,31,45
14:08,2393,Giddy Potts Defensive Rebound.,31,45
13:51,2393,Giddy Potts made Three Point Jumper. Assisted by Edward Simpson.,31,48
13:25,238,Jeff Roberson missed Jumper.,31,48
13:25,2393,Giddy Potts Defensive Rebound.,31,48
13:10,238,Foul on Nolan Cressler.,31,48
13:10,2393,JaCorey Williams missed Free Throw.,31,48
13:10,2393,Middle Tennessee Deadball Team Rebound.,31,48
13:10,2393,JaCorey Williams made Free Throw.,31,49
12:55,238,Jeff Roberson Turnover.,31,49
12:54,2393,Reggie Upshaw Steal.,31,49
12:52,2393,Reggie Upshaw made Dunk. Assisted by Brandon Walters.,31,51
12:49,238,Vanderbilt  Timeout,31,51
12:36,238,Clevon Brown made Jumper.,33,51
12:17,2393,Antwain Johnson missed Three Point Jumper.,33,51
12:17,238,Matthew Fisher-Davis Defensive Rebound.,33,51
11:55,238,Luke Kornet missed Jumper.,33,51
11:55,2393,Reggie Upshaw Defensive Rebound.,33,51
11:34,2393,Brandon Walters missed Jumper.,33,51
11:34,238,Luke Kornet Block.,33,51
11:32,2393,Brandon Walters Offensive Rebound.,33,51
11:31,2393,Brandon Walters missed Jumper.,33,51
11:31,238,Luke Kornet Defensive Rebound.,33,51
11:24,238,Joe Toye made Three Point Jumper. Assisted by Matthew Fisher-Davis.,36,51
11:12,2393,Middle Tennessee  Timeout,36,51
11:12,2393,Official TV Timeout,36,51
11:01,2393,JaCorey Williams missed Jumper.,36,51
11:01,238,Clevon Brown Defensive Rebound.,36,51
10:43,238,Matthew Fisher-Davis missed Three Point Jumper.,36,51
10:43,2393,Giddy Potts Defensive Rebound.,36,51
10:33,2393,Xavier Habersham made Three Point Jumper. Assisted by Edward Simpson.,36,54
10:11,238,Payton Willis Turnover.,36,54
10:08,2393,Tyrik Dixon made Layup. Assisted by Edward Simpson.,36,56
9:38,238,Luke Kornet made Layup. Assisted by Joe Toye.,38,56
9:07,2393,Edward Simpson made Three Point Jumper.,38,59
8:53,238,Joe Toye Turnover.,38,59
8:51,2393,Giddy Potts Steal.,38,59
8:49,2393,Giddy Potts made Layup.,38,61
8:48,238,Foul on Payton Willis.,38,61
8:48,2393,Giddy Potts made Free Throw.,38,62
8:39,238,Luke Kornet Turnover.,38,62
8:37,2393,Tyrik Dixon Steal.,38,62
8:28,2393,Edward Simpson Turnover.,38,62
8:25,238,Nolan Cressler Steal.,38,62
8:19,238,Nolan Cressler made Layup.,40,62
7:50,2393,Reggie Upshaw missed Three Point Jumper.,40,62
7:50,238,Vanderbilt Defensive Rebound.,40,62
7:46,2393,Official TV Timeout,40,62
7:37,238,Riley LaChance Turnover.,40,62
7:37,2393,Giddy Potts Steal.,40,62
7:33,2393,Giddy Potts made Dunk. Assisted by Reggie Upshaw.,40,64
7:12,2393,Foul on JaCorey Williams.,40,64
7:12,238,Jeff Roberson missed Free Throw.,40,64
7:12,238,Vanderbilt Deadball Team Rebound.,40,64
7:12,238,Jeff Roberson missed Free Throw.,40,64
7:12,2393,Reggie Upshaw Defensive Rebound.,40,64
6:51,2393,JaCorey Williams made Jumper.,40,66
6:30,238,Jeff Roberson made Layup. Assisted by Luke Kornet.,42,66
6:30,2393,Foul on Reggie Upshaw.,42,66
6:30,238,Jeff Roberson missed Free Throw.,42,66
6:30,2393,JaCorey Williams Defensive Rebound.,42,66
6:16,2393,Giddy Potts missed Three Point Jumper.,42,66
6:16,238,Jeff Roberson Defensive Rebound.,42,66
6:06,238,Luke Kornet missed Jumper.,42,66
6:06,2393,Giddy Potts Defensive Rebound.,42,66
5:36,2393,Foul on Tyrik Dixon.,42,66
5:36,2393,Tyrik Dixon Turnover.,42,66
5:23,238,Luke Kornet made Jumper.,44,66
4:57,2393,JaCorey Williams missed Jumper.,44,66
4:57,2393,Middle Tennessee Offensive Rebound.,44,66
4:23,2393,JaCorey Williams missed Jumper.,44,66
4:23,238,Luke Kornet Defensive Rebound.,44,66
4:11,238,Luke Kornet missed Layup.,44,66
4:11,2393,Reggie Upshaw Block.,44,66
4:09,2393,Tyrik Dixon Defensive Rebound.,44,66
3:44,2393,Reggie Upshaw missed Jumper.,44,66
3:44,238,Jeff Roberson Defensive Rebound.,44,66
3:25,238,Matthew Fisher-Davis missed Jumper.,44,66
3:25,238,Luke Kornet Offensive Rebound.,44,66
3:22,238,Riley LaChance Turnover.,44,66
3:18,2393,Giddy Potts Steal.,44,66
2:54,2393,Reggie Upshaw missed Jumper.,44,66
2:54,238,Nolan Cressler Defensive Rebound.,44,66
2:46,238,Nolan Cressler missed Layup.,44,66
2:46,2393,JaCorey Williams Defensive Rebound.,44,66
2:15,2393,JaCorey Williams made Jumper.,44,68
2:12,238,Vanderbilt  Timeout,44,68
2:12,2393,Official TV Timeout,44,68
1:58,238,Matthew Fisher-Davis Turnover.,44,68
1:57,2393,JaCorey Williams Steal.,44,68
1:52,2393,JaCorey Williams made Dunk. Assisted by Reggie Upshaw.,44,70
1:40,238,Riley LaChance missed Three Point Jumper.,44,70
1:40,2393,Tyrik Dixon Defensive Rebound.,44,70
1:33,2393,Middle Tennessee  Timeout,44,70
1:24,2393,Karl Gamble missed Three Point Jumper.,44,70
1:24,238,Riley LaChance Defensive Rebound.,44,70
1:11,238,Matthew Fisher-Davis missed Jumper.,44,70
1:11,2393,Chase Miller Block.,44,70
1:10,238,Jeff Roberson Offensive Rebound.,44,70
1:09,2393,Foul on Karl Gamble.,44,70
1:09,238,Jeff Roberson made Free Throw.,45,70
1:09,238,Jeff Roberson made Free Throw.,46,70
0:56,2393,Antwain Johnson missed Three Point Jumper.,46,70
0:56,2393,Middle Tennessee Offensive Rebound.,46,70
0:55,2393,Brandon Walters missed Jumper.,46,70
0:55,238,Nolan Cressler Defensive Rebound.,46,70
0:43,2393,Foul on Karl Gamble.,46,70
0:43,238,Luke Kornet made Free Throw.,47,70
0:43,238,Luke Kornet made Free Throw.,48,70
0:27,238,Foul on Jeff Roberson.,48,70
0:27,2393,Karl Gamble made Free Throw.,48,71
0:27,2393,Karl Gamble missed Free Throw.,48,71
0:27,238,Jeff Roberson Defensive Rebound.,48,71
0:13,238,Nolan Cressler missed Layup.,48,71
0:13,2393,Brandon Walters Block.,48,71
0:09,238,Luke Kornet Offensive Rebound.,48,71
0:08,238,Jeff Roberson missed Three Point Jumper.,48,71
0:08,2393,Brandon Walters Defensive Rebound.,48,71
0:00,2393,End of Game,48,71
