Denver,147,Montana State,2172
5:22,2172,Joe Rosga Turnover.,17,26
5:19,147,Devonte Klines missed Layup.,17,26
5:19,147,Devonte Klines Offensive Rebound.,17,26
5:15,147,Devonte Klines made Layup.,17,28
5:04,147,Foul on Devonte Klines.,17,28
5:04,2172,Joe Rosga made Free Throw.,18,28
5:04,2172,Joe Rosga made Free Throw.,19,28
4:44,147,Devonte Klines Turnover.,19,28
4:30,147,Foul on Devonte Klines.,19,28
4:30,2172,Jake Holtzmann made Free Throw.,20,28
4:30,2172,Jake Holtzmann made Free Throw.,21,28
4:08,147,Harald Frey missed Three Point Jumper.,21,28
4:08,2172,Thomas Neff Defensive Rebound.,21,28
3:58,2172,Elvin Rodriguez made Jumper.,23,28
3:57,147,Montana State  Timeout,23,28
3:47,147,Harald Frey missed Three Point Jumper.,23,28
3:47,2172,Elvin Rodriguez Defensive Rebound.,23,28
3:35,2172,Elvin Rodriguez missed Three Point Jumper.,23,28
3:35,147,Harald Frey Defensive Rebound.,23,28
3:28,147,Harald Frey made Jumper.,23,30
2:57,2172,Denver  Turnover.,23,30
2:41,2172,Foul on Joe Rosga.,23,30
2:41,147,Konner Frey missed Free Throw.,23,30
2:41,147,Montana State Deadball Team Rebound.,23,30
2:41,147,Konner Frey made Free Throw.,23,31
2:21,147,Foul on Konner Frey.,23,31
2:21,2172,Jake Pemberton made Free Throw.,24,31
2:21,2172,Jake Pemberton made Free Throw.,25,31
2:11,147,Harald Frey made Three Point Jumper. Assisted by Keljin Blevins.,25,34
1:54,2172,Foul on Jake Pemberton.,25,34
1:54,2172,Jake Pemberton Turnover.,25,34
1:31,147,Harald Frey made Three Point Jumper. Assisted by Keljin Blevins.,25,37
1:23,2172,Jake Pemberton missed Jumper.,25,37
1:23,147,Benson Osayande Block.,25,37
1:23,2172,Denver Offensive Rebound.,25,37
1:18,2172,Thomas Neff missed Layup.,25,37
1:18,147,Montana State Defensive Rebound.,25,37
1:06,147,Foul on Harald Frey.,25,37
1:06,147,Harald Frey Turnover.,25,37
0:38,2172,Donoven Carlisle Turnover.,25,37
0:27,147,Keljin Blevins made Jumper.,25,39
0:03,2172,Thomas Neff missed Jumper.,25,39
0:03,2172,Abiola Akintola Offensive Rebound.,25,39
0:00,2172,Abiola Akintola made Jumper.,27,39
0:00,147,End of 1st half,25,39
19:42,2172,Daniel Amigo made Layup. Assisted by Ade Murkey.,29,39
19:16,147,Harald Frey missed Three Point Jumper.,29,39
19:16,147,Sam Neumann Offensive Rebound.,29,39
19:10,147,Tyler Hall missed Three Point Jumper.,29,39
19:10,2172,Ade Murkey Defensive Rebound.,29,39
18:45,2172,Daniel Amigo missed Layup.,29,39
18:45,2172,Daniel Amigo Offensive Rebound.,29,39
18:44,2172,Daniel Amigo made Layup.,31,39
18:43,147,Montana State  Timeout,31,39
18:12,147,Harald Frey missed Three Point Jumper.,31,39
18:12,2172,Joe Rosga Defensive Rebound.,31,39
18:00,2172,Ade Murkey made Jumper.,33,39
17:32,147,Devonte Klines missed Three Point Jumper.,33,39
17:32,2172,Jake Krafka Defensive Rebound.,33,39
17:25,147,Devonte Klines Steal.,33,39
17:23,2172,Joe Rosga Turnover.,33,39
17:18,147,Devonte Klines missed Layup.,33,39
17:18,147,Keljin Blevins Offensive Rebound.,33,39
17:14,147,Keljin Blevins made Layup.,33,41
17:08,2172,Foul on Daniel Amigo.,33,41
17:08,2172,Daniel Amigo Turnover.,33,41
16:48,147,Tyler Hall missed Jumper.,33,41
16:48,2172,Ade Murkey Defensive Rebound.,33,41
16:30,2172,Ade Murkey missed Jumper.,33,41
16:29,147,Tyler Hall Block.,33,41
16:28,2172,Jake Krafka Offensive Rebound.,33,41
16:27,147,Foul on Tyler Hall.,33,41
16:27,147,Technical Foul on Tyler Hall.,33,41
16:27,2172,Joe Rosga made Free Throw.,34,41
16:27,2172,Joe Rosga made Free Throw.,35,41
16:26,2172,Jake Pemberton made Three Point Jumper. Assisted by Daniel Amigo.,38,41
16:12,2172,Foul on Jake Pemberton.,38,41
16:11,147,Tyler Hall missed Three Point Jumper.,38,41
16:11,147,Sam Neumann Offensive Rebound.,38,41
16:06,2172,Foul on Daniel Amigo.,38,41
16:06,2172,Daniel Amigo Turnover.,38,41
16:02,147,Keljin Blevins missed Jumper.,38,41
16:02,2172,Joe Rosga Defensive Rebound.,38,41
15:56,2172,Jake Pemberton made Jumper. Assisted by Joe Rosga.,40,41
15:28,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,40,44
15:07,2172,Ade Murkey missed Layup.,40,44
15:07,147,Sam Neumann Defensive Rebound.,40,44
15:02,147,Keljin Blevins made Dunk. Assisted by Tyler Hall.,40,46
15:01,2172,Denver  Timeout,40,46
14:54,147,Foul on Konner Frey.,40,46
14:54,2172,Jake Pemberton made Free Throw.,41,46
14:54,2172,Jake Pemberton made Free Throw.,42,46
14:39,147,Tyler Hall missed Three Point Jumper.,42,46
14:39,2172,Donoven Carlisle Defensive Rebound.,42,46
14:29,2172,Jake Krafka missed Layup.,42,46
14:29,147,Konner Frey Defensive Rebound.,42,46
14:13,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Harald Frey.,42,49
14:02,147,Foul on Zach Green.,42,49
14:02,2172,Jake Krafka made Free Throw.,43,49
14:02,2172,Jake Krafka made Free Throw.,44,49
13:49,147,Konner Frey Turnover.,44,49
13:49,2172,Jake Pemberton Steal.,44,49
13:49,147,Foul on Tyler Hall.,44,49
13:25,2172,Joe Rosga Turnover.,44,49
13:23,147,Benson Osayande Steal.,44,49
13:17,147,Joe Mvuezolo Jr. Turnover.,44,49
12:48,147,Foul on Benson Osayande.,44,49
12:48,2172,Donoven Carlisle missed Free Throw.,44,49
12:48,2172,Denver Deadball Team Rebound.,44,49
12:48,2172,Donoven Carlisle made Free Throw.,45,49
12:33,147,Foul on Keljin Blevins.,45,49
12:33,147,Keljin Blevins Turnover.,45,49
12:11,2172,Christian Mackey Turnover.,45,49
11:59,147,Devonte Klines missed Three Point Jumper.,45,49
11:59,2172,Donoven Carlisle Defensive Rebound.,45,49
11:46,2172,Thomas Neff Turnover.,45,49
11:46,147,Official TV Timeout,45,49
11:33,147,Keljin Blevins made Dunk.,45,51
11:06,147,Foul on Benson Osayande.,45,51
11:06,2172,Jake Pemberton made Free Throw.,46,51
11:06,2172,Jake Pemberton made Free Throw.,47,51
10:44,147,Devonte Klines made Jumper.,47,53
10:23,2172,Jake Krafka missed Three Point Jumper.,47,53
10:23,147,Joe Mvuezolo Jr. Defensive Rebound.,47,53
10:13,2172,Foul on Thomas Neff.,47,53
9:59,147,Joe Mvuezolo Jr. missed Jumper.,47,53
9:59,2172,Abiola Akintola Defensive Rebound.,47,53
9:38,2172,Elvin Rodriguez missed Jumper.,47,53
9:38,147,Benson Osayande Defensive Rebound.,47,53
9:38,2172,Foul on Abiola Akintola.,47,53
9:20,147,Joe Mvuezolo Jr. made Jumper. Assisted by Harald Frey.,47,55
9:04,147,Foul on Joe Mvuezolo Jr..,47,55
9:04,2172,Elvin Rodriguez missed Free Throw.,47,55
9:04,2172,Denver Deadball Team Rebound.,47,55
9:04,2172,Elvin Rodriguez missed Free Throw.,47,55
9:04,147,Zach Green Defensive Rebound.,47,55
8:54,2172,Foul on Joe Rosga.,47,55
8:54,147,Devonte Klines made Free Throw.,47,56
8:54,147,Devonte Klines made Free Throw.,47,57
8:34,2172,Jake Pemberton missed Jumper.,47,57
8:34,2172,Jake Krafka Offensive Rebound.,47,57
8:30,2172,Jake Krafka missed Layup.,47,57
8:30,2172,Jake Krafka Offensive Rebound.,47,57
8:24,2172,Jake Krafka made Layup.,49,57
8:17,147,Zach Green made Jumper.,49,59
8:17,2172,Foul on Jake Krafka.,49,59
8:17,147,Zach Green missed Free Throw.,49,59
8:17,2172,Daniel Amigo Defensive Rebound.,49,59
8:16,147,Zach Green Steal.,49,59
8:15,2172,Jake Krafka Turnover.,49,59
8:09,2172,Foul on Jake Krafka.,49,59
8:09,147,Zach Green made Free Throw.,49,60
8:09,147,Zach Green made Free Throw.,49,61
7:59,147,Foul on Harald Frey.,49,61
7:59,147,Harald Frey Turnover.,49,61
7:59,147,Official TV Timeout,49,61
7:52,2172,Jake Pemberton made Layup. Assisted by Jake Holtzmann.,51,61
7:24,147,Sam Neumann missed Jumper.,51,61
7:24,2172,Ade Murkey Block.,51,61
7:23,2172,Jake Holtzmann Defensive Rebound.,51,61
7:08,2172,Daniel Amigo made Jumper.,53,61
7:08,147,Foul on Sam Neumann.,53,61
7:08,2172,Daniel Amigo missed Free Throw.,53,61
7:08,147,Sam Neumann Defensive Rebound.,53,61
6:55,147,Tyler Hall missed Three Point Jumper.,53,61
6:55,147,Sam Neumann Offensive Rebound.,53,61
6:39,147,Devonte Klines missed Jumper.,53,61
6:39,2172,Ade Murkey Defensive Rebound.,53,61
6:32,2172,Foul on Jake Holtzmann.,53,61
6:32,2172,Jake Holtzmann Turnover.,53,61
6:16,147,Zach Green missed Jumper.,53,61
6:16,2172,Ade Murkey Defensive Rebound.,53,61
6:09,2172,Joe Rosga made Three Point Jumper. Assisted by Ade Murkey.,56,61
5:52,147,Tyler Hall missed Jumper.,56,61
5:52,147,Sam Neumann Offensive Rebound.,56,61
5:52,2172,Foul on Ade Murkey.,56,61
5:52,147,Sam Neumann made Free Throw.,56,62
5:52,147,Sam Neumann missed Free Throw.,56,62
5:52,2172,Jake Pemberton Defensive Rebound.,56,62
5:30,2172,Ade Murkey made Dunk. Assisted by Daniel Amigo.,58,62
5:30,147,Tyler Hall made Jumper.,58,64
5:12,2172,Joe Rosga made Jumper.,60,64
5:07,147,Foul on Tyler Hall.,60,64
5:07,147,Tyler Hall Turnover.,60,64
4:53,2172,Foul on Daniel Amigo.,60,64
4:53,2172,Daniel Amigo Turnover.,60,64
4:39,2172,Foul on Jake Holtzmann.,60,64
4:39,147,Harald Frey made Free Throw.,60,65
4:39,147,Harald Frey made Free Throw.,60,66
4:30,2172,Jake Holtzmann missed Three Point Jumper.,60,66
4:30,147,Sam Neumann Defensive Rebound.,60,66
4:05,147,Joe Mvuezolo Jr. missed Jumper.,60,66
4:05,2172,Abiola Akintola Defensive Rebound.,60,66
3:53,2172,Foul on Ade Murkey.,60,66
3:53,2172,Ade Murkey Turnover.,60,66
3:53,147,Official TV Timeout,60,66
3:40,147,Joe Mvuezolo Jr. missed Three Point Jumper.,60,66
3:40,2172,Jake Holtzmann Defensive Rebound.,60,66
3:19,2172,Ade Murkey missed Jumper.,60,66
3:19,147,Zach Green Defensive Rebound.,60,66
3:02,147,Keljin Blevins Turnover.,60,66
3:00,2172,Jake Krafka Steal.,60,66
2:55,147,Foul on Harald Frey.,60,66
2:55,2172,Abiola Akintola made Free Throw.,61,66
2:55,2172,Abiola Akintola missed Free Throw.,61,66
2:55,147,Keljin Blevins Defensive Rebound.,61,66
2:40,147,Harald Frey missed Three Point Jumper.,61,66
2:40,2172,Abiola Akintola Defensive Rebound.,61,66
2:23,2172,Joe Rosga made Jumper. Assisted by Ade Murkey.,63,66
1:56,147,Harald Frey made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,63,69
1:42,2172,Joe Rosga missed Jumper.,63,69
1:42,2172,Joe Rosga Offensive Rebound.,63,69
1:36,147,Foul on Zach Green.,63,69
1:36,2172,Ade Murkey made Free Throw.,64,69
1:36,2172,Ade Murkey missed Free Throw.,64,69
1:36,147,Keljin Blevins Defensive Rebound.,64,69
1:13,2172,Foul on Jake Pemberton.,64,69
1:13,2172,Denver  Timeout,64,69
1:13,147,Harald Frey made Free Throw.,64,70
1:13,147,Harald Frey made Free Throw.,64,71
1:05,2172,Joe Rosga Turnover.,64,71
1:04,2172,Foul on Joe Rosga.,64,71
1:04,147,Harald Frey made Free Throw.,64,72
1:04,147,Harald Frey made Free Throw.,64,73
0:55,2172,Joe Rosga missed Jumper.,64,73
0:55,2172,Ade Murkey Offensive Rebound.,64,73
0:53,147,Foul on Harald Frey.,64,73
0:53,2172,Ade Murkey made Free Throw.,65,73
0:53,2172,Ade Murkey missed Free Throw.,65,73
0:53,147,Joe Mvuezolo Jr. Defensive Rebound.,65,73
0:51,2172,Foul on Jake Pemberton.,65,73
0:51,147,Joe Mvuezolo Jr. made Free Throw.,65,74
0:51,147,Joe Mvuezolo Jr. made Free Throw.,65,75
0:43,2172,Elvin Rodriguez Turnover.,65,75
0:43,147,Joe Mvuezolo Jr. Steal.,65,75
0:43,2172,Foul on Ade Murkey.,65,75
0:43,147,Keljin Blevins made Free Throw.,65,76
0:43,147,Keljin Blevins made Free Throw.,65,77
0:37,2172,Jake Pemberton missed Three Point Jumper.,65,77
0:37,2172,Ade Murkey Offensive Rebound.,65,77
0:32,2172,Ade Murkey missed Jumper.,65,77
0:32,147,Montana State Defensive Rebound.,65,77
0:04,147,Lassi Nikkarinen made Jumper.,65,79
0:00,147,End of Game,65,79
