Millsaps,Error,UL Monroe,2433
6:07,2433,Calvin Anderson missed Three Point Jumper.,38,83
6:07,-1,Cameron Carvelli Defensive Rebound.,38,83
5:56,-1,Matt Owens made Layup. Assisted by Cameron Carvelli.,40,83
5:27,2433,Kiir Deng missed Layup.,40,83
5:27,-1,Block.,40,83
5:24,2433,Calvin Anderson Offensive Rebound.,40,83
5:23,-1,Foul on Derrick Burt.,40,83
5:23,2433,Calvin Anderson made Free Throw.,40,84
5:23,2433,Calvin Anderson missed Free Throw.,40,84
5:23,-1,Cameron Carvelli Defensive Rebound.,40,84
5:06,-1,She'Chem Grant made Layup.,42,84
4:41,2433,Donovan Walker made Layup.,42,86
4:25,-1,Saxton Becker missed Layup.,42,86
4:25,-1,Saxton Becker Offensive Rebound.,42,86
4:23,-1,Saxton Becker made Two Point Tip Shot.,44,86
4:00,2433,Calvin Anderson Turnover.,44,86
4:00,-1,Saxton Becker Steal.,44,86
4:00,2433,Official TV Timeout,44,86
3:44,-1,Saxton Becker missed Three Point Jumper.,44,86
3:44,-1,Saxton Becker Offensive Rebound.,44,86
3:28,-1,Saxton Becker missed Three Point Jumper.,44,86
3:28,2433,Brandon Newman Defensive Rebound.,44,86
3:19,2433,Lance Richard made Three Point Jumper. Assisted by Donovan Walker.,44,89
2:57,-1,Turnover.,44,89
2:45,2433,Donovan Walker made Jumper. Assisted by Lance Richard.,44,91
2:45,-1,Foul on  .,44,91
2:45,2433,Donovan Walker made Free Throw.,44,92
2:26,-1,Cameron Carvelli Turnover.,44,92
2:10,2433,Calvin Anderson missed Jumper.,44,92
2:10,-1,Cameron Carvelli Defensive Rebound.,44,92
1:41,-1,Matt Owens missed Jumper.,44,92
1:41,2433,Kiir Deng Block.,44,92
1:40,2433,Brandon Newman Defensive Rebound.,44,92
1:36,2433,Kiir Deng made Layup. Assisted by Brandon Newman.,44,94
1:24,2433,Foul on Donovan Walker.,44,94
1:24,-1,Johnathan Manning missed Free Throw.,44,94
1:24,2433,Calvin Anderson Defensive Rebound.,44,94
1:07,2433,Lance Richard missed Three Point Jumper.,44,94
1:07,2433,Kiir Deng Offensive Rebound.,44,94
0:53,2433,Donovan Walker missed Layup.,44,94
0:53,2433,Donovan Walker Offensive Rebound.,44,94
0:48,2433,Lance Richard missed Three Point Jumper.,44,94
0:48,-1,Drew Burnett Defensive Rebound.,44,94
0:30,-1,Kyle Winters missed Three Point Jumper.,44,94
0:30,2433,Calvin Anderson Defensive Rebound.,44,94
0:22,-1,Foul on Johnathan Manning.,44,94
0:22,2433,Kiir Deng made Free Throw.,44,95
0:22,2433,Kiir Deng missed Free Throw.,44,95
0:22,-1,Drew Burnett Defensive Rebound.,44,95
0:07,-1,Johnathan Manning Turnover.,44,95
0:07,2433,Donovan Walker Steal.,44,95
0:05,2433,Kiir Deng made Dunk. Assisted by Donovan Walker.,44,97
0:01,-1,Johnathan Manning missed Three Point Jumper.,44,97
0:00,-1,Millsaps Deadball Team Rebound.,44,97
0:00,2433,End of Game,44,97
