Northeastern,2309,Kent State,111
11:23,2309,Kevin Zabo Steal.,49,46
11:21,2309,Mitch Peterson missed Layup.,49,46
11:21,111,Donnell Gresham Jr. Defensive Rebound.,49,46
11:11,2309,Foul on Kevin Zabo.,49,46
11:09,111,Tomas Murphy made Layup. Assisted by Vasa Pusica.,51,46
10:48,2309,Jaylin Walker made Jumper.,51,48
10:22,2309,Foul on Desmond Ridenour.,51,48
10:22,111,Vasa Pusica made Free Throw.,52,48
10:22,111,Vasa Pusica made Free Throw.,53,48
10:03,111,Foul on Bolden Brace.,53,48
10:01,2309,Desmond Ridenour made Jumper. Assisted by Jalen Avery.,53,50
9:39,2309,Foul on Desmond Ridenour.,53,50
9:31,111,Tomas Murphy made Jumper. Assisted by Vasa Pusica.,55,50
9:05,2309,Adonis De La Rosa Turnover.,55,50
8:49,111,Devon Begley missed Three Point Jumper.,55,50
8:49,2309,Adonis De La Rosa Defensive Rebound.,55,50
8:33,111,Foul on Vasa Pusica.,55,50
8:29,2309,Jaylin Walker Turnover.,55,50
8:17,111,Bolden Brace made Three Point Jumper. Assisted by Vasa Pusica.,58,50
7:56,2309,Akiean Frederick Turnover.,58,50
7:56,2309,Foul on Akiean Frederick.,58,50
7:31,111,Vasa Pusica made Three Point Jumper. Assisted by Shawn Occeus.,61,50
7:07,2309,Adonis De La Rosa Turnover.,61,50
6:53,2309,Foul on Adonis De La Rosa.,61,50
6:53,111,Vasa Pusica missed Free Throw.,61,50
6:53,2309,Mitch Peterson Defensive Rebound.,61,50
6:39,2309,Jalen Avery made Layup.,61,52
6:20,111,Bolden Brace made Three Point Jumper. Assisted by Donnell Gresham Jr..,64,52
5:56,2309,Jalen Avery missed Layup.,64,52
5:56,2309,Akiean Frederick Offensive Rebound.,64,52
5:53,2309,Akiean Frederick made Layup.,64,54
5:31,111,Vasa Pusica missed Layup.,64,54
5:31,111,Tomas Murphy Offensive Rebound.,64,54
5:27,111,Tomas Murphy made Two Point Tip Shot.,66,54
5:25,2309,Kevin Zabo made Layup.,66,56
5:25,111,Foul on Shawn Occeus.,66,56
5:25,2309,Kevin Zabo made Free Throw.,66,57
5:25,2309,Kent State  Timeout,66,57
4:57,111,Tomas Murphy made Layup. Assisted by Shawn Occeus.,68,57
4:35,111,Foul on Vasa Pusica.,68,57
4:35,2309,Kevin Zabo made Free Throw.,68,58
4:35,2309,Kevin Zabo made Free Throw.,68,59
4:17,2309,Foul on Akiean Frederick.,68,59
4:17,111,Donnell Gresham Jr. made Free Throw.,69,59
4:17,111,Donnell Gresham Jr. made Free Throw.,70,59
4:09,2309,Jalen Avery Turnover.,70,59
4:08,111,Vasa Pusica Steal.,70,59
3:50,111,Donnell Gresham Jr. Turnover.,70,59
3:49,2309,Mitch Peterson Steal.,70,59
3:47,2309,Jalen Avery made Layup. Assisted by Mitch Peterson.,70,61
3:24,2309,Foul on Adonis De La Rosa.,70,61
3:24,2309,Official TV Timeout,70,61
3:24,111,Vasa Pusica made Free Throw.,71,61
3:24,111,Vasa Pusica missed Free Throw.,71,61
3:24,2309,Jaylin Walker Defensive Rebound.,71,61
3:03,2309,Jalen Avery missed Layup.,71,61
3:03,111,Devon Begley Defensive Rebound.,71,61
2:30,111,Tomas Murphy made Three Point Jumper.,74,61
2:19,2309,Jaylin Walker made Three Point Jumper. Assisted by Adonis De La Rosa.,74,64
2:16,2309,Kent State  Timeout,74,64
1:50,111,Shawn Occeus made Three Point Jumper. Assisted by Devon Begley.,77,64
1:35,2309,Jaylin Walker made Layup.,77,66
1:00,111,Shawn Occeus missed Three Point Jumper.,77,66
1:00,2309,Kevin Zabo Defensive Rebound.,77,66
0:54,2309,Jaylin Walker missed Layup.,77,66
0:54,111,Tomas Murphy Defensive Rebound.,77,66
0:48,2309,Foul on Ryan Bernstein.,77,66
0:48,111,Vasa Pusica made Free Throw.,78,66
0:48,111,Vasa Pusica made Free Throw.,79,66
0:38,2309,Jalen Avery made Layup.,79,68
0:38,111,Foul on Bolden Brace.,79,68
0:38,2309,Jalen Avery made Free Throw.,79,69
0:35,2309,Foul on Ryan Bernstein.,79,69
0:35,111,Vasa Pusica made Free Throw.,80,69
0:35,111,Vasa Pusica made Free Throw.,81,69
0:26,2309,Jaylin Walker missed Three Point Jumper.,81,69
0:26,111,Devon Begley Defensive Rebound.,81,69
0:00,2309,End of Game,81,69
