Charleston Southern,52,Florida State,2127
2:41,52,PJ Savoy missed Three Point Jumper.,51,69
2:41,2127,Jordan Jones Defensive Rebound.,51,69
2:19,52,Foul on Terance Mann.,51,69
2:19,2127,Jamaal David made Free Throw.,52,69
2:19,2127,Jamaal David made Free Throw.,53,69
2:04,52,Terance Mann Turnover.,53,69
1:40,2127,Christian Keeling made Jumper.,55,69
1:23,52,Foul on PJ Savoy.,55,69
1:23,52,PJ Savoy Turnover.,55,69
1:09,2127,Jamaal David Turnover.,55,69
0:46,52,M.J. Walker Turnover.,55,69
0:42,2127,Ty Jones made Layup.,57,69
0:34,2127,Foul on Ty Jones.,57,69
0:34,52,Trent Forrest missed Free Throw.,57,69
0:34,2127,Travis McConico Defensive Rebound.,57,69
0:34,2127,Ty Jones missed Jumper.,57,69
0:34,2127,Jordan Jones Offensive Rebound.,57,69
0:19,52,Foul on Ike Obiagu.,57,69
0:19,2127,Jordan Jones missed Free Throw.,57,69
0:19,2127,Charleston Southern Deadball Team Rebound.,57,69
0:19,2127,Jordan Jones made Free Throw.,58,69
0:00,52,End of Game,58,69
