Rockford University,2739,Green Bay,2524
13:59,2739,Kameron Hankerson made Three Point Jumper. Assisted by PJ Pipes.,16,20
13:42,2739,Foul on Hunter Crist.,16,20
13:27,-1,Will Adams Turnover.,16,20
13:26,2739,Trevian Bell Steal.,16,20
13:22,-1,Foul on Will Adams.,16,20
13:22,2739,PJ Pipes missed Free Throw.,16,20
13:22,2739,Green Bay Deadball Team Rebound.,16,20
13:22,2739,PJ Pipes made Free Throw.,16,21
12:43,2739,PJ Pipes made Three Point Jumper. Assisted by Kameron Hankerson.,16,24
12:38,-1,Brandon Emerick Turnover.,16,24
12:37,2739,Hunter Crist Steal.,16,24
12:34,2739,Hunter Crist missed Layup.,16,24
12:34,-1,Brandon Emerick Defensive Rebound.,16,24
12:26,-1,Tony Diemer missed Three Point Jumper.,16,24
12:26,2739,PJ Pipes Defensive Rebound.,16,24
12:18,2739,Trevian Bell missed Layup.,16,24
12:18,-1,Trae Blumhorst Block.,16,24
12:16,-1,Kevin Diemer Defensive Rebound.,16,24
12:04,2739,Foul on Sukhjot Bains.,16,24
12:01,-1,Trae Blumhorst made Layup.,18,24
11:44,2739,Khalil Small made Jumper. Assisted by Kameron Hankerson.,18,26
11:37,-1,Kevin Diemer Turnover.,18,26
11:35,2739,Khalil Small Steal.,18,26
11:33,2739,PJ Pipes made Layup. Assisted by Khalil Small.,18,28
11:28,-1,Foul on Kevin Diemer.,18,28
11:28,2739,Official TV Timeout,18,28
11:28,2739,PJ Pipes missed Free Throw.,18,28
11:28,2739,PJ Pipes made Free Throw.,18,29
11:12,-1,Tony Diemer missed Jumper.,18,29
11:12,2739,PJ Pipes Defensive Rebound.,18,29
10:58,2739,David Jesperson missed Jumper.,18,29
10:58,-1,Brandon Emerick Defensive Rebound.,18,29
10:51,-1,Will Adams made Layup. Assisted by Brandon Emerick.,20,29
10:46,2739,Green Bay  Timeout,20,29
10:36,2739,Khalil Small made Layup. Assisted by Sukhjot Bains.,20,31
10:32,-1,Foul on Trae Blumhorst.,20,31
10:32,2739,Khalil Small missed Free Throw.,20,31
10:32,-1,Tony Diemer Defensive Rebound.,20,31
10:32,2739,Foul on Sukhjot Bains.,20,31
10:32,-1,Kevin Diemer Turnover.,20,31
10:22,2739,David Jesperson made Jumper. Assisted by T.J. Parham.,20,33
10:03,-1,Tony Diemer made Jumper. Assisted by Trae Blumhorst.,22,33
9:49,2739,PJ Pipes made Three Point Jumper. Assisted by T.J. Parham.,22,36
9:29,2739,Foul on Khalil Small.,22,36
9:24,-1,Will Adams missed Jumper.,22,36
9:24,2739,David Jesperson Defensive Rebound.,22,36
9:13,2739,Khalil Small Turnover.,22,36
9:11,-1,Kevin Diemer Steal.,22,36
9:10,-1,Brandon Emerick made Layup. Assisted by Kevin Diemer.,24,36
8:54,2739,Khalil Small made Three Point Jumper. Assisted by Sukhjot Bains.,24,39
8:40,-1,Will Adams Turnover.,24,39
8:38,2739,Sukhjot Bains Steal.,24,39
8:10,-1,Foul on Trae Blumhorst.,24,39
8:10,2739,Khalil Small made Free Throw.,24,40
8:10,2739,Khalil Small made Free Throw.,24,41
8:10,2739,Foul on T.J. Parham.,24,41
8:10,-1,Rockford  Timeout,24,41
8:06,-1,Ben Temrowski missed Three Point Jumper.,24,41
8:06,2739,T.J. Parham Defensive Rebound.,24,41
7:54,2739,T.J. Parham missed Three Point Jumper.,24,41
7:54,-1,Taylor Krocker Defensive Rebound.,24,41
7:37,-1,Trae Blumhorst Turnover.,24,41
7:35,2739,T.J. Parham Steal.,24,41
7:31,2739,David Jesperson missed Layup.,24,41
7:31,-1,Trae Blumhorst Defensive Rebound.,24,41
7:25,-1,Brandon Emerick made Three Point Jumper.,27,41
6:54,2739,Hunter Crist missed Three Point Jumper.,27,41
6:54,2739,T.J. Parham Offensive Rebound.,27,41
6:49,2739,T.J. Parham made Layup.,27,43
6:24,-1,Taylor Krocker missed Jumper.,27,43
6:24,2739,T.J. Parham Defensive Rebound.,27,43
6:08,2739,Manny Patterson Turnover.,27,43
6:06,-1,Taylor Krocker Steal.,27,43
5:38,-1,Brandon Emerick missed Three Point Jumper.,27,43
5:38,-1,Tony Diemer Offensive Rebound.,27,43
5:30,-1,Taylor Krocker made Layup. Assisted by Trae Blumhorst.,29,43
5:15,2739,Hunter Crist Turnover.,29,43
5:14,-1,Brandon Emerick Steal.,29,43
5:12,2739,Foul on Hunter Crist.,29,43
5:12,-1,Brandon Emerick made Free Throw.,30,43
5:12,-1,Brandon Emerick made Free Throw.,31,43
5:01,2739,Kameron Hankerson missed Three Point Jumper.,31,43
5:01,2739,Khalil Small Offensive Rebound.,31,43
4:47,2739,Will Chevalier made Layup. Assisted by PJ Pipes.,31,45
4:40,2739,Foul on PJ Pipes.,31,45
4:40,-1,Trae Blumhorst made Free Throw.,32,45
4:40,-1,Trae Blumhorst made Free Throw.,33,45
4:33,2739,Kameron Hankerson Turnover.,33,45
4:22,-1,Tony Diemer missed Jumper.,33,45
4:22,2739,Khalil Small Defensive Rebound.,33,45
4:13,2739,Will Chevalier missed Three Point Jumper.,33,45
4:13,-1,Trae Blumhorst Defensive Rebound.,33,45
4:03,-1,Ben Temrowski missed Three Point Jumper.,33,45
4:03,2739,Kameron Hankerson Defensive Rebound.,33,45
3:57,2739,Khalil Small missed Jumper.,33,45
3:56,2739,PJ Pipes Offensive Rebound.,33,45
3:55,2739,Khalil Small made Jumper.,33,47
3:35,-1,Taylor Krocker missed Jumper.,33,47
3:35,2739,Kameron Hankerson Defensive Rebound.,33,47
3:26,2739,PJ Pipes made Jumper. Assisted by Khalil Small.,33,49
3:10,-1,Tony Diemer Turnover.,33,49
3:10,2739,Official TV Timeout,33,49
3:00,2739,Trevian Bell made Jumper. Assisted by Khalil Small.,33,51
2:36,-1,Brandon Emerick made Layup. Assisted by Taylor Krocker.,35,51
2:22,2739,Khalil Small made Jumper. Assisted by PJ Pipes.,35,53
2:08,-1,Trae Blumhorst Turnover.,35,53
1:48,2739,Khalil Small made Three Point Jumper. Assisted by PJ Pipes.,35,56
1:39,2739,Foul on PJ Pipes.,35,56
1:39,-1,Tony Diemer missed Free Throw.,35,56
1:39,2739,Trevian Bell Defensive Rebound.,35,56
1:23,2739,Khalil Small made Three Point Jumper. Assisted by Kameron Hankerson.,35,59
1:04,-1,Trae Blumhorst made Layup.,37,59
1:03,2739,Foul on Kameron Hankerson.,37,59
1:03,-1,Trae Blumhorst made Free Throw.,38,59
0:53,2739,PJ Pipes missed Three Point Jumper.,38,59
0:53,2739,Khalil Small Offensive Rebound.,38,59
0:47,-1,Foul on Tony Diemer.,38,59
0:47,2739,Khalil Small missed Free Throw.,38,59
0:47,2739,Green Bay Deadball Team Rebound.,38,59
0:47,2739,Khalil Small missed Free Throw.,38,59
0:47,-1,Tony Diemer Defensive Rebound.,38,59
0:29,-1,Ben Temrowski made Three Point Jumper. Assisted by Tony Diemer.,41,59
0:06,2739,Will Chevalier Turnover.,41,59
0:02,-1,Brandon Emerick missed Three Point Jumper.,41,59
0:02,2739,Khalil Small Defensive Rebound.,41,59
0:00,2739,End of 1st half,41,59
19:48,-1,Tony Diemer Turnover.,41,59
19:46,2739,Manny Patterson Steal.,41,59
19:43,2739,Kameron Hankerson made Layup. Assisted by PJ Pipes.,41,61
19:25,-1,Tony Diemer Turnover.,41,61
19:24,2739,Manny Patterson Steal.,41,61
19:19,2739,Kameron Hankerson made Layup.,41,63
19:18,-1,Foul on Tony Diemer.,41,63
19:18,2739,Kameron Hankerson made Free Throw.,41,64
18:58,-1,Taylor Krocker missed Three Point Jumper.,41,64
18:58,-1,Tony Diemer Offensive Rebound.,41,64
18:47,-1,Trae Blumhorst Turnover.,41,64
18:45,2739,PJ Pipes Steal.,41,64
18:42,2739,Khalil Small missed Three Point Jumper.,41,64
18:42,-1,Taylor Krocker Defensive Rebound.,41,64
18:32,-1,Ben Temrowski missed Three Point Jumper.,41,64
18:32,2739,Khalil Small Defensive Rebound.,41,64
18:21,-1,Foul on Taylor Krocker.,41,64
18:21,2739,Kameron Hankerson made Free Throw.,41,65
18:21,2739,Kameron Hankerson missed Free Throw.,41,65
18:21,-1,Tony Diemer Defensive Rebound.,41,65
18:13,2739,Foul on Kameron Hankerson.,41,65
18:00,-1,Tony Diemer Turnover.,41,65
17:59,2739,Kameron Hankerson Steal.,41,65
17:57,2739,David Jesperson made Layup. Assisted by Kameron Hankerson.,41,67
17:36,-1,Trae Blumhorst missed Jumper.,41,67
17:36,2739,Kameron Hankerson Block.,41,67
17:33,-1,Rockford Offensive Rebound.,41,67
17:30,-1,Kevin Diemer Turnover.,41,67
17:30,2739,PJ Pipes Steal.,41,67
17:17,2739,Khalil Small missed Jumper.,41,67
17:17,2739,Kameron Hankerson Offensive Rebound.,41,67
17:11,2739,David Jesperson missed Jumper.,41,67
17:11,-1,Taylor Krocker Defensive Rebound.,41,67
16:54,-1,Brandon Emerick missed Jumper.,41,67
16:54,2739,Manny Patterson Defensive Rebound.,41,67
16:48,2739,PJ Pipes made Jumper.,41,69
16:15,-1,Brandon Emerick missed Three Point Jumper.,41,69
16:15,2739,Manny Patterson Defensive Rebound.,41,69
16:06,2739,Khalil Small missed Jumper.,41,69
16:06,-1,Rockford Defensive Rebound.,41,69
15:58,2739,Kameron Hankerson Turnover.,41,69
15:57,-1,Kevin Diemer Steal.,41,69
15:54,2739,Foul on Hunter Crist.,41,69
15:54,2739,Official TV Timeout,41,69
15:54,-1,Brandon Emerick made Free Throw.,42,69
15:54,-1,Brandon Emerick missed Free Throw.,42,69
15:54,2739,Khalil Small Defensive Rebound.,42,69
15:33,2739,Khalil Small missed Layup.,42,69
15:33,2739,Khalil Small Offensive Rebound.,42,69
15:29,2739,Khalil Small made Layup.,42,71
15:23,2739,Foul on Khalil Small.,42,71
15:15,-1,Ben Temrowski made Three Point Jumper. Assisted by Kevin Diemer.,45,71
15:04,2739,Hunter Crist made Jumper.,45,73
14:42,-1,Kevin Diemer made Jumper. Assisted by Trae Blumhorst.,47,73
14:17,-1,Foul on Taylor Krocker.,47,73
14:17,2739,Manny Patterson made Free Throw.,47,74
14:17,2739,Manny Patterson made Free Throw.,47,75
14:12,-1,Taylor Krocker made Layup.,49,75
13:53,2739,Khalil Small missed Jumper.,49,75
13:53,2739,Green Bay Offensive Rebound.,49,75
13:33,-1,Daniel Rosenstiel Turnover.,49,75
13:31,2739,T.J. Parham Steal.,49,75
13:21,2739,David Jesperson missed Jumper.,49,75
12:56,-1,Foul on Nicolas Ramos.,49,75
12:53,2739,Khalil Small made Three Point Jumper. Assisted by PJ Pipes.,49,78
12:53,2739,Foul on Hunter Crist.,49,78
12:51,-1,Trae Blumhorst missed Layup.,49,78
12:51,2739,Khalil Small Defensive Rebound.,49,78
12:43,2739,PJ Pipes Turnover.,49,78
12:42,-1,Ben Temrowski Steal.,49,78
12:33,-1,Ben Temrowski Turnover.,49,78
12:31,2739,PJ Pipes Steal.,49,78
12:29,2739,Khalil Small made Three Point Jumper.,49,81
12:14,-1,Will Adams missed Jumper.,49,81
12:14,2739,Sukhjot Bains Defensive Rebound.,49,81
12:01,2739,Khalil Small missed Three Point Jumper.,49,81
12:01,-1,Rockford Defensive Rebound.,49,81
11:44,-1,Taylor Krocker missed Jumper.,49,81
11:44,-1,Trae Blumhorst Offensive Rebound.,49,81
11:41,-1,Taylor Krocker missed Jumper.,49,81
11:41,2739,T.J. Parham Defensive Rebound.,49,81
11:31,2739,Kameron Hankerson made Three Point Jumper. Assisted by T.J. Parham.,49,84
11:30,2739,Foul on Hunter Crist.,49,84
11:26,2739,Official TV Timeout,49,84
11:13,2739,Foul on T.J. Parham.,49,84
10:53,-1,Nicolas Ramos made Jumper.,51,84
10:35,2739,PJ Pipes Turnover.,51,84
10:33,-1,Talon Hardin Steal.,51,84
10:31,-1,Talon Hardin Turnover.,51,84
10:30,2739,PJ Pipes Steal.,51,84
10:27,2739,PJ Pipes missed Layup.,51,84
10:27,-1,Taylor Krocker Defensive Rebound.,51,84
10:20,-1,Talon Hardin Turnover.,51,84
10:18,2739,Kameron Hankerson Steal.,51,84
10:16,2739,PJ Pipes missed Three Point Jumper.,51,84
10:16,2739,Sukhjot Bains Offensive Rebound.,51,84
10:11,2739,Trevian Bell made Layup. Assisted by PJ Pipes.,51,86
9:51,-1,Trae Blumhorst made Free Throw.,52,86
9:51,-1,Trae Blumhorst made Free Throw.,53,86
9:42,-1,Foul on Andrew Squires.,53,86
9:40,2739,Foul on Sukhjot Bains.,53,86
9:38,2739,Trevian Bell made Dunk. Assisted by PJ Pipes.,53,88
9:15,-1,Taylor Krocker Turnover.,53,88
9:13,2739,Kameron Hankerson Steal.,53,88
9:11,2739,Trevian Bell missed Layup.,53,88
9:11,2739,Sukhjot Bains Offensive Rebound.,53,88
9:07,2739,Sukhjot Bains missed Layup.,53,88
9:07,2739,Green Bay Offensive Rebound.,53,88
8:49,2739,Trevian Bell Turnover.,53,88
8:47,-1,Ryan Fiorucci Steal.,53,88
8:44,-1,Ryan Fiorucci Turnover.,53,88
8:44,-1,Foul on Ryan Fiorucci.,53,88
8:44,-1,Technical Foul on Ryan Fiorucci.,53,88
8:44,2739,PJ Pipes made Free Throw.,53,89
8:44,2739,PJ Pipes made Free Throw.,53,90
8:35,2739,Will Chevalier missed Three Point Jumper.,53,90
8:35,2739,T.J. Parham Offensive Rebound.,53,90
8:30,2739,T.J. Parham missed Layup.,53,90
8:30,2739,T.J. Parham Offensive Rebound.,53,90
8:25,2739,T.J. Parham made Layup.,53,92
8:12,-1,Ajibola Oke-Diran Turnover.,53,92
7:59,2739,Will Chevalier Turnover.,53,92
7:57,-1,Talon Hardin Steal.,53,92
7:55,-1,Talon Hardin made Layup.,55,92
7:38,2739,Will Chevalier made Three Point Jumper. Assisted by Trevian Bell.,55,95
7:24,2739,Official TV Timeout,55,95
7:07,-1,Ryan Fiorucci made Three Point Jumper. Assisted by Andrew Squires.,58,95
6:51,2739,T.J. Parham missed Jumper.,58,95
6:51,-1,Ryan Fiorucci Defensive Rebound.,58,95
6:38,-1,Andrew Squires missed Three Point Jumper.,58,95
6:38,2739,T.J. Parham Defensive Rebound.,58,95
6:29,2739,PJ Pipes Turnover.,58,95
6:21,-1,Ryan Fiorucci missed Three Point Jumper.,58,95
6:21,2739,Green Bay Defensive Rebound.,58,95
6:19,-1,Foul on Ajibola Oke-Diran.,58,95
6:19,2739,T.J. Parham made Free Throw.,58,96
6:19,2739,T.J. Parham made Free Throw.,58,97
6:04,2739,PJ Pipes Turnover.,58,97
5:54,2739,PJ Pipes Turnover.,58,97
5:50,-1,Ryan Fiorucci made Three Point Jumper. Assisted by Andrew Squires.,61,97
5:35,2739,Will Chevalier missed Three Point Jumper.,61,97
5:35,-1,Ryan Fiorucci Defensive Rebound.,61,97
5:25,-1,Talon Hardin Turnover.,61,97
5:16,2739,Trevian Bell made Jumper.,61,99
4:47,-1,Ryan Fiorucci missed Three Point Jumper.,61,99
4:47,-1,Talon Hardin Offensive Rebound.,61,99
4:35,-1,Ryan Fiorucci Turnover.,61,99
4:34,2739,T.J. Parham Steal.,61,99
4:31,2739,Will Chevalier Turnover.,61,99
4:23,-1,Talon Hardin missed Three Point Jumper.,61,99
4:23,2739,T.J. Parham Defensive Rebound.,61,99
4:09,2739,T.J. Parham missed Three Point Jumper.,61,99
4:09,-1,Jacob Hilliker Defensive Rebound.,61,99
3:39,-1,Sawyer Myers missed Three Point Jumper.,61,99
3:39,2739,Trevian Bell Defensive Rebound.,61,99
3:22,2739,Trevian Bell missed Layup.,61,99
3:22,2739,Manny Patterson Offensive Rebound.,61,99
3:22,-1,Foul on Andrew Squires.,61,99
3:22,2739,Official TV Timeout,61,99
3:22,2739,Manny Patterson missed Free Throw.,61,99
3:22,2739,Green Bay Deadball Team Rebound.,61,99
3:22,2739,Manny Patterson made Free Throw.,61,100
3:11,-1,Josh Carrasquillo made Three Point Jumper. Assisted by Jacob Siewert.,64,100
2:56,2739,T.J. Parham made Three Point Jumper. Assisted by Tyrone Powell.,64,103
2:42,-1,Damon Hofmann missed Three Point Jumper.,64,103
2:42,2739,Manny Patterson Defensive Rebound.,64,103
2:31,2739,Tyrone Powell missed Three Point Jumper.,64,103
2:31,-1,Damon Hofmann Defensive Rebound.,64,103
2:15,-1,Sawyer Myers missed Jumper.,64,103
2:15,2739,Manny Patterson Block.,64,103
2:13,2739,Tyrone Powell Defensive Rebound.,64,103
2:02,2739,Will Chevalier missed Three Point Jumper.,64,103
2:02,2739,Manny Patterson Offensive Rebound.,64,103
1:58,2739,Manny Patterson made Layup.,64,105
1:45,-1,Jacob Hilliker missed Jumper.,64,105
1:45,2739,Will Chevalier Defensive Rebound.,64,105
1:37,-1,Foul on Josh Carrasquillo.,64,105
1:37,2739,Tyrone Powell missed Free Throw.,64,105
1:37,2739,Green Bay Deadball Team Rebound.,64,105
1:37,2739,Tyrone Powell missed Free Throw.,64,105
1:37,-1,Dante Cameron Defensive Rebound.,64,105
1:27,-1,Daniel Rosenstiel Turnover.,64,105
1:26,2739,Tyrone Powell Steal.,64,105
1:18,2739,T.J. Parham made Layup. Assisted by Manny Patterson.,64,107
1:18,-1,Foul on Jacob Heaver.,64,107
1:18,2739,T.J. Parham made Free Throw.,64,108
0:56,-1,Damon Hofmann missed Three Point Jumper.,64,108
0:56,2739,Manny Patterson Defensive Rebound.,64,108
0:39,2739,Tyrone Powell Turnover.,64,108
0:38,-1,Dante Cameron Steal.,64,108
0:27,-1,Dante Cameron Turnover.,64,108
0:00,2739,End of Game,64,108
