North Dakota State,12,Arizona,2449
14:13,2449,Deng Geu Offensive Rebound.,10,6
14:13,2449,Deng Geu Turnover.,10,6
13:52,12,Allonzo Trier made Three Point Jumper. Assisted by Ira Lee.,10,9
13:33,2449,Rocky Kreuser made Three Point Jumper. Assisted by Paul Miller.,13,9
13:14,2449,Foul on Paul Miller.,13,9
13:07,12,Ira Lee missed Three Point Jumper.,13,9
13:07,2449,Deng Geu Defensive Rebound.,13,9
12:44,2449,Paul Miller missed Jumper.,13,9
12:44,12,Ira Lee Defensive Rebound.,13,9
12:25,12,Ira Lee made Jumper. Assisted by Dylan Smith.,13,11
12:01,2449,Rocky Kreuser missed Jumper.,13,11
12:01,12,Brandon Randolph Defensive Rebound.,13,11
11:47,12,Dusan Ristic made Jumper.,13,13
11:18,2449,Paul Miller missed Three Point Jumper.,13,13
11:18,12,Dusan Ristic Defensive Rebound.,13,13
11:08,12,Brandon Randolph missed Three Point Jumper.,13,13
11:08,2449,Rocky Kreuser Defensive Rebound.,13,13
11:00,2449,Cameron Hunter made Three Point Jumper. Assisted by Paul Miller.,16,13
10:40,12,Dusan Ristic Turnover.,16,13
10:40,2449,Cameron Hunter Steal.,16,13
10:40,12,Official TV Timeout,16,13
10:13,2449,Dylan Miller missed Three Point Jumper.,16,13
10:13,12,Deandre Ayton Defensive Rebound.,16,13
9:55,12,Dusan Ristic missed Jumper.,16,13
9:55,12,Dusan Ristic Offensive Rebound.,16,13
9:53,2449,Foul on Dylan Miller.,16,13
9:53,12,Dusan Ristic made Free Throw.,16,14
9:53,12,Dusan Ristic made Free Throw.,16,15
9:25,2449,Cameron Hunter missed Three Point Jumper.,16,15
9:25,12,Dusan Ristic Defensive Rebound.,16,15
9:05,2449,Foul on Cameron Hunter.,16,15
9:04,12,Deandre Ayton made Dunk. Assisted by Parker Jackson-Cartwright.,16,17
8:53,2449,Paul Miller missed Jumper.,16,17
8:53,12,Rawle Alkins Block.,16,17
8:50,2449,Dylan Miller Offensive Rebound.,16,17
8:45,2449,A.J. Jacobson missed Three Point Jumper.,16,17
8:45,12,Rawle Alkins Defensive Rebound.,16,17
8:35,12,Deandre Ayton made Jumper. Assisted by Rawle Alkins.,16,19
8:35,2449,Foul on A.J. Jacobson.,16,19
8:35,12,Deandre Ayton made Free Throw.,16,20
8:14,2449,Paul Miller missed Three Point Jumper.,16,20
8:14,2449,Dylan Miller Offensive Rebound.,16,20
8:08,2449,Dylan Miller made Layup.,18,20
7:44,12,Deandre Ayton made Dunk. Assisted by Allonzo Trier.,18,22
7:17,2449,Paul Miller made Layup. Assisted by A.J. Jacobson.,20,22
7:03,12,Deandre Ayton missed Three Point Jumper.,20,22
7:03,2449,A.J. Jacobson Defensive Rebound.,20,22
6:54,2449,Dylan Miller made Layup. Assisted by A.J. Jacobson.,22,22
6:32,2449,Foul on Tyson Ward.,22,22
6:32,12,Official TV Timeout,22,22
6:16,12,Allonzo Trier made Three Point Jumper.,22,25
5:55,12,Foul on Ira Lee.,22,25
5:40,2449,Paul Miller missed Jumper.,22,25
5:40,12,Ira Lee Block.,22,25
5:40,2449,Cameron Hunter Offensive Rebound.,22,25
5:38,2449,Paul Miller Turnover.,22,25
5:37,12,Brandon Randolph Steal.,22,25
5:10,12,Dylan Smith missed Layup.,22,25
5:10,12,Dylan Smith Offensive Rebound.,22,25
5:07,12,Dylan Smith made Layup.,22,27
4:56,12,Foul on Ira Lee.,22,27
4:44,2449,Deng Geu missed Three Point Jumper.,22,27
4:44,12,Parker Jackson-Cartwright Defensive Rebound.,22,27
4:32,12,Parker Jackson-Cartwright made Three Point Jumper. Assisted by Dusan Ristic.,22,30
4:09,2449,Deng Geu Turnover.,22,30
4:08,12,Brandon Randolph Steal.,22,30
4:04,12,Brandon Randolph missed Jumper.,22,30
4:04,2449,Deng Geu Defensive Rebound.,22,30
3:52,2449,Foul on Spencer Eliason.,22,30
3:52,2449,Spencer Eliason Turnover.,22,30
3:52,12,Official TV Timeout,22,30
3:42,12,Rawle Alkins made Jumper.,22,32
3:23,2449,Rocky Kreuser missed Three Point Jumper.,22,32
3:23,12,Rawle Alkins Defensive Rebound.,22,32
3:07,12,Ira Lee missed Jumper.,22,32
3:07,2449,Tyson Ward Defensive Rebound.,22,32
2:49,2449,Cameron Hunter missed Three Point Jumper.,22,32
2:49,2449,Rocky Kreuser Offensive Rebound.,22,32
2:45,2449,Paul Miller missed Three Point Jumper.,22,32
2:45,12,Brandon Randolph Defensive Rebound.,22,32
2:33,12,Rawle Alkins missed Three Point Jumper.,22,32
2:33,12,Ira Lee Offensive Rebound.,22,32
2:16,12,Dusan Ristic missed Layup.,22,32
2:16,2449,Tyson Ward Defensive Rebound.,22,32
1:45,2449,Cameron Hunter missed Three Point Jumper.,22,32
1:45,12,Arizona Defensive Rebound.,22,32
1:23,12,Deandre Ayton missed Jumper.,22,32
1:23,12,Deandre Ayton Offensive Rebound.,22,32
1:12,2449,Foul on A.J. Jacobson.,22,32
1:12,12,Allonzo Trier made Free Throw.,22,33
1:12,12,Allonzo Trier made Free Throw.,22,34
1:01,2449,Paul Miller Turnover.,22,34
0:45,2449,Foul on Paul Miller.,22,34
0:45,12,Deandre Ayton made Free Throw.,22,35
0:45,12,Deandre Ayton made Free Throw.,22,36
0:24,2449,Tyson Ward missed Three Point Jumper.,22,36
0:24,12,Deandre Ayton Defensive Rebound.,22,36
0:05,12,Deandre Ayton made Dunk. Assisted by Allonzo Trier.,22,38
0:00,12,End of 1st half,22,38
19:52,12,Deandre Ayton made Layup. Assisted by Parker Jackson-Cartwright.,22,40
19:30,12,Foul on Parker Jackson-Cartwright.,22,40
19:16,2449,Tyson Ward made Three Point Jumper.,25,40
18:52,12,Deandre Ayton made Jumper.,25,42
18:41,2449,Paul Miller missed Three Point Jumper.,25,42
18:41,12,Arizona Deadball Team Rebound.,25,42
18:38,2449,Foul on Spencer Eliason.,25,42
18:17,12,Allonzo Trier made Jumper.,25,44
17:53,2449,A.J. Jacobson missed Jumper.,25,44
17:53,12,Dusan Ristic Defensive Rebound.,25,44
17:34,12,Deandre Ayton made Jumper.,25,46
17:24,12,Foul on Parker Jackson-Cartwright.,25,46
17:14,2449,Tyson Ward Turnover.,25,46
17:13,12,Allonzo Trier Steal.,25,46
17:10,12,Allonzo Trier missed Jumper.,25,46
17:09,12,Deandre Ayton Offensive Rebound.,25,46
17:08,12,Deandre Ayton missed Two Point Tip Shot.,25,46
17:07,2449,Spencer Eliason Defensive Rebound.,25,46
17:00,12,Foul on Dusan Ristic.,25,46
17:00,2449,A.J. Jacobson missed Free Throw.,25,46
17:00,2449,North Dakota State Deadball Team Rebound.,25,46
17:00,2449,A.J. Jacobson missed Free Throw.,25,46
16:56,12,Deandre Ayton Defensive Rebound.,25,46
16:45,12,Rawle Alkins made Dunk. Assisted by Parker Jackson-Cartwright.,25,48
16:37,2449,North Dakota State  Timeout,25,48
16:24,2449,Tyson Ward missed Three Point Jumper.,25,48
16:24,12,Allonzo Trier Defensive Rebound.,25,48
16:16,12,Parker Jackson-Cartwright missed Three Point Jumper.,25,48
16:16,12,Dusan Ristic Offensive Rebound.,25,48
15:58,12,Allonzo Trier missed Jumper.,25,48
15:58,12,Dusan Ristic Offensive Rebound.,25,48
15:55,2449,Foul on Rocky Kreuser.,25,48
15:55,12,Official TV Timeout,25,48
15:44,12,Allonzo Trier made Three Point Jumper.,25,51
15:23,12,Foul on Deandre Ayton.,25,51
15:15,2449,Paul Miller made Jumper.,27,51
15:15,12,Foul on Allonzo Trier.,27,51
15:15,2449,Paul Miller missed Free Throw.,27,51
15:15,12,Allonzo Trier Defensive Rebound.,27,51
15:07,12,Brandon Randolph made Three Point Jumper. Assisted by Dylan Smith.,27,54
14:57,2449,Cameron Hunter made Jumper.,29,54
14:43,12,Deandre Ayton made Dunk. Assisted by Allonzo Trier.,29,56
14:42,2449,Dylan Miller Turnover.,29,56
14:40,12,Dusan Ristic missed Jumper.,29,56
14:40,2449,Spencer Eliason Defensive Rebound.,29,56
14:30,2449,Deng Geu missed Jumper.,29,56
14:30,12,Parker Jackson-Cartwright Defensive Rebound.,29,56
14:22,12,Dylan Smith made Layup.,29,58
14:19,12,Ira Lee missed Jumper.,29,58
14:19,2449,Paul Miller Defensive Rebound.,29,58
14:03,2449,Paul Miller missed Three Point Jumper.,29,58
14:03,12,Deandre Ayton Defensive Rebound.,29,58
13:53,2449,Foul on Paul Miller.,29,58
13:04,12,Foul on Brandon Randolph.,29,58
12:56,2449,Chris Quayle Turnover.,29,58
12:43,12,Dusan Ristic Turnover.,29,58
12:42,2449,Chris Quayle Steal.,29,58
12:21,2449,Foul on Deng Geu.,29,58
12:21,2449,Deng Geu Turnover.,29,58
11:59,12,Dylan Smith missed Jumper.,29,58
11:59,12,Keanu Pinder Offensive Rebound.,29,58
11:53,12,Keanu Pinder missed Jumper.,29,58
11:53,2449,Tyson Ward Defensive Rebound.,29,58
11:31,2449,Cameron Hunter missed Jumper.,29,58
11:31,12,Dusan Ristic Defensive Rebound.,29,58
11:14,2449,Foul on Spencer Eliason.,29,58
11:14,12,Official TV Timeout,29,58
10:42,12,Dusan Ristic missed Three Point Jumper.,29,58
10:42,2449,Jared Samuelson Defensive Rebound.,29,58
10:41,2449,Tyson Ward made Jumper.,31,58
10:39,2449,Tyson Ward missed Jumper.,31,58
10:39,12,Rawle Alkins Defensive Rebound.,31,58
10:35,12,Rawle Alkins missed Three Point Jumper.,31,58
10:35,2449,A.J. Jacobson Defensive Rebound.,31,58
10:07,2449,Foul on Rocky Kreuser.,31,58
10:07,12,Rawle Alkins made Free Throw.,31,59
10:07,12,Rawle Alkins made Free Throw.,31,60
9:53,12,Foul on Allonzo Trier.,31,60
9:53,2449,Paul Miller missed Free Throw.,31,60
9:53,2449,Paul Miller Offensive Rebound.,31,60
9:30,2449,Tyson Ward made Jumper.,33,60
8:59,12,Brandon Randolph made Jumper.,33,62
8:44,2449,Tyson Ward Turnover.,33,62
8:37,12,Deandre Ayton missed Jumper.,33,62
8:37,2449,Tyson Ward Defensive Rebound.,33,62
8:27,2449,Tyson Ward missed Dunk.,33,62
8:27,2449,Rocky Kreuser Offensive Rebound.,33,62
8:23,2449,Rocky Kreuser made Dunk.,35,62
8:17,12,Arizona  Timeout,35,62
8:02,12,Rawle Alkins missed Jumper.,35,62
8:02,2449,Tyson Ward Defensive Rebound.,35,62
7:40,2449,Tyson Ward missed Three Point Jumper.,35,62
7:40,12,Brandon Randolph Defensive Rebound.,35,62
7:26,12,Emmanuel Akot made Jumper.,35,64
7:10,2449,A.J. Jacobson missed Jumper.,35,64
7:10,12,Deandre Ayton Defensive Rebound.,35,64
6:54,12,Deandre Ayton made Jumper. Assisted by Emmanuel Akot.,35,66
6:32,2449,Paul Miller missed Jumper.,35,66
6:32,12,Rawle Alkins Defensive Rebound.,35,66
6:24,2449,Foul on A.J. Jacobson.,35,66
6:24,12,Rawle Alkins made Free Throw.,35,67
6:24,12,Rawle Alkins made Free Throw.,35,68
6:11,12,Foul on Brandon Randolph.,35,68
6:11,2449,Cameron Hunter missed Free Throw.,35,68
6:11,12,Deandre Ayton Defensive Rebound.,35,68
5:55,12,Rawle Alkins Turnover.,35,68
5:49,12,Foul on Alex Barcello.,35,68
5:49,2449,Paul Miller made Free Throw.,36,68
5:49,2449,Paul Miller made Free Throw.,37,68
5:28,12,Deandre Ayton missed Jumper.,37,68
5:28,12,Deandre Ayton Offensive Rebound.,37,68
5:24,12,Alex Barcello missed Three Point Jumper.,37,68
5:24,2449,Paul Miller Defensive Rebound.,37,68
5:16,2449,Chris Quayle missed Three Point Jumper.,37,68
5:16,2449,Deng Geu Offensive Rebound.,37,68
5:07,2449,Deng Geu made Layup. Assisted by Chris Quayle.,39,68
4:55,12,Deandre Ayton made Dunk. Assisted by Dylan Smith.,39,70
4:31,2449,Paul Miller made Three Point Jumper. Assisted by Cameron Hunter.,42,70
4:08,12,Rawle Alkins made Layup.,42,72
3:55,2449,Cameron Hunter made Layup.,44,72
3:55,12,Foul on Alex Barcello.,44,72
3:55,12,Official TV Timeout,44,72
3:55,2449,Cameron Hunter made Free Throw.,45,72
3:40,12,Dylan Smith missed Three Point Jumper.,45,72
3:40,12,Rawle Alkins Offensive Rebound.,45,72
3:36,2449,Foul on Jared Samuelson.,45,72
3:36,12,Rawle Alkins missed Free Throw.,45,72
3:36,12,Arizona Deadball Team Rebound.,45,72
3:36,12,Rawle Alkins made Free Throw.,45,73
3:17,2449,Jared Samuelson made Three Point Jumper. Assisted by Chris Quayle.,48,73
2:53,12,Dusan Ristic made Jumper.,48,75
2:34,2449,Cameron Hunter missed Layup.,48,75
2:34,12,Dylan Smith Defensive Rebound.,48,75
2:25,12,Alex Barcello made Jumper.,48,77
2:23,12,Arizona  Timeout,48,77
1:58,12,Foul on Keanu Pinder.,48,77
1:58,2449,Deng Geu made Free Throw.,49,77
1:58,2449,Deng Geu made Free Throw.,50,77
1:50,12,Alex Barcello made Layup. Assisted by Brandon Randolph.,50,79
1:42,2449,Chris Quayle made Three Point Jumper. Assisted by Cameron Hunter.,53,79
1:30,12,Alex Barcello missed Three Point Jumper.,53,79
1:30,12,Ira Lee Offensive Rebound.,53,79
1:25,12,Ira Lee made Jumper.,53,81
1:19,2449,Cameron Hunter missed Jumper.,53,81
1:19,12,Ira Lee Defensive Rebound.,53,81
0:58,12,Brandon Randolph made Jumper.,53,83
0:46,2449,Rocky Kreuser missed Three Point Jumper.,53,83
0:46,12,Emmanuel Akot Defensive Rebound.,53,83
0:28,12,Emmanuel Akot missed Three Point Jumper.,53,83
0:28,2449,North Dakota State Defensive Rebound.,53,83
0:09,2449,Cameron Hunter missed Three Point Jumper.,53,83
0:09,12,Alex Barcello Defensive Rebound.,53,83
0:00,12,End of Game,53,83
