College of Coastal Georgia,Error,South Carolina Upstate,2908
15:10,2908,Pat Welch missed Three Point Jumper.,47,53
15:10,-1,Lee Green Defensive Rebound.,47,53
15:03,-1,Haylen Washington Turnover.,47,53
15:03,-1,Foul on Haylen Washington.,47,53
14:49,-1,Foul on Elijah Wade.,47,53
14:49,2908,Deion Holmes made Free Throw.,47,54
14:49,2908,Deion Holmes made Free Throw.,47,55
14:31,2908,Foul on Pat Welch.,47,55
14:31,-1,Haylen Washington made Free Throw.,48,55
14:31,-1,Haylen Washington made Free Throw.,49,55
14:01,2908,Carson Smith missed Jumper.,49,55
14:01,2908,Malik Moore Offensive Rebound.,49,55
13:57,2908,Malik Moore made Layup.,49,57
13:38,-1,Haylen Washington missed Three Point Jumper.,49,57
13:38,-1,Brandon Martin Offensive Rebound.,49,57
13:35,2908,Foul on Deion Holmes.,49,57
13:19,-1,Jaylen Smallwood made Layup.,51,57
12:58,-1,Foul on Jaylen Smallwood.,51,57
12:45,2908,Mike Cunningham missed Three Point Jumper.,51,57
12:45,-1,Brandon Martin Defensive Rebound.,51,57
12:35,-1,Brandon Martin made Three Point Jumper. Assisted by Vidmantas Kaciuska.,54,57
12:10,2908,Deion Holmes missed Jumper.,54,57
12:10,-1,Brandon Martin Defensive Rebound.,54,57
12:04,2908,Foul on Carson Smith.,54,57
11:44,-1,Hayden Goins Turnover.,54,57
11:44,2908,Pat Welch Steal.,54,57
11:40,2908,Jure Span made Three Point Jumper. Assisted by Pat Welch.,54,60
11:27,-1,Haylen Washington Turnover.,54,60
11:27,2908,Ramel Thompkins Steal.,54,60
11:22,2908,Official TV Timeout,54,60
11:22,2908,Deion Holmes Turnover.,54,60
11:13,-1,Elijah Wade Turnover.,54,60
11:12,2908,Malik Moore Steal.,54,60
11:08,2908,Pat Welch missed Three Point Jumper.,54,60
11:05,-1,Coastal Georgia Defensive Rebound.,54,60
10:38,-1,Hayden Goins missed Three Point Jumper.,54,60
10:38,-1,Elijah Wade Offensive Rebound.,54,60
10:24,-1,Brandon Martin Turnover.,54,60
10:21,2908,Pat Welch Steal.,54,60
10:09,2908,Ramel Thompkins missed Three Point Jumper.,54,60
10:09,-1,Brandon Martin Defensive Rebound.,54,60
10:02,-1,Brandon Martin missed Three Point Jumper.,54,60
10:02,2908,South Carolina Upstate Defensive Rebound.,54,60
9:41,2908,Ramel Thompkins made Layup. Assisted by Jure Span.,54,62
9:41,-1,Foul on Brandon Martin.,54,62
9:41,2908,Ramel Thompkins made Free Throw.,54,63
9:09,-1,Haylen Washington made Layup. Assisted by Jonathan Canada.,56,63
8:37,-1,Foul on Brandon Martin.,56,63
8:37,2908,Deion Holmes made Free Throw.,56,64
8:37,2908,Deion Holmes made Free Throw.,56,65
8:18,-1,Lee Green missed Layup.,56,65
8:18,2908,Ramel Thompkins Defensive Rebound.,56,65
8:08,2908,Malik Moore missed Jumper.,56,65
8:08,2908,South Carolina Upstate Offensive Rebound.,56,65
7:59,2908,Deion Holmes made Layup.,56,67
7:45,-1,Isaiah Gibson missed Three Point Jumper.,56,67
7:45,-1,Elijah Wade Offensive Rebound.,56,67
7:35,-1,Isaiah Gibson missed Three Point Jumper.,56,67
7:35,-1,Lee Green Offensive Rebound.,56,67
7:34,2908,Foul on Ramel Thompkins.,56,67
7:34,2908,Official TV Timeout,56,67
7:33,2908,Official TV Timeout,56,67
7:26,-1,Lee Green made Layup. Assisted by Jonathan Canada.,58,67
6:52,2908,Carson Smith Turnover.,58,67
6:38,-1,Haylen Washington missed Three Point Jumper.,58,67
6:38,2908,Carson Smith Defensive Rebound.,58,67
6:12,2908,Carson Smith made Layup. Assisted by Jure Span.,58,69
5:56,-1,Haylen Washington made Jumper.,60,69
5:31,2908,Jure Span made Layup.,60,71
5:02,-1,Elijah Wade made Layup. Assisted by Jonathan Canada.,62,71
5:02,2908,Official TV Timeout,62,71
4:32,-1,Foul on Brandon Martin.,62,71
4:32,2908,Jure Span missed Free Throw.,62,71
4:32,2908,South Carolina Upstate Deadball Team Rebound.,62,71
4:32,2908,Jure Span missed Free Throw.,62,71
4:32,2908,South Carolina Upstate Deadball Team Rebound.,62,71
4:32,2908,Jure Span missed Free Throw.,62,71
4:32,2908,Malik Moore Offensive Rebound.,62,71
4:29,2908,Deion Holmes made Three Point Jumper. Assisted by Malik Moore.,62,74
4:14,2908,Foul on Carson Smith.,62,74
4:10,2908,Foul on Jure Span.,62,74
4:10,-1,Jaylen Smallwood made Free Throw.,63,74
4:10,-1,Jaylen Smallwood made Free Throw.,64,74
3:59,2908,Carson Smith Turnover.,64,74
3:59,2908,Foul on Carson Smith.,64,74
3:59,2908,Official TV Timeout,64,74
3:48,-1,Jaylen Smallwood made Jumper. Assisted by Jonathan Canada.,66,74
3:37,2908,Deion Holmes Turnover.,66,74
3:36,-1,Jaylen Smallwood Steal.,66,74
3:32,-1,Haylen Washington made Dunk. Assisted by Jaylen Smallwood.,68,74
3:20,2908,Deion Holmes Turnover.,68,74
3:20,-1,Jaylen Smallwood Steal.,68,74
3:17,2908,Foul on Jure Span.,68,74
3:17,2908,South Carolina Upstate  Timeout,68,74
3:17,-1,Haylen Washington made Free Throw.,69,74
3:17,-1,Haylen Washington missed Free Throw.,69,74
3:17,2908,Malik Moore Defensive Rebound.,69,74
2:52,2908,Ramel Thompkins missed Three Point Jumper.,69,74
2:52,-1,Jaylen Smallwood Defensive Rebound.,69,74
2:35,2908,Foul on Mike Cunningham.,69,74
2:35,-1,Haylen Washington made Free Throw.,70,74
2:35,2908,South Carolina Upstate  Timeout,70,74
2:35,-1,Haylen Washington missed Free Throw.,70,74
2:35,2908,Malik Moore Defensive Rebound.,70,74
2:03,2908,Jure Span missed Three Point Jumper.,70,74
2:03,-1,Jaylen Smallwood Defensive Rebound.,70,74
1:54,-1,Brandon Martin missed Three Point Jumper.,70,74
1:54,2908,Mike Cunningham Defensive Rebound.,70,74
1:44,2908,Deion Holmes made Layup. Assisted by Mike Cunningham.,70,76
1:44,-1,Foul on Landon Sarazine.,70,76
1:44,2908,Deion Holmes missed Free Throw.,70,76
1:44,-1,Brandon Martin Defensive Rebound.,70,76
1:34,-1,Haylen Washington missed Layup.,70,76
1:34,-1,Haylen Washington Offensive Rebound.,70,76
1:27,-1,Brandon Martin made Three Point Jumper. Assisted by Jonathan Canada.,73,76
0:56,2908,Mike Cunningham made Three Point Jumper. Assisted by Deion Holmes.,73,79
0:43,-1,Haylen Washington Turnover.,73,79
0:42,2908,Ramel Thompkins Steal.,73,79
0:37,2908,Deion Holmes made Dunk. Assisted by Jure Span.,73,81
0:30,-1,Jonathan Canada missed Layup.,73,81
0:29,2908,Malik Moore Block.,73,81
0:28,-1,Jaylen Smallwood Offensive Rebound.,73,81
0:27,-1,Coastal Georgia  Timeout,73,81
0:22,-1,Jaylen Smallwood made Two Point Tip Shot.,75,81
0:17,-1,Foul on Haylen Washington.,75,81
0:17,2908,Mike Cunningham made Free Throw.,75,82
0:17,2908,Mike Cunningham made Free Throw.,75,83
0:08,-1,Brandon Martin missed Three Point Jumper.,75,83
0:08,2908,Ramel Thompkins Defensive Rebound.,75,83
