IUPUI,2250,Gonzaga,85
3:53,85,Elyjah Goss Steal.,26,37
3:46,85,Elyjah Goss missed Layup.,26,37
3:46,2250,Corey Kispert Defensive Rebound.,26,37
3:27,2250,Corey Kispert made Three Point Jumper. Assisted by Josh Perkins.,26,40
3:16,85,Nick Rogers Turnover.,26,40
3:16,2250,Rui Hachimura Steal.,26,40
3:10,2250,Rui Hachimura made Layup.,26,42
3:10,85,IUPUI  Timeout,26,42
3:10,2250,Official TV Timeout,26,42
2:52,85,T.J. Henderson Turnover.,26,42
2:52,2250,Killian Tillie Steal.,26,42
2:44,2250,Jeremy Jones Turnover.,26,42
2:30,85,Maurice Kirby missed Jumper.,26,42
2:30,2250,Killian Tillie Defensive Rebound.,26,42
2:06,2250,Johnathan Williams missed Jumper.,26,42
2:06,85,T.J. Henderson Defensive Rebound.,26,42
2:05,2250,Foul on Killian Tillie.,26,42
2:05,85,T.J. Henderson made Free Throw.,27,42
2:05,85,T.J. Henderson missed Free Throw.,27,42
2:05,2250,Johnathan Williams Defensive Rebound.,27,42
1:46,85,Foul on D.J. McCall.,27,42
1:46,2250,Killian Tillie made Free Throw.,27,43
1:46,2250,Killian Tillie made Free Throw.,27,44
1:34,2250,Foul on Killian Tillie.,27,44
1:34,85,T.J. Henderson made Free Throw.,28,44
1:34,85,T.J. Henderson made Free Throw.,29,44
1:09,2250,Corey Kispert made Three Point Jumper. Assisted by Josh Perkins.,29,47
0:56,85,T.J. Henderson missed Layup.,29,47
0:56,2250,Josh Perkins Defensive Rebound.,29,47
0:53,2250,Josh Perkins Turnover.,29,47
0:26,2250,Foul on Johnathan Williams.,29,47
0:26,85,Maurice Kirby made Free Throw.,30,47
0:26,85,Maurice Kirby made Free Throw.,31,47
0:07,2250,Corey Kispert Turnover.,31,47
0:07,85,D.J. McCall Steal.,31,47
0:01,85,D.J. McCall missed Three Point Jumper.,31,47
0:01,2250,Gonzaga Defensive Rebound.,31,47
0:00,2250,End of 1st half,31,47
20:00,85,Jump Ball won by IUPUI,31,47
19:47,85,Ron Patterson missed Jumper.,31,47
19:47,2250,Zach Norvell Jr. Defensive Rebound.,31,47
19:26,2250,Killian Tillie missed Layup.,31,47
19:26,2250,Johnathan Williams Offensive Rebound.,31,47
19:20,2250,Johnathan Williams made Dunk.,31,49
18:57,85,Evan Hall made Layup.,33,49
18:49,2250,Josh Perkins Turnover.,33,49
18:35,85,Aaron Brennan missed Layup.,33,49
18:35,2250,Zach Norvell Jr. Defensive Rebound.,33,49
18:29,2250,Josh Perkins made Layup.,33,51
18:15,85,Ron Patterson made Three Point Jumper. Assisted by Nick Rogers.,36,51
18:01,2250,Josh Perkins missed Three Point Jumper.,36,51
18:01,85,D.J. McCall Defensive Rebound.,36,51
17:43,2250,Foul on Josh Perkins.,36,51
17:43,85,Aaron Brennan made Free Throw.,37,51
17:43,85,Aaron Brennan made Free Throw.,38,51
17:30,2250,Killian Tillie made Jumper. Assisted by Josh Perkins.,38,53
17:11,85,Evan Hall made Layup. Assisted by Nick Rogers.,40,53
16:48,2250,Zach Norvell Jr. missed Three Point Jumper.,40,53
16:48,85,D.J. McCall Defensive Rebound.,40,53
16:32,85,Foul on Ron Patterson.,40,53
16:32,85,Ron Patterson Turnover.,40,53
16:18,2250,Killian Tillie made Layup. Assisted by Johnathan Williams.,40,55
16:01,2250,Foul on Zach Norvell Jr..,40,55
15:43,85,Aaron Brennan made Layup.,42,55
15:31,2250,Killian Tillie made Layup. Assisted by Silas Melson.,42,57
15:11,85,Aaron Brennan missed Three Point Jumper.,42,57
15:11,85,D.J. McCall Offensive Rebound.,42,57
15:11,85,D.J. McCall made Two Point Tip Shot.,44,57
14:58,85,Foul on Evan Hall.,44,57
14:58,2250,Official TV Timeout,44,57
14:45,2250,Killian Tillie made Jumper. Assisted by Josh Perkins.,44,59
14:25,85,Nick Rogers missed Layup.,44,59
14:25,2250,Jacob Larsen Block.,44,59
14:25,85,Maurice Kirby Offensive Rebound.,44,59
14:15,85,Maurice Kirby made Layup.,46,59
14:04,2250,Jacob Larsen made Dunk. Assisted by Killian Tillie.,46,61
14:04,85,Foul on Maurice Kirby.,46,61
14:04,2250,Jacob Larsen made Free Throw.,46,62
13:54,85,T.J. Henderson Turnover.,46,62
13:43,2250,Josh Perkins made Three Point Jumper.,46,65
13:33,85,IUPUI  Timeout,46,65
13:26,85,Jaylen Minnett missed Three Point Jumper.,46,65
13:26,85,Maurice Kirby Offensive Rebound.,46,65
13:22,2250,Foul on Jacob Larsen.,46,65
13:22,85,Maurice Kirby made Free Throw.,47,65
13:22,85,Maurice Kirby missed Free Throw.,47,65
13:22,2250,Killian Tillie Defensive Rebound.,47,65
13:15,2250,Corey Kispert missed Three Point Jumper.,47,65
13:15,85,D.J. McCall Defensive Rebound.,47,65
12:48,85,Elyjah Goss made Jumper.,49,65
12:35,2250,Killian Tillie made Layup.,49,67
12:22,85,Elyjah Goss missed Three Point Jumper.,49,67
12:22,85,Evan Hall Offensive Rebound.,49,67
12:15,85,T.J. Henderson missed Three Point Jumper.,49,67
12:15,2250,Jacob Larsen Defensive Rebound.,49,67
12:04,2250,Silas Melson made Layup.,49,69
11:55,85,T.J. Henderson made Layup.,51,69
11:48,2250,Gonzaga  Timeout,51,69
11:37,2250,Silas Melson missed Layup.,51,69
11:37,2250,Johnathan Williams Offensive Rebound.,51,69
11:33,85,Foul on Ron Patterson.,51,69
11:33,2250,Johnathan Williams missed Free Throw.,51,69
11:33,2250,Gonzaga Deadball Team Rebound.,51,69
11:33,2250,Johnathan Williams made Free Throw.,51,70
11:22,85,Evan Hall made Layup. Assisted by Jaylen Minnett.,53,70
11:13,2250,Foul on Johnathan Williams.,53,70
11:13,2250,Johnathan Williams Turnover.,53,70
10:50,85,T.J. Henderson missed Three Point Jumper.,53,70
10:50,2250,Rui Hachimura Defensive Rebound.,53,70
10:32,2250,Johnathan Williams missed Jumper.,53,70
10:32,85,T.J. Henderson Defensive Rebound.,53,70
10:16,85,Evan Hall made Jumper.,55,70
9:50,2250,Silas Melson made Jumper.,55,72
9:27,2250,Foul on Johnathan Williams.,55,72
9:27,85,Evan Hall made Free Throw.,56,72
9:27,85,Evan Hall made Free Throw.,57,72
9:08,2250,Foul on Jeremy Jones.,57,72
9:08,2250,Jeremy Jones Turnover.,57,72
8:56,2250,Foul on Silas Melson.,57,72
8:56,85,T.J. Henderson made Free Throw.,58,72
8:56,85,T.J. Henderson made Free Throw.,59,72
8:38,2250,Rui Hachimura Turnover.,59,72
8:38,2250,Foul on Rui Hachimura.,59,72
8:22,85,Aaron Brennan made Layup.,61,72
8:12,2250,Zach Norvell Jr. made Layup.,61,74
7:54,85,T.J. Henderson made Layup.,63,74
7:24,85,Foul on Aaron Brennan.,63,74
7:24,2250,Official TV Timeout,63,74
7:24,2250,Killian Tillie made Free Throw.,63,75
7:24,2250,Killian Tillie made Free Throw.,63,76
7:00,2250,Foul on Killian Tillie.,63,76
7:00,85,Maurice Kirby made Free Throw.,64,76
7:00,85,Maurice Kirby made Free Throw.,65,76
6:47,2250,Silas Melson made Layup.,65,78
6:47,85,Foul on Nick Rogers.,65,78
6:47,2250,Silas Melson made Free Throw.,65,79
6:31,85,Ron Patterson missed Three Point Jumper.,65,79
6:31,85,T.J. Henderson Offensive Rebound.,65,79
6:25,85,T.J. Henderson made Jumper.,67,79
6:07,2250,Killian Tillie made Three Point Jumper. Assisted by Silas Melson.,67,82
5:49,85,Nick Rogers missed Three Point Jumper.,67,82
5:49,85,Elyjah Goss Offensive Rebound.,67,82
5:32,85,T.J. Henderson missed Three Point Jumper.,67,82
5:32,2250,Johnathan Williams Defensive Rebound.,67,82
5:30,85,Foul on Nick Rogers.,67,82
5:30,2250,Johnathan Williams made Free Throw.,67,83
5:30,2250,Johnathan Williams missed Free Throw.,67,83
5:30,2250,Killian Tillie Offensive Rebound.,67,83
5:28,2250,Silas Melson missed Three Point Jumper.,67,83
5:28,85,Maurice Kirby Defensive Rebound.,67,83
5:14,85,Maurice Kirby missed Jumper.,67,83
5:14,2250,Johnathan Williams Defensive Rebound.,67,83
4:51,2250,Johnathan Williams Turnover.,67,83
4:51,85,Ron Patterson Steal.,67,83
4:37,85,T.J. Henderson Turnover.,67,83
4:37,2250,Silas Melson Steal.,67,83
4:31,2250,Johnathan Williams made Dunk. Assisted by Silas Melson.,67,85
4:09,85,Ron Patterson missed Layup.,67,85
4:09,2250,Johnathan Williams Defensive Rebound.,67,85
3:57,85,Foul on Maurice Kirby.,67,85
3:57,2250,Official TV Timeout,67,85
3:57,2250,Killian Tillie made Free Throw.,67,86
3:57,2250,Killian Tillie made Free Throw.,67,87
3:34,85,Aaron Brennan missed Layup.,67,87
3:34,2250,Gonzaga Defensive Rebound.,67,87
3:33,85,Foul on Evan Hall.,67,87
3:33,2250,Johnathan Williams missed Free Throw.,67,87
3:33,85,Evan Hall Defensive Rebound.,67,87
3:27,85,Jaylen Minnett missed Three Point Jumper.,67,87
3:27,2250,Johnathan Williams Defensive Rebound.,67,87
3:00,2250,Josh Perkins made Three Point Jumper.,67,90
2:40,85,Aaron Brennan missed Layup.,67,90
2:40,85,Evan Hall Offensive Rebound.,67,90
2:35,85,Evan Hall made Layup.,69,90
2:16,85,Foul on Aaron Brennan.,69,90
2:16,2250,Johnathan Williams made Free Throw.,69,91
2:16,2250,Johnathan Williams made Free Throw.,69,92
2:01,2250,Rui Hachimura made Layup. Assisted by Jacob Larsen.,69,94
1:42,85,Maurice Kirby made Layup. Assisted by Nick Rogers.,71,94
1:29,2250,Jeremy Jones made Layup.,71,96
1:10,85,Maurice Kirby missed Jumper.,71,96
1:10,2250,Jeremy Jones Defensive Rebound.,71,96
1:04,85,Foul on Jaylen Minnett.,71,96
1:04,2250,Jeremy Jones made Free Throw.,71,97
1:04,2250,Jeremy Jones made Free Throw.,71,98
0:48,85,Chad Hudson missed Three Point Jumper.,71,98
0:48,2250,Rui Hachimura Defensive Rebound.,71,98
0:27,2250,Jesse Wade made Three Point Jumper.,71,101
0:03,85,Chad Hudson missed Jumper.,71,101
0:03,2250,Corey Kispert Defensive Rebound.,71,101
0:00,2250,End of Game,71,101
