CS Monterey Bay,Error,Fresno State,278
2:40,278,Foul on Johnny McWilliams.,25,37
2:29,-1,Koen Sapwell Turnover.,25,37
2:27,278,Deshon Taylor Steal.,25,37
2:15,278,Deshon Taylor made Layup.,25,39
2:15,-1,Foul on Joe Covarrubias.,25,39
2:15,278,Deshon Taylor made Free Throw.,25,40
1:53,-1,Koen Sapwell made Three Point Jumper. Assisted by Jonquis Bouyea.,28,40
1:27,278,Jahmel Taylor missed Layup.,28,40
1:27,278,Nate Grimes Offensive Rebound.,28,40
1:25,278,Nate Grimes made Dunk.,28,42
1:08,-1,Koen Sapwell missed Jumper.,28,42
1:08,278,Nate Grimes Defensive Rebound.,28,42
0:53,278,Jahmel Taylor missed Layup.,28,42
0:53,-1,Chris Turner Defensive Rebound.,28,42
0:32,-1,Josh Kollman missed Three Point Jumper.,28,42
0:32,278,Jahmel Taylor Defensive Rebound.,28,42
0:28,-1,Foul on Mateo Jones.,28,42
0:28,278,Jahmel Taylor made Free Throw.,28,43
0:28,278,Jahmel Taylor missed Free Throw.,28,43
0:28,278,Nate Grimes Offensive Rebound.,28,43
0:26,278,Nate Grimes missed Layup.,28,43
0:26,-1,Chris Turner Block.,28,43
0:24,-1,Mateo Jones Defensive Rebound.,28,43
0:06,278,Foul on Sam Bittner.,28,43
0:06,-1,Chris Turner Turnover.,28,43
0:01,278,Deshon Taylor made Jumper.,28,45
0:00,278,End of 1st half,28,45
19:50,-1,Josh Kollman Turnover.,28,45
19:50,278,Bryson Williams Steal.,28,45
19:41,278,Bryson Williams made Jumper.,28,47
19:20,-1,Koen Sapwell missed Three Point Jumper.,28,47
19:20,278,Ray Bowles Jr. Defensive Rebound.,28,47
19:00,-1,Foul on Gregg Polosky.,28,47
19:00,278,Bryson Williams made Free Throw.,28,48
19:00,278,Bryson Williams missed Free Throw.,28,48
19:00,-1,Mateo Jones Defensive Rebound.,28,48
18:51,-1,Brian Garrett Turnover.,28,48
18:50,278,Sam Bittner Steal.,28,48
18:42,278,Deshon Taylor made Three Point Jumper. Assisted by Sam Bittner.,28,51
18:25,-1,Brian Garrett made Layup.,30,51
18:13,278,Ray Bowles Jr. made Layup.,30,53
17:58,-1,Gregg Polosky missed Layup.,30,53
17:58,278,Sam Bittner Defensive Rebound.,30,53
17:50,278,Bryson Williams Turnover.,30,53
17:49,-1,Jonquis Bouyea Steal.,30,53
17:46,-1,Mateo Jones made Dunk. Assisted by Jonquis Bouyea.,32,53
17:26,278,Bryson Williams made Dunk.,32,55
17:01,278,Foul on Jahmel Taylor.,32,55
16:52,-1,Koen Sapwell made Layup.,34,55
16:30,278,Bryson Williams Turnover.,34,55
16:28,-1,Koen Sapwell Steal.,34,55
16:22,-1,Mateo Jones made Three Point Jumper. Assisted by Joe Covarrubias.,37,55
16:03,278,Ray Bowles Jr. made Layup.,37,57
15:48,-1,Brian Garrett made Jumper.,39,57
15:33,278,Ray Bowles Jr. made Layup.,39,59
15:19,-1,Foul on Joe Covarrubias.,39,59
15:19,-1,Joe Covarrubias Turnover.,39,59
15:19,278,Official TV Timeout,39,59
15:05,278,Bryson Williams made Layup. Assisted by Ray Bowles Jr..,39,61
15:05,-1,Foul on Brian Garrett.,39,61
15:05,278,Bryson Williams made Free Throw.,39,62
14:54,-1,Jonquis Bouyea Turnover.,39,62
14:53,278,Ray Bowles Jr. Steal.,39,62
14:51,278,Bryson Williams made Dunk. Assisted by Ray Bowles Jr..,39,64
14:35,-1,Brian Garrett Turnover.,39,64
14:34,278,Ray Bowles Jr. Steal.,39,64
14:34,-1,Foul on Brian Garrett.,39,64
14:29,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,39,67
14:03,-1,Koen Sapwell Turnover.,39,67
14:01,278,Deshon Taylor Steal.,39,67
13:51,278,Ray Bowles Jr. missed Dunk.,39,67
13:51,278,Nate Grimes Offensive Rebound.,39,67
13:48,-1,Foul on Josh Kollman.,39,67
13:23,278,Nate Grimes missed Layup.,39,67
13:23,-1,Josh Kollman Defensive Rebound.,39,67
13:16,-1,Josh Kollman missed Three Point Jumper.,39,67
13:16,278,Ray Bowles Jr. Defensive Rebound.,39,67
13:10,278,Ray Bowles Jr. Turnover.,39,67
13:03,-1,Foul on Mehran Nazarian.,39,67
13:03,-1,Mehran Nazarian Turnover.,39,67
12:50,278,Jahmel Taylor missed Three Point Jumper.,39,67
12:50,-1,Gregg Polosky Defensive Rebound.,39,67
12:36,-1,Jonquis Bouyea made Jumper.,41,67
12:17,-1,Foul on Gregg Polosky.,41,67
12:17,278,Nate Grimes missed Free Throw.,41,67
12:17,278,Fresno State Deadball Team Rebound.,41,67
12:17,278,Nate Grimes missed Free Throw.,41,67
12:17,-1,Mateo Jones Defensive Rebound.,41,67
12:10,-1,Koen Sapwell missed Jumper.,41,67
12:10,278,Nate Grimes Block.,41,67
12:08,278,Nate Grimes Defensive Rebound.,41,67
11:55,278,Bryson Williams made Jumper. Assisted by Deshon Taylor.,41,69
11:34,-1,Brian Garrett missed Layup.,41,69
11:34,278,Bryson Williams Defensive Rebound.,41,69
11:21,278,Official TV Timeout,41,69
11:05,278,Johnny McWilliams Turnover.,41,69
10:53,-1,Jonquis Bouyea missed Three Point Jumper.,41,69
10:53,278,Sam Bittner Defensive Rebound.,41,69
10:41,278,Johnny McWilliams missed Jumper.,41,69
10:41,-1,Mateo Jones Defensive Rebound.,41,69
10:33,278,Foul on Johnny McWilliams.,41,69
10:26,-1,Jonquis Bouyea made Three Point Jumper. Assisted by Josh Kollman.,44,69
9:53,278,Deshon Taylor made Jumper.,44,71
9:36,-1,Brian Garrett missed Three Point Jumper.,44,71
9:36,278,Nate Grimes Defensive Rebound.,44,71
9:11,278,Deshon Taylor missed Three Point Jumper.,44,71
9:11,278,Nate Grimes Offensive Rebound.,44,71
9:07,278,Ray Bowles Jr. missed Jumper.,44,71
9:07,-1,Brian Garrett Defensive Rebound.,44,71
8:36,-1,Jonquis Bouyea missed Three Point Jumper.,44,71
8:36,-1,Mateo Jones Offensive Rebound.,44,71
8:31,-1,Mateo Jones missed Layup.,44,71
8:31,278,Ray Bowles Jr. Defensive Rebound.,44,71
8:27,278,Ray Bowles Jr. Turnover.,44,71
8:26,-1,Joe Covarrubias Steal.,44,71
8:22,-1,Mateo Jones missed Layup.,44,71
8:22,278,Nate Grimes Defensive Rebound.,44,71
8:16,278,Bryson Williams made Layup. Assisted by Deshon Taylor.,44,73
7:59,-1,Mateo Jones made Jumper.,46,73
7:42,278,Foul on Bryson Williams.,46,73
7:42,278,Bryson Williams Turnover.,46,73
7:42,278,Official TV Timeout,46,73
7:28,-1,Foul on Mateo Jones.,46,73
7:28,-1,Mateo Jones Turnover.,46,73
7:15,278,Terrell Carter II Turnover.,46,73
6:55,-1,Koen Sapwell missed Jumper.,46,73
6:55,278,Deshon Taylor Defensive Rebound.,46,73
6:42,278,Foul on Sam Bittner.,46,73
6:42,278,Sam Bittner Turnover.,46,73
6:30,-1,Koen Sapwell missed Three Point Jumper.,46,73
6:30,278,Jahmel Taylor Defensive Rebound.,46,73
6:18,278,Deshon Taylor Turnover.,46,73
6:10,-1,Josh Kollman made Three Point Jumper. Assisted by Koen Sapwell.,49,73
5:40,278,Terrell Carter II made Layup. Assisted by Johnny McWilliams.,49,75
5:22,-1,Koen Sapwell Turnover.,49,75
5:22,278,Johnny McWilliams Steal.,49,75
5:22,-1,Foul on Josh Kollman.,49,75
5:22,278,Johnny McWilliams made Free Throw.,49,76
5:22,278,Johnny McWilliams missed Free Throw.,49,76
5:22,278,Jahmel Taylor Offensive Rebound.,49,76
5:02,278,Johnny McWilliams Turnover.,49,76
5:02,-1,Josh Kollman Steal.,49,76
5:02,278,Foul on Johnny McWilliams.,49,76
4:48,-1,Mateo Jones made Jumper.,51,76
4:27,278,Jahmel Taylor made Jumper.,51,78
4:17,-1,Josh Kollman missed Three Point Jumper.,51,78
4:17,278,Deshon Taylor Defensive Rebound.,51,78
3:58,278,Jahmel Taylor made Jumper.,51,80
3:46,-1,Brian Garrett missed Jumper.,51,80
3:46,278,Nate Grimes Block.,51,80
3:44,278,Sam Bittner Defensive Rebound.,51,80
3:41,278,Deshon Taylor made Dunk. Assisted by Sam Bittner.,51,82
3:30,-1,Mateo Jones made Three Point Jumper.,54,82
3:03,278,Deshon Taylor made Three Point Jumper.,54,85
2:49,-1,Josh Kollman missed Three Point Jumper.,54,85
2:49,278,Nate Grimes Defensive Rebound.,54,85
2:40,-1,Foul on Mateo Jones.,54,85
2:40,278,Official TV Timeout,54,85
2:40,278,Deshon Taylor made Free Throw.,54,86
2:40,278,Deshon Taylor made Free Throw.,54,87
2:24,-1,Jonquis Bouyea missed Three Point Jumper.,54,87
2:24,278,Deshon Taylor Defensive Rebound.,54,87
2:11,278,Lazaro Rojas missed Three Point Jumper.,54,87
2:11,278,Nate Grimes Offensive Rebound.,54,87
2:08,278,Nate Grimes made Layup.,54,89
1:57,-1,Josh Kollman missed Three Point Jumper.,54,89
1:57,-1,Koen Sapwell Offensive Rebound.,54,89
1:54,-1,Koen Sapwell made Layup.,56,89
1:47,278,Nate Grimes made Dunk. Assisted by Deshon Taylor.,56,91
1:31,-1,Joe Covarrubias missed Layup.,56,91
1:31,278,Nate Grimes Block.,56,91
1:31,-1,CS Monterey Bay Offensive Rebound.,56,91
1:23,-1,Mateo Jones missed Three Point Jumper.,56,91
1:23,278,Nate Grimes Defensive Rebound.,56,91
1:04,278,Gilles Dekoninck made Layup. Assisted by Nate Grimes.,56,93
0:53,-1,Mateo Jones missed Layup.,56,93
0:53,278,Gilles Dekoninck Defensive Rebound.,56,93
0:22,278,Fresno State  Turnover.,56,93
0:00,278,End of Game,56,93
