Wake Forest,324,Coastal Carolina,154
10:30,324,Josh Coleman missed Layup.,13,17
10:30,154,Melo Eggleston Defensive Rebound.,13,17
10:21,154,Chaundee Brown missed Three Point Jumper.,13,17
10:21,154,Mitchell Wilbekin Offensive Rebound.,13,17
10:10,154,Doral Moore made Jumper. Assisted by Bryant Crawford.,15,17
9:41,324,Josh Coleman missed Jumper.,15,17
9:41,154,Doral Moore Block.,15,17
9:40,324,Coastal Carolina Offensive Rebound.,15,17
9:39,324,Josh Coleman made Dunk. Assisted by Jaylen Shaw.,15,19
9:19,154,Chaundee Brown Turnover.,15,19
9:17,324,Matt Lindsey Steal.,15,19
9:03,324,Jaylen Shaw made Three Point Jumper. Assisted by Artur Labinowicz.,15,22
8:46,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.,18,22
8:14,324,Jaylen Shaw missed Three Point Jumper.,18,22
8:14,154,Wake Forest Defensive Rebound.,18,22
7:55,154,Keyshawn Woods made Layup.,20,22
7:36,324,Jaylen Shaw made Layup.,20,24
7:18,154,Bryant Crawford made Layup.,22,24
6:55,324,Artur Labinowicz missed Layup.,22,24
6:55,154,Mitchell Wilbekin Defensive Rebound.,22,24
6:47,154,Keyshawn Woods missed Three Point Jumper.,22,24
6:47,324,Artur Labinowicz Defensive Rebound.,22,24
6:35,324,Artur Labinowicz made Three Point Jumper. Assisted by Demario Beck.,22,27
6:17,324,Foul on Jaylen Shaw.,22,27
6:17,324,Official TV Timeout,22,27
6:08,154,Bryant Crawford made Jumper. Assisted by Mitchell Wilbekin.,24,27
5:52,324,Trevion Brown Turnover.,24,27
5:51,154,Terrence Thompson Steal.,24,27
5:37,154,Mitchell Wilbekin missed Jumper.,24,27
5:37,324,Demario Beck Defensive Rebound.,24,27
5:37,154,Foul on Doral Moore.,24,27
5:25,324,Demario Beck missed Three Point Jumper.,24,27
5:25,154,Wake Forest Defensive Rebound.,24,27
5:03,324,Foul on Trevion Brown.,24,27
4:56,154,Brandon Childress made Three Point Jumper. Assisted by Doral Moore.,27,27
4:34,324,Ajay Sanders Turnover.,27,27
4:32,154,Terrence Thompson Steal.,27,27
4:30,154,Bryant Crawford made Layup. Assisted by Terrence Thompson.,29,27
4:24,324,Coastal Carolina  Timeout,29,27
4:24,324,Official TV Timeout,29,27
4:11,324,Matt Lindsey Turnover.,29,27
4:09,154,Bryant Crawford Steal.,29,27
3:44,154,Bryant Crawford Turnover.,29,27
3:43,324,Zac Cuthbertson Steal.,29,27
3:40,324,Zac Cuthbertson made Dunk. Assisted by Artur Labinowicz.,29,29
3:22,154,Bryant Crawford missed Three Point Jumper.,29,29
3:22,154,Terrence Thompson Offensive Rebound.,29,29
3:17,324,Foul on Demario Beck.,29,29
3:17,154,Terrence Thompson missed Free Throw.,29,29
3:17,154,Wake Forest Deadball Team Rebound.,29,29
3:17,154,Terrence Thompson missed Free Throw.,29,29
3:17,324,Zac Cuthbertson Defensive Rebound.,29,29
3:05,154,Foul on Terrence Thompson.,29,29
2:52,324,Artur Labinowicz Turnover.,29,29
2:50,154,Keyshawn Woods Steal.,29,29
2:47,154,Bryant Crawford made Layup.,31,29
2:30,324,Zac Cuthbertson made Three Point Jumper. Assisted by Artur Labinowicz.,31,32
2:13,154,Foul on Terrence Thompson.,31,32
2:13,154,Terrence Thompson Turnover.,31,32
2:00,324,Ajay Sanders made Three Point Jumper. Assisted by Jaylen Shaw.,31,35
1:31,154,Doral Moore Turnover.,31,35
1:10,324,Josh Coleman made Layup. Assisted by Jaylen Shaw.,31,37
0:54,324,Foul on Zac Cuthbertson.,31,37
0:54,154,Bryant Crawford made Free Throw.,32,37
0:54,154,Bryant Crawford made Free Throw.,33,37
0:35,154,Foul on Brandon Childress.,33,37
0:35,324,Jaylen Shaw missed Free Throw.,33,37
0:35,154,Wake Forest Defensive Rebound.,33,37
0:24,154,Keyshawn Woods missed Jumper.,33,37
0:24,154,Donovan Mitchell Offensive Rebound.,33,37
0:18,154,Donovan Mitchell missed Layup.,33,37
0:18,324,Ajay Sanders Defensive Rebound.,33,37
0:13,324,Artur Labinowicz missed Layup.,33,37
0:13,324,Josh Coleman Offensive Rebound.,33,37
0:12,154,Foul on Keyshawn Woods.,33,37
0:12,324,Josh Coleman made Free Throw.,33,38
0:12,324,Josh Coleman missed Free Throw.,33,38
0:12,154,Keyshawn Woods Defensive Rebound.,33,38
0:01,154,Bryant Crawford missed Three Point Jumper.,33,38
0:01,154,Doral Moore Offensive Rebound.,33,38
0:00,324,End of 1st half,33,38
19:54,324,Foul on Josh Coleman.,33,38
19:45,154,Doral Moore made Layup. Assisted by Chaundee Brown.,35,38
19:45,324,Foul on Zac Cuthbertson.,35,38
19:45,154,Doral Moore made Free Throw.,36,38
19:14,324,Zac Cuthbertson made Jumper.,36,40
18:59,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Chaundee Brown.,39,40
18:42,324,Ajay Sanders made Three Point Jumper. Assisted by Jaylen Shaw.,39,43
18:20,324,Foul on Jaylen Shaw.,39,43
18:14,154,Chaundee Brown made Jumper.,41,43
18:06,324,Ajay Sanders Turnover.,41,43
18:04,154,Bryant Crawford Steal.,41,43
18:03,154,Bryant Crawford made Dunk.,43,43
17:35,154,Foul on Doral Moore.,43,43
17:29,324,Josh Coleman Turnover.,43,43
17:13,154,Bryant Crawford made Three Point Jumper.,46,43
16:39,324,Jaylen Shaw missed Three Point Jumper.,46,43
16:39,154,Mitchell Wilbekin Defensive Rebound.,46,43
16:12,154,Keyshawn Woods missed Three Point Jumper.,46,43
16:12,154,Doral Moore Offensive Rebound.,46,43
16:07,324,Foul on Josh Coleman.,46,43
16:07,154,Doral Moore made Free Throw.,47,43
16:07,154,Doral Moore made Free Throw.,48,43
15:48,324,Artur Labinowicz missed Layup.,48,43
15:48,154,Mitchell Wilbekin Defensive Rebound.,48,43
15:42,154,Brandon Childress made Three Point Jumper. Assisted by Keyshawn Woods.,51,43
15:38,324,Coastal Carolina  Timeout,51,43
15:38,324,Official TV Timeout,51,43
15:19,324,Artur Labinowicz made Layup.,51,45
15:19,154,Foul on Olivier Sarr.,51,45
15:19,324,Official TV Timeout,51,45
15:19,324,Artur Labinowicz made Free Throw.,51,46
14:50,154,Brandon Childress missed Layup.,51,46
14:50,324,Demario Beck Defensive Rebound.,51,46
14:39,154,Foul on Brandon Childress.,51,46
14:39,324,Jaylen Shaw made Free Throw.,51,47
14:39,324,Jaylen Shaw made Free Throw.,51,48
14:25,154,Olivier Sarr made Dunk. Assisted by Bryant Crawford.,53,48
14:10,324,Zac Cuthbertson missed Three Point Jumper.,53,48
14:10,154,Terrence Thompson Defensive Rebound.,53,48
14:00,154,Keyshawn Woods Turnover.,53,48
13:59,324,Jaylen Shaw Steal.,53,48
13:43,324,Demario Beck missed Layup.,53,48
13:43,154,Doral Moore Block.,53,48
13:41,324,Demario Beck Offensive Rebound.,53,48
13:38,324,Demario Beck missed Layup.,53,48
13:38,154,Doral Moore Defensive Rebound.,53,48
13:33,154,Foul on Bryant Crawford.,53,48
13:33,154,Bryant Crawford Turnover.,53,48
13:19,324,Demario Beck made Layup. Assisted by Jaylen Shaw.,53,50
13:02,154,Olivier Sarr missed Three Point Jumper.,53,50
13:02,324,Ajay Sanders Defensive Rebound.,53,50
12:40,154,Foul on Brandon Childress.,53,50
12:23,324,Artur Labinowicz made Jumper. Assisted by Jaylen Shaw.,53,52
12:09,154,Bryant Crawford Turnover.,53,52
12:08,324,Demario Beck Steal.,53,52
12:05,154,Foul on Mitchell Wilbekin.,53,52
12:05,324,Jaylen Shaw missed Free Throw.,53,52
12:05,324,Coastal Carolina Deadball Team Rebound.,53,52
12:05,324,Jaylen Shaw missed Free Throw.,53,52
12:05,154,Doral Moore Defensive Rebound.,53,52
11:32,154,Keyshawn Woods missed Jumper.,53,52
11:32,154,Chaundee Brown Offensive Rebound.,53,52
11:32,324,Foul on Matt Lindsey.,53,52
11:32,324,Official TV Timeout,53,52
11:18,154,Keyshawn Woods made Jumper.,55,52
10:55,324,Trevion Brown made Layup.,55,54
10:28,154,Terrence Thompson missed Three Point Jumper.,55,54
10:28,154,Keyshawn Woods Offensive Rebound.,55,54
10:24,154,Keyshawn Woods made Jumper.,57,54
9:59,324,Trevion Brown Turnover.,57,54
9:57,154,Terrence Thompson Steal.,57,54
9:43,324,Foul on Artur Labinowicz.,57,54
9:39,154,Mitchell Wilbekin missed Three Point Jumper.,57,54
9:39,154,Terrence Thompson Offensive Rebound.,57,54
9:34,154,Terrence Thompson missed Layup.,57,54
9:34,154,Keyshawn Woods Offensive Rebound.,57,54
9:20,154,Mitchell Wilbekin Turnover.,57,54
9:18,324,Zac Cuthbertson Steal.,57,54
9:09,324,Jaylen Shaw made Layup.,57,56
9:02,154,Keyshawn Woods missed Three Point Jumper.,57,56
9:02,324,Artur Labinowicz Defensive Rebound.,57,56
8:53,154,Foul on Keyshawn Woods.,57,56
8:52,324,Jaylen Shaw missed Free Throw.,57,56
8:52,324,Josh Coleman Offensive Rebound.,57,56
8:48,324,Josh Coleman made Layup.,57,58
8:28,154,Olivier Sarr made Dunk. Assisted by Bryant Crawford.,59,58
8:11,324,Jaylen Shaw Turnover.,59,58
7:51,324,Foul on Matt Lindsey.,59,58
7:51,324,Official TV Timeout,59,58
7:51,154,Bryant Crawford made Free Throw.,60,58
7:51,154,Bryant Crawford made Free Throw.,61,58
7:30,324,Matt Lindsey made Layup.,61,60
7:13,154,Terrence Thompson missed Layup.,61,60
7:13,324,Josh Coleman Defensive Rebound.,61,60
7:09,324,Jaylen Shaw missed Three Point Jumper.,61,60
7:09,154,Terrence Thompson Defensive Rebound.,61,60
6:58,324,Foul on Ajay Sanders.,61,60
6:58,154,Brandon Childress made Free Throw.,62,60
6:58,154,Brandon Childress made Free Throw.,63,60
6:42,324,Zac Cuthbertson missed Layup.,63,60
6:42,154,Doral Moore Block.,63,60
6:40,324,Artur Labinowicz Offensive Rebound.,63,60
6:36,324,Josh Coleman missed Jumper.,63,60
6:36,154,Doral Moore Defensive Rebound.,63,60
6:32,154,Doral Moore Turnover.,63,60
6:21,324,Zac Cuthbertson missed Jumper.,63,60
6:21,324,Coastal Carolina Offensive Rebound.,63,60
6:09,324,Jaylen Shaw missed Jumper.,63,60
6:09,154,Doral Moore Defensive Rebound.,63,60
5:54,154,Olivier Sarr missed Three Point Jumper.,63,60
5:54,154,Chaundee Brown Offensive Rebound.,63,60
5:49,154,Chaundee Brown missed Layup.,63,60
5:49,324,Josh Coleman Block.,63,60
5:48,324,Jaylen Shaw Defensive Rebound.,63,60
5:44,154,Foul on Brandon Childress.,63,60
5:44,324,Zac Cuthbertson made Free Throw.,63,61
5:44,324,Zac Cuthbertson made Free Throw.,63,62
5:33,154,Bryant Crawford made Jumper.,65,62
5:02,324,Jaylen Shaw made Layup. Assisted by Artur Labinowicz.,65,64
4:36,324,Foul on Demario Beck.,65,64
4:36,154,Olivier Sarr made Free Throw.,66,64
4:36,154,Olivier Sarr made Free Throw.,67,64
4:16,324,Demario Beck missed Three Point Jumper.,67,64
4:16,154,Bryant Crawford Defensive Rebound.,67,64
4:08,154,Bryant Crawford missed Layup.,67,64
4:08,154,Doral Moore Offensive Rebound.,67,64
4:04,154,Doral Moore made Dunk.,69,64
3:55,324,Zac Cuthbertson made Layup.,69,66
3:55,154,Foul on Doral Moore.,69,66
3:55,324,Official TV Timeout,69,66
3:55,324,Zac Cuthbertson made Free Throw.,69,67
3:29,154,Mitchell Wilbekin Turnover.,69,67
3:27,324,Jaylen Shaw Steal.,69,67
3:16,324,Demario Beck Turnover.,69,67
3:03,154,Brandon Childress Turnover.,69,67
3:01,324,Jaylen Shaw Steal.,69,67
2:58,324,Artur Labinowicz made Three Point Jumper. Assisted by Jaylen Shaw.,69,70
2:40,154,Bryant Crawford missed Jumper.,69,70
2:40,324,Zac Cuthbertson Defensive Rebound.,69,70
2:38,154,Foul on Bryant Crawford.,69,70
2:38,154,Wake Forest  Timeout,69,70
2:38,324,Zac Cuthbertson made Free Throw.,69,71
2:38,324,Zac Cuthbertson made Free Throw.,69,72
2:25,324,Foul on Artur Labinowicz.,69,72
2:25,154,Brandon Childress made Free Throw.,70,72
2:25,154,Brandon Childress made Free Throw.,71,72
2:12,324,Jaylen Shaw Turnover.,71,72
2:10,154,Bryant Crawford Steal.,71,72
2:08,154,Bryant Crawford missed Layup.,71,72
2:08,324,Matt Lindsey Block.,71,72
2:07,154,Mitchell Wilbekin Offensive Rebound.,71,72
2:02,154,Mitchell Wilbekin made Layup.,73,72
1:47,324,Zac Cuthbertson missed Jumper.,73,72
1:47,154,Doral Moore Block.,73,72
1:45,324,Zac Cuthbertson Offensive Rebound.,73,72
1:39,324,Demario Beck missed Layup.,73,72
1:39,154,Doral Moore Block.,73,72
1:37,154,Mitchell Wilbekin Defensive Rebound.,73,72
1:25,324,Foul on Ajay Sanders.,73,72
1:25,154,Bryant Crawford made Free Throw.,74,72
1:25,154,Bryant Crawford made Free Throw.,75,72
1:25,154,Bryant Crawford made Free Throw.,76,72
1:09,154,Foul on Terrence Thompson.,76,72
1:09,324,Jaylen Shaw made Free Throw.,76,73
1:09,324,Jaylen Shaw missed Free Throw.,76,73
1:09,154,Doral Moore Defensive Rebound.,76,73
0:54,154,Terrence Thompson made Three Point Jumper. Assisted by Bryant Crawford.,79,73
0:37,324,Ajay Sanders made Three Point Jumper. Assisted by Jaylen Shaw.,79,76
0:37,154,Foul on Keyshawn Woods.,79,76
0:37,324,Coastal Carolina  Timeout,79,76
0:37,324,Ajay Sanders missed Free Throw.,79,76
0:37,154,Doral Moore Defensive Rebound.,79,76
0:36,154,Wake Forest  Timeout,79,76
0:35,324,Foul on Jaylen Shaw.,79,76
0:35,154,Mitchell Wilbekin missed Free Throw.,79,76
0:35,154,Wake Forest Deadball Team Rebound.,79,76
0:35,154,Mitchell Wilbekin made Free Throw.,80,76
0:28,324,Artur Labinowicz made Dunk. Assisted by Jaylen Shaw.,80,78
0:28,324,Coastal Carolina  Timeout,80,78
0:17,324,Foul on Jaylen Shaw.,80,78
0:17,154,Keyshawn Woods made Free Throw.,81,78
0:17,154,Keyshawn Woods made Free Throw.,82,78
0:11,324,Artur Labinowicz missed Three Point Jumper.,82,78
0:11,324,Zac Cuthbertson Offensive Rebound.,82,78
0:06,324,Zac Cuthbertson made Layup.,82,80
0:05,324,Foul on Artur Labinowicz.,82,80
0:05,154,Keyshawn Woods made Free Throw.,83,80
0:05,154,Keyshawn Woods made Free Throw.,84,80
0:01,324,Demario Beck Turnover.,84,80
0:00,154,Bryant Crawford Steal.,84,80
0:00,324,End of Game,84,80
