Cal State East Bay,Error,Santa Clara,2541
12:44,2541,Matt Hauser missed Three Point Jumper.,20,12
12:44,-1,Lamine Mbodj Defensive Rebound.,20,12
12:29,-1,Drew Bender missed Jumper.,20,12
12:29,2541,Jared Brownridge Defensive Rebound.,20,12
12:19,-1,Foul on Jelani Mitchell.,20,12
12:15,2541,Jared Brownridge Turnover.,20,12
12:14,-1,Pierre Carter Steal.,20,12
11:53,-1,Jelani Mitchell missed Three Point Jumper.,20,12
11:53,-1,Paramvir Singh Offensive Rebound.,20,12
11:45,-1,Jelani Mitchell missed Jumper.,20,12
11:45,-1,Lamine Mbodj Offensive Rebound.,20,12
11:43,2541,Foul on Jarvis Pugh.,20,12
11:43,-1,CS East Bay  Timeout,20,12
11:31,-1,Drew Bender missed Three Point Jumper.,20,12
11:31,-1,Paramvir Singh Offensive Rebound.,20,12
11:31,2541,Foul on Kai Healy.,20,12
11:16,-1,Lamine Mbodj missed Jumper.,20,12
11:16,-1,Jelani Mitchell Offensive Rebound.,20,12
11:14,2541,Foul on Evan Wardlow.,20,12
11:14,-1,Jelani Mitchell missed Free Throw.,20,12
11:14,-1,CS East Bay Deadball Team Rebound.,20,12
11:14,-1,Jelani Mitchell made Free Throw.,21,12
10:53,2541,Matt Hauser made Jumper. Assisted by Jared Brownridge.,21,14
10:37,-1,Pierre Carter missed Jumper.,21,14
10:37,2541,Jarvis Pugh Defensive Rebound.,21,14
10:37,2541,Jarvis Pugh missed Three Point Jumper.,21,14
10:37,-1,Jelani Mitchell Defensive Rebound.,21,14
10:09,-1,Drew Bender Turnover.,21,14
10:09,-1,Foul on Drew Bender.,21,14
9:44,2541,Jarvis Pugh made Jumper.,21,16
9:27,-1,Ja-Mont Wilson Turnover.,21,16
9:02,2541,Henrik Jadersten Turnover.,21,16
9:02,2541,Foul on Henrik Jadersten.,21,16
8:54,-1,Jalen Richard missed Three Point Jumper.,21,16
8:54,2541,Kai Healy Defensive Rebound.,21,16
8:43,-1,Foul on Juwan Anderson.,21,16
8:43,2541,Kai Healy made Free Throw.,21,17
8:43,2541,Kai Healy made Free Throw.,21,18
8:15,-1,Druce Asah missed Jumper.,21,18
8:15,2541,Jarvis Pugh Defensive Rebound.,21,18
8:06,2541,Jared Brownridge made Layup. Assisted by Matt Hauser.,21,20
8:05,-1,CS East Bay  Timeout,21,20
8:05,-1,CS East Bay  Timeout,21,20
7:49,-1,Jalen Richard missed Three Point Jumper.,21,20
7:49,2541,Emmanuel Ndumanya Defensive Rebound.,21,20
7:44,-1,Foul on Ja-Mont Wilson.,21,20
7:44,2541,Emmanuel Ndumanya missed Free Throw.,21,20
7:44,-1,Jalen Richard Defensive Rebound.,21,20
7:33,-1,Micah Dunhour made Jumper. Assisted by Ja-Mont Wilson.,23,20
7:08,2541,Matt Hauser made Layup.,23,22
6:59,-1,Micah Dunhour Turnover.,23,22
6:59,-1,Foul on Micah Dunhour.,23,22
6:44,-1,Foul on Juwan Anderson.,23,22
6:44,2541,Matt Hauser missed Free Throw.,23,22
6:44,2541,Santa Clara Deadball Team Rebound.,23,22
6:44,2541,Matt Hauser made Free Throw.,23,23
6:34,-1,Druce Asah missed Three Point Jumper.,23,23
6:34,2541,Nate Kratch Defensive Rebound.,23,23
6:04,-1,Kyle Frakes Defensive Rebound.,23,23
6:04,2541,Jared Brownridge missed Jumper.,23,23
6:04,-1,Kyle Frakes Block.,23,23
5:58,-1,Jalen Richard Turnover.,23,23
5:58,-1,Foul on Jalen Richard.,23,23
5:45,2541,Matt Hauser missed Jumper.,23,23
5:45,2541,Nate Kratch Offensive Rebound.,23,23
5:33,2541,Nate Kratch made Three Point Jumper. Assisted by Matt Hauser.,23,26
5:09,-1,Jalen Richard made Jumper. Assisted by Micah Dunhour.,25,26
5:09,2541,Foul on Matt Hauser.,25,26
5:09,-1,Jalen Richard missed Free Throw.,25,26
5:09,2541,Emmanuel Ndumanya Defensive Rebound.,25,26
4:45,2541,Matt Hauser made Jumper.,25,28
4:34,-1,Jalen Richard missed Three Point Jumper.,25,28
4:34,2541,Emmanuel Ndumanya Defensive Rebound.,25,28
4:12,2541,Jared Brownridge missed Three Point Jumper.,25,28
4:12,2541,Nate Kratch Offensive Rebound.,25,28
4:07,2541,Nate Kratch made Layup.,25,30
4:02,-1,CS East Bay  Timeout,25,30
4:02,-1,CS East Bay  Timeout,25,30
3:51,-1,Jalen Richard Turnover.,25,30
3:38,2541,Jarvis Pugh missed Three Point Jumper.,25,30
3:38,-1,Jalen Richard Defensive Rebound.,25,30
3:25,-1,Jalen Richard missed Layup.,25,30
3:25,2541,Nate Kratch Defensive Rebound.,25,30
2:58,2541,Nate Kratch made Three Point Jumper. Assisted by Kai Healy.,25,33
2:42,-1,Micah Dunhour missed Jumper.,25,33
2:42,-1,Paramvir Singh Offensive Rebound.,25,33
2:28,-1,Micah Dunhour missed Three Point Jumper.,25,33
2:28,2541,Nate Kratch Defensive Rebound.,25,33
2:06,2541,Kai Healy made Layup. Assisted by Jared Brownridge.,25,35
1:41,-1,Paramvir Singh made Three Point Jumper. Assisted by Jalen Richard.,28,35
1:31,-1,Foul on Kyle Frakes.,28,35
1:31,2541,Nate Kratch made Free Throw.,28,36
1:31,2541,Nate Kratch missed Free Throw.,28,36
1:31,2541,Emmanuel Ndumanya Offensive Rebound.,28,36
1:01,-1,Micah Dunhour Block.,28,36
1:01,2541,Kai Healy missed Layup.,28,36
1:01,2541,Emmanuel Ndumanya Offensive Rebound.,28,36
1:00,-1,Foul on Paramvir Singh.,28,36
0:59,2541,Emmanuel Ndumanya missed Free Throw.,28,36
0:59,2541,Santa Clara Deadball Team Rebound.,28,36
0:59,2541,Emmanuel Ndumanya made Free Throw.,28,37
0:42,-1,Jelani Mitchell missed Layup.,28,37
0:42,2541,Kai Healy Defensive Rebound.,28,37
0:39,-1,Foul on Tre Mauldin.,28,37
0:39,2541,Kai Healy missed Free Throw.,28,37
0:39,2541,Santa Clara Deadball Team Rebound.,28,37
0:39,2541,Kai Healy made Free Throw.,28,38
0:07,-1,Paramvir Singh missed Jumper.,28,38
0:07,2541,Santa Clara Deadball Team Rebound.,28,38
0:07,2541,Santa Clara  Timeout,28,38
0:02,2541,Matt Hauser Turnover.,28,38
0:00,2541,End of 1st half,28,38
19:27,2541,Jared Brownridge made Three Point Jumper. Assisted by Jarvis Pugh.,28,41
19:03,-1,Jalen Richard made Layup.,30,41
19:03,2541,Foul on Emmanuel Ndumanya.,30,41
19:03,-1,Jalen Richard made Free Throw.,31,41
18:59,2541,Santa Clara  Timeout,31,41
18:59,2541,Santa Clara  Timeout,31,41
18:30,2541,Jared Brownridge Turnover.,31,41
18:05,-1,Juwan Anderson missed Layup.,31,41
18:05,2541,Kai Healy Defensive Rebound.,31,41
17:41,2541,Nate Kratch missed Jumper.,31,41
17:41,2541,Emmanuel Ndumanya Offensive Rebound.,31,41
17:38,-1,Foul on Kyle Frakes.,31,41
17:38,2541,Emmanuel Ndumanya made Free Throw.,31,42
17:38,2541,Emmanuel Ndumanya made Free Throw.,31,43
17:12,-1,Lamine Mbodj missed Jumper.,31,43
17:12,-1,Jalen Richard Offensive Rebound.,31,43
17:09,-1,Jalen Richard Turnover.,31,43
16:55,2541,Jared Brownridge made Three Point Jumper. Assisted by Kai Healy.,31,46
16:45,2541,Santa Clara  Timeout,31,46
16:36,2541,Foul on Jared Brownridge.,31,46
16:25,-1,Micah Dunhour missed Jumper.,31,46
16:25,2541,Kai Healy Defensive Rebound.,31,46
16:09,2541,Emmanuel Ndumanya Turnover.,31,46
16:09,2541,Foul on Emmanuel Ndumanya.,31,46
15:46,-1,Jalen Richard missed Three Point Jumper.,31,46
15:46,-1,Ja-Mont Wilson Offensive Rebound.,31,46
15:41,-1,Ja-Mont Wilson missed Layup.,31,46
15:41,-1,Ja-Mont Wilson Offensive Rebound.,31,46
15:39,-1,CS East Bay  Timeout,31,46
15:21,-1,Juwan Anderson missed Three Point Jumper.,31,46
15:21,2541,Emmanuel Ndumanya Defensive Rebound.,31,46
14:50,2541,Nate Kratch made Jumper.,31,48
14:33,-1,Micah Dunhour missed Jumper.,31,48
14:33,-1,Micah Dunhour Offensive Rebound.,31,48
14:30,-1,Jalen Richard missed Three Point Jumper.,31,48
14:30,2541,Emmanuel Ndumanya Defensive Rebound.,31,48
14:11,2541,Emmanuel Ndumanya made Layup. Assisted by Kai Healy.,31,50
13:58,-1,Micah Dunhour made Jumper. Assisted by Juwan Anderson.,33,50
13:36,2541,Jared Brownridge made Three Point Jumper. Assisted by Matt Hauser.,33,53
13:25,-1,CS East Bay  Timeout,33,53
13:17,-1,Jelani Mitchell missed Jumper.,33,53
13:17,2541,Jarvis Pugh Defensive Rebound.,33,53
13:00,2541,Matt Hauser missed Jumper.,33,53
13:00,2541,Henrik Jadersten Offensive Rebound.,33,53
12:48,2541,Jarvis Pugh Turnover.,33,53
12:48,2541,Foul on Jarvis Pugh.,33,53
12:39,2541,Foul on Henrik Jadersten.,33,53
12:39,-1,Pierre Carter made Free Throw.,34,53
12:39,-1,Pierre Carter made Free Throw.,35,53
12:25,-1,Foul on Lamine Mbodj.,35,53
12:08,-1,Foul on Lamine Mbodj.,35,53
12:08,2541,Jarvis Pugh missed Free Throw.,35,53
12:08,2541,Santa Clara Deadball Team Rebound.,35,53
12:08,2541,Jarvis Pugh made Free Throw.,35,54
12:01,-1,Pierre Carter missed Three Point Jumper.,35,54
12:01,-1,Tre Mauldin Offensive Rebound.,35,54
11:44,-1,Tre Mauldin missed Three Point Jumper.,35,54
11:44,2541,Kai Healy Defensive Rebound.,35,54
11:33,2541,Jarvis Pugh made Dunk. Assisted by Kai Healy.,35,56
11:16,-1,Paramvir Singh missed Jumper.,35,56
11:16,2541,Jarvis Pugh Block.,35,56
11:13,2541,Jarvis Pugh Defensive Rebound.,35,56
11:07,2541,Kai Healy missed Three Point Jumper.,35,56
11:07,-1,Lamine Mbodj Defensive Rebound.,35,56
10:45,-1,Lamine Mbodj Turnover.,35,56
10:45,-1,Foul on Lamine Mbodj.,35,56
10:45,2541,Santa Clara  Timeout,35,56
10:29,2541,Evan Wardlow missed Jumper.,35,56
10:29,2541,Kai Healy Offensive Rebound.,35,56
10:15,2541,Jarvis Pugh made Jumper. Assisted by Evan Wardlow.,35,58
10:02,-1,Drew Bender missed Three Point Jumper.,35,58
10:02,2541,Jarvis Pugh Defensive Rebound.,35,58
9:57,-1,Foul on Tre Mauldin.,35,58
9:49,-1,Foul on Tre Mauldin.,35,58
9:49,2541,Matt Hauser made Free Throw.,35,59
9:49,2541,Matt Hauser missed Free Throw.,35,59
9:49,-1,Pierre Carter Defensive Rebound.,35,59
9:31,-1,Jelani Mitchell missed Layup.,35,59
9:30,2541,Henrik Jadersten Block.,35,59
9:29,2541,Jared Brownridge Defensive Rebound.,35,59
9:05,-1,Pierre Carter Turnover.,35,59
9:05,2541,Foul on Jarvis Pugh.,35,59
9:01,-1,Drew Bender Turnover.,35,59
8:53,2541,Matt Hauser made Layup.,35,61
8:40,-1,Drew Bender missed Three Point Jumper.,35,61
8:40,2541,Santa Clara Defensive Rebound.,35,61
8:35,2541,Nate Kratch Turnover.,35,61
8:31,-1,Pierre Carter made Layup.,37,61
8:19,-1,Foul on Paramvir Singh.,37,61
8:19,2541,Nate Kratch missed Free Throw.,37,61
8:19,-1,Paramvir Singh Defensive Rebound.,37,61
8:04,-1,Pierre Carter Turnover.,37,61
8:04,2541,Jared Brownridge Steal.,37,61
7:57,-1,Foul on Paramvir Singh.,37,61
7:57,2541,Santa Clara  Timeout,37,61
7:57,2541,Nate Kratch missed Free Throw.,37,61
7:57,-1,Paramvir Singh Defensive Rebound.,37,61
7:42,-1,Kyle Frakes made Jumper.,39,61
7:01,2541,Matt Hauser missed Three Point Jumper.,39,61
7:01,2541,Emmanuel Ndumanya Offensive Rebound.,39,61
6:47,2541,Nate Kratch made Jumper. Assisted by Jared Brownridge.,39,63
6:27,-1,Jelani Mitchell Turnover.,39,63
6:09,-1,Foul on Ja-Mont Wilson.,39,63
6:09,2541,Kai Healy made Free Throw.,39,64
6:09,2541,Kai Healy made Free Throw.,39,65
5:50,-1,Tre Mauldin Turnover.,39,65
5:48,2541,Kai Healy Steal.,39,65
5:39,2541,Jared Brownridge missed Three Point Jumper.,39,65
5:39,2541,Nate Kratch Offensive Rebound.,39,65
5:13,2541,Matt Hauser missed Three Point Jumper.,39,65
5:13,-1,Paramvir Singh Defensive Rebound.,39,65
5:04,-1,Tre Mauldin Turnover.,39,65
5:02,2541,Emmanuel Ndumanya Steal.,39,65
4:51,-1,Foul on Tre Mauldin.,39,65
4:51,2541,Kai Healy made Free Throw.,39,66
4:47,2541,Matt Hubbard Turnover.,39,66
4:40,-1,Paramvir Singh made Three Point Jumper. Assisted by Jelani Mitchell.,42,66
4:10,2541,Evan Wardlow missed Jumper.,42,66
4:10,2541,Matt Hubbard Offensive Rebound.,42,66
3:51,2541,Matt Hubbard missed Jumper.,42,66
3:51,2541,Tony Lewis Offensive Rebound.,42,66
3:48,-1,Foul on Ja-Mont Wilson.,42,66
3:48,2541,Santa Clara  Timeout,42,66
3:48,2541,Tony Lewis made Free Throw.,42,67
3:48,2541,Tony Lewis missed Free Throw.,42,67
3:48,2541,Santa Clara Offensive Rebound.,42,67
3:32,2541,Kai Healy Turnover.,42,67
3:04,-1,Ja-Mont Wilson missed Jumper.,42,67
3:04,2541,Evan Wardlow Defensive Rebound.,42,67
2:42,-1,Foul on Jelani Mitchell.,42,67
2:42,2541,Kai Healy made Free Throw.,42,68
2:42,2541,Kai Healy missed Free Throw.,42,68
2:42,-1,Ja-Mont Wilson Defensive Rebound.,42,68
2:28,2541,Foul on Tony Lewis.,42,68
2:28,-1,Ja-Mont Wilson missed Free Throw.,42,68
2:28,-1,Jelani Mitchell Offensive Rebound.,42,68
2:25,-1,Drew Bender made Layup.,44,68
2:07,2541,Akil Douglas missed Three Point Jumper.,44,68
2:07,-1,Paramvir Singh Defensive Rebound.,44,68
2:00,-1,Paramvir Singh missed Layup.,44,68
2:00,2541,Akil Douglas Block.,44,68
1:58,2541,Akil Douglas Defensive Rebound.,44,68
1:56,-1,Foul on Jelani Mitchell.,44,68
1:56,2541,Akil Douglas made Free Throw.,44,69
1:56,2541,Akil Douglas made Free Throw.,44,70
1:44,-1,Paramvir Singh missed Jumper.,44,70
1:44,-1,Jelani Mitchell Offensive Rebound.,44,70
1:41,-1,Jelani Mitchell missed Layup.,44,70
1:41,2541,Evan Crawford Defensive Rebound.,44,70
1:32,2541,Evan Crawford Turnover.,44,70
1:32,2541,Foul on Evan Crawford.,44,70
1:24,2541,Foul on Akil Douglas.,44,70
1:24,-1,Jelani Mitchell made Free Throw.,45,70
1:24,-1,Jelani Mitchell made Free Throw.,46,70
1:18,-1,Foul on Lamine Mbodj.,46,70
1:18,2541,Johnny Sawyer missed Free Throw.,46,70
1:18,2541,Santa Clara Deadball Team Rebound.,46,70
1:18,2541,Johnny Sawyer missed Free Throw.,46,70
1:18,2541,Akil Douglas Offensive Rebound.,46,70
1:16,2541,Akil Douglas made Layup.,46,72
1:00,2541,Foul on Johnny Sawyer.,46,72
1:00,-1,Kyle Frakes made Free Throw.,47,72
1:00,-1,Kyle Frakes missed Free Throw.,47,72
1:00,2541,Santa Clara Deadball Team Rebound.,47,72
1:00,2541,Akil Douglas Turnover.,47,72
1:00,-1,Jelani Mitchell Steal.,47,72
1:00,-1,Drew Bender made Layup.,49,72
0:38,-1,Foul on Ja-Mont Wilson.,49,72
0:38,2541,Will Burkett made Free Throw.,49,73
0:38,2541,Will Burkett made Free Throw.,49,74
0:38,2541,Will Burkett made Free Throw.,49,75
0:35,2541,Foul on Will Burkett.,49,75
0:35,-1,Ja-Mont Wilson missed Free Throw.,49,75
0:35,-1,CS East Bay Deadball Team Rebound.,49,75
0:35,-1,Ja-Mont Wilson made Free Throw.,50,75
0:23,2541,Evan Crawford missed Jumper.,50,75
0:23,-1,Ja-Mont Wilson Block.,50,75
0:22,2541,Evan Crawford Offensive Rebound.,50,75
0:18,2541,Will Burkett missed Three Point Jumper.,50,75
0:18,-1,Ja-Mont Wilson Defensive Rebound.,50,75
0:09,-1,Drew Bender missed Three Point Jumper.,50,75
0:09,2541,Tony Lewis Defensive Rebound.,50,75
0:00,2541,End of Game,50,75
