Central Connecticut,2184,Duquesne,2115
12:40,2115,Tidell Pierre Offensive Rebound.,11,9
12:33,2115,Mustafa Jones missed Layup.,11,9
12:33,2184,Isiaha Mike Block.,11,9
12:31,2115,Central Connecticut St Offensive Rebound.,11,9
12:29,2184,Official TV Timeout,11,9
12:17,2115,Austin Nehls missed Three Point Jumper.,11,9
12:17,2184,Kale Abrahamson Defensive Rebound.,11,9
12:12,2184,Mike Lewis II missed Three Point Jumper.,11,9
12:12,2115,Austin Nehls Defensive Rebound.,11,9
11:51,2115,Kevin Seymour missed Layup.,11,9
11:51,2184,Darius Lewis Defensive Rebound.,11,9
11:40,2184,Rene Castro made Layup.,11,11
11:10,2115,Tidell Pierre made Jumper. Assisted by Kevin Seymour.,13,11
10:46,2184,Rene Castro made Layup.,13,13
10:20,2115,Kevin Seymour made Jumper.,15,13
9:59,2184,Kale Abrahamson Turnover.,15,13
9:58,2115,Chris Williams Steal.,15,13
9:52,2115,Chris Williams missed Jumper.,15,13
9:52,2184,Darius Lewis Defensive Rebound.,15,13
9:47,2184,Darius Lewis Turnover.,15,13
9:46,2115,Tafari Whittingham Steal.,15,13
9:42,2184,Foul on Kale Abrahamson.,15,13
9:42,2184,Official TV Timeout,15,13
9:42,2115,Tidell Pierre missed Free Throw.,15,13
9:42,2115,Central Connecticut St Deadball Team Rebound.,15,13
9:42,2115,Tidell Pierre made Free Throw.,16,13
9:22,2184,Rene Castro made Three Point Jumper. Assisted by Kale Abrahamson.,16,16
8:50,2115,Khalen Cumberlander missed Jumper.,16,16
8:50,2184,Nakye Sanders Defensive Rebound.,16,16
8:42,2184,Kale Abrahamson Turnover.,16,16
8:41,2115,Khalen Cumberlander Steal.,16,16
8:39,2115,Khalen Cumberlander made Dunk.,18,16
8:24,2184,Mike Lewis II made Three Point Jumper. Assisted by Nakye Sanders.,18,19
7:58,2115,Kevin Seymour missed Jumper.,18,19
7:58,2184,Nakye Sanders Defensive Rebound.,18,19
7:45,2184,Kale Abrahamson missed Layup.,18,19
7:45,2115,Austin Nehls Defensive Rebound.,18,19
7:36,2115,Mustafa Jones missed Jumper.,18,19
7:36,2115,Khalen Cumberlander Offensive Rebound.,18,19
7:19,2184,Official TV Timeout,18,19
7:06,2115,Mustafa Jones missed Jumper.,18,19
7:06,2184,Isiaha Mike Defensive Rebound.,18,19
6:58,2184,Mike Lewis II made Layup.,18,21
6:26,2115,Kevin Seymour missed Layup.,18,21
6:26,2115,Kevin Seymour Offensive Rebound.,18,21
6:01,2115,Mustafa Jones missed Layup.,18,21
6:01,2184,Nakye Sanders Defensive Rebound.,18,21
5:52,2184,Mike Lewis II missed Layup.,18,21
5:52,2115,Tafari Whittingham Defensive Rebound.,18,21
5:43,2115,Mustafa Jones made Layup. Assisted by Khalen Cumberlander.,20,21
5:15,2184,Isiaha Mike missed Three Point Jumper.,20,21
5:15,2115,Khalen Cumberlander Defensive Rebound.,20,21
5:03,2115,Khalen Cumberlander made Dunk. Assisted by Eric Bowles.,22,21
4:48,2184,Rene Castro made Three Point Jumper.,22,24
4:13,2115,Mustafa Jones missed Jumper.,22,24
4:13,2184,Isiaha Mike Defensive Rebound.,22,24
3:59,2184,Jordan Robinson missed Jumper.,22,24
3:59,2115,Tidell Pierre Defensive Rebound.,22,24
3:55,2184,Foul on Emile Blackman.,22,24
3:55,2184,Official TV Timeout,22,24
3:33,2115,Tidell Pierre made Layup. Assisted by Mustafa Jones.,24,24
3:11,2184,Isiaha Mike Turnover.,24,24
2:59,2115,Khalen Cumberlander Turnover.,24,24
2:57,2184,Isiaha Mike Steal.,24,24
2:56,2115,Foul on Eric Bowles.,24,24
2:46,2184,Spencer Littleson missed Three Point Jumper.,24,24
2:46,2184,Jordan Robinson Offensive Rebound.,24,24
2:41,2184,Rene Castro missed Three Point Jumper.,24,24
2:41,2115,Kevin Seymour Defensive Rebound.,24,24
2:14,2184,Foul on Isiaha Mike.,24,24
2:14,2115,Kevin Seymour missed Free Throw.,24,24
2:14,2115,Central Connecticut St Deadball Team Rebound.,24,24
2:14,2115,Kevin Seymour made Free Throw.,25,24
2:01,2184,Jordan Robinson missed Layup.,25,24
2:01,2115,Tidell Pierre Defensive Rebound.,25,24
1:48,2115,Khalen Cumberlander missed Layup.,25,24
1:48,2184,Jordan Robinson Block.,25,24
1:47,2184,Tarin Smith Defensive Rebound.,25,24
1:37,2184,Jordan Robinson missed Jumper.,25,24
1:37,2115,Tidell Pierre Defensive Rebound.,25,24
1:33,2184,Foul on Jordan Robinson.,25,24
1:17,2115,Austin Nehls missed Jumper.,25,24
1:17,2184,Spencer Littleson Defensive Rebound.,25,24
1:10,2184,Mike Lewis II Turnover.,25,24
0:48,2115,Mustafa Jones made Jumper. Assisted by Kevin Seymour.,27,24
0:37,2115,Foul on Mustafa Jones.,27,24
0:35,2184,Mike Lewis II made Three Point Jumper. Assisted by Spencer Littleson.,27,27
0:29,2115,Central Connecticut St  Timeout,27,27
0:04,2115,Kevin Seymour missed Jumper.,27,27
0:04,2184,Spencer Littleson Defensive Rebound.,27,27
0:00,2184,Spencer Littleson missed Three Point Jumper.,27,27
0:00,2184,Duquesne Deadball Team Rebound.,27,27
0:00,2184,End of 1st half,27,27
19:46,2184,Emile Blackman made Three Point Jumper. Assisted by Mike Lewis II.,27,30
19:22,2115,Eric Bowles missed Jumper.,27,30
19:22,2184,Nakye Sanders Defensive Rebound.,27,30
19:10,2184,Emile Blackman made Layup.,27,32
18:51,2115,Tidell Pierre made Jumper. Assisted by Austin Nehls.,29,32
18:51,2184,Foul on Nakye Sanders.,29,32
18:51,2115,Tidell Pierre made Free Throw.,30,32
18:40,2184,Nakye Sanders Turnover.,30,32
18:40,2184,Foul on Nakye Sanders.,30,32
18:27,2115,Mustafa Jones missed Jumper.,30,32
18:27,2184,Isiaha Mike Defensive Rebound.,30,32
18:18,2184,Isiaha Mike made Three Point Jumper. Assisted by Tarin Smith.,30,35
18:03,2115,Khalen Cumberlander missed Layup.,30,35
18:03,2184,Isiaha Mike Defensive Rebound.,30,35
17:54,2184,Mike Lewis II made Three Point Jumper. Assisted by Emile Blackman.,30,38
17:39,2115,Central Connecticut St  Timeout,30,38
17:27,2115,Khalen Cumberlander made Three Point Jumper. Assisted by Eric Bowles.,33,38
17:03,2115,Foul on Tidell Pierre.,33,38
17:03,2184,Mike Lewis II made Free Throw.,33,39
17:03,2184,Mike Lewis II made Free Throw.,33,40
16:49,2115,Austin Nehls made Jumper.,35,40
16:37,2184,Tarin Smith missed Jumper.,35,40
16:37,2115,Austin Nehls Defensive Rebound.,35,40
16:29,2184,Foul on Mike Lewis II.,35,40
16:18,2115,Mustafa Jones made Jumper. Assisted by Eric Bowles.,37,40
16:05,2115,Foul on Mustafa Jones.,37,40
16:03,2115,Foul on Tidell Pierre.,37,40
16:03,2184,Mike Lewis II made Free Throw.,37,41
16:03,2184,Mike Lewis II missed Free Throw.,37,41
16:03,2184,Duquesne Deadball Team Rebound.,37,41
16:03,2184,Mike Lewis II made Free Throw.,37,42
15:49,2115,Austin Nehls made Three Point Jumper. Assisted by Eric Bowles.,40,42
15:34,2184,Mike Lewis II missed Three Point Jumper.,40,42
15:34,2184,Nakye Sanders Offensive Rebound.,40,42
15:29,2184,Official TV Timeout,40,42
15:28,2184,Isiaha Mike missed Three Point Jumper.,40,42
15:28,2184,Spencer Littleson Offensive Rebound.,40,42
15:06,2184,Isiaha Mike missed Layup.,40,42
15:06,2115,Eric Bowles Defensive Rebound.,40,42
14:47,2115,Khalen Cumberlander missed Three Point Jumper.,40,42
14:47,2184,Nakye Sanders Defensive Rebound.,40,42
14:34,2115,Foul on Tafari Whittingham.,40,42
14:34,2184,Nakye Sanders made Free Throw.,40,43
14:34,2184,Nakye Sanders made Free Throw.,40,44
14:34,2115,Tafari Whittingham Turnover.,40,44
14:29,2184,Rene Castro missed Three Point Jumper.,40,44
14:29,2115,Tafari Whittingham Defensive Rebound.,40,44
14:22,2115,Khalen Cumberlander missed Layup.,40,44
14:22,2184,Isiaha Mike Defensive Rebound.,40,44
14:16,2184,Mike Lewis II made Layup.,40,46
13:55,2115,Austin Nehls made Three Point Jumper. Assisted by Eric Bowles.,43,46
13:55,2184,Foul on Mike Lewis II.,43,46
13:55,2115,Austin Nehls made Free Throw.,44,46
13:42,2115,Foul on Khalen Cumberlander.,44,46
13:26,2184,Rene Castro missed Jumper.,44,46
13:26,2115,Central Connecticut St Defensive Rebound.,44,46
13:17,2184,Foul on Darius Lewis.,44,46
13:17,2115,Eric Bowles made Free Throw.,45,46
13:17,2115,Eric Bowles made Free Throw.,46,46
12:59,2184,Darius Lewis made Dunk. Assisted by Isiaha Mike.,46,48
12:29,2115,Tidell Pierre made Three Point Jumper. Assisted by Kevin Seymour.,49,48
12:12,2184,Emile Blackman Turnover.,49,48
12:11,2115,Tidell Pierre Steal.,49,48
12:09,2115,Khalen Cumberlander made Dunk. Assisted by Kevin Seymour.,51,48
12:07,2184,Duquesne  Timeout,51,48
12:07,2184,Official TV Timeout,51,48
11:51,2184,Isiaha Mike missed Jumper.,51,48
11:51,2115,Kevin Seymour Defensive Rebound.,51,48
11:27,2115,Khalen Cumberlander missed Three Point Jumper.,51,48
11:27,2184,Tarin Smith Defensive Rebound.,51,48
11:13,2184,Rene Castro made Layup.,51,50
10:43,2115,Kevin Seymour missed Jumper.,51,50
10:43,2115,Chris Williams Offensive Rebound.,51,50
10:27,2115,Tafari Whittingham made Jumper. Assisted by Tidell Pierre.,53,50
10:12,2184,Spencer Littleson made Three Point Jumper.,53,53
9:47,2115,Tidell Pierre made Three Point Jumper. Assisted by Khalen Cumberlander.,56,53
9:23,2184,Spencer Littleson missed Three Point Jumper.,56,53
9:23,2115,Khalen Cumberlander Defensive Rebound.,56,53
9:07,2115,Tafari Whittingham missed Layup.,56,53
9:07,2184,Nakye Sanders Defensive Rebound.,56,53
8:54,2184,Nakye Sanders Turnover.,56,53
8:54,2184,Foul on Nakye Sanders.,56,53
8:44,2184,Foul on Spencer Littleson.,56,53
8:44,2115,Austin Nehls made Free Throw.,57,53
8:44,2115,Austin Nehls made Free Throw.,58,53
8:29,2184,Isiaha Mike missed Three Point Jumper.,58,53
8:29,2184,Duquesne Offensive Rebound.,58,53
8:27,2115,Foul on Tafari Whittingham.,58,53
8:19,2115,Foul on Austin Nehls.,58,53
8:19,2184,Emile Blackman made Free Throw.,58,54
8:19,2184,Emile Blackman made Free Throw.,58,55
8:02,2115,Austin Nehls missed Jumper.,58,55
8:02,2184,Nakye Sanders Defensive Rebound.,58,55
7:53,2184,Emile Blackman missed Layup.,58,55
7:53,2115,Khalen Cumberlander Defensive Rebound.,58,55
7:34,2184,Official TV Timeout,58,55
7:24,2115,Tafari Whittingham missed Jumper.,58,55
7:24,2115,Mustafa Jones Offensive Rebound.,58,55
7:20,2115,Mustafa Jones Turnover.,58,55
7:19,2184,Isiaha Mike Steal.,58,55
7:16,2184,Isiaha Mike made Dunk. Assisted by Rene Castro.,58,57
6:51,2115,Tafari Whittingham Turnover.,58,57
6:30,2184,Isiaha Mike made Layup.,58,59
6:05,2184,Foul on Nakye Sanders.,58,59
6:05,2115,Tidell Pierre made Free Throw.,59,59
6:05,2115,Tidell Pierre missed Free Throw.,59,59
6:05,2184,Nakye Sanders Defensive Rebound.,59,59
5:47,2184,Isiaha Mike missed Three Point Jumper.,59,59
5:47,2115,Khalen Cumberlander Defensive Rebound.,59,59
5:29,2115,Mustafa Jones made Layup.,61,59
5:11,2184,Emile Blackman missed Jumper.,61,59
5:11,2115,Eric Bowles Defensive Rebound.,61,59
4:45,2115,Austin Nehls missed Three Point Jumper.,61,59
4:45,2115,Central Connecticut St Offensive Rebound.,61,59
4:20,2115,Eric Bowles Turnover.,61,59
4:19,2184,Isiaha Mike Steal.,61,59
4:11,2184,Rene Castro Turnover.,61,59
3:57,2115,Tidell Pierre made Layup. Assisted by Mustafa Jones.,63,59
3:43,2115,Foul on Mustafa Jones.,63,59
3:43,2184,Official TV Timeout,63,59
3:43,2184,Isiaha Mike missed Free Throw.,63,59
3:43,2184,Duquesne Deadball Team Rebound.,63,59
3:43,2184,Isiaha Mike made Free Throw.,63,60
3:32,2115,Austin Nehls Turnover.,63,60
3:15,2184,Mike Lewis II Turnover.,63,60
2:59,2184,Foul on Nakye Sanders.,63,60
2:59,2115,Khalen Cumberlander missed Free Throw.,63,60
2:59,2115,Central Connecticut St Deadball Team Rebound.,63,60
2:59,2115,Khalen Cumberlander missed Free Throw.,63,60
2:59,2184,Isiaha Mike Defensive Rebound.,63,60
2:41,2184,Tarin Smith made Jumper.,63,62
2:41,2115,Foul on Eric Bowles.,63,62
2:41,2184,Tarin Smith missed Free Throw.,63,62
2:41,2115,Austin Nehls Defensive Rebound.,63,62
2:22,2115,Khalen Cumberlander made Layup.,65,62
2:05,2184,Eric James missed Layup.,65,62
2:05,2115,Austin Nehls Block.,65,62
2:03,2115,Tidell Pierre Defensive Rebound.,65,62
1:45,2184,Foul on Eric James.,65,62
1:45,2115,Eric Bowles made Free Throw.,66,62
1:45,2115,Eric Bowles made Free Throw.,67,62
1:33,2115,Foul on Tafari Whittingham.,67,62
1:33,2184,Isiaha Mike missed Free Throw.,67,62
1:33,2184,Duquesne Deadball Team Rebound.,67,62
1:33,2184,Isiaha Mike made Free Throw.,67,63
1:24,2115,Eric Bowles missed Layup.,67,63
1:24,2184,Isiaha Mike Block.,67,63
1:21,2184,Isiaha Mike Defensive Rebound.,67,63
1:18,2184,Emile Blackman made Layup. Assisted by Isiaha Mike.,67,65
0:52,2115,Tidell Pierre missed Jumper.,67,65
0:52,2184,Rene Castro Defensive Rebound.,67,65
0:52,2115,Foul on Tafari Whittingham.,67,65
0:52,2184,Rene Castro missed Free Throw.,67,65
0:52,2184,Duquesne Deadball Team Rebound.,67,65
0:52,2184,Rene Castro missed Free Throw.,67,65
0:52,2115,Central Connecticut St Defensive Rebound.,67,65
0:41,2115,Central Connecticut St  Timeout,67,65
0:25,2115,Eric Bowles Turnover.,67,65
0:25,2115,Foul on Eric Bowles.,67,65
0:25,2184,Duquesne  Timeout,67,65
0:17,2184,Isiaha Mike made Three Point Jumper. Assisted by Mike Lewis II.,67,68
0:16,2184,Duquesne  Timeout,67,68
0:12,2115,Central Connecticut St  Timeout,67,68
0:03,2115,Mustafa Jones missed Jumper.,67,68
0:03,2184,Emile Blackman Defensive Rebound.,67,68
0:02,2115,Foul on Eric Bowles.,67,68
0:02,2184,Emile Blackman made Free Throw.,67,69
0:02,2184,Emile Blackman made Free Throw.,67,70
0:00,2184,End of Game,67,70
