Keystone,Error,Delaware State,2169
1:46,2169,DeAndre Haywood missed Free Throw.,30,35
1:46,-1,ShaShawn Drayton Defensive Rebound.,30,35
1:38,-1,Deion Monroe missed Three Point Jumper.,30,35
1:38,2169,Dana Raysor Defensive Rebound.,30,35
1:18,2169,DeVaughn Mallory missed Jumper.,30,35
1:18,2169,DeVaughn Mallory Offensive Rebound.,30,35
0:53,2169,Dana Raysor missed Three Point Jumper.,30,35
0:53,2169,DeVaughn Mallory Offensive Rebound.,30,35
0:47,2169,DeVaughn Mallory made Jumper.,30,37
0:39,-1,Devin Stricklin Turnover.,30,37
0:16,2169,DeVaughn Mallory missed Jumper.,30,37
0:16,-1,Deion Monroe Defensive Rebound.,30,37
0:03,-1,Foul on Mark Gilliam.,30,37
0:03,-1,Mark Gilliam Turnover.,30,37
0:00,2169,Devin Morgan missed Three Point Jumper.,30,37
0:00,2169,Delaware St Deadball Team Rebound.,30,37
0:00,2169,End of 1st half,30,37
19:49,-1,Deion Monroe made Three Point Jumper. Assisted by Bryan Williams.,33,37
19:31,-1,Foul on Bryan Williams.,33,37
19:12,2169,Kavon Waller made Three Point Jumper. Assisted by Jamelle Christian.,33,40
18:52,-1,Bryan Williams missed Three Point Jumper.,33,40
18:52,-1,ShaShawn Drayton Offensive Rebound.,33,40
18:42,-1,Deion Monroe Turnover.,33,40
18:39,2169,Demola Onifade Steal.,33,40
18:23,2169,DeVaughn Mallory made Jumper. Assisted by Jamelle Christian.,33,42
18:11,-1,Mark Gilliam missed Three Point Jumper.,33,42
18:11,2169,DeVaughn Mallory Defensive Rebound.,33,42
18:08,-1,Foul on Deion Monroe.,33,42
17:55,2169,Devin Morgan missed Three Point Jumper.,33,42
17:55,-1,Bryan Williams Defensive Rebound.,33,42
17:43,-1,Perry Belcher Turnover.,33,42
17:42,2169,Devin Morgan Steal.,33,42
17:39,2169,Jamelle Christian made Layup. Assisted by Devin Morgan.,33,44
17:24,-1,Bryan Williams missed Layup.,33,44
17:24,2169,Kavon Waller Defensive Rebound.,33,44
17:17,2169,Devin Morgan Turnover.,33,44
17:15,-1,Bryan Williams Steal.,33,44
17:03,-1,Mark Gilliam missed Layup.,33,44
17:03,2169,DeVaughn Mallory Defensive Rebound.,33,44
16:53,2169,Demola Onifade made Dunk. Assisted by DeVaughn Mallory.,33,46
16:41,-1,Perry Belcher Turnover.,33,46
16:38,2169,DeVaughn Mallory Steal.,33,46
16:31,2169,Devin Morgan made Jumper.,33,48
16:18,-1,Deion Monroe made Three Point Jumper. Assisted by Mark Gilliam.,36,48
15:57,2169,Jamelle Christian made Three Point Jumper. Assisted by Devin Morgan.,36,51
15:41,2169,Official TV Timeout,36,51
15:31,-1,Deion Monroe missed Three Point Jumper.,36,51
15:31,2169,Devin Morgan Defensive Rebound.,36,51
15:24,2169,DeVaughn Mallory made Layup. Assisted by Devin Morgan.,36,53
15:09,-1,Mark Gilliam made Three Point Jumper. Assisted by Devin Stricklin.,39,53
14:40,2169,Jamelle Christian missed Three Point Jumper.,39,53
14:40,2169,Demola Onifade Offensive Rebound.,39,53
14:37,2169,Demola Onifade made Layup.,39,55
14:37,-1,Foul on Bryan Williams.,39,55
14:37,2169,Demola Onifade missed Free Throw.,39,55
14:37,-1,Bryan Williams Defensive Rebound.,39,55
14:19,-1,John Kirkpatrick missed Layup.,39,55
14:19,2169,Demola Onifade Defensive Rebound.,39,55
13:26,2169,DeVaughn Mallory missed Jumper.,39,55
13:26,2169,Demola Onifade Offensive Rebound.,39,55
13:25,2169,Demola Onifade made Layup.,39,57
13:18,-1,Mark Gilliam made Three Point Jumper. Assisted by Devin Stricklin.,42,57
13:11,2169,DeVaughn Mallory made Dunk. Assisted by Kavon Waller.,42,59
13:05,-1,John Kirkpatrick made Layup.,44,59
12:43,2169,Devin Morgan missed Jumper.,44,59
12:43,2169,DeVaughn Mallory Offensive Rebound.,44,59
12:38,2169,Devin Morgan missed Three Point Jumper.,44,59
12:38,-1,Devin Stricklin Defensive Rebound.,44,59
12:27,2169,Foul on Kavon Waller.,44,59
12:27,-1,John Kirkpatrick made Free Throw.,45,59
12:27,-1,John Kirkpatrick missed Free Throw.,45,59
12:27,2169,Kavon Waller Defensive Rebound.,45,59
11:57,2169,Kavon Waller made Three Point Jumper. Assisted by Devin Morgan.,45,62
11:49,-1,John Kirkpatrick Turnover.,45,62
11:49,2169,Official TV Timeout,45,62
11:32,2169,Kavon Waller made Three Point Jumper. Assisted by Dana Raysor.,45,65
11:21,-1,Khyle Diaz missed Three Point Jumper.,45,65
11:21,-1,Keystone Offensive Rebound.,45,65
11:12,2169,Foul on DeVaughn Mallory.,45,65
11:10,-1,Devin Stricklin Turnover.,45,65
11:09,2169,DeVaughn Mallory Steal.,45,65
10:56,2169,Jamelle Christian missed Three Point Jumper.,45,65
10:56,2169,Kavon Waller Offensive Rebound.,45,65
10:51,2169,Devin Morgan made Three Point Jumper. Assisted by Jamelle Christian.,45,68
10:36,-1,Mark Gilliam missed Jumper.,45,68
10:36,2169,Jamelle Christian Defensive Rebound.,45,68
10:33,-1,Foul on John Kirkpatrick.,45,68
10:19,2169,Dana Raysor missed Three Point Jumper.,45,68
10:19,2169,Devin Morgan Offensive Rebound.,45,68
10:08,2169,Kavon Waller made Three Point Jumper. Assisted by Devin Morgan.,45,71
9:46,-1,Perry Belcher made Layup.,47,71
9:27,-1,Foul on John Kirkpatrick.,47,71
9:27,2169,Dana Raysor made Free Throw.,47,72
9:27,2169,Dana Raysor missed Free Throw.,47,72
9:27,-1,Khyle Diaz Defensive Rebound.,47,72
9:15,-1,Mark Gilliam missed Three Point Jumper.,47,72
9:15,2169,Delaware St Defensive Rebound.,47,72
9:02,2169,Devin Morgan made Jumper.,47,74
8:45,-1,Khyle Diaz missed Three Point Jumper.,47,74
8:45,2169,Kavon Waller Defensive Rebound.,47,74
8:34,2169,Devin Morgan made Three Point Jumper. Assisted by Dana Raysor.,47,77
8:18,-1,Khyle Diaz made Three Point Jumper. Assisted by Perry Belcher.,50,77
7:56,2169,Kavon Waller made Three Point Jumper. Assisted by Devin Morgan.,50,80
7:45,2169,Foul on Jamelle Christian.,50,80
7:45,2169,Official TV Timeout,50,80
7:45,-1,Perry Belcher made Free Throw.,51,80
7:45,-1,Perry Belcher missed Free Throw.,51,80
7:45,2169,Devin Morgan Defensive Rebound.,51,80
7:16,-1,Foul on Devin Stricklin.,51,80
6:52,2169,Demola Onifade missed Jumper.,51,80
6:52,-1,Eric Hardaway Block.,51,80
6:51,-1,Devin Stricklin Defensive Rebound.,51,80
6:48,-1,Devin Stricklin Turnover.,51,80
6:48,2169,Demola Onifade Steal.,51,80
6:48,-1,Foul on Devin Stricklin.,51,80
6:48,2169,Demola Onifade made Free Throw.,51,81
6:48,2169,Demola Onifade missed Free Throw.,51,81
6:48,-1,Terrence Palmer Defensive Rebound.,51,81
6:38,-1,Perry Belcher Turnover.,51,81
6:37,2169,Artem Tavakalyan Steal.,51,81
6:35,2169,Artem Tavakalyan Turnover.,51,81
6:26,-1,Terrence Palmer missed Jumper.,51,81
6:26,2169,Kavon Waller Defensive Rebound.,51,81
6:07,2169,Demola Onifade missed Jumper.,51,81
6:07,-1,Perry Belcher Defensive Rebound.,51,81
6:01,-1,Terrence Palmer made Three Point Jumper. Assisted by Devin Stricklin.,54,81
5:35,2169,Artem Tavakalyan made Layup.,54,83
5:24,-1,Khyle Diaz made Three Point Jumper. Assisted by Eric Hardaway.,57,83
5:04,2169,Foul on Dana Raysor.,57,83
5:04,2169,Dana Raysor Turnover.,57,83
4:55,-1,Perry Belcher made Layup.,59,83
4:43,2169,Artem Tavakalyan missed Three Point Jumper.,59,83
4:43,-1,Terrence Bowman Defensive Rebound.,59,83
4:34,-1,Khyle Diaz made Three Point Jumper. Assisted by Terrence Bowman.,62,83
3:59,2169,Kavon Waller made Three Point Jumper. Assisted by Devin Morgan.,62,86
3:45,-1,Terrence Palmer Turnover.,62,86
3:45,2169,Dana Raysor Steal.,62,86
3:41,2169,Devin Morgan Turnover.,62,86
3:41,2169,Official TV Timeout,62,86
3:36,-1,Perry Belcher missed Dunk.,62,86
3:36,2169,Demola Onifade Block.,62,86
3:33,2169,Quincy Tillinghast Defensive Rebound.,62,86
3:30,2169,Quincy Tillinghast Turnover.,62,86
3:27,-1,Perry Belcher Steal.,62,86
3:25,-1,Perry Belcher missed Layup.,62,86
3:25,-1,Keystone Offensive Rebound.,62,86
3:24,-1,Keystone  Timeout,62,86
3:22,-1,Perry Belcher missed Layup.,62,86
3:22,2169,Joseph Lewis Defensive Rebound.,62,86
3:00,2169,Artem Tavakalyan missed Dunk.,62,86
3:00,-1,Khyle Diaz Defensive Rebound.,62,86
2:54,-1,Terrence Palmer made Three Point Jumper.,65,86
2:54,2169,Dana Raysor missed Three Point Jumper.,65,86
2:54,2169,Artem Tavakalyan Offensive Rebound.,65,86
2:54,2169,Artem Tavakalyan made Dunk.,65,88
2:54,-1,Terrence Palmer missed Jumper.,65,88
2:54,2169,Joseph Lewis Defensive Rebound.,65,88
2:18,2169,Joseph Lewis missed Jumper.,65,88
2:18,-1,ShaShawn Drayton Defensive Rebound.,65,88
2:10,-1,Khyle Diaz missed Three Point Jumper.,65,88
2:10,2169,Joseph Lewis Defensive Rebound.,65,88
2:03,2169,Joseph Lewis Turnover.,65,88
2:03,-1,Perry Belcher Steal.,65,88
1:59,-1,Deion Monroe made Layup.,67,88
1:10,2169,Delaware St  Timeout,67,88
0:59,2169,Quincy Tillinghast made Jumper.,67,90
0:48,-1,Khyle Diaz missed Three Point Jumper.,67,90
0:48,2169,Mrdjan Gasevic Defensive Rebound.,67,90
0:35,2169,Joseph Lewis missed Jumper.,67,90
0:35,-1,Perry Belcher Defensive Rebound.,67,90
0:29,-1,Eric Hardaway Turnover.,67,90
0:24,2169,Quincy Tillinghast missed Jumper.,67,90
0:24,2169,Mrdjan Gasevic Offensive Rebound.,67,90
0:24,2169,Mrdjan Gasevic made Layup.,67,92
0:19,-1,Deion Monroe missed Three Point Jumper.,67,92
0:19,2169,Mrdjan Gasevic Block.,67,92
0:18,2169,Jordan Bushrod Defensive Rebound.,67,92
0:12,2169,Kavon Waller missed Three Point Jumper.,67,92
0:12,-1,Deion Monroe Defensive Rebound.,67,92
0:06,-1,Perry Belcher made Dunk.,69,92
0:00,2169,End of Game,69,92
