Georgia Southwestern,2247,Georgia State,3068
0:01,-1,Tyrone Wooten missed Jumper.,22,39
0:01,-1,Georgia Southwestern Deadball Team Rebound.,22,39
0:00,2247,End of 1st half,22,39
19:42,-1,Devin Watson made Three Point Jumper. Assisted by Brandon Price.,25,39
19:26,2247,Austin Donaldson made Jumper.,25,41
18:58,-1,Brandon Price missed Jumper.,25,41
18:58,2247,Willie Clayton Defensive Rebound.,25,41
18:46,2247,Austin Donaldson made Jumper.,25,43
18:36,-1,Devin Watson Turnover.,25,43
18:35,2247,Malik Benlevi Steal.,25,43
18:27,2247,Isaiah Williams missed Layup.,25,43
18:27,2247,Willie Clayton Offensive Rebound.,25,43
18:23,-1,Foul on Jordan Banks.,25,43
18:10,2247,Malik Benlevi made Layup. Assisted by Austin Donaldson.,25,45
18:10,-1,Foul on Jordan Banks.,25,45
18:10,2247,Malik Benlevi made Free Throw.,25,46
17:56,-1,Devin Watson Turnover.,25,46
17:56,2247,Jeremy Hollowell Steal.,25,46
17:55,2247,Official TV Timeout,25,46
17:55,-1,Georgia Southwestern  Timeout,25,46
17:45,2247,Austin Donaldson made Three Point Jumper. Assisted by Malik Benlevi.,25,49
17:29,-1,Foul on Tyrone Wooten.,25,49
17:29,-1,Tyrone Wooten Turnover.,25,49
17:26,2247,Malik Benlevi Turnover.,25,49
17:25,-1,Devin Watson Steal.,25,49
17:19,2247,Foul on Austin Donaldson.,25,49
17:19,-1,Cameron Dozier made Free Throw.,26,49
17:19,-1,Cameron Dozier missed Free Throw.,26,49
17:19,2247,Willie Clayton Defensive Rebound.,26,49
17:19,2247,D'Marcus Simonds made Layup.,26,51
17:18,-1,Tyrone Wooten missed Jumper.,26,51
17:18,2247,Isaiah Williams Defensive Rebound.,26,51
17:09,2247,Isaiah Williams missed Three Point Jumper.,26,51
17:09,2247,Willie Clayton Offensive Rebound.,26,51
17:05,2247,Willie Clayton missed Layup.,26,51
17:05,-1,Tyrone Wooten Block.,26,51
17:01,2247,Georgia St Offensive Rebound.,26,51
16:42,2247,Willie Clayton made Jumper.,26,53
16:35,-1,Foul on Devin Watson.,26,53
16:32,2247,Willie Clayton made Free Throw.,26,54
16:21,-1,Brandon Price made Three Point Jumper. Assisted by Cameron Dozier.,29,54
15:57,2247,Isaiah Williams made Three Point Jumper.,29,57
15:36,-1,Devin Watson missed Jumper.,29,57
15:36,2247,Isaiah Williams Defensive Rebound.,29,57
15:28,-1,Foul on Devin Watson.,29,57
15:28,2247,Official TV Timeout,29,57
15:25,2247,Jeremy Hollowell made Layup.,29,59
15:03,-1,Brandon Price made Jumper.,31,59
14:37,2247,Jeremy Hollowell missed Three Point Jumper.,31,59
14:37,-1,Georgia Southwestern Defensive Rebound.,31,59
14:20,-1,Tyrone Wooten missed Three Point Jumper.,31,59
14:20,2247,Jeff Thomas Defensive Rebound.,31,59
14:12,2247,Austin Donaldson missed Jumper.,31,59
14:12,2247,Willie Clayton Offensive Rebound.,31,59
14:09,2247,Willie Clayton made Layup.,31,61
13:52,-1,Brandon Price Turnover.,31,61
13:51,2247,Austin Donaldson Steal.,31,61
13:44,2247,Devin Mitchell made Three Point Jumper. Assisted by D'Marcus Simonds.,31,64
13:13,-1,Devin Watson made Three Point Jumper. Assisted by Jaylen Waters.,34,64
12:51,2247,Devin Mitchell Turnover.,34,64
12:50,-1,Brandon Price Steal.,34,64
12:44,-1,Jaylen Waters missed Layup.,34,64
12:44,2247,Willie Clayton Block.,34,64
12:42,-1,Brandon Price Offensive Rebound.,34,64
12:36,-1,Devin Watson missed Three Point Jumper.,34,64
12:36,2247,Willie Clayton Defensive Rebound.,34,64
12:20,-1,Foul on Brandon Price.,34,64
12:14,2247,Devin Mitchell missed Three Point Jumper.,34,64
12:14,-1,Devin Watson Defensive Rebound.,34,64
12:10,2247,Foul on D'Marcus Simonds.,34,64
11:58,-1,Cameron Dozier missed Three Point Jumper.,34,64
11:58,2247,Willie Clayton Defensive Rebound.,34,64
11:47,-1,Foul on Tyrone Wooten.,34,64
11:45,2247,Official TV Timeout,34,64
11:45,2247,Willie Clayton missed Free Throw.,34,64
11:45,-1,Tyrone Wooten Defensive Rebound.,34,64
11:37,-1,Brandon Price made Jumper.,36,64
11:31,-1,Foul on Tyrone Wooten.,36,64
11:31,2247,Devin Mitchell made Free Throw.,36,65
11:31,2247,Devin Mitchell missed Free Throw.,36,65
11:31,-1,Jordan Banks Defensive Rebound.,36,65
11:20,-1,Jordan Banks Turnover.,36,65
11:19,2247,Devin Mitchell Steal.,36,65
11:16,2247,Devin Mitchell Turnover.,36,65
11:16,-1,Brandon Price Steal.,36,65
11:07,-1,Brandon Price missed Three Point Jumper.,36,65
11:07,2247,Georgia St Defensive Rebound.,36,65
10:45,2247,D'Marcus Simonds missed Layup.,36,65
10:45,-1,Georgia Southwestern Defensive Rebound.,36,65
10:32,-1,Brandon Price missed Three Point Jumper.,36,65
10:32,2247,Jeremy Hollowell Defensive Rebound.,36,65
10:23,2247,Jeff Thomas made Three Point Jumper. Assisted by Devin Mitchell.,36,68
9:51,-1,Cameron Dozier missed Three Point Jumper.,36,68
9:51,-1,Georgia Southwestern Offensive Rebound.,36,68
9:38,2247,Foul on Devin Mitchell.,36,68
9:27,-1,Cameron Dozier missed Free Throw.,36,68
9:27,-1,Georgia Southwestern Deadball Team Rebound.,36,68
9:21,-1,Cameron Dozier missed Free Throw.,36,68
9:21,2247,Jeff Thomas Defensive Rebound.,36,68
9:01,2247,Jeremy Hollowell Turnover.,36,68
9:01,-1,Devin Watson Steal.,36,68
8:59,-1,Devin Watson made Layup.,38,68
8:39,2247,Jeremy Hollowell missed Jumper.,38,68
8:39,-1,Tevin Wise Defensive Rebound.,38,68
8:36,-1,Tevin Wise missed Three Point Jumper.,38,68
8:36,2247,Jeremy Hollowell Defensive Rebound.,38,68
8:34,2247,Devin Mitchell made Three Point Jumper. Assisted by D'Marcus Simonds.,38,71
8:16,-1,Tevin Wise missed Three Point Jumper.,38,71
8:16,2247,Jeremy Hollowell Defensive Rebound.,38,71
8:01,-1,Foul on Devin Watson.,38,71
7:56,2247,Official TV Timeout,38,71
7:56,2247,Jeff Thomas made Free Throw.,38,72
7:56,2247,Jeff Thomas made Free Throw.,38,73
7:30,2247,Foul on Chris Clerkley.,38,73
7:30,-1,Tyrone Wooten made Free Throw.,39,73
7:30,-1,Tyrone Wooten made Free Throw.,40,73
7:05,2247,Foul on Malik Benlevi.,40,73
7:05,2247,Malik Benlevi Turnover.,40,73
6:47,-1,Colt Yawn missed Three Point Jumper.,40,73
6:47,2247,Chris Clerkley Block.,40,73
6:45,2247,Malik Benlevi Defensive Rebound.,40,73
6:35,-1,Foul on Cameron Dozier.,40,73
6:30,-1,Tyrone Wooten made Layup. Assisted by Cameron Dozier.,42,73
6:20,2247,Chris Clerkley made Free Throw.,42,74
6:13,2247,Chris Clerkley missed Jumper.,42,74
6:13,-1,Colt Yawn Defensive Rebound.,42,74
6:06,2247,Chris Clerkley missed Free Throw.,42,74
6:06,-1,Cameron Dozier Defensive Rebound.,42,74
6:04,-1,Devin Watson missed Layup.,42,74
6:04,2247,Chris Clerkley Block.,42,74
6:02,2247,Isaiah Williams Defensive Rebound.,42,74
5:53,2247,D'Marcus Simonds made Dunk. Assisted by Austin Donaldson.,42,76
5:36,-1,Tyrone Wooten Turnover.,42,76
5:34,2247,Austin Donaldson Steal.,42,76
5:33,2247,Malik Benlevi made Dunk. Assisted by Austin Donaldson.,42,78
5:06,2247,Foul on Malik Benlevi.,42,78
5:00,-1,Cameron Dozier made Three Point Jumper. Assisted by Tyrone Wooten.,45,78
4:33,2247,Chris Clerkley Turnover.,45,78
4:28,-1,Colt Yawn made Three Point Jumper. Assisted by Brandon Price.,48,78
4:09,2247,Carter Cagle Turnover.,48,78
3:57,-1,Tyrone Wooten Turnover.,48,78
3:56,2247,Austin Donaldson Steal.,48,78
3:52,2247,D'Marcus Simonds Turnover.,48,78
3:51,-1,Richard Love Steal.,48,78
3:38,-1,Richard Love Turnover.,48,78
3:14,2247,Jeff Thomas Turnover.,48,78
3:12,-1,Cale Mainor Steal.,48,78
2:53,-1,Jaylen Waters made Layup. Assisted by Brandon Price.,50,78
2:35,2247,Carter Cagle made Three Point Jumper. Assisted by D'Marcus Simonds.,50,81
2:19,-1,Colt Yawn missed Three Point Jumper.,50,81
2:19,2247,Chris Clerkley Defensive Rebound.,50,81
2:00,2247,Carter Cagle missed Three Point Jumper.,50,81
2:00,-1,Brandon Price Defensive Rebound.,50,81
1:55,-1,Brandon Price made Layup.,52,81
1:44,2247,Justin Seymour Turnover.,52,81
1:31,-1,Richard Love Turnover.,52,81
1:18,2247,Nile Felton missed Three Point Jumper.,52,81
1:18,2247,Chris Clerkley Offensive Rebound.,52,81
1:15,2247,Chris Clerkley made Layup.,52,83
0:48,-1,Tevin Wise missed Three Point Jumper.,52,83
0:48,2247,Chris Clerkley Defensive Rebound.,52,83
0:16,2247,Georgia St  Turnover.,52,83
0:00,2247,End of Game,52,83
