St. Francis (BKN),2099,Canisius,2597
13:24,2099,Phil Valenti Turnover.,14,17
13:24,2099,Foul on Phil Valenti.,14,17
13:24,2099,Technical Foul on Phil Valenti.,14,17
13:24,2597,Gunnar Olafsson missed Free Throw.,14,17
13:24,2597,St. Francis BKN Deadball Team Rebound.,14,17
13:24,2099,Foul on Phil Valenti.,14,17
13:24,2597,Gunnar Olafsson made Free Throw.,15,17
13:06,2597,Glenn Sanabria missed Three Point Jumper.,15,17
13:06,2099,Isaiah Reese Defensive Rebound.,15,17
13:02,2099,Isaiah Reese Turnover.,15,17
12:54,2597,Rasheem Dunn made Three Point Jumper. Assisted by Glenn Sanabria.,18,17
12:44,2099,Canisius  Timeout,18,17
12:28,2099,Malik Johnson made Jumper.,18,19
11:57,2597,Yunus Hopkinson missed Layup.,18,19
11:57,2597,Robert Montgomery Offensive Rebound.,18,19
11:54,2597,Robert Montgomery made Dunk.,20,19
11:54,2099,Official TV Timeout,20,19
11:39,2099,Isaiah Reese made Three Point Jumper. Assisted by Kassius Robertson.,20,22
11:09,2597,Robert Montgomery made Layup. Assisted by Yunus Hopkinson.,22,22
10:52,2099,Jermaine Crumpton Turnover.,22,22
10:51,2597,Yunus Hopkinson Steal.,22,22
10:49,2597,Yunus Hopkinson Turnover.,22,22
10:41,2099,Isaiah Reese missed Jumper.,22,22
10:41,2597,Keon Williams Defensive Rebound.,22,22
10:33,2597,Rasheem Dunn missed Three Point Jumper.,22,22
10:33,2597,Glenn Sanabria Offensive Rebound.,22,22
10:23,2597,Rasheem Dunn missed Three Point Jumper.,22,22
10:23,2099,Canisius Defensive Rebound.,22,22
10:21,2597,Foul on Keon Williams.,22,22
9:55,2099,Kassius Robertson made Layup.,22,24
9:44,2597,Keon Williams Turnover.,22,24
9:42,2099,Kassius Robertson Steal.,22,24
9:38,2597,Foul on Glenn Sanabria.,22,24
9:38,2099,Kassius Robertson made Free Throw.,22,25
9:38,2099,Kassius Robertson made Free Throw.,22,26
9:13,2597,Jahmel Bodrick Turnover.,22,26
9:11,2099,Kassius Robertson Steal.,22,26
8:59,2099,Kassius Robertson made Three Point Jumper. Assisted by Isaiah Reese.,22,29
8:41,2597,Glenn Sanabria missed Three Point Jumper.,22,29
8:41,2597,Gunnar Olafsson Offensive Rebound.,22,29
8:32,2597,Gunnar Olafsson made Three Point Jumper. Assisted by Glenn Sanabria.,25,29
8:30,2597,Foul on Jahmel Bodrick.,25,29
8:19,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Isaiah Reese.,25,32
8:03,2597,Jahmel Bodrick missed Three Point Jumper.,25,32
8:03,2597,Gunnar Olafsson Offensive Rebound.,25,32
7:52,2597,Rasheem Dunn made Three Point Jumper. Assisted by Gunnar Olafsson.,28,32
7:35,2597,Foul on Jahmel Bodrick.,28,32
7:35,2099,Official TV Timeout,28,32
7:24,2597,Foul on Robert Montgomery.,28,32
7:14,2099,Kassius Robertson Turnover.,28,32
7:02,2099,Foul on Kiefer Douse.,28,32
6:59,2597,Yunus Hopkinson missed Three Point Jumper.,28,32
6:59,2099,Selvedin Planincic Defensive Rebound.,28,32
6:51,2099,Isaiah Reese Turnover.,28,32
6:38,2597,Joshua Nurse Turnover.,28,32
6:38,2597,Foul on Joshua Nurse.,28,32
6:22,2099,Selvedin Planincic missed Layup.,28,32
6:22,2597,Joshua Nurse Defensive Rebound.,28,32
6:16,2597,Glenn Sanabria missed Layup.,28,32
6:16,2099,Selvedin Planincic Block.,28,32
6:16,2597,St. Francis BKN Offensive Rebound.,28,32
6:11,2597,Glenn Sanabria missed Jumper.,28,32
6:11,2099,Jermaine Crumpton Defensive Rebound.,28,32
6:07,2597,Foul on Darelle Porter.,28,32
6:07,2099,Jermaine Crumpton missed Free Throw.,28,32
6:07,2099,Spencer Foley Offensive Rebound.,28,32
5:54,2099,Malik Johnson missed Jumper.,28,32
5:54,2099,Jermaine Crumpton Offensive Rebound.,28,32
5:51,2099,Spencer Foley Turnover.,28,32
5:51,2099,Foul on Spencer Foley.,28,32
5:43,2597,Yunus Hopkinson missed Three Point Jumper.,28,32
5:43,2099,Canisius Defensive Rebound.,28,32
5:24,2099,Jermaine Crumpton made Layup. Assisted by Kiefer Douse.,28,34
4:56,2597,Gunnar Olafsson missed Layup.,28,34
4:56,2099,Malik Johnson Defensive Rebound.,28,34
4:51,2099,Kassius Robertson Turnover.,28,34
4:33,2597,Rasheem Dunn made Layup.,30,34
4:12,2099,Jermaine Crumpton made Layup. Assisted by Kiefer Douse.,30,36
3:56,2597,Rasheem Dunn made Jumper. Assisted by Gunnar Olafsson.,32,36
3:36,2099,Kiefer Douse missed Layup.,32,36
3:36,2099,Canisius Offensive Rebound.,32,36
3:33,2597,Foul on Glenn Sanabria.,32,36
3:33,2099,Official TV Timeout,32,36
3:33,2099,Spencer Foley made Free Throw.,32,37
3:33,2099,Spencer Foley made Free Throw.,32,38
3:22,2597,Darelle Porter Turnover.,32,38
3:22,2597,Foul on Darelle Porter.,32,38
3:05,2099,Jermaine Crumpton Turnover.,32,38
3:04,2597,Gianni Ford Steal.,32,38
2:49,2099,Foul on Jermaine Crumpton.,32,38
2:49,2597,Rasheem Dunn made Free Throw.,33,38
2:49,2597,Rasheem Dunn made Free Throw.,34,38
2:49,2099,Kiefer Douse Turnover.,34,38
2:47,2597,Yunus Hopkinson Steal.,34,38
2:44,2597,Gunnar Olafsson made Three Point Jumper. Assisted by Yunus Hopkinson.,37,38
2:21,2099,Jermaine Crumpton missed Three Point Jumper.,37,38
2:21,2099,Spencer Foley Offensive Rebound.,37,38
2:16,2099,Spencer Foley Turnover.,37,38
2:14,2597,Yunus Hopkinson Steal.,37,38
2:08,2597,Gianni Ford missed Layup.,37,38
2:08,2099,Jermaine Crumpton Defensive Rebound.,37,38
2:02,2099,Kassius Robertson made Layup. Assisted by Malik Johnson.,37,40
1:32,2597,Rasheem Dunn missed Jumper.,37,40
1:32,2099,Isaiah Reese Defensive Rebound.,37,40
1:24,2597,Foul on Keon Williams.,37,40
1:24,2099,Jermaine Crumpton missed Free Throw.,37,40
1:24,2099,Canisius Deadball Team Rebound.,37,40
1:24,2099,Jermaine Crumpton made Free Throw.,37,41
1:11,2597,Keon Williams missed Layup.,37,41
1:11,2099,Isaiah Reese Block.,37,41
1:09,2099,Jermaine Crumpton Defensive Rebound.,37,41
1:05,2099,Malik Johnson missed Layup.,37,41
1:05,2597,Jagos Lasic Defensive Rebound.,37,41
1:01,2099,Foul on Isaiah Reese.,37,41
1:01,2597,Yunus Hopkinson missed Free Throw.,37,41
1:01,2099,Kassius Robertson Defensive Rebound.,37,41
0:41,2099,Isaiah Reese made Jumper.,37,43
0:14,2099,Foul on Malik Johnson.,37,43
0:14,2597,Yunus Hopkinson made Free Throw.,38,43
0:14,2597,Yunus Hopkinson made Free Throw.,39,43
0:01,2099,Isaiah Reese made Three Point Jumper. Assisted by Malik Johnson.,39,46
0:00,2099,End of 1st half,39,43
19:52,2099,Phil Valenti made Layup. Assisted by Malik Johnson.,39,48
19:30,2597,Glenn Sanabria made Layup.,41,48
19:14,2099,Jermaine Crumpton missed Layup.,41,48
19:14,2597,Keon Williams Defensive Rebound.,41,48
19:01,2597,Yunus Hopkinson missed Jumper.,41,48
19:01,2099,Canisius Defensive Rebound.,41,48
19:00,2597,Foul on Robert Montgomery.,41,48
18:48,2099,Kassius Robertson Turnover.,41,48
18:24,2597,Yunus Hopkinson made Three Point Jumper.,44,48
18:12,2099,Kiefer Douse Turnover.,44,48
18:01,2597,Jahmel Bodrick Turnover.,44,48
18:01,2597,Foul on Jahmel Bodrick.,44,48
17:40,2099,Kiefer Douse missed Three Point Jumper.,44,48
17:40,2597,Joshua Nurse Defensive Rebound.,44,48
17:29,2597,Keon Williams made Three Point Jumper. Assisted by Yunus Hopkinson.,47,48
17:13,2597,Foul on Yunus Hopkinson.,47,48
17:08,2099,Jermaine Crumpton Turnover.,47,48
17:08,2099,Foul on Jermaine Crumpton.,47,48
16:46,2597,Keon Williams made Three Point Jumper. Assisted by Yunus Hopkinson.,50,48
16:30,2099,Jermaine Crumpton missed Jumper.,50,48
16:30,2597,Gunnar Olafsson Defensive Rebound.,50,48
16:06,2597,Yunus Hopkinson missed Three Point Jumper.,50,48
16:06,2099,Jermaine Crumpton Defensive Rebound.,50,48
15:54,2099,Kassius Robertson Turnover.,50,48
15:48,2597,Keon Williams made Three Point Jumper. Assisted by Yunus Hopkinson.,53,48
15:34,2099,Malik Johnson Turnover.,53,48
15:34,2099,Official TV Timeout,53,48
15:29,2099,Foul on Kiefer Douse.,53,48
15:18,2597,Keon Williams missed Three Point Jumper.,53,48
15:18,2099,Kiefer Douse Defensive Rebound.,53,48
15:08,2597,Foul on Keon Williams.,53,48
15:08,2099,Kiefer Douse made Free Throw.,53,49
15:08,2099,Kiefer Douse made Free Throw.,53,50
14:41,2099,Foul on Kiefer Douse.,53,50
14:29,2597,Glenn Sanabria Turnover.,53,50
14:29,2099,Kiefer Douse Steal.,53,50
14:29,2597,Foul on Glenn Sanabria.,53,50
14:16,2597,Foul on Glenn Sanabria.,53,50
14:16,2099,Kassius Robertson missed Free Throw.,53,50
14:16,2099,Canisius Deadball Team Rebound.,53,50
14:16,2099,Kassius Robertson made Free Throw.,53,51
13:50,2597,Yunus Hopkinson missed Three Point Jumper.,53,51
13:50,2099,Isaiah Reese Defensive Rebound.,53,51
13:43,2597,Foul on Yunus Hopkinson.,53,51
13:43,2099,Kiefer Douse made Free Throw.,53,52
13:43,2099,Kiefer Douse made Free Throw.,53,53
13:34,2597,Yunus Hopkinson missed Three Point Jumper.,53,53
13:34,2597,Joshua Nurse Offensive Rebound.,53,53
13:30,2597,Joshua Nurse missed Dunk.,53,53
13:30,2597,Gunnar Olafsson Offensive Rebound.,53,53
13:17,2597,Joshua Nurse Turnover.,53,53
13:16,2099,Chris Atkinson Steal.,53,53
13:13,2099,Chris Atkinson missed Layup.,53,53
13:13,2597,Joshua Nurse Block.,53,53
13:11,2597,Yunus Hopkinson Defensive Rebound.,53,53
13:06,2597,Gunnar Olafsson made Three Point Jumper. Assisted by Yunus Hopkinson.,56,53
12:52,2597,Foul on Joshua Nurse.,56,53
12:52,2099,Kassius Robertson missed Free Throw.,56,53
12:52,2099,Canisius Deadball Team Rebound.,56,53
12:52,2099,Kassius Robertson made Free Throw.,56,54
12:34,2597,Gunnar Olafsson missed Three Point Jumper.,56,54
12:34,2597,St. Francis BKN Offensive Rebound.,56,54
12:28,2597,Rasheem Dunn Turnover.,56,54
12:28,2597,Foul on Rasheem Dunn.,56,54
12:17,2099,Kassius Robertson made Three Point Jumper. Assisted by Isaiah Reese.,56,57
11:59,2597,Robert Montgomery Turnover.,56,57
11:59,2099,Official TV Timeout,56,57
11:49,2099,Kassius Robertson made Layup. Assisted by Chris Atkinson.,56,59
11:38,2099,Foul on Chris Atkinson.,56,59
11:13,2597,Robert Montgomery missed Layup.,56,59
11:13,2597,Robert Montgomery Offensive Rebound.,56,59
11:06,2597,Yunus Hopkinson made Jumper. Assisted by Robert Montgomery.,58,59
10:57,2099,Kassius Robertson missed Three Point Jumper.,58,59
10:57,2099,Jermaine Crumpton Offensive Rebound.,58,59
10:51,2099,Isaiah Reese missed Three Point Jumper.,58,59
10:51,2099,Canisius Offensive Rebound.,58,59
10:50,2597,Foul on Rasheem Dunn.,58,59
10:50,2099,Kassius Robertson made Free Throw.,58,60
10:50,2099,Kassius Robertson missed Free Throw.,58,60
10:50,2597,Gunnar Olafsson Defensive Rebound.,58,60
10:30,2597,Rasheem Dunn missed Three Point Jumper.,58,60
10:30,2099,Jermaine Crumpton Defensive Rebound.,58,60
10:21,2099,Isaiah Reese missed Jumper.,58,60
10:21,2597,Darelle Porter Defensive Rebound.,58,60
9:55,2597,Rasheem Dunn made Jumper.,60,60
9:55,2099,Foul on Chris Atkinson.,60,60
9:55,2597,Rasheem Dunn made Free Throw.,61,60
9:31,2099,Canisius  Turnover.,61,60
9:16,2597,Darelle Porter missed Three Point Jumper.,61,60
9:16,2099,Chris Atkinson Defensive Rebound.,61,60
8:41,2099,Isaiah Reese missed Layup.,61,60
8:41,2597,Robert Montgomery Block.,61,60
8:39,2099,Phil Valenti Offensive Rebound.,61,60
8:37,2099,Phil Valenti made Layup.,61,62
8:26,2597,Robert Montgomery Turnover.,61,62
8:26,2597,Foul on Robert Montgomery.,61,62
8:12,2597,Foul on Gunnar Olafsson.,61,62
8:12,2099,Spencer Foley made Free Throw.,61,63
8:12,2099,Spencer Foley made Free Throw.,61,64
7:55,2099,Foul on Kiefer Douse.,61,64
7:55,2099,Official TV Timeout,61,64
7:55,2597,Rasheem Dunn made Free Throw.,62,64
7:55,2597,Rasheem Dunn missed Free Throw.,62,64
7:55,2099,Phil Valenti Defensive Rebound.,62,64
7:42,2099,Phil Valenti missed Three Point Jumper.,62,64
7:42,2597,St. Francis BKN Defensive Rebound.,62,64
7:39,2099,Foul on Spencer Foley.,62,64
7:39,2597,Gunnar Olafsson made Free Throw.,63,64
7:39,2597,Gunnar Olafsson missed Free Throw.,63,64
7:39,2099,Spencer Foley Defensive Rebound.,63,64
7:18,2597,Foul on Joshua Nurse.,63,64
7:18,2099,Kassius Robertson made Free Throw.,63,65
7:18,2099,Kassius Robertson made Free Throw.,63,66
6:58,2597,Yunus Hopkinson missed Layup.,63,66
6:58,2099,Malik Johnson Defensive Rebound.,63,66
6:54,2099,Isaiah Reese made Layup. Assisted by Malik Johnson.,63,68
6:29,2099,Foul on Phil Valenti.,63,68
6:29,2597,Yunus Hopkinson missed Free Throw.,63,68
6:29,2099,Phil Valenti Defensive Rebound.,63,68
6:16,2597,Foul on Joshua Nurse.,63,68
6:16,2099,Kassius Robertson made Free Throw.,63,69
6:16,2099,Kassius Robertson made Free Throw.,63,70
5:46,2597,Gunnar Olafsson missed Three Point Jumper.,63,70
5:46,2099,Isaiah Reese Defensive Rebound.,63,70
5:27,2099,Phil Valenti made Layup. Assisted by Spencer Foley.,63,72
5:24,2597,St. Francis BKN  Timeout,63,72
5:24,2099,Official TV Timeout,63,72
5:11,2597,Yunus Hopkinson missed Three Point Jumper.,63,72
5:11,2597,Darelle Porter Offensive Rebound.,63,72
5:08,2597,Darelle Porter made Layup.,65,72
4:54,2099,Isaiah Reese made Layup.,65,74
4:41,2597,Glenn Sanabria made Three Point Jumper.,68,74
4:25,2099,Phil Valenti made Jumper. Assisted by Spencer Foley.,68,76
4:05,2597,Rasheem Dunn missed Layup.,68,76
4:05,2597,Rasheem Dunn Offensive Rebound.,68,76
4:02,2597,Rasheem Dunn Turnover.,68,76
4:00,2099,Phil Valenti Steal.,68,76
3:58,2597,Technical Foul on St. Francis BKN.,68,76
3:58,2597,Foul on St. Francis BKN.,68,76
3:58,2099,Official TV Timeout,68,76
3:58,2099,Spencer Foley made Free Throw.,68,77
3:58,2099,Spencer Foley made Free Throw.,68,78
3:46,2099,Isaiah Reese missed Three Point Jumper.,68,78
3:46,2597,St. Francis BKN Defensive Rebound.,68,78
3:43,2099,Foul on Kassius Robertson.,68,78
3:43,2597,Glenn Sanabria made Free Throw.,69,78
3:43,2597,Glenn Sanabria made Free Throw.,70,78
3:30,2099,Kassius Robertson made Three Point Jumper. Assisted by Malik Johnson.,70,81
3:17,2597,Gunnar Olafsson missed Three Point Jumper.,70,81
3:17,2099,Isaiah Reese Defensive Rebound.,70,81
3:05,2099,Phil Valenti missed Layup.,70,81
3:05,2099,Phil Valenti Offensive Rebound.,70,81
3:02,2099,Phil Valenti Turnover.,70,81
2:39,2597,Glenn Sanabria made Layup.,72,81
2:17,2099,Phil Valenti missed Layup.,72,81
2:17,2597,Darelle Porter Block.,72,81
2:15,2597,Rasheem Dunn Defensive Rebound.,72,81
2:12,2099,Foul on Isaiah Reese.,72,81
2:12,2597,Rasheem Dunn missed Free Throw.,72,81
2:12,2597,St. Francis BKN Deadball Team Rebound.,72,81
2:12,2597,Rasheem Dunn made Free Throw.,73,81
2:12,2597,St. Francis BKN  Timeout,73,81
1:46,2099,Kassius Robertson missed Jumper.,73,81
1:46,2597,Rasheem Dunn Defensive Rebound.,73,81
1:43,2099,Foul on Kiefer Douse.,73,81
1:43,2597,Rasheem Dunn missed Free Throw.,73,81
1:43,2597,St. Francis BKN Deadball Team Rebound.,73,81
1:43,2597,Rasheem Dunn missed Free Throw.,73,81
1:43,2099,Isaiah Reese Defensive Rebound.,73,81
1:34,2099,Isaiah Reese Turnover.,73,81
1:34,2099,Foul on Isaiah Reese.,73,81
1:24,2099,Foul on Spencer Foley.,73,81
1:24,2597,Yunus Hopkinson made Free Throw.,74,81
1:24,2597,Yunus Hopkinson made Free Throw.,75,81
1:02,2597,Foul on Gunnar Olafsson.,75,81
1:02,2099,Jermaine Crumpton made Free Throw.,75,82
1:02,2099,Jermaine Crumpton missed Free Throw.,75,82
1:02,2099,Spencer Foley Offensive Rebound.,75,82
0:55,2597,Foul on Robert Montgomery.,75,82
0:55,2099,Malik Johnson made Free Throw.,75,83
0:55,2099,Malik Johnson missed Free Throw.,75,83
0:55,2099,Spencer Foley Offensive Rebound.,75,83
0:53,2597,Foul on Gunnar Olafsson.,75,83
0:53,2099,Spencer Foley missed Free Throw.,75,83
0:53,2099,Canisius Deadball Team Rebound.,75,83
0:53,2099,Spencer Foley made Free Throw.,75,84
0:44,2597,Glenn Sanabria made Layup.,77,84
0:40,2597,Foul on Yunus Hopkinson.,77,84
0:40,2099,Jermaine Crumpton missed Free Throw.,77,84
0:40,2099,Canisius Deadball Team Rebound.,77,84
0:40,2099,Jermaine Crumpton made Free Throw.,77,85
0:32,2597,Glenn Sanabria missed Jumper.,77,85
0:32,2099,Malik Johnson Defensive Rebound.,77,85
0:26,2597,Foul on Yunus Hopkinson.,77,85
0:26,2099,Spencer Foley made Free Throw.,77,86
0:26,2099,Spencer Foley made Free Throw.,77,87
0:21,2597,Yunus Hopkinson Turnover.,77,87
0:21,2099,Malik Johnson Steal.,77,87
0:12,2597,Foul on Yunus Hopkinson.,77,87
0:12,2099,Malik Johnson made Free Throw.,77,88
0:12,2099,Malik Johnson made Free Throw.,77,89
0:07,2597,Gianni Ford missed Three Point Jumper.,77,89
0:07,2597,Rasheem Dunn Offensive Rebound.,77,89
0:04,2597,Rasheem Dunn made Layup.,79,89
0:04,2597,St. Francis BKN  Timeout,79,89
0:04,2597,Foul on Rasheem Dunn.,79,89
0:04,2099,Isaiah Reese made Free Throw.,79,90
0:04,2099,Isaiah Reese made Free Throw.,79,91
0:01,2597,Rasheem Dunn made Layup.,81,91
0:00,2099,End of Game,81,91
