George Mason,219,Pennsylvania,2244
14:16,2244,George Mason Offensive Rebound.,15,10
14:09,2244,Jalen Jenkins missed Jumper.,15,10
14:09,219,Matt Howard Defensive Rebound.,15,10
13:48,219,Matt Howard missed Three Point Jumper.,15,10
13:48,219,Max Rothschild Offensive Rebound.,15,10
13:38,219,Jake Silpe made Layup. Assisted by Jackson Donahue.,15,12
13:21,2244,Marquise Moore made Layup.,17,12
13:09,2244,Foul on Jaire Grayer.,17,12
12:57,2244,Foul on Daniel Relvao.,17,12
12:57,219,Matt Howard made Free Throw.,17,13
12:57,219,Matt Howard made Free Throw.,17,14
12:43,2244,Jalen Jenkins made Layup. Assisted by Marquise Moore.,19,14
12:21,219,Matt Howard made Layup.,19,16
11:56,2244,Otis Livingston II made Three Point Jumper. Assisted by Marquise Moore.,22,16
11:35,219,Jackson Donahue made Three Point Jumper. Assisted by Matt Howard.,22,19
11:14,2244,Marquise Moore made Jumper.,24,19
10:55,219,Jackson Donahue made Three Point Jumper. Assisted by AJ Brodeur.,24,22
10:30,2244,Otis Livingston II Turnover.,24,22
10:30,219,Official TV Timeout,24,22
10:05,219,Matt Howard missed Jumper.,24,22
10:05,2244,Marquise Moore Block.,24,22
10:03,2244,Justin Kier Defensive Rebound.,24,22
9:46,2244,Jaire Grayer missed Jumper.,24,22
9:46,2244,Jaire Grayer Offensive Rebound.,24,22
9:43,2244,Jaire Grayer missed Layup.,24,22
9:43,2244,Jaire Grayer Offensive Rebound.,24,22
9:29,2244,Jaire Grayer missed Jumper.,24,22
9:29,219,Matt Howard Defensive Rebound.,24,22
9:09,2244,Foul on Jaire Grayer.,24,22
9:09,2244,Foul on Ian Boyd.,24,22
9:01,219,Sam Jones missed Three Point Jumper.,24,22
9:01,2244,Justin Kier Defensive Rebound.,24,22
8:47,2244,Marquise Moore missed Layup.,24,22
8:47,219,Matt Howard Defensive Rebound.,24,22
8:29,219,Sam Jones missed Three Point Jumper.,24,22
8:29,2244,Justin Kier Defensive Rebound.,24,22
8:09,2244,Ian Boyd made Jumper.,26,22
7:46,219,Caleb Wood Turnover.,26,22
7:44,2244,Ian Boyd Steal.,26,22
7:33,2244,Otis Livingston II missed Jumper.,26,22
7:33,219,Darnell Foreman Defensive Rebound.,26,22
7:14,219,Caleb Wood missed Layup.,26,22
7:14,2244,Marquise Moore Defensive Rebound.,26,22
6:59,2244,Jalen Jenkins missed Jumper.,26,22
6:59,219,Darnell Foreman Defensive Rebound.,26,22
6:48,219,Matt Howard made Layup.,26,24
6:48,2244,Foul on Marquise Moore.,26,24
6:48,219,Official TV Timeout,26,24
6:48,219,Matt Howard made Free Throw.,26,25
6:34,2244,Justin Kier missed Jumper.,26,25
6:34,219,Max Rothschild Defensive Rebound.,26,25
6:24,219,Darnell Foreman Turnover.,26,25
6:23,2244,Jalen Jenkins Steal.,26,25
6:20,2244,Justin Kier missed Layup.,26,25
6:20,2244,Marquise Moore Offensive Rebound.,26,25
6:16,2244,Marquise Moore missed Jumper.,26,25
6:16,219,Tyler Hamilton Block.,26,25
6:15,219,Max Rothschild Defensive Rebound.,26,25
5:53,219,Matt MacDonald made Jumper.,26,27
5:25,2244,Jalen Jenkins made Layup.,28,27
5:15,219,Caleb Wood missed Three Point Jumper.,28,27
5:15,2244,Otis Livingston II Defensive Rebound.,28,27
4:57,2244,Otis Livingston II missed Three Point Jumper.,28,27
4:57,219,Tyler Hamilton Defensive Rebound.,28,27
4:46,2244,Foul on Jaire Grayer.,28,27
4:46,219,Tyler Hamilton made Free Throw.,28,28
4:46,219,Tyler Hamilton missed Free Throw.,28,28
4:46,219,Max Rothschild Offensive Rebound.,28,28
4:46,219,Max Rothschild Turnover.,28,28
4:26,2244,Karmari Newman made Three Point Jumper. Assisted by Jalen Jenkins.,31,28
4:06,219,Max Rothschild missed Jumper.,31,28
4:06,2244,George Mason Defensive Rebound.,31,28
3:40,2244,Marquise Moore missed Three Point Jumper.,31,28
3:40,2244,Jalen Jenkins Offensive Rebound.,31,28
3:35,2244,Jalen Jenkins made Layup.,33,28
3:16,219,Jackson Donahue made Three Point Jumper. Assisted by Matt MacDonald.,33,31
2:52,2244,Karmari Newman missed Three Point Jumper.,33,31
2:52,219,Max Rothschild Defensive Rebound.,33,31
2:25,219,Matt MacDonald made Jumper.,33,33
1:50,2244,Otis Livingston II made Jumper.,35,33
1:47,2244,George Mason  Timeout,35,33
1:47,219,Official TV Timeout,35,33
1:32,219,AJ Brodeur missed Layup.,35,33
1:32,2244,Jalen Jenkins Block.,35,33
1:30,2244,Karmari Newman Defensive Rebound.,35,33
1:22,2244,Otis Livingston II Turnover.,35,33
1:21,219,AJ Brodeur Steal.,35,33
1:18,219,Darnell Foreman missed Layup.,35,33
1:18,2244,Justin Kier Defensive Rebound.,35,33
1:02,2244,Karmari Newman Turnover.,35,33
1:01,219,Jackson Donahue Steal.,35,33
0:56,219,Darnell Foreman made Three Point Jumper. Assisted by Matt MacDonald.,35,36
0:29,2244,Karmari Newman made Three Point Jumper. Assisted by Marquise Moore.,38,36
0:18,219,Pennsylvania  Timeout,38,36
0:06,219,Jackson Donahue missed Three Point Jumper.,38,36
0:06,2244,Justin Kier Defensive Rebound.,38,36
0:00,219,End of 1st half,38,36
19:41,219,AJ Brodeur made Layup.,38,38
19:24,2244,Marquise Moore Turnover.,38,38
19:24,219,Matt Howard Steal.,38,38
18:58,219,Caleb Wood missed Three Point Jumper.,38,38
18:58,219,AJ Brodeur Offensive Rebound.,38,38
18:52,219,AJ Brodeur made Jumper.,38,40
18:31,219,Foul on Caleb Wood.,38,40
18:21,2244,Foul on Marquise Moore.,38,40
18:21,2244,Marquise Moore Turnover.,38,40
18:03,219,AJ Brodeur made Layup.,38,42
17:36,2244,Marquise Moore made Jumper. Assisted by Otis Livingston II.,40,42
17:15,219,AJ Brodeur made Jumper. Assisted by Matt MacDonald.,40,44
16:54,2244,Otis Livingston II missed Jumper.,40,44
16:54,219,AJ Brodeur Block.,40,44
16:54,2244,George Mason Offensive Rebound.,40,44
16:44,2244,Marquise Moore Turnover.,40,44
16:43,219,Matt Howard Steal.,40,44
16:39,219,Matt Howard Turnover.,40,44
16:38,2244,Otis Livingston II Steal.,40,44
16:34,2244,Justin Kier missed Layup.,40,44
16:34,219,AJ Brodeur Block.,40,44
16:32,219,Matt Howard Defensive Rebound.,40,44
16:13,219,Matt Howard missed Three Point Jumper.,40,44
16:13,2244,Ian Boyd Defensive Rebound.,40,44
15:51,2244,Justin Kier made Three Point Jumper. Assisted by Jalen Jenkins.,43,44
15:25,219,Darnell Foreman missed Jumper.,43,44
15:25,2244,Marquise Moore Defensive Rebound.,43,44
15:18,2244,Marquise Moore made Jumper.,45,44
14:48,219,Matt MacDonald missed Three Point Jumper.,45,44
14:48,2244,Jalen Jenkins Defensive Rebound.,45,44
14:29,2244,Ian Boyd missed Three Point Jumper.,45,44
14:29,2244,Justin Kier Offensive Rebound.,45,44
14:23,219,Foul on Darnell Foreman.,45,44
14:23,219,Official TV Timeout,45,44
14:02,2244,Marquise Moore Turnover.,45,44
13:38,2244,Foul on Jaire Grayer.,45,44
13:38,219,Jackson Donahue made Free Throw.,45,45
13:38,219,Jackson Donahue missed Free Throw.,45,45
13:38,219,Pennsylvania Deadball Team Rebound.,45,45
13:38,219,Jackson Donahue made Free Throw.,45,46
13:12,219,Foul on Matt Howard.,45,46
13:12,2244,Justin Kier made Free Throw.,46,46
13:12,2244,Justin Kier made Free Throw.,47,46
12:43,219,Matt MacDonald made Layup.,47,48
12:26,2244,Karmari Newman made Three Point Jumper. Assisted by Marquise Moore.,50,48
12:14,219,Matt MacDonald Turnover.,50,48
12:02,2244,Otis Livingston II made Three Point Jumper. Assisted by Jalen Jenkins.,53,48
11:38,219,Jake Silpe missed Three Point Jumper.,53,48
11:38,2244,Jalen Jenkins Defensive Rebound.,53,48
11:29,219,Foul on Matt Howard.,53,48
11:29,219,Official TV Timeout,53,48
11:25,2244,Otis Livingston II missed Three Point Jumper.,53,48
11:25,219,AJ Brodeur Block.,53,48
11:25,2244,George Mason Offensive Rebound.,53,48
11:19,2244,Karmari Newman missed Three Point Jumper.,53,48
11:19,219,Darnell Foreman Defensive Rebound.,53,48
10:56,219,Jackson Donahue missed Three Point Jumper.,53,48
10:56,2244,Jalen Jenkins Defensive Rebound.,53,48
10:39,2244,Marquise Moore made Layup.,55,48
10:23,219,Matt Howard made Three Point Jumper. Assisted by Darnell Foreman.,55,51
10:02,2244,Karmari Newman missed Three Point Jumper.,55,51
10:02,219,Darnell Foreman Defensive Rebound.,55,51
9:50,219,Darnell Foreman made Layup.,55,53
9:34,2244,Karmari Newman missed Jumper.,55,53
9:34,2244,Marquise Moore Offensive Rebound.,55,53
9:30,2244,Marquise Moore made Jumper. Assisted by Justin Kier.,57,53
9:06,219,Foul on Matt Howard.,57,53
9:06,219,Matt Howard Turnover.,57,53
8:49,2244,Karmari Newman Turnover.,57,53
8:48,219,Matt MacDonald Steal.,57,53
8:42,219,Darnell Foreman made Jumper.,57,55
8:15,2244,Justin Kier missed Jumper.,57,55
8:15,219,Max Rothschild Defensive Rebound.,57,55
7:44,219,Tyler Hamilton missed Three Point Jumper.,57,55
7:44,2244,Marquise Moore Block.,57,55
7:43,219,Pennsylvania Offensive Rebound.,57,55
7:43,219,Pennsylvania  Turnover.,57,55
7:43,219,Official TV Timeout,57,55
7:29,2244,Jalen Jenkins made Jumper. Assisted by Ian Boyd.,59,55
7:10,2244,Foul on Ian Boyd.,59,55
7:00,219,Darnell Foreman missed Layup.,59,55
7:00,2244,Jalen Jenkins Block.,59,55
6:58,219,AJ Brodeur Offensive Rebound.,59,55
6:57,219,Darnell Foreman missed Layup.,59,55
6:57,2244,Jalen Jenkins Defensive Rebound.,59,55
6:38,2244,Jaire Grayer missed Three Point Jumper.,59,55
6:38,219,Jackson Donahue Defensive Rebound.,59,55
6:21,219,AJ Brodeur missed Layup.,59,55
6:21,2244,Marquise Moore Defensive Rebound.,59,55
6:15,2244,Ian Boyd made Jumper. Assisted by Marquise Moore.,61,55
6:05,219,Pennsylvania  Timeout,61,55
6:05,219,Official TV Timeout,61,55
5:54,219,Jackson Donahue missed Three Point Jumper.,61,55
5:54,2244,Marquise Moore Defensive Rebound.,61,55
5:32,2244,Jalen Jenkins made Jumper.,63,55
5:13,219,Darnell Foreman missed Jumper.,63,55
5:13,2244,Marquise Moore Defensive Rebound.,63,55
4:54,2244,Jalen Jenkins made Layup. Assisted by Marquise Moore.,65,55
4:29,219,Jackson Donahue missed Three Point Jumper.,65,55
4:29,2244,Jalen Jenkins Defensive Rebound.,65,55
4:26,219,Foul on Matt MacDonald.,65,55
4:12,219,Foul on Tyler Hamilton.,65,55
4:12,2244,Ian Boyd made Free Throw.,66,55
4:12,2244,Ian Boyd made Free Throw.,67,55
3:50,219,AJ Brodeur missed Jumper.,67,55
3:50,2244,Marquise Moore Defensive Rebound.,67,55
3:39,2244,Foul on Jalen Jenkins.,67,55
3:39,2244,Jalen Jenkins Turnover.,67,55
3:39,219,Official TV Timeout,67,55
3:31,219,AJ Brodeur missed Jumper.,67,55
3:31,2244,Marquise Moore Defensive Rebound.,67,55
3:18,2244,Jaire Grayer made Three Point Jumper. Assisted by Marquise Moore.,70,55
3:07,2244,Foul on Ian Boyd.,70,55
3:07,219,Matt Howard made Free Throw.,70,56
3:07,219,Matt Howard missed Free Throw.,70,56
3:07,2244,Marquise Moore Defensive Rebound.,70,56
2:53,2244,Otis Livingston II missed Layup.,70,56
2:53,219,AJ Brodeur Block.,70,56
2:51,219,AJ Brodeur Defensive Rebound.,70,56
2:41,219,AJ Brodeur missed Jumper.,70,56
2:41,219,Matt Howard Offensive Rebound.,70,56
2:38,219,Matt Howard made Layup.,70,58
2:05,2244,Otis Livingston II made Jumper.,72,58
1:49,219,Darnell Foreman missed Three Point Jumper.,72,58
1:49,2244,Marquise Moore Defensive Rebound.,72,58
1:41,219,Foul on Matt MacDonald.,72,58
1:41,2244,Marquise Moore made Free Throw.,73,58
1:41,2244,Marquise Moore missed Free Throw.,73,58
1:41,219,Matt Howard Defensive Rebound.,73,58
1:31,219,Matt MacDonald missed Three Point Jumper.,73,58
1:31,2244,Marquise Moore Defensive Rebound.,73,58
1:17,219,Foul on Darnell Foreman.,73,58
1:17,2244,Marquise Moore made Free Throw.,74,58
1:17,2244,Marquise Moore made Free Throw.,75,58
1:10,219,Caleb Wood made Layup.,75,60
0:51,219,Foul on Caleb Wood.,75,60
0:51,2244,Jalen Jenkins made Free Throw.,76,60
0:51,2244,Jalen Jenkins made Free Throw.,77,60
0:45,219,Darnell Foreman Turnover.,77,60
0:28,2244,Daniel Relvao made Layup. Assisted by Justin Kier.,79,60
0:28,219,Foul on AJ Brodeur.,79,60
0:28,2244,Daniel Relvao missed Free Throw.,79,60
0:28,219,Sam Jones Defensive Rebound.,79,60
0:18,219,Caleb Wood missed Three Point Jumper.,79,60
0:18,2244,Daniel Relvao Defensive Rebound.,79,60
0:00,219,End of Game,79,60
