Eastern Kentucky,2050,Ball State,2198
12:26,2198,DeAndre Dishman Defensive Rebound.,12,12
12:08,2050,Foul on Francis Kiapway.,12,12
12:07,2198,Dillon Avare missed Three Point Jumper.,12,12
12:07,2198,Parker Chitty Offensive Rebound.,12,12
11:55,2198,Isaac McGlone Turnover.,12,12
11:51,2050,Tayler Persons Steal.,12,12
11:34,2198,Foul on Dillon Avare.,12,12
11:34,2050,Official TV Timeout,12,12
11:34,2050,Sean Sellers made Free Throw.,12,13
11:34,2050,Sean Sellers made Free Throw.,12,14
11:19,2198,Nick Mayo missed Jumper.,12,14
11:19,2050,Tayler Persons Defensive Rebound.,12,14
11:11,2050,Francis Kiapway missed Three Point Jumper.,12,14
11:11,2198,Parker Chitty Defensive Rebound.,12,14
11:11,2198,Nick Mayo missed Three Point Jumper.,12,14
11:11,2198,DeAndre Dishman Offensive Rebound.,12,14
11:11,2198,DeAndre Dishman made Layup.,14,14
10:15,2050,Tayler Persons made Jumper.,14,16
9:45,2198,Asante Gist made Three Point Jumper.,17,16
9:33,2050,Tayler Persons made Jumper.,17,18
9:33,2198,Foul on Asante Gist.,17,18
9:33,2050,Tayler Persons made Free Throw.,17,19
9:14,2198,Parker Chitty missed Layup.,17,19
9:14,2050,Franko House Defensive Rebound.,17,19
9:01,2050,Tayler Persons made Three Point Jumper. Assisted by Ryan Weber.,17,22
8:40,2198,DeAndre Dishman made Layup. Assisted by Asante Gist.,19,22
8:40,2050,Foul on Francis Kiapway.,19,22
8:40,2198,DeAndre Dishman made Free Throw.,20,22
8:18,2050,Francis Kiapway made Three Point Jumper. Assisted by Ryan Weber.,20,25
7:59,2198,Asante Gist made Layup.,22,25
7:52,2050,Ryan Weber missed Three Point Jumper.,22,25
7:52,2198,Marlon Adams Defensive Rebound.,22,25
7:41,2198,DeAndre Dishman made Layup. Assisted by Isaac McGlone.,24,25
7:34,2050,Trey Moses made Layup. Assisted by Tayler Persons.,24,27
7:16,2198,Asante Gist made Three Point Jumper.,27,27
6:51,2050,Trey Moses missed Jumper.,27,27
6:51,2198,DeAndre Dishman Defensive Rebound.,27,27
6:42,2050,Foul on Tayler Persons.,27,27
6:42,2050,Official TV Timeout,27,27
6:30,2050,Foul on Sean Sellers.,27,27
6:30,2198,Zach Charles made Free Throw.,28,27
6:30,2198,Zach Charles made Free Throw.,29,27
6:06,2050,Trey Moses made Jumper. Assisted by Tayler Persons.,29,29
5:43,2198,Marlon Adams made Layup. Assisted by Nick Mayo.,31,29
5:30,2198,Foul on Asante Gist.,31,29
5:23,2050,Kyle Mallers missed Three Point Jumper.,31,29
5:23,2198,Zach Charles Defensive Rebound.,31,29
5:13,2198,Marlon Adams made Layup. Assisted by Isaac McGlone.,33,29
5:00,2050,Kyle Mallers missed Three Point Jumper.,33,29
5:00,2198,Marlon Adams Defensive Rebound.,33,29
4:52,2050,Foul on Trey Moses.,33,29
4:52,2050,Trey Moses Turnover.,33,29
4:52,2198,Nick Mayo made Free Throw.,34,29
4:52,2198,Nick Mayo made Free Throw.,35,29
4:52,2050,Ball State  Timeout,35,29
4:47,2198,Isaac McGlone Turnover.,35,29
4:26,2050,Francis Kiapway missed Three Point Jumper.,35,29
4:26,2050,Doudou Gueye Offensive Rebound.,35,29
4:16,2050,Ryan Weber Turnover.,35,29
4:14,2198,Marlon Adams Steal.,35,29
4:06,2198,Zach Charles missed Dunk.,35,29
4:06,2050,Franko House Defensive Rebound.,35,29
4:00,2050,Sean Sellers missed Three Point Jumper.,35,29
4:00,2050,Franko House Offensive Rebound.,35,29
3:56,2198,Foul on Marlon Adams.,35,29
3:56,2050,Official TV Timeout,35,29
3:56,2050,Franko House made Free Throw.,35,30
3:56,2050,Franko House made Free Throw.,35,31
3:43,2050,Foul on Franko House.,35,31
3:42,2198,Isaac McGlone missed Three Point Jumper.,35,31
3:42,2198,Zach Charles Offensive Rebound.,35,31
3:37,2198,Isaac McGlone missed Three Point Jumper.,35,31
3:37,2050,Franko House Defensive Rebound.,35,31
3:28,2050,Sean Sellers made Jumper. Assisted by Franko House.,35,33
3:09,2198,Zach Charles made Layup.,37,33
3:09,2050,Foul on Doudou Gueye.,37,33
3:09,2198,Zach Charles made Free Throw.,38,33
3:00,2198,Foul on Isaac McGlone.,38,33
3:00,2050,Tayler Persons made Free Throw.,38,34
3:00,2050,Tayler Persons missed Free Throw.,38,34
3:00,2198,Parker Chitty Defensive Rebound.,38,34
2:53,2198,Dillon Avare made Three Point Jumper. Assisted by Isaac McGlone.,41,34
2:36,2198,Foul on Nick Mayo.,41,34
2:36,2050,Trey Moses made Free Throw.,41,35
2:36,2050,Trey Moses made Free Throw.,41,36
2:17,2198,Isaac McGlone made Layup.,43,36
2:06,2198,Asante Gist missed Three Point Jumper.,43,36
2:06,2050,Tayler Persons Defensive Rebound.,43,36
2:04,2050,Foul on Trey Moses.,43,36
2:04,2198,DeAndre Dishman missed Free Throw.,43,36
2:04,2050,Trey Moses Defensive Rebound.,43,36
1:50,2050,Franko House made Jumper.,43,38
1:32,2198,Asante Gist missed Jumper.,43,38
1:32,2050,Trey Moses Defensive Rebound.,43,38
1:20,2050,Franko House missed Layup.,43,38
1:20,2198,Zach Charles Defensive Rebound.,43,38
1:01,2198,Isaac McGlone missed Three Point Jumper.,43,38
1:01,2050,Trey Moses Defensive Rebound.,43,38
0:51,2050,Tayler Persons missed Jumper.,43,38
0:51,2198,Isaac McGlone Block.,43,38
0:48,2198,Asante Gist Defensive Rebound.,43,38
0:40,2198,Dillon Avare missed Layup.,43,38
0:40,2050,Trey Moses Defensive Rebound.,43,38
0:11,2050,Tayler Persons missed Three Point Jumper.,43,38
0:11,2050,Franko House Offensive Rebound.,43,38
0:06,2050,Franko House made Layup.,43,40
0:00,2198,Asante Gist Turnover.,43,40
0:00,2050,Tayler Persons Steal.,43,40
0:00,2050,End of 1st half,43,40
19:38,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,43,43
19:19,2198,Nick Mayo Turnover.,43,43
19:15,2050,Sean Sellers made Layup. Assisted by Tayler Persons.,43,45
19:15,2050,Tayler Persons Steal.,43,45
18:44,2198,Asante Gist Turnover.,43,45
18:29,2198,Foul on Marlon Adams.,43,45
18:27,2050,Sean Sellers missed Three Point Jumper.,43,45
18:27,2050,Franko House Offensive Rebound.,43,45
18:25,2198,Foul on Marlon Adams.,43,45
18:19,2050,Trey Moses missed Layup.,43,45
18:19,2198,DeAndre Dishman Block.,43,45
18:17,2198,Isaac McGlone Defensive Rebound.,43,45
18:12,2198,Asante Gist Turnover.,43,45
18:11,2050,Sean Sellers Steal.,43,45
18:06,2050,Ryan Weber missed Three Point Jumper.,43,45
18:06,2198,Nick Mayo Defensive Rebound.,43,45
17:40,2050,Foul on Franko House.,43,45
17:28,2198,Asante Gist made Three Point Jumper. Assisted by Isaac McGlone.,46,45
17:11,2198,Foul on Asante Gist.,46,45
17:11,2050,Trey Moses made Free Throw.,46,46
17:11,2050,Trey Moses made Free Throw.,46,47
16:58,2198,Isaac McGlone missed Layup.,46,47
16:58,2050,Sean Sellers Block.,46,47
16:56,2050,Franko House Defensive Rebound.,46,47
16:56,2198,Foul on Zach Charles.,46,47
16:45,2050,Ryan Weber Turnover.,46,47
16:43,2198,Isaac McGlone Steal.,46,47
16:41,2198,Isaac McGlone missed Layup.,46,47
16:41,2050,Franko House Defensive Rebound.,46,47
16:35,2050,Sean Sellers missed Three Point Jumper.,46,47
16:35,2198,DeAndre Dishman Defensive Rebound.,46,47
16:32,2050,Foul on Franko House.,46,47
16:16,2198,Asante Gist Turnover.,46,47
16:16,2050,Tayler Persons Steal.,46,47
16:16,2198,Foul on Asante Gist.,46,47
15:48,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,46,50
15:21,2198,DeAndre Dishman made Layup. Assisted by Isaac McGlone.,48,50
14:58,2050,Tayler Persons Turnover.,48,50
14:58,2050,Official TV Timeout,48,50
14:42,2198,DeAndre Dishman made Dunk. Assisted by Nick Mayo.,50,50
14:31,2050,Kyle Mallers Turnover.,50,50
14:30,2198,Isaac McGlone Steal.,50,50
14:25,2198,Nick Mayo made Layup. Assisted by Dillon Avare.,52,50
14:19,2050,Tayler Persons Turnover.,52,50
14:18,2198,DeAndre Dishman Steal.,52,50
14:13,2050,Foul on Kyle Mallers.,52,50
14:12,2198,Eastern Kentucky  Timeout,52,50
14:12,2050,Official TV Timeout,52,50
14:01,2050,Foul on Sean Sellers.,52,50
13:54,2198,Nick Mayo made Layup.,54,50
13:33,2050,Franko House made Three Point Jumper. Assisted by Francis Kiapway.,54,53
13:17,2050,Foul on Franko House.,54,53
13:11,2198,Nick Mayo made Jumper.,56,53
13:00,2050,Francis Kiapway missed Jumper.,56,53
13:00,2198,Parker Chitty Defensive Rebound.,56,53
12:51,2198,Dillon Avare missed Three Point Jumper.,56,53
12:51,2050,Tayler Persons Defensive Rebound.,56,53
12:44,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,56,56
12:21,2198,Isaac McGlone Turnover.,56,56
12:04,2050,Trey Moses Turnover.,56,56
12:02,2198,Dillon Avare Steal.,56,56
12:00,2198,Dillon Avare Turnover.,56,56
11:58,2050,Ryan Weber Steal.,56,56
11:55,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,56,59
11:44,2198,Dillon Avare made Three Point Jumper. Assisted by Parker Chitty.,59,59
11:17,2050,Sean Sellers Turnover.,59,59
11:16,2198,Isaac McGlone Steal.,59,59
11:12,2050,Foul on Trey Moses.,59,59
11:12,2050,Official TV Timeout,59,59
11:12,2198,Nick Mayo missed Free Throw.,59,59
11:12,2198,Eastern Kentucky Deadball Team Rebound.,59,59
11:12,2198,Nick Mayo made Free Throw.,60,59
10:55,2050,Tayler Persons missed Layup.,60,59
10:55,2198,Nick Mayo Defensive Rebound.,60,59
10:38,2198,Nick Mayo made Jumper. Assisted by Parker Chitty.,62,59
10:17,2050,Trey Moses made Layup. Assisted by Tayler Persons.,62,61
9:57,2198,Zach Charles missed Layup.,62,61
9:57,2050,Ball State Defensive Rebound.,62,61
9:33,2198,Foul on Zach Charles.,62,61
9:31,2198,Foul on Parker Chitty.,62,61
9:31,2050,Tayler Persons made Free Throw.,62,62
9:31,2050,Tayler Persons made Free Throw.,62,63
9:19,2198,Parker Chitty missed Three Point Jumper.,62,63
9:19,2050,Ryan Weber Defensive Rebound.,62,63
9:06,2198,Foul on Parker Chitty.,62,63
9:06,2050,Ryan Weber made Free Throw.,62,64
9:06,2050,Ryan Weber made Free Throw.,62,65
8:49,2198,Asante Gist missed Three Point Jumper.,62,65
8:49,2050,Francis Kiapway Defensive Rebound.,62,65
8:30,2050,Kyle Mallers missed Jumper.,62,65
8:30,2198,Nick Mayo Defensive Rebound.,62,65
8:08,2198,Marlon Adams made Layup. Assisted by Nick Mayo.,64,65
7:54,2050,Tayler Persons missed Jumper.,64,65
7:54,2198,Marlon Adams Defensive Rebound.,64,65
7:52,2050,Foul on Trey Moses.,64,65
7:52,2050,Official TV Timeout,64,65
7:52,2198,Marlon Adams made Free Throw.,65,65
7:52,2198,Marlon Adams missed Free Throw.,65,65
7:52,2050,Doudou Gueye Defensive Rebound.,65,65
7:29,2050,Tayler Persons missed Jumper.,65,65
7:29,2198,Marlon Adams Defensive Rebound.,65,65
7:19,2198,Marlon Adams made Layup. Assisted by Asante Gist.,67,65
7:19,2050,Foul on Franko House.,67,65
7:19,2198,Marlon Adams missed Free Throw.,67,65
7:19,2050,Ball State Defensive Rebound.,67,65
7:17,2050,Tayler Persons Turnover.,67,65
7:10,2198,Dillon Avare missed Three Point Jumper.,67,65
7:10,2050,Sean Sellers Defensive Rebound.,67,65
6:57,2050,Sean Sellers missed Jumper.,67,65
6:57,2198,Asante Gist Defensive Rebound.,67,65
6:52,2198,Asante Gist Turnover.,67,65
6:50,2050,Sean Sellers Steal.,67,65
6:49,2050,Sean Sellers made Layup.,67,67
6:37,2198,Asante Gist missed Three Point Jumper.,67,67
6:37,2198,Nick Mayo Offensive Rebound.,67,67
6:32,2198,Nick Mayo missed Jumper.,67,67
6:32,2050,Ball State Defensive Rebound.,67,67
6:18,2050,Tayler Persons missed Layup.,67,67
6:18,2198,Nick Mayo Block.,67,67
6:15,2050,Doudou Gueye Offensive Rebound.,67,67
6:13,2050,Doudou Gueye made Layup.,67,69
5:46,2198,Isaac McGlone missed Three Point Jumper.,67,69
5:46,2050,Sean Sellers Defensive Rebound.,67,69
5:27,2050,Tayler Persons Turnover.,67,69
5:20,2198,Marlon Adams made Layup. Assisted by Asante Gist.,69,69
5:04,2050,Tayler Persons missed Jumper.,69,69
5:04,2198,Marlon Adams Defensive Rebound.,69,69
4:51,2198,Asante Gist Turnover.,69,69
4:34,2198,Foul on Isaac McGlone.,69,69
4:34,2050,Sean Sellers missed Free Throw.,69,69
4:34,2050,Ball State Deadball Team Rebound.,69,69
4:34,2050,Sean Sellers made Free Throw.,69,70
4:20,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,72,70
3:47,2050,Ryan Weber missed Layup.,72,70
3:47,2050,Ryan Weber Offensive Rebound.,72,70
3:45,2198,Foul on Marlon Adams.,72,70
3:45,2050,Official TV Timeout,72,70
3:45,2050,Ryan Weber made Free Throw.,72,71
3:45,2050,Ryan Weber made Free Throw.,72,72
3:18,2198,Isaac McGlone missed Three Point Jumper.,72,72
3:18,2050,Ryan Weber Defensive Rebound.,72,72
3:00,2050,Tayler Persons made Jumper.,72,74
3:00,2198,Foul on Dillon Avare.,72,74
3:00,2050,Tayler Persons missed Free Throw.,72,74
3:00,2198,Asante Gist Defensive Rebound.,72,74
2:45,2198,Zach Charles missed Layup.,72,74
2:45,2050,Ryan Weber Defensive Rebound.,72,74
2:35,2050,Kyle Mallers missed Three Point Jumper.,72,74
2:35,2050,Ryan Weber Offensive Rebound.,72,74
2:31,2050,Ryan Weber made Layup.,72,76
2:15,2198,Asante Gist made Three Point Jumper.,75,76
2:13,2198,Eastern Kentucky  Timeout,75,76
1:58,2050,Trey Moses made Layup. Assisted by Tayler Persons.,75,78
1:38,2198,Nick Mayo Turnover.,75,78
1:37,2050,Ryan Weber Steal.,75,78
1:33,2050,Kyle Mallers missed Three Point Jumper.,75,78
1:33,2198,Zach Charles Defensive Rebound.,75,78
1:16,2198,Dillon Avare made Three Point Jumper. Assisted by Isaac McGlone.,78,78
0:49,2050,Tayler Persons missed Jumper.,78,78
0:49,2198,Isaac McGlone Defensive Rebound.,78,78
0:39,2198,Eastern Kentucky  Timeout,78,78
0:39,2050,Ball State  Timeout,78,78
0:22,2198,Asante Gist missed Three Point Jumper.,78,78
0:22,2050,Ryan Weber Defensive Rebound.,78,78
0:03,2198,Foul on Asante Gist.,78,78
0:03,2050,Tayler Persons missed Free Throw.,78,78
0:03,2050,Ball State Deadball Team Rebound.,78,78
0:03,2050,Tayler Persons missed Free Throw.,78,78
0:03,2198,Nick Mayo Defensive Rebound.,78,78
0:00,2050,End of 2nd half,78,78
4:49,2198,Nick Mayo made Layup. Assisted by Isaac McGlone.,80,78
4:28,2050,Trey Moses made Jumper.,80,80
4:15,2198,Zach Charles missed Layup.,80,80
4:15,2050,Sean Sellers Defensive Rebound.,80,80
4:06,2050,Sean Sellers made Three Point Jumper. Assisted by Kyle Mallers.,80,83
3:47,2198,Dillon Avare made Three Point Jumper. Assisted by Parker Chitty.,83,83
3:37,2198,Foul on Isaac McGlone.,83,83
3:37,2050,Tayler Persons missed Free Throw.,83,83
3:37,2050,Ball State Deadball Team Rebound.,83,83
3:37,2050,Tayler Persons made Free Throw.,83,84
3:37,2050,Ball State  Timeout,83,84
3:37,2050,Official TV Timeout,83,84
3:14,2198,Nick Mayo missed Three Point Jumper.,83,84
3:14,2050,Tayler Persons Defensive Rebound.,83,84
2:49,2050,Trey Moses Turnover.,83,84
2:46,2198,Nick Mayo Steal.,83,84
2:31,2198,Isaac McGlone Turnover.,83,84
2:31,2050,Tayler Persons Steal.,83,84
2:31,2050,Tayler Persons Turnover.,83,84
2:25,2198,Nick Mayo made Jumper. Assisted by Isaac McGlone.,85,84
2:07,2050,Ryan Weber missed Jumper.,85,84
2:07,2198,Eastern Kentucky Defensive Rebound.,85,84
2:01,2198,Eastern Kentucky  Timeout,85,84
1:46,2198,Nick Mayo missed Jumper.,85,84
1:46,2050,Trey Moses Defensive Rebound.,85,84
1:31,2198,Foul on Parker Chitty.,85,84
1:31,2050,Tayler Persons made Free Throw.,85,85
1:31,2050,Tayler Persons missed Free Throw.,85,85
1:31,2198,DeAndre Dishman Defensive Rebound.,85,85
1:04,2198,Nick Mayo Turnover.,85,85
1:03,2050,Trey Moses Steal.,85,85
0:47,2050,Tayler Persons made Layup.,85,87
0:31,2198,Parker Chitty missed Layup.,85,87
0:31,2198,DeAndre Dishman Offensive Rebound.,85,87
0:29,2050,Foul on Kyle Mallers.,85,87
0:29,2050,Ball State  Timeout,85,87
0:29,2198,DeAndre Dishman made Free Throw.,86,87
0:29,2198,DeAndre Dishman missed Free Throw.,86,87
0:29,2050,Trey Moses Defensive Rebound.,86,87
0:28,2198,Foul on Isaac McGlone.,86,87
0:28,2050,Sean Sellers made Free Throw.,86,88
0:28,2050,Sean Sellers made Free Throw.,86,89
0:20,2198,Dillon Avare missed Three Point Jumper.,86,89
0:20,2050,Trey Moses Defensive Rebound.,86,89
0:18,2198,Foul on Zach Charles.,86,89
0:18,2050,Trey Moses made Free Throw.,86,90
0:18,2050,Trey Moses missed Free Throw.,86,90
0:18,2198,Eastern Kentucky Defensive Rebound.,86,90
0:13,2198,Nick Mayo missed Three Point Jumper.,86,90
0:13,2198,Zach Charles Offensive Rebound.,86,90
0:08,2198,Zach Charles missed Layup.,86,90
0:08,2198,Dillon Avare Offensive Rebound.,86,90
0:05,2198,Parker Chitty missed Three Point Jumper.,86,90
0:05,2050,Trey Moses Defensive Rebound.,86,90
0:05,2198,Foul on Zach Charles.,86,90
0:05,2050,Trey Moses missed Free Throw.,86,90
0:05,2050,Ball State Deadball Team Rebound.,86,90
0:05,2050,Trey Moses made Free Throw.,86,91
0:01,2198,Parker Chitty missed Three Point Jumper.,86,91
0:01,2050,Trey Moses Defensive Rebound.,86,91
0:00,2050,End of Game,86,91
