Tennessee Tech,127,Michigan State,2635
5:49,127,Eron Harris missed Free Throw.,14,30
5:49,2635,JaCardo Hawkins Defensive Rebound.,14,30
5:38,2635,Foul on Micaiah Henry.,14,30
5:38,2635,Micaiah Henry Turnover.,14,30
5:20,127,Cassius Winston Turnover.,14,30
5:20,2635,JaCardo Hawkins Steal.,14,30
5:14,2635,Aleksa Jugovic missed Three Point Jumper.,14,30
5:14,127,Eron Harris Block.,14,30
5:14,127,Cassius Winston Defensive Rebound.,14,30
4:59,127,Eron Harris made Layup. Assisted by Cassius Winston.,14,32
4:36,2635,Aleksa Jugovic missed Jumper.,14,32
4:36,2635,Courtney Alexander II Offensive Rebound.,14,32
4:29,127,Foul on Kyle Ahrens.,14,32
4:29,2635,Courtney Alexander II made Free Throw.,15,32
4:29,2635,Courtney Alexander II made Free Throw.,16,32
4:06,127,Eron Harris missed Three Point Jumper.,16,32
4:06,2635,Courtney Alexander II Defensive Rebound.,16,32
3:56,2635,Foul on Courtney Alexander II.,16,32
3:56,2635,Courtney Alexander II Turnover.,16,32
3:56,127,Official TV Timeout,16,32
3:44,127,Eron Harris Turnover.,16,32
3:34,2635,Aleksa Jugovic made Jumper. Assisted by Curtis Phillips.,18,32
3:19,127,Eron Harris missed Three Point Jumper.,18,32
3:19,2635,Savonte Frazier Defensive Rebound.,18,32
3:10,2635,Curtis Phillips made Three Point Jumper. Assisted by Savonte Frazier.,21,32
2:50,127,Joshua Langford made Three Point Jumper. Assisted by Eron Harris.,21,35
2:34,2635,JaCardo Hawkins made Layup.,23,35
2:08,127,Lourawls Nairn Jr. missed Layup.,23,35
2:08,127,Matt Van Dyk Offensive Rebound.,23,35
1:56,2635,Foul on JaCardo Hawkins.,23,35
1:56,127,Matt Van Dyk missed Free Throw.,23,35
1:56,127,Michigan St Deadball Team Rebound.,23,35
1:56,127,Matt Van Dyk missed Free Throw.,23,35
1:56,2635,JaCardo Hawkins Defensive Rebound.,23,35
1:42,2635,Aleksa Jugovic made Jumper.,25,35
1:40,2635,Tennessee Tech  Timeout,25,35
1:27,127,Cassius Winston missed Three Point Jumper.,25,35
1:27,2635,Kajon Mack Defensive Rebound.,25,35
1:25,127,Foul on Eron Harris.,25,35
1:25,2635,Kajon Mack made Free Throw.,26,35
1:25,2635,Kajon Mack made Free Throw.,27,35
0:52,127,Joshua Langford missed Three Point Jumper.,27,35
0:52,2635,Kajon Mack Defensive Rebound.,27,35
0:38,2635,Savonte Frazier Turnover.,27,35
0:38,127,Alvin Ellis III Steal.,27,35
0:35,127,Michigan St  Timeout,27,35
0:23,127,Matt Van Dyk made Layup. Assisted by Cassius Winston.,27,37
0:02,2635,Aleksa Jugovic missed Layup.,27,37
0:02,2635,Courtney Alexander II Offensive Rebound.,27,37
0:02,2635,Courtney Alexander II missed Two Point Tip Shot.,27,37
0:02,127,Joshua Langford Defensive Rebound.,27,37
0:00,127,End of 1st half,27,37
20:00,2635,Jump Ball won by Tennessee Tech,27,37
19:49,127,Foul on Kenny Goins.,27,37
19:49,2635,Mason Ramsey missed Free Throw.,27,37
19:49,2635,Tennessee Tech Deadball Team Rebound.,27,37
19:49,2635,Mason Ramsey made Free Throw.,28,37
19:28,127,Kyle Ahrens missed Three Point Jumper.,28,37
19:28,127,Eron Harris Offensive Rebound.,28,37
19:22,2635,Foul on Courtney Alexander II.,28,37
19:22,127,Eron Harris missed Free Throw.,28,37
19:22,127,Michigan St Deadball Team Rebound.,28,37
19:22,127,Eron Harris made Free Throw.,28,38
19:09,2635,Mason Ramsey made Layup. Assisted by Hakeem Rogers.,30,38
18:46,127,Eron Harris Turnover.,30,38
18:46,2635,Aleksa Jugovic Steal.,30,38
18:42,2635,Foul on Aleksa Jugovic.,30,38
18:42,2635,Aleksa Jugovic Turnover.,30,38
18:28,127,Eron Harris made Three Point Jumper. Assisted by Joshua Langford.,30,41
18:05,2635,Hakeem Rogers made Layup.,32,41
17:49,127,Eron Harris made Three Point Jumper. Assisted by Lourawls Nairn Jr..,32,44
17:28,2635,Hakeem Rogers made Three Point Jumper. Assisted by Courtney Alexander II.,35,44
17:13,127,Kyle Ahrens missed Jumper.,35,44
17:13,2635,Mason Ramsey Defensive Rebound.,35,44
17:01,127,Foul on Matt Van Dyk.,35,44
16:53,2635,Courtney Alexander II missed Layup.,35,44
16:53,127,Nick Ward Block.,35,44
16:53,127,Nick Ward Defensive Rebound.,35,44
16:42,127,Lourawls Nairn Jr. missed Layup.,35,44
16:42,2635,Courtney Alexander II Defensive Rebound.,35,44
16:33,2635,Courtney Alexander II made Layup. Assisted by Kajon Mack.,37,44
16:22,127,Nick Ward made Layup.,37,46
16:22,2635,Foul on Courtney Alexander II.,37,46
16:22,127,Nick Ward missed Free Throw.,37,46
16:22,2635,Courtney Alexander II Defensive Rebound.,37,46
16:05,2635,Kajon Mack missed Three Point Jumper.,37,46
16:05,2635,Mason Ramsey Offensive Rebound.,37,46
15:42,2635,Curtis Phillips missed Layup.,37,46
15:42,127,Nick Ward Defensive Rebound.,37,46
15:34,127,Alvin Ellis III made Three Point Jumper. Assisted by Lourawls Nairn Jr..,37,49
15:02,2635,Curtis Phillips made Layup.,39,49
14:55,2635,Foul on Mason Ramsey.,39,49
14:55,127,Official TV Timeout,39,49
14:37,2635,Foul on Courtney Alexander II.,39,49
14:37,127,Kyle Ahrens missed Free Throw.,39,49
14:37,127,Michigan St Deadball Team Rebound.,39,49
14:37,127,Kyle Ahrens made Free Throw.,39,50
14:17,2635,JaCardo Hawkins missed Jumper.,39,50
14:17,2635,Kajon Mack Offensive Rebound.,39,50
14:17,2635,Kajon Mack made Two Point Tip Shot.,41,50
14:17,127,Foul on Kyle Ahrens.,41,50
14:17,2635,Kajon Mack made Free Throw.,42,50
13:57,2635,Foul on JaCardo Hawkins.,42,50
13:50,2635,Foul on JaCardo Hawkins.,42,50
13:50,127,Eron Harris made Free Throw.,42,51
13:50,127,Eron Harris made Free Throw.,42,52
13:41,2635,Kajon Mack missed Layup.,42,52
13:41,127,Nick Ward Defensive Rebound.,42,52
13:34,2635,Foul on Micaiah Henry.,42,52
13:34,127,Cassius Winston made Free Throw.,42,53
13:34,127,Cassius Winston made Free Throw.,42,54
13:28,2635,Aleksa Jugovic missed Three Point Jumper.,42,54
13:28,127,Michigan St Defensive Rebound.,42,54
13:15,127,Cassius Winston Turnover.,42,54
13:15,2635,Kajon Mack Steal.,42,54
13:02,2635,Curtis Phillips made Layup.,44,54
12:44,127,Nick Ward made Layup. Assisted by Cassius Winston.,44,56
12:22,2635,Hakeem Rogers missed Layup.,44,56
12:22,127,Lourawls Nairn Jr. Defensive Rebound.,44,56
12:19,2635,Foul on Curtis Phillips.,44,56
12:19,127,Lourawls Nairn Jr. missed Free Throw.,44,56
12:17,2635,Hakeem Rogers Defensive Rebound.,44,56
12:17,127,Foul on Nick Ward.,44,56
12:02,2635,Kajon Mack Turnover.,44,56
12:02,127,Alvin Ellis III Steal.,44,56
11:53,127,Cassius Winston made Jumper. Assisted by Eron Harris.,44,58
11:29,127,Foul on Kenny Goins.,44,58
11:29,127,Official TV Timeout,44,58
11:29,2635,Hakeem Rogers made Free Throw.,45,58
11:29,2635,Hakeem Rogers made Free Throw.,46,58
11:01,127,Cassius Winston missed Jumper.,46,58
11:01,2635,Colton Blevins Block.,46,58
11:01,2635,Curtis Phillips Defensive Rebound.,46,58
10:46,2635,Hakeem Rogers missed Three Point Jumper.,46,58
10:46,127,Lourawls Nairn Jr. Defensive Rebound.,46,58
10:21,127,Lourawls Nairn Jr. missed Jumper.,46,58
10:21,127,Matt Van Dyk Offensive Rebound.,46,58
10:11,127,Matt Van Dyk missed Layup.,46,58
10:11,127,Matt Van Dyk Offensive Rebound.,46,58
10:11,2635,Foul on Colton Blevins.,46,58
10:11,127,Alvin Ellis III missed Free Throw.,46,58
10:11,127,Michigan St Deadball Team Rebound.,46,58
10:11,127,Alvin Ellis III made Free Throw.,46,59
10:01,127,Foul on Lourawls Nairn Jr..,46,59
9:50,2635,Savonte Frazier missed Jumper.,46,59
9:50,127,Matt Van Dyk Block.,46,59
9:50,127,Alvin Ellis III Defensive Rebound.,46,59
9:38,127,Alvin Ellis III missed Three Point Jumper.,46,59
9:38,2635,Hakeem Rogers Defensive Rebound.,46,59
9:35,127,Foul on Cassius Winston.,46,59
9:35,2635,Hakeem Rogers missed Free Throw.,46,59
9:35,127,Jump Ball won by Michigan St,46,59
9:35,127,Joshua Langford Defensive Rebound.,46,59
9:13,2635,Foul on Hakeem Rogers.,46,59
9:13,127,Joshua Langford missed Free Throw.,46,59
9:13,127,Michigan St Deadball Team Rebound.,46,59
9:13,127,Joshua Langford made Free Throw.,46,60
8:58,2635,Colton Blevins Turnover.,46,60
8:32,127,Eron Harris missed Three Point Jumper.,46,60
8:32,2635,Colton Blevins Defensive Rebound.,46,60
8:17,2635,Colton Blevins missed Layup.,46,60
8:17,127,Joshua Langford Defensive Rebound.,46,60
8:08,127,Joshua Langford made Jumper. Assisted by Lourawls Nairn Jr..,46,62
7:50,2635,Tennessee Tech  Timeout,46,62
7:38,2635,Mason Ramsey missed Layup.,46,62
7:38,127,Lourawls Nairn Jr. Defensive Rebound.,46,62
7:34,2635,Foul on Savonte Frazier.,46,62
7:34,127,Official TV Timeout,46,62
7:34,127,Lourawls Nairn Jr. made Free Throw.,46,63
7:34,127,Lourawls Nairn Jr. made Free Throw.,46,64
7:24,2635,Aleksa Jugovic missed Layup.,46,64
7:24,127,Eron Harris Block.,46,64
7:24,127,Eron Harris Defensive Rebound.,46,64
7:05,127,Eron Harris missed Jumper.,46,64
7:05,2635,Aleksa Jugovic Block.,46,64
7:05,2635,Curtis Phillips Defensive Rebound.,46,64
6:53,2635,Aleksa Jugovic missed Three Point Jumper.,46,64
6:53,127,Kyle Ahrens Defensive Rebound.,46,64
6:38,127,Foul on Kyle Ahrens.,46,64
6:38,127,Kyle Ahrens Turnover.,46,64
6:29,2635,Mason Ramsey made Jumper. Assisted by Aleksa Jugovic.,48,64
6:02,127,Nick Ward Turnover.,48,64
5:35,2635,Mason Ramsey Turnover.,48,64
5:08,127,Kyle Ahrens Turnover.,48,64
4:56,127,Foul on Nick Ward.,48,64
4:56,2635,Mason Ramsey missed Free Throw.,48,64
4:56,127,Kyle Ahrens Defensive Rebound.,48,64
4:32,127,Kenny Goins Turnover.,48,64
4:32,2635,Curtis Phillips Steal.,48,64
4:25,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Savonte Frazier.,51,64
4:05,127,Eron Harris missed Three Point Jumper.,51,64
4:05,127,Kyle Ahrens Offensive Rebound.,51,64
4:00,127,Kyle Ahrens missed Layup.,51,64
4:00,2635,Aleksa Jugovic Defensive Rebound.,51,64
3:55,127,Foul on Cassius Winston.,51,64
3:55,127,Official TV Timeout,51,64
3:55,2635,Aleksa Jugovic made Free Throw.,52,64
3:55,2635,Aleksa Jugovic made Free Throw.,53,64
3:38,127,Kyle Ahrens missed Three Point Jumper.,53,64
3:33,127,Kenny Goins Offensive Rebound.,53,64
3:33,2635,Foul on Kajon Mack.,53,64
3:33,127,Kenny Goins missed Free Throw.,53,64
3:33,127,Michigan St Deadball Team Rebound.,53,64
3:33,127,Kenny Goins made Free Throw.,53,65
3:17,2635,Kajon Mack made Three Point Jumper. Assisted by Mason Ramsey.,56,65
2:48,127,Eron Harris missed Three Point Jumper.,56,65
2:48,2635,Kajon Mack Block.,56,65
2:48,2635,Curtis Phillips Defensive Rebound.,56,65
2:33,2635,Hakeem Rogers missed Three Point Jumper.,56,65
2:33,127,Kenny Goins Defensive Rebound.,56,65
2:05,127,Lourawls Nairn Jr. missed Three Point Jumper.,56,65
2:05,127,Kyle Ahrens Offensive Rebound.,56,65
1:45,127,Michigan St  Timeout,56,65
1:34,127,Eron Harris missed Three Point Jumper.,56,65
1:34,2635,Hakeem Rogers Defensive Rebound.,56,65
1:28,2635,Hakeem Rogers made Layup.,58,65
1:28,127,Foul on Lourawls Nairn Jr..,58,65
1:28,2635,Hakeem Rogers missed Free Throw.,58,65
1:28,2635,Kajon Mack Offensive Rebound.,58,65
1:23,2635,Aleksa Jugovic missed Three Point Jumper.,58,65
1:23,127,Kenny Goins Defensive Rebound.,58,65
1:07,127,Kenny Goins made Dunk. Assisted by Cassius Winston.,58,67
0:50,2635,Aleksa Jugovic missed Jumper.,58,67
0:50,2635,Courtney Alexander II Offensive Rebound.,58,67
0:50,127,Foul on Kenny Goins.,58,67
0:50,2635,Courtney Alexander II missed Free Throw.,58,67
0:50,2635,Tennessee Tech Deadball Team Rebound.,58,67
0:50,2635,Mason Ramsey Turnover.,58,67
0:38,2635,Foul on Savonte Frazier.,58,67
0:38,127,Joshua Langford made Free Throw.,58,68
0:38,127,Joshua Langford made Free Throw.,58,69
0:32,2635,Kajon Mack made Layup.,60,69
0:32,2635,Tennessee Tech  Timeout,60,69
0:29,2635,Foul on Kajon Mack.,60,69
0:29,127,Cassius Winston made Free Throw.,60,70
0:29,127,Cassius Winston made Free Throw.,60,71
0:29,127,Michigan St  Timeout,60,71
0:22,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Hakeem Rogers.,63,71
0:00,127,End of Game,63,71
