North Dakota,2460,Northern Iowa,155
17:25,155,Quinton Hooker Turnover.,36,33
17:24,2460,Juwan McCloud Steal.,36,33
17:06,155,Foul on Corey Baldwin.,36,33
17:06,2460,Ted Friedman missed Free Throw.,36,33
17:06,2460,Northern Iowa Deadball Team Rebound.,36,33
17:06,2460,Ted Friedman missed Free Throw.,36,33
17:06,155,Drick Bernstine Defensive Rebound.,36,33
16:55,155,Drick Bernstine missed Three Point Jumper.,36,33
16:55,2460,Jeremy Morgan Defensive Rebound.,36,33
16:38,2460,Ted Friedman Turnover.,36,33
16:38,155,Quinton Hooker Steal.,36,33
16:31,2460,Foul on Spencer Haldeman.,36,33
16:15,155,Geno Crandall missed Three Point Jumper.,36,33
16:15,155,Conner Avants Offensive Rebound.,36,33
16:12,2460,Foul on Klint Carlson.,36,33
16:08,155,Quinton Hooker Turnover.,36,33
16:00,155,Foul on Drick Bernstine.,36,33
15:54,2460,Jeremy Morgan made Jumper.,36,35
15:54,155,Foul on Cortez Seales.,36,35
15:54,2460,Official TV Timeout,36,35
15:54,2460,Jeremy Morgan missed Free Throw.,36,35
15:54,155,Quinton Hooker Defensive Rebound.,36,35
15:36,155,Conner Avants made Layup.,38,35
15:22,155,Foul on Cortez Seales.,38,35
15:22,2460,Spencer Haldeman made Free Throw.,38,36
15:22,2460,Spencer Haldeman made Free Throw.,38,37
15:11,155,Conner Avants Turnover.,38,37
14:51,2460,Klint Carlson missed Three Point Jumper.,38,37
14:51,155,Corey Baldwin Defensive Rebound.,38,37
14:35,2460,Foul on Wyatt Lohaus.,38,37
14:20,155,Geno Crandall made Layup.,40,37
14:11,155,Foul on Quinton Hooker.,40,37
14:02,2460,Jeremy Morgan made Jumper.,40,39
13:48,155,Geno Crandall missed Jumper.,40,39
13:48,155,Conner Avants Offensive Rebound.,40,39
13:41,155,Conner Avants made Layup. Assisted by Cortez Seales.,42,39
13:20,155,Foul on Cortez Seales.,42,39
13:11,2460,Jeremy Morgan made Layup.,42,41
13:00,155,Conner Avants made Layup. Assisted by Drick Bernstine.,44,41
12:40,2460,Jeremy Morgan made Jumper.,44,43
12:38,2460,Northern Iowa  Timeout,44,43
12:14,155,Quinton Hooker made Three Point Jumper.,47,43
11:44,2460,Klint Carlson made Three Point Jumper. Assisted by Jeremy Morgan.,47,46
11:29,155,Quinton Hooker missed Three Point Jumper.,47,46
11:27,155,Conner Avants Offensive Rebound.,47,46
11:27,2460,Official TV Timeout,47,46
11:27,2460,Foul on Spencer Haldeman.,47,46
11:19,155,Quinton Hooker made Layup. Assisted by Conner Avants.,49,46
10:59,155,Foul on Geno Crandall.,49,46
10:59,2460,Jeremy Morgan missed Free Throw.,49,46
10:59,155,Quinton Hooker Defensive Rebound.,49,46
10:44,155,Corey Baldwin missed Three Point Jumper.,49,46
10:44,2460,Northern Iowa Defensive Rebound.,49,46
10:24,2460,Jeremy Morgan made Layup.,49,48
10:04,155,Quinton Hooker missed Jumper.,49,48
10:04,155,Conner Avants Offensive Rebound.,49,48
9:52,155,Quinton Hooker missed Three Point Jumper.,49,48
9:52,2460,Jeremy Morgan Defensive Rebound.,49,48
9:49,155,Foul on Josh Collins.,49,48
9:49,2460,Jeremy Morgan made Free Throw.,49,49
9:49,2460,Jeremy Morgan made Free Throw.,49,50
9:34,155,Foul on Corey Baldwin.,49,50
9:34,155,Corey Baldwin Turnover.,49,50
9:17,155,Foul on Geno Crandall.,49,50
9:17,2460,Jeremy Morgan missed Free Throw.,49,50
9:17,2460,Northern Iowa Deadball Team Rebound.,49,50
9:17,2460,Jeremy Morgan missed Free Throw.,49,50
9:17,155,Josh Collins Defensive Rebound.,49,50
8:58,2460,Foul on Hunter Rhodes.,49,50
8:33,155,Geno Crandall made Layup.,51,50
8:16,2460,Jeremy Morgan made Three Point Jumper.,51,53
8:01,155,Geno Crandall missed Jumper.,51,53
8:01,2460,Jeremy Morgan Defensive Rebound.,51,53
7:58,155,Foul on Geno Crandall.,51,53
7:58,2460,Official TV Timeout,51,53
7:58,2460,Jeremy Morgan missed Free Throw.,51,53
7:58,2460,Northern Iowa Deadball Team Rebound.,51,53
7:58,2460,Jeremy Morgan missed Free Throw.,51,53
7:58,2460,Klint Carlson Offensive Rebound.,51,53
7:41,2460,Wyatt Lohaus missed Layup.,51,53
7:41,155,Josh Collins Defensive Rebound.,51,53
7:11,155,Quinton Hooker missed Three Point Jumper.,51,53
7:11,2460,Jeremy Morgan Defensive Rebound.,51,53
7:04,2460,Wyatt Lohaus missed Three Point Jumper.,51,53
7:04,155,Corey Baldwin Defensive Rebound.,51,53
6:52,155,Drick Bernstine made Layup. Assisted by Quinton Hooker.,53,53
6:34,2460,Jeremy Morgan made Layup.,53,55
6:34,155,Foul on Josh Collins.,53,55
6:34,2460,Jeremy Morgan made Free Throw.,53,56
6:14,155,Carson Shanks made Layup. Assisted by Drick Bernstine.,55,56
5:55,2460,Jeremy Morgan made Three Point Jumper.,55,59
5:42,2460,Foul on Jeremy Morgan.,55,59
5:42,155,Cortez Seales missed Free Throw.,55,59
5:42,2460,Jeremy Morgan Defensive Rebound.,55,59
5:41,155,Foul on Carson Shanks.,55,59
5:41,2460,Jeremy Morgan made Free Throw.,55,60
5:41,2460,Jeremy Morgan made Free Throw.,55,61
5:28,155,Corey Baldwin missed Three Point Jumper.,55,61
5:28,2460,Jeremy Morgan Defensive Rebound.,55,61
5:14,155,Foul on Drick Bernstine.,55,61
5:14,2460,Jeremy Morgan made Free Throw.,55,62
5:14,2460,Jeremy Morgan made Free Throw.,55,63
5:10,155,North Dakota  Timeout,55,63
4:58,155,Quinton Hooker missed Three Point Jumper.,55,63
4:58,2460,Spencer Haldeman Defensive Rebound.,55,63
4:35,2460,Hunter Rhodes missed Three Point Jumper.,55,63
4:35,155,Carson Shanks Defensive Rebound.,55,63
4:24,155,Geno Crandall made Layup.,57,63
4:03,2460,Hunter Rhodes missed Three Point Jumper.,57,63
4:03,155,Carson Shanks Defensive Rebound.,57,63
3:52,155,Carson Shanks made Layup. Assisted by Corey Baldwin.,59,63
3:38,2460,Northern Iowa  Timeout,59,63
3:27,2460,Klint Carlson made Layup.,59,65
3:08,155,Carson Shanks made Dunk. Assisted by Quinton Hooker.,61,65
2:52,2460,Jeremy Morgan made Layup.,61,67
2:52,155,Foul on Carson Shanks.,61,67
2:52,2460,Jeremy Morgan made Free Throw.,61,68
2:48,155,Foul on Geno Crandall.,61,68
2:48,155,Geno Crandall Turnover.,61,68
2:27,2460,Jeremy Morgan missed Three Point Jumper.,61,68
2:27,155,Cortez Seales Defensive Rebound.,61,68
2:11,155,Conner Avants missed Layup.,61,68
2:11,2460,Jeremy Morgan Defensive Rebound.,61,68
1:52,2460,Northern Iowa  Timeout,61,68
1:39,2460,Northern Iowa  Turnover.,61,68
1:33,2460,Foul on Spencer Haldeman.,61,68
1:33,155,Cortez Seales missed Free Throw.,61,68
1:33,2460,Jeremy Morgan Defensive Rebound.,61,68
1:33,155,Foul on Conner Avants.,61,68
1:33,2460,Jeremy Morgan made Free Throw.,61,69
1:33,2460,Jeremy Morgan made Free Throw.,61,70
1:24,155,Quinton Hooker made Jumper.,63,70
1:15,155,Foul on Quinton Hooker.,63,70
1:15,2460,Jeremy Morgan made Free Throw.,63,71
1:15,2460,Jeremy Morgan made Free Throw.,63,72
1:09,155,Quinton Hooker made Three Point Jumper.,66,72
1:07,155,North Dakota  Timeout,66,72
0:50,2460,Jeremy Morgan Turnover.,66,72
0:49,155,Quinton Hooker Steal.,66,72
0:43,155,Quinton Hooker missed Three Point Jumper.,66,72
0:43,2460,Jeremy Morgan Defensive Rebound.,66,72
0:40,155,Foul on Conner Avants.,66,72
0:40,2460,Jeremy Morgan made Free Throw.,66,73
0:40,2460,Jeremy Morgan made Free Throw.,66,74
0:34,155,Quinton Hooker made Layup.,68,74
0:33,155,Foul on Conner Avants.,68,74
0:33,2460,Jeremy Morgan made Free Throw.,68,75
0:33,2460,Jeremy Morgan made Free Throw.,68,76
0:26,155,Conner Avants missed Three Point Jumper.,68,76
0:26,2460,Spencer Haldeman Defensive Rebound.,68,76
0:23,155,Foul on Cortez Seales.,68,76
0:23,2460,Spencer Haldeman made Free Throw.,68,77
0:23,2460,Spencer Haldeman made Free Throw.,68,78
0:15,155,Conner Avants made Dunk. Assisted by Carson Shanks.,70,78
0:11,155,Foul on Corey Baldwin.,70,78
0:11,2460,Spencer Haldeman missed Free Throw.,70,78
0:11,2460,Northern Iowa Deadball Team Rebound.,70,78
0:11,2460,Spencer Haldeman missed Free Throw.,70,78
0:11,155,Josh Collins Defensive Rebound.,70,78
0:05,155,Corey Baldwin missed Three Point Jumper.,70,78
0:05,155,Conner Avants Offensive Rebound.,70,78
0:01,155,Carson Shanks missed Jumper.,70,78
0:01,2460,Wyatt Lohaus Defensive Rebound.,70,78
0:00,2460,End of Game,70,78
