Austin,Error,Lamar,2320
11:12,2320,Terrance Hubby missed Free Throw.,15,18
11:12,2320,Lamar Deadball Team Rebound.,15,18
11:12,2320,Terrance Hubby missed Free Throw.,15,18
11:12,2320,Zjori Bosha Offensive Rebound.,15,18
11:11,-1,Foul on Jeremy Swisher.,15,18
11:11,2320,Zjori Bosha made Free Throw.,15,19
11:11,2320,Zjori Bosha made Free Throw.,15,20
10:56,-1,Jeremy Swisher Turnover.,15,20
10:55,2320,Christian Albright Steal.,15,20
10:53,-1,Foul on John Pass.,15,20
10:53,2320,Terrance Hubby missed Free Throw.,15,20
10:53,2320,Lamar Deadball Team Rebound.,15,20
10:53,2320,Terrance Hubby made Free Throw.,15,21
10:43,-1,Austin Freet Turnover.,15,21
10:41,2320,Torey Noel Steal.,15,21
10:40,2320,Torey Noel made Layup.,15,23
10:25,-1,Austin Freet Turnover.,15,23
10:02,2320,Nick Garth made Jumper.,15,25
9:50,-1,Austin Freet Turnover.,15,25
9:50,2320,Zjori Bosha Steal.,15,25
9:36,2320,Nick Garth missed Jumper.,15,25
9:36,-1,Stephen Igbinosa Defensive Rebound.,15,25
9:31,-1,Stephen Igbinosa Turnover.,15,25
9:30,2320,Zjori Bosha Steal.,15,25
9:29,-1,Foul on Stephen Igbinosa.,15,25
9:29,2320,Zjori Bosha made Free Throw.,15,26
9:29,2320,Zjori Bosha made Free Throw.,15,27
9:12,-1,Brian Baehl missed Layup.,15,27
9:12,2320,Cameron McGee Defensive Rebound.,15,27
9:04,2320,Nick Garth made Three Point Jumper. Assisted by Cameron McGee.,15,30
8:43,-1,Brian Baehl Turnover.,15,30
8:42,2320,Cameron McGee Steal.,15,30
8:39,-1,Foul on Josh Dickerman.,15,30
8:39,2320,Cameron McGee made Free Throw.,15,31
8:39,2320,Cameron McGee made Free Throw.,15,32
8:32,-1,Josh Dickerman missed Jumper.,15,32
8:32,2320,Zjori Bosha Defensive Rebound.,15,32
8:21,2320,Nick Garth made Three Point Jumper. Assisted by Zjori Bosha.,15,35
8:10,-1,Austin Wells missed Three Point Jumper.,15,35
8:10,2320,Zjori Bosha Defensive Rebound.,15,35
7:58,2320,Cameron McGee missed Jumper.,15,35
7:58,-1,Austin Defensive Rebound.,15,35
7:57,2320,Official TV Timeout,15,35
7:47,-1,Austin  Timeout,15,35
7:39,-1,Brian Baehl made Jumper.,17,35
7:22,-1,Foul on Justin Wade.,17,35
7:22,2320,Tyrin Atwood missed Free Throw.,17,35
7:22,2320,Lamar Deadball Team Rebound.,17,35
7:22,2320,Tyrin Atwood missed Free Throw.,17,35
7:22,-1,Justin Wade Defensive Rebound.,17,35
6:53,-1,Austin Freet made Layup.,19,35
6:43,2320,Cameron McGee Turnover.,19,35
6:43,2320,Foul on Cameron McGee.,19,35
6:22,2320,Foul on Cameron McGee.,19,35
6:22,-1,Brian Baehl made Free Throw.,20,35
6:22,-1,Brian Baehl missed Free Throw.,20,35
6:22,2320,Lamar Defensive Rebound.,20,35
6:06,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,20,37
6:06,-1,Foul on Justin Wade.,20,37
6:06,2320,Colton Weisbrod made Free Throw.,20,38
5:52,-1,Justin Wade Turnover.,20,38
5:51,2320,Colton Weisbrod Steal.,20,38
5:46,2320,Nick Garth missed Three Point Jumper.,20,38
5:46,-1,Brian Baehl Defensive Rebound.,20,38
5:43,2320,Foul on Zjori Bosha.,20,38
5:43,-1,Brian Baehl made Free Throw.,21,38
5:43,-1,Brian Baehl missed Free Throw.,21,38
5:43,2320,Colton Weisbrod Defensive Rebound.,21,38
5:35,2320,Colton Weisbrod made Layup.,21,40
5:26,-1,Josh Dickerman missed Jumper.,21,40
5:26,2320,Nick Garth Defensive Rebound.,21,40
5:17,2320,Colton Weisbrod Turnover.,21,40
5:17,2320,Foul on Colton Weisbrod.,21,40
5:06,-1,Brian Baehl Turnover.,21,40
5:04,2320,Zjori Bosha Steal.,21,40
5:01,2320,Josh Nzeakor made Dunk. Assisted by Torey Noel.,21,42
4:29,-1,Austin  Turnover.,21,42
4:18,2320,Torey Noel missed Jumper.,21,42
4:18,-1,Jeremy Swisher Defensive Rebound.,21,42
4:08,-1,Josh Dickerman missed Three Point Jumper.,21,42
4:08,2320,Torey Noel Defensive Rebound.,21,42
4:01,2320,Zjori Bosha made Layup. Assisted by Colton Weisbrod.,21,44
3:52,2320,Foul on Nick Garth.,21,44
3:52,2320,Official TV Timeout,21,44
3:52,-1,Austin Freet missed Free Throw.,21,44
3:52,-1,Austin Deadball Team Rebound.,21,44
3:52,-1,Austin Freet made Free Throw.,22,44
3:38,-1,Foul on Andres Rivera.,22,44
3:38,2320,Cameron McGee missed Free Throw.,22,44
3:38,2320,Lamar Deadball Team Rebound.,22,44
3:38,2320,Cameron McGee made Free Throw.,22,45
3:31,-1,Andres Rivera missed Three Point Jumper.,22,45
3:31,-1,Jeremy Swisher Offensive Rebound.,22,45
3:26,2320,Foul on Colton Weisbrod.,22,45
3:26,-1,Jeremy Swisher made Free Throw.,23,45
3:26,-1,Jeremy Swisher missed Free Throw.,23,45
3:26,2320,Josh Nzeakor Defensive Rebound.,23,45
3:10,2320,Zjori Bosha made Jumper.,23,47
2:50,-1,Jeremy Swisher Turnover.,23,47
2:49,2320,Cameron McGee Steal.,23,47
2:43,2320,Josh Nzeakor missed Layup.,23,47
2:43,-1,Jp Feider Block.,23,47
2:43,2320,Lamar Offensive Rebound.,23,47
2:35,-1,Foul on Jp Feider.,23,47
2:35,2320,Josh Nzeakor made Free Throw.,23,48
2:35,2320,Josh Nzeakor made Free Throw.,23,49
2:13,-1,Andres Rivera missed Three Point Jumper.,23,49
2:13,-1,Andres Rivera Offensive Rebound.,23,49
2:08,-1,Jp Feider made Layup. Assisted by Andres Rivera.,25,49
1:45,2320,Zjori Bosha missed Three Point Jumper.,25,49
1:45,-1,Justin Wade Defensive Rebound.,25,49
1:33,2320,Foul on Terrance Hubby.,25,49
1:33,-1,Jeremy Swisher made Free Throw.,26,49
1:33,-1,Jeremy Swisher missed Free Throw.,26,49
1:33,2320,Terrance Hubby Defensive Rebound.,26,49
1:20,-1,Foul on Justin Wade.,26,49
1:20,2320,Josh Nzeakor made Free Throw.,26,50
1:20,2320,Josh Nzeakor missed Free Throw.,26,50
1:20,-1,Patrick Johnson Defensive Rebound.,26,50
1:08,-1,John Pass Turnover.,26,50
1:07,2320,Terrance Hubby Steal.,26,50
1:05,-1,Foul on Andres Rivera.,26,50
1:05,2320,Terrance Hubby made Free Throw.,26,51
1:05,2320,Terrance Hubby made Free Throw.,26,52
0:53,-1,Jp Feider made Jumper. Assisted by Patrick Johnson.,28,52
0:34,2320,Nick Garth missed Three Point Jumper.,28,52
0:34,2320,Terrance Hubby Offensive Rebound.,28,52
0:27,2320,Nick Garth made Three Point Jumper. Assisted by Cameron McGee.,28,55
0:01,-1,Patrick Johnson missed Jumper.,28,55
0:01,2320,Zjori Bosha Defensive Rebound.,28,55
0:00,2320,End of 1st half,28,55
19:48,2320,Colton Weisbrod made Layup.,28,57
19:25,-1,Stephen Igbinosa Turnover.,28,57
19:24,2320,Joey Frenchwood Steal.,28,57
19:21,-1,Foul on Austin Freet.,28,57
19:21,2320,Colton Weisbrod made Free Throw.,28,58
19:21,2320,Colton Weisbrod missed Free Throw.,28,58
19:21,2320,Marcus Owens Offensive Rebound.,28,58
19:09,2320,Joey Frenchwood made Three Point Jumper. Assisted by Torey Noel.,28,61
18:37,-1,Austin Freet Turnover.,28,61
18:36,2320,Joey Frenchwood Steal.,28,61
18:33,2320,Joey Frenchwood missed Layup.,28,61
18:33,-1,Stephen Igbinosa Defensive Rebound.,28,61
18:26,-1,Brian Baehl Turnover.,28,61
18:26,2320,Torey Noel Steal.,28,61
18:26,-1,Foul on Austin Wells.,28,61
18:05,2320,Torey Noel made Three Point Jumper. Assisted by Colton Weisbrod.,28,64
17:47,-1,Brian Baehl Turnover.,28,64
17:23,2320,Joey Frenchwood made Three Point Jumper. Assisted by Colton Weisbrod.,28,67
17:09,-1,Austin Freet made Layup.,30,67
16:57,2320,Colton Weisbrod missed Layup.,30,67
16:57,-1,Stephen Igbinosa Block.,30,67
16:57,-1,Austin Freet Defensive Rebound.,30,67
16:57,2320,Foul on Josh Nzeakor.,30,67
16:32,-1,Jeremy Swisher missed Layup.,30,67
16:32,-1,Stephen Igbinosa Offensive Rebound.,30,67
16:27,-1,Stephen Igbinosa missed Jumper.,30,67
16:27,2320,Marcus Owens Defensive Rebound.,30,67
16:19,2320,Joey Frenchwood missed Layup.,30,67
16:19,-1,Jeremy Swisher Defensive Rebound.,30,67
16:07,-1,Brian Baehl Turnover.,30,67
16:07,2320,Joey Frenchwood Steal.,30,67
16:07,-1,Foul on Brian Baehl.,30,67
15:44,2320,Colton Weisbrod made Layup.,30,69
15:33,-1,Austin Wells missed Three Point Jumper.,30,69
15:33,2320,Zjori Bosha Defensive Rebound.,30,69
15:27,2320,Zjori Bosha made Layup.,30,71
15:27,-1,Foul on Austin Wells.,30,71
15:27,2320,Official TV Timeout,30,71
15:27,2320,Zjori Bosha made Free Throw.,30,72
15:05,-1,Austin Wells Turnover.,30,72
15:04,2320,Josh Nzeakor Steal.,30,72
15:01,2320,Torey Noel Turnover.,30,72
15:01,2320,Foul on Torey Noel.,30,72
14:44,-1,Brian Baehl missed Jumper.,30,72
14:44,2320,Josh Nzeakor Defensive Rebound.,30,72
14:33,-1,Foul on Austin Freet.,30,72
14:21,2320,Joey Frenchwood missed Three Point Jumper.,30,72
14:21,2320,Josh Nzeakor Offensive Rebound.,30,72
14:00,2320,Colton Weisbrod missed Layup.,30,72
14:00,-1,Jp Feider Defensive Rebound.,30,72
13:50,-1,Jeremy Swisher made Three Point Jumper. Assisted by Austin Freet.,33,72
13:42,2320,Zjori Bosha Turnover.,33,72
13:41,-1,Jp Feider Steal.,33,72
13:35,-1,Austin Freet Turnover.,33,72
13:34,2320,Zjori Bosha Steal.,33,72
13:28,2320,Josh Nzeakor Turnover.,33,72
13:27,-1,Brian Baehl Steal.,33,72
13:19,-1,Brian Baehl missed Three Point Jumper.,33,72
13:19,2320,Lamar Defensive Rebound.,33,72
12:51,-1,Foul on Jp Feider.,33,72
12:51,2320,Josh Nzeakor made Free Throw.,33,73
12:51,2320,Josh Nzeakor made Free Throw.,33,74
12:42,-1,Josh Dickerman missed Three Point Jumper.,33,74
12:42,2320,Colton Weisbrod Defensive Rebound.,33,74
12:34,2320,Nick Garth made Layup. Assisted by Joey Frenchwood.,33,76
12:17,-1,Patrick Johnson Turnover.,33,76
12:16,2320,Zjori Bosha Steal.,33,76
11:59,2320,Zjori Bosha missed Jumper.,33,76
11:59,-1,Patrick Johnson Defensive Rebound.,33,76
11:51,-1,Jeremy Swisher Turnover.,33,76
11:51,2320,Zjori Bosha Steal.,33,76
11:51,-1,Foul on Patrick Johnson.,33,76
11:51,2320,Official TV Timeout,33,76
11:38,2320,Joey Frenchwood missed Three Point Jumper.,33,76
11:38,2320,Lamar Offensive Rebound.,33,76
11:20,2320,Colton Weisbrod made Layup.,33,78
10:56,2320,Foul on Zjori Bosha.,33,78
10:43,-1,Jp Feider missed Jumper.,33,78
10:43,2320,Colton Weisbrod Defensive Rebound.,33,78
10:34,2320,Dorian Chatman missed Layup.,33,78
10:34,2320,Dorian Chatman Offensive Rebound.,33,78
10:33,2320,Dorian Chatman made Layup.,33,80
10:06,-1,Patrick Johnson missed Three Point Jumper.,33,80
10:06,2320,Colton Weisbrod Defensive Rebound.,33,80
10:00,2320,Dorian Chatman Turnover.,33,80
9:41,-1,Patrick Johnson missed Jumper.,33,80
9:41,-1,Jp Feider Offensive Rebound.,33,80
9:38,-1,Jp Feider made Layup.,35,80
9:26,-1,Foul on Justin Wade.,35,80
9:26,2320,Cameron McGee made Free Throw.,35,81
9:26,2320,Cameron McGee made Free Throw.,35,82
9:11,-1,Andres Rivera Turnover.,35,82
9:11,2320,Nick Garth Steal.,35,82
9:11,2320,Nick Garth Turnover.,35,82
9:11,-1,Andres Rivera Steal.,35,82
9:11,-1,Austin  Timeout,35,82
9:09,-1,Andres Rivera Turnover.,35,82
9:08,2320,Zjori Bosha Steal.,35,82
9:05,2320,Cameron McGee missed Layup.,35,82
9:05,2320,Dorian Chatman Offensive Rebound.,35,82
9:03,2320,Dorian Chatman made Two Point Tip Shot.,35,84
8:57,2320,Foul on Zjori Bosha.,35,84
8:43,-1,Andres Rivera Turnover.,35,84
8:43,2320,Zjori Bosha Steal.,35,84
8:32,2320,Nick Garth missed Three Point Jumper.,35,84
8:32,2320,Lamar Offensive Rebound.,35,84
8:24,2320,Cameron McGee missed Three Point Jumper.,35,84
8:24,-1,Justin Wade Block.,35,84
8:24,2320,Dorian Chatman Offensive Rebound.,35,84
8:24,2320,Dorian Chatman missed Layup.,35,84
8:14,-1,Justin Wade Block.,35,84
8:14,2320,Dorian Chatman Offensive Rebound.,35,84
8:11,2320,Dorian Chatman made Layup.,35,86
7:53,-1,Justin Wade missed Jumper.,35,86
7:53,2320,Tyrin Atwood Defensive Rebound.,35,86
7:43,2320,Tyrin Atwood made Jumper. Assisted by Dorian Chatman.,35,88
7:30,2320,Foul on Cameron McGee.,35,88
7:30,2320,Official TV Timeout,35,88
7:30,-1,Christian Chiles made Free Throw.,36,88
7:30,-1,Christian Chiles made Free Throw.,37,88
7:17,2320,Terrance Hubby made Layup.,37,90
6:58,-1,John Pass made Layup. Assisted by Andres Rivera.,39,90
6:58,2320,Foul on Tyrin Atwood.,39,90
6:58,-1,John Pass missed Free Throw.,39,90
6:58,2320,Dorian Chatman Defensive Rebound.,39,90
6:49,2320,Lincoln Davis made Layup.,39,92
6:41,-1,Christian Chiles Turnover.,39,92
6:26,2320,Cameron McGee missed Layup.,39,92
6:26,-1,Justin Wade Block.,39,92
6:26,-1,Andres Rivera Defensive Rebound.,39,92
6:18,-1,Andres Rivera Turnover.,39,92
6:17,2320,Tyrin Atwood Steal.,39,92
6:11,2320,Terrance Hubby missed Layup.,39,92
6:11,-1,Christian Chiles Defensive Rebound.,39,92
6:02,-1,Christian Chiles made Jumper.,41,92
5:50,2320,Cameron McGee made Three Point Jumper. Assisted by Lincoln Davis.,41,95
5:35,-1,Christian Chiles made Three Point Jumper.,44,95
5:14,2320,Tyrin Atwood missed Jumper.,44,95
5:14,-1,Jp Feider Block.,44,95
5:14,-1,Jp Feider Defensive Rebound.,44,95
5:08,-1,Andres Rivera made Three Point Jumper. Assisted by Christian Chiles.,47,95
4:50,-1,Foul on Josh Garrett.,47,95
4:50,2320,Christian Albright missed Free Throw.,47,95
4:50,2320,Lamar Deadball Team Rebound.,47,95
4:50,2320,Christian Albright missed Free Throw.,47,95
4:50,-1,John Pass Defensive Rebound.,47,95
4:40,-1,Josh Garrett Turnover.,47,95
4:21,2320,Cameron McGee missed Three Point Jumper.,47,95
4:21,2320,Dorian Chatman Offensive Rebound.,47,95
4:08,-1,Foul on Jp Feider.,47,95
4:08,2320,Dorian Chatman made Free Throw.,47,96
4:08,2320,Dorian Chatman missed Free Throw.,47,96
4:08,-1,Stephen Igbinosa Defensive Rebound.,47,96
4:04,-1,Stephen Igbinosa Turnover.,47,96
4:03,2320,Zjori Bosha Steal.,47,96
4:03,-1,Foul on Stephen Igbinosa.,47,96
4:03,2320,Zjori Bosha missed Free Throw.,47,96
4:03,2320,Lamar Deadball Team Rebound.,47,96
4:03,2320,Zjori Bosha made Free Throw.,47,97
3:49,-1,John Pass missed Jumper.,47,97
3:49,-1,Josh Garrett Offensive Rebound.,47,97
3:45,-1,Andres Rivera made Three Point Jumper. Assisted by Josh Garrett.,50,97
3:29,2320,Zjori Bosha Turnover.,50,97
3:29,2320,Official TV Timeout,50,97
3:29,-1,John Pass made Jumper.,52,97
3:11,2320,Lincoln Davis missed Three Point Jumper.,52,97
3:11,2320,Dorian Chatman Offensive Rebound.,52,97
2:59,2320,Cameron McGee made Three Point Jumper. Assisted by Lincoln Davis.,52,100
2:42,-1,Stephen Igbinosa Turnover.,52,100
2:41,2320,Tyrin Atwood Steal.,52,100
2:39,2320,Cameron McGee made Layup. Assisted by Tyrin Atwood.,52,102
2:31,-1,Christian Chiles missed Layup.,52,102
2:31,-1,Stephen Igbinosa Offensive Rebound.,52,102
2:29,-1,Stephen Igbinosa made Layup.,54,102
2:11,2320,Christian Albright missed Three Point Jumper.,54,102
2:11,2320,Tyrin Atwood Offensive Rebound.,54,102
2:06,2320,Tyrin Atwood made Layup.,54,104
1:47,-1,Will Kollet missed Layup.,54,104
1:47,2320,Christian Albright Block.,54,104
1:47,2320,Dorian Chatman Defensive Rebound.,54,104
1:41,2320,Lincoln Davis made Dunk. Assisted by Dorian Chatman.,54,106
1:32,-1,Christian Chiles missed Three Point Jumper.,54,106
1:32,-1,John Pass Offensive Rebound.,54,106
1:28,-1,John Pass made Two Point Tip Shot.,56,106
1:17,-1,Austin  Timeout,56,106
1:00,2320,Cameron McGee made Three Point Jumper. Assisted by Tyrin Atwood.,56,109
0:48,-1,Will Kollet missed Three Point Jumper.,56,109
0:48,-1,Darrion Oliphant Offensive Rebound.,56,109
0:43,-1,Jacob Nemec made Layup. Assisted by Darrion Oliphant.,58,109
0:23,2320,Cameron McGee missed Jumper.,58,109
0:23,-1,Logan McClure Defensive Rebound.,58,109
0:13,-1,Jordan Rosinbaum missed Three Point Jumper.,58,109
0:13,2320,Cameron McGee Defensive Rebound.,58,109
0:00,2320,End of 2nd half,58,109
0:00,2320,End of Game,58,109
