South Alabama,56,Stetson,6
6:29,6,Shaq Calhoun Defensive Rebound.,27,28
6:11,6,Georgi Boyanov made Three Point Jumper. Assisted by Dederick Lee.,30,28
5:51,56,Foul on Luke Doyle.,30,28
5:51,56,Luke Doyle Turnover.,30,28
5:51,56,Official TV Timeout,30,28
5:39,6,Ken Williams missed Three Point Jumper.,30,28
5:39,56,Divine Myles Defensive Rebound.,30,28
5:36,6,Foul on Trhae Mitchell.,30,28
5:36,56,Divine Myles made Free Throw.,30,29
5:36,56,Divine Myles made Free Throw.,30,30
5:18,6,Georgi Boyanov missed Three Point Jumper.,30,30
5:18,56,Derick Newton Defensive Rebound.,30,30
5:03,56,Foul on Larry Dennis.,30,30
5:03,56,Larry Dennis Turnover.,30,30
4:47,6,Ken Williams missed Layup.,30,30
4:47,6,Josh Ajayi Offensive Rebound.,30,30
4:43,6,Josh Ajayi missed Two Point Tip Shot.,30,30
4:43,56,Angel Rivera Defensive Rebound.,30,30
4:38,6,Foul on Dederick Lee.,30,30
4:38,56,Divine Myles made Free Throw.,30,31
4:38,56,Divine Myles missed Free Throw.,30,31
4:38,6,Don MuepoKelly Defensive Rebound.,30,31
4:22,6,Don MuepoKelly missed Jumper.,30,31
4:22,56,Derick Newton Defensive Rebound.,30,31
4:13,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,30,34
3:53,6,Herb McGee missed Three Point Jumper.,30,34
3:53,56,Brian Pegg Defensive Rebound.,30,34
3:45,6,Foul on Herb McGee.,30,34
3:45,56,Official TV Timeout,30,34
3:45,56,Angel Rivera missed Free Throw.,30,34
3:45,56,Stetson Deadball Team Rebound.,30,34
3:45,56,Angel Rivera made Free Throw.,30,35
3:31,6,Josh Ajayi made Three Point Jumper. Assisted by Ken Williams.,33,35
3:09,56,Derick Newton made Jumper.,33,37
2:49,6,Nick Stover missed Three Point Jumper.,33,37
2:49,56,Brian Pegg Defensive Rebound.,33,37
2:39,56,B.J. Glasford missed Jumper.,33,37
2:39,6,Josh Ajayi Defensive Rebound.,33,37
2:20,56,Foul on B.J. Glasford.,33,37
2:20,6,Ken Williams made Free Throw.,34,37
2:20,6,Ken Williams made Free Throw.,35,37
2:11,56,Derick Newton made Three Point Jumper. Assisted by Divine Myles.,35,40
1:51,6,Ken Williams missed Jumper.,35,40
1:51,56,B.J. Glasford Defensive Rebound.,35,40
1:45,56,B.J. Glasford made Layup.,35,42
1:45,6,Foul on Herb McGee.,35,42
1:45,56,B.J. Glasford made Free Throw.,35,43
1:32,56,Foul on Luke Doyle.,35,43
1:32,6,Nick Stover made Free Throw.,36,43
1:32,6,Nick Stover made Free Throw.,37,43
1:16,56,Derick Newton missed Jumper.,37,43
1:16,6,Georgi Boyanov Defensive Rebound.,37,43
0:59,6,Nick Stover made Layup. Assisted by Don MuepoKelly.,39,43
0:50,56,Derick Newton Turnover.,39,43
0:34,6,Nick Stover missed Three Point Jumper.,39,43
0:34,56,Leo Goodman Defensive Rebound.,39,43
0:25,56,Stetson  Timeout,39,43
0:01,56,Divine Myles Turnover.,39,43
0:01,6,South Alabama  Timeout,39,43
0:00,6,Don MuepoKelly missed Three Point Jumper.,39,43
0:00,56,Stetson Defensive Rebound.,39,43
0:00,56,End of 1st half,39,43
19:34,6,Georgi Boyanov made Layup. Assisted by Don MuepoKelly.,41,43
19:19,56,Derick Newton missed Layup.,41,43
19:19,6,Herb McGee Defensive Rebound.,41,43
19:07,6,Shaq Calhoun made Jumper.,43,43
18:48,56,Divine Myles Turnover.,43,43
18:47,6,Herb McGee Steal.,43,43
18:28,6,Don MuepoKelly made Layup. Assisted by Georgi Boyanov.,45,43
18:10,56,Larry Dennis missed Layup.,45,43
18:10,6,Ken Williams Defensive Rebound.,45,43
17:58,6,Don MuepoKelly made Layup. Assisted by Ken Williams.,47,43
17:51,56,Angel Rivera Turnover.,47,43
17:51,56,Stetson  Timeout,47,43
17:51,56,Official TV Timeout,47,43
17:42,56,Foul on B.J. Glasford.,47,43
17:42,6,Ken Williams missed Free Throw.,47,43
17:42,6,South Alabama Deadball Team Rebound.,47,43
17:42,6,Ken Williams made Free Throw.,48,43
17:42,6,Ken Williams made Free Throw.,49,43
17:32,56,Brian Pegg Turnover.,49,43
17:31,6,Don MuepoKelly Steal.,49,43
17:17,6,Ken Williams missed Jumper.,49,43
17:17,56,B.J. Glasford Defensive Rebound.,49,43
17:01,56,Foul on Brian Pegg.,49,43
17:01,56,Brian Pegg Turnover.,49,43
16:43,6,Foul on Georgi Boyanov.,49,43
16:43,6,Georgi Boyanov Turnover.,49,43
16:35,56,Luke Doyle missed Three Point Jumper.,49,43
16:35,6,Don MuepoKelly Defensive Rebound.,49,43
16:17,6,Georgi Boyanov missed Layup.,49,43
16:17,56,Derick Newton Defensive Rebound.,49,43
16:08,56,Angel Rivera made Layup.,49,45
16:08,6,Foul on Herb McGee.,49,45
16:08,56,Angel Rivera missed Free Throw.,49,45
16:08,6,Don MuepoKelly Defensive Rebound.,49,45
15:53,6,Shaq Calhoun missed Three Point Jumper.,49,45
15:53,56,Brian Pegg Defensive Rebound.,49,45
15:45,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,49,48
15:15,6,Don MuepoKelly made Layup. Assisted by Georgi Boyanov.,51,48
15:00,56,Brian Pegg made Jumper. Assisted by Angel Rivera.,51,50
14:40,6,Georgi Boyanov Turnover.,51,50
14:37,56,Angel Rivera Steal.,51,50
14:32,56,Luke Doyle made Layup.,51,52
14:09,6,Ken Williams missed Layup.,51,52
14:09,56,Luke Doyle Defensive Rebound.,51,52
14:04,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,51,55
14:00,6,South Alabama  Timeout,51,55
14:00,56,Official TV Timeout,51,55
13:43,6,Shaq Calhoun Turnover.,51,55
13:21,56,Derick Newton missed Three Point Jumper.,51,55
13:21,56,B.J. Glasford Offensive Rebound.,51,55
13:16,56,B.J. Glasford missed Layup.,51,55
13:16,6,Josh Ajayi Defensive Rebound.,51,55
12:54,6,Shaq Calhoun missed Jumper.,51,55
12:54,56,Angel Rivera Defensive Rebound.,51,55
12:47,56,Luke Doyle missed Three Point Jumper.,51,55
12:47,6,Georgi Boyanov Defensive Rebound.,51,55
12:40,6,Nick Stover made Layup. Assisted by Georgi Boyanov.,53,55
12:27,6,Foul on Dederick Lee.,53,55
12:24,56,Luke Doyle missed Jumper.,53,55
12:24,6,Nick Stover Defensive Rebound.,53,55
12:04,6,Josh Ajayi made Three Point Jumper. Assisted by Dederick Lee.,56,55
11:47,56,Brian Pegg missed Layup.,56,55
11:47,6,Josh Ajayi Defensive Rebound.,56,55
11:38,56,Foul on Luke Doyle.,56,55
11:38,56,Official TV Timeout,56,55
11:37,6,Dederick Lee made Free Throw.,57,55
11:37,6,Dederick Lee missed Free Throw.,57,55
11:37,6,Josh Ajayi Offensive Rebound.,57,55
11:36,6,Josh Ajayi made Layup.,59,55
11:18,6,Foul on Nick Stover.,59,55
11:16,56,Angel Rivera Turnover.,59,55
11:16,6,Josh Ajayi Steal.,59,55
11:14,6,Josh Ajayi made Dunk.,61,55
10:59,56,Clay Verk made Layup. Assisted by Divine Myles.,61,57
10:43,6,Don MuepoKelly made Jumper. Assisted by Dederick Lee.,63,57
10:33,56,Angel Rivera missed Layup.,63,57
10:33,6,Josh Ajayi Defensive Rebound.,63,57
10:22,6,Josh Ajayi missed Jumper.,63,57
10:22,56,Angel Rivera Defensive Rebound.,63,57
10:14,6,Foul on Shaq Calhoun.,63,57
10:14,56,Divine Myles made Free Throw.,63,58
10:14,56,Divine Myles made Free Throw.,63,59
10:02,6,Nick Stover missed Layup.,63,59
10:02,56,B.J. Glasford Block.,63,59
10:01,56,B.J. Glasford Defensive Rebound.,63,59
9:56,6,Foul on Don MuepoKelly.,63,59
9:56,56,Divine Myles made Free Throw.,63,60
9:55,56,Divine Myles made Free Throw.,63,61
9:36,6,Don MuepoKelly made Layup.,65,61
9:36,56,Foul on Clay Verk.,65,61
9:36,6,Don MuepoKelly made Free Throw.,66,61
9:22,6,Foul on Josh Ajayi.,66,61
9:22,56,Brian Pegg missed Free Throw.,66,61
9:22,56,Stetson Deadball Team Rebound.,66,61
9:22,56,Brian Pegg made Free Throw.,66,62
8:58,6,Nick Stover missed Jumper.,66,62
8:58,6,Georgi Boyanov Offensive Rebound.,66,62
8:53,6,Georgi Boyanov Turnover.,66,62
8:52,56,Divine Myles Steal.,66,62
8:36,56,Divine Myles made Three Point Jumper. Assisted by Angel Rivera.,66,65
8:07,6,Ken Williams made Three Point Jumper. Assisted by Dederick Lee.,69,65
7:52,56,Brian Pegg made Layup. Assisted by Angel Rivera.,69,67
7:28,6,Dederick Lee missed Three Point Jumper.,69,67
7:28,6,Don MuepoKelly Offensive Rebound.,69,67
7:14,6,Georgi Boyanov missed Three Point Jumper.,69,67
7:14,56,B.J. Glasford Defensive Rebound.,69,67
7:04,56,Derick Newton missed Three Point Jumper.,69,67
7:04,56,Derick Newton Offensive Rebound.,69,67
7:00,6,Foul on Ken Williams.,69,67
7:00,56,Official TV Timeout,69,67
6:59,56,Derick Newton made Free Throw.,69,68
6:59,56,Derick Newton made Free Throw.,69,69
6:49,6,Don MuepoKelly made Layup.,71,69
6:49,56,Foul on Brian Pegg.,71,69
6:49,6,Don MuepoKelly made Free Throw.,72,69
6:23,56,Angel Rivera Turnover.,72,69
6:23,6,Dederick Lee Steal.,72,69
6:21,6,Nick Stover Turnover.,72,69
5:56,56,Derick Newton made Jumper. Assisted by Angel Rivera.,72,71
5:38,6,Nick Stover made Jumper.,74,71
5:19,6,Foul on Don MuepoKelly.,74,71
5:19,56,Brian Pegg made Free Throw.,74,72
5:18,56,Brian Pegg made Free Throw.,74,73
5:04,6,Don MuepoKelly Turnover.,74,73
5:03,56,Derick Newton Steal.,74,73
5:02,6,Foul on Dederick Lee.,74,73
5:02,56,Derick Newton made Free Throw.,74,74
5:02,56,Derick Newton made Free Throw.,74,75
4:48,6,Ken Williams made Jumper.,76,75
4:35,56,B.J. Glasford Turnover.,76,75
4:08,6,Ken Williams missed Jumper.,76,75
4:08,56,Derick Newton Defensive Rebound.,76,75
3:47,56,Brian Pegg missed Layup.,76,75
3:47,6,Nick Stover Block.,76,75
3:47,56,Stetson Offensive Rebound.,76,75
3:47,56,Official TV Timeout,76,75
3:40,56,Derick Newton made Jumper.,76,77
3:21,6,Georgi Boyanov made Layup.,78,77
3:05,56,Brian Pegg Turnover.,78,77
3:02,6,Don MuepoKelly Steal.,78,77
2:50,6,Herb McGee Turnover.,78,77
2:40,56,Divine Myles made Layup.,78,79
2:23,6,Ken Williams missed Three Point Jumper.,78,79
2:23,56,Luke Doyle Defensive Rebound.,78,79
2:05,56,Derick Newton made Three Point Jumper. Assisted by Divine Myles.,78,82
1:56,6,Nick Stover missed Three Point Jumper.,78,82
1:56,56,Divine Myles Defensive Rebound.,78,82
1:27,56,Luke Doyle missed Three Point Jumper.,78,82
1:27,6,Nick Stover Defensive Rebound.,78,82
1:22,6,Nick Stover Turnover.,78,82
0:56,56,Angel Rivera made Layup.,78,84
0:45,6,Georgi Boyanov Turnover.,78,84
0:45,56,Brian Pegg Steal.,78,84
0:38,56,Stetson  Timeout,78,84
0:26,6,Foul on Georgi Boyanov.,78,84
0:26,56,Divine Myles missed Free Throw.,78,84
0:26,56,Stetson Deadball Team Rebound.,78,84
0:26,56,Divine Myles made Free Throw.,78,85
0:21,6,Dederick Lee missed Layup.,78,85
0:21,56,Divine Myles Defensive Rebound.,78,85
0:13,6,Foul on Shaq Calhoun.,78,85
0:13,56,Angel Rivera made Free Throw.,78,86
0:13,56,Angel Rivera made Free Throw.,78,87
0:09,6,Nick Stover missed Three Point Jumper.,78,87
0:09,56,B.J. Glasford Defensive Rebound.,78,87
0:01,56,B.J. Glasford Turnover.,78,87
0:00,6,Dederick Lee missed Three Point Jumper.,78,87
0:00,6,South Alabama Deadball Team Rebound.,78,87
0:00,56,End of Game,78,87
