Johnson &amp; Wales (NC),Error,Charleston Southern,2127
7:21,-1,Johnson & Wales (NC) Offensive Rebound.,42,85
7:20,2127,Foul on Jordan Jones.,42,85
7:20,2127,Official TV Timeout,42,85
7:19,-1,Javon Smith Turnover.,42,85
7:19,2127,Armel Potter Steal.,42,85
7:15,2127,Armel Potter made Layup. Assisted by Raemond Robinson.,42,87
6:57,2127,Foul on Antwan Maxwell Jr..,42,87
6:57,-1,Rickey Porter missed Free Throw.,42,87
6:57,-1,Johnson & Wales (NC) Deadball Team Rebound.,42,87
6:57,-1,Rickey Porter made Free Throw.,43,87
6:39,2127,Armel Potter missed Three Point Jumper.,43,87
6:39,-1,Davian Bryan Defensive Rebound.,43,87
6:25,-1,Javon Smith missed Jumper.,43,87
6:25,2127,Christian Keeling Defensive Rebound.,43,87
6:11,2127,Antwan Maxwell Jr. made Jumper.,43,89
5:41,-1,Majerle Poole missed Three Point Jumper.,43,89
5:41,2127,Antwan Maxwell Jr. Defensive Rebound.,43,89
5:21,2127,Jordan Jones Turnover.,43,89
5:19,-1,Davian Bryan Steal.,43,89
5:16,-1,Majerle Poole missed Layup.,43,89
5:16,2127,Zach Durkee Block.,43,89
5:15,2127,Armel Potter Defensive Rebound.,43,89
5:10,2127,Christian Keeling made Layup.,43,91
4:55,-1,Alcyone Moore missed Three Point Jumper.,43,91
4:55,2127,Armel Potter Defensive Rebound.,43,91
4:34,2127,Jordan Jones made Layup. Assisted by Armel Potter.,43,93
4:15,2127,Foul on Antwan Maxwell Jr..,43,93
4:15,-1,Majerle Poole made Free Throw.,44,93
4:15,-1,Majerle Poole made Free Throw.,45,93
4:03,2127,Zach Durkee missed Layup.,45,93
4:03,-1,Davian Bryan Block.,45,93
4:02,-1,Jarrett Ballard Defensive Rebound.,45,93
3:57,-1,Alcyone Moore made Layup. Assisted by Jarrett Ballard.,47,93
3:46,2127,Antwan Maxwell Jr. made Jumper.,47,95
3:23,-1,Alcyone Moore made Jumper.,49,95
3:03,2127,Official TV Timeout,49,95
2:52,-1,Foul on James Veal.,49,95
2:52,2127,Antwan Maxwell Jr. missed Free Throw.,49,95
2:52,2127,Charleston Southern Deadball Team Rebound.,49,95
2:52,2127,Antwan Maxwell Jr. missed Free Throw.,49,95
2:52,2127,TayVaughn Major Offensive Rebound.,49,95
2:42,2127,Antwan Maxwell Jr. missed Three Point Jumper.,49,95
2:42,2127,Jordan Jones Offensive Rebound.,49,95
2:37,2127,Jordan Jones Turnover.,49,95
2:20,-1,Alcyone Moore missed Three Point Jumper.,49,95
2:20,2127,Antwan Maxwell Jr. Defensive Rebound.,49,95
2:10,2127,TayVaughn Major missed Layup.,49,95
2:10,-1,Davian Bryan Defensive Rebound.,49,95
2:00,-1,Jonathan Paramore missed Three Point Jumper.,49,95
2:00,2127,Antwan Maxwell Jr. Defensive Rebound.,49,95
1:49,2127,Antwan Maxwell Jr. Turnover.,49,95
1:48,-1,Jonathan Paramore Steal.,49,95
1:36,-1,Chris Greer Turnover.,49,95
1:35,2127,Zach Durkee Steal.,49,95
1:33,2127,Zach Durkee missed Layup.,49,95
1:33,2127,Brock Johnson Offensive Rebound.,49,95
1:26,2127,TayVaughn Major made Layup. Assisted by Zach Durkee.,49,97
1:14,2127,Foul on TayVaughn Major.,49,97
1:14,-1,Alcyone Moore missed Free Throw.,49,97
1:14,2127,Antwan Maxwell Jr. Defensive Rebound.,49,97
0:53,2127,Brock Johnson missed Three Point Jumper.,49,97
0:53,2127,Antwan Maxwell Jr. Offensive Rebound.,49,97
0:47,2127,Zach Durkee missed Three Point Jumper.,49,97
0:47,-1,Jonathan Paramore Defensive Rebound.,49,97
0:42,-1,Alcyone Moore made Jumper. Assisted by Jonathan Paramore.,51,97
0:32,2127,Zach Durkee made Layup.,51,99
0:32,-1,Foul on Chris Greer.,51,99
0:32,2127,Zach Durkee made Free Throw.,51,100
0:14,-1,Davian Bryan made Jumper.,53,100
0:00,2127,End of Game,54,100
