Army,2405,Monmouth,349
9:59,2405,Mustapha Traore Turnover.,16,21
9:48,349,Jordan Fox made Jumper. Assisted by Mac Hoffman.,18,21
9:34,2405,Je'lon Hornbeak made Layup.,18,23
9:24,349,Luke Morrison missed Three Point Jumper.,18,23
9:24,349,Thomas Funk Offensive Rebound.,18,23
9:11,349,Luke Morrison missed Three Point Jumper.,18,23
9:11,349,Mac Hoffman Offensive Rebound.,18,23
9:01,349,Jacob Kessler Turnover.,18,23
8:59,2405,Mustapha Traore Steal.,18,23
8:57,2405,Je'lon Hornbeak missed Three Point Jumper.,18,23
8:57,349,Army Defensive Rebound.,18,23
8:41,349,Thomas Funk Turnover.,18,23
8:40,2405,Mustapha Traore Steal.,18,23
8:35,2405,Je'lon Hornbeak missed Three Point Jumper.,18,23
8:35,349,Army Defensive Rebound.,18,23
8:17,349,Mac Hoffman missed Jumper.,18,23
8:17,349,Luke Morrison Offensive Rebound.,18,23
8:03,349,Thomas Funk missed Jumper.,18,23
8:03,349,Army Offensive Rebound.,18,23
7:59,2405,Official TV Timeout,18,23
7:40,349,Scott Mammel Turnover.,18,23
7:40,2405,Diago Quinn Steal.,18,23
7:40,349,Foul on Jordan Fox.,18,23
7:19,2405,Collin Stewart made Layup.,18,25
7:02,2405,Foul on Diago Quinn.,18,25
7:02,349,Kennedy Edwards missed Free Throw.,18,25
7:02,349,Army Deadball Team Rebound.,18,25
7:02,349,Kennedy Edwards made Free Throw.,19,25
6:54,2405,Pierre Sarr made Layup.,19,27
6:41,349,John Emezie missed Jumper.,19,27
6:41,2405,Austin Tilghman Defensive Rebound.,19,27
6:31,349,Foul on John Emezie.,19,27
6:22,2405,Austin Tilghman made Layup.,19,29
6:14,349,John Emezie missed Three Point Jumper.,19,29
6:14,349,Mac Hoffman Offensive Rebound.,19,29
6:09,349,Mac Hoffman missed Layup.,19,29
6:09,2405,Diago Quinn Block.,19,29
6:08,2405,Collin Stewart Defensive Rebound.,19,29
5:47,2405,Austin Tilghman missed Layup.,19,29
5:47,349,Mac Hoffman Defensive Rebound.,19,29
5:39,349,Jordan Fox made Three Point Jumper. Assisted by Scott Mammel.,22,29
5:35,349,Army  Timeout,22,29
5:20,2405,Je'lon Hornbeak missed Three Point Jumper.,22,29
5:20,349,Luke Morrison Defensive Rebound.,22,29
5:11,349,Luke Morrison missed Three Point Jumper.,22,29
5:11,2405,Micah Seaborn Defensive Rebound.,22,29
5:04,2405,Diago Quinn made Layup. Assisted by Micah Seaborn.,22,31
4:49,349,Thomas Funk missed Jumper.,22,31
4:49,349,Mac Hoffman Offensive Rebound.,22,31
4:36,349,Thomas Funk missed Three Point Jumper.,22,31
4:36,2405,Pierre Sarr Defensive Rebound.,22,31
4:17,2405,Pierre Sarr missed Three Point Jumper.,22,31
4:17,2405,Monmouth Offensive Rebound.,22,31
4:05,349,Foul on Jordan Fox.,22,31
4:05,2405,Micah Seaborn made Free Throw.,22,32
4:05,2405,Micah Seaborn missed Free Throw.,22,32
4:05,2405,Monmouth Deadball Team Rebound.,22,32
4:05,2405,Micah Seaborn made Free Throw.,22,33
3:41,349,Jacob Kessler missed Jumper.,22,33
3:41,2405,Je'lon Hornbeak Defensive Rebound.,22,33
3:37,349,Foul on Jordan Fox.,22,33
3:37,2405,Official TV Timeout,22,33
3:37,2405,Je'lon Hornbeak made Free Throw.,22,34
3:37,2405,Je'lon Hornbeak made Free Throw.,22,35
3:18,349,Scott Mammel missed Layup.,22,35
3:18,2405,Je'lon Hornbeak Block.,22,35
3:14,2405,Pierre Sarr Defensive Rebound.,22,35
3:09,349,Foul on Matthew Wilson.,22,35
3:09,2405,Micah Seaborn missed Free Throw.,22,35
3:09,2405,Monmouth Deadball Team Rebound.,22,35
3:09,2405,Micah Seaborn made Free Throw.,22,36
2:43,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,24,36
2:43,2405,Foul on Diago Quinn.,24,36
2:43,349,Matthew Wilson missed Free Throw.,24,36
2:43,2405,Justin Robinson Defensive Rebound.,24,36
2:36,2405,Micah Seaborn missed Three Point Jumper.,24,36
2:36,349,Thomas Funk Defensive Rebound.,24,36
2:21,349,Thomas Funk Turnover.,24,36
2:10,2405,Je'lon Hornbeak made Dunk. Assisted by Justin Robinson.,24,38
2:01,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,26,38
1:51,2405,Justin Robinson missed Layup.,26,38
1:51,349,Thomas Funk Defensive Rebound.,26,38
1:48,2405,Foul on Sam Ibiezugbe.,26,38
1:17,349,John Emezie missed Layup.,26,38
1:17,349,Jacob Kessler Offensive Rebound.,26,38
1:12,349,Jacob Kessler made Layup.,28,38
1:00,2405,Chris Brady missed Jumper.,28,38
1:00,349,Scott Mammel Defensive Rebound.,28,38
0:41,349,Thomas Funk made Layup.,30,38
0:09,2405,Je'lon Hornbeak missed Three Point Jumper.,30,38
0:09,349,Matthew Wilson Defensive Rebound.,30,38
0:04,349,Scott Mammel missed Three Point Jumper.,30,38
0:04,349,Jacob Kessler Offensive Rebound.,30,38
0:00,349,Jacob Kessler missed Jumper.,30,38
0:00,349,Army Deadball Team Rebound.,30,38
0:00,2405,End of 1st half,30,38
19:41,349,Thomas Funk missed Jumper.,30,38
19:41,2405,Pierre Sarr Defensive Rebound.,30,38
19:34,2405,Justin Robinson missed Three Point Jumper.,30,38
19:34,349,Jordan Fox Defensive Rebound.,30,38
19:26,349,John Emezie missed Three Point Jumper.,30,38
19:26,2405,Chris Brady Defensive Rebound.,30,38
19:13,2405,Micah Seaborn missed Layup.,30,38
