TENN Wesleyan,Error,Chattanooga,236
10:52,236,Tre' McLean made Dunk.,5,31
10:26,-1,Todd Lansden made Jumper. Assisted by Tre Tiller.,7,31
10:03,236,Tre' McLean made Three Point Jumper. Assisted by Casey Jones.,7,34
9:36,-1,Jordan Hall missed Three Point Jumper.,7,34
9:36,236,Justin Tuoyo Defensive Rebound.,7,34
9:33,-1,Foul on Todd Lansden.,7,34
9:23,236,Casey Jones missed Jumper.,7,34
9:23,-1,Aundre Reid Defensive Rebound.,7,34
9:16,-1,Tre Tiller missed Three Point Jumper.,7,34
9:16,-1,Will Gardner Offensive Rebound.,7,34
9:10,-1,Will Gardner missed Jumper.,7,34
9:10,236,Justin Tuoyo Block.,7,34
9:08,236,Makinde London Defensive Rebound.,7,34
8:55,236,Casey Jones made Layup.,7,36
8:35,-1,Tre Tiller missed Three Point Jumper.,7,36
8:35,236,Makinde London Defensive Rebound.,7,36
8:24,236,Foul on Justin Tuoyo.,7,36
8:24,236,Justin Tuoyo Turnover.,7,36
8:09,236,Foul on Casey Jones.,7,36
7:54,-1,Qd Cox made Layup. Assisted by Will Gardner.,9,36
7:47,236,Justin Tuoyo Turnover.,9,36
7:47,-1,Tennessee Wesleyan  Timeout,9,36
7:30,-1,Kenny Dean Turnover.,9,36
7:17,-1,Foul on Will Gardner.,9,36
7:17,236,Casey Jones made Free Throw.,9,37
7:17,236,Casey Jones made Free Throw.,9,38
6:51,-1,Lenny Pradia missed Jumper.,9,38
6:51,236,Tre' McLean Defensive Rebound.,9,38
6:40,236,Rodney Chatman made Layup.,9,40
6:25,-1,Qd Cox missed Three Point Jumper.,9,40
6:25,236,Makinde London Defensive Rebound.,9,40
6:14,236,Rodney Chatman made Layup.,9,42
5:44,-1,Foul on Tre Tiller.,9,42
5:44,-1,Tre Tiller Turnover.,9,42
5:33,236,Trayvond Massenburg made Layup. Assisted by Rodney Chatman.,9,44
5:04,-1,Aundre Reid Turnover.,9,44
5:02,236,Rodney Chatman Steal.,9,44
5:02,-1,Foul on Aundre Reid.,9,44
5:02,236,Rodney Chatman missed Free Throw.,9,44
5:02,-1,Tre Tiller Defensive Rebound.,9,44
4:38,-1,Tre Tiller missed Jumper.,9,44
4:38,236,Trayvond Massenburg Block.,9,44
4:36,-1,Tre Tiller Offensive Rebound.,9,44
4:34,-1,Tre Tiller Turnover.,9,44
4:34,236,Trayvond Massenburg Steal.,9,44
4:34,-1,Foul on Aundre Reid.,9,44
4:34,236,Nat Dixon made Free Throw.,9,45
4:34,236,Nat Dixon missed Free Throw.,9,45
4:34,-1,Will Gardner Defensive Rebound.,9,45
4:21,-1,Will Gardner missed Jumper.,9,45
4:21,236,Trayvond Massenburg Defensive Rebound.,9,45
4:11,236,Makale Foreman made Three Point Jumper. Assisted by Rodney Chatman.,9,48
3:43,236,Foul on Trayvond Massenburg.,9,48
3:43,-1,Tennessee Wesleyan  Timeout,9,48
3:27,-1,Qd Cox missed Three Point Jumper.,9,48
3:27,236,Justin Tuoyo Defensive Rebound.,9,48
3:06,236,Justin Tuoyo made Dunk. Assisted by Casey Jones.,9,50
2:57,-1,Lenny Pradia Turnover.,9,50
2:56,236,Casey Jones Steal.,9,50
2:52,236,Casey Jones missed Layup.,9,50
2:52,-1,Tre Tiller Block.,9,50
2:50,-1,Qd Cox Defensive Rebound.,9,50
2:44,-1,Kenny Dean missed Layup.,9,50
2:44,236,Justin Tuoyo Defensive Rebound.,9,50
2:37,236,Greg Pryor missed Jumper.,9,50
2:37,236,Greg Pryor Offensive Rebound.,9,50
2:33,236,Greg Pryor made Layup.,9,52
2:25,-1,Tre Tiller made Three Point Jumper.,12,52
2:03,236,Justin Tuoyo missed Three Point Jumper.,12,52
2:03,-1,Lenny Pradia Defensive Rebound.,12,52
1:45,236,Foul on Johnathan Burroughs-Cook.,12,52
1:45,-1,Tre Tiller made Free Throw.,13,52
1:45,-1,Tre Tiller made Free Throw.,14,52
1:28,236,Tre' McLean missed Layup.,14,52
1:28,-1,Will Gardner Defensive Rebound.,14,52
1:23,-1,Kenny Dean Steal.,14,52
1:22,-1,Kenny Dean missed Jumper.,14,52
1:21,236,Casey Jones Block.,14,52
1:20,236,Casey Jones Defensive Rebound.,14,52
1:09,236,Greg Pryor Turnover.,14,52
1:03,-1,Lenny Pradia Turnover.,14,52
1:02,236,Tre' McLean Steal.,14,52
1:00,236,Tre' McLean made Dunk.,14,54
0:45,-1,Foul on Qd Cox.,14,54
0:45,-1,Qd Cox Turnover.,14,54
0:26,-1,Foul on Will Gardner.,14,54
0:26,236,Johnathan Burroughs-Cook made Free Throw.,14,55
0:26,236,Johnathan Burroughs-Cook made Free Throw.,14,56
0:04,-1,Tre Tiller Turnover.,14,56
0:00,236,End of 1st half,14,56
19:46,-1,Tre Tiller Turnover.,14,56
19:46,236,Greg Pryor Steal.,14,56
19:22,236,Tre' McLean missed Jumper.,14,56
19:22,236,Tre' McLean Offensive Rebound.,14,56
19:18,236,Tre' McLean made Two Point Tip Shot.,14,58
19:09,-1,Qd Cox made Layup. Assisted by Lenny Pradia.,16,58
18:52,236,Casey Jones made Layup. Assisted by Justin Tuoyo.,16,60
18:38,-1,Tre Tiller missed Jumper.,16,60
18:38,236,Greg Pryor Defensive Rebound.,16,60
18:24,-1,Foul on Tre Tiller.,16,60
18:24,236,Tre' McLean made Free Throw.,16,61
18:24,236,Tre' McLean missed Free Throw.,16,61
18:24,-1,Will Gardner Defensive Rebound.,16,61
18:07,-1,Qd Cox made Three Point Jumper.,19,61
17:56,-1,Foul on Kenny Dean.,19,61
17:54,-1,Foul on Kenny Dean.,19,61
17:47,236,Makinde London made Layup.,19,63
17:27,-1,Tre Tiller made Layup. Assisted by Lenny Pradia.,21,63
17:18,236,Makinde London made Three Point Jumper. Assisted by Rodney Chatman.,21,66
17:05,-1,Foul on Will Gardner.,21,66
17:05,-1,Will Gardner Turnover.,21,66
16:55,236,Johnathan Burroughs-Cook missed Three Point Jumper.,21,66
16:55,-1,Will Gardner Defensive Rebound.,21,66
16:47,-1,Kenny Dean missed Layup.,21,66
16:47,236,Makinde London Block.,21,66
16:45,236,Rodney Chatman Defensive Rebound.,21,66
16:34,236,Nat Dixon Turnover.,21,66
16:32,-1,Lenny Pradia Steal.,21,66
16:30,-1,Tre Tiller made Dunk.,23,66
16:06,236,Johnathan Burroughs-Cook made Free Throw.,23,68
16:06,236,Johnathan Burroughs-Cook made Free Throw.,23,67
16:06,-1,Foul on Qd Cox.,23,67
16:00,-1,Lenny Pradia missed Three Point Jumper.,23,68
16:00,236,Rodney Chatman Defensive Rebound.,23,68
15:54,236,Makale Foreman made Layup.,23,70
15:54,-1,Foul on Lenny Pradia.,23,70
15:54,236,Chattanooga  Timeout,23,70
15:54,236,Makale Foreman missed Free Throw.,23,70
15:54,236,Nat Dixon Offensive Rebound.,23,70
15:45,236,Foul on Makinde London.,23,70
15:36,-1,Qd Cox missed Jumper.,23,70
15:36,236,Chattanooga Defensive Rebound.,23,70
15:25,-1,Lenny Pradia made Layup.,25,70
15:25,236,Foul on Makale Foreman.,25,70
15:25,-1,Lenny Pradia made Free Throw.,26,70
15:22,-1,Aundre Reid missed Three Point Jumper.,26,70
15:22,-1,Jordan Hall Offensive Rebound.,26,70
15:17,-1,Jordan Hall missed Two Point Tip Shot.,26,70
15:17,236,Greg Pryor Defensive Rebound.,26,70
15:01,-1,Qd Cox made Jumper.,28,70
14:46,236,Makinde London missed Three Point Jumper.,28,70
14:46,-1,Lenny Pradia Defensive Rebound.,28,70
14:38,-1,Qd Cox missed Three Point Jumper.,28,70
14:38,236,Nat Dixon Defensive Rebound.,28,70
14:15,236,Rodney Chatman Turnover.,28,70
14:13,-1,Qd Cox Steal.,28,70
14:11,-1,Qd Cox missed Layup.,28,70
14:11,-1,Tre Tiller Offensive Rebound.,28,70
14:07,-1,Tre Tiller made Two Point Tip Shot.,30,70
13:41,236,Makale Foreman made Three Point Jumper. Assisted by Nat Dixon.,30,73
13:28,-1,Tre Tiller Turnover.,30,73
12:57,236,Peyton Woods missed Three Point Jumper.,30,73
12:57,236,Rodney Chatman Offensive Rebound.,30,73
12:53,-1,Foul on Aundre Reid.,30,73
12:53,236,Makale Foreman missed Free Throw.,30,73
12:53,236,Nat Dixon Offensive Rebound.,30,73
12:42,236,Nat Dixon missed Layup.,30,73
12:42,-1,Keno Jones Block.,30,73
12:39,-1,Aundre Reid Defensive Rebound.,30,73
12:35,-1,Keno Jones made Layup. Assisted by Tre Tiller.,32,73
12:25,236,Nat Dixon missed Jumper.,32,73
12:25,-1,Keno Jones Defensive Rebound.,32,73
12:15,-1,Keno Jones missed Jumper.,32,73
12:15,236,Trayvond Massenburg Defensive Rebound.,32,73
12:07,236,Peyton Woods missed Three Point Jumper.,32,73
12:07,-1,Keno Jones Defensive Rebound.,32,73
11:55,-1,Aundre Reid made Three Point Jumper.,35,73
11:39,236,Makale Foreman made Three Point Jumper.,35,76
11:19,-1,Keno Jones made Jumper.,37,76
11:00,236,Rodney Chatman made Three Point Jumper.,37,79
10:44,236,Foul on Trayvond Massenburg.,37,79
10:44,-1,Tennessee Wesleyan  Timeout,37,79
10:44,-1,Tre Tiller made Free Throw.,38,79
10:44,-1,Tre Tiller made Free Throw.,39,79
10:30,236,Makale Foreman missed Three Point Jumper.,39,79
10:30,236,Dylan Brewster Offensive Rebound.,39,79
10:19,236,Dylan Brewster missed Three Point Jumper.,39,79
10:19,-1,Tennessee Wesleyan Defensive Rebound.,39,79
10:01,-1,Aundre Reid missed Three Point Jumper.,39,79
10:01,236,Trayvond Massenburg Defensive Rebound.,39,79
9:51,236,Dylan Brewster made Three Point Jumper. Assisted by Makale Foreman.,39,82
9:31,-1,Aundre Reid missed Three Point Jumper.,39,82
9:31,236,Rodney Chatman Defensive Rebound.,39,82
9:19,236,Peyton Woods made Three Point Jumper.,39,85
9:02,-1,Aundre Reid missed Three Point Jumper.,39,85
9:02,236,Rodney Chatman Defensive Rebound.,39,85
8:44,236,Rodney Chatman Turnover.,39,85
8:25,-1,Keno Jones missed Jumper.,39,85
8:25,236,Trayvond Massenburg Defensive Rebound.,39,85
8:09,-1,Foul on Lenny Pradia.,39,85
8:09,236,Trayvond Massenburg missed Free Throw.,39,85
8:09,-1,Keno Jones Defensive Rebound.,39,85
8:04,-1,Todd Lansden made Layup. Assisted by Lenny Pradia.,41,85
7:47,236,Trayvond Massenburg missed Jumper.,41,85
7:47,-1,Lenny Pradia Defensive Rebound.,41,85
7:43,-1,Qd Cox made Layup. Assisted by Lenny Pradia.,43,85
7:42,236,Foul on Rodney Chatman.,43,85
7:42,236,Official TV Timeout,43,85
7:42,-1,Qd Cox made Free Throw.,44,85
7:38,236,Peyton Woods made Three Point Jumper. Assisted by Rodney Chatman.,44,88
7:22,236,Foul on Makale Foreman.,44,88
7:15,-1,Todd Lansden made Layup. Assisted by Keno Jones.,46,88
6:53,236,Trayvond Massenburg made Layup.,46,90
6:41,-1,Todd Lansden missed Jumper.,46,90
6:41,-1,Keno Jones Offensive Rebound.,46,90
6:37,-1,Keno Jones made Layup.,48,90
6:24,236,Rodney Chatman made Jumper.,48,92
6:05,-1,Keno Jones Turnover.,48,92
6:03,236,Trayvond Massenburg Steal.,48,92
5:59,236,Dylan Brewster made Three Point Jumper. Assisted by Rodney Chatman.,48,95
5:46,-1,Jordan Hall missed Three Point Jumper.,48,95
5:46,236,Dylan Brewster Defensive Rebound.,48,95
5:36,236,Trayvond Massenburg made Layup. Assisted by Rodney Chatman.,48,97
5:21,-1,Lenny Pradia made Jumper.,50,97
5:05,236,Makale Foreman Turnover.,50,97
5:03,-1,Lenny Pradia Steal.,50,97
4:59,-1,Lenny Pradia made Layup.,52,97
4:48,236,Makale Foreman made Three Point Jumper. Assisted by Dylan Brewster.,52,100
4:20,-1,Justin Simmons missed Jumper.,52,100
4:20,236,Trayvond Massenburg Defensive Rebound.,52,100
4:10,236,Peyton Woods missed Jumper.,52,100
4:10,-1,Justin Simmons Defensive Rebound.,52,100
4:00,-1,Lenny Pradia Turnover.,52,100
3:43,236,Rodney Chatman Turnover.,52,100
3:42,-1,Tre Tiller Steal.,52,100
3:40,-1,Qd Cox made Layup. Assisted by Tre Tiller.,54,100
3:39,236,Foul on Peyton Woods.,54,100
3:39,236,Official TV Timeout,54,100
3:39,-1,Qd Cox made Free Throw.,55,100
3:18,236,Rodney Chatman missed Three Point Jumper.,55,100
3:18,-1,Lenny Pradia Defensive Rebound.,55,100
3:09,-1,Justin Simmons Turnover.,55,100
3:00,236,Makale Foreman missed Three Point Jumper.,55,100
3:00,-1,Justin Simmons Defensive Rebound.,55,100
2:51,-1,Justin Simmons missed Three Point Jumper.,55,100
2:51,-1,Todd Lansden Offensive Rebound.,55,100
2:47,-1,Todd Lansden missed Layup.,55,100
2:47,236,Trayvond Massenburg Defensive Rebound.,55,100
2:37,236,Foul on Rodney Chatman.,55,100
2:37,236,Rodney Chatman Turnover.,55,100
2:15,236,Foul on Peyton Woods.,55,100
2:15,-1,Tre Tiller made Free Throw.,56,100
2:15,-1,Tre Tiller made Free Throw.,57,100
1:57,236,Peyton Woods made Layup.,57,102
1:57,-1,Foul on Jordan Hall.,57,102
1:57,236,Peyton Woods made Free Throw.,57,103
1:51,236,Foul on Peyton Woods.,57,103
1:51,-1,Tre Tiller made Free Throw.,58,103
1:51,-1,Tre Tiller made Free Throw.,59,103
1:39,-1,Foul on Tre Tiller.,59,103
1:39,236,Peyton Woods made Free Throw.,59,104
1:39,236,Peyton Woods made Free Throw.,59,105
1:31,-1,Tre Tiller made Jumper.,61,105
1:13,236,Makale Foreman missed Three Point Jumper.,61,105
1:13,-1,Todd Lansden Defensive Rebound.,61,105
1:04,-1,Tre Tiller made Layup.,63,105
0:44,236,Rodney Chatman made Layup.,63,107
0:29,-1,Tre Tiller made Layup.,65,107
0:00,236,End of Game,65,107
