Louisiana,61,Georgia,309
8:40,61,Yante Maten Defensive Rebound.,10,21
8:38,309,Foul on Justin Miller.,10,21
8:38,61,Yante Maten made Free Throw.,10,22
8:38,61,Yante Maten made Free Throw.,10,23
8:29,309,Johnathan Stove made Layup.,12,23
8:19,61,Yante Maten made Three Point Jumper. Assisted by J.J. Frazier.,12,26
8:04,309,Johnathan Stove made Jumper.,14,26
7:51,61,Yante Maten made Dunk. Assisted by Kenny Paul Geno.,14,28
7:32,61,Foul on Houston Kessler.,14,28
7:32,61,Official TV Timeout,14,28
7:32,309,Bryce Washington missed Free Throw.,14,28
7:32,309,UL Lafayette Deadball Team Rebound.,14,28
7:32,309,Bryce Washington made Free Throw.,15,28
7:17,61,Jordan Harris Turnover.,15,28
7:17,309,Bryce Washington Steal.,15,28
7:15,61,Foul on Kenny Paul Geno.,15,28
7:15,309,Jerekius Davis missed Free Throw.,15,28
7:15,309,UL Lafayette Deadball Team Rebound.,15,28
7:15,309,Jerekius Davis made Free Throw.,16,28
7:03,61,Juwan Parker Turnover.,16,28
7:03,309,Jerekius Davis Steal.,16,28
6:57,309,Jerekius Davis missed Layup.,16,28
6:57,61,Kenny Paul Geno Defensive Rebound.,16,28
6:46,61,Yante Maten made Layup. Assisted by J.J. Frazier.,16,30
6:23,309,Frank Bartley IV missed Three Point Jumper.,16,30
6:23,61,Yante Maten Defensive Rebound.,16,30
6:17,61,J.J. Frazier missed Three Point Jumper.,16,30
6:17,309,Bryce Washington Defensive Rebound.,16,30
6:02,309,Frank Bartley IV missed Jumper.,16,30
6:02,309,Bryce Washington Offensive Rebound.,16,30
5:58,61,Foul on Yante Maten.,16,30
5:58,309,Bryce Washington missed Free Throw.,16,30
5:58,309,UL Lafayette Deadball Team Rebound.,16,30
5:58,309,Bryce Washington made Free Throw.,17,30
5:40,61,Houston Kessler missed Jumper.,17,30
5:40,61,Derek Ogbeide Offensive Rebound.,17,30
5:36,61,Derek Ogbeide made Jumper.,17,32
5:24,309,Jay Wright missed Three Point Jumper.,17,32
5:24,61,Derek Ogbeide Defensive Rebound.,17,32
5:13,61,Pape Diatta missed Jumper.,17,32
5:13,309,Frank Bartley IV Defensive Rebound.,17,32
5:07,309,Jay Wright missed Jumper.,17,32
5:07,61,Derek Ogbeide Defensive Rebound.,17,32
4:50,61,Juwan Parker missed Jumper.,17,32
4:50,309,Bryce Washington Defensive Rebound.,17,32
4:39,309,Foul on Frank Bartley IV.,17,32
4:39,309,Frank Bartley IV Turnover.,17,32
4:25,61,Juwan Parker missed Jumper.,17,32
4:24,61,Yante Maten Offensive Rebound.,17,32
4:22,61,Yante Maten made Dunk.,17,34
4:03,309,Johnathan Stove missed Layup.,17,34
4:03,61,Derek Ogbeide Block.,17,34
4:03,61,Yante Maten Defensive Rebound.,17,34
3:39,61,Foul on Juwan Parker.,17,34
3:39,61,Juwan Parker Turnover.,17,34
3:39,61,Official TV Timeout,17,34
3:29,309,Justin Miller made Three Point Jumper. Assisted by Jay Wright.,20,34
3:06,61,Yante Maten missed Jumper.,20,34
3:06,309,Frank Bartley IV Defensive Rebound.,20,34
2:56,309,Justin Miller made Three Point Jumper. Assisted by Frank Bartley IV.,23,34
2:37,61,Juwan Parker missed Jumper.,23,34
2:37,309,Bryce Washington Defensive Rebound.,23,34
2:27,309,Frank Bartley IV missed Layup.,23,34
2:27,61,Yante Maten Defensive Rebound.,23,34
2:21,61,Georgia  Timeout,23,34
2:02,61,Juwan Parker made Jumper.,23,36
1:46,309,Justin Miller missed Jumper.,23,36
1:46,61,Yante Maten Defensive Rebound.,23,36
1:35,61,Juwan Parker missed Jumper.,23,36
1:35,309,Bryce Washington Defensive Rebound.,23,36
1:27,309,Frank Bartley IV missed Jumper.,23,36
1:27,61,E'Torrion Wilridge Defensive Rebound.,23,36
1:21,61,J.J. Frazier made Layup.,23,38
1:09,309,Justin Miller made Jumper.,25,38
1:08,61,Foul on E'Torrion Wilridge.,25,38
1:08,309,Justin Miller made Free Throw.,26,38
0:55,61,J.J. Frazier missed Three Point Jumper.,26,38
0:55,309,Jerekius Davis Defensive Rebound.,26,38
0:45,309,Justin Miller missed Layup.,26,38
0:45,61,Yante Maten Block.,26,38
0:45,309,UL Lafayette Offensive Rebound.,26,38
0:42,309,Justin Miller made Three Point Jumper. Assisted by P.J. Hardy.,29,38
0:23,61,J.J. Frazier missed Three Point Jumper.,29,38
0:23,61,Derek Ogbeide Offensive Rebound.,29,38
0:19,61,Derek Ogbeide Turnover.,29,38
0:19,309,Roydell Brown Steal.,29,38
0:02,309,Jerekius Davis missed Three Point Jumper.,29,38
0:02,61,Pape Diatta Defensive Rebound.,29,38
0:00,61,End of 1st half,29,38
20:00,61,Jump Ball won by Georgia,29,38
19:51,309,Foul on Johnathan Stove.,29,38
19:28,61,Jordan Harris missed Jumper.,29,38
19:28,61,Georgia Offensive Rebound.,29,38
19:25,61,Yante Maten missed Jumper.,29,38
19:25,309,Frank Bartley IV Defensive Rebound.,29,38
19:03,309,Bryce Washington made Layup. Assisted by Johnathan Stove.,31,38
18:40,61,J.J. Frazier Turnover.,31,38
18:40,309,Frank Bartley IV Steal.,31,38
18:34,61,Foul on J.J. Frazier.,31,38
18:34,309,Frank Bartley IV made Free Throw.,32,38
18:34,309,Frank Bartley IV made Free Throw.,33,38
18:14,61,Juwan Parker made Jumper.,33,40
17:53,309,Bryce Washington made Jumper.,35,40
17:45,61,J.J. Frazier Turnover.,35,40
17:45,309,Frank Bartley IV Steal.,35,40
17:42,309,Frank Bartley IV Turnover.,35,40
17:33,61,J.J. Frazier missed Jumper.,35,40
17:33,309,Justin Miller Defensive Rebound.,35,40
17:28,309,UL Lafayette  Timeout,35,40
17:18,309,Frank Bartley IV made Three Point Jumper. Assisted by Bryce Washington.,38,40
17:08,61,Juwan Parker made Jumper. Assisted by Derek Ogbeide.,38,42
16:49,309,Johnathan Stove missed Layup.,38,42
16:49,61,Derek Ogbeide Defensive Rebound.,38,42
16:35,61,J.J. Frazier made Three Point Jumper. Assisted by Juwan Parker.,38,45
16:19,309,Jay Wright missed Layup.,38,45
16:19,61,Derek Ogbeide Block.,38,45
16:19,61,J.J. Frazier Defensive Rebound.,38,45
16:11,61,Kenny Paul Geno made Layup. Assisted by J.J. Frazier.,38,47
15:50,309,Bryce Washington missed Jumper.,38,47
15:50,61,Derek Ogbeide Block.,38,47
15:50,61,Kenny Paul Geno Defensive Rebound.,38,47
15:44,61,Kenny Paul Geno missed Three Point Jumper.,38,47
15:44,309,Frank Bartley IV Defensive Rebound.,38,47
15:17,309,Justin Miller made Three Point Jumper. Assisted by Jay Wright.,41,47
15:08,309,Foul on Justin Miller.,41,47
15:08,61,Official TV Timeout,41,47
14:50,61,J.J. Frazier made Jumper.,41,49
14:32,309,Jay Wright missed Three Point Jumper.,41,49
14:32,309,Frank Bartley IV Offensive Rebound.,41,49
14:28,309,Frank Bartley IV missed Layup.,41,49
14:28,61,Yante Maten Block.,41,49
14:28,309,UL Lafayette Offensive Rebound.,41,49
14:11,309,UL Lafayette  Turnover.,41,49
13:57,61,J.J. Frazier made Layup.,41,51
13:45,61,Foul on Yante Maten.,41,51
13:45,309,Jerekius Davis made Free Throw.,42,51
13:45,309,Jerekius Davis made Free Throw.,43,51
13:33,61,Juwan Parker missed Jumper.,43,51
13:33,61,Yante Maten Offensive Rebound.,43,51
13:29,61,Yante Maten missed Layup.,43,51
13:29,309,Frank Bartley IV Defensive Rebound.,43,51
13:18,309,Frank Bartley IV missed Jumper.,43,51
13:18,61,Mike Edwards Defensive Rebound.,43,51
13:09,61,Juwan Parker made Layup.,43,53
12:56,309,Bryce Washington missed Layup.,43,53
12:55,61,Derek Ogbeide Block.,43,53
12:54,61,Derek Ogbeide Defensive Rebound.,43,53
12:45,61,Juwan Parker missed Jumper.,43,53
12:44,309,Frank Bartley IV Defensive Rebound.,43,53
12:24,309,Jay Wright missed Three Point Jumper.,43,53
12:23,61,Derek Ogbeide Defensive Rebound.,43,53
12:13,61,J.J. Frazier missed Layup.,43,53
12:13,309,Jerekius Davis Defensive Rebound.,43,53
12:04,61,Foul on Kenny Paul Geno.,43,53
12:01,61,Foul on Pape Diatta.,43,53
12:00,309,Bryce Washington made Layup. Assisted by Frank Bartley IV.,45,53
11:44,61,Yante Maten missed Jumper.,45,53
11:44,309,Bryce Washington Defensive Rebound.,45,53
11:24,309,Frank Bartley IV Turnover.,45,53
11:24,61,Pape Diatta Steal.,45,53
11:19,61,William Jackson II missed Jumper.,45,53
11:19,61,Yante Maten Offensive Rebound.,45,53
11:17,309,Foul on Jerekius Davis.,45,53
11:17,61,Official TV Timeout,45,53
11:13,61,Mike Edwards made Jumper.,45,55
10:56,309,Bryce Washington Turnover.,45,55
10:56,61,William Jackson II Steal.,45,55
10:38,61,Yante Maten missed Jumper.,45,55
10:38,309,Bryce Washington Defensive Rebound.,45,55
10:23,309,Johnathan Stove missed Three Point Jumper.,45,55
10:23,61,Mike Edwards Defensive Rebound.,45,55
10:20,309,Foul on Johnathan Stove.,45,55
10:03,61,Mike Edwards missed Jumper.,45,55
10:03,309,Roydell Brown Defensive Rebound.,45,55
9:51,309,Justin Miller missed Jumper.,45,55
9:51,309,Bryce Washington Offensive Rebound.,45,55
9:46,309,Jay Wright made Jumper.,47,55
9:33,61,Foul on Mike Edwards.,47,55
9:33,61,Mike Edwards Turnover.,47,55
9:21,309,Frank Bartley IV missed Three Point Jumper.,47,55
9:21,61,Derek Ogbeide Defensive Rebound.,47,55
9:12,61,Pape Diatta made Three Point Jumper. Assisted by J.J. Frazier.,47,58
8:56,309,Foul on Justin Miller.,47,58
8:56,309,Justin Miller Turnover.,47,58
8:44,61,J.J. Frazier Turnover.,47,58
8:44,309,Jay Wright Steal.,47,58
8:39,309,Jay Wright made Layup.,49,58
8:11,309,Foul on Jay Wright.,49,58
7:52,61,Official TV Timeout,49,58
7:42,61,Foul on J.J. Frazier.,49,58
7:42,61,J.J. Frazier Turnover.,49,58
7:35,309,Jay Wright missed Layup.,49,58
7:35,61,Derek Ogbeide Block.,49,58
7:35,309,UL Lafayette Offensive Rebound.,49,58
7:29,309,Johnathan Stove made Jumper. Assisted by Bryce Washington.,51,58
7:10,61,J.J. Frazier missed Jumper.,51,58
7:10,61,Yante Maten Offensive Rebound.,51,58
7:08,309,Foul on Johnathan Stove.,51,58
7:08,61,Yante Maten made Free Throw.,51,59
7:08,61,Yante Maten made Free Throw.,51,60
6:58,61,Foul on Derek Ogbeide.,51,60
6:58,309,Bryce Washington missed Free Throw.,51,60
6:58,309,UL Lafayette Deadball Team Rebound.,51,60
6:58,309,Bryce Washington made Free Throw.,52,60
6:31,61,J.J. Frazier missed Three Point Jumper.,52,60
6:31,61,Juwan Parker Offensive Rebound.,52,60
6:31,61,Juwan Parker made Two Point Tip Shot.,52,62
6:06,309,Johnathan Stove missed Layup.,52,62
6:06,61,Yante Maten Block.,52,62
6:06,61,E'Torrion Wilridge Defensive Rebound.,52,62
6:00,61,J.J. Frazier missed Jumper.,52,62
6:00,61,Derek Ogbeide Offensive Rebound.,52,62
5:57,61,Derek Ogbeide made Layup.,52,64
5:51,309,UL Lafayette  Timeout,52,64
5:39,309,Justin Miller missed Three Point Jumper.,52,64
5:39,61,Yante Maten Defensive Rebound.,52,64
5:27,61,Derek Ogbeide missed Jumper.,52,64
5:27,309,Bryce Washington Defensive Rebound.,52,64
5:13,309,P.J. Hardy made Three Point Jumper. Assisted by Jay Wright.,55,64
4:56,61,E'Torrion Wilridge missed Three Point Jumper.,55,64
4:56,61,Juwan Parker Offensive Rebound.,55,64
4:47,61,J.J. Frazier made Jumper.,55,66
4:26,309,Frank Bartley IV missed Three Point Jumper.,55,66
4:26,61,Derek Ogbeide Defensive Rebound.,55,66
4:15,61,Georgia  Timeout,55,66
3:59,61,J.J. Frazier missed Three Point Jumper.,55,66
3:59,61,Derek Ogbeide Offensive Rebound.,55,66
3:59,61,Derek Ogbeide made Two Point Tip Shot.,55,68
3:40,309,Johnathan Stove missed Layup.,55,68
3:40,61,Georgia Defensive Rebound.,55,68
3:27,309,Foul on Frank Bartley IV.,55,68
3:27,61,Derek Ogbeide missed Free Throw.,55,68
3:27,61,Georgia Deadball Team Rebound.,55,68
3:27,61,Derek Ogbeide made Free Throw.,55,69
3:17,309,P.J. Hardy missed Three Point Jumper.,55,69
3:17,61,Yante Maten Defensive Rebound.,55,69
2:53,61,J.J. Frazier missed Jumper.,55,69
2:53,61,Yante Maten Offensive Rebound.,55,69
2:49,61,Yante Maten made Layup.,55,71
2:37,309,P.J. Hardy made Three Point Jumper.,58,71
2:33,309,Foul on P.J. Hardy.,58,71
2:33,61,J.J. Frazier missed Free Throw.,58,71
2:33,309,Bryce Washington Defensive Rebound.,58,71
2:30,309,Frank Bartley IV Turnover.,58,71
2:30,61,Juwan Parker Steal.,58,71
2:12,61,J.J. Frazier Turnover.,58,71
1:45,309,Jerekius Davis missed Jumper.,58,71
1:45,309,Bryce Washington Offensive Rebound.,58,71
1:42,309,Bryce Washington missed Layup.,58,71
1:42,309,Bryce Washington Offensive Rebound.,58,71
1:42,309,Bryce Washington made Two Point Tip Shot.,60,71
1:37,309,UL Lafayette  Timeout,60,71
1:17,61,Juwan Parker Turnover.,60,71
1:10,309,Bryce Washington Turnover.,60,71
0:46,61,Kenny Paul Geno made Jumper. Assisted by J.J. Frazier.,60,73
0:38,309,Jay Wright missed Three Point Jumper.,60,73
0:38,309,Bryce Washington Offensive Rebound.,60,73
0:36,309,P.J. Hardy missed Three Point Jumper.,60,73
0:36,309,Bryce Washington Offensive Rebound.,60,73
0:27,309,Bryce Washington missed Three Point Jumper.,60,73
0:27,61,J.J. Frazier Defensive Rebound.,60,73
0:00,61,End of Game,60,73
