Western Kentucky,2608,Saint Mary's,98
9:44,98,Que Johnson missed Jumper.,14,19
9:44,2608,Jock Landale Defensive Rebound.,14,19
9:38,2608,Dane Pineau made Layup. Assisted by Joe Rahon.,14,21
9:11,98,Jabari McGhee missed Layup.,14,21
9:11,2608,Dane Pineau Block.,14,21
9:11,2608,Jock Landale Defensive Rebound.,14,21
9:00,2608,Emmett Naar made Layup.,14,23
8:31,98,Marty Leahy made Jumper. Assisted by Que Johnson.,16,23
7:56,2608,Calvin Hermanson missed Three Point Jumper.,16,23
7:56,2608,Joe Rahon Offensive Rebound.,16,23
7:39,2608,Foul on Jock Landale.,16,23
7:39,2608,Jock Landale Turnover.,16,23
7:39,2608,Official TV Timeout,16,23
7:21,98,Jabari McGhee missed Layup.,16,23
7:21,2608,Jock Landale Defensive Rebound.,16,23
6:58,2608,Calvin Hermanson Turnover.,16,23
6:43,98,Anton Waters Turnover.,16,23
6:42,2608,Dane Pineau Steal.,16,23
6:28,2608,Jordan Ford made Jumper.,16,25
6:09,98,Que Johnson made Jumper.,18,25
5:37,2608,Jordan Ford made Three Point Jumper. Assisted by Joe Rahon.,18,28
5:12,98,Junior Lomomba missed Three Point Jumper.,18,28
5:12,2608,Jock Landale Defensive Rebound.,18,28
5:03,2608,Dane Pineau made Layup. Assisted by Joe Rahon.,18,30
4:41,98,Marty Leahy Turnover.,18,30
4:40,2608,Jordan Ford Steal.,18,30
4:37,2608,Calvin Hermanson made Layup. Assisted by Jordan Ford.,18,32
4:37,98,Foul on Anton Waters.,18,32
4:37,2608,Calvin Hermanson made Free Throw.,18,33
4:15,98,Ben Lawson missed Layup.,18,33
4:15,98,Western Kentucky Offensive Rebound.,18,33
4:07,98,Ben Lawson Turnover.,18,33
3:58,2608,Emmett Naar made Three Point Jumper. Assisted by Evan Fitzner.,18,36
3:35,98,Pancake Thomas made Jumper.,20,36
3:08,2608,Emmett Naar missed Layup.,20,36
3:08,2608,Dane Pineau Offensive Rebound.,20,36
3:04,2608,Dane Pineau made Layup.,20,38
2:48,98,Que Johnson missed Layup.,20,38
2:48,2608,Evan Fitzner Block.,20,38
2:48,2608,Dane Pineau Defensive Rebound.,20,38
2:36,98,Foul on Pancake Thomas.,20,38
2:36,2608,Official TV Timeout,20,38
2:10,2608,Emmett Naar missed Layup.,20,38
2:10,98,Justin Johnson Defensive Rebound.,20,38
2:09,2608,Foul on Dane Pineau.,20,38
1:57,98,Pancake Thomas missed Jumper.,20,38
1:57,2608,Calvin Hermanson Defensive Rebound.,20,38
1:37,2608,Jordan Ford missed Three Point Jumper.,20,38
1:37,98,Que Johnson Defensive Rebound.,20,38
1:23,98,Justin Johnson made Three Point Jumper. Assisted by Que Johnson.,23,38
0:57,2608,Calvin Hermanson missed Jumper.,23,38
0:57,98,Ben Lawson Defensive Rebound.,23,38
0:50,98,Que Johnson missed Jumper.,23,38
0:50,98,Justin Johnson Offensive Rebound.,23,38
0:48,2608,Foul on Calvin Hermanson.,23,38
0:48,98,Justin Johnson made Free Throw.,24,38
0:48,98,Justin Johnson missed Free Throw.,24,38
0:48,2608,Jock Landale Defensive Rebound.,24,38
0:34,2608,Evan Fitzner missed Jumper.,24,38
0:34,98,Pancake Thomas Defensive Rebound.,24,38
0:08,98,Justin Johnson Turnover.,24,38
0:08,2608,Jock Landale Steal.,24,38
0:00,2608,Stefan Gonzalez missed Three Point Jumper.,24,38
0:00,2608,Saint Mary's Deadball Team Rebound.,24,38
0:00,2608,End of 1st half,24,38
19:43,2608,Jock Landale missed Jumper.,24,38
19:43,2608,Evan Fitzner Offensive Rebound.,24,38
19:39,2608,Evan Fitzner missed Layup.,24,38
19:39,2608,Jock Landale Offensive Rebound.,24,38
19:35,2608,Jock Landale made Layup.,24,40
19:21,98,Tobias Howard made Three Point Jumper. Assisted by Justin Johnson.,27,40
19:06,2608,Jock Landale made Dunk. Assisted by Emmett Naar.,27,42
18:44,98,Pancake Thomas missed Three Point Jumper.,27,42
18:44,98,Tobias Howard Offensive Rebound.,27,42
18:11,98,Que Johnson missed Jumper.,27,42
18:11,2608,Jock Landale Defensive Rebound.,27,42
17:43,2608,Jock Landale missed Jumper.,27,42
17:43,98,Justin Johnson Defensive Rebound.,27,42
17:35,98,Tobias Howard missed Three Point Jumper.,27,42
17:35,2608,Evan Fitzner Defensive Rebound.,27,42
17:09,98,Foul on Justin Johnson.,27,42
17:09,2608,Jock Landale made Free Throw.,27,43
17:09,2608,Jock Landale missed Free Throw.,27,43
17:09,2608,Jock Landale Offensive Rebound.,27,43
16:53,2608,Foul on Jock Landale.,27,43
16:53,2608,Jock Landale Turnover.,27,43
16:41,2608,Foul on Joe Rahon.,27,43
16:36,98,Justin Johnson missed Jumper.,27,43
16:36,2608,Jock Landale Defensive Rebound.,27,43
16:11,2608,Jock Landale made Dunk. Assisted by Evan Fitzner.,27,45
15:51,98,Pancake Thomas made Layup. Assisted by Justin Johnson.,29,45
15:30,2608,Jock Landale made Layup. Assisted by Emmett Naar.,29,47
15:07,98,Justin Johnson Turnover.,29,47
15:07,2608,Official TV Timeout,29,47
14:37,2608,Emmett Naar made Jumper. Assisted by Joe Rahon.,29,49
14:16,98,Pancake Thomas missed Three Point Jumper.,29,49
14:16,2608,Calvin Hermanson Defensive Rebound.,29,49
13:57,2608,Dane Pineau made Layup. Assisted by Emmett Naar.,29,51
13:25,2608,Foul on Dane Pineau.,29,51
13:19,2608,Foul on Kyle Clark.,29,51
13:19,98,Ben Lawson made Free Throw.,30,51
13:19,98,Ben Lawson made Free Throw.,31,51
12:56,2608,Emmett Naar made Three Point Jumper. Assisted by Kyle Clark.,31,54
12:41,98,Pancake Thomas missed Jumper.,31,54
12:41,98,Pancake Thomas Offensive Rebound.,31,54
12:35,98,Pancake Thomas Turnover.,31,54
12:34,2608,Joe Rahon Steal.,31,54
12:30,2608,Kyle Clark made Three Point Jumper. Assisted by Emmett Naar.,31,57
12:20,98,Western Kentucky  Timeout,31,57
12:20,2608,Official TV Timeout,31,57
12:08,98,Que Johnson made Three Point Jumper. Assisted by Marty Leahy.,34,57
11:36,2608,Kyle Clark missed Three Point Jumper.,34,57
11:36,98,Ben Lawson Defensive Rebound.,34,57
11:14,98,Ben Lawson made Dunk. Assisted by Que Johnson.,36,57
10:53,2608,Joe Rahon Turnover.,36,57
10:51,98,Ben Lawson Steal.,36,57
10:47,98,Junior Lomomba Turnover.,36,57
10:45,2608,Dane Pineau Steal.,36,57
10:43,2608,Dane Pineau made Layup.,36,59
10:43,98,Foul on Que Johnson.,36,59
10:43,2608,Official TV Timeout,36,59
10:43,2608,Dane Pineau missed Free Throw.,36,59
10:43,2608,Kyle Clark Offensive Rebound.,36,59
10:41,98,Foul on Jabari McGhee.,36,59
10:23,2608,Emmett Naar missed Layup.,36,59
10:23,2608,Jock Landale Offensive Rebound.,36,59
10:21,2608,Jock Landale missed Layup.,36,59
10:21,2608,Jock Landale Offensive Rebound.,36,59
10:21,2608,Jock Landale made Layup.,36,61
10:21,98,Foul on Marty Leahy.,36,61
10:21,2608,Jock Landale missed Free Throw.,36,61
10:21,98,Jabari McGhee Defensive Rebound.,36,61
9:55,98,Que Johnson missed Three Point Jumper.,36,61
9:55,98,Ben Lawson Offensive Rebound.,36,61
9:51,98,Ben Lawson made Layup.,38,61
9:19,2608,Joe Rahon missed Three Point Jumper.,38,61
9:19,98,Que Johnson Defensive Rebound.,38,61
9:10,2608,Foul on Joe Rahon.,38,61
9:01,2608,Foul on Kyle Clark.,38,61
8:54,98,Marty Leahy missed Jumper.,38,61
8:54,2608,Emmett Naar Defensive Rebound.,38,61
8:34,98,Foul on Tobias Howard.,38,61
8:24,2608,Emmett Naar made Layup. Assisted by Jock Landale.,38,63
8:03,98,Justin Johnson missed Jumper.,38,63
8:03,2608,Stefan Gonzalez Defensive Rebound.,38,63
7:57,2608,Dane Pineau missed Layup.,38,63
7:57,98,Justin Johnson Defensive Rebound.,38,63
7:41,98,Tobias Howard missed Three Point Jumper.,38,63
7:41,2608,Jock Landale Defensive Rebound.,38,63
7:28,2608,Jock Landale missed Three Point Jumper.,38,63
7:28,98,Que Johnson Defensive Rebound.,38,63
7:13,98,Que Johnson missed Three Point Jumper.,38,63
7:13,98,Anton Waters Offensive Rebound.,38,63
7:02,98,Justin Johnson made Three Point Jumper. Assisted by Tobias Howard.,41,63
6:28,2608,Stefan Gonzalez made Three Point Jumper. Assisted by Joe Rahon.,41,66
6:04,2608,Official TV Timeout,41,66
6:01,98,Justin Johnson missed Three Point Jumper.,41,66
6:01,2608,Jordan Ford Defensive Rebound.,41,66
5:41,2608,Stefan Gonzalez missed Three Point Jumper.,41,66
5:41,98,Anton Waters Defensive Rebound.,41,66
5:29,98,Tobias Howard Turnover.,41,66
5:28,2608,Jordan Hunter Steal.,41,66
5:27,2608,Jordan Hunter Turnover.,41,66
5:08,2608,Foul on Kyle Clark.,41,66
5:08,98,Que Johnson missed Free Throw.,41,66
5:08,98,Que Johnson Offensive Rebound.,41,66
5:06,98,Que Johnson made Jumper.,43,66
4:44,2608,Jordan Ford made Jumper.,43,68
4:17,2608,Foul on Jordan Hunter.,43,68
4:17,98,Tobias Howard made Free Throw.,44,68
4:17,98,Tobias Howard made Free Throw.,45,68
3:55,2608,Jordan Hunter missed Jumper.,45,68
3:55,98,Pancake Thomas Defensive Rebound.,45,68
3:42,2608,Foul on Kyle Clark.,45,68
3:42,2608,Official TV Timeout,45,68
3:42,98,Willie Carmichael made Free Throw.,46,68
3:42,98,Willie Carmichael made Free Throw.,47,68
3:30,2608,Tanner Krebs missed Three Point Jumper.,47,68
3:30,98,Justin Johnson Defensive Rebound.,47,68
3:15,98,Anton Waters missed Jumper.,47,68
3:15,2608,Jordan Hunter Defensive Rebound.,47,68
2:54,2608,Stefan Gonzalez missed Three Point Jumper.,47,68
2:54,2608,Jordan Ford Offensive Rebound.,47,68
2:31,2608,Tanner Krebs missed Three Point Jumper.,47,68
2:31,2608,Kyle Clark Offensive Rebound.,47,68
2:26,2608,Jordan Ford missed Three Point Jumper.,47,68
2:26,98,Willie Carmichael Defensive Rebound.,47,68
2:17,98,Pancake Thomas missed Three Point Jumper.,47,68
2:17,98,Anton Waters Offensive Rebound.,47,68
2:14,2608,Foul on Tanner Krebs.,47,68
2:14,98,Anton Waters made Free Throw.,48,68
2:14,98,Anton Waters made Free Throw.,49,68
1:59,2608,Tanner Krebs missed Three Point Jumper.,49,68
1:59,98,Willie Carmichael Defensive Rebound.,49,68
1:38,98,Justin Johnson missed Layup.,49,68
1:38,2608,Jordan Hunter Defensive Rebound.,49,68
1:30,2608,Stefan Gonzalez made Three Point Jumper. Assisted by Jordan Ford.,49,71
1:14,98,Willie Carmichael missed Three Point Jumper.,49,71
1:14,2608,Tanner Krebs Defensive Rebound.,49,71
1:07,2608,Jordan Hunter made Layup. Assisted by Stefan Gonzalez.,49,73
0:40,98,Willie Carmichael Turnover.,49,73
0:29,2608,Stefan Gonzalez missed Three Point Jumper.,49,73
0:29,98,Pancake Thomas Defensive Rebound.,49,73
0:10,98,Justin Johnson made Layup.,51,73
0:00,2608,End of 2nd half,51,73
0:00,2608,End of Game,51,73
