Chicago State,77,Northwestern,2130
4:07,2130,Trayvon Palmer made Free Throw.,53,57
4:07,2130,Trayvon Palmer made Free Throw.,54,57
4:02,77,Sanjay Lumpkin Turnover.,54,57
4:01,2130,Fred Sims Jr. Steal.,54,57
3:41,2130,Brian Greene Jr. missed Layup.,54,57
3:41,77,Gavin Skelly Block.,54,57
3:39,2130,Brian Greene Jr. Offensive Rebound.,54,57
3:35,2130,Anthony Eaves missed Three Point Jumper.,54,57
3:35,77,Gavin Skelly Defensive Rebound.,54,57
3:18,77,Gavin Skelly made Layup. Assisted by Bryant McIntosh.,54,59
2:56,2130,Clemmye Owens V missed Layup.,54,59
2:56,2130,Anthony Eaves Offensive Rebound.,54,59
2:53,2130,Anthony Eaves made Jumper.,56,59
2:31,2130,Foul on Fred Sims Jr..,56,59
2:31,77,Official TV Timeout,56,59
2:31,77,Sanjay Lumpkin missed Free Throw.,56,59
2:31,2130,Trayvon Palmer Defensive Rebound.,56,59
2:17,2130,Anthony Eaves made Jumper.,58,59
1:51,77,Bryant McIntosh missed Layup.,58,59
1:51,2130,Anthony Eaves Block.,58,59
1:51,77,Northwestern Offensive Rebound.,58,59
1:47,77,Bryant McIntosh made Three Point Jumper. Assisted by Sanjay Lumpkin.,58,62
1:25,2130,Trayvon Palmer Turnover.,58,62
1:23,77,Scottie Lindsey Steal.,58,62
1:01,77,Gavin Skelly made Layup. Assisted by Bryant McIntosh.,58,64
0:46,2130,Anthony Eaves made Three Point Jumper.,61,64
0:46,2130,Chicago St  Timeout,61,64
0:35,77,Sanjay Lumpkin made Layup. Assisted by Scottie Lindsey.,61,66
0:22,2130,Trayvon Palmer missed Three Point Jumper.,61,66
0:22,77,Gavin Skelly Defensive Rebound.,61,66
0:19,2130,Foul on Anthony Eaves.,61,66
0:19,77,Bryant McIntosh made Free Throw.,61,67
0:19,77,Bryant McIntosh made Free Throw.,61,68
0:14,2130,Fred Sims Jr. made Three Point Jumper.,64,68
0:12,77,Northwestern  Timeout,64,68
0:11,2130,Foul on Brian Greene Jr..,64,68
0:11,77,Scottie Lindsey missed Free Throw.,64,68
0:11,2130,Trayvon Palmer Defensive Rebound.,64,68
0:06,2130,Fred Sims Jr. missed Three Point Jumper.,64,68
0:06,77,Northwestern Defensive Rebound.,64,68
0:00,77,End of Game,64,68
