Saint Louis,79,Southern Illinois,139
17:03,79,Armon Fletcher Offensive Rebound.,36,31
17:01,79,Armon Fletcher made Layup.,36,33
17:01,139,Foul on Reggie Agbeko.,36,33
17:01,79,Armon Fletcher made Free Throw.,36,34
16:39,79,Foul on Sean O'Brien.,36,34
16:36,139,Reggie Agbeko Turnover.,36,34
16:34,79,Armon Fletcher Steal.,36,34
16:31,139,Foul on Aaron Hines.,36,34
16:31,79,Mike Rodriguez missed Free Throw.,36,34
16:31,79,Southern Illinois Deadball Team Rebound.,36,34
16:31,79,Mike Rodriguez made Free Throw.,36,35
16:12,139,Mike Crawford made Layup.,38,35
15:52,79,Armon Fletcher Turnover.,38,35
15:51,139,Elliott Welmer Steal.,38,35
15:44,139,Mike Crawford Turnover.,38,35
15:44,139,Foul on Mike Crawford.,38,35
15:43,79,Official TV Timeout,38,35
15:27,139,Foul on Reggie Agbeko.,38,35
15:27,79,Thik Bol made Free Throw.,38,36
15:27,79,Thik Bol made Free Throw.,38,37
15:08,139,Davell Roby missed Layup.,38,37
15:08,79,Armon Fletcher Defensive Rebound.,38,37
14:53,79,Armon Fletcher made Three Point Jumper. Assisted by Mike Rodriguez.,38,40
14:50,139,Saint Louis  Timeout,38,40
14:50,79,Official TV Timeout,38,40
14:24,139,Matt Neufeld missed Layup.,38,40
14:24,139,Elliott Welmer Offensive Rebound.,38,40
14:23,79,Foul on Armon Fletcher.,38,40
14:14,139,Davell Roby missed Three Point Jumper.,38,40
14:14,79,Mike Rodriguez Defensive Rebound.,38,40
13:52,139,Foul on Elliott Welmer.,38,40
13:39,79,Sean Lloyd made Layup.,38,42
13:19,139,Matt Neufeld made Layup.,40,42
13:06,79,Mike Rodriguez missed Three Point Jumper.,40,42
13:06,79,Sean O'Brien Offensive Rebound.,40,42
12:48,139,Foul on Davell Roby.,40,42
12:48,79,Sean O'Brien missed Free Throw.,40,42
12:48,79,Southern Illinois Deadball Team Rebound.,40,42
12:48,79,Sean O'Brien made Free Throw.,40,43
12:34,79,Foul on Aaron Cook.,40,43
12:13,139,Elliott Welmer Turnover.,40,43
12:12,79,Jonathan Wiley Steal.,40,43
12:06,79,Leo Vincent made Jumper.,40,45
11:39,139,Davell Roby missed Three Point Jumper.,40,45
11:39,79,Leo Vincent Defensive Rebound.,40,45
11:31,79,Leo Vincent missed Layup.,40,45
11:31,79,Leo Vincent Offensive Rebound.,40,45
11:26,79,Leo Vincent missed Three Point Jumper.,40,45
11:26,139,Elliott Welmer Defensive Rebound.,40,45
10:57,79,Foul on Sean Lloyd.,40,45
10:57,79,Official TV Timeout,40,45
10:57,139,Elliott Welmer made Free Throw.,41,45
10:57,139,Elliott Welmer made Free Throw.,42,45
10:42,139,Foul on Jalen Johnson.,42,45
10:42,79,Sean O'Brien missed Free Throw.,42,45
10:42,139,Reggie Agbeko Defensive Rebound.,42,45
10:27,139,Jalen Johnson missed Layup.,42,45
10:27,139,Reggie Agbeko Offensive Rebound.,42,45
10:22,139,Reggie Agbeko made Two Point Tip Shot.,44,45
9:56,139,Foul on Mike Crawford.,44,45
9:56,79,Armon Fletcher made Free Throw.,44,46
9:56,79,Armon Fletcher made Free Throw.,44,47
9:42,139,Aaron Hines Turnover.,44,47
9:24,79,Leo Vincent made Jumper.,44,49
9:08,79,Foul on Leo Vincent.,44,49
9:08,139,Mike Crawford made Free Throw.,45,49
9:08,139,Mike Crawford missed Free Throw.,45,49
9:08,79,Sean O'Brien Defensive Rebound.,45,49
8:49,79,Sean O'Brien made Layup. Assisted by Leo Vincent.,45,51
8:26,139,Zeke Moore missed Three Point Jumper.,45,51
8:26,79,Sean O'Brien Defensive Rebound.,45,51
8:18,79,Leo Vincent missed Three Point Jumper.,45,51
8:18,139,Reggie Agbeko Defensive Rebound.,45,51
7:52,139,Zeke Moore made Three Point Jumper. Assisted by Davell Roby.,48,51
7:36,139,Foul on Jalen Johnson.,48,51
7:36,79,Official TV Timeout,48,51
7:36,79,Sean O'Brien made Free Throw.,48,52
7:36,79,Sean O'Brien made Free Throw.,48,53
7:15,79,Foul on Thik Bol.,48,53
7:15,139,Davell Roby made Free Throw.,49,53
7:15,139,Davell Roby missed Free Throw.,49,53
7:15,139,Saint Louis Offensive Rebound.,49,53
7:08,79,Foul on Sean O'Brien.,49,53
7:08,139,Reggie Agbeko missed Free Throw.,49,53
7:08,139,Saint Louis Offensive Rebound.,49,53
6:51,139,Reggie Agbeko Turnover.,49,53
6:40,79,Leo Vincent missed Three Point Jumper.,49,53
6:40,139,Davell Roby Defensive Rebound.,49,53
6:35,139,Saint Louis  Timeout,49,53
6:22,139,Mike Crawford missed Jumper.,49,53
6:22,139,Elliott Welmer Offensive Rebound.,49,53
6:17,139,Elliott Welmer missed Layup.,49,53
6:17,79,Sean O'Brien Defensive Rebound.,49,53
6:07,79,Armon Fletcher made Three Point Jumper. Assisted by Mike Rodriguez.,49,56
5:49,139,Zeke Moore missed Three Point Jumper.,49,56
5:49,79,Thik Bol Defensive Rebound.,49,56
5:29,79,Mike Rodriguez Turnover.,49,56
5:14,139,Davell Roby Turnover.,49,56
5:13,79,Armon Fletcher Turnover.,49,56
5:12,139,Reggie Agbeko Steal.,49,56
4:50,139,Davell Roby made Three Point Jumper. Assisted by Reggie Agbeko.,52,56
4:21,79,Mike Rodriguez missed Three Point Jumper.,52,56
4:21,139,Davell Roby Defensive Rebound.,52,56
4:13,139,Mike Crawford Turnover.,52,56
4:00,79,Sean Lloyd made Three Point Jumper. Assisted by Sean O'Brien.,52,59
3:42,139,Zeke Moore Turnover.,52,59
3:42,79,Official TV Timeout,52,59
3:25,139,Foul on Zeke Moore.,52,59
3:24,79,Mike Rodriguez missed Free Throw.,52,59
3:24,79,Southern Illinois Deadball Team Rebound.,52,59
3:24,79,Mike Rodriguez made Free Throw.,52,60
3:04,139,Davell Roby missed Layup.,52,60
3:04,79,Thik Bol Defensive Rebound.,52,60
2:56,79,Mike Rodriguez made Layup.,52,62
2:39,139,Reggie Agbeko made Layup. Assisted by Davell Roby.,54,62
2:39,79,Foul on Sean Lloyd.,54,62
2:39,139,Reggie Agbeko made Free Throw.,55,62
2:20,79,Sean O'Brien made Layup. Assisted by Armon Fletcher.,55,64
2:09,139,Mike Crawford missed Jumper.,55,64
2:09,79,Sean O'Brien Defensive Rebound.,55,64
2:02,139,Foul on Reggie Agbeko.,55,64
2:02,79,Mike Rodriguez missed Free Throw.,55,64
2:02,79,Southern Illinois Deadball Team Rebound.,55,64
1:50,79,Mike Rodriguez missed Free Throw.,55,64
1:48,79,Mike Rodriguez Offensive Rebound.,55,64
1:28,139,Foul on Davell Roby.,55,64
1:28,79,Mike Rodriguez made Free Throw.,55,65
1:28,79,Mike Rodriguez made Free Throw.,55,66
1:15,139,Austin Gillmann missed Three Point Jumper.,55,66
1:15,79,Sean O'Brien Defensive Rebound.,55,66
0:55,139,Foul on Austin Gillmann.,55,66
0:55,79,Mike Rodriguez made Free Throw.,55,67
0:55,79,Mike Rodriguez made Free Throw.,55,68
0:38,139,Davell Roby Turnover.,55,68
0:15,79,Thik Bol made Layup. Assisted by Mike Rodriguez.,55,70
0:08,139,Zeke Moore missed Three Point Jumper.,55,70
0:08,79,Thik Bol Block.,55,70
0:08,79,Sean O'Brien Defensive Rebound.,55,70
0:00,79,End of 2nd half,55,70
0:00,79,End of Game,55,70
