Arkansas-Pine Bluff,197,Oklahoma State,2029
17:28,197,Lindy Waters III missed Three Point Jumper.,30,56
17:28,2029,Devin Berry Defensive Rebound.,30,56
17:14,2029,Jaquan Lynch made Three Point Jumper. Assisted by Devin Berry.,33,56
16:57,2029,Foul on Marquis Cunningham.,33,56
16:51,197,Lindy Waters III missed Jumper.,33,56
16:51,2029,Marquis Cunningham Block.,33,56
16:51,197,Oklahoma St Offensive Rebound.,33,56
16:39,197,Phil Forte III missed Three Point Jumper.,33,56
16:39,197,Lindy Waters III Offensive Rebound.,33,56
16:35,197,Lindy Waters III made Jumper.,33,58
16:35,2029,Foul on Jaquan Lynch.,33,58
16:35,2029,Technical Foul on Marquis Cunningham.,33,58
16:35,2029,Foul on Marquis Cunningham.,33,58
16:35,197,Technical Foul on Lindy Waters III.,33,58
16:35,197,Phil Forte III made Free Throw.,33,59
16:35,197,Foul on Lindy Waters III.,33,58
16:35,2029,Technical Foul on Marquis Cunningham.,33,58
16:35,197,Phil Forte III made Free Throw.,33,60
16:35,2029,Foul on Marquis Cunningham.,33,58
16:35,197,Lindy Waters III made Free Throw.,33,61
16:23,2029,Jaquan Lynch Turnover.,33,61
16:05,197,Leyton Hammonds Turnover.,33,61
16:05,2029,Ghiavonni Robinson Steal.,33,61
15:59,2029,Jaquan Lynch missed Three Point Jumper.,33,61
15:59,197,Leyton Hammonds Defensive Rebound.,33,61
15:43,197,Phil Forte III missed Three Point Jumper.,33,61
15:43,2029,Jaquan Lynch Defensive Rebound.,33,61
15:37,2029,Deshon Bayless made Layup.,35,61
15:37,197,Foul on Jawun Evans.,35,61
15:37,2029,Deshon Bayless made Free Throw.,36,61
15:36,197,Official TV Timeout,36,61
15:26,197,Jeffrey Carroll made Three Point Jumper. Assisted by Leyton Hammonds.,36,64
15:10,2029,Joe'Randle Toliver Turnover.,36,64
15:10,197,Phil Forte III Steal.,36,64
15:03,197,Jeffrey Carroll missed Dunk.,36,64
15:03,2029,Joe'Randle Toliver Defensive Rebound.,36,64
14:56,2029,Ghiavonni Robinson made Dunk.,38,64
14:56,197,Foul on Mitchell Solomon.,38,64
14:56,2029,Ghiavonni Robinson made Free Throw.,39,64
14:37,197,Jawun Evans Turnover.,39,64
14:17,2029,Ghiavonni Robinson Turnover.,39,64
14:00,197,Jeffrey Carroll made Layup. Assisted by Leyton Hammonds.,39,66
13:46,2029,Jaquan Lynch made Layup. Assisted by Joe'Randle Toliver.,41,66
13:33,197,Thomas Dziagwa missed Three Point Jumper.,41,66
13:33,197,Cameron McGriff Offensive Rebound.,41,66
13:28,2029,Foul on David Tillman.,41,66
13:28,197,Cameron McGriff made Free Throw.,41,67
13:28,197,Cameron McGriff made Free Throw.,41,68
13:09,2029,David Tillman Turnover.,41,68
12:52,197,Lindy Waters III made Three Point Jumper. Assisted by Jeffrey Carroll.,41,71
12:25,2029,Foul on Kennedy McKinney.,41,71
12:25,2029,Kennedy McKinney Turnover.,41,71
12:11,197,Thomas Dziagwa made Three Point Jumper. Assisted by Cameron McGriff.,41,74
12:08,2029,Foul on Travon Harper.,41,74
12:08,197,Cameron McGriff made Free Throw.,41,75
12:08,2029,Travon Harper Turnover.,41,74
12:08,197,Cameron McGriff made Free Throw.,41,76
12:04,2029,Trent Steen Turnover.,41,76
12:04,197,Thomas Dziagwa Steal.,41,76
11:57,197,Jeffrey Carroll missed Three Point Jumper.,41,76
11:57,2029,Joe'Randle Toliver Defensive Rebound.,41,76
11:56,197,Foul on Cameron McGriff.,41,76
11:56,197,Official TV Timeout,41,76
11:49,2029,Kennedy McKinney missed Jumper.,41,76
11:49,2029,Kennedy McKinney Offensive Rebound.,41,76
11:27,197,Foul on Cameron McGriff.,41,76
11:27,2029,Travon Harper made Free Throw.,42,76
11:27,2029,Travon Harper missed Free Throw.,42,76
11:27,197,Cameron McGriff Defensive Rebound.,42,76
11:10,197,Lindy Waters III made Jumper. Assisted by Thomas Dziagwa.,42,78
10:55,2029,Kennedy McKinney missed Layup.,42,78
10:55,197,Brandon Averette Defensive Rebound.,42,78
10:49,197,Brandon Averette made Layup.,42,80
10:39,2029,Kennedy McKinney Turnover.,42,80
10:35,197,Brandon Averette made Layup.,42,82
10:21,197,Foul on Lindy Waters III.,42,82
10:21,2029,Travon Harper missed Free Throw.,42,82
10:21,2029,Arkansas-Pine Bluff Deadball Team Rebound.,42,82
10:21,2029,Travon Harper made Free Throw.,43,82
10:12,197,Jawun Evans Turnover.,43,82
10:12,2029,Kennedy McKinney Steal.,43,82
10:08,2029,Kennedy McKinney missed Layup.,43,82
10:08,197,Jawun Evans Block.,43,82
10:08,2029,Arkansas-Pine Bluff Offensive Rebound.,43,82
10:01,2029,Jaquan Lynch missed Jumper.,43,82
10:01,2029,David Tillman Offensive Rebound.,43,82
10:01,2029,David Tillman made Two Point Tip Shot.,45,82
9:49,197,Jawun Evans missed Jumper.,45,82
9:49,2029,Deshon Bayless Defensive Rebound.,45,82
9:38,2029,Ghiavonni Robinson Turnover.,45,82
9:38,2029,Foul on Ghiavonni Robinson.,45,82
9:23,197,Thomas Dziagwa missed Jumper.,45,82
9:23,197,Thomas Dziagwa Offensive Rebound.,45,82
9:18,197,Phil Forte III made Three Point Jumper. Assisted by Jawun Evans.,45,85
8:58,197,Foul on Phil Forte III.,45,85
8:58,2029,Ghiavonni Robinson made Free Throw.,46,85
8:58,2029,Ghiavonni Robinson missed Free Throw.,46,85
8:58,197,Lindy Waters III Defensive Rebound.,46,85
8:43,197,Leyton Hammonds made Three Point Jumper. Assisted by Phil Forte III.,46,88
8:20,197,Foul on Leyton Hammonds.,46,88
8:20,2029,Charles Jackson missed Free Throw.,46,88
8:20,2029,Arkansas-Pine Bluff Deadball Team Rebound.,46,88
8:20,2029,Charles Jackson made Free Throw.,47,88
8:04,197,Brandon Averette missed Three Point Jumper.,47,88
8:04,2029,Devin Berry Defensive Rebound.,47,88
7:52,2029,Trent Steen missed Jumper.,47,88
7:52,197,Leyton Hammonds Defensive Rebound.,47,88
7:52,2029,Foul on Devin Berry.,47,88
7:52,197,Leyton Hammonds made Free Throw.,47,89
7:52,2029,Devin Berry Turnover.,47,88
7:52,197,Official TV Timeout,47,88
7:52,197,Leyton Hammonds made Free Throw.,47,90
7:34,2029,Devin Berry missed Dunk.,47,90
7:34,2029,Devin Berry Offensive Rebound.,47,90
7:34,2029,Devin Berry made Layup.,49,90
7:34,197,Foul on Cameron McGriff.,49,90
7:34,2029,Devin Berry made Free Throw.,50,90
7:25,197,Thomas Dziagwa made Three Point Jumper. Assisted by Tyler Underwood.,50,93
7:04,2029,Devin Berry missed Jumper.,50,93
7:04,197,Lucas N'Guessan Block.,50,93
7:04,2029,Arkansas-Pine Bluff Offensive Rebound.,50,93
6:51,2029,Marcus Wallace missed Layup.,50,93
6:51,2029,Trent Steen Offensive Rebound.,50,93
6:44,2029,Trent Steen made Layup.,52,93
6:28,197,Thomas Dziagwa made Three Point Jumper. Assisted by Lucas N'Guessan.,52,96
5:57,197,Foul on Thomas Dziagwa.,52,96
5:57,2029,Devin Berry made Free Throw.,53,96
5:57,2029,Devin Berry made Free Throw.,54,96
5:54,197,Tyler Underwood Turnover.,54,96
5:54,2029,Trent Steen Steal.,54,96
5:48,2029,Deshon Bayless missed Three Point Jumper.,54,96
5:48,2029,Kennedy McKinney Offensive Rebound.,54,96
5:33,2029,Deshon Bayless missed Layup.,54,96
5:33,2029,Deshon Bayless Offensive Rebound.,54,96
5:30,2029,Deshon Bayless made Layup.,56,96
5:30,2029,Arkansas-Pine Bluff  Timeout,56,96
5:27,197,Brandon Averette Turnover.,56,96
5:17,197,Foul on Brandon Averette.,56,96
5:17,2029,Trent Steen missed Free Throw.,56,96
5:17,2029,Arkansas-Pine Bluff Deadball Team Rebound.,56,96
5:17,2029,Trent Steen made Free Throw.,57,96
5:04,197,Brandon Averette made Three Point Jumper. Assisted by Lucas N'Guessan.,57,99
4:47,2029,Kennedy McKinney Turnover.,57,99
4:23,197,Lindy Waters III missed Three Point Jumper.,57,99
4:23,2029,David Tillman Defensive Rebound.,57,99
4:15,2029,Joe'Randle Toliver Turnover.,57,99
4:15,197,Thomas Dziagwa Steal.,57,99
4:03,197,Brandon Averette missed Jumper.,57,99
4:03,2029,David Tillman Defensive Rebound.,57,99
3:53,2029,Joe'Randle Toliver Turnover.,57,99
3:53,197,Thomas Dziagwa Steal.,57,99
3:45,197,Brandon Averette missed Three Point Jumper.,57,99
3:45,197,Will Lienhard Offensive Rebound.,57,99
3:35,197,Brandon Averette missed Jumper.,57,99
3:35,2029,David Tillman Defensive Rebound.,57,99
3:13,2029,Deshon Bayless made Three Point Jumper. Assisted by David Tillman.,60,99
2:48,2029,Foul on David Tillman.,60,99
2:48,197,Official TV Timeout,60,99
2:48,197,Davon Dillard made Free Throw.,60,100
2:48,197,Davon Dillard missed Free Throw.,60,100
2:48,2029,Deshon Bayless Defensive Rebound.,60,100
2:48,197,Foul on Thomas Dziagwa.,60,100
2:48,2029,Deshon Bayless made Free Throw.,61,100
2:48,2029,Deshon Bayless made Free Throw.,62,100
2:36,197,Trey Reeves missed Three Point Jumper.,62,100
2:36,197,Will Lienhard Offensive Rebound.,62,100
2:17,197,Trey Reeves missed Jumper.,62,100
2:17,2029,Artavious McDyess Block.,62,100
2:17,2029,Artavious McDyess Defensive Rebound.,62,100
2:06,2029,Khalid Campbell Turnover.,62,100
1:57,197,Brandon Averette missed Jumper.,62,100
1:57,2029,Charles Jackson Defensive Rebound.,62,100
1:40,2029,Deshon Bayless missed Jumper.,62,100
1:40,197,Davon Dillard Defensive Rebound.,62,100
1:34,197,Trey Reeves missed Three Point Jumper.,62,100
1:34,197,Davon Dillard Offensive Rebound.,62,100
1:29,197,Davon Dillard made Layup.,62,102
1:16,2029,Khalid Campbell missed Three Point Jumper.,62,102
1:16,197,Will Lienhard Defensive Rebound.,62,102
1:03,197,Will Lienhard Turnover.,62,102
0:51,2029,Khalid Campbell made Jumper. Assisted by Joe'Randle Toliver.,64,102
0:13,197,Brandon Averette missed Jumper.,64,102
0:13,2029,Artavious McDyess Block.,64,102
0:13,2029,Joe'Randle Toliver Defensive Rebound.,64,102
0:06,2029,Joe'Randle Toliver made Layup.,66,102
0:00,197,End of Game,66,102
