Averett,Error,Longwood,2344
7:07,2344,Darrion Allen made Layup.,21,33
6:43,-1,Jalen Burnett made Three Point Jumper. Assisted by Charles Bryant.,24,33
6:28,-1,Foul on Moriba Diaby.,24,33
6:27,2344,Foul on Khris Lane.,24,33
6:27,2344,Khris Lane Turnover.,24,33
6:05,-1,Jalen Burnett missed Layup.,24,33
6:05,2344,Khris Lane Block.,24,33
6:04,-1,Charles Bryant Offensive Rebound.,24,33
6:01,-1,Charles Bryant missed Layup.,24,33
6:01,2344,Isaac Belton Defensive Rebound.,24,33
5:55,-1,Foul on Keith Patrick.,24,33
5:55,2344,Isaiah Walton missed Free Throw.,24,33
5:55,2344,Longwood Deadball Team Rebound.,24,33
5:55,2344,Isaiah Walton made Free Throw.,24,34
5:49,-1,Jalen Burnett missed Layup.,24,34
5:49,-1,Charles Bryant Offensive Rebound.,24,34
5:46,-1,Charles Bryant missed Layup.,24,34
5:46,-1,Averett Offensive Rebound.,24,34
5:45,2344,Foul on Khris Lane.,24,34
5:42,-1,Darin Ketner made Layup. Assisted by Jalen Burnett.,26,34
5:42,2344,Foul on Chris Shields.,26,34
5:42,-1,Darin Ketner missed Free Throw.,26,34
5:42,-1,Averett Offensive Rebound.,26,34
5:36,-1,Charles Bryant missed Three Point Jumper.,26,34
5:36,2344,Obi Romeo Defensive Rebound.,26,34
5:12,2344,Bryan Gee Turnover.,26,34
5:11,-1,Jalen Burnett Steal.,26,34
5:07,-1,Keith Patrick missed Layup.,26,34
5:07,-1,Charles Bryant Offensive Rebound.,26,34
5:02,-1,Darin Ketner made Three Point Jumper. Assisted by Charles Bryant.,29,34
4:50,-1,Foul on Jalen Burnett.,29,34
4:50,2344,Isaiah Walton made Free Throw.,29,35
4:50,2344,Isaiah Walton made Free Throw.,29,36
4:30,-1,Darin Ketner Turnover.,29,36
4:16,2344,Isaiah Walton missed Jumper.,29,36
4:16,-1,Darin Ketner Defensive Rebound.,29,36
4:02,-1,T.J. McAllister missed Three Point Jumper.,29,36
4:02,2344,Chris Shields Block.,29,36
4:00,-1,Darin Ketner Offensive Rebound.,29,36
3:58,-1,Darin Ketner made Jumper.,31,36
3:44,2344,Chris Shields made Three Point Jumper. Assisted by Darrion Allen.,31,39
3:24,-1,T.J. McAllister missed Three Point Jumper.,31,39
3:24,-1,Keith Patrick Offensive Rebound.,31,39
3:15,-1,Darin Ketner missed Three Point Jumper.,31,39
3:15,-1,Averett Offensive Rebound.,31,39
3:13,2344,Official TV Timeout,31,39
2:54,-1,T.J. McAllister missed Three Point Jumper.,31,39
2:54,-1,Darin Ketner Offensive Rebound.,31,39
2:49,-1,Darin Ketner Turnover.,31,39
2:23,2344,Darrion Allen missed Three Point Jumper.,31,39
2:23,-1,Jamal Forde Defensive Rebound.,31,39
2:15,-1,Darin Ketner missed Three Point Jumper.,31,39
2:15,-1,Darin Ketner Offensive Rebound.,31,39
2:06,-1,Charles Bryant missed Jumper.,31,39
2:06,2344,Chris Shields Defensive Rebound.,31,39
1:58,2344,Isaiah Walton missed Three Point Jumper.,31,39
1:58,-1,T.J. McAllister Defensive Rebound.,31,39
1:51,-1,Darin Ketner missed Jumper.,31,39
1:51,2344,Obi Romeo Block.,31,39
1:48,-1,Averett Offensive Rebound.,31,39
1:44,-1,T.J. McAllister missed Jumper.,31,39
1:44,2344,Chris Shields Defensive Rebound.,31,39
1:40,2344,Darrion Allen made Layup. Assisted by Chris Shields.,31,41
1:40,-1,Foul on T.J. McAllister.,31,41
1:40,2344,Darrion Allen made Free Throw.,31,42
1:18,2344,Foul on Chris Shields.,31,42
1:18,-1,Moriba Diaby made Free Throw.,32,42
1:18,-1,Moriba Diaby missed Free Throw.,32,42
1:18,2344,Isaac Belton Defensive Rebound.,32,42
1:01,2344,JaShaun Smith missed Jumper.,32,42
1:01,-1,Taj Thompson Defensive Rebound.,32,42
0:48,-1,Moriba Diaby missed Layup.,32,42
0:48,-1,Charles Bryant Offensive Rebound.,32,42
0:45,-1,Charles Bryant missed Layup.,32,42
0:45,2344,Dominic Ezeani Defensive Rebound.,32,42
0:35,-1,Foul on Moriba Diaby.,32,42
0:35,2344,Isaac Belton made Free Throw.,32,43
0:35,2344,Isaac Belton made Free Throw.,32,44
0:35,2344,Longwood  Timeout,32,44
0:20,-1,Taj Thompson missed Three Point Jumper.,32,44
0:20,2344,Isaac Belton Defensive Rebound.,32,44
0:01,2344,Darrion Allen missed Jumper.,32,44
0:01,-1,Averett Defensive Rebound.,32,44
0:00,2344,End of 1st half,32,44
19:46,2344,Isaiah Walton missed Jumper.,32,44
19:46,2344,Isaac Belton Offensive Rebound.,32,44
19:31,2344,Khris Lane missed Jumper.,32,44
19:31,-1,Darin Ketner Defensive Rebound.,32,44
19:13,-1,James Contreras Jr. missed Layup.,32,44
19:13,2344,JaShaun Smith Defensive Rebound.,32,44
19:00,2344,JaShaun Smith made Layup.,32,46
18:32,-1,Darin Ketner missed Three Point Jumper.,32,46
18:32,-1,Charles Bryant Offensive Rebound.,32,46
18:29,2344,Foul on Isaiah Walton.,32,46
18:27,-1,Darin Ketner Turnover.,32,46
18:26,2344,Darrion Allen Steal.,32,46
18:25,-1,Foul on Darin Ketner.,32,46
18:25,2344,Darrion Allen made Free Throw.,32,47
18:25,2344,Darrion Allen made Free Throw.,32,48
18:08,-1,Jalen Burnett made Layup. Assisted by T.J. McAllister.,34,48
17:48,2344,Darrion Allen made Jumper.,34,50
17:34,-1,James Contreras Jr. missed Jumper.,34,50
17:34,2344,Isaac Belton Defensive Rebound.,34,50
17:19,2344,Isaiah Walton missed Layup.,34,50
17:19,-1,Jalen Burnett Defensive Rebound.,34,50
17:12,-1,Jalen Burnett made Layup.,36,50
16:46,2344,Khris Lane missed Jumper.,36,50
16:46,-1,Jalen Burnett Defensive Rebound.,36,50
16:44,2344,Foul on Isaac Belton.,36,50
16:44,-1,Jalen Burnett made Free Throw.,37,50
16:44,-1,Jalen Burnett made Free Throw.,38,50
16:33,-1,Jalen Burnett Turnover.,38,50
16:33,-1,T.J. McAllister Steal.,38,50
16:14,-1,James Contreras Jr. missed Layup.,38,50
16:14,2344,Khris Lane Defensive Rebound.,38,50
16:06,-1,Foul on Jamal Forde.,38,50
16:06,2344,Darrion Allen made Free Throw.,38,51
16:06,2344,Darrion Allen made Free Throw.,38,52
15:51,2344,Foul on Darrion Allen.,38,52
15:51,2344,Official TV Timeout,38,52
15:50,-1,Austin DeLucia made Three Point Jumper. Assisted by T.J. McAllister.,41,52
15:27,2344,Darrion Allen made Three Point Jumper. Assisted by Isaac Belton.,41,55
15:04,-1,Jamal Forde missed Jumper.,41,55
15:04,2344,Isaiah Walton Defensive Rebound.,41,55
14:48,2344,Chris Shields made Layup.,41,57
14:24,-1,Charles Bryant made Layup.,43,57
14:08,2344,Chris Shields made Layup.,43,59
13:55,-1,Foul on Austin DeLucia.,43,59
13:55,-1,Austin DeLucia Turnover.,43,59
13:27,2344,Darrion Allen missed Jumper.,43,59
13:27,2344,Khris Lane Offensive Rebound.,43,59
13:25,2344,Khris Lane made Layup.,43,61
13:12,-1,Taj Thompson made Jumper.,45,61
13:10,-1,Averett  Timeout,45,61
13:05,2344,Khris Lane Turnover.,45,61
13:03,-1,James Contreras Jr. Steal.,45,61
12:55,-1,Foul on Darin Ketner.,45,61
12:55,-1,Darin Ketner Turnover.,45,61
12:30,2344,Khris Lane made Dunk. Assisted by Isaac Belton.,45,63
12:14,-1,Austin DeLucia made Three Point Jumper. Assisted by James Contreras Jr..,48,63
11:52,2344,Isaiah Walton made Three Point Jumper.,48,66
11:27,-1,Austin DeLucia missed Three Point Jumper.,48,66
11:27,2344,Longwood Defensive Rebound.,48,66
11:24,2344,Official TV Timeout,48,66
11:14,-1,Foul on Darin Ketner.,48,66
11:14,2344,Khris Lane missed Free Throw.,48,66
11:14,2344,Longwood Deadball Team Rebound.,48,66
11:14,2344,Khris Lane missed Free Throw.,48,66
11:14,-1,Darin Ketner Defensive Rebound.,48,66
10:55,-1,Charles Bryant made Layup.,50,66
10:33,2344,JaShaun Smith made Jumper.,50,68
10:18,2344,Foul on JaShaun Smith.,50,68
10:06,-1,Darin Ketner made Layup. Assisted by Jalen Burnett.,52,68
9:46,2344,Chris Shields made Three Point Jumper. Assisted by Isaiah Walton.,52,71
9:26,-1,Charles Bryant missed Layup.,52,71
9:26,2344,Khris Lane Defensive Rebound.,52,71
8:59,2344,Isaiah Walton missed Layup.,52,71
8:59,-1,Austin DeLucia Defensive Rebound.,52,71
8:46,-1,Jalen Burnett made Layup.,54,71
8:26,2344,Chris Shields Turnover.,54,71
8:25,-1,Jalen Burnett Steal.,54,71
8:20,-1,Jalen Burnett made Layup.,56,71
8:18,2344,Longwood  Timeout,56,71
8:00,2344,Darrion Allen Turnover.,56,71
7:51,-1,Taj Thompson missed Layup.,56,71
7:51,2344,Khris Lane Defensive Rebound.,56,71
7:39,2344,Khris Lane made Jumper.,56,73
7:23,2344,Foul on Khris Lane.,56,73
7:23,-1,James Contreras Jr. made Free Throw.,57,73
7:23,-1,James Contreras Jr. missed Free Throw.,57,73
7:23,2344,Khris Lane Defensive Rebound.,57,73
7:17,2344,Khris Lane missed Jumper.,57,73
7:17,-1,Averett Defensive Rebound.,57,73
6:58,-1,James Contreras Jr. missed Layup.,57,73
6:58,-1,James Contreras Jr. Offensive Rebound.,57,73
6:54,-1,James Contreras Jr. made Layup.,59,73
6:38,2344,Isaiah Walton made Layup.,59,75
6:38,-1,Foul on Taj Thompson.,59,75
6:38,2344,Isaiah Walton missed Free Throw.,59,75
6:38,-1,Taj Thompson Defensive Rebound.,59,75
6:29,-1,Charles Bryant missed Jumper.,59,75
6:29,-1,James Contreras Jr. Offensive Rebound.,59,75
6:21,-1,Austin DeLucia missed Layup.,59,75
6:21,-1,Taj Thompson Offensive Rebound.,59,75
6:03,-1,Taj Thompson missed Three Point Jumper.,59,75
6:03,2344,Longwood Defensive Rebound.,59,75
6:00,2344,Foul on Khris Lane.,59,75
5:58,-1,Austin DeLucia made Layup. Assisted by Taj Thompson.,61,75
5:44,2344,Isaiah Walton made Layup.,61,77
5:42,2344,Longwood  Timeout,61,77
5:42,2344,Foul on Isaiah Walton.,61,77
5:42,-1,James Contreras Jr. made Free Throw.,62,77
5:42,2344,Technical Foul on Isaiah Walton.,61,77
5:42,-1,James Contreras Jr. made Free Throw.,63,77
5:25,2344,Foul on Chris Shields.,63,77
5:25,-1,Taj Thompson made Free Throw.,64,77
5:25,-1,Taj Thompson made Free Throw.,65,77
5:05,2344,JaShaun Smith Turnover.,65,77
4:52,-1,James Contreras Jr. made Layup.,67,77
4:36,2344,Chris Shields missed Layup.,67,77
4:36,2344,Isaac Belton Offensive Rebound.,67,77
4:33,2344,Isaac Belton made Layup.,67,79
4:31,2344,Longwood  Timeout,67,79
4:19,-1,Foul on James Contreras Jr..,67,79
4:19,-1,James Contreras Jr. Turnover.,67,79
3:59,2344,Isaiah Walton made Layup.,67,81
3:41,2344,Foul on Darrion Allen.,67,81
3:41,2344,Official TV Timeout,67,81
3:41,-1,Charles Bryant missed Free Throw.,67,81
3:41,-1,Averett Deadball Team Rebound.,67,81
3:41,-1,Charles Bryant missed Free Throw.,67,81
3:41,2344,Khris Lane Defensive Rebound.,67,81
3:29,2344,JaShaun Smith Turnover.,67,81
3:23,-1,Austin DeLucia missed Three Point Jumper.,67,81
3:23,2344,Khris Lane Defensive Rebound.,67,81
3:00,2344,Khris Lane Turnover.,67,81
2:41,-1,Charles Bryant Turnover.,67,81
2:40,2344,JaShaun Smith Steal.,67,81
2:37,-1,Foul on Jamal Forde.,67,81
2:37,2344,Isaiah Walton made Free Throw.,67,82
2:37,2344,Isaiah Walton missed Free Throw.,67,82
2:37,-1,Darin Ketner Defensive Rebound.,67,82
2:25,-1,Moriba Diaby Turnover.,67,82
2:24,2344,Isaac Belton Steal.,67,82
2:22,2344,Isaac Belton made Dunk.,67,84
2:03,-1,T.J. McAllister Turnover.,67,84
1:48,2344,Darrion Allen missed Three Point Jumper.,67,84
1:48,-1,Jamal Forde Defensive Rebound.,67,84
1:39,-1,Keith Patrick missed Three Point Jumper.,67,84
1:39,2344,Darrion Allen Defensive Rebound.,67,84
1:17,2344,Isaiah Walton missed Layup.,67,84
1:17,2344,Obi Romeo Offensive Rebound.,67,84
1:14,2344,Obi Romeo made Layup.,67,86
1:07,-1,Averett  Timeout,67,86
1:02,-1,Brandon Baker missed Three Point Jumper.,67,86
1:02,2344,JaShaun Smith Defensive Rebound.,67,86
0:38,2344,JaShaun Smith missed Three Point Jumper.,67,86
0:38,-1,Averett Defensive Rebound.,67,86
0:12,-1,Ian Best Turnover.,67,86
0:11,2344,Obi Romeo Steal.,67,86
0:00,2344,End of Game,67,86
