UC Santa Barbara,26,UCLA,2540
8:25,2540,Alex Hart Turnover.,18,34
8:25,26,Aaron Holiday Steal.,18,34
8:19,26,Aaron Holiday missed Three Point Jumper.,18,34
8:19,26,Lonzo Ball Offensive Rebound.,18,34
8:19,26,Lonzo Ball missed Two Point Tip Shot.,18,34
8:10,26,TJ Leaf Offensive Rebound.,18,34
8:09,26,Aaron Holiday made Jumper.,18,36
7:50,2540,Ami Lakoju made Layup.,20,36
7:39,26,Aaron Holiday missed Three Point Jumper.,20,36
7:39,2540,Alex Hart Defensive Rebound.,20,36
7:14,2540,Max Heidegger Turnover.,20,36
7:14,26,Aaron Holiday Steal.,20,36
7:11,26,Isaac Hamilton made Layup. Assisted by Lonzo Ball.,20,38
6:58,2540,Christian Terrell missed Three Point Jumper.,20,38
6:58,26,Lonzo Ball Defensive Rebound.,20,38
6:42,26,Isaac Hamilton missed Three Point Jumper.,20,38
6:42,2540,Christian Terrell Defensive Rebound.,20,38
6:33,2540,Christian Terrell missed Layup.,20,38
6:33,26,TJ Leaf Defensive Rebound.,20,38
6:26,26,Lonzo Ball missed Layup.,20,38
6:26,2540,Alex Hart Defensive Rebound.,20,38
6:02,2540,Max Heidegger Turnover.,20,38
6:02,26,Aaron Holiday Steal.,20,38
5:57,26,Isaac Hamilton made Layup. Assisted by Aaron Holiday.,20,40
5:40,2540,Gabe Vincent missed Jumper.,20,40
5:40,26,TJ Leaf Defensive Rebound.,20,40
5:27,26,TJ Leaf missed Three Point Jumper.,20,40
5:27,2540,Ami Lakoju Defensive Rebound.,20,40
5:24,26,Official TV Timeout,20,40
4:54,2540,UC Santa Barbara  Turnover.,20,40
4:43,2540,Foul on Clifton Powell.,20,40
4:37,26,Gyorgy Goloman made Layup. Assisted by TJ Leaf.,20,42
4:06,2540,Clifton Powell Turnover.,20,42
3:49,26,Isaac Hamilton made Layup. Assisted by TJ Leaf.,20,44
3:19,2540,Jalen Canty made Layup. Assisted by Eric Childress.,22,44
3:02,2540,Foul on Eric Childress.,22,44
3:02,26,Official TV Timeout,22,44
2:47,26,Isaac Hamilton missed Three Point Jumper.,22,44
2:47,2540,Gabe Vincent Defensive Rebound.,22,44
2:39,2540,Eric Childress missed Jumper.,22,44
2:39,2540,Jalen Canty Offensive Rebound.,22,44
2:30,2540,Jalen Canty made Layup.,24,44
2:26,26,TJ Leaf made Three Point Jumper. Assisted by Aaron Holiday.,24,47
2:08,2540,Clifton Powell Turnover.,24,47
2:08,26,Isaac Hamilton Steal.,24,47
2:04,2540,Foul on Gabe Vincent.,24,47
1:54,26,Aaron Holiday missed Three Point Jumper.,24,47
1:54,26,TJ Leaf Offensive Rebound.,24,47
1:46,2540,Foul on Jalen Canty.,24,47
1:46,26,Aaron Holiday made Free Throw.,24,48
1:46,26,Aaron Holiday made Free Throw.,24,49
1:23,2540,Gabe Vincent made Three Point Jumper.,27,49
0:55,26,Isaac Hamilton made Layup. Assisted by TJ Leaf.,27,51
0:39,2540,Eric Childress missed Three Point Jumper.,27,51
0:39,26,Lonzo Ball Defensive Rebound.,27,51
0:30,26,Isaac Hamilton Turnover.,27,51
0:30,2540,Christian Terrell Steal.,27,51
0:27,2540,Christian Terrell made Layup.,29,51
0:27,26,Foul on Lonzo Ball.,29,51
0:27,26,UCLA  Timeout,29,51
0:27,2540,Christian Terrell made Free Throw.,30,51
0:03,26,Aaron Holiday made Three Point Jumper. Assisted by TJ Leaf.,30,54
0:00,26,End of 1st half,30,54
20:00,2540,Jump Ball won by UC Santa Barbara,30,54
19:39,2540,Jalen Canty made Layup. Assisted by Eric Childress.,32,54
19:39,26,Foul on Bryce Alford.,32,54
19:39,2540,Jalen Canty missed Free Throw.,32,54
19:39,26,Gyorgy Goloman Defensive Rebound.,32,54
19:30,26,Isaac Hamilton missed Three Point Jumper.,32,54
19:30,2540,Max Heidegger Defensive Rebound.,32,54
19:30,2540,Max Heidegger missed Layup.,32,54
19:30,26,Gyorgy Goloman Block.,32,54
19:30,2540,Max Heidegger Offensive Rebound.,32,54
19:30,2540,Gabe Vincent missed Three Point Jumper.,32,54
19:30,26,Gyorgy Goloman Defensive Rebound.,32,54
19:13,2540,Foul on Jalen Canty.,32,54
19:13,26,Gyorgy Goloman missed Free Throw.,32,54
19:13,26,UCLA Deadball Team Rebound.,32,54
19:13,26,Gyorgy Goloman made Free Throw.,32,55
18:43,2540,Max Heidegger missed Layup.,32,55
18:43,2540,Jalen Canty Offensive Rebound.,32,55
18:39,2540,Jalen Canty missed Layup.,32,55
18:39,26,Gyorgy Goloman Block.,32,55
18:39,26,Gyorgy Goloman Defensive Rebound.,32,55
18:29,26,Bryce Alford missed Three Point Jumper.,32,55
18:29,2540,Ami Lakoju Defensive Rebound.,32,55
18:25,2540,Eric Childress missed Three Point Jumper.,32,55
18:25,26,Bryce Alford Defensive Rebound.,32,55
18:15,26,TJ Leaf Turnover.,32,55
18:15,2540,Eric Childress Steal.,32,55
18:07,2540,Eric Childress missed Layup.,32,55
18:07,2540,Ami Lakoju Offensive Rebound.,32,55
18:07,2540,Ami Lakoju missed Two Point Tip Shot.,32,55
18:07,2540,Ami Lakoju Offensive Rebound.,32,55
18:07,2540,Ami Lakoju missed Two Point Tip Shot.,32,55
18:07,26,TJ Leaf Block.,32,55
18:07,2540,Ami Lakoju Offensive Rebound.,32,55
18:07,2540,Ami Lakoju missed Two Point Tip Shot.,32,55
18:07,26,UCLA Defensive Rebound.,32,55
17:53,26,TJ Leaf missed Jumper.,32,55
17:53,2540,Alex Hart Defensive Rebound.,32,55
17:15,2540,Gabe Vincent missed Three Point Jumper.,32,55
17:15,26,Bryce Alford Defensive Rebound.,32,55
17:00,26,Lonzo Ball made Three Point Jumper. Assisted by TJ Leaf.,32,58
16:40,2540,Gabe Vincent Turnover.,32,58
16:40,26,Isaac Hamilton Steal.,32,58
16:40,2540,Foul on Gabe Vincent.,32,58
16:33,26,Bryce Alford made Jumper. Assisted by Isaac Hamilton.,32,60
16:17,2540,Gabe Vincent missed Layup.,32,60
16:17,2540,Alex Hart Offensive Rebound.,32,60
16:17,2540,Alex Hart made Two Point Tip Shot.,34,60
16:05,26,Lonzo Ball made Layup.,34,62
16:01,2540,Eric Childress Turnover.,34,62
16:01,26,Gyorgy Goloman Steal.,34,62
15:56,26,TJ Leaf made Dunk. Assisted by Lonzo Ball.,34,64
15:33,2540,Max Heidegger missed Layup.,34,64
15:33,26,Gyorgy Goloman Block.,34,64
15:33,2540,UC Santa Barbara Offensive Rebound.,34,64
15:33,26,Official TV Timeout,34,64
15:26,2540,Alex Hart missed Jumper.,34,64
15:26,2540,Jalen Canty Offensive Rebound.,34,64
15:22,2540,Jalen Canty made Layup.,36,64
15:22,26,Foul on Gyorgy Goloman.,36,64
15:22,2540,Jalen Canty made Free Throw.,37,64
15:15,26,Bryce Alford missed Three Point Jumper.,37,64
15:15,26,Lonzo Ball Offensive Rebound.,37,64
15:11,26,Lonzo Ball made Three Point Jumper. Assisted by TJ Leaf.,37,67
14:46,2540,Jalen Canty missed Layup.,37,67
14:46,26,TJ Leaf Block.,37,67
14:46,26,UCLA Defensive Rebound.,37,67
14:32,26,Foul on Ike Anigbogu.,37,67
14:32,26,Ike Anigbogu Turnover.,37,67
14:13,2540,Foul on Alex Hart.,37,67
14:13,2540,Alex Hart Turnover.,37,67
14:04,26,Ike Anigbogu made Dunk. Assisted by Lonzo Ball.,37,69
13:31,2540,Jalen Canty missed Jumper.,37,69
13:31,26,Aaron Holiday Block.,37,69
13:31,2540,Max Heidegger Offensive Rebound.,37,69
13:23,2540,Max Heidegger made Layup.,39,69
13:15,26,TJ Leaf made Jumper. Assisted by Lonzo Ball.,39,71
12:59,2540,Eric Childress missed Jumper.,39,71
12:59,2540,Jalen Canty Offensive Rebound.,39,71
12:55,2540,Jalen Canty missed Layup.,39,71
12:55,26,Ike Anigbogu Block.,39,71
12:55,26,UCLA Defensive Rebound.,39,71
12:47,26,Lonzo Ball missed Three Point Jumper.,39,71
12:47,2540,Christian Terrell Defensive Rebound.,39,71
12:34,2540,Jarriesse Blackmon missed Layup.,39,71
12:34,26,Ike Anigbogu Defensive Rebound.,39,71
12:27,26,Aaron Holiday Turnover.,39,71
12:27,2540,Eric Childress Steal.,39,71
12:21,2540,Eric Childress made Jumper.,41,71
12:21,2540,Foul on Christian Terrell.,41,71
12:10,26,Isaac Hamilton missed Three Point Jumper.,41,71
12:10,2540,Ami Lakoju Defensive Rebound.,41,71
12:10,26,Foul on Isaac Hamilton.,41,71
11:52,26,Official TV Timeout,41,71
11:52,2540,Clifton Powell made Free Throw.,42,71
11:52,2540,Clifton Powell made Free Throw.,43,71
11:40,26,TJ Leaf missed Layup.,43,71
11:40,2540,Jarriesse Blackmon Defensive Rebound.,43,71
11:33,2540,Jarriesse Blackmon missed Layup.,43,71
11:33,2540,Clifton Powell Offensive Rebound.,43,71
11:27,2540,Clifton Powell made Jumper.,45,71
11:23,26,Aaron Holiday made Jumper.,45,73
10:59,2540,Clifton Powell made Jumper.,47,73
10:47,26,TJ Leaf made Dunk. Assisted by Ike Anigbogu.,47,75
10:29,2540,Clifton Powell missed Jumper.,47,75
10:29,26,Ike Anigbogu Block.,47,75
10:29,2540,UC Santa Barbara Offensive Rebound.,47,75
10:21,2540,Ami Lakoju missed Layup.,47,75
10:21,2540,Ami Lakoju Offensive Rebound.,47,75
10:13,2540,Ami Lakoju made Layup.,49,75
10:13,2540,Foul on Eric Childress.,49,75
10:10,2540,Foul on Ami Lakoju.,49,75
10:08,26,Ike Anigbogu made Layup. Assisted by Gyorgy Goloman.,49,77
9:57,2540,Clifton Powell missed Jumper.,49,77
9:57,26,Ike Anigbogu Block.,49,77
9:57,2540,Christian Terrell Offensive Rebound.,49,77
9:45,2540,Ami Lakoju missed Jumper.,49,77
9:45,26,Gyorgy Goloman Defensive Rebound.,49,77
9:45,2540,Foul on Clifton Powell.,49,77
9:45,26,Bryce Alford missed Free Throw.,49,77
9:45,2540,Jarriesse Blackmon Defensive Rebound.,49,77
9:40,2540,Jarriesse Blackmon missed Jumper.,49,77
9:40,26,Lonzo Ball Defensive Rebound.,49,77
9:40,26,Gyorgy Goloman Turnover.,49,77
9:40,2540,Christian Terrell Steal.,49,77
9:38,2540,Clifton Powell missed Layup.,49,77
9:38,2540,UC Santa Barbara Offensive Rebound.,49,77
8:59,2540,Gabe Vincent missed Three Point Jumper.,49,77
8:59,26,UCLA Defensive Rebound.,49,77
8:55,26,Bryce Alford made Three Point Jumper. Assisted by Aaron Holiday.,49,80
8:39,2540,Max Heidegger made Three Point Jumper. Assisted by Christian Terrell.,52,80
8:23,26,Bryce Alford made Jumper.,52,82
8:04,2540,Christian Terrell missed Three Point Jumper.,52,82
8:04,26,Ike Anigbogu Defensive Rebound.,52,82
7:56,26,Lonzo Ball made Dunk. Assisted by Aaron Holiday.,52,84
7:27,26,Foul on Aaron Holiday.,52,84
7:27,26,Official TV Timeout,52,84
7:27,2540,Jalen Canty missed Free Throw.,52,84
7:27,2540,UC Santa Barbara Deadball Team Rebound.,52,84
7:27,2540,Jalen Canty missed Free Throw.,52,84
7:27,26,Aaron Holiday Defensive Rebound.,52,84
7:21,26,Aaron Holiday Turnover.,52,84
7:21,2540,Maxwell Kupchak Steal.,52,84
7:14,2540,Gabe Vincent missed Jumper.,52,84
7:14,2540,Christian Terrell Offensive Rebound.,52,84
7:00,2540,Max Heidegger made Jumper.,54,84
6:43,26,Aaron Holiday made Layup. Assisted by TJ Leaf.,54,86
6:43,2540,Foul on Gabe Vincent.,54,86
6:43,26,Aaron Holiday made Free Throw.,54,87
6:24,2540,Jalen Canty missed Jumper.,54,87
6:24,26,TJ Leaf Defensive Rebound.,54,87
6:16,26,Gyorgy Goloman made Layup.,54,89
6:01,2540,Gabe Vincent missed Layup.,54,89
6:01,26,Gyorgy Goloman Block.,54,89
6:01,26,Lonzo Ball Defensive Rebound.,54,89
5:55,26,TJ Leaf missed Jumper.,54,89
5:55,2540,Christian Terrell Defensive Rebound.,54,89
5:49,2540,Max Heidegger missed Three Point Jumper.,54,89
5:49,2540,Maxwell Kupchak Offensive Rebound.,54,89
5:44,2540,Maxwell Kupchak missed Jumper.,54,89
5:44,2540,Max Heidegger Offensive Rebound.,54,89
5:39,2540,Max Heidegger made Layup.,56,89
5:25,26,Bryce Alford missed Three Point Jumper.,56,89
5:25,2540,Maxwell Kupchak Defensive Rebound.,56,89
5:20,2540,Gabe Vincent Turnover.,56,89
5:09,26,Isaac Hamilton Turnover.,56,89
4:59,2540,Ami Lakoju made Layup. Assisted by Christian Terrell.,58,89
4:52,26,UCLA  Timeout,58,89
4:41,26,Bryce Alford missed Three Point Jumper.,58,89
4:41,26,TJ Leaf Offensive Rebound.,58,89
4:41,26,TJ Leaf made Two Point Tip Shot.,58,91
4:41,2540,Foul on Maxwell Kupchak.,58,91
4:41,26,TJ Leaf missed Free Throw.,58,91
4:41,2540,Maxwell Kupchak Defensive Rebound.,58,91
4:21,2540,Gabe Vincent Turnover.,58,91
4:21,26,TJ Leaf Steal.,58,91
4:18,2540,Foul on Eric Childress.,58,91
4:18,26,Aaron Holiday made Free Throw.,58,92
4:18,26,Aaron Holiday made Free Throw.,58,93
4:07,2540,Gabe Vincent missed Jumper.,58,93
4:07,2540,Christian Terrell Offensive Rebound.,58,93
4:01,2540,Gabe Vincent missed Three Point Jumper.,58,93
4:01,2540,Christian Terrell Offensive Rebound.,58,93
3:56,2540,Ami Lakoju missed Jumper.,58,93
3:56,26,Ike Anigbogu Block.,58,93
3:56,2540,Christian Terrell Offensive Rebound.,58,93
3:44,2540,Eric Childress Turnover.,58,93
3:44,26,Aaron Holiday Steal.,58,93
3:39,2540,Foul on Eric Childress.,58,93
3:39,26,Official TV Timeout,58,93
3:39,26,Aaron Holiday made Free Throw.,58,94
3:39,26,Aaron Holiday made Free Throw.,58,95
3:30,2540,Ami Lakoju missed Layup.,58,95
3:30,26,Ike Anigbogu Defensive Rebound.,58,95
3:30,26,Ike Anigbogu missed Jumper.,58,95
3:30,2540,Ami Lakoju Defensive Rebound.,58,95
3:21,26,Ike Anigbogu missed Jumper.,58,95
3:21,2540,Ami Lakoju Defensive Rebound.,58,95
3:21,26,Foul on Ike Anigbogu.,58,95
3:10,26,Foul on Ike Anigbogu.,58,95
2:58,26,Foul on Ike Anigbogu.,58,95
2:58,2540,Ami Lakoju made Free Throw.,59,95
2:58,2540,Ami Lakoju missed Free Throw.,59,95
2:58,26,Ike Anigbogu Defensive Rebound.,59,95
2:44,26,Ike Anigbogu made Jumper.,59,97
2:44,2540,Foul on Ami Lakoju.,59,97
2:44,26,Ike Anigbogu made Free Throw.,59,98
2:35,2540,Christian Terrell missed Jumper.,59,98
2:35,26,Isaac Hamilton Defensive Rebound.,59,98
2:19,26,Isaac Hamilton missed Three Point Jumper.,59,98
2:19,2540,Eric Childress Defensive Rebound.,59,98
2:06,2540,Gabe Vincent missed Layup.,59,98
2:06,26,Gyorgy Goloman Defensive Rebound.,59,98
1:51,2540,Foul on Gabe Vincent.,59,98
1:51,26,Bryce Alford made Free Throw.,59,99
1:51,26,Bryce Alford made Free Throw.,59,100
1:38,2540,Sam Walters made Three Point Jumper.,62,100
1:23,26,Aaron Holiday made Jumper. Assisted by Jerrold Smith.,62,102
1:03,2540,Jarriesse Blackmon missed Jumper.,62,102
1:03,2540,J.D. Slajchert Offensive Rebound.,62,102
0:54,2540,J.D. Slajchert Turnover.,62,102
0:54,26,Jerrold Smith Steal.,62,102
0:48,26,Alec Wulff missed Three Point Jumper.,62,102
0:48,2540,Tide Osifeso Defensive Rebound.,62,102
0:33,2540,J.D. Slajchert missed Layup.,62,102
0:33,26,Ikenna Okwarabizie Defensive Rebound.,62,102
0:00,26,UCLA  Timeout,62,102
0:00,26,End of 2nd half,62,102
