Middle Tennessee,2057,Belmont,2393
9:34,2057,Austin Luke Turnover.,52,56
9:34,2393,Reggie Upshaw Steal.,52,56
9:19,2393,Antwain Johnson made Three Point Jumper. Assisted by JaCorey Williams.,55,56
9:03,2057,Austin Luke Turnover.,55,56
8:44,2393,JaCorey Williams made Jumper. Assisted by Tyrik Dixon.,57,56
8:31,2057,Amanze Egekeze Turnover.,57,56
8:30,2393,Reggie Upshaw Steal.,57,56
8:25,2393,Reggie Upshaw missed Layup.,57,56
8:25,2393,Reggie Upshaw Offensive Rebound.,57,56
8:23,2393,Reggie Upshaw missed Two Point Tip Shot.,57,56
8:23,2057,Amanze Egekeze Defensive Rebound.,57,56
8:14,2057,Kevin McClain Turnover.,57,56
8:13,2393,JaCorey Williams Steal.,57,56
8:08,2393,JaCorey Williams made Layup. Assisted by Antwain Johnson.,59,56
8:01,2057,Official TV Timeout,59,56
8:01,2057,Belmont  Timeout,59,56
7:43,2057,Austin Luke Turnover.,59,56
7:40,2393,Tyrik Dixon Steal.,59,56
7:39,2393,JaCorey Williams made Dunk. Assisted by Tyrik Dixon.,61,56
7:32,2393,Foul on Tyrik Dixon.,61,56
7:24,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,61,59
6:58,2393,JaCorey Williams Turnover.,61,59
6:57,2057,Austin Luke Steal.,61,59
6:51,2057,Dylan Windler made Three Point Jumper. Assisted by Austin Luke.,61,62
6:25,2393,Tyrik Dixon made Three Point Jumper. Assisted by Reggie Upshaw.,64,62
6:08,2057,Austin Luke Turnover.,64,62
6:07,2393,JaCorey Williams Steal.,64,62
5:44,2393,JaCorey Williams missed Jumper.,64,62
5:44,2057,Evan Bradds Defensive Rebound.,64,62
5:16,2057,Taylor Barnette missed Three Point Jumper.,64,62
5:16,2057,Amanze Egekeze Offensive Rebound.,64,62
5:04,2057,Evan Bradds missed Layup.,64,62
5:04,2393,Tyrik Dixon Defensive Rebound.,64,62
4:40,2393,Reggie Upshaw made Layup. Assisted by JaCorey Williams.,66,62
4:40,2057,Foul on Amanze Egekeze.,66,62
4:40,2393,Reggie Upshaw made Free Throw.,67,62
4:23,2057,Amanze Egekeze missed Three Point Jumper.,67,62
4:23,2393,JaCorey Williams Defensive Rebound.,67,62
3:52,2393,Giddy Potts missed Jumper.,67,62
3:52,2393,Middle Tennessee Deadball Team Rebound.,67,62
3:50,2393,Middle Tennessee  Turnover.,67,62
3:48,2057,Official TV Timeout,67,62
3:35,2057,Evan Bradds made Jumper.,67,64
3:12,2393,JaCorey Williams made Jumper.,69,64
2:53,2057,Taylor Barnette missed Three Point Jumper.,69,64
2:53,2057,Taylor Barnette Offensive Rebound.,69,64
2:32,2057,Austin Luke missed Three Point Jumper.,69,64
2:32,2393,Edward Simpson Defensive Rebound.,69,64
2:12,2393,Edward Simpson missed Jumper.,69,64
2:12,2057,Evan Bradds Defensive Rebound.,69,64
1:55,2057,Evan Bradds made Layup.,69,66
1:29,2393,Tyrik Dixon made Three Point Jumper. Assisted by JaCorey Williams.,72,66
1:18,2057,Dylan Windler missed Three Point Jumper.,72,66
1:18,2393,Tyrik Dixon Defensive Rebound.,72,66
1:04,2393,Giddy Potts made Three Point Jumper. Assisted by Edward Simpson.,75,66
0:52,2057,Austin Luke missed Layup.,75,66
0:52,2393,Reggie Upshaw Block.,75,66
0:51,2393,JaCorey Williams Defensive Rebound.,75,66
0:38,2057,Foul on Austin Luke.,75,66
0:35,2057,Foul on Dylan Windler.,75,66
0:35,2393,Giddy Potts made Free Throw.,76,66
0:35,2393,Giddy Potts made Free Throw.,77,66
0:27,2057,Evan Bradds missed Layup.,77,66
0:27,2393,JaCorey Williams Block.,77,66
0:25,2393,Giddy Potts Defensive Rebound.,77,66
0:23,2057,Foul on Taylor Barnette.,77,66
0:23,2393,Giddy Potts made Free Throw.,78,66
0:23,2393,Giddy Potts made Free Throw.,79,66
0:17,2057,Austin Luke missed Layup.,79,66
0:17,2393,JaCorey Williams Defensive Rebound.,79,66
0:00,2057,End of Game,79,66
