Mt. St. Mary's,135,Minnesota,116
11:40,116,Miles Wilson missed Jumper.,9,15
11:40,135,Bakary Konate Block.,9,15
11:40,116,Mt. St. Mary's Offensive Rebound.,9,15
11:40,135,Official TV Timeout,9,15
11:34,116,Will Miller missed Three Point Jumper.,9,15
11:32,135,Akeem Springs Defensive Rebound.,9,15
11:29,135,Foul on Bakary Konate.,9,15
11:29,135,Bakary Konate Turnover.,9,15
11:14,116,Greg Alexander missed Three Point Jumper.,9,15
11:13,135,Eric Curry Defensive Rebound.,9,15
11:12,135,Eric Curry Turnover.,9,15
10:57,116,Junior Robinson missed Jumper.,9,15
10:55,135,Akeem Springs Defensive Rebound.,9,15
10:46,135,Dupree McBrayer Turnover.,9,15
10:34,116,Elijah Long Turnover.,9,15
10:34,135,Dupree McBrayer Steal.,9,15
10:31,116,Foul on Miles Wilson.,9,15
10:31,135,Dupree McBrayer made Free Throw.,9,16
10:31,135,Dupree McBrayer made Free Throw.,9,17
10:10,116,Greg Alexander made Three Point Jumper.,12,17
9:50,135,Foul on Eric Curry.,12,17
9:50,135,Eric Curry Turnover.,12,17
9:28,116,Elijah Long made Layup.,14,17
9:13,116,Foul on Miles Wilson.,14,17
9:13,135,Jordan Murphy missed Free Throw.,14,17
9:13,116,Elijah Long Defensive Rebound.,14,17
8:58,116,Foul on Ryan Gomes.,14,17
8:58,116,Ryan Gomes Turnover.,14,17
8:38,135,Amir Coffey missed Three Point Jumper.,14,17
8:35,116,Junior Robinson Defensive Rebound.,14,17
8:17,116,Ryan Gomes made Dunk. Assisted by Junior Robinson.,16,17
8:16,135,Minnesota  Timeout,16,17
8:16,135,Official TV Timeout,16,17
8:06,135,Dupree McBrayer made Three Point Jumper. Assisted by Amir Coffey.,16,20
7:35,116,Elijah Long Turnover.,16,20
7:20,116,Foul on Ryan Gomes.,16,20
7:20,135,Minnesota Deadball Team Rebound.,16,20
7:20,135,Reggie Lynch missed Free Throw.,16,20
7:20,135,Reggie Lynch made Free Throw.,16,21
7:11,116,Will Miller made Three Point Jumper. Assisted by Greg Alexander.,19,21
6:51,135,Dupree McBrayer made Jumper.,19,23
6:33,116,Will Miller missed Three Point Jumper.,19,23
6:31,135,Amir Coffey Defensive Rebound.,19,23
6:16,116,Foul on Junior Robinson.,19,23
6:16,135,Reggie Lynch made Free Throw.,19,24
6:16,135,Reggie Lynch made Free Throw.,19,25
5:47,116,Junior Robinson missed Layup.,19,25
5:45,135,Nate Mason Defensive Rebound.,19,25
5:33,135,Amir Coffey Turnover.,19,25
5:08,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,22,25
4:46,135,Nate Mason made Layup.,22,27
4:25,116,Junior Robinson missed Three Point Jumper.,22,27
4:23,135,Jordan Murphy Defensive Rebound.,22,27
4:17,135,Nate Mason missed Three Point Jumper.,22,27
4:14,116,Elijah Long Defensive Rebound.,22,27
4:07,116,Junior Robinson made Layup. Assisted by Elijah Long.,24,27
3:52,116,Official TV Timeout,24,27
3:52,116,Foul on Greg Alexander.,24,27
3:52,135,Minnesota Deadball Team Rebound.,24,27
3:52,135,Eric Curry missed Free Throw.,24,27
3:52,135,Eric Curry missed Free Throw.,24,27
3:52,116,Will Miller Defensive Rebound.,24,27
3:38,116,Will Miller missed Three Point Jumper.,24,27
3:36,135,Nate Mason Defensive Rebound.,24,27
3:25,116,Foul on Randy Miller Jr..,24,27
3:25,135,Eric Curry made Free Throw.,24,28
3:25,135,Eric Curry made Free Throw.,24,29
2:57,116,Junior Robinson missed Three Point Jumper.,24,29
2:54,135,Amir Coffey Defensive Rebound.,24,29
2:48,135,Amir Coffey missed Jumper.,24,29
2:46,135,Eric Curry Offensive Rebound.,24,29
2:45,135,Eric Curry made Two Point Tip Shot.,24,31
2:35,116,Ryan Gomes missed Layup.,24,31
2:33,116,Ryan Gomes Offensive Rebound.,24,31
2:32,116,Ryan Gomes made Layup.,26,31
2:22,135,Nate Mason Turnover.,26,31
2:22,116,Elijah Long Steal.,26,31
2:17,116,Elijah Long missed Layup.,26,31
2:14,135,Jordan Murphy Defensive Rebound.,26,31
2:05,116,Foul on Ryan Gomes.,26,31
2:05,135,Jordan Murphy made Free Throw.,26,32
2:05,135,Jordan Murphy made Free Throw.,26,33
1:47,135,Foul on Amir Coffey.,26,33
1:27,116,Randy Miller Jr. made Three Point Jumper. Assisted by Junior Robinson.,29,33
1:10,135,Jordan Murphy made Layup. Assisted by Eric Curry.,29,35
0:44,116,Elijah Long missed Three Point Jumper.,29,35
0:40,135,Akeem Springs Defensive Rebound.,29,35
0:32,135,Jordan Murphy made Layup. Assisted by Dupree McBrayer.,29,37
0:02,116,Elijah Long missed Layup.,29,37
0:02,135,Jordan Murphy Block.,29,37
0:02,135,Eric Curry Defensive Rebound.,29,37
0:02,135,Amir Coffey missed Three Point Jumper.,29,37
0:02,135,Minnesota Offensive Rebound.,29,37
0:01,135,Amir Coffey missed Three Point Jumper.,29,37
0:01,135,Minnesota Offensive Rebound.,29,37
0:00,135,End of 1st half,29,37
19:50,135,Reggie Lynch Turnover.,29,37
19:50,116,Elijah Long Steal.,29,37
19:48,135,Foul on Amir Coffey.,29,37
19:45,116,Elijah Long missed Jumper.,29,37
19:44,116,Chris Wray Offensive Rebound.,29,37
19:44,135,Foul on Jordan Murphy.,29,37
19:39,116,Mawdo Sallah missed Jumper.,29,37
19:39,135,Reggie Lynch Block.,29,37
19:36,135,Jordan Murphy Defensive Rebound.,29,37
19:28,135,Jordan Murphy made Layup. Assisted by Reggie Lynch.,29,39
19:00,116,Elijah Long made Layup.,31,39
18:42,135,Reggie Lynch missed Jumper.,31,39
18:39,116,Greg Alexander Defensive Rebound.,31,39
18:30,116,Mawdo Sallah missed Jumper.,31,39
18:27,135,Reggie Lynch Defensive Rebound.,31,39
18:19,135,Nate Mason made Jumper.,31,41
18:01,116,Elijah Long Turnover.,31,41
18:01,135,Nate Mason Steal.,31,41
17:58,135,Dupree McBrayer made Dunk. Assisted by Nate Mason.,31,43
17:06,116,Junior Robinson made Layup.,33,43
17:06,135,Foul on Eric Curry.,33,43
17:06,116,Junior Robinson made Free Throw.,34,43
17:06,135,Foul on Nate Mason.,34,43
17:06,135,Nate Mason Turnover.,34,43
17:01,116,Will Miller missed Three Point Jumper.,34,43
16:58,135,Amir Coffey Defensive Rebound.,34,43
16:49,135,Nate Mason missed Three Point Jumper.,34,43
16:46,116,Miles Wilson Defensive Rebound.,34,43
16:39,116,Miles Wilson missed Layup.,34,43
16:37,135,Eric Curry Defensive Rebound.,34,43
16:33,135,Amir Coffey missed Jumper.,34,43
16:33,116,Chris Wray Block.,34,43
16:32,135,Amir Coffey Offensive Rebound.,34,43
16:32,116,Foul on Miles Wilson.,34,43
16:32,135,Amir Coffey made Free Throw.,34,44
16:32,135,Amir Coffey made Free Throw.,34,45
16:12,116,Junior Robinson made Three Point Jumper. Assisted by Chris Wray.,37,45
15:53,135,Amir Coffey made Layup. Assisted by Nate Mason.,37,47
15:30,135,Foul on Eric Curry.,37,47
15:30,135,Official TV Timeout,37,47
15:08,116,Chris Wray made Layup.,39,47
14:56,135,Foul on Reggie Lynch.,39,47
14:56,135,Reggie Lynch Turnover.,39,47
14:44,116,Chris Wray Turnover.,39,47
14:30,135,Amir Coffey missed Jumper.,39,47
14:27,116,Chris Wray Defensive Rebound.,39,47
14:19,116,Greg Alexander missed Three Point Jumper.,39,47
14:18,135,Jordan Murphy Defensive Rebound.,39,47
14:13,135,Nate Mason made Jumper.,39,49
14:05,135,Foul on Reggie Lynch.,39,49
14:05,116,Chris Wray missed Free Throw.,39,49
14:05,116,Mt. St. Mary's Deadball Team Rebound.,39,49
14:05,116,Chris Wray missed Free Throw.,39,49
14:05,135,Jordan Murphy Defensive Rebound.,39,49
13:52,135,Jordan Murphy Turnover.,39,49
13:34,116,Junior Robinson made Three Point Jumper. Assisted by Mawdo Sallah.,42,49
13:17,135,Akeem Springs missed Three Point Jumper.,42,49
13:14,116,Miles Wilson Defensive Rebound.,42,49
12:53,116,Greg Alexander missed Three Point Jumper.,42,49
12:50,135,Reggie Lynch Defensive Rebound.,42,49
12:45,116,Foul on Mawdo Sallah.,42,49
12:45,135,Jordan Murphy missed Free Throw.,42,49
12:45,135,Minnesota Deadball Team Rebound.,42,49
12:45,135,Jordan Murphy missed Free Throw.,42,49
12:45,116,Will Miller Defensive Rebound.,42,49
12:29,135,Foul on Nate Mason.,42,49
12:29,116,Elijah Long missed Free Throw.,42,49
12:29,135,Jordan Murphy Defensive Rebound.,42,49
12:16,135,Jordan Murphy made Dunk. Assisted by Reggie Lynch.,42,51
11:58,116,Will Miller missed Three Point Jumper.,42,51
11:58,135,Jordan Murphy Block.,42,51
11:56,135,Nate Mason Defensive Rebound.,42,51
11:53,135,Jordan Murphy made Dunk. Assisted by Nate Mason.,42,53
11:53,116,Mt. St. Mary's  Timeout,42,53
11:53,135,Official TV Timeout,42,53
11:29,116,Junior Robinson missed Three Point Jumper.,42,53
11:26,135,Nate Mason Defensive Rebound.,42,53
11:17,135,Nate Mason missed Jumper.,42,53
11:14,135,Jordan Murphy Offensive Rebound.,42,53
11:10,135,Jordan Murphy made Jumper.,42,55
10:43,135,Official TV Timeout,42,55
10:43,135,Foul on Reggie Lynch.,42,55
10:43,116,Elijah Long missed Free Throw.,42,55
10:43,135,Jordan Murphy Defensive Rebound.,42,55
10:26,135,Akeem Springs made Three Point Jumper. Assisted by Reggie Lynch.,42,58
9:57,116,Junior Robinson Turnover.,42,58
9:51,135,Akeem Springs made Three Point Jumper. Assisted by Dupree McBrayer.,42,61
9:30,116,Greg Alexander missed Three Point Jumper.,42,61
9:28,116,Chris Wray Offensive Rebound.,42,61
9:28,135,Foul on Reggie Lynch.,42,61
9:28,116,Mt. St. Mary's Deadball Team Rebound.,42,61
9:28,116,Chris Wray missed Free Throw.,42,61
9:28,116,Chris Wray made Free Throw.,43,61
9:13,135,Jordan Murphy missed Jumper.,43,61
9:11,135,Jordan Murphy Offensive Rebound.,43,61
9:10,135,Jordan Murphy made Layup.,43,63
8:43,116,Mawdo Sallah missed Jumper.,43,63
8:41,135,Akeem Springs Defensive Rebound.,43,63
8:26,135,Akeem Springs missed Three Point Jumper.,43,63
8:24,116,Mawdo Sallah Defensive Rebound.,43,63
8:05,116,Miles Wilson Turnover.,43,63
8:05,135,Jordan Murphy Steal.,43,63
8:00,135,Dupree McBrayer made Layup.,43,65
8:00,116,Mt. St. Mary's  Timeout,43,65
7:48,116,Elijah Long missed Jumper.,43,65
7:45,135,Bakary Konate Defensive Rebound.,43,65
7:31,135,Akeem Springs made Jumper. Assisted by Amir Coffey.,43,67
7:05,116,Mawdo Sallah missed Jumper.,43,67
7:02,135,Eric Curry Defensive Rebound.,43,67
6:55,135,Eric Curry missed Jumper.,43,67
6:51,116,Mawdo Sallah Defensive Rebound.,43,67
6:46,116,Elijah Long missed Jumper.,43,67
6:46,135,Eric Curry Block.,43,67
6:43,135,Akeem Springs Defensive Rebound.,43,67
6:41,135,Amir Coffey made Layup. Assisted by Akeem Springs.,43,69
6:20,116,Junior Robinson made Layup.,45,69
6:03,135,Bakary Konate made Dunk. Assisted by Amir Coffey.,45,71
6:03,135,Technical Foul on Bakary Konate.,45,71
6:03,116,Junior Robinson made Free Throw.,46,71
5:38,116,Elijah Long made Layup.,48,71
5:24,135,Nate Mason made Three Point Jumper. Assisted by Dupree McBrayer.,48,74
5:04,135,Foul on Bakary Konate.,48,74
5:04,116,Mt. St. Mary's Deadball Team Rebound.,48,74
5:04,116,Elijah Long missed Free Throw.,48,74
5:04,116,Elijah Long made Free Throw.,49,74
4:44,135,Bakary Konate Turnover.,49,74
4:14,116,Junior Robinson missed Jumper.,49,74
4:11,135,Ahmad Gilbert Defensive Rebound.,49,74
4:03,116,Foul on Junior Robinson.,49,74
3:57,135,Nate Mason made Jumper. Assisted by Jordan Murphy.,49,76
3:39,116,Elijah Long made Layup.,51,76
3:14,135,Ahmad Gilbert missed Three Point Jumper.,51,76
3:13,116,Ryan Gomes Defensive Rebound.,51,76
3:13,135,Official TV Timeout,51,76
3:13,135,Foul on Jordan Murphy.,51,76
3:13,116,Mt. St. Mary's Deadball Team Rebound.,51,76
3:13,116,Miles Wilson missed Free Throw.,51,76
3:13,116,Miles Wilson made Free Throw.,52,76
3:13,116,Foul on Khalid Nwandu.,52,76
3:01,135,Ahmad Gilbert missed Jumper.,52,76
2:59,135,Eric Curry Offensive Rebound.,52,76
2:59,135,Eric Curry missed Jumper.,52,76
2:56,116,Greg Alexander Defensive Rebound.,52,76
2:51,116,Miles Wilson missed Jumper.,52,76
2:49,135,Eric Curry Defensive Rebound.,52,76
2:44,135,Michael Hurt missed Three Point Jumper.,52,76
2:41,135,Eric Curry Offensive Rebound.,52,76
2:40,135,Eric Curry made Layup.,52,78
2:40,135,Minnesota  Timeout,52,78
2:16,116,Ryan Gomes made Dunk. Assisted by Khalid Nwandu.,54,78
1:48,135,Michael Hurt Turnover.,54,78
1:48,116,Ryan Gomes Steal.,54,78
1:39,116,Ryan Gomes missed Jumper.,54,78
1:37,135,Ahmad Gilbert Defensive Rebound.,54,78
1:35,135,Stephon Sharp Turnover.,54,78
1:15,116,Ryan Gomes missed Jumper.,54,78
1:11,116,Khalid Nwandu Offensive Rebound.,54,78
1:07,116,Randy Miller Jr. Turnover.,54,78
0:49,135,Gaston Diedhiou made Jumper. Assisted by Darin Haugh.,54,80
0:27,116,Randy Miller Jr. made Jumper.,56,80
0:00,135,End of Game,56,80
