Kennesaw State,2065,Bethune-Cookman,338
1:47,2065,Jeffrey Altidort missed Three Point Jumper.,21,32
1:47,2065,Quinton Forrest Offensive Rebound.,21,32
1:43,338,Foul on Nick Masterson.,21,32
1:43,2065,Quinton Forrest missed Free Throw.,21,32
1:43,2065,Bethune-Cookman Deadball Team Rebound.,21,32
1:43,2065,Jeffrey Altidort missed Free Throw.,21,32
1:43,338,Aubrey Williams Defensive Rebound.,21,32
1:27,338,Aubrey Williams Turnover.,21,32
1:26,2065,Quinton Forrest Steal.,21,32
1:06,2065,Foul on Jeffrey Altidort.,21,32
1:06,2065,Jeffrey Altidort Turnover.,21,32
0:46,338,Aubrey Williams made Layup.,23,32
0:23,2065,Jeffrey Altidort Turnover.,23,32
0:22,338,Nick Masterson Steal.,23,32
0:18,338,Tyler Hooker Turnover.,23,32
0:00,2065,Jeffrey Altidort missed Jumper.,23,32
0:00,338,Kendrick Ray Defensive Rebound.,23,32
0:00,2065,End of 1st half,23,32
19:51,2065,Foul on Quinton Forrest.,23,32
19:37,338,Jordan Jones Turnover.,23,32
19:35,2065,Brandon Tabb Steal.,23,32
19:21,338,Foul on Kendrick Ray.,23,32
19:18,2065,Brandon Suggs made Layup. Assisted by Jeffrey Altidort.,23,34
19:00,338,Kendrick Ray missed Three Point Jumper.,23,34
19:00,2065,Quinton Forrest Defensive Rebound.,23,34
18:53,2065,Quinton Forrest missed Layup.,23,34
18:53,338,Kendrick Ray Block.,23,34
18:52,338,Kyle Clarke Defensive Rebound.,23,34
18:49,338,Foul on Kyle Clarke.,23,34
18:49,338,Kyle Clarke Turnover.,23,34
18:38,2065,Jeffrey Altidort missed Layup.,23,34
18:38,338,Kennesaw St Defensive Rebound.,23,34
18:26,338,Kyle Clarke Turnover.,23,34
18:14,2065,Brandon Tabb missed Three Point Jumper.,23,34
18:14,2065,Brandon Suggs Offensive Rebound.,23,34
18:08,2065,Brandon Suggs made Two Point Tip Shot.,23,36
17:55,338,Jordan Jones made Layup. Assisted by Kendrick Ray.,25,36
17:43,2065,Jeffrey Altidort missed Jumper.,25,36
17:43,2065,Quinton Forrest Offensive Rebound.,25,36
17:39,2065,Quinton Forrest missed Jumper.,25,36
17:39,2065,Brandon Tabb Offensive Rebound.,25,36
17:31,2065,Josue Salaam made Three Point Jumper. Assisted by Brandon Tabb.,25,39
17:23,338,Aubrey Williams made Layup. Assisted by Kendrick Ray.,27,39
17:09,2065,Josue Salaam made Three Point Jumper. Assisted by Jeffrey Altidort.,27,42
16:51,338,Jordan Jones made Layup. Assisted by Nick Masterson.,29,42
16:25,2065,Jeffrey Altidort made Jumper.,29,44
16:25,338,Foul on Tyler Hooker.,29,44
16:25,2065,Jeffrey Altidort made Free Throw.,29,45
16:20,338,Kendrick Ray made Layup.,31,45
16:18,2065,Bethune-Cookman  Timeout,31,45
16:02,2065,Reggie Baker missed Three Point Jumper.,31,45
16:02,338,Nick Masterson Defensive Rebound.,31,45
15:58,2065,Foul on Ulmer Manzie.,31,45
15:53,338,Tyler Hooker missed Layup.,31,45
15:53,338,Aubrey Williams Offensive Rebound.,31,45
15:49,338,Aubrey Williams made Layup.,33,45
15:29,338,Foul on Nick Masterson.,33,45
15:29,2065,Official TV Timeout,33,45
15:16,2065,Foul on Ulmer Manzie.,33,45
15:16,2065,Ulmer Manzie Turnover.,33,45
15:06,338,Tyler Hooker Turnover.,33,45
14:41,2065,Reggie Baker missed Jumper.,33,45
14:41,338,Kendrick Ray Defensive Rebound.,33,45
14:29,338,Jordan Jones missed Layup.,33,45
14:29,2065,Brandon Suggs Block.,33,45
14:28,2065,Josue Salaam Defensive Rebound.,33,45
14:21,2065,Brandon Tabb missed Jumper.,33,45
14:21,338,Jordan Jones Defensive Rebound.,33,45
14:15,338,Tyler Hooker made Layup.,35,45
13:42,2065,Reggie Baker made Layup.,35,47
13:35,338,Kendrick Ray made Layup. Assisted by Jordan Jones.,37,47
13:35,2065,Foul on Brandon Tabb.,37,47
13:35,338,Kendrick Ray made Free Throw.,38,47
13:21,2065,Brandon Tabb missed Layup.,38,47
13:21,338,Kendrick Ray Block.,38,47
13:19,338,Jordan Jones Defensive Rebound.,38,47
13:14,338,Tyler Hooker made Layup.,40,47
12:55,2065,Diamante Lewis missed Jumper.,40,47
12:55,338,Aubrey Williams Defensive Rebound.,40,47
12:39,338,Nick Masterson made Jumper. Assisted by Tyler Hooker.,42,47
12:37,2065,Bethune-Cookman  Timeout,42,47
12:23,2065,Reggie Baker missed Jumper.,42,47
12:23,338,Aubrey Williams Defensive Rebound.,42,47
12:07,338,Kendrick Ray missed Three Point Jumper.,42,47
12:07,338,Kennesaw St Offensive Rebound.,42,47
12:01,338,Jordan Jones made Layup. Assisted by Nick Masterson.,44,47
11:50,338,Foul on Kendrick Ray.,44,47
11:50,2065,Official TV Timeout,44,47
11:46,2065,Brandon Tabb made Layup. Assisted by Jeffrey Altidort.,44,49
11:21,2065,Foul on Diamante Lewis.,44,49
11:17,338,Nick Masterson missed Three Point Jumper.,44,49
11:17,2065,Diamante Lewis Defensive Rebound.,44,49
11:07,2065,Diamante Lewis missed Jumper.,44,49
11:07,338,Aubrey Williams Defensive Rebound.,44,49
10:59,338,Tyler Hooker Turnover.,44,49
10:44,2065,Jeffrey Altidort missed Three Point Jumper.,44,49
10:44,338,Kennesaw St Defensive Rebound.,44,49
10:32,338,Kendrick Ray made Jumper.,46,49
10:10,338,Foul on Kendrick Ray.,46,49
10:10,2065,Diamante Lewis made Free Throw.,46,50
10:10,2065,Diamante Lewis made Free Throw.,46,51
9:56,338,Foul on Johannes Nielsen.,46,51
9:56,338,Johannes Nielsen Turnover.,46,51
9:38,2065,Diamante Lewis missed Layup.,46,51
9:38,338,Aubrey Williams Defensive Rebound.,46,51
9:30,338,Tyler Hooker missed Jumper.,46,51
9:30,338,Nick Masterson Offensive Rebound.,46,51
9:22,2065,Foul on Brandon Suggs.,46,51
9:22,338,Aubrey Williams made Free Throw.,47,51
9:22,338,Aubrey Williams missed Free Throw.,47,51
9:22,2065,Brandon Suggs Defensive Rebound.,47,51
9:17,338,Foul on Aubrey Williams.,47,51
9:17,2065,Reggie Baker made Free Throw.,47,52
9:17,2065,Reggie Baker made Free Throw.,47,53
8:56,338,Johannes Nielsen made Layup. Assisted by Aubrey Williams.,49,53
8:32,338,Foul on Tyler Hooker.,49,53
8:32,2065,Jeffrey Altidort missed Free Throw.,49,53
8:32,2065,Bethune-Cookman Deadball Team Rebound.,49,53
8:32,2065,Jeffrey Altidort missed Free Throw.,49,53
8:32,338,Aubrey Williams Defensive Rebound.,49,53
8:18,2065,Foul on Brandon Tabb.,49,53
8:18,338,Johannes Nielsen made Free Throw.,50,53
8:18,338,Johannes Nielsen made Free Throw.,51,53
7:58,2065,Houston Smith made Layup. Assisted by Diamante Lewis.,51,55
7:58,338,Foul on Nick Masterson.,51,55
7:58,2065,Houston Smith made Free Throw.,51,56
7:35,338,Nick Masterson made Three Point Jumper. Assisted by Tyler Hooker.,54,56
7:06,338,Foul on Aubrey Williams.,54,56
7:06,2065,Official TV Timeout,54,56
7:06,2065,Reggie Baker made Free Throw.,54,57
7:06,2065,Reggie Baker made Free Throw.,54,58
7:02,338,Nick Masterson made Three Point Jumper. Assisted by Josh Burnett.,57,58
6:34,2065,Diamante Lewis made Layup.,57,60
6:07,338,Tyler Hooker missed Layup.,57,60
6:07,2065,Jeffrey Altidort Defensive Rebound.,57,60
6:01,2065,Diamante Lewis missed Layup.,57,60
6:01,338,Josh Burnett Defensive Rebound.,57,60
5:50,338,Johannes Nielsen made Layup. Assisted by Josh Burnett.,59,60
5:50,2065,Foul on Brandon Suggs.,59,60
5:50,338,Johannes Nielsen missed Free Throw.,59,60
5:50,2065,Jeffrey Altidort Defensive Rebound.,59,60
5:25,2065,Diamante Lewis Turnover.,59,60
5:24,338,Aubrey Williams Steal.,59,60
5:17,2065,Foul on Diamante Lewis.,59,60
5:17,338,Johannes Nielsen missed Free Throw.,59,60
5:17,2065,Bethune-Cookman Defensive Rebound.,59,60
5:02,2065,Jeffrey Altidort made Jumper.,59,62
4:48,338,Nick Masterson missed Jumper.,59,62
4:48,338,Tyler Hooker Offensive Rebound.,59,62
4:45,2065,Foul on Brandon Tabb.,59,62
4:45,338,Tyler Hooker missed Free Throw.,59,62
4:45,338,Kennesaw St Deadball Team Rebound.,59,62
4:45,338,Tyler Hooker missed Free Throw.,59,62
4:45,2065,Quinton Forrest Defensive Rebound.,59,62
4:44,338,Foul on Johannes Nielsen.,59,62
4:44,2065,Quinton Forrest missed Free Throw.,59,62
4:44,2065,Bethune-Cookman Deadball Team Rebound.,59,62
4:44,2065,Quinton Forrest made Free Throw.,59,63
4:28,2065,Foul on Quinton Forrest.,59,63
4:28,338,Johannes Nielsen made Free Throw.,60,63
4:28,338,Johannes Nielsen made Free Throw.,61,63
4:03,2065,Reggie Baker made Layup.,61,65
3:54,338,Kendrick Ray made Jumper.,63,65
3:35,338,Foul on Nick Masterson.,63,65
3:35,2065,Official TV Timeout,63,65
3:35,2065,Brandon Tabb made Free Throw.,63,66
3:35,2065,Brandon Tabb made Free Throw.,63,67
3:22,338,Johannes Nielsen made Layup. Assisted by Kendrick Ray.,65,67
3:11,2065,Brandon Tabb missed Three Point Jumper.,65,67
3:11,2065,Quinton Forrest Offensive Rebound.,65,67
3:06,2065,Quinton Forrest missed Layup.,65,67
3:06,338,Tyler Hooker Defensive Rebound.,65,67
2:54,338,Kendrick Ray made Jumper.,67,67
2:36,338,Foul on Aubrey Williams.,67,67
2:36,2065,Reggie Baker made Free Throw.,67,68
2:36,2065,Reggie Baker missed Free Throw.,67,68
2:36,2065,Brandon Tabb Offensive Rebound.,67,68
2:19,338,Foul on Tyler Hooker.,67,68
2:19,2065,Reggie Baker missed Free Throw.,67,68
2:19,2065,Bethune-Cookman Deadball Team Rebound.,67,68
2:19,2065,Reggie Baker made Free Throw.,67,69
2:10,338,Johannes Nielsen missed Jumper.,67,69
2:10,2065,Reggie Baker Defensive Rebound.,67,69
1:42,338,Foul on Tyler Hooker.,67,69
1:42,2065,Reggie Baker made Free Throw.,67,70
1:42,2065,Reggie Baker made Free Throw.,67,71
1:29,338,Johannes Nielsen made Layup. Assisted by Aubrey Williams.,69,71
1:29,2065,Foul on Reggie Baker.,69,71
1:29,338,Johannes Nielsen made Free Throw.,70,71
1:13,2065,Diamante Lewis Turnover.,70,71
0:54,338,Aubrey Williams missed Jumper.,70,71
0:54,2065,Quinton Forrest Defensive Rebound.,70,71
0:29,2065,Reggie Baker made Layup.,70,73
0:08,338,Kendrick Ray missed Three Point Jumper.,70,73
0:08,338,Aubrey Williams Offensive Rebound.,70,73
0:08,338,Aubrey Williams made Layup.,72,73
0:08,338,Kennesaw St  Timeout,72,73
0:07,338,Foul on Jordan Jones.,72,73
0:07,2065,Brandon Tabb made Free Throw.,72,74
0:07,2065,Brandon Tabb made Free Throw.,72,75
0:05,338,Kennesaw St  Timeout,72,75
0:03,338,Kendrick Ray missed Three Point Jumper.,72,75
0:03,338,Tyler Hooker Offensive Rebound.,72,75
0:00,338,Tyler Hooker missed Three Point Jumper.,72,75
0:00,2065,Quinton Forrest Defensive Rebound.,72,75
0:00,2065,End of Game,72,75
