Northwestern,2086,Butler,77
11:29,2086,Official TV Timeout,46,51
11:24,77,Sanjay Lumpkin missed Three Point Jumper.,46,51
11:24,2086,Butler Defensive Rebound.,46,51
11:04,2086,Kamar Baldwin missed Jumper.,46,51
11:04,77,Dererk Pardon Defensive Rebound.,46,51
10:44,77,Dererk Pardon made Layup. Assisted by Sanjay Lumpkin.,48,51
10:21,2086,Tyler Wideman made Jumper.,48,53
10:03,77,Vic Law made Jumper.,50,53
9:39,77,Foul on Dererk Pardon.,50,53
9:29,77,Foul on Sanjay Lumpkin.,50,53
9:29,2086,Andrew Chrabascz made Free Throw.,50,54
9:29,2086,Andrew Chrabascz missed Free Throw.,50,54
9:29,77,Scottie Lindsey Defensive Rebound.,50,54
9:13,77,Isiah Brown missed Jumper.,50,54
9:13,77,Vic Law Offensive Rebound.,50,54
8:53,77,Sanjay Lumpkin Turnover.,50,54
8:53,77,Foul on Sanjay Lumpkin.,50,54
8:36,77,Foul on Gavin Skelly.,50,54
8:36,2086,Tyler Wideman missed Free Throw.,50,54
8:36,77,Vic Law Defensive Rebound.,50,54
8:18,77,Isiah Brown missed Three Point Jumper.,50,54
8:18,77,Gavin Skelly Offensive Rebound.,50,54
8:12,77,Scottie Lindsey missed Jumper.,50,54
8:12,77,Northwestern Deadball Team Rebound.,50,54
8:10,2086,Foul on Sean McDermott.,50,54
8:04,77,Bryant McIntosh made Jumper.,52,54
7:44,2086,Avery Woodson Turnover.,52,54
7:44,2086,Official TV Timeout,52,54
7:36,77,Sanjay Lumpkin made Layup. Assisted by Gavin Skelly.,54,54
7:21,2086,Kelan Martin missed Layup.,54,54
7:21,77,Gavin Skelly Block.,54,54
7:21,77,Gavin Skelly Defensive Rebound.,54,54
7:10,77,Gavin Skelly made Three Point Jumper. Assisted by Bryant McIntosh.,57,54
6:45,2086,Avery Woodson missed Three Point Jumper.,57,54
6:45,77,Scottie Lindsey Defensive Rebound.,57,54
6:28,77,Foul on Gavin Skelly.,57,54
6:28,77,Gavin Skelly Turnover.,57,54
6:21,2086,Andrew Chrabascz missed Jumper.,57,54
6:21,77,Sanjay Lumpkin Defensive Rebound.,57,54
5:56,77,Vic Law made Three Point Jumper. Assisted by Gavin Skelly.,60,54
5:43,2086,Butler  Timeout,60,54
5:34,2086,Andrew Chrabascz made Three Point Jumper. Assisted by Tyler Lewis.,60,57
5:08,77,Vic Law Turnover.,60,57
4:55,2086,Andrew Chrabascz missed Jumper.,60,57
4:55,2086,Sean McDermott Offensive Rebound.,60,57
4:49,77,Foul on Gavin Skelly.,60,57
4:49,2086,Sean McDermott made Free Throw.,60,58
4:49,2086,Sean McDermott made Free Throw.,60,59
4:39,77,Bryant McIntosh made Three Point Jumper. Assisted by Scottie Lindsey.,63,59
4:18,77,Foul on Vic Law.,63,59
4:18,2086,Kelan Martin made Free Throw.,63,60
