Central Pennsylvania College,Error,Radford,2515
9:08,-1,Stephan Brown missed Layup.,12,23
9:08,2515,Christian Lutete Defensive Rebound.,12,23
8:56,2515,Christian Lutete Turnover.,12,23
8:51,-1,Stephan Brown missed Three Point Jumper.,12,23
8:51,-1,Daylin Davis Offensive Rebound.,12,23
8:41,-1,Tyree Tucker missed Jumper.,12,23
8:41,2515,Christian Lutete Defensive Rebound.,12,23
8:30,2515,Devonnte Holland made Layup. Assisted by Devin Cooper.,12,25
8:13,-1,Central Pennsylvania  Timeout,12,25
8:13,-1,Tyrie Orosco missed Layup.,12,25
8:13,2515,Devonnte Holland Defensive Rebound.,12,25
7:55,2515,Christian Lutete missed Three Point Jumper.,12,25
7:55,-1,Central Pennsylvania Defensive Rebound.,12,25
7:43,-1,Najah Fink missed Layup.,12,25
7:43,2515,Christian Lutete Defensive Rebound.,12,25
7:33,2515,Devonnte Holland made Layup. Assisted by Donald Hicks.,12,27
7:15,-1,Mike Warren missed Layup.,12,27
7:15,-1,Najah Fink Offensive Rebound.,12,27
7:13,2515,Foul on Devonnte Holland.,12,27
7:13,-1,Najah Fink made Free Throw.,13,27
7:13,-1,Najah Fink made Free Throw.,14,27
7:13,2515,Justin Cousin missed Three Point Jumper.,14,27
7:13,-1,Tyrie Orosco Defensive Rebound.,14,27
7:05,2515,Foul on Caleb Tanner.,14,27
7:05,-1,Central Pennsylvania  Timeout,14,27
7:03,-1,Tyrie Orosco missed Layup.,14,27
7:03,-1,Tyrie Orosco Offensive Rebound.,14,27
6:52,-1,Rafeeq Bush missed Three Point Jumper.,14,27
6:52,2515,Justin Cousin Defensive Rebound.,14,27
6:35,2515,Christian Bradford made Layup.,14,29
6:26,-1,Najah Fink made Jumper. Assisted by Tyree Tucker.,16,29
6:08,-1,Foul on Najah Fink.,16,29
6:08,2515,Randy Phillips missed Free Throw.,16,29
6:08,2515,Radford Deadball Team Rebound.,16,29
6:08,2515,Randy Phillips missed Free Throw.,16,29
6:08,-1,Najah Fink Defensive Rebound.,16,29
5:49,-1,Tyrie Orosco Turnover.,16,29
5:46,2515,Randy Phillips Steal.,16,29
5:39,2515,Donald Hicks Turnover.,16,29
5:21,-1,Tyrie Orosco missed Jumper.,16,29
5:21,2515,Devin Cooper Defensive Rebound.,16,29
5:07,2515,Devin Cooper made Layup.,16,31
5:07,-1,Foul on Tyrie Orosco.,16,31
5:07,2515,Devin Cooper missed Free Throw.,16,31
5:07,-1,Najah Fink Defensive Rebound.,16,31
5:04,2515,Foul on Devin Cooper.,16,31
5:04,-1,Rafeeq Bush made Free Throw.,17,31
5:04,-1,Rafeeq Bush made Free Throw.,18,31
4:45,2515,Radford  Turnover.,18,31
4:42,2515,Foul on Randy Phillips.,18,31
4:42,-1,Najah Fink made Free Throw.,19,31
4:42,-1,Najah Fink made Free Throw.,20,31
4:14,2515,Christian Lutete missed Three Point Jumper.,20,31
4:14,2515,Donald Hicks Offensive Rebound.,20,31
4:08,-1,Foul on Rodney Ross.,20,31
4:08,2515,Donald Hicks made Free Throw.,20,32
4:08,2515,Donald Hicks made Free Throw.,20,33
3:49,-1,Central Pennsylvania  Timeout,20,33
3:49,-1,Mike Warren Turnover.,20,33
3:49,2515,Christian Bradford Steal.,20,33
3:49,2515,Christian Lutete made Layup. Assisted by Christian Bradford.,20,35
3:31,-1,Andre Coach made Layup.,22,35
3:18,-1,Foul on Andre Coach.,22,35
3:18,2515,Justin Cousin made Free Throw.,22,36
3:18,2515,Justin Cousin made Free Throw.,22,37
3:15,-1,Tyree Tucker Turnover.,22,37
3:12,2515,Donald Hicks Steal.,22,37
3:08,2515,Christian Bradford missed Layup.,22,37
3:08,-1,Joel Zola Block.,22,37
3:03,-1,Tyrie Orosco Defensive Rebound.,22,37
2:54,-1,Tyree Tucker made Layup. Assisted by Tyrie Orosco.,24,37
2:34,-1,Foul on Rodney Ross.,24,37
2:34,2515,Justin Cousin made Free Throw.,24,38
2:34,2515,Justin Cousin made Free Throw.,24,39
2:34,2515,Justin Cousin made Free Throw.,24,40
2:32,2515,Foul on Devonnte Holland.,24,40
2:32,-1,Tyrie Orosco made Free Throw.,25,40
2:32,-1,Tyrie Orosco made Free Throw.,26,40
2:04,2515,Christian Lutete made Three Point Jumper. Assisted by Christian Bradford.,26,43
1:52,2515,Foul on Brian Rodriguez.,26,43
1:52,-1,Mike Warren made Free Throw.,27,43
1:52,-1,Mike Warren missed Free Throw.,27,43
1:52,-1,Mike Warren Offensive Rebound.,27,43
1:50,2515,Foul on Brian Rodriguez.,27,43
1:50,-1,Mike Warren made Free Throw.,28,43
1:50,-1,Mike Warren made Free Throw.,29,43
1:50,2515,Radford  Timeout,29,43
1:47,2515,Christian Lutete missed Three Point Jumper.,29,43
1:47,2515,Christian Lutete Offensive Rebound.,29,43
1:29,2515,Justin Cousin Turnover.,29,43
1:27,-1,Tyree Tucker Steal.,29,43
1:07,-1,Tyree Tucker missed Dunk.,29,43
1:07,-1,Tyree Tucker Offensive Rebound.,29,43
0:56,-1,Tyree Tucker missed Jumper.,29,43
0:56,2515,Christian Lutete Defensive Rebound.,29,43
0:37,2515,Justin Cousin made Three Point Jumper. Assisted by Christian Lutete.,29,46
0:08,-1,Tyree Tucker missed Layup.,29,46
0:08,-1,Central Pennsylvania Offensive Rebound.,29,46
0:08,-1,Tyree Tucker Turnover.,29,46
0:08,2515,Justin Cousin Steal.,29,46
0:08,2515,Christian Bradford made Dunk. Assisted by Justin Cousin.,29,48
0:08,-1,Rafeeq Bush missed Layup.,29,48
0:08,-1,Tyree Tucker Offensive Rebound.,29,48
0:00,-1,Tyree Tucker missed Three Point Jumper.,29,48
0:00,2515,Christian Bradford Defensive Rebound.,29,48
0:00,2515,End of 1st half,29,48
19:47,-1,Tyrie Orosco missed Layup.,29,48
19:47,-1,Najah Fink Offensive Rebound.,29,48
19:42,-1,Najah Fink made Layup.,31,48
19:36,2515,Devin Cooper Turnover.,31,48
19:36,-1,Tyree Tucker Steal.,31,48
19:36,2515,Foul on Devin Cooper.,31,48
19:22,-1,Tyrie Orosco made Layup. Assisted by Daylin Davis.,33,48
19:12,2515,Donald Hicks made Three Point Jumper. Assisted by Justin Cousin.,33,51
18:51,-1,Najah Fink missed Jumper.,33,51
18:51,2515,Donald Hicks Defensive Rebound.,33,51
18:41,2515,Justin Cousin missed Three Point Jumper.,33,51
18:41,-1,Central Pennsylvania Defensive Rebound.,33,51
18:25,-1,Najah Fink made Layup.,35,51
18:17,2515,Devin Cooper Turnover.,35,51
18:17,-1,Foul on Mike Warren.,35,51
17:51,-1,Tyrie Orosco made Layup.,37,51
17:34,-1,Foul on Najah Fink.,37,51
17:26,2515,Justin Cousin missed Three Point Jumper.,37,51
17:26,-1,Rafeeq Bush Defensive Rebound.,37,51
17:17,-1,Rafeeq Bush missed Three Point Jumper.,37,51
17:17,-1,Andre Coach Offensive Rebound.,37,51
17:17,-1,Rafeeq Bush made Layup. Assisted by Andre Coach.,39,51
17:17,2515,Christian Lutete missed Three Point Jumper.,39,51
17:17,2515,Donald Hicks Offensive Rebound.,39,51
17:17,2515,Donald Hicks made Jumper.,39,53
17:07,2515,Foul on Randy Phillips.,39,53
16:54,-1,Rafeeq Bush made Free Throw.,40,53
16:54,-1,Rafeeq Bush made Free Throw.,41,53
16:54,-1,Foul on Tyree Tucker.,41,53
16:31,-1,Foul on Tyree Tucker.,41,53
16:31,2515,Devonnte Holland made Free Throw.,41,54
16:26,2515,Devonnte Holland made Free Throw.,41,55
16:26,-1,Tyrie Orosco missed Layup.,41,55
16:26,2515,Devonnte Holland Block.,41,55
16:26,2515,Devonnte Holland Defensive Rebound.,41,55
16:26,2515,Justin Cousin made Jumper. Assisted by Devonnte Holland.,41,57
16:16,-1,Tyree Tucker missed Jumper.,41,57
16:16,-1,Tyrie Orosco Offensive Rebound.,41,57
16:13,-1,Tyrie Orosco made Layup.,43,57
15:57,2515,Devonnte Holland Turnover.,43,57
15:56,-1,Tyree Tucker Steal.,43,57
15:52,-1,Tyree Tucker made Jumper.,45,57
15:44,-1,Foul on Mike Warren.,45,57
15:44,2515,Radford  Timeout,45,57
15:36,2515,Justin Cousin Turnover.,45,57
15:33,-1,Daylin Davis Steal.,45,57
15:12,-1,Tyrie Orosco missed Jumper.,45,57
15:12,2515,Devonnte Holland Defensive Rebound.,45,57
15:03,2515,Donald Hicks made Layup. Assisted by Christian Bradford.,45,59
14:34,-1,Tyree Tucker made Layup.,47,59
14:02,2515,Caleb Tanner missed Three Point Jumper.,47,59
14:02,2515,Donald Hicks Offensive Rebound.,47,59
13:57,2515,Donald Hicks made Layup.,47,61
13:36,2515,Foul on Donald Hicks.,47,61
13:19,-1,Tyree Tucker missed Jumper.,47,61
13:19,2515,Devonnte Holland Defensive Rebound.,47,61
13:13,2515,Devonnte Holland Turnover.,47,61
12:56,-1,Stephan Brown missed Three Point Jumper.,47,61
12:56,2515,Christian Lutete Defensive Rebound.,47,61
12:36,2515,Donald Hicks missed Jumper.,47,61
12:36,2515,Christian Lutete Offensive Rebound.,47,61
12:32,-1,Foul on Noah Baylor.,47,61
12:32,2515,Donald Hicks made Free Throw.,47,62
12:32,2515,Donald Hicks made Free Throw.,47,63
12:20,-1,Joel Zola missed Layup.,47,63
12:20,-1,Tyree Tucker Offensive Rebound.,47,63
12:15,-1,Joel Zola made Layup. Assisted by Tyree Tucker.,49,63
12:00,2515,Justin Cousin missed Three Point Jumper.,49,63
12:00,2515,Randy Phillips Offensive Rebound.,49,63
11:34,2515,Christian Bradford missed Jumper.,49,63
11:34,-1,Joel Zola Defensive Rebound.,49,63
11:27,-1,Stephan Brown made Layup.,51,63
10:58,2515,Caleb Tanner made Three Point Jumper. Assisted by Justin Cousin.,51,66
10:31,2515,Foul on Randy Phillips.,51,66
10:31,-1,Central Pennsylvania  Timeout,51,66
10:21,-1,Tyrie Orosco missed Jumper.,51,66
10:21,2515,Christian Lutete Defensive Rebound.,51,66
10:14,2515,Caleb Tanner Turnover.,51,66
9:49,-1,Noah Baylor missed Jumper.,51,66
9:49,-1,Tyrie Orosco Offensive Rebound.,51,66
9:36,-1,Tyree Tucker missed Jumper.,51,66
9:36,2515,Caleb Tanner Defensive Rebound.,51,66
9:35,-1,Foul on Tyrie Orosco.,51,66
9:23,-1,Foul on Daylin Davis.,51,66
9:23,2515,Christian Lutete missed Free Throw.,51,66
9:23,-1,Tyree Tucker Defensive Rebound.,51,66
9:17,-1,Tyree Tucker made Layup.,53,66
9:07,2515,Justin Cousin missed Three Point Jumper.,53,66
9:07,2515,Christian Lutete Offensive Rebound.,53,66
9:04,2515,Christian Lutete missed Layup.,53,66
9:04,-1,Najah Fink Block.,53,66
9:04,2515,Radford Offensive Rebound.,53,66
8:58,2515,Justin Cousin missed Jumper.,53,66
8:58,-1,Joel Zola Defensive Rebound.,53,66
8:46,-1,Tyree Tucker missed Layup.,53,66
8:46,2515,Devonnte Holland Defensive Rebound.,53,66
8:37,2515,Justin Cousin missed Three Point Jumper.,53,66
8:37,-1,Daylin Davis Defensive Rebound.,53,66
8:30,-1,Joel Zola made Layup.,55,66
8:29,-1,Central Pennsylvania  Timeout,55,66
8:00,2515,Caleb Tanner Turnover.,55,66
7:59,-1,Joel Zola Steal.,55,66
7:55,-1,Joel Zola missed Layup.,55,66
7:55,2515,Christian Lutete Defensive Rebound.,55,66
7:53,2515,Official TV Timeout,55,66
7:44,-1,Najah Fink Turnover.,55,66
7:44,2515,Devonnte Holland Steal.,55,66
7:36,2515,Devin Cooper missed Three Point Jumper.,55,66
7:36,-1,Tyrie Orosco Defensive Rebound.,55,66
7:07,-1,Najah Fink missed Jumper.,55,66
7:07,2515,Caleb Tanner Defensive Rebound.,55,66
6:49,2515,Devonnte Holland made Jumper. Assisted by Christian Lutete.,55,68
6:17,-1,Tyrie Orosco made Three Point Jumper.,58,68
5:53,2515,Caleb Tanner missed Three Point Jumper.,58,68
5:53,2515,Christian Lutete Offensive Rebound.,58,68
5:32,-1,Foul on Tyrie Orosco.,58,68
5:32,2515,Devin Cooper made Free Throw.,58,69
5:32,2515,Devin Cooper made Free Throw.,58,70
5:15,-1,Andre Coach made Layup. Assisted by Tyree Tucker.,60,70
5:06,-1,Foul on Rafeeq Bush.,60,70
5:06,2515,Devin Cooper made Free Throw.,60,71
5:06,2515,Devin Cooper made Free Throw.,60,72
4:49,-1,Andre Coach missed Jumper.,60,72
4:49,2515,Justin Cousin Defensive Rebound.,60,72
4:38,2515,Justin Cousin missed Three Point Jumper.,60,72
4:38,-1,Joel Zola Defensive Rebound.,60,72
4:28,2515,Foul on Devonnte Holland.,60,72
4:28,-1,Tyree Tucker made Free Throw.,61,72
4:28,-1,Tyree Tucker made Free Throw.,62,72
4:22,-1,Foul on Mike Warren.,62,72
4:22,2515,Devin Cooper made Free Throw.,62,73
4:22,2515,Devin Cooper missed Free Throw.,62,73
4:22,2515,Donald Hicks Offensive Rebound.,62,73
4:17,-1,Foul on Mike Warren.,62,73
4:17,2515,Donald Hicks made Free Throw.,62,74
4:17,2515,Donald Hicks made Free Throw.,62,75
4:05,-1,Mike Warren Turnover.,62,75
4:02,2515,Justin Cousin Steal.,62,75
4:00,2515,Justin Cousin made Layup.,62,77
3:36,-1,Mike Warren missed Layup.,62,77
3:36,-1,Tyrie Orosco Offensive Rebound.,62,77
3:32,-1,Tyrie Orosco missed Layup.,62,77
3:32,2515,Randy Phillips Defensive Rebound.,62,77
3:21,2515,Justin Cousin missed Layup.,62,77
3:21,2515,Randy Phillips Offensive Rebound.,62,77
3:18,2515,Randy Phillips made Layup.,62,79
3:09,2515,Foul on Randy Phillips.,62,79
3:09,2515,Official TV Timeout,62,79
3:09,-1,Tyrie Orosco made Free Throw.,63,79
3:09,-1,Tyrie Orosco made Free Throw.,64,79
2:42,2515,Caleb Tanner made Layup.,64,81
2:29,-1,Joel Zola missed Jumper.,64,81
2:29,-1,Tyrie Orosco Offensive Rebound.,64,81
2:24,-1,Rafeeq Bush made Three Point Jumper. Assisted by Tyrie Orosco.,67,81
2:22,-1,Central Pennsylvania  Timeout,67,81
2:09,2515,Devonnte Holland made Layup. Assisted by Devin Cooper.,67,83
1:58,2515,Foul on Caleb Tanner.,67,83
1:58,-1,Daylin Davis missed Free Throw.,67,83
1:58,-1,Central Pennsylvania Deadball Team Rebound.,67,83
1:58,-1,Daylin Davis missed Free Throw.,67,83
1:58,2515,Caleb Tanner Defensive Rebound.,67,83
1:51,2515,Devin Cooper made Layup.,67,85
1:39,-1,Tyrie Orosco missed Three Point Jumper.,67,85
1:39,2515,Donald Hicks Defensive Rebound.,67,85
1:32,2515,Devin Cooper made Jumper. Assisted by Donald Hicks.,67,87
1:23,2515,Foul on Caleb Tanner.,67,87
1:19,-1,Daylin Davis made Free Throw.,68,87
1:19,-1,Daylin Davis made Free Throw.,69,87
1:04,2515,Devonnte Holland made Layup.,69,89
0:52,-1,Daylin Davis missed Layup.,69,89
0:52,2515,Radford Defensive Rebound.,69,89
0:39,-1,Foul on Daylin Davis.,69,89
0:39,2515,Devin Cooper made Free Throw.,69,90
0:39,2515,Devin Cooper made Free Throw.,69,91
0:28,-1,Tyrie Orosco missed Layup.,69,91
0:28,2515,Christian Lutete Defensive Rebound.,69,91
0:00,2515,End of Game,69,91
