St. Francis (PA),2184,Duquesne,2598
15:11,2598,Josh Nebo made Dunk. Assisted by Keith Braxton.,7,5
14:59,2184,Mike Lewis II Turnover.,7,5
14:58,2598,Randall Gaskins Jr. Steal.,7,5
14:52,2598,Randall Gaskins Jr. made Three Point Jumper. Assisted by Jamaal King.,10,5
14:34,2184,Nakye Sanders Turnover.,10,5
14:33,2598,Keith Braxton Steal.,10,5
14:31,2598,Keith Braxton Turnover.,10,5
14:30,2184,Tarin Smith Steal.,10,5
14:00,2184,Mike Lewis II missed Three Point Jumper.,10,5
14:00,2598,Josh Nebo Defensive Rebound.,10,5
13:40,2598,Isaiah Blackmon missed Jumper.,10,5
13:40,2598,Josh Nebo Offensive Rebound.,10,5
13:35,2598,Randall Gaskins Jr. missed Jumper.,10,5
13:35,2184,Spencer Littleson Defensive Rebound.,10,5
13:26,2184,Tarin Smith made Layup.,10,7
13:04,2598,Jamaal King Turnover.,10,7
13:03,2184,Mike Lewis II Steal.,10,7
13:01,2184,Mike Lewis II Turnover.,10,7
13:00,2598,Jamaal King Steal.,10,7
12:58,2598,Jamaal King made Layup.,12,7
12:42,2184,Tarin Smith missed Three Point Jumper.,12,7
12:42,2598,Keith Braxton Defensive Rebound.,12,7
12:32,2598,Jamaal King missed Three Point Jumper.,12,7
12:32,2184,Nakye Sanders Defensive Rebound.,12,7
12:26,2184,Mike Lewis II Turnover.,12,7
12:26,2184,Foul on Mike Lewis II.,12,7
12:09,2598,Scott Meredith made Three Point Jumper. Assisted by Daniel Wallace.,15,7
12:09,2184,Duquesne  Timeout,15,7
12:09,2184,Official TV Timeout,15,7
11:58,2184,Emile Blackman made Three Point Jumper. Assisted by Tarin Smith.,15,10
11:43,2184,Foul on Rene Castro.,15,10
11:43,2598,Scott Meredith made Free Throw.,16,10
11:43,2598,Scott Meredith made Free Throw.,17,10
11:30,2184,Tarin Smith missed Three Point Jumper.,17,10
11:30,2598,Daniel Wallace Defensive Rebound.,17,10
11:19,2598,Scott Meredith missed Three Point Jumper.,17,10
11:19,2598,Isaiah Blackmon Offensive Rebound.,17,10
11:12,2598,Keith Braxton made Three Point Jumper. Assisted by Deivydas Kuzavas.,20,10
10:57,2184,Rene Castro Turnover.,20,10
10:36,2598,Scott Meredith Turnover.,20,10
10:35,2184,Spencer Littleson Steal.,20,10
10:31,2184,Tarin Smith made Layup. Assisted by Spencer Littleson.,20,12
10:13,2598,Scott Meredith made Jumper. Assisted by Deivydas Kuzavas.,22,12
9:58,2184,Tarin Smith made Layup. Assisted by Darius Lewis.,22,14
9:58,2598,Foul on Scott Meredith.,22,14
9:58,2184,Tarin Smith made Free Throw.,22,15
9:39,2598,Georgios Angelou missed Three Point Jumper.,22,15
9:39,2184,Darius Lewis Defensive Rebound.,22,15
9:29,2184,Eric James missed Layup.,22,15
9:29,2598,Deivydas Kuzavas Defensive Rebound.,22,15
9:21,2598,Deivydas Kuzavas Turnover.,22,15
9:21,2598,Foul on Deivydas Kuzavas.,22,15
9:08,2184,Tarin Smith missed Layup.,22,15
9:08,2598,Josh Nebo Defensive Rebound.,22,15
8:44,2598,Isaiah Blackmon missed Jumper.,22,15
8:44,2598,Josh Nebo Offensive Rebound.,22,15
8:43,2598,Josh Nebo made Dunk.,24,15
8:32,2184,Darius Lewis made Jumper. Assisted by Spencer Littleson.,24,17
8:16,2598,Isaiah Blackmon made Three Point Jumper. Assisted by Keith Braxton.,27,17
8:01,2184,Spencer Littleson missed Three Point Jumper.,27,17
8:01,2184,Darius Lewis Offensive Rebound.,27,17
7:58,2184,Darius Lewis missed Layup.,27,17
7:58,2184,Darius Lewis Offensive Rebound.,27,17
7:54,2184,Darius Lewis missed Two Point Tip Shot.,27,17
7:54,2184,Darius Lewis Offensive Rebound.,27,17
7:51,2184,Darius Lewis missed Two Point Tip Shot.,27,17
7:51,2598,Isaiah Blackmon Defensive Rebound.,27,17
7:48,2598,Georgios Angelou missed Three Point Jumper.,27,17
7:48,2598,Isaiah Blackmon Offensive Rebound.,27,17
7:43,2598,Keith Braxton missed Three Point Jumper.,27,17
7:43,2184,Eric James Defensive Rebound.,27,17
7:34,2184,Emile Blackman missed Three Point Jumper.,27,17
7:34,2598,Josh Nebo Defensive Rebound.,27,17
7:16,2598,Keith Braxton missed Layup.,27,17
7:16,2184,Duquesne Defensive Rebound.,27,17
7:16,2598,Foul on Keith Braxton.,27,17
7:16,2184,Official TV Timeout,27,17
7:01,2184,Rene Castro made Three Point Jumper. Assisted by Darius Lewis.,27,20
6:43,2598,Josh Nebo made Jumper. Assisted by Georgios Angelou.,29,20
6:27,2598,Foul on Josh Nebo.,29,20
6:27,2184,Darius Lewis missed Free Throw.,29,20
6:27,2184,Duquesne Deadball Team Rebound.,29,20
6:27,2184,Darius Lewis made Free Throw.,29,21
6:18,2184,Foul on Eric James.,29,21
6:18,2598,Josh Nebo made Free Throw.,30,21
6:18,2598,Josh Nebo missed Free Throw.,30,21
6:18,2184,Isiaha Mike Defensive Rebound.,30,21
6:05,2184,Rene Castro missed Layup.,30,21
6:05,2598,Josh Nebo Defensive Rebound.,30,21
5:53,2598,Georgios Angelou Turnover.,30,21
5:48,2184,Rene Castro missed Layup.,30,21
5:48,2184,Duquesne Offensive Rebound.,30,21
5:44,2184,Emile Blackman made Layup.,30,23
5:29,2598,Jamaal King Turnover.,30,23
5:29,2598,Foul on Jamaal King.,30,23
5:21,2184,Darius Lewis missed Jumper.,30,23
5:21,2598,Jamaal King Defensive Rebound.,30,23
5:07,2598,Georgios Angelou made Three Point Jumper. Assisted by Jamaal King.,33,23
4:35,2184,Rene Castro made Three Point Jumper. Assisted by Isiaha Mike.,33,26
4:17,2598,Josh Nebo made Dunk. Assisted by Jamaal King.,35,26
4:00,2184,Rene Castro made Three Point Jumper. Assisted by Darius Lewis.,35,29
3:42,2598,Randall Gaskins Jr. missed Three Point Jumper.,35,29
3:42,2184,Tarin Smith Defensive Rebound.,35,29
3:15,2184,Darius Lewis missed Jumper.,35,29
3:15,2184,Emile Blackman Offensive Rebound.,35,29
3:05,2184,Isiaha Mike Turnover.,35,29
3:05,2184,Foul on Isiaha Mike.,35,29
3:05,2184,Official TV Timeout,35,29
2:54,2598,Jamaal King Turnover.,35,29
2:54,2184,Tarin Smith Steal.,35,29
2:35,2184,Rene Castro made Three Point Jumper. Assisted by Tarin Smith.,35,32
2:13,2598,Scott Meredith missed Three Point Jumper.,35,32
2:13,2184,Emile Blackman Defensive Rebound.,35,32
1:58,2184,Nakye Sanders missed Layup.,35,32
1:58,2598,Josh Nebo Block.,35,32
1:58,2184,Duquesne Offensive Rebound.,35,32
1:56,2184,Isiaha Mike made Dunk. Assisted by Tarin Smith.,35,34
1:32,2598,Randall Gaskins Jr. Turnover.,35,34
1:11,2598,Foul on Randall Gaskins Jr..,35,34
1:11,2184,Tarin Smith made Free Throw.,35,35
1:11,2598,St. Francis (PA)  Timeout,35,35
1:11,2184,Tarin Smith made Free Throw.,35,36
1:01,2184,Foul on Nakye Sanders.,35,36
1:01,2598,Josh Nebo made Free Throw.,36,36
1:01,2598,Josh Nebo missed Free Throw.,36,36
1:01,2184,Isiaha Mike Defensive Rebound.,36,36
0:57,2598,Foul on Jamaal King.,36,36
0:57,2184,Emile Blackman missed Free Throw.,36,36
0:57,2598,Josh Nebo Defensive Rebound.,36,36
0:32,2598,Randall Gaskins Jr. missed Three Point Jumper.,36,36
0:32,2184,Nakye Sanders Defensive Rebound.,36,36
0:05,2184,Tarin Smith made Jumper.,36,38
0:00,2184,End of 1st half,36,38
19:49,2184,Rene Castro missed Three Point Jumper.,36,38
19:49,2184,Rene Castro Offensive Rebound.,36,38
19:25,2184,Isiaha Mike missed Jumper.,36,38
19:25,2598,Georgios Angelou Defensive Rebound.,36,38
19:05,2598,Georgios Angelou missed Three Point Jumper.,36,38
19:05,2184,Rene Castro Defensive Rebound.,36,38
18:54,2184,Nakye Sanders made Layup.,36,40
18:34,2598,Georgios Angelou missed Three Point Jumper.,36,40
18:34,2598,Josh Nebo Offensive Rebound.,36,40
18:26,2184,Foul on Rene Castro.,36,40
18:24,2598,Josh Nebo missed Jumper.,36,40
18:24,2598,Randall Gaskins Jr. Offensive Rebound.,36,40
18:22,2598,Randall Gaskins Jr. made Layup.,38,40
17:56,2184,Nakye Sanders made Layup. Assisted by Emile Blackman.,38,42
17:43,2598,Keith Braxton missed Three Point Jumper.,38,42
17:43,2184,Rene Castro Defensive Rebound.,38,42
17:37,2184,Emile Blackman made Layup.,38,44
17:30,2598,Randall Gaskins Jr. made Jumper. Assisted by Jamaal King.,40,44
17:08,2184,Isiaha Mike made Three Point Jumper.,40,47
16:47,2184,Foul on Emile Blackman.,40,47
16:38,2598,Jamaal King missed Three Point Jumper.,40,47
16:38,2184,Emile Blackman Defensive Rebound.,40,47
16:31,2184,Rene Castro made Layup.,40,49
16:11,2184,Foul on Emile Blackman.,40,49
16:00,2598,Georgios Angelou made Jumper.,42,49
15:44,2184,Tarin Smith made Layup. Assisted by Nakye Sanders.,42,51
15:29,2184,Foul on Nakye Sanders.,42,51
15:29,2184,Official TV Timeout,42,51
15:29,2598,Randall Gaskins Jr. made Free Throw.,43,51
15:29,2598,Randall Gaskins Jr. made Free Throw.,44,51
15:10,2184,Isiaha Mike missed Layup.,44,51
15:10,2598,Josh Nebo Defensive Rebound.,44,51
15:03,2598,Isaiah Blackmon missed Layup.,44,51
15:03,2598,Isaiah Blackmon Offensive Rebound.,44,51
15:00,2598,Isaiah Blackmon missed Jumper.,44,51
15:00,2598,Josh Nebo Offensive Rebound.,44,51
14:56,2598,Josh Nebo made Two Point Tip Shot.,46,51
14:37,2184,Tarin Smith made Jumper. Assisted by Mike Lewis II.,46,53
14:19,2598,Georgios Angelou Turnover.,46,53
14:19,2184,Spencer Littleson Steal.,46,53
14:19,2598,Foul on Georgios Angelou.,46,53
14:11,2184,Nakye Sanders made Dunk. Assisted by Spencer Littleson.,46,55
13:50,2598,Isaiah Blackmon made Jumper.,48,55
13:42,2184,Spencer Littleson made Layup.,48,57
13:24,2184,Foul on Darius Lewis.,48,57
13:20,2184,Foul on Darius Lewis.,48,57
13:20,2598,Deivydas Kuzavas missed Free Throw.,48,57
13:20,2598,St. Francis (PA) Deadball Team Rebound.,48,57
13:20,2598,Deivydas Kuzavas made Free Throw.,49,57
13:11,2598,Foul on Scott Meredith.,49,57
13:05,2184,Rene Castro made Three Point Jumper.,49,60
12:52,2598,Deivydas Kuzavas Turnover.,49,60
12:52,2598,Foul on Deivydas Kuzavas.,49,60
12:40,2184,Eric James Turnover.,49,60
12:40,2598,Keith Braxton Steal.,49,60
12:19,2598,Keith Braxton made Jumper. Assisted by Deivydas Kuzavas.,51,60
12:05,2184,Rene Castro Turnover.,51,60
11:51,2598,Deivydas Kuzavas missed Layup.,51,60
11:51,2184,Mike Lewis II Block.,51,60
11:51,2598,St. Francis (PA) Offensive Rebound.,51,60
11:51,2184,Official TV Timeout,51,60
11:45,2598,Isaiah Blackmon missed Layup.,51,60
11:45,2184,Isiaha Mike Block.,51,60
11:42,2184,Isiaha Mike Defensive Rebound.,51,60
11:37,2184,Rene Castro Turnover.,51,60
11:37,2184,Foul on Rene Castro.,51,60
11:25,2598,Isaiah Blackmon made Three Point Jumper. Assisted by Daniel Wallace.,54,60
11:09,2184,Tarin Smith Turnover.,54,60
11:09,2184,Foul on Tarin Smith.,54,60
10:56,2598,Isaiah Blackmon missed Three Point Jumper.,54,60
10:56,2598,Keith Braxton Offensive Rebound.,54,60
10:51,2598,Deivydas Kuzavas missed Jumper.,54,60
10:51,2184,Nakye Sanders Defensive Rebound.,54,60
10:41,2184,Emile Blackman missed Layup.,54,60
10:41,2598,Daniel Wallace Block.,54,60
10:38,2598,Daniel Wallace Defensive Rebound.,54,60
10:34,2598,Jamaal King Turnover.,54,60
10:24,2184,Isiaha Mike made Jumper. Assisted by Nakye Sanders.,54,62
10:08,2598,Isaiah Blackmon made Three Point Jumper. Assisted by Daniel Wallace.,57,62
9:47,2184,Isiaha Mike made Three Point Jumper. Assisted by Rene Castro.,57,65
9:27,2598,Isaiah Blackmon missed Layup.,57,65
9:27,2184,Isiaha Mike Defensive Rebound.,57,65
9:17,2598,Foul on Keith Braxton.,57,65
9:17,2184,Technical Foul on Duquesne.,57,65
9:17,2184,Foul on Duquesne.,57,65
9:17,2598,Isaiah Blackmon made Free Throw.,58,65
9:17,2598,Isaiah Blackmon missed Free Throw.,58,65
9:17,2598,St. Francis (PA) Deadball Team Rebound.,58,65
9:02,2184,Nakye Sanders made Jumper.,58,67
8:48,2598,Keith Braxton made Jumper. Assisted by Georgios Angelou.,60,67
8:29,2184,Tarin Smith made Three Point Jumper. Assisted by Spencer Littleson.,60,70
8:00,2598,Keith Braxton missed Jumper.,60,70
8:00,2598,St. Francis (PA) Offensive Rebound.,60,70
8:00,2184,Foul on Isiaha Mike.,60,70
8:00,2598,Josh Nebo made Free Throw.,61,70
8:00,2598,Josh Nebo missed Free Throw.,61,70
8:00,2184,Tarin Smith Defensive Rebound.,61,70
7:34,2184,Spencer Littleson missed Three Point Jumper.,61,70
7:34,2598,Randall Gaskins Jr. Defensive Rebound.,61,70
7:26,2184,Foul on Isiaha Mike.,61,70
7:26,2184,Official TV Timeout,61,70
7:26,2598,Keith Braxton made Free Throw.,62,70
7:26,2598,Keith Braxton missed Free Throw.,62,70
7:26,2184,Nakye Sanders Defensive Rebound.,62,70
7:09,2184,Rene Castro missed Three Point Jumper.,62,70
7:09,2598,Josh Nebo Defensive Rebound.,62,70
6:54,2598,Randall Gaskins Jr. missed Jumper.,62,70
6:54,2184,Rene Castro Defensive Rebound.,62,70
6:44,2184,Rene Castro missed Layup.,62,70
6:44,2598,Georgios Angelou Block.,62,70
6:42,2184,Tarin Smith Offensive Rebound.,62,70
6:40,2184,Spencer Littleson missed Three Point Jumper.,62,70
6:40,2184,Nakye Sanders Offensive Rebound.,62,70
6:19,2184,Rene Castro made Three Point Jumper. Assisted by Nakye Sanders.,62,73
6:00,2598,Keith Braxton Turnover.,62,73
6:00,2598,Foul on Keith Braxton.,62,73
5:44,2184,Nakye Sanders missed Jumper.,62,73
5:44,2598,Josh Nebo Defensive Rebound.,62,73
5:41,2598,Isaiah Blackmon Turnover.,62,73
5:39,2184,Spencer Littleson Steal.,62,73
5:36,2184,Rene Castro missed Three Point Jumper.,62,73
5:36,2598,Josh Nebo Defensive Rebound.,62,73
5:35,2184,Foul on Tarin Smith.,62,73
5:35,2598,Josh Nebo missed Free Throw.,62,73
5:35,2598,St. Francis (PA) Deadball Team Rebound.,62,73
5:35,2598,Josh Nebo missed Free Throw.,62,73
5:35,2184,Nakye Sanders Defensive Rebound.,62,73
5:05,2184,Rene Castro made Layup. Assisted by Nakye Sanders.,62,75
4:48,2184,Foul on Nakye Sanders.,62,75
4:48,2598,Josh Nebo made Free Throw.,63,75
4:48,2598,Josh Nebo missed Free Throw.,63,75
4:48,2598,Keith Braxton Offensive Rebound.,63,75
4:47,2598,Keith Braxton missed Layup.,63,75
4:47,2184,Isiaha Mike Block.,63,75
4:47,2598,St. Francis (PA) Offensive Rebound.,63,75
4:31,2598,Randall Gaskins Jr. missed Jumper.,63,75
4:31,2184,Nakye Sanders Defensive Rebound.,63,75
4:05,2598,Foul on Isaiah Blackmon.,63,75
4:05,2184,Rene Castro made Free Throw.,63,76
4:05,2184,Rene Castro made Free Throw.,63,77
3:51,2598,Georgios Angelou made Three Point Jumper. Assisted by Randall Gaskins Jr..,66,77
3:50,2598,St. Francis (PA)  Timeout,66,77
3:33,2184,Isiaha Mike made Three Point Jumper. Assisted by Rene Castro.,66,80
3:14,2598,Randall Gaskins Jr. made Jumper. Assisted by Keith Braxton.,68,80
3:04,2598,Foul on Randall Gaskins Jr..,68,80
3:04,2184,Official TV Timeout,68,80
3:04,2184,Tarin Smith made Free Throw.,68,81
3:04,2184,Tarin Smith made Free Throw.,68,82
2:56,2598,Jamaal King missed Layup.,68,82
2:56,2184,Nakye Sanders Block.,68,82
2:53,2184,Nakye Sanders Defensive Rebound.,68,82
2:44,2598,Foul on Jamaal King.,68,82
2:44,2184,Rene Castro made Free Throw.,68,83
2:44,2184,Rene Castro made Free Throw.,68,84
2:30,2598,Randall Gaskins Jr. missed Three Point Jumper.,68,84
2:30,2184,Nakye Sanders Defensive Rebound.,68,84
2:20,2598,Foul on Jamaal King.,68,84
2:20,2184,Tarin Smith made Free Throw.,68,85
2:20,2184,Tarin Smith missed Free Throw.,68,85
2:20,2598,Josh Nebo Defensive Rebound.,68,85
1:51,2598,Josh Nebo made Jumper.,70,85
1:43,2184,Isiaha Mike Turnover.,70,85
1:43,2598,Georgios Angelou Steal.,70,85
1:42,2598,Georgios Angelou Turnover.,70,85
1:32,2598,Foul on Keith Braxton.,70,85
1:32,2184,Spencer Littleson made Free Throw.,70,86
1:32,2184,Spencer Littleson missed Free Throw.,70,86
1:32,2598,Keith Braxton Defensive Rebound.,70,86
1:24,2598,Deivydas Kuzavas Turnover.,70,86
1:09,2184,Spencer Littleson missed Three Point Jumper.,70,86
1:09,2598,St. Francis (PA) Defensive Rebound.,70,86
0:50,2598,Andre Wolford made Jumper.,72,86
0:27,2184,Spencer Littleson made Three Point Jumper. Assisted by Eric James.,72,89
0:12,2598,Andre Wolford made Three Point Jumper. Assisted by Scott Meredith.,75,89
0:00,2184,End of Game,75,89
