Missouri Southern State,79,Southern Illinois,2403
4:15,79,Sean O'Brien missed Free Throw.,12,23
4:15,-1,Cj Carr Defensive Rebound.,12,23
4:06,-1,Dexter Frisbie Turnover.,12,23
4:06,-1,Foul on Dexter Frisbie.,12,23
4:01,79,Thik Bol made Dunk. Assisted by Mike Rodriguez.,12,25
3:46,-1,Melton Sanders missed Three Point Jumper.,12,25
3:46,-1,Missouri Southern State Offensive Rebound.,12,25
3:36,-1,Cj Carr missed Layup.,12,25
3:36,79,Thik Bol Defensive Rebound.,12,25
3:36,-1,Foul on Dylon Gregory.,12,25
3:36,79,Thik Bol made Free Throw.,12,26
3:36,79,Thik Bol made Free Throw.,12,27
3:26,-1,Jj Cratit missed Free Throw.,12,27
3:26,-1,Missouri Southern State Deadball Team Rebound.,12,27
3:26,-1,Jj Cratit made Free Throw.,13,27
3:24,79,Foul on Jonathan Wiley.,13,27
3:18,79,Leo Vincent Turnover.,13,27
3:18,79,Foul on Leo Vincent.,13,27
3:08,-1,Jj Cratit missed Three Point Jumper.,13,27
3:08,-1,Cj Carr Offensive Rebound.,13,27
3:02,79,Sean O'Brien made Free Throw.,13,28
3:02,79,Sean O'Brien missed Free Throw.,13,28
3:02,-1,Dexter Frisbie Defensive Rebound.,13,28
3:01,-1,Cj Carr Turnover.,13,28
3:01,-1,Foul on Cj Carr.,13,28
3:01,79,Thik Bol Steal.,13,28
2:59,79,Foul on Mike Rodriguez.,13,28
2:59,-1,Parker Jennings missed Free Throw.,13,28
2:59,-1,Missouri Southern State Deadball Team Rebound.,13,28
2:59,-1,Parker Jennings missed Free Throw.,13,28
2:59,79,Thik Bol Defensive Rebound.,13,28
2:32,79,Mike Rodriguez Turnover.,13,28
2:32,79,Foul on Mike Rodriguez.,13,28
2:11,-1,Jj Cratit missed Three Point Jumper.,13,28
2:11,79,Aaron Cook Defensive Rebound.,13,28
2:07,79,Aaron Cook made Layup.,13,30
2:02,-1,Jj Cratit made Layup. Assisted by Parker Jennings.,15,30
2:02,79,Foul on Thik Bol.,15,30
2:02,-1,Jj Cratit made Free Throw.,16,30
1:46,-1,Foul on Kinzer Lambert.,16,30
1:46,79,Aaron Cook made Free Throw.,16,31
1:46,79,Aaron Cook made Free Throw.,16,32
1:31,-1,Dexter Frisbie made Layup. Assisted by Kinzer Lambert.,18,32
1:11,79,Sean O'Brien missed Layup.,18,32
1:11,79,Aaron Cook Offensive Rebound.,18,32
1:07,79,Aaron Cook Turnover.,18,32
0:51,-1,Dexter Frisbie missed Layup.,18,32
0:51,79,Sean Lloyd Defensive Rebound.,18,32
0:35,79,Sean Lloyd Turnover.,18,32
0:34,-1,Vince Fritz Steal.,18,32
0:33,-1,Vince Fritz made Layup.,20,32
0:08,79,Sean Lloyd missed Three Point Jumper.,20,32
0:08,79,Sean O'Brien Offensive Rebound.,20,32
0:08,79,Sean O'Brien made Two Point Tip Shot.,20,34
0:03,-1,Kinzer Lambert Turnover.,20,34
0:00,79,Jonathan Wiley made Jumper.,20,36
0:00,79,End of 1st half,20,34
19:38,79,Sean O'Brien made Layup.,20,38
19:30,-1,Cj Carr made Layup.,22,38
19:19,79,Aaron Cook missed Layup.,22,38
19:19,79,Southern Illinois Offensive Rebound.,22,38
19:17,79,Sean O'Brien Turnover.,22,38
19:16,-1,Cj Carr Steal.,22,38
19:13,-1,Elyjah Clark missed Layup.,22,38
19:13,-1,Cj Carr Offensive Rebound.,22,38
19:02,-1,Lj Ross missed Jumper.,22,38
19:02,79,Thik Bol Block.,22,38
19:02,-1,Missouri Southern State Offensive Rebound.,22,38
18:52,-1,Elyjah Clark missed Three Point Jumper.,22,38
18:52,79,Sean O'Brien Defensive Rebound.,22,38
18:44,79,Leo Vincent made Layup. Assisted by Sean O'Brien.,22,40
18:30,-1,Cj Carr made Three Point Jumper.,25,40
18:03,-1,Foul on Lawrence Brown.,25,40
18:03,79,Armon Fletcher made Free Throw.,25,41
18:03,79,Armon Fletcher made Free Throw.,25,42
17:41,-1,Jj Cratit made Three Point Jumper. Assisted by Lawrence Brown.,28,42
17:24,79,Leo Vincent missed Three Point Jumper.,28,42
17:24,-1,Cj Carr Defensive Rebound.,28,42
17:15,-1,Cj Carr Turnover.,28,42
17:15,-1,Foul on Cj Carr.,28,42
17:05,-1,Foul on Lawrence Brown.,28,42
17:04,-1,Foul on Kinzer Lambert.,28,42
16:50,-1,Foul on Lj Ross.,28,42
16:50,79,Armon Fletcher made Free Throw.,28,43
16:50,79,Armon Fletcher made Free Throw.,28,44
16:39,-1,Kinzer Lambert missed Three Point Jumper.,28,44
16:39,-1,Lj Ross Offensive Rebound.,28,44
16:37,79,Foul on Sean O'Brien.,28,44
16:37,-1,Lj Ross missed Free Throw.,28,44
16:37,-1,Missouri Southern State Deadball Team Rebound.,28,44
16:37,-1,Lj Ross made Free Throw.,29,44
16:35,79,Leo Vincent made Layup. Assisted by Sean O'Brien.,29,46
16:21,-1,Jj Cratit made Three Point Jumper. Assisted by Cj Carr.,32,46
16:00,79,Armon Fletcher missed Layup.,32,46
16:00,-1,Cj Carr Defensive Rebound.,32,46
15:49,-1,Cj Carr Turnover.,32,46
15:49,79,Rudy Stradnieks Steal.,32,46
15:49,79,Official TV Timeout,32,46
15:32,79,Mike Rodriguez Turnover.,32,46
15:19,-1,Cj Carr missed Jumper.,32,46
15:19,79,Sean O'Brien Defensive Rebound.,32,46
14:59,79,Mike Rodriguez Turnover.,32,46
14:53,-1,Elyjah Clark made Three Point Jumper. Assisted by Cj Carr.,35,46
14:40,-1,Foul on Lj Ross.,35,46
14:40,-1,Foul on Elyjah Clark.,35,46
14:40,79,Leo Vincent made Free Throw.,35,47
14:40,79,Leo Vincent made Free Throw.,35,48
14:30,-1,Dexter Frisbie missed Layup.,35,48
14:30,-1,Elyjah Clark Offensive Rebound.,35,48
14:27,-1,Elyjah Clark missed Layup.,35,48
14:27,79,Sean Lloyd Defensive Rebound.,35,48
14:15,79,Sean O'Brien Turnover.,35,48
14:15,79,Foul on Sean O'Brien.,35,48
14:03,-1,Elyjah Clark made Layup. Assisted by Cj Carr.,37,48
13:49,79,Armon Fletcher made Three Point Jumper. Assisted by Aaron Cook.,37,51
13:38,79,Foul on Aaron Cook.,37,51
13:31,-1,Cj Carr made Three Point Jumper.,40,51
13:13,-1,Foul on Dexter Frisbie.,40,51
13:13,79,Sean Lloyd made Free Throw.,40,52
13:13,79,Sean Lloyd missed Free Throw.,40,52
13:13,-1,Kinzer Lambert Defensive Rebound.,40,52
13:08,-1,Kinzer Lambert missed Layup.,40,52
13:08,79,Thik Bol Defensive Rebound.,40,52
12:54,79,Thik Bol made Jumper. Assisted by Leo Vincent.,40,54
12:29,-1,Dexter Frisbie missed Layup.,40,54
12:29,79,Thik Bol Defensive Rebound.,40,54
12:17,79,Mike Rodriguez made Layup.,40,56
11:56,-1,Cj Carr missed Jumper.,40,56
11:56,79,Thik Bol Defensive Rebound.,40,56
11:42,79,Austin Weiher missed Three Point Jumper.,40,56
11:42,79,Thik Bol Offensive Rebound.,40,56
11:38,79,Austin Weiher made Layup. Assisted by Thik Bol.,40,58
11:34,-1,Missouri Southern State  Timeout,40,58
11:19,-1,Kinzer Lambert missed Jumper.,40,58
11:19,79,Thik Bol Defensive Rebound.,40,58
10:52,79,Sean Lloyd Turnover.,40,58
10:51,-1,Jj Cratit Steal.,40,58
10:47,-1,Cj Carr made Layup. Assisted by Vince Fritz.,42,58
10:29,79,Austin Weiher made Layup.,42,60
10:07,79,Official TV Timeout,42,60
10:03,-1,Vince Fritz missed Jumper.,42,60
10:03,79,Thik Bol Defensive Rebound.,42,60
9:49,79,Mike Rodriguez missed Layup.,42,60
9:49,79,Austin Weiher Offensive Rebound.,42,60
9:48,-1,Foul on Kinzer Lambert.,42,60
9:48,79,Austin Weiher missed Free Throw.,42,60
9:48,79,Southern Illinois Deadball Team Rebound.,42,60
9:48,79,Austin Weiher made Free Throw.,42,61
9:38,-1,Vince Fritz missed Layup.,42,61
9:38,79,Armon Fletcher Defensive Rebound.,42,61
9:33,79,Sean O'Brien made Layup. Assisted by Mike Rodriguez.,42,63
9:25,-1,Cj Carr missed Three Point Jumper.,42,63
9:25,79,Leo Vincent Block.,42,63
9:25,79,Thik Bol Defensive Rebound.,42,63
9:16,79,Mike Rodriguez made Layup.,42,65
9:07,-1,Vince Fritz missed Three Point Jumper.,42,65
9:07,79,Thik Bol Defensive Rebound.,42,65
8:57,79,Mike Rodriguez made Layup.,42,67
8:51,-1,Missouri Southern State  Timeout,42,67
8:34,-1,Dylon Gregory Turnover.,42,67
8:14,79,Thik Bol missed Layup.,42,67
8:14,79,Leo Vincent Offensive Rebound.,42,67
8:05,79,Mike Rodriguez missed Layup.,42,67
8:05,79,Sean O'Brien Offensive Rebound.,42,67
8:02,79,Sean O'Brien made Two Point Tip Shot.,42,69
7:42,-1,Cj Carr missed Layup.,42,69
7:42,79,Thik Bol Defensive Rebound.,42,69
7:37,-1,Foul on Melton Sanders.,42,69
7:37,79,Official TV Timeout,42,69
7:37,79,Armon Fletcher made Free Throw.,42,70
7:37,79,Armon Fletcher made Free Throw.,42,71
7:26,-1,Lj Ross missed Jumper.,42,71
7:26,79,Sean O'Brien Defensive Rebound.,42,71
7:18,79,Armon Fletcher missed Three Point Jumper.,42,71
7:18,-1,Lj Ross Defensive Rebound.,42,71
7:06,-1,Elyjah Clark missed Three Point Jumper.,42,71
7:06,79,Thik Bol Defensive Rebound.,42,71
6:55,79,Sean O'Brien made Layup.,42,73
6:42,-1,Elyjah Clark missed Three Point Jumper.,42,73
6:42,79,Armon Fletcher Defensive Rebound.,42,73
6:24,79,Armon Fletcher made Three Point Jumper. Assisted by Leo Vincent.,42,76
6:02,-1,Dylon Gregory Turnover.,42,76
5:44,79,Leo Vincent missed Layup.,42,76
5:44,79,Armon Fletcher Offensive Rebound.,42,76
5:30,79,Armon Fletcher made Layup.,42,78
5:25,79,Foul on Rudy Stradnieks.,42,78
5:18,79,Foul on Aaron Cook.,42,78
5:15,-1,Parker Jennings made Three Point Jumper. Assisted by Lawrence Brown.,45,78
4:54,79,Sean Lloyd made Layup.,45,80
4:48,-1,Parker Jennings made Three Point Jumper.,48,80
4:27,79,Austin Weiher made Dunk. Assisted by Sean Lloyd.,48,82
4:12,79,Foul on Mike Rodriguez.,48,82
4:00,-1,Dexter Frisbie made Layup.,50,82
3:35,79,Aaron Cook Turnover.,50,82
3:35,79,Official TV Timeout,50,82
3:23,-1,Dexter Frisbie Turnover.,50,82
3:05,79,Rudy Stradnieks Turnover.,50,82
3:00,-1,Elyjah Clark made Three Point Jumper. Assisted by Parker Jennings.,53,82
2:31,79,Sean Lloyd missed Layup.,53,82
2:31,79,Rudy Stradnieks Offensive Rebound.,53,82
2:26,79,Rudy Stradnieks missed Layup.,53,82
2:26,-1,Elyjah Clark Defensive Rebound.,53,82
2:20,-1,Elyjah Clark made Three Point Jumper.,56,82
2:20,79,Jonathan Wiley missed Jumper.,56,82
1:58,-1,Parker Jennings Defensive Rebound.,56,82
1:50,-1,Elyjah Clark made Layup. Assisted by Parker Jennings.,58,82
1:27,79,Austin Weiher made Three Point Jumper. Assisted by Jonathan Wiley.,58,85
1:08,-1,Parker Jennings made Three Point Jumper.,61,85
0:47,79,Jonathan Wiley missed Jumper.,61,85
0:47,-1,Parker Jennings Defensive Rebound.,61,85
0:35,-1,Lawrence Brown made Three Point Jumper. Assisted by Elyjah Clark.,64,85
0:15,79,Aaron Cook missed Layup.,64,85
0:15,79,Austin Weiher Offensive Rebound.,64,85
0:00,79,End of 2nd half,64,85
0:00,79,End of Game,64,85
