Idaho,2459,Northern Illinois,70
12:41,2459,Noah McCarty made Layup.,5,7
12:41,70,Foul on Chad Sherwood.,5,7
12:41,2459,Noah McCarty made Free Throw.,5,8
12:26,2459,Foul on Aaric Armstead.,5,8
12:17,70,Brayon Blake Turnover.,5,8
12:17,70,Foul on Brayon Blake.,5,8
12:03,70,Foul on Trevon Allen.,5,8
12:03,2459,Laytwan Porter made Free Throw.,5,9
12:03,2459,Laytwan Porter missed Free Throw.,5,9
12:03,70,Brayon Blake Defensive Rebound.,5,9
11:57,70,Trevon Allen Turnover.,5,9
11:56,2459,Dontel Highsmith Steal.,5,9
11:34,2459,Dontel Highsmith Turnover.,5,9
11:33,70,Patrick Ingram Steal.,5,9
11:30,70,Victor Sanders made Jumper.,7,9
11:06,2459,Levi Bradley made Jumper. Assisted by Laytwan Porter.,7,11
10:44,2459,Foul on Levi Bradley.,7,11
10:44,70,Arkadiy Mkrtychyan made Free Throw.,8,11
10:44,70,Arkadiy Mkrtychyan missed Free Throw.,8,11
10:44,2459,Aaric Armstead Defensive Rebound.,8,11
10:27,2459,Laytwan Porter Turnover.,8,11
10:18,70,Arkadiy Mkrtychyan Turnover.,8,11
10:17,2459,Laytwan Porter Steal.,8,11
10:14,2459,Laytwan Porter missed Layup.,8,11
10:14,70,Arkadiy Mkrtychyan Defensive Rebound.,8,11
10:04,70,Brayon Blake missed Layup.,8,11
10:04,2459,Jaylen Key Defensive Rebound.,8,11
9:53,70,Foul on Victor Sanders.,8,11
9:53,2459,Aaric Armstead missed Free Throw.,8,11
9:53,2459,Northern Illinois Deadball Team Rebound.,8,11
9:53,2459,Aaric Armstead made Free Throw.,8,12
9:26,2459,Foul on Dontel Highsmith.,8,12
9:26,70,Brayon Blake missed Free Throw.,8,12
9:26,2459,Aaric Armstead Defensive Rebound.,8,12
9:14,2459,Laytwan Porter missed Layup.,8,12
9:14,70,Jordan Scott Defensive Rebound.,8,12
9:02,2459,Austin Pauga missed Free Throw.,8,13
9:02,70,Ty Egbert Defensive Rebound.,8,13
9:02,2459,Austin Pauga made Free Throw.,8,13
9:02,70,Tyler Brimhall missed Three Point Jumper.,8,13
9:02,2459,Northern Illinois Defensive Rebound.,8,13
8:59,70,Foul on Brayon Blake.,8,13
8:54,70,Perrion Callandret missed Three Point Jumper.,8,13
8:54,70,Ty Egbert Offensive Rebound.,8,13
8:47,70,Tyler Brimhall missed Three Point Jumper.,8,13
8:47,2459,Northern Illinois Defensive Rebound.,8,13
8:23,2459,Austin Pauga missed Three Point Jumper.,8,13
8:23,70,Jordan Scott Defensive Rebound.,8,13
8:09,70,Ty Egbert missed Layup.,8,13
8:09,2459,Eugene German Defensive Rebound.,8,13
8:02,70,Foul on Perrion Callandret.,8,13
8:02,2459,Eugene German missed Free Throw.,8,13
8:02,2459,Northern Illinois Deadball Team Rebound.,8,13
8:02,2459,Eugene German missed Free Throw.,8,13
8:02,70,Jordan Scott Defensive Rebound.,8,13
7:47,70,Perrion Callandret missed Jumper.,8,13
7:47,70,Nate Sherwood Offensive Rebound.,8,13
7:42,70,Nate Sherwood made Two Point Tip Shot.,10,13
7:24,2459,Eugene German Turnover.,10,13
7:23,70,Tyler Brimhall Steal.,10,13
7:13,70,Ty Egbert missed Layup.,10,13
7:13,2459,Eugene German Defensive Rebound.,10,13
7:07,2459,Eugene German missed Layup.,10,13
7:07,70,Perrion Callandret Defensive Rebound.,10,13
6:59,70,Perrion Callandret made Layup.,12,13
6:56,2459,Northern Illinois  Timeout,12,13
6:39,2459,Jaylen Key missed Layup.,12,13
6:39,70,Ty Egbert Defensive Rebound.,12,13
6:11,70,Tyler Brimhall missed Jumper.,12,13
6:11,70,Tyler Brimhall Offensive Rebound.,12,13
6:08,2459,Foul on Aaric Armstead.,12,13
6:08,70,Tyler Brimhall missed Free Throw.,12,13
6:08,2459,Laytwan Porter Defensive Rebound.,12,13
5:47,2459,Levi Bradley missed Jumper.,12,13
5:47,70,Jordan Scott Defensive Rebound.,12,13
5:35,70,Perrion Callandret missed Jumper.,12,13
5:35,70,Jordan Scott Offensive Rebound.,12,13
5:31,2459,Foul on Laytwan Porter.,12,13
5:31,70,Jordan Scott missed Free Throw.,12,13
5:31,70,Idaho Deadball Team Rebound.,12,13
5:31,70,Jordan Scott made Free Throw.,13,13
5:14,2459,Marshawn Wilson missed Jumper.,13,13
5:14,2459,Jaylen Key Offensive Rebound.,13,13
5:09,2459,Jaylen Key made Two Point Tip Shot.,13,15
4:48,70,Nate Sherwood made Layup.,15,15
4:27,2459,Jaylen Key missed Jumper.,15,15
4:27,2459,Marshawn Wilson Offensive Rebound.,15,15
4:23,2459,Marshawn Wilson made Layup.,15,17
4:01,2459,Foul on Jaylen Key.,15,17
4:01,70,Jordan Scott missed Free Throw.,15,17
4:01,70,Idaho Deadball Team Rebound.,15,17
4:01,70,Jordan Scott made Free Throw.,16,17
3:35,2459,Marshawn Wilson Turnover.,16,17
3:35,70,Idaho  Timeout,16,17
3:17,70,Victor Sanders made Three Point Jumper.,19,17
3:06,2459,Foul on Jaylen Key.,19,17
3:06,2459,Jaylen Key Turnover.,19,17
2:56,2459,Foul on Noah McCarty.,19,17
2:55,70,Victor Sanders missed Free Throw.,19,17
2:55,70,Idaho Deadball Team Rebound.,19,17
2:55,70,Victor Sanders made Free Throw.,20,17
2:36,2459,Austin Pauga missed Jumper.,20,17
2:36,70,Nick Blair Defensive Rebound.,20,17
2:25,70,Arkadiy Mkrtychyan Turnover.,20,17
2:08,2459,Austin Pauga missed Three Point Jumper.,20,17
2:08,70,Arkadiy Mkrtychyan Defensive Rebound.,20,17
1:57,70,Perrion Callandret missed Layup.,20,17
1:57,2459,Eugene German Defensive Rebound.,20,17
1:51,2459,Noah McCarty missed Jumper.,20,17
1:51,70,Tyler Brimhall Defensive Rebound.,20,17
1:39,70,Nate Sherwood missed Three Point Jumper.,20,17
1:39,2459,Noah McCarty Defensive Rebound.,20,17
1:24,2459,Eugene German missed Three Point Jumper.,20,17
1:24,2459,Northern Illinois Offensive Rebound.,20,17
1:21,70,Foul on Nick Blair.,20,17
1:21,2459,Noah McCarty made Free Throw.,20,18
1:21,2459,Noah McCarty made Free Throw.,20,19
1:21,70,Idaho  Timeout,20,19
1:06,70,Nate Sherwood Turnover.,20,19
0:47,2459,Noah McCarty missed Jumper.,20,19
0:47,70,Idaho Defensive Rebound.,20,19
0:46,2459,Foul on Marshawn Wilson.,20,19
0:46,70,Nate Sherwood made Free Throw.,21,19
0:46,70,Nate Sherwood missed Free Throw.,21,19
0:46,2459,Noah McCarty Defensive Rebound.,21,19
0:20,2459,Levi Bradley made Jumper. Assisted by Noah McCarty.,21,21
0:04,70,Perrion Callandret missed Three Point Jumper.,21,21
0:04,2459,Northern Illinois Defensive Rebound.,21,21
0:00,2459,End of 1st half,21,21
19:39,70,Victor Sanders made Three Point Jumper. Assisted by Perrion Callandret.,24,21
19:20,2459,Dontel Highsmith missed Three Point Jumper.,24,21
19:20,2459,Aaric Armstead Offensive Rebound.,24,21
19:07,2459,Laytwan Porter made Three Point Jumper.,24,24
18:40,2459,Foul on Aaric Armstead.,24,24
18:40,70,Victor Sanders missed Free Throw.,24,24
18:40,70,Idaho Deadball Team Rebound.,24,24
18:40,70,Victor Sanders missed Free Throw.,24,24
18:40,70,Idaho Deadball Team Rebound.,24,24
18:40,70,Victor Sanders made Free Throw.,25,24
18:20,2459,Jaylen Key made Jumper.,25,26
18:19,70,Foul on Victor Sanders.,25,26
18:19,2459,Jaylen Key missed Free Throw.,25,26
18:19,70,Nate Sherwood Defensive Rebound.,25,26
18:17,2459,Foul on Aaric Armstead.,25,26
18:12,70,Brayon Blake made Jumper. Assisted by Nate Sherwood.,27,26
17:52,70,Foul on Nate Sherwood.,27,26
17:45,70,Foul on Brayon Blake.,27,26
17:45,2459,Dontel Highsmith made Free Throw.,27,27
17:45,2459,Dontel Highsmith missed Free Throw.,27,27
17:45,70,Arkadiy Mkrtychyan Defensive Rebound.,27,27
17:24,70,Jordan Scott missed Layup.,27,27
17:24,2459,Marshawn Wilson Defensive Rebound.,27,27
17:18,2459,Laytwan Porter made Three Point Jumper. Assisted by Marshawn Wilson.,27,30
16:57,70,Chad Sherwood missed Three Point Jumper.,27,30
16:57,2459,Northern Illinois Defensive Rebound.,27,30
16:32,2459,Marin Maric made Layup.,27,32
16:14,70,Arkadiy Mkrtychyan missed Three Point Jumper.,27,32
16:14,2459,Dontel Highsmith Defensive Rebound.,27,32
15:55,2459,Laytwan Porter made Three Point Jumper. Assisted by Marshawn Wilson.,27,35
15:44,70,Idaho  Timeout,27,35
15:33,2459,Official TV Timeout,27,35
15:33,70,Technical Foul on Arkadiy Mkrtychyan.,27,35
15:33,70,Foul on Arkadiy Mkrtychyan.,27,35
15:33,2459,Foul on Laytwan Porter.,27,35
15:33,2459,Technical Foul on Laytwan Porter.,27,35
15:23,70,Patrick Ingram missed Three Point Jumper.,27,35
15:23,70,Nate Sherwood Offensive Rebound.,27,35
15:14,2459,Foul on Jaylen Key.,27,35
15:10,70,Foul on Nate Sherwood.,27,35
15:10,70,Nate Sherwood Turnover.,27,35
14:54,2459,Laytwan Porter Turnover.,27,35
14:41,70,Ty Egbert Turnover.,27,35
14:21,2459,Marshawn Wilson Turnover.,27,35
14:06,70,Nate Sherwood missed Jumper.,27,35
14:06,70,Chad Sherwood Offensive Rebound.,27,35
13:59,70,Ty Egbert made Layup. Assisted by Chad Sherwood.,29,35
13:33,2459,Marin Maric made Jumper. Assisted by Justin Thomas.,29,37
13:14,70,Perrion Callandret missed Three Point Jumper.,29,37
13:14,2459,Dontel Highsmith Defensive Rebound.,29,37
12:48,70,Foul on Nate Sherwood.,29,37
12:38,70,Foul on Perrion Callandret.,29,37
12:38,2459,Marin Maric made Free Throw.,29,38
12:38,2459,Marin Maric made Free Throw.,29,39
12:22,2459,Foul on Austin Pauga.,29,39
12:20,70,Brayon Blake Turnover.,29,39
12:19,2459,Dontel Highsmith Steal.,29,39
12:14,2459,Marin Maric Turnover.,29,39
12:14,2459,Foul on Marin Maric.,29,39
11:55,70,Victor Sanders missed Jumper.,29,39
11:55,2459,Jaylen Key Defensive Rebound.,29,39
11:20,2459,Dontel Highsmith missed Layup.,29,39
11:20,70,Brayon Blake Defensive Rebound.,29,39
11:17,70,Brayon Blake made Jumper.,31,39
10:52,70,Foul on Arkadiy Mkrtychyan.,31,39
10:52,2459,Jaylen Key missed Free Throw.,31,39
10:52,70,Arkadiy Mkrtychyan Defensive Rebound.,31,39
10:42,70,Brayon Blake Turnover.,31,39
10:33,2459,Laytwan Porter Turnover.,31,39
10:25,70,Victor Sanders missed Three Point Jumper.,31,39
10:25,2459,Laytwan Porter Defensive Rebound.,31,39
10:18,70,Foul on Victor Sanders.,31,39
10:18,2459,Dontel Highsmith made Free Throw.,31,40
10:18,2459,Dontel Highsmith made Free Throw.,31,41
10:02,70,Brayon Blake made Jumper. Assisted by Chad Sherwood.,33,41
9:43,2459,Aaric Armstead missed Three Point Jumper.,33,41
9:43,70,Perrion Callandret Defensive Rebound.,33,41
9:34,2459,Foul on Austin Pauga.,33,41
9:34,70,Brayon Blake missed Free Throw.,33,41
9:34,2459,Aaric Armstead Defensive Rebound.,33,41
9:11,2459,Levi Bradley made Jumper. Assisted by Aaric Armstead.,33,43
8:48,70,Chad Sherwood missed Three Point Jumper.,33,43
8:48,70,Brayon Blake Offensive Rebound.,33,43
8:42,70,Brayon Blake made Dunk.,35,43
8:17,2459,Levi Bradley made Jumper.,35,45
7:55,70,Brayon Blake made Three Point Jumper. Assisted by Perrion Callandret.,38,45
7:44,70,Foul on Chad Sherwood.,38,45
7:44,2459,Official TV Timeout,38,45
7:44,2459,Official TV Timeout,38,45
7:44,2459,Laytwan Porter made Free Throw.,38,46
7:44,2459,Laytwan Porter made Free Throw.,38,47
7:44,70,Technical Foul on Perrion Callandret.,38,47
7:44,70,Foul on Perrion Callandret.,38,47
7:44,2459,Technical Foul on Laytwan Porter.,38,47
7:44,2459,Foul on Laytwan Porter.,38,47
7:19,70,Chad Sherwood Turnover.,38,47
7:18,2459,Aaric Armstead Steal.,38,47
7:16,70,Foul on Chad Sherwood.,38,47
7:16,2459,Justin Thomas made Free Throw.,38,48
7:16,2459,Justin Thomas missed Free Throw.,38,48
7:16,70,Brayon Blake Defensive Rebound.,38,48
6:55,70,Victor Sanders made Layup.,40,48
6:44,70,Foul on Victor Sanders.,40,48
6:44,2459,Justin Thomas made Free Throw.,40,49
6:44,2459,Justin Thomas made Free Throw.,40,50
6:31,70,Brayon Blake missed Layup.,40,50
6:31,70,Brayon Blake Offensive Rebound.,40,50
6:26,70,Chad Sherwood Turnover.,40,50
6:00,2459,Marshawn Wilson missed Jumper.,40,50
6:00,70,Jordan Scott Defensive Rebound.,40,50
5:48,70,Brayon Blake made Jumper.,42,50
5:32,70,Foul on Jordan Scott.,42,50
5:32,2459,Dontel Highsmith made Free Throw.,42,51
5:32,2459,Dontel Highsmith made Free Throw.,42,52
5:21,70,Brayon Blake missed Three Point Jumper.,42,52
5:21,2459,Justin Thomas Defensive Rebound.,42,52
4:52,2459,Dontel Highsmith missed Layup.,42,52
4:52,70,Brayon Blake Defensive Rebound.,42,52
4:46,70,Brayon Blake made Layup.,44,52
4:18,2459,Justin Thomas missed Three Point Jumper.,44,52
4:18,2459,Jaylen Key Offensive Rebound.,44,52
4:15,70,Foul on Tyler Brimhall.,44,52
4:15,2459,Jaylen Key made Free Throw.,44,53
4:15,2459,Jaylen Key made Free Throw.,44,54
4:07,70,Tyler Brimhall missed Three Point Jumper.,44,54
4:07,2459,Aaric Armstead Defensive Rebound.,44,54
3:50,2459,Jaylen Key Turnover.,44,54
3:49,70,Brayon Blake Steal.,44,54
3:47,70,Brayon Blake Turnover.,44,54
3:47,2459,Official TV Timeout,44,54
3:23,2459,Levi Bradley missed Jumper.,44,54
3:23,70,Perrion Callandret Defensive Rebound.,44,54
3:04,70,Brayon Blake Turnover.,44,54
3:03,2459,Levi Bradley Steal.,44,54
2:59,2459,Levi Bradley made Layup.,44,56
2:44,70,Patrick Ingram made Three Point Jumper. Assisted by Tyler Brimhall.,47,56
2:41,70,Idaho  Timeout,47,56
2:17,70,Foul on Nate Sherwood.,47,56
2:17,2459,Dontel Highsmith made Free Throw.,47,57
2:17,2459,Dontel Highsmith made Free Throw.,47,58
1:53,70,Tyler Brimhall missed Three Point Jumper.,47,58
1:53,70,Jordan Scott Offensive Rebound.,47,58
1:53,2459,Foul on Dontel Highsmith.,47,58
1:53,70,Jordan Scott made Free Throw.,48,58
1:53,70,Jordan Scott missed Free Throw.,48,58
1:53,70,Arkadiy Mkrtychyan Offensive Rebound.,48,58
1:48,2459,Foul on Dontel Highsmith.,48,58
1:48,70,Arkadiy Mkrtychyan missed Free Throw.,48,58
1:48,70,Idaho Deadball Team Rebound.,48,58
1:48,70,Arkadiy Mkrtychyan made Free Throw.,49,58
1:47,70,Foul on Trevon Allen.,49,58
1:47,2459,Aaric Armstead made Free Throw.,49,59
1:47,2459,Aaric Armstead made Free Throw.,49,60
1:30,70,Trevon Allen missed Three Point Jumper.,49,60
1:30,70,Chad Sherwood Offensive Rebound.,49,60
1:20,70,Jordan Scott missed Layup.,49,60
1:20,2459,Marin Maric Defensive Rebound.,49,60
1:04,70,Foul on Patrick Ingram.,49,60
1:04,2459,Aaric Armstead missed Free Throw.,49,60
1:04,2459,Northern Illinois Deadball Team Rebound.,49,60
1:04,2459,Aaric Armstead made Free Throw.,49,61
0:54,70,Brayon Blake missed Layup.,49,61
0:54,70,Jordan Scott Offensive Rebound.,49,61
0:51,70,Jordan Scott missed Layup.,49,61
0:51,2459,Dontel Highsmith Defensive Rebound.,49,61
0:21,2459,Dontel Highsmith made Jumper.,49,63
0:11,70,Perrion Callandret missed Three Point Jumper.,49,63
0:11,2459,Jaylen Key Defensive Rebound.,49,63
0:00,2459,End of Game,49,63
