Alabama State,2348,Louisiana Tech,2011
15:37,2348,Omar Sherman made Layup. Assisted by Jacobi Boykins.,0,7
15:24,2011,Rodney Simeon missed Jumper.,0,7
15:24,2011,Tony Armstrong Offensive Rebound.,0,7
15:21,2348,Foul on Erik McCree.,0,7
15:21,2011,Alabama St  Timeout,0,7
15:21,2011,Tony Armstrong made Free Throw.,1,7
15:21,2011,Tony Armstrong made Free Throw.,2,7
15:08,2348,Jalen Harris missed Three Point Jumper.,2,7
15:08,2348,Erik McCree Offensive Rebound.,2,7
15:03,2348,Erik McCree made Layup.,2,9
15:03,2011,Foul on Tony Armstrong.,2,9
15:03,2348,Erik McCree made Free Throw.,2,10
14:46,2011,Amir Warnock made Layup. Assisted by Terrance LeFlore.,4,10
14:29,2348,Erik McCree Turnover.,4,10
14:27,2011,Corvon Butler Steal.,4,10
14:25,2011,Corvon Butler Turnover.,4,10
14:23,2348,Jacobi Boykins Steal.,4,10
14:23,2011,Foul on Corvon Butler.,4,10
14:04,2011,Foul on Torloft Thomas.,4,10
14:00,2348,Jalen Harris missed Free Throw.,4,10
14:00,2348,Louisiana Tech Deadball Team Rebound.,4,10
14:00,2348,Jalen Harris made Free Throw.,4,11
13:51,2348,Foul on Qiydar Davis.,4,11
13:32,2011,Amir Warnock made Layup.,6,11
13:31,2011,Foul on Corvon Butler.,6,11
13:31,2348,Erik McCree missed Free Throw.,6,11
13:31,2011,Alabama St Defensive Rebound.,6,11
13:17,2348,Foul on Joniah White.,6,11
13:16,2011,Rodney Simeon missed Three Point Jumper.,6,11
13:16,2348,Erik McCree Defensive Rebound.,6,11
13:04,2348,Erik McCree missed Three Point Jumper.,6,11
13:04,2348,DaQuan Bracey Offensive Rebound.,6,11
12:50,2011,Foul on Mikel Tyson.,6,11
12:50,2348,Jalen Harris made Free Throw.,6,12
12:50,2348,Jalen Harris made Free Throw.,6,13
12:39,2011,Rodney Simeon Turnover.,6,13
12:37,2348,Joniah White Steal.,6,13
12:33,2348,DaQuan Bracey missed Three Point Jumper.,6,13
12:33,2011,Mikel Tyson Defensive Rebound.,6,13
12:18,2011,Steve Rogers missed Three Point Jumper.,6,13
12:18,2348,Erik McCree Defensive Rebound.,6,13
12:07,2348,Erik McCree missed Three Point Jumper.,6,13
12:07,2348,Joniah White Offensive Rebound.,6,13
12:02,2348,DaQuan Bracey made Layup. Assisted by Derric Jean.,6,15
11:53,2011,Alabama St  Timeout,6,15
11:52,2011,Alabama St  Timeout,6,15
11:33,2011,Reginald Gee missed Three Point Jumper.,6,15
11:33,2348,Derric Jean Defensive Rebound.,6,15
11:23,2348,Jalen Harris missed Three Point Jumper.,6,15
11:23,2011,Steve Rogers Defensive Rebound.,6,15
11:15,2011,Terrance LeFlore made Layup. Assisted by Steve Rogers.,8,15
10:58,2011,Foul on Mikel Tyson.,8,15
10:58,2348,Oliver Powell missed Free Throw.,8,15
10:58,2011,Reginald Gee Defensive Rebound.,8,15
10:34,2011,Steve Rogers missed Three Point Jumper.,8,15
10:34,2011,Glenn Hollaway Offensive Rebound.,8,15
10:20,2348,Foul on Omar Sherman.,8,15
10:20,2011,Mikel Tyson made Free Throw.,9,15
10:20,2011,Mikel Tyson made Free Throw.,10,15
10:05,2348,Derric Jean missed Jumper.,10,15
10:05,2011,Alabama St Defensive Rebound.,10,15
9:48,2011,Mikel Tyson Turnover.,10,15
9:35,2348,Jacobi Boykins missed Three Point Jumper.,10,15
9:35,2348,Omar Sherman Offensive Rebound.,10,15
9:26,2348,Omar Sherman made Jumper. Assisted by Jacobi Boykins.,10,17
9:16,2011,Reginald Gee missed Jumper.,10,17
9:16,2348,Oliver Powell Defensive Rebound.,10,17
9:09,2348,Derric Jean made Three Point Jumper. Assisted by Jacobi Boykins.,10,20
8:49,2011,Reginald Gee made Three Point Jumper. Assisted by Terrance LeFlore.,13,20
8:27,2348,Omar Sherman made Jumper. Assisted by Derric Jean.,13,22
8:22,2348,Foul on DaQuan Bracey.,13,22
8:22,2011,Terrance LeFlore made Free Throw.,14,22
8:22,2011,Terrance LeFlore missed Free Throw.,14,22
8:22,2348,Erik McCree Defensive Rebound.,14,22
8:12,2348,Erik McCree made Layup. Assisted by DaQuan Bracey.,14,24
8:05,2011,Steve Rogers Turnover.,14,24
8:03,2348,Jacobi Boykins Steal.,14,24
8:01,2348,Jacobi Boykins made Layup.,14,26
8:01,2011,Foul on Glenn Hollaway.,14,26
8:01,2348,Jacobi Boykins made Free Throw.,14,27
7:50,2011,Torloft Thomas Turnover.,14,27
7:49,2348,Jacobi Boykins Steal.,14,27
7:47,2348,Jacobi Boykins made Dunk.,14,29
7:22,2011,Mikel Tyson made Jumper. Assisted by Rodney Simeon.,16,29
7:01,2348,Erik McCree missed Jumper.,16,29
7:01,2011,Rodney Simeon Defensive Rebound.,16,29
6:52,2011,Mikel Tyson made Dunk. Assisted by Amir Warnock.,18,29
6:36,2348,DaQuan Bracey made Three Point Jumper.,18,32
6:06,2011,Rodney Simeon missed Three Point Jumper.,18,32
6:06,2348,Omar Sherman Defensive Rebound.,18,32
5:47,2348,Jalen Harris made Dunk. Assisted by DaQuan Bracey.,18,34
5:44,2011,Alabama St  Timeout,18,34
5:38,2011,Tony Armstrong Turnover.,18,34
5:36,2348,Derric Jean Steal.,18,34
5:32,2348,Erik McCree made Dunk. Assisted by Jalen Harris.,18,36
5:32,2011,Foul on Rodney Simeon.,18,36
5:32,2348,Erik McCree made Free Throw.,18,37
5:19,2011,Terrance LeFlore missed Jumper.,18,37
5:19,2348,Louisiana Tech Defensive Rebound.,18,37
4:57,2011,Foul on Tony Armstrong.,18,37
4:57,2348,Erik McCree missed Free Throw.,18,37
4:57,2348,Louisiana Tech Deadball Team Rebound.,18,37
4:57,2348,Erik McCree made Free Throw.,18,38
4:41,2011,Rodney Simeon missed Jumper.,18,38
4:41,2011,Corvon Butler Offensive Rebound.,18,38
4:34,2011,Corvon Butler missed Jumper.,18,38
4:34,2011,Corvon Butler Offensive Rebound.,18,38
4:29,2011,Torloft Thomas made Three Point Jumper. Assisted by Terrance LeFlore.,21,38
3:58,2348,Derric Jean missed Three Point Jumper.,21,38
3:58,2348,Jalen Harris Offensive Rebound.,21,38
3:52,2348,Jalen Harris missed Jumper.,21,38
3:52,2011,Rodney Simeon Defensive Rebound.,21,38
3:45,2011,Mikel Tyson made Layup. Assisted by Rodney Simeon.,23,38
3:43,2348,Louisiana Tech  Timeout,23,38
3:25,2348,Jacobi Boykins missed Three Point Jumper.,23,38
3:25,2348,Louisiana Tech Offensive Rebound.,23,38
3:19,2348,Jacobi Boykins missed Jumper.,23,38
3:19,2011,Mikel Tyson Defensive Rebound.,23,38
3:16,2011,Alabama St  Timeout,23,38
2:50,2011,Rodney Simeon made Jumper.,25,38
2:30,2348,Omar Sherman Turnover.,25,38
2:28,2011,Rodney Simeon Steal.,25,38
2:26,2348,Foul on Omar Sherman.,25,38
2:26,2011,Rodney Simeon made Free Throw.,26,38
2:26,2011,Rodney Simeon made Free Throw.,27,38
2:09,2348,Derric Jean Turnover.,27,38
2:06,2011,Corvon Butler Steal.,27,38
2:04,2011,Corvon Butler Turnover.,27,38
2:02,2348,Joniah White Steal.,27,38
1:57,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,27,41
1:40,2011,Rodney Simeon Turnover.,27,41
1:28,2348,DaQuan Bracey missed Jumper.,27,41
1:28,2011,Alabama St Defensive Rebound.,27,41
1:27,2348,Foul on Joniah White.,27,41
1:27,2011,Mikel Tyson made Free Throw.,28,41
1:27,2011,Mikel Tyson made Free Throw.,29,41
1:13,2348,Erik McCree made Layup. Assisted by DaQuan Bracey.,29,43
1:04,2011,Rodney Simeon missed Three Point Jumper.,29,43
1:04,2011,Corvon Butler Offensive Rebound.,29,43
1:00,2011,Corvon Butler made Layup.,31,43
0:48,2348,Erik McCree missed Three Point Jumper.,31,43
0:48,2011,Terrance LeFlore Defensive Rebound.,31,43
0:40,2011,Terrance LeFlore missed Jumper.,31,43
0:40,2011,Corvon Butler Offensive Rebound.,31,43
0:33,2011,Rodney Simeon missed Three Point Jumper.,31,43
0:33,2348,Louisiana Tech Defensive Rebound.,31,43
0:04,2348,Jacobi Boykins missed Three Point Jumper.,31,43
0:04,2011,Torloft Thomas Defensive Rebound.,31,43
0:00,2348,End of 1st half,31,43
19:48,2348,Omar Sherman made Jumper.,31,45
19:36,2348,Foul on Qiydar Davis.,31,45
19:25,2011,Foul on Mikel Tyson.,31,45
19:25,2011,Mikel Tyson Turnover.,31,45
19:17,2348,Omar Sherman missed Jumper.,31,45
19:17,2011,Rodney Simeon Defensive Rebound.,31,45
19:09,2011,Rodney Simeon missed Three Point Jumper.,31,45
19:09,2348,Derric Jean Defensive Rebound.,31,45
19:02,2348,Jacobi Boykins made Dunk. Assisted by Derric Jean.,31,47
18:34,2011,Torloft Thomas made Jumper.,33,47
18:09,2348,Omar Sherman made Jumper.,33,49
18:02,2011,Torloft Thomas Turnover.,33,49
17:51,2348,Erik McCree made Layup.,33,51
17:51,2011,Foul on Amir Warnock.,33,51
17:51,2348,Erik McCree made Free Throw.,33,52
17:47,2011,Torloft Thomas Turnover.,33,52
17:46,2348,Jalen Harris missed Three Point Jumper.,33,52
17:46,2011,Corvon Butler Defensive Rebound.,33,52
17:39,2011,Terrance LeFlore missed Jumper.,33,52
17:39,2348,Jalen Harris Defensive Rebound.,33,52
17:31,2348,Erik McCree made Layup. Assisted by Jalen Harris.,33,54
16:57,2011,Alabama St  Turnover.,33,54
16:39,2348,Jacobi Boykins Turnover.,33,54
16:37,2011,Corvon Butler Steal.,33,54
16:33,2011,Rodney Simeon missed Layup.,33,54
16:33,2011,Amir Warnock Offensive Rebound.,33,54
16:29,2011,Amir Warnock missed Layup.,33,54
16:29,2348,Jacobi Boykins Block.,33,54
16:29,2011,Alabama St Offensive Rebound.,33,54
16:28,2011,Rodney Simeon missed Three Point Jumper.,33,54
16:28,2348,Louisiana Tech Defensive Rebound.,33,54
16:08,2348,Jacobi Boykins made Jumper. Assisted by Derric Jean.,33,56
15:55,2011,Rodney Simeon missed Jumper.,33,56
15:55,2348,Jalen Harris Defensive Rebound.,33,56
15:48,2348,Jalen Harris missed Layup.,33,56
15:48,2348,Derric Jean Offensive Rebound.,33,56
15:48,2348,Derric Jean made Two Point Tip Shot.,33,58
15:48,2011,Torloft Thomas made Jumper.,35,58
15:28,2348,Omar Sherman made Layup.,35,60
15:11,2348,Foul on Omar Sherman.,35,60
15:00,2011,Alabama St  Timeout,35,60
14:32,2011,Amir Warnock made Jumper.,37,60
14:14,2348,Erik McCree missed Jumper.,37,60
14:14,2011,Steve Rogers Defensive Rebound.,37,60
13:58,2348,Foul on Joniah White.,37,60
13:43,2011,Amir Warnock made Jumper.,39,60
13:20,2348,Joniah White Turnover.,39,60
13:09,2011,Corvon Butler Turnover.,39,60
13:08,2348,Jacobi Boykins Steal.,39,60
13:05,2348,Jacobi Boykins made Dunk.,39,62
12:50,2348,Foul on Jalen Harris.,39,62
12:50,2011,Corvon Butler missed Free Throw.,39,62
12:50,2011,Alabama St Deadball Team Rebound.,39,62
12:50,2011,Corvon Butler made Free Throw.,40,62
12:43,2011,Foul on Tony Armstrong.,40,62
12:38,2348,Joniah White missed Free Throw.,40,62
12:38,2348,Louisiana Tech Deadball Team Rebound.,40,62
12:38,2348,Joniah White missed Free Throw.,40,62
12:38,2011,Steve Rogers Defensive Rebound.,40,62
12:20,2011,Amir Warnock Turnover.,40,62
12:19,2348,Jalen Harris Steal.,40,62
12:15,2348,Jalen Harris made Dunk.,40,64
12:03,2011,Steve Rogers missed Three Point Jumper.,40,64
12:03,2348,Louisiana Tech Defensive Rebound.,40,64
11:54,2348,Louisiana Tech  Timeout,40,64
11:29,2348,Qiydar Davis missed Three Point Jumper.,40,64
11:29,2011,Reginald Gee Defensive Rebound.,40,64
11:23,2011,Reginald Gee Turnover.,40,64
11:22,2348,Derric Jean Steal.,40,64
10:55,2348,Derric Jean missed Three Point Jumper.,40,64
10:55,2011,Tony Armstrong Defensive Rebound.,40,64
10:32,2011,Steve Rogers missed Layup.,40,64
10:32,2348,Joniah White Defensive Rebound.,40,64
10:24,2348,Derric Jean made Three Point Jumper. Assisted by DaQuan Bracey.,40,67
9:50,2011,Steve Rogers made Layup.,42,67
9:42,2348,Qiydar Davis made Three Point Jumper. Assisted by Derric Jean.,42,70
9:18,2011,Amir Warnock missed Jumper.,42,70
9:18,2348,DaQuan Bracey Defensive Rebound.,42,70
8:59,2348,Qiydar Davis missed Three Point Jumper.,42,70
8:59,2011,Tony Armstrong Defensive Rebound.,42,70
8:47,2011,Reginald Gee made Three Point Jumper. Assisted by Torloft Thomas.,45,70
8:19,2348,Derric Jean missed Layup.,45,70
8:19,2011,Amir Warnock Block.,45,70
8:17,2011,Torloft Thomas Defensive Rebound.,45,70
7:50,2011,Steve Rogers missed Three Point Jumper.,45,70
7:50,2348,Derric Jean Defensive Rebound.,45,70
7:46,2011,Foul on Steve Rogers.,45,70
7:46,2348,Louisiana Tech  Timeout,45,70
7:33,2348,Omar Sherman missed Layup.,45,70
7:33,2348,Omar Sherman Offensive Rebound.,45,70
7:32,2011,Foul on Mikel Tyson.,45,70
7:32,2348,Omar Sherman missed Free Throw.,45,70
7:32,2348,Louisiana Tech Deadball Team Rebound.,45,70
7:32,2348,Omar Sherman missed Free Throw.,45,70
7:32,2011,Tony Armstrong Defensive Rebound.,45,70
7:05,2348,Foul on Omar Sherman.,45,70
7:05,2011,Tony Armstrong missed Free Throw.,45,70
7:05,2011,Alabama St Deadball Team Rebound.,45,70
7:05,2011,Tony Armstrong made Free Throw.,46,70
6:51,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,46,73
6:51,2011,Foul on Tony Armstrong.,46,73
6:51,2348,Jacobi Boykins made Free Throw.,46,74
6:28,2011,Mikel Tyson missed Jumper.,46,74
6:28,2348,Joniah White Block.,46,74
6:25,2348,Qiydar Davis Defensive Rebound.,46,74
6:19,2348,Joniah White Turnover.,46,74
6:00,2011,Mikel Tyson made Dunk. Assisted by Terrance LeFlore.,48,74
5:40,2348,Qiydar Davis made Three Point Jumper. Assisted by Derric Jean.,48,77
5:22,2011,Foul on Rodney Simeon.,48,77
5:22,2011,Rodney Simeon Turnover.,48,77
5:05,2011,Foul on Torloft Thomas.,48,77
5:05,2348,Qiydar Davis made Free Throw.,48,78
5:05,2348,Qiydar Davis made Free Throw.,48,79
4:45,2011,Terrance LeFlore missed Three Point Jumper.,48,79
4:45,2011,Corvon Butler Offensive Rebound.,48,79
4:39,2011,Reginald Gee made Three Point Jumper. Assisted by Corvon Butler.,51,79
4:29,2348,Jacobi Boykins missed Three Point Jumper.,51,79
4:29,2011,Terrance LeFlore Defensive Rebound.,51,79
4:23,2011,Terrance LeFlore Turnover.,51,79
4:10,2348,Erik McCree missed Jumper.,51,79
4:10,2011,Mikel Tyson Block.,51,79
4:10,2348,Louisiana Tech Offensive Rebound.,51,79
4:10,2348,Foul on Jalen Harris.,51,79
4:10,2348,Jalen Harris Turnover.,51,79
3:51,2011,Mikel Tyson missed Layup.,51,79
3:51,2348,Qiydar Davis Defensive Rebound.,51,79
3:41,2348,Jalen Harris made Layup.,51,81
3:18,2011,Corvon Butler missed Three Point Jumper.,51,81
3:18,2011,Terrance LeFlore Offensive Rebound.,51,81
3:12,2011,Reginald Gee missed Three Point Jumper.,51,81
3:12,2348,Louisiana Tech Defensive Rebound.,51,81
3:09,2348,Louisiana Tech  Timeout,51,81
2:53,2011,Foul on Corvon Butler.,51,81
2:53,2348,DaQuan Bracey made Free Throw.,51,82
2:53,2348,DaQuan Bracey made Free Throw.,51,83
2:23,2011,Alabama St  Turnover.,51,83
2:05,2348,Jalen Harris Turnover.,51,83
2:03,2011,Corvon Butler Steal.,51,83
2:00,2011,Corvon Butler missed Layup.,51,83
2:00,2348,Jy'lan Washington Block.,51,83
1:58,2348,Qiydar Davis Defensive Rebound.,51,83
1:53,2348,DaQuan Bracey missed Three Point Jumper.,51,83
1:53,2348,Oliver Powell Offensive Rebound.,51,83
1:43,2348,Jalen Harris missed Three Point Jumper.,51,83
1:43,2348,Qiydar Davis Offensive Rebound.,51,83
1:25,2348,Louisiana Tech  Timeout,51,83
1:25,2011,Alabama St  Timeout,51,83
1:17,2348,Oliver Powell made Dunk. Assisted by Jy'lan Washington.,51,85
1:05,2011,Torloft Thomas made Jumper.,53,85
0:46,2348,Jy'lan Washington missed Three Point Jumper.,53,85
0:46,2011,Torloft Thomas Defensive Rebound.,53,85
0:34,2011,Steve Rogers Turnover.,53,85
0:31,2348,Qiydar Davis Steal.,53,85
0:29,2348,Qiydar Davis missed Layup.,53,85
0:29,2348,Jy'lan Washington Offensive Rebound.,53,85
0:25,2348,Jy'lan Washington made Layup.,53,87
0:04,2011,Torloft Thomas made Three Point Jumper.,56,87
0:00,2348,End of Game,56,87
