Wayne State (NE),Error,South Dakota State,2571
9:38,2571,Reed Tellinghuisen Turnover.,23,16
9:38,-1,Austin Esters Steal.,23,16
9:38,2571,Foul on Reed Tellinghuisen.,23,16
9:27,-1,Kendall Jacks Turnover.,23,16
9:26,2571,Tevin King Steal.,23,16
9:17,2571,Tevin King missed Jumper.,23,16
9:17,2571,Tevin King Offensive Rebound.,23,16
9:12,2571,Tevin King missed Jumper.,23,16
9:12,2571,Mike Daum Offensive Rebound.,23,16
9:10,2571,Mike Daum made Layup.,23,18
8:47,-1,Jordan Cornelius made Three Point Jumper. Assisted by Vance Janssen.,26,18
8:26,2571,A.J. Hess Turnover.,26,18
8:26,2571,Foul on A.J. Hess.,26,18
8:04,-1,Brian Goodwin made Jumper. Assisted by Kendall Jacks.,28,18
7:42,2571,Tevin King missed Three Point Jumper.,28,18
7:42,2571,Mike Daum Offensive Rebound.,28,18
7:36,2571,Mike Daum Turnover.,28,18
7:36,2571,Foul on Mike Daum.,28,18
7:36,2571,Official TV Timeout,28,18
7:15,-1,Matt Thomas missed Three Point Jumper.,28,18
7:15,2571,Mike Daum Defensive Rebound.,28,18
6:56,2571,Andre Wallace missed Three Point Jumper.,28,18
6:56,-1,Wayne State (NE) Defensive Rebound.,28,18
6:37,-1,Vance Janssen made Jumper.,30,18
6:22,2571,Mike Daum made Dunk. Assisted by Andre Wallace.,30,20
6:02,-1,Brian Goodwin Turnover.,30,20
5:51,-1,Foul on Brian Goodwin.,30,20
5:51,2571,Andre Wallace missed Free Throw.,30,20
5:51,2571,South Dakota St Deadball Team Rebound.,30,20
5:51,2571,Andre Wallace made Free Throw.,30,21
5:36,-1,Kendall Jacks missed Jumper.,30,21
5:36,2571,Andre Wallace Defensive Rebound.,30,21
5:22,2571,A.J. Hess missed Three Point Jumper.,30,21
5:22,-1,Brian Goodwin Defensive Rebound.,30,21
4:56,-1,Jordan Cornelius missed Three Point Jumper.,30,21
4:56,2571,Andre Wallace Defensive Rebound.,30,21
4:41,-1,Foul on Vance Janssen.,30,21
4:41,2571,Ian Theisen made Free Throw.,30,22
4:41,2571,Ian Theisen made Free Throw.,30,23
4:21,-1,Matt Thomas missed Layup.,30,23
4:21,2571,Tevin King Defensive Rebound.,30,23
4:15,2571,Skyler Flatten made Three Point Jumper. Assisted by Cole Gentry.,30,26
3:59,-1,Ben Hoskins made Three Point Jumper. Assisted by Brian Goodwin.,33,26
3:44,-1,Foul on Ben Hoskins.,33,26
3:44,2571,Official TV Timeout,33,26
3:44,2571,Tevin King missed Free Throw.,33,26
3:44,2571,South Dakota St Deadball Team Rebound.,33,26
3:44,2571,Tevin King made Free Throw.,33,27
3:14,-1,Austin Esters made Jumper.,35,27
2:56,-1,Foul on Tony Bonner.,35,27
2:56,2571,Ian Theisen made Free Throw.,35,28
2:56,2571,Ian Theisen made Free Throw.,35,29
2:45,-1,Luke TerHark Turnover.,35,29
2:32,2571,Ian Theisen missed Three Point Jumper.,35,29
2:32,-1,Luke TerHark Defensive Rebound.,35,29
2:05,-1,Jordan Cornelius missed Three Point Jumper.,35,29
2:05,2571,Cole Gentry Defensive Rebound.,35,29
1:47,2571,Mike Daum missed Three Point Jumper.,35,29
1:47,2571,Ian Theisen Offensive Rebound.,35,29
1:40,2571,Mike Daum made Jumper. Assisted by Chris Howell.,35,31
1:13,-1,Luke TerHark Turnover.,35,31
1:02,2571,Mike Daum Turnover.,35,31
1:02,-1,Jj Zumbrennen Steal.,35,31
0:39,-1,Matt Thomas made Layup.,37,31
0:30,2571,Cole Gentry missed Layup.,37,31
0:30,-1,Jj Zumbrennen Block.,37,31
0:30,2571,South Dakota St Offensive Rebound.,37,31
0:27,2571,Mike Daum made Layup. Assisted by Chris Howell.,37,33
0:27,-1,Foul on Austin Esters.,37,33
0:27,2571,Mike Daum missed Free Throw.,37,33
0:27,-1,Austin Esters Defensive Rebound.,37,33
0:07,-1,Vance Janssen missed Jumper.,37,33
0:07,2571,Ian Theisen Defensive Rebound.,37,33
0:00,2571,Skyler Flatten missed Three Point Jumper.,37,33
0:00,-1,Wayne State (NE) Defensive Rebound.,37,33
0:00,2571,End of 1st half,37,33
19:35,2571,Andre Wallace Turnover.,37,33
19:15,2571,Mike Daum Defensive Rebound.,37,33
19:15,-1,Kendall Jacks missed Jumper.,37,33
19:04,-1,Foul on Brian Goodwin.,37,33
19:03,-1,Foul on Brian Goodwin.,37,33
18:51,2571,Skyler Flatten missed Three Point Jumper.,37,33
18:51,2571,Mike Daum Offensive Rebound.,37,33
18:42,2571,Andre Wallace made Layup.,37,35
18:26,-1,Kendall Jacks missed Jumper.,37,35
18:26,2571,Skyler Flatten Defensive Rebound.,37,35
18:14,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Tevin King.,37,38
18:04,-1,Wayne State (NE)  Timeout,37,38
18:04,2571,Official TV Timeout,37,38
17:54,-1,Austin Esters missed Layup.,37,38
17:54,-1,Austin Esters Offensive Rebound.,37,38
17:51,-1,Austin Esters made Layup.,39,38
17:41,2571,Andre Wallace missed Three Point Jumper.,39,38
17:41,-1,Austin Esters Defensive Rebound.,39,38
17:21,-1,Jordan Cornelius missed Layup.,39,38
17:21,2571,Mike Daum Defensive Rebound.,39,38
17:06,-1,Foul on Vance Janssen.,39,38
17:06,2571,Mike Daum made Free Throw.,39,39
17:06,2571,Mike Daum made Free Throw.,39,40
16:46,-1,Jordan Cornelius made Three Point Jumper. Assisted by Matt Thomas.,42,40
16:30,2571,Reed Tellinghuisen missed Three Point Jumper.,42,40
16:30,-1,Jordan Cornelius Defensive Rebound.,42,40
16:25,-1,Jordan Cornelius Turnover.,42,40
16:25,2571,Tevin King Steal.,42,40
16:15,2571,Tevin King made Layup.,42,42
15:52,-1,Matt Thomas missed Layup.,42,42
15:52,2571,Tevin King Defensive Rebound.,42,42
15:44,2571,Andre Wallace missed Layup.,42,42
15:44,-1,Wayne State (NE) Defensive Rebound.,42,42
15:19,-1,Tony Bonner missed Layup.,42,42
15:19,2571,Mike Daum Defensive Rebound.,42,42
15:00,2571,Andre Wallace missed Three Point Jumper.,42,42
15:00,-1,Jordan Cornelius Defensive Rebound.,42,42
14:48,-1,Matt Thomas Turnover.,42,42
14:47,2571,Andre Wallace Steal.,42,42
14:42,2571,Mike Daum made Three Point Jumper. Assisted by Reed Tellinghuisen.,42,45
14:27,2571,Foul on Skyler Flatten.,42,45
14:11,-1,Tony Bonner missed Jumper.,42,45
14:11,2571,Ian Theisen Defensive Rebound.,42,45
14:05,-1,Foul on Austin Esters.,42,45
14:05,2571,Skyler Flatten missed Free Throw.,42,45
14:05,2571,South Dakota St Deadball Team Rebound.,42,45
14:05,2571,Skyler Flatten made Free Throw.,42,46
13:49,-1,Austin Esters made Layup. Assisted by Tony Bonner.,44,46
13:32,2571,Ian Theisen Turnover.,44,46
13:32,2571,Foul on Ian Theisen.,44,46
13:12,-1,Kendall Jacks made Three Point Jumper. Assisted by Austin Esters.,47,46
12:47,2571,Tevin King made Layup.,47,48
12:22,-1,Kendall Jacks missed Three Point Jumper.,47,48
12:22,2571,Reed Tellinghuisen Defensive Rebound.,47,48
12:03,2571,Cole Gentry Turnover.,47,48
12:02,-1,Kendall Jacks Steal.,47,48
11:58,2571,Foul on A.J. Hess.,47,48
11:58,2571,Official TV Timeout,47,48
11:46,-1,Austin Esters made Jumper. Assisted by Jordan Cornelius.,49,48
11:46,2571,Foul on Reed Tellinghuisen.,49,48
11:46,-1,Austin Esters made Free Throw.,50,48
11:36,-1,Foul on Tyler Nagy.,50,48
11:31,2571,Mike Daum Turnover.,50,48
11:31,-1,Vance Janssen Steal.,50,48
11:19,-1,Austin Esters missed Three Point Jumper.,50,48
11:19,2571,Cole Gentry Defensive Rebound.,50,48
11:07,-1,Foul on Jordan Cornelius.,50,48
11:07,2571,Mike Daum made Free Throw.,50,49
11:07,2571,Mike Daum made Free Throw.,50,50
10:42,-1,Vance Janssen missed Three Point Jumper.,50,50
10:42,2571,Reed Tellinghuisen Defensive Rebound.,50,50
10:31,2571,Chris Howell made Layup.,50,52
10:12,-1,Vance Janssen missed Three Point Jumper.,50,52
10:12,2571,Cole Gentry Defensive Rebound.,50,52
10:00,2571,Cole Gentry missed Three Point Jumper.,50,52
10:00,-1,Vance Janssen Defensive Rebound.,50,52
9:52,-1,Jordan Cornelius made Three Point Jumper. Assisted by Kendall Jacks.,53,52
9:37,2571,Cole Gentry made Three Point Jumper. Assisted by Ian Theisen.,53,55
9:18,-1,Tyler Nagy Turnover.,53,55
9:02,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Cole Gentry.,53,58
8:46,-1,Kendall Jacks missed Layup.,53,58
8:46,2571,Ian Theisen Defensive Rebound.,53,58
8:41,2571,Reed Tellinghuisen missed Three Point Jumper.,53,58
8:41,2571,Chris Howell Offensive Rebound.,53,58
8:39,2571,Chris Howell made Layup.,53,60
8:39,-1,Foul on Matt Thomas.,53,60
8:39,2571,Chris Howell made Free Throw.,53,61
8:21,2571,Foul on Chris Howell.,53,61
8:21,-1,Matt Thomas made Free Throw.,54,61
8:21,-1,Matt Thomas made Free Throw.,55,61
8:09,2571,Mike Daum missed Layup.,55,61
8:09,2571,Mike Daum Offensive Rebound.,55,61
8:05,2571,Mike Daum missed Layup.,55,61
8:05,-1,Ben Hoskins Defensive Rebound.,55,61
7:52,-1,Ben Hoskins missed Three Point Jumper.,55,61
7:52,2571,Ian Theisen Defensive Rebound.,55,61
7:37,-1,Foul on Matt Thomas.,55,61
7:37,2571,Official TV Timeout,55,61
7:37,2571,Chris Howell made Free Throw.,55,62
7:37,2571,Chris Howell made Free Throw.,55,63
7:10,-1,Matt Thomas missed Layup.,55,63
7:10,2571,Mike Daum Block.,55,63
7:09,2571,Mike Daum Defensive Rebound.,55,63
7:04,2571,Skyler Flatten Turnover.,55,63
6:37,-1,Matt Thomas made Three Point Jumper.,58,63
6:24,2571,Mike Daum made Layup.,58,65
5:52,-1,Vance Janssen Turnover.,58,65
5:51,2571,Cole Gentry Steal.,58,65
5:48,2571,Cole Gentry missed Layup.,58,65
5:48,2571,South Dakota St Offensive Rebound.,58,65
5:34,-1,Foul on Kendall Jacks.,58,65
5:34,2571,Skyler Flatten made Free Throw.,58,66
5:34,2571,Skyler Flatten made Free Throw.,58,67
5:09,-1,Jordan Cornelius made Jumper.,60,67
4:51,2571,Cole Gentry missed Three Point Jumper.,60,67
4:51,2571,Mike Daum Offensive Rebound.,60,67
4:49,-1,Foul on Austin Esters.,60,67
4:48,2571,Mike Daum made Free Throw.,60,68
4:48,2571,Mike Daum missed Free Throw.,60,68
4:48,-1,Vance Janssen Defensive Rebound.,60,68
4:32,-1,Jordan Cornelius missed Three Point Jumper.,60,68
4:32,2571,Tevin King Defensive Rebound.,60,68
4:22,-1,Foul on Vance Janssen.,60,68
4:22,2571,Tevin King made Free Throw.,60,69
4:22,2571,Tevin King made Free Throw.,60,70
4:08,-1,Matt Thomas made Layup.,62,70
4:07,-1,Wayne State (NE)  Timeout,62,70
4:07,2571,Official TV Timeout,62,70
3:40,2571,Tevin King missed Layup.,62,70
3:40,-1,Tony Bonner Defensive Rebound.,62,70
3:22,-1,Kendall Jacks made Jumper.,64,70
3:03,2571,Cole Gentry made Layup.,64,72
2:43,-1,Kendall Jacks missed Jumper.,64,72
2:43,2571,Reed Tellinghuisen Defensive Rebound.,64,72
2:22,2571,Cole Gentry missed Three Point Jumper.,64,72
2:22,-1,Tony Bonner Defensive Rebound.,64,72
2:13,-1,Austin Esters missed Layup.,64,72
2:13,2571,Reed Tellinghuisen Block.,64,72
2:12,2571,Reed Tellinghuisen Defensive Rebound.,64,72
2:06,2571,South Dakota St  Timeout,64,72
1:52,2571,Skyler Flatten missed Three Point Jumper.,64,72
1:52,-1,Austin Esters Defensive Rebound.,64,72
1:42,-1,Austin Esters missed Layup.,64,72
1:42,2571,Mike Daum Block.,64,72
1:41,2571,Mike Daum Defensive Rebound.,64,72
1:34,-1,Foul on Kendall Jacks.,64,72
1:34,2571,Skyler Flatten made Free Throw.,64,73
1:34,2571,Skyler Flatten made Free Throw.,64,74
1:25,-1,Jordan Cornelius made Three Point Jumper. Assisted by Vance Janssen.,67,74
1:23,-1,Wayne State (NE)  Timeout,67,74
0:54,2571,Reed Tellinghuisen missed Three Point Jumper.,67,74
0:54,2571,Skyler Flatten Offensive Rebound.,67,74
0:49,2571,Skyler Flatten made Layup.,67,76
0:44,-1,Kendall Jacks missed Jumper.,67,76
0:44,2571,Reed Tellinghuisen Defensive Rebound.,67,76
0:37,2571,Cole Gentry Turnover.,67,76
0:36,-1,Vance Janssen Steal.,67,76
0:35,-1,Vance Janssen made Layup.,69,76
0:33,-1,Foul on Jordan Cornelius.,69,76
0:33,2571,Mike Daum made Free Throw.,69,77
0:33,2571,Mike Daum made Free Throw.,69,78
0:26,-1,Austin Esters missed Layup.,69,78
0:26,2571,Mike Daum Defensive Rebound.,69,78
0:15,-1,Foul on Vance Janssen.,69,78
0:15,2571,Cole Gentry made Free Throw.,69,79
0:15,2571,Cole Gentry made Free Throw.,69,80
0:12,-1,Matt Thomas made Three Point Jumper.,72,80
0:00,2571,End of Game,72,80
