Milwaukee,235,Memphis,270
17:04,235,Memphis Deadball Team Rebound.,29,44
17:04,235,Dedric Lawson missed Free Throw.,29,44
17:04,270,Brock Stull Defensive Rebound.,29,44
16:51,270,Brett Prahl made Layup. Assisted by August Haas.,31,44
16:35,235,Markel Crawford missed Three Point Jumper.,31,44
16:35,270,Milwaukee Defensive Rebound.,31,44
16:18,270,Jeremiah Bell missed Three Point Jumper.,31,44
16:18,270,Brock Stull Offensive Rebound.,31,44
16:03,270,Foul on Bryce Nze.,31,44
16:03,270,Bryce Nze Turnover.,31,44
15:44,235,K.J. Lawson made Layup. Assisted by Chad Rykhoek.,31,46
15:40,235,Foul on Jeremiah Martin.,31,46
15:40,235,Official TV Timeout,31,46
15:11,270,Jeremiah Bell Turnover.,31,46
15:01,235,Dedric Lawson missed Jumper.,31,46
15:01,270,Jeremy Johnson Defensive Rebound.,31,46
14:43,270,Brock Stull missed Jumper.,31,46
14:43,235,Chad Rykhoek Defensive Rebound.,31,46
14:33,235,Chad Rykhoek Turnover.,31,46
14:32,270,Bryce Nze Steal.,31,46
14:02,270,Brock Stull made Jumper.,33,46
13:49,235,K.J. Lawson missed Three Point Jumper.,33,46
13:49,235,Markel Crawford Offensive Rebound.,33,46
13:45,235,Markel Crawford missed Two Point Tip Shot.,33,46
13:45,235,K.J. Lawson Offensive Rebound.,33,46
13:37,235,K.J. Lawson missed Two Point Tip Shot.,33,46
13:37,270,August Haas Defensive Rebound.,33,46
13:34,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,36,46
13:06,235,Dedric Lawson missed Jumper.,36,46
13:06,235,K.J. Lawson Offensive Rebound.,36,46
13:02,235,K.J. Lawson Turnover.,36,46
12:40,270,August Haas Turnover.,36,46
12:38,235,Dedric Lawson Steal.,36,46
12:35,235,Dedric Lawson made Dunk. Assisted by Jeremiah Martin.,36,48
12:07,270,August Haas made Three Point Jumper. Assisted by Jeremiah Bell.,39,48
11:37,235,Markel Crawford missed Jumper.,39,48
11:37,270,Brock Stull Defensive Rebound.,39,48
11:30,270,Brock Stull made Layup.,41,48
11:22,235,Memphis  Timeout,41,48
11:22,235,Official TV Timeout,41,48
11:12,270,Foul on Brett Prahl.,41,48
11:12,235,Official TV Timeout,41,48
11:07,270,Foul on Cameron Harvey.,41,48
11:07,235,Craig Randall II missed Free Throw.,41,48
11:07,235,Memphis Deadball Team Rebound.,41,48
11:07,235,Craig Randall II missed Free Throw.,41,48
11:07,235,Memphis Deadball Team Rebound.,41,48
11:07,235,Craig Randall II made Free Throw.,41,49
10:47,270,Cameron Harvey Turnover.,41,49
10:47,235,Markel Crawford Steal.,41,49
10:25,235,Jeremiah Martin made Layup.,41,51
10:04,270,Jeremiah Bell missed Three Point Jumper.,41,51
10:04,235,Jeremiah Martin Block.,41,51
10:04,270,Milwaukee Offensive Rebound.,41,51
9:50,270,August Haas made Layup.,43,51
9:50,235,Foul on Jeremiah Martin.,43,51
9:50,270,August Haas made Free Throw.,44,51
9:39,235,Dedric Lawson missed Layup.,44,51
9:39,235,Dedric Lawson Offensive Rebound.,44,51
9:36,235,Dedric Lawson made Two Point Tip Shot.,44,53
9:19,270,Brock Stull missed Jumper.,44,53
9:19,235,Jimario Rivers Defensive Rebound.,44,53
9:03,235,Dedric Lawson missed Layup.,44,53
9:03,270,Brett Prahl Block.,44,53
9:03,235,Dedric Lawson Offensive Rebound.,44,53
9:01,235,Dedric Lawson missed Layup.,44,53
9:01,235,Dedric Lawson Offensive Rebound.,44,53
8:58,235,Dedric Lawson Turnover.,44,53
8:57,270,August Haas Steal.,44,53
8:42,270,Jeremiah Bell missed Three Point Jumper.,44,53
8:42,270,Milwaukee Deadball Team Rebound.,44,53
8:38,235,Foul on K.J. Lawson.,44,53
8:37,270,Cody Wichmann missed Jumper.,44,53
8:37,235,Markel Crawford Defensive Rebound.,44,53
8:31,235,Dedric Lawson Turnover.,44,53
8:17,270,Cody Wichmann Turnover.,44,53
8:16,235,Jeremiah Martin Steal.,44,53
8:12,235,Official TV Timeout,44,53
8:12,235,Memphis  Timeout,44,53
8:02,235,K.J. Lawson missed Layup.,44,53
8:02,270,Jeremy Johnson Defensive Rebound.,44,53
7:30,270,Brock Stull missed Jumper.,44,53
7:30,235,Jimario Rivers Defensive Rebound.,44,53
7:14,235,Markel Crawford made Dunk.,44,55
6:48,270,Jeremy Johnson made Layup.,46,55
6:30,235,Markel Crawford missed Three Point Jumper.,46,55
6:30,235,Jimario Rivers Offensive Rebound.,46,55
6:10,235,Markel Crawford made Three Point Jumper. Assisted by Dedric Lawson.,46,58
5:52,270,Jeremy Johnson missed Three Point Jumper.,46,58
5:52,235,K.J. Lawson Defensive Rebound.,46,58
5:47,235,Jeremiah Martin made Layup. Assisted by K.J. Lawson.,46,60
5:47,270,Foul on Cody Wichmann.,46,60
5:47,235,Jeremiah Martin missed Free Throw.,46,60
5:47,270,Brock Stull Defensive Rebound.,46,60
5:25,270,Brock Stull missed Jumper.,46,60
5:25,235,Dedric Lawson Defensive Rebound.,46,60
5:18,235,Jimario Rivers made Dunk. Assisted by Jeremiah Martin.,46,62
5:06,270,Milwaukee  Timeout,46,62
4:53,270,Cameron Harvey missed Three Point Jumper.,46,62
4:53,270,Cody Wichmann Offensive Rebound.,46,62
4:46,270,Cody Wichmann made Three Point Jumper. Assisted by Cameron Harvey.,49,62
4:29,235,K.J. Lawson Turnover.,49,62
4:29,270,August Haas Steal.,49,62
4:21,270,Cody Wichmann made Three Point Jumper. Assisted by Cameron Harvey.,52,62
3:43,235,Markel Crawford made Jumper. Assisted by Jeremiah Martin.,52,64
3:08,270,Bryce Nze missed Three Point Jumper.,52,64
3:08,235,K.J. Lawson Defensive Rebound.,52,64
2:51,235,Dedric Lawson made Dunk. Assisted by K.J. Lawson.,52,66
2:31,270,August Haas missed Three Point Jumper.,52,66
2:31,235,K.J. Lawson Defensive Rebound.,52,66
2:00,235,K.J. Lawson missed Jumper.,52,66
2:00,235,Jeremiah Martin Offensive Rebound.,52,66
1:51,270,Foul on Bryce Nze.,52,66
1:51,235,Foul on Dedric Lawson.,52,66
1:51,235,Official TV Timeout,52,66
1:29,235,Markel Crawford missed Three Point Jumper.,52,66
1:29,235,K.J. Lawson Offensive Rebound.,52,66
1:20,235,K.J. Lawson Turnover.,52,66
1:03,270,Brock Stull missed Layup.,52,66
1:03,235,Jimario Rivers Block.,52,66
1:03,235,Jimario Rivers Defensive Rebound.,52,66
0:34,235,Dedric Lawson made Layup.,52,68
0:24,270,Bryce Barnes missed Layup.,52,68
0:24,235,Jeremiah Martin Block.,52,68
0:24,235,Dedric Lawson Defensive Rebound.,52,68
0:21,235,Dedric Lawson Turnover.,52,68
0:20,270,Bryce Nze Steal.,52,68
0:18,235,Foul on K.J. Lawson.,52,68
0:18,270,Cameron Harvey made Free Throw.,53,68
0:18,270,Cameron Harvey made Free Throw.,54,68
0:00,235,End of 2nd half,54,68
