UC Riverside,2439,UNLV,27
10:25,2439,Jalen Poyser Defensive Rebound.,13,9
10:02,27,Foul on Menno Dijkstra.,13,9
10:02,2439,Ben Coupet Jr. made Free Throw.,13,10
10:02,2439,Ben Coupet Jr. made Free Throw.,13,11
9:40,27,Gentrey Thomas Turnover.,13,11
9:39,2439,Jalen Poyser Steal.,13,11
9:14,2439,Jalen Poyser made Jumper. Assisted by Uche Ofoegbu.,13,13
8:40,27,Gentrey Thomas missed Layup.,13,13
8:40,2439,Christian Jones Defensive Rebound.,13,13
8:18,2439,Jalen Poyser made Three Point Jumper. Assisted by Uche Ofoegbu.,13,16
7:56,27,Dikymbe Martin missed Jumper.,13,16
7:56,2439,Ben Coupet Jr. Defensive Rebound.,13,16
7:47,2439,Tyrell Green missed Three Point Jumper.,13,16
7:47,27,Gentrey Thomas Defensive Rebound.,13,16
7:24,27,Gentrey Thomas made Jumper.,15,16
7:11,2439,Tyrell Green missed Jumper.,15,16
7:11,27,Menno Dijkstra Block.,15,16
7:09,2439,Tyrell Green Offensive Rebound.,15,16
7:06,2439,Uche Ofoegbu missed Three Point Jumper.,15,16
7:06,2439,Ben Coupet Jr. Offensive Rebound.,15,16
7:04,2439,Ben Coupet Jr. made Two Point Tip Shot.,15,18
6:42,27,Dikymbe Martin made Layup.,17,18
6:26,2439,Ben Coupet Jr. Turnover.,17,18
6:26,2439,Official TV Timeout,17,18
6:07,27,Dikymbe Martin Turnover.,17,18
6:06,2439,Dwayne Morgan Steal.,17,18
6:04,2439,Uche Ofoegbu made Layup. Assisted by Kris Clyburn.,17,20
5:43,27,Secean Johnson made Jumper.,19,20
5:18,2439,Kris Clyburn made Layup.,19,22
5:02,27,Dikymbe Martin missed Jumper.,19,22
5:02,2439,Dwayne Morgan Defensive Rebound.,19,22
4:51,2439,Dwayne Morgan missed Jumper.,19,22
4:51,2439,Uche Ofoegbu Offensive Rebound.,19,22
4:45,2439,Dwayne Morgan made Dunk. Assisted by Jovan Mooring.,19,24
4:44,27,UC Riverside  Timeout,19,24
4:26,27,Secean Johnson made Jumper.,21,24
4:13,2439,Cheickna Dembele missed Layup.,21,24
4:13,27,Chance Murray Defensive Rebound.,21,24
4:02,27,Chance Murray Turnover.,21,24
4:00,2439,Cheickna Dembele Steal.,21,24
3:55,2439,Uche Ofoegbu made Three Point Jumper. Assisted by Kris Clyburn.,21,27
3:34,27,Chance Murray made Layup.,23,27
3:33,2439,Foul on Troy Baxter Jr..,23,27
3:33,2439,Official TV Timeout,23,27
3:33,27,Chance Murray missed Free Throw.,23,27
3:33,2439,Ben Coupet Jr. Defensive Rebound.,23,27
3:02,2439,Jalen Poyser made Three Point Jumper.,23,30
2:39,27,Menno Dijkstra missed Jumper.,23,30
2:39,27,Menno Dijkstra Offensive Rebound.,23,30
2:36,27,Menno Dijkstra missed Two Point Tip Shot.,23,30
2:36,2439,Cheickna Dembele Defensive Rebound.,23,30
2:30,2439,Jalen Poyser Turnover.,23,30
2:29,27,Chance Murray Steal.,23,30
2:23,27,Secean Johnson missed Layup.,23,30
2:23,2439,Christian Jones Block.,23,30
2:23,27,UC Riverside Offensive Rebound.,23,30
2:21,27,Chance Murray made Layup. Assisted by Malik Thames.,25,30
2:00,2439,Jovan Mooring missed Jumper.,25,30
2:00,2439,UNLV Offensive Rebound.,25,30
1:54,2439,Cheickna Dembele made Layup. Assisted by Jovan Mooring.,25,32
1:36,27,Menno Dijkstra missed Jumper.,25,32
1:36,2439,Jovan Mooring Defensive Rebound.,25,32
1:25,2439,Ben Coupet Jr. missed Three Point Jumper.,25,32
1:25,2439,Uche Ofoegbu Offensive Rebound.,25,32
1:17,2439,Cheickna Dembele made Layup. Assisted by Jovan Mooring.,25,34
0:52,27,Chance Murray missed Three Point Jumper.,25,34
0:52,2439,Cheickna Dembele Defensive Rebound.,25,34
0:49,2439,UNLV  Timeout,25,34
0:28,2439,Jalen Poyser made Three Point Jumper. Assisted by Ben Coupet Jr..,25,37
0:05,27,Secean Johnson missed Free Throw.,25,37
0:05,2439,Foul on Christian Jones.,25,37
0:05,27,UC Riverside Deadball Team Rebound.,25,37
0:05,27,Secean Johnson made Free Throw.,26,37
0:00,2439,Jalen Poyser missed Three Point Jumper.,26,37
0:00,27,UC Riverside Defensive Rebound.,26,37
0:00,2439,End of 1st half,26,37
19:51,27,Alex Larsson Turnover.,26,37
19:50,2439,Christian Jones Steal.,26,37
19:47,2439,Christian Jones made Dunk.,26,39
19:24,27,Brandon Rosser missed Jumper.,26,39
19:24,2439,Jalen Poyser Defensive Rebound.,26,39
19:14,2439,Tyrell Green missed Jumper.,26,39
19:14,2439,Kris Clyburn Offensive Rebound.,26,39
19:11,2439,Kris Clyburn made Layup.,26,41
18:50,27,Malik Thames made Layup.,28,41
18:34,2439,Christian Jones made Jumper.,28,43
18:10,27,Secean Johnson missed Jumper.,28,43
18:10,27,Alex Larsson Offensive Rebound.,28,43
18:07,27,Alex Larsson made Two Point Tip Shot.,30,43
17:54,2439,Christian Jones Turnover.,30,43
17:54,2439,Foul on Christian Jones.,30,43
17:38,27,Alex Larsson missed Jumper.,30,43
17:38,2439,Tyrell Green Defensive Rebound.,30,43
17:37,27,Foul on Brandon Rosser.,30,43
17:27,2439,Jalen Poyser made Layup.,30,45
17:02,27,Malik Thames missed Jumper.,30,45
17:02,27,UC Riverside Offensive Rebound.,30,45
16:57,27,Chance Murray made Layup. Assisted by Malik Thames.,32,45
16:24,2439,Uche Ofoegbu missed Layup.,32,45
16:24,27,Chance Murray Defensive Rebound.,32,45
16:15,27,Secean Johnson missed Layup.,32,45
16:15,2439,Troy Baxter Jr. Defensive Rebound.,32,45
16:08,2439,Uche Ofoegbu missed Three Point Jumper.,32,45
16:08,2439,Kris Clyburn Offensive Rebound.,32,45
16:04,2439,Kris Clyburn missed Layup.,32,45
16:04,27,Gentrey Thomas Defensive Rebound.,32,45
15:58,27,Gentrey Thomas made Layup.,34,45
15:34,2439,Uche Ofoegbu Turnover.,34,45
15:34,2439,Official TV Timeout,34,45
15:22,27,Gentrey Thomas missed Layup.,34,45
15:22,2439,Ben Coupet Jr. Defensive Rebound.,34,45
15:05,2439,Dwayne Morgan missed Three Point Jumper.,34,45
15:05,2439,Troy Baxter Jr. Offensive Rebound.,34,45
15:00,2439,Dwayne Morgan missed Layup.,34,45
15:00,27,Gentrey Thomas Block.,34,45
14:58,27,Secean Johnson Defensive Rebound.,34,45
14:50,27,Secean Johnson Turnover.,34,45
14:48,2439,Jalen Poyser Steal.,34,45
14:41,2439,Jalen Poyser made Layup.,34,47
14:29,2439,Foul on Dwayne Morgan.,34,47
14:25,2439,Foul on Jovan Mooring.,34,47
14:25,27,Chance Murray missed Free Throw.,34,47
14:25,27,UC Riverside Deadball Team Rebound.,34,47
14:25,27,Chance Murray made Free Throw.,35,47
14:05,2439,Dwayne Morgan Turnover.,35,47
14:05,2439,Foul on Dwayne Morgan.,35,47
13:49,27,Secean Johnson missed Layup.,35,47
13:49,2439,UNLV Defensive Rebound.,35,47
13:49,27,Foul on Alex Larsson.,35,47
13:43,2439,Jovan Mooring Turnover.,35,47
13:41,27,Malik Thames Steal.,35,47
13:40,2439,Foul on Troy Baxter Jr..,35,47
13:40,27,Malik Thames made Free Throw.,36,47
13:40,27,Malik Thames made Free Throw.,37,47
13:16,2439,Jovan Mooring missed Three Point Jumper.,37,47
13:16,2439,Tyrell Green Offensive Rebound.,37,47
12:53,2439,Tyrell Green missed Jumper.,37,47
12:53,27,Secean Johnson Block.,37,47
12:50,27,Gentrey Thomas Defensive Rebound.,37,47
12:33,27,Menno Dijkstra made Layup. Assisted by Malik Thames.,39,47
12:16,2439,Ben Coupet Jr. Turnover.,39,47
12:16,2439,Foul on Ben Coupet Jr..,39,47
12:03,27,Gentrey Thomas made Layup.,41,47
11:45,2439,Jalen Poyser missed Three Point Jumper.,41,47
11:45,2439,Tyrell Green Offensive Rebound.,41,47
11:40,27,Foul on Brandon Rosser.,41,47
11:40,2439,Official TV Timeout,41,47
11:40,2439,Tyrell Green made Free Throw.,41,48
11:40,2439,Tyrell Green made Free Throw.,41,49
11:35,2439,Foul on Jovan Mooring.,41,49
11:35,27,Malik Thames made Free Throw.,42,49
11:35,27,Malik Thames made Free Throw.,43,49
11:23,2439,UNLV  Turnover.,43,49
11:15,2439,Foul on Uche Ofoegbu.,43,49
11:15,27,Gentrey Thomas made Free Throw.,44,49
11:15,27,Gentrey Thomas made Free Throw.,45,49
10:58,2439,Dwayne Morgan missed Jumper.,45,49
10:58,27,Malik Thames Defensive Rebound.,45,49
10:54,27,Malik Thames Turnover.,45,49
10:30,27,Foul on Dikymbe Martin.,45,49
10:28,2439,Tyrell Green missed Three Point Jumper.,45,49
10:28,2439,Jalen Poyser Offensive Rebound.,45,49
10:10,2439,Uche Ofoegbu missed Jumper.,45,49
10:10,27,Alex Larsson Defensive Rebound.,45,49
9:57,27,Dikymbe Martin missed Layup.,45,49
9:57,27,Alex Larsson Offensive Rebound.,45,49
9:55,27,Alex Larsson made Two Point Tip Shot.,47,49
9:36,27,Foul on Dikymbe Martin.,47,49
9:07,2439,Dwayne Morgan missed Three Point Jumper.,47,49
9:07,2439,Uche Ofoegbu Offensive Rebound.,47,49
9:01,2439,UNLV  Timeout,47,49
8:51,2439,Christian Jones Turnover.,47,49
8:50,27,Chance Murray Steal.,47,49
8:39,27,Secean Johnson missed Layup.,47,49
8:39,2439,Dwayne Morgan Block.,47,49
8:37,2439,Christian Jones Defensive Rebound.,47,49
8:14,2439,Uche Ofoegbu Turnover.,47,49
8:13,27,Dikymbe Martin Steal.,47,49
8:02,27,Dikymbe Martin missed Jumper.,47,49
8:02,27,Alex Larsson Offensive Rebound.,47,49
7:58,27,Dikymbe Martin made Three Point Jumper. Assisted by Alex Larsson.,50,49
7:32,2439,Christian Jones made Jumper. Assisted by Uche Ofoegbu.,50,51
7:32,27,Foul on Alex Larsson.,50,51
7:32,2439,Official TV Timeout,50,51
7:32,2439,Christian Jones made Free Throw.,50,52
7:15,27,Chance Murray Turnover.,50,52
7:15,2439,Jalen Poyser Steal.,50,52
7:15,27,Foul on Chance Murray.,50,52
7:15,27,UC Riverside  Timeout,50,52
7:15,2439,Jovan Mooring made Free Throw.,50,53
7:15,2439,Jovan Mooring made Free Throw.,50,54
7:11,27,Chance Murray Turnover.,50,54
7:11,2439,Jovan Mooring Steal.,50,54
7:11,27,Foul on Brandon Rosser.,50,54
7:09,2439,Jovan Mooring made Free Throw.,50,55
7:09,2439,Jovan Mooring made Free Throw.,50,56
6:40,27,Malik Thames missed Three Point Jumper.,50,56
6:40,2439,Christian Jones Defensive Rebound.,50,56
6:23,2439,Christian Jones Turnover.,50,56
6:22,27,Gentrey Thomas Steal.,50,56
6:19,27,Secean Johnson Turnover.,50,56
6:19,27,Foul on Secean Johnson.,50,56
6:02,2439,Jovan Mooring missed Layup.,50,56
6:02,27,Secean Johnson Defensive Rebound.,50,56
5:50,2439,Foul on Kris Clyburn.,50,56
5:50,27,Alex Larsson made Free Throw.,51,56
5:50,27,Alex Larsson made Free Throw.,52,56
5:26,2439,Christian Jones missed Jumper.,52,56
5:26,2439,Ben Coupet Jr. Offensive Rebound.,52,56
5:09,2439,Christian Jones made Layup. Assisted by Jovan Mooring.,52,58
4:48,27,Malik Thames missed Jumper.,52,58
4:48,27,Alex Larsson Offensive Rebound.,52,58
4:47,27,Alex Larsson made Layup.,54,58
4:15,2439,Jovan Mooring made Three Point Jumper. Assisted by Jalen Poyser.,54,61
4:00,27,Alex Larsson missed Jumper.,54,61
4:00,2439,Jalen Poyser Defensive Rebound.,54,61
3:40,2439,Jovan Mooring missed Three Point Jumper.,54,61
3:40,2439,UNLV Offensive Rebound.,54,61
3:37,2439,Official TV Timeout,54,61
3:10,2439,Jalen Poyser made Three Point Jumper. Assisted by Jovan Mooring.,54,64
2:53,27,Gentrey Thomas missed Three Point Jumper.,54,64
2:53,27,Gentrey Thomas Offensive Rebound.,54,64
2:43,27,UC Riverside  Timeout,54,64
2:28,27,Alex Larsson missed Layup.,54,64
2:28,2439,Christian Jones Block.,54,64
2:26,2439,Christian Jones Defensive Rebound.,54,64
1:55,2439,Jalen Poyser missed Three Point Jumper.,54,64
1:55,2439,UNLV Offensive Rebound.,54,64
1:55,2439,UNLV  Turnover.,54,64
1:49,2439,Foul on Ben Coupet Jr..,54,64
1:49,27,Dikymbe Martin made Free Throw.,55,64
1:49,27,Dikymbe Martin made Free Throw.,56,64
1:42,27,Foul on Gentrey Thomas.,56,64
1:42,2439,Jalen Poyser made Free Throw.,56,65
1:42,2439,Jalen Poyser made Free Throw.,56,66
1:33,27,Chance Murray missed Jumper.,56,66
1:33,27,Alex Larsson Offensive Rebound.,56,66
1:31,27,Alex Larsson made Layup.,58,66
1:31,27,UC Riverside  Timeout,58,66
1:19,2439,Ben Coupet Jr. missed Dunk.,58,66
1:19,2439,Ben Coupet Jr. Offensive Rebound.,58,66
1:18,2439,Ben Coupet Jr. missed Layup.,58,66
1:18,27,Chance Murray Block.,58,66
1:18,2439,UNLV Offensive Rebound.,58,66
1:12,27,Foul on Malik Thames.,58,66
1:12,2439,Ben Coupet Jr. made Free Throw.,58,67
1:12,2439,Ben Coupet Jr. made Free Throw.,58,68
1:08,2439,Foul on Jovan Mooring.,58,68
1:08,27,Malik Thames made Free Throw.,59,68
1:08,27,Malik Thames made Free Throw.,60,68
0:56,2439,Ben Coupet Jr. made Layup.,60,70
0:44,27,Dikymbe Martin missed Jumper.,60,70
0:44,2439,Tyrell Green Defensive Rebound.,60,70
0:32,2439,Tyrell Green made Dunk. Assisted by Ben Coupet Jr..,60,72
0:29,27,Chance Murray made Layup.,62,72
0:29,27,Foul on Chance Murray.,62,72
0:29,2439,Jovan Mooring made Free Throw.,62,73
0:29,2439,Jovan Mooring made Free Throw.,62,74
0:27,27,Chance Murray missed Three Point Jumper.,62,74
0:27,2439,Ben Coupet Jr. Defensive Rebound.,62,74
0:00,2439,End of Game,62,74
