Miami,2454,North Florida,2390
11:00,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Anthony Lawrence Jr..,70,29
10:34,2454,Chris Davenport Turnover.,70,29
10:33,2390,Dejan Vasiljevic Steal.,70,29
10:26,2390,Davon Reed Turnover.,70,29
10:13,2454,Garrett Sams Turnover.,70,29
10:11,2390,Davon Reed Steal.,70,29
10:07,2390,Dewan Huell made Layup.,72,29
10:07,2454,Foul on Chris Davenport.,72,29
10:07,2390,Dewan Huell made Free Throw.,73,29
9:56,2454,Chris Davenport missed Layup.,73,29
9:56,2390,Dewan Huell Block.,73,29
9:55,2390,Bruce Brown Defensive Rebound.,73,29
9:50,2390,Davon Reed made Jumper. Assisted by Bruce Brown.,75,29
9:36,2454,Dallas Moore missed Three Point Jumper.,75,29
9:36,2390,Dejan Vasiljevic Defensive Rebound.,75,29
9:29,2390,Anthony Lawrence Jr. Turnover.,75,29
9:16,2390,Foul on Davon Reed.,75,29
8:57,2454,Garrett Sams missed Three Point Jumper.,75,29
8:57,2390,Miami Defensive Rebound.,75,29
8:37,2390,Anthony Lawrence Jr. Turnover.,75,29
8:35,2454,Garrett Sams Steal.,75,29
8:19,2454,Romelo Banks made Jumper. Assisted by Garrett Sams.,75,31
7:58,2390,Davon Reed missed Three Point Jumper.,75,31
7:58,2454,North Florida Defensive Rebound.,75,31
7:56,2454,Official TV Timeout,75,31
7:53,2454,Aaron Horne missed Three Point Jumper.,75,31
7:53,2454,Romelo Banks Offensive Rebound.,75,31
7:48,2454,Romelo Banks made Jumper.,75,33
7:22,2454,Foul on Aaron Horne.,75,33
7:22,2390,Dejan Vasiljevic made Free Throw.,76,33
7:22,2390,Dejan Vasiljevic made Free Throw.,77,33
7:08,2454,Garrett Sams missed Jumper.,77,33
7:08,2454,North Florida Offensive Rebound.,77,33
6:58,2390,Foul on Ja'Quan Newton.,77,33
6:58,2454,CJ Fisher Turnover.,77,33
6:55,2390,Bruce Brown Steal.,77,33
6:51,2390,Kamari Murphy Turnover.,77,33
6:50,2454,Aaron Horne Steal.,77,33
6:45,2454,Garrett Sams missed Jumper.,77,33
6:45,2454,Aaron Horne Offensive Rebound.,77,33
6:43,2454,Aaron Horne made Layup.,77,35
6:21,2390,Dejan Vasiljevic made Layup.,79,35
6:09,2454,Chris Davenport Turnover.,79,35
6:07,2390,Ja'Quan Newton Steal.,79,35
6:04,2390,Bruce Brown made Dunk. Assisted by Ja'Quan Newton.,81,35
5:47,2454,Garrett Sams made Three Point Jumper. Assisted by Aaron Horne.,81,38
5:29,2390,Ja'Quan Newton made Jumper.,83,38
5:21,2390,Foul on Ja'Quan Newton.,83,38
5:21,2454,CJ Fisher missed Free Throw.,83,38
5:21,2390,Dewan Huell Defensive Rebound.,83,38
5:19,2390,Dewan Huell made Layup.,85,38
5:19,2454,Foul on Osborn Blount.,85,38
5:19,2390,Dewan Huell made Free Throw.,86,38
4:48,2454,Osborn Blount missed Three Point Jumper.,86,38
4:48,2454,CJ Fisher Offensive Rebound.,86,38
4:44,2390,Foul on Dejan Vasiljevic.,86,38
4:44,2454,CJ Fisher made Free Throw.,86,39
4:44,2454,CJ Fisher made Free Throw.,86,40
4:19,2390,Dejan Vasiljevic missed Layup.,86,40
4:19,2454,Wajid Aminu Block.,86,40
4:19,2390,Anthony Lawrence Jr. Offensive Rebound.,86,40
4:14,2390,Foul on Rodney Miller.,86,40
4:14,2454,CJ Fisher missed Free Throw.,86,40
4:14,2390,Bruce Brown Defensive Rebound.,86,40
3:52,2390,Rodney Miller made Layup.,88,40
3:40,2454,Osborn Blount made Three Point Jumper. Assisted by CJ Fisher.,88,43
3:22,2390,Dejan Vasiljevic missed Three Point Jumper.,88,43
3:22,2454,CJ Fisher Defensive Rebound.,88,43
3:13,2454,CJ Fisher missed Layup.,88,43
3:13,2454,Wajid Aminu Offensive Rebound.,88,43
3:10,2454,Wajid Aminu missed Layup.,88,43
3:10,2390,Dewan Huell Defensive Rebound.,88,43
3:04,2390,Anthony Lawrence Jr. made Dunk. Assisted by Bruce Brown.,90,43
3:02,2390,Miami  Timeout,90,43
2:46,2454,Wajid Aminu missed Jumper.,90,43
2:46,2454,North Florida Offensive Rebound.,90,43
2:31,2454,Aaron Horne made Three Point Jumper. Assisted by CJ Fisher.,90,46
2:11,2390,Mike Robinson missed Three Point Jumper.,90,46
2:11,2454,CJ Fisher Defensive Rebound.,90,46
2:03,2454,Wajid Aminu made Dunk. Assisted by Karlos Odum.,90,48
1:45,2390,Dejan Vasiljevic missed Three Point Jumper.,90,48
1:45,2454,Karlos Odum Defensive Rebound.,90,48
1:37,2454,Aaron Horne missed Three Point Jumper.,90,48
1:37,2454,Wajid Aminu Offensive Rebound.,90,48
1:30,2454,Wajid Aminu made Layup.,90,50
1:15,2390,Mike Robinson missed Three Point Jumper.,90,50
1:15,2454,Osborn Blount Block.,90,50
1:14,2390,Dewan Huell Offensive Rebound.,90,50
1:10,2390,Dewan Huell made Layup.,92,50
0:57,2454,Osborn Blount made Three Point Jumper. Assisted by Aaron Horne.,92,53
0:35,2390,Chris Stowell missed Three Point Jumper.,92,53
0:35,2454,Wajid Aminu Defensive Rebound.,92,53
0:31,2390,Foul on Dejan Vasiljevic.,92,53
0:31,2454,Wajid Aminu missed Free Throw.,92,53
0:31,2454,North Florida Deadball Team Rebound.,92,53
0:31,2454,Wajid Aminu made Free Throw.,92,54
0:15,2390,Dewan Huell made Layup.,94,54
0:00,2454,Wajid Aminu made Jumper. Assisted by Aaron Horne.,94,56
0:00,2454,End of Game,94,56
