Texas A&amp;M-CC,292,UT Rio Grande Valley,357
15:53,292,Official TV Timeout,6,12
15:48,357,Joseph Kilgore made Jumper.,8,12
15:25,292,Nick Dixon Turnover.,8,12
15:25,357,Jake Kocher Steal.,8,12
15:14,357,Alex Holcombe missed Layup.,8,12
15:14,292,Walter Jones Defensive Rebound.,8,12
15:01,292,Mike Nwabuzor Turnover.,8,12
15:01,357,Joseph Kilgore Steal.,8,12
14:55,292,Foul on Walter Jones.,8,12
14:44,357,Kareem South missed Three Point Jumper.,8,12
14:44,357,Alex Holcombe Offensive Rebound.,8,12
14:38,357,Alex Holcombe made Dunk.,10,12
14:29,292,Walter Jones Turnover.,10,12
14:18,292,Foul on Lesley Varner Jr..,10,12
14:05,292,Foul on Gage Loy.,10,12
14:05,357,Texas A&M-CC  Timeout,10,12
13:50,357,Kareem South missed Jumper.,10,12
13:50,357,Rashawn Thomas Offensive Rebound.,10,12
13:47,292,Foul on Walter Jones.,10,12
13:34,357,Rashawn Thomas missed Layup.,10,12
13:34,292,Walter Jones Defensive Rebound.,10,12
13:14,357,Foul on Ehab Amin.,10,12
13:05,292,Mike Nwabuzor missed Layup.,10,12
13:05,357,Texas A&M-CC Defensive Rebound.,10,12
12:48,357,Alex Holcombe missed Jumper.,10,12
12:48,357,Jake Kocher Offensive Rebound.,10,12
12:32,292,Foul on Gage Loy.,10,12
12:32,357,Rashawn Thomas made Free Throw.,11,12
12:32,357,Rashawn Thomas made Free Throw.,12,12
12:26,292,Mike Nwabuzor Turnover.,12,12
12:24,357,Ehab Amin Steal.,12,12
12:21,357,Ehab Amin made Layup.,14,12
12:03,357,Foul on Cole Martinez.,14,12
12:03,292,Nick Dixon missed Free Throw.,14,12
12:03,292,UT Rio Grande Valley Deadball Team Rebound.,14,12
12:03,292,Nick Dixon missed Free Throw.,14,12
12:03,292,UT Rio Grande Valley Deadball Team Rebound.,14,12
12:03,292,Nick Dixon made Free Throw.,14,13
11:57,357,Ehab Amin Turnover.,14,13
11:56,292,Mike Hoffman Steal.,14,13
11:54,357,Foul on Rashawn Thomas.,14,13
11:54,292,Official TV Timeout,14,13
11:54,292,Nick Dixon made Free Throw.,14,14
11:54,292,Nick Dixon missed Free Throw.,14,14
11:54,357,Rashawn Thomas Defensive Rebound.,14,14
11:45,357,Ehab Amin made Three Point Jumper. Assisted by Rashawn Thomas.,17,14
11:23,292,Nick Dixon Turnover.,17,14
11:10,357,Rashawn Thomas Turnover.,17,14
11:09,292,Xavier McDaniel Jr. Steal.,17,14
11:06,292,Xavier McDaniel Jr. missed Layup.,17,14
11:06,292,Nick Dixon Offensive Rebound.,17,14
11:00,292,Antonio Green missed Jumper.,17,14
11:00,357,Rashawn Thomas Defensive Rebound.,17,14
10:46,357,Perry Francois made Jumper. Assisted by Joseph Kilgore.,19,14
10:35,292,Mike Hoffman missed Three Point Jumper.,19,14
10:35,357,Rashawn Thomas Defensive Rebound.,19,14
10:25,292,Foul on Mike Hoffman.,19,14
10:25,357,Perry Francois missed Free Throw.,19,14
10:25,292,UT Rio Grande Valley Defensive Rebound.,19,14
10:00,292,Xavier McDaniel Jr. missed Layup.,19,14
10:00,292,Mike Hoffman Offensive Rebound.,19,14
9:55,292,Mike Hoffman made Layup.,19,16
9:45,292,Foul on Mike Hoffman.,19,16
9:45,357,Joseph Kilgore made Free Throw.,20,16
9:45,357,Joseph Kilgore made Free Throw.,21,16
9:15,292,Xavier McDaniel Jr. made Jumper.,21,18
8:56,357,Kareem South made Three Point Jumper. Assisted by Ehab Amin.,24,18
8:46,292,Nick Dixon Turnover.,24,18
8:34,292,Foul on Adonis Rwabigwi.,24,18
8:34,357,Jake Kocher made Free Throw.,25,18
8:34,357,Jake Kocher made Free Throw.,26,18
8:25,357,Foul on Kareem South.,26,18
8:25,292,Lew Stallworth made Free Throw.,26,19
8:25,292,Lew Stallworth made Free Throw.,26,20
8:11,357,Rashawn Thomas made Layup. Assisted by Kareem South.,28,20
8:04,292,Lew Stallworth missed Layup.,28,20
8:04,357,Kareem South Defensive Rebound.,28,20
7:59,357,Jake Kocher missed Layup.,28,20
7:59,357,Joseph Kilgore Offensive Rebound.,28,20
7:54,357,Joseph Kilgore made Layup.,30,20
7:54,292,Official TV Timeout,30,20
7:43,292,Xavier McDaniel Jr. missed Three Point Jumper.,30,20
7:43,292,Xavier McDaniel Jr. Offensive Rebound.,30,20
7:37,292,Xavier McDaniel Jr. Turnover.,30,20
7:36,357,Jake Kocher Steal.,30,20
7:21,357,Jake Kocher made Three Point Jumper. Assisted by Joseph Kilgore.,33,20
6:53,292,Xavier McDaniel Jr. missed Jumper.,33,20
6:53,292,Moe McDonald Offensive Rebound.,33,20
6:50,357,Foul on Kareem South.,33,20
6:50,292,Moe McDonald made Free Throw.,33,21
6:50,292,Moe McDonald made Free Throw.,33,22
6:33,357,Ehab Amin missed Three Point Jumper.,33,22
6:33,292,Nick Dixon Defensive Rebound.,33,22
6:26,357,Foul on Ehab Amin.,33,22
6:26,292,Nick Dixon made Free Throw.,33,23
6:26,292,Nick Dixon made Free Throw.,33,24
5:57,357,Joseph Kilgore missed Three Point Jumper.,33,24
5:57,292,Mike Nwabuzor Defensive Rebound.,33,24
5:50,357,Foul on Kyle Brown.,33,24
5:50,292,Mike Nwabuzor made Free Throw.,33,25
5:50,292,Mike Nwabuzor made Free Throw.,33,26
5:40,357,Kyle Brown missed Jumper.,33,26
5:40,357,Rashawn Thomas Offensive Rebound.,33,26
5:34,357,Rashawn Thomas Turnover.,33,26
5:22,292,Antonio Green missed Layup.,33,26
5:22,357,Kyle Brown Defensive Rebound.,33,26
5:00,357,Joseph Kilgore made Layup. Assisted by Cole Martinez.,35,26
4:49,357,Foul on Joseph Kilgore.,35,26
4:49,292,Nick Dixon missed Free Throw.,35,26
4:49,292,UT Rio Grande Valley Deadball Team Rebound.,35,26
4:49,292,Nick Dixon missed Free Throw.,35,26
4:49,357,Rashawn Thomas Defensive Rebound.,35,26
4:37,357,Foul on Elijah Schmidt.,35,26
4:37,357,Elijah Schmidt Turnover.,35,26
4:13,292,Mike Nwabuzor Turnover.,35,26
4:12,357,Kyle Brown Steal.,35,26
4:07,357,Joseph Kilgore missed Layup.,35,26
4:07,292,Gage Loy Defensive Rebound.,35,26
4:02,292,Antonio Green missed Layup.,35,26
4:02,357,Joseph Kilgore Block.,35,26
4:01,357,Kyle Brown Defensive Rebound.,35,26
3:55,357,Kyle Brown Turnover.,35,26
3:54,292,Nick Dixon Steal.,35,26
3:52,292,Nick Dixon Turnover.,35,26
3:46,357,Elijah Schmidt Steal.,35,26
3:44,357,Joseph Kilgore made Layup. Assisted by Rashawn Thomas.,37,26
3:34,357,Foul on Rashawn Thomas.,37,26
3:34,292,Official TV Timeout,37,26
3:34,292,Moe McDonald made Free Throw.,37,27
3:34,292,Moe McDonald missed Free Throw.,37,27
3:34,357,Elijah Schmidt Defensive Rebound.,37,27
3:07,357,Kyle Brown missed Jumper.,37,27
3:07,292,Gage Loy Defensive Rebound.,37,27
2:52,292,Nick Dixon missed Three Point Jumper.,37,27
2:52,357,Joseph Kilgore Defensive Rebound.,37,27
2:43,357,Cole Martinez missed Three Point Jumper.,37,27
2:43,357,Rashawn Thomas Offensive Rebound.,37,27
2:37,357,Rashawn Thomas made Layup.,39,27
2:13,292,Lew Stallworth Turnover.,39,27
2:11,357,Kyle Brown Steal.,39,27
2:09,357,Cole Martinez Turnover.,39,27
2:08,292,Moe McDonald Steal.,39,27
2:03,357,Foul on Elijah Schmidt.,39,27
2:03,292,Nick Dixon made Free Throw.,39,28
2:03,292,Nick Dixon made Free Throw.,39,29
1:43,292,Foul on Nick Dixon.,39,29
1:43,357,Rashawn Thomas missed Free Throw.,39,29
1:43,357,Texas A&M-CC Deadball Team Rebound.,39,29
1:43,357,Rashawn Thomas made Free Throw.,40,29
1:30,292,Foul on Moe McDonald.,40,29
1:30,292,Moe McDonald Turnover.,40,29
1:14,357,Rashawn Thomas Turnover.,40,29
1:00,292,Nick Dixon missed Three Point Jumper.,40,29
1:00,357,Texas A&M-CC Defensive Rebound.,40,29
0:41,357,Jake Kocher made Layup.,42,29
0:36,292,Gage Loy Turnover.,42,29
0:34,357,Joseph Kilgore Steal.,42,29
0:32,357,Rashawn Thomas missed Layup.,42,29
0:32,292,Lew Stallworth Defensive Rebound.,42,29
0:24,292,Nick Dixon Turnover.,42,29
0:07,357,Joseph Kilgore missed Three Point Jumper.,42,29
0:07,292,Nick Dixon Defensive Rebound.,42,29
0:01,292,Moe McDonald made Layup. Assisted by Lew Stallworth.,42,31
0:00,292,End of 1st half,42,31
19:49,357,Jake Kocher missed Three Point Jumper.,42,31
19:49,292,Mike Hoffman Defensive Rebound.,42,31
19:36,292,Foul on Lew Stallworth.,42,31
19:36,292,Lew Stallworth Turnover.,42,31
19:24,357,Ehab Amin missed Layup.,42,31
19:24,357,Joseph Kilgore Offensive Rebound.,42,31
19:18,357,Joseph Kilgore made Layup.,44,31
18:58,357,Foul on Joseph Kilgore.,44,31
18:34,292,Antonio Green missed Jumper.,44,31
18:34,357,Ehab Amin Block.,44,31
18:31,357,Jake Kocher Defensive Rebound.,44,31
18:12,357,Jake Kocher made Layup.,46,31
17:58,357,Foul on Rashawn Thomas.,46,31
17:58,292,Lew Stallworth missed Free Throw.,46,31
17:58,292,UT Rio Grande Valley Deadball Team Rebound.,46,31
17:58,292,Lew Stallworth missed Free Throw.,46,31
17:58,357,Rashawn Thomas Defensive Rebound.,46,31
17:54,292,Foul on Walter Jones.,46,31
17:44,357,Joseph Kilgore missed Layup.,46,31
17:44,292,Mike Hoffman Defensive Rebound.,46,31
17:36,292,Antonio Green missed Three Point Jumper.,46,31
17:36,357,Rashawn Thomas Defensive Rebound.,46,31
17:28,357,Ehab Amin made Layup. Assisted by Jake Kocher.,48,31
17:15,292,Walter Jones Turnover.,48,31
17:14,357,Ehab Amin Steal.,48,31
17:12,292,Foul on Lew Stallworth.,48,31
17:12,357,Joseph Kilgore made Free Throw.,49,31
17:12,292,Official TV Timeout,49,31
17:12,357,Joseph Kilgore made Free Throw.,50,31
16:58,292,Mike Hoffman missed Three Point Jumper.,50,31
16:58,357,Rashawn Thomas Defensive Rebound.,50,31
16:46,292,Foul on Walter Jones.,50,31
16:46,357,Rashawn Thomas made Free Throw.,51,31
16:46,357,Rashawn Thomas missed Free Throw.,51,31
16:46,292,Moe McDonald Defensive Rebound.,51,31
16:31,357,Foul on Joseph Kilgore.,51,31
16:31,292,Technical Foul on UT Rio Grande Valley.,51,31
16:31,357,Cole Martinez made Free Throw.,52,31
16:31,357,Cole Martinez made Free Throw.,53,31
16:22,292,Antonio Green made Three Point Jumper. Assisted by Moe McDonald.,53,34
16:12,357,Rashawn Thomas Turnover.,53,34
16:03,357,Foul on Ehab Amin.,53,34
15:44,292,Lesley Varner Jr. missed Three Point Jumper.,53,34
15:44,292,Antonio Green Offensive Rebound.,53,34
15:35,292,Antonio Green made Three Point Jumper. Assisted by Moe McDonald.,53,37
15:21,357,Rashawn Thomas Turnover.,53,37
15:19,292,Mike Hoffman Steal.,53,37
15:15,292,Moe McDonald Turnover.,53,37
15:14,357,Ehab Amin Steal.,53,37
15:12,357,Foul on Ehab Amin.,53,37
15:12,357,Ehab Amin Turnover.,53,37
15:12,292,Official TV Timeout,53,37
14:58,292,Antonio Green made Three Point Jumper. Assisted by Lesley Varner Jr..,53,40
14:29,292,Foul on Moe McDonald.,53,40
14:28,357,Elijah Schmidt made Layup. Assisted by Cole Martinez.,55,40
14:17,292,Mike Hoffman Turnover.,55,40
14:03,357,Joseph Kilgore made Layup.,57,40
13:53,357,Foul on Elijah Schmidt.,57,40
13:46,357,Foul on Alex Holcombe.,57,40
13:46,292,Antonio Green made Free Throw.,57,41
13:46,292,Antonio Green made Free Throw.,57,42
13:39,292,Foul on Moe McDonald.,57,42
13:39,357,Jake Kocher made Free Throw.,58,42
13:39,357,Jake Kocher made Free Throw.,59,42
13:28,292,Antonio Green missed Layup.,59,42
13:28,292,Mike Hoffman Offensive Rebound.,59,42
13:24,292,Mike Hoffman made Layup.,59,44
13:16,357,Joseph Kilgore made Layup.,61,44
12:56,357,Foul on Alex Holcombe.,61,44
12:56,292,Mike Hoffman made Free Throw.,61,45
12:56,292,Mike Hoffman made Free Throw.,61,46
12:50,292,Foul on Lesley Varner Jr..,61,46
12:50,357,Joseph Kilgore made Free Throw.,62,46
12:50,357,Joseph Kilgore made Free Throw.,63,46
12:41,292,Nick Dixon made Three Point Jumper. Assisted by Lew Stallworth.,63,49
12:24,292,Foul on Nick Dixon.,63,49
12:24,357,Joseph Kilgore missed Free Throw.,63,49
12:24,292,Xavier McDaniel Jr. Defensive Rebound.,63,49
12:14,292,Mike Hoffman missed Three Point Jumper.,63,49
12:14,357,Joseph Kilgore Defensive Rebound.,63,49
11:57,357,Joseph Kilgore made Layup. Assisted by Rashawn Thomas.,65,49
11:40,292,Xavier McDaniel Jr. missed Three Point Jumper.,65,49
11:40,357,Jake Kocher Defensive Rebound.,65,49
11:20,357,Alex Holcombe Turnover.,65,49
11:18,292,Xavier McDaniel Jr. Steal.,65,49
11:13,292,Mike Hoffman made Jumper. Assisted by Moe McDonald.,65,51
10:51,292,Foul on Xavier McDaniel Jr..,65,51
10:51,292,Official TV Timeout,65,51
10:51,357,Rashawn Thomas missed Free Throw.,65,51
10:51,357,Texas A&M-CC Deadball Team Rebound.,65,51
10:51,357,Rashawn Thomas made Free Throw.,66,51
10:36,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,66,54
10:22,357,Cole Martinez missed Layup.,66,54
10:22,357,Alex Holcombe Offensive Rebound.,66,54
10:21,357,Alex Holcombe made Layup.,68,54
10:21,292,Foul on Xavier McDaniel Jr..,68,54
10:21,357,Alex Holcombe missed Free Throw.,68,54
10:21,292,Nick Dixon Defensive Rebound.,68,54
10:11,292,Foul on Mike Hoffman.,68,54
10:11,292,Mike Hoffman Turnover.,68,54
9:51,357,Jake Kocher made Layup. Assisted by Ehab Amin.,70,54
9:39,357,Foul on Rashawn Thomas.,70,54
9:39,292,Lew Stallworth missed Free Throw.,70,54
9:39,292,UT Rio Grande Valley Deadball Team Rebound.,70,54
9:39,292,Lew Stallworth made Free Throw.,70,55
9:18,357,Ehab Amin Turnover.,70,55
9:16,292,Mike Hoffman Steal.,70,55
9:13,292,Nick Dixon made Layup.,70,57
8:41,357,Ehab Amin missed Three Point Jumper.,70,57
8:41,357,Kareem South Offensive Rebound.,70,57
8:36,357,Kareem South missed Layup.,70,57
8:36,357,Kareem South Offensive Rebound.,70,57
8:25,292,Foul on Lew Stallworth.,70,57
8:25,357,Cole Martinez made Free Throw.,71,57
8:25,357,Cole Martinez made Free Throw.,72,57
8:16,292,Foul on Mike Hoffman.,72,57
8:16,292,Mike Hoffman Turnover.,72,57
7:48,357,Ehab Amin made Layup.,74,57
7:42,357,Foul on Kareem South.,74,57
7:42,292,Official TV Timeout,74,57
7:42,292,Lew Stallworth missed Free Throw.,74,57
7:42,292,UT Rio Grande Valley Deadball Team Rebound.,74,57
7:42,292,Lew Stallworth made Free Throw.,74,58
7:25,357,Kareem South made Layup.,76,58
6:54,292,Nick Dixon made Layup.,76,60
6:35,357,Joseph Kilgore missed Layup.,76,60
6:35,292,Antonio Green Block.,76,60
6:34,357,Joseph Kilgore Offensive Rebound.,76,60
6:31,357,Joseph Kilgore made Layup.,78,60
6:25,292,Moe McDonald made Layup.,78,62
6:11,357,Ehab Amin missed Jumper.,78,62
6:11,292,Mike Nwabuzor Defensive Rebound.,78,62
6:02,292,Xavier McDaniel Jr. Turnover.,78,62
6:00,357,Ehab Amin Steal.,78,62
5:57,357,Jake Kocher missed Layup.,78,62
5:57,292,Mike Nwabuzor Block.,78,62
5:56,357,Texas A&M-CC Offensive Rebound.,78,62
5:34,357,Jake Kocher made Layup.,80,62
5:29,292,Moe McDonald Turnover.,80,62
5:27,357,Jake Kocher Steal.,80,62
5:14,357,Rashawn Thomas made Layup. Assisted by Kareem South.,82,62
4:57,292,Nick Dixon missed Jumper.,82,62
4:57,357,Rashawn Thomas Defensive Rebound.,82,62
4:37,357,Cole Martinez made Jumper. Assisted by Rashawn Thomas.,84,62
4:23,292,Antonio Green made Layup.,84,64
3:54,357,Rashawn Thomas made Jumper.,86,64
3:54,292,Foul on Xavier McDaniel Jr..,86,64
3:54,292,Official TV Timeout,86,64
3:54,357,Rashawn Thomas missed Free Throw.,86,64
3:54,292,Antonio Green Defensive Rebound.,86,64
3:30,292,Antonio Green missed Layup.,86,64
3:30,292,Gage Loy Offensive Rebound.,86,64
3:26,292,Gage Loy missed Layup.,86,64
3:26,357,Rashawn Thomas Block.,86,64
3:26,292,UT Rio Grande Valley Offensive Rebound.,86,64
3:17,357,Foul on Rashawn Thomas.,86,64
3:17,292,Antonio Green made Free Throw.,86,65
3:17,292,Antonio Green missed Free Throw.,86,65
3:17,357,Ehab Amin Defensive Rebound.,86,65
2:54,292,Foul on Mike Nwabuzor.,86,65
2:54,357,Joseph Kilgore missed Free Throw.,86,65
2:54,357,Texas A&M-CC Deadball Team Rebound.,86,65
2:54,357,Joseph Kilgore made Free Throw.,87,65
2:42,292,Lesley Varner Jr. missed Three Point Jumper.,87,65
2:42,292,Walter Jones Offensive Rebound.,87,65
2:37,292,Antonio Green missed Layup.,87,65
2:37,292,Gage Loy Offensive Rebound.,87,65
2:35,357,Foul on Cole Martinez.,87,65
2:35,292,Gage Loy made Free Throw.,87,66
2:35,292,Gage Loy missed Free Throw.,87,66
2:35,357,Texas A&M-CC Defensive Rebound.,87,66
2:08,292,Foul on Lesley Varner Jr..,87,66
2:08,357,Jake Kocher missed Free Throw.,87,66
2:08,357,Texas A&M-CC Deadball Team Rebound.,87,66
2:08,357,Jake Kocher made Free Throw.,88,66
1:57,292,Solomon Yon Turnover.,88,66
1:56,357,Cole Martinez Steal.,88,66
1:53,357,Kareem South made Layup. Assisted by Cole Martinez.,90,66
1:39,357,Foul on Jake Kocher.,90,66
1:39,292,Nick Mora missed Free Throw.,90,66
1:39,292,UT Rio Grande Valley Deadball Team Rebound.,90,66
1:39,292,Nick Mora missed Free Throw.,90,66
1:39,357,Kareem South Defensive Rebound.,90,66
1:22,357,Ehab Amin Turnover.,90,66
1:21,292,Onuralp Demirer Steal.,90,66
1:19,357,Foul on Colin Hale.,90,66
1:19,292,Solomon Yon made Free Throw.,90,67
1:19,292,Solomon Yon made Free Throw.,90,68
1:10,357,Foul on Kyle Brown.,90,68
1:10,357,Kyle Brown Turnover.,90,68
0:56,292,Walter Jones made Jumper. Assisted by Solomon Yon.,90,70
0:51,292,Foul on Nick Mora.,90,70
0:51,357,Kyle Brown missed Free Throw.,90,70
0:51,357,Texas A&M-CC Deadball Team Rebound.,90,70
0:51,357,Kyle Brown made Free Throw.,91,70
0:38,292,Walter Jones made Jumper. Assisted by Nick Mora.,91,72
0:34,292,Foul on Walter Jones.,91,72
0:34,357,Kyle Brown made Free Throw.,92,72
0:34,357,Kyle Brown missed Free Throw.,92,72
0:34,292,Clarke Cooper Defensive Rebound.,92,72
0:30,292,Clarke Cooper Turnover.,92,72
0:29,357,Perry Francois Steal.,92,72
0:05,357,Alex Holcombe missed Jumper.,92,72
0:05,357,Perry Francois Offensive Rebound.,92,72
0:03,357,Perry Francois made Layup.,94,72
0:00,292,End of Game,94,72
