Eastern Kentucky,2127,Charleston Southern,2198
0:01,2127,Christian Keeling made Free Throw.,43,36
0:00,2127,End of 1st half,43,36
19:36,2127,Travis McConico missed Three Point Jumper.,43,36
19:36,2198,Asante Gist Defensive Rebound.,43,36
19:09,2198,Nick Mayo Turnover.,43,36
19:08,2127,Jordan Jones Steal.,43,36
19:02,2127,Phlandrous Fleming Jr made Three Point Jumper. Assisted by Christian Keeling.,43,39
18:44,2127,Foul on Christian Keeling.,43,39
18:29,2127,Foul on Deontaye Buskey.,43,39
18:29,2198,Nick Mayo made Free Throw.,44,39
18:29,2198,Nick Mayo made Free Throw.,45,39
18:19,2127,Travis McConico made Jumper. Assisted by Deontaye Buskey.,45,41
18:05,2198,Nick Mayo made Layup. Assisted by Asante Gist.,47,41
17:40,2127,Deontaye Buskey missed Layup.,47,41
17:40,2198,Nick Mayo Block.,47,41
17:39,2198,Jackson Davis Defensive Rebound.,47,41
17:17,2198,Nick Mayo Turnover.,47,41
17:16,2127,Christian Keeling Steal.,47,41
17:13,2198,Foul on Dujuanta Weaver.,47,41
17:13,2127,Deontaye Buskey made Free Throw.,47,42
17:13,2127,Deontaye Buskey made Free Throw.,47,43
16:55,2127,Foul on Travis McConico.,47,43
16:55,2198,DeAndre Dishman made Free Throw.,48,43
16:55,2198,DeAndre Dishman missed Free Throw.,48,43
16:55,2127,Travis McConico Defensive Rebound.,48,43
16:38,2198,Foul on Zach Charles.,48,43
16:38,2127,Christian Keeling made Free Throw.,48,44
16:38,2127,Christian Keeling made Free Throw.,48,45
16:22,2198,Jackson Davis missed Jumper.,48,45
16:22,2198,Zach Charles Offensive Rebound.,48,45
16:07,2198,Asante Gist Turnover.,48,45
16:06,2127,Christian Keeling Steal.,48,45
16:04,2127,Christian Keeling made Layup.,48,47
16:04,2198,Foul on Asante Gist.,48,47
16:04,2127,Christian Keeling made Free Throw.,48,48
15:41,2198,Dedric Boyd missed Three Point Jumper.,48,48
15:41,2198,Nick Mayo Offensive Rebound.,48,48
15:36,2198,Nick Mayo Turnover.,48,48
15:36,2127,Phlandrous Fleming Jr Steal.,48,48
15:23,2127,Cortez Mitchell made Layup. Assisted by Ty Jones.,48,50
15:23,2198,Foul on Nick Mayo.,48,50
15:23,2127,Official TV Timeout,48,50
15:23,2127,Cortez Mitchell made Free Throw.,48,51
15:07,2198,Nick Mayo Turnover.,48,51
15:07,2127,Christian Keeling Steal.,48,51
15:04,2198,Foul on Peyton Broughton.,48,51
14:52,2127,Christian Keeling missed Three Point Jumper.,48,51
14:52,2127,Phlandrous Fleming Jr Offensive Rebound.,48,51
14:44,2127,Cortez Mitchell made Layup.,48,53
14:12,2198,Dedric Boyd Turnover.,48,53
13:53,2127,Cortez Mitchell missed Jumper.,48,53
13:53,2127,Javis Howard Offensive Rebound.,48,53
13:51,2127,Javis Howard made Two Point Tip Shot.,48,55
13:20,2198,Dedric Boyd made Three Point Jumper.,51,55
12:51,2127,Cortez Mitchell missed Jumper.,51,55
12:51,2198,Peyton Broughton Defensive Rebound.,51,55
12:43,2198,Dedric Boyd missed Three Point Jumper.,51,55
12:43,2127,Ty Jones Defensive Rebound.,51,55
12:30,2127,Jamaal David Turnover.,51,55
12:29,2198,Nick Mayo Steal.,51,55
12:10,2127,Foul on Ty Jones.,51,55
12:10,2198,Nick Mayo made Free Throw.,52,55
12:10,2198,Nick Mayo missed Free Throw.,52,55
12:10,2127,Travis McConico Defensive Rebound.,52,55
11:58,2127,Phlandrous Fleming Jr missed Three Point Jumper.,52,55
11:58,2198,Nick Mayo Defensive Rebound.,52,55
11:36,2198,Zach Charles missed Jumper.,52,55
11:36,2198,Zach Charles Offensive Rebound.,52,55
11:16,2198,JacQuess Hobbs Turnover.,52,55
11:16,2127,Phlandrous Fleming Jr Steal.,52,55
11:16,2127,Charleston Southern  Timeout,52,55
11:16,2127,Official TV Timeout,52,55
11:07,2127,Official TV Timeout,52,55
10:56,2127,Javis Howard missed Jumper.,52,55
10:56,2198,Zach Charles Defensive Rebound.,52,55
10:27,2198,Nick Mayo made Three Point Jumper. Assisted by Dedric Boyd.,55,55
9:56,2198,Foul on Dedric Boyd.,55,55
9:56,2127,Christian Keeling made Free Throw.,55,56
9:56,2127,Christian Keeling made Free Throw.,55,57
9:47,2198,Dedric Boyd missed Three Point Jumper.,55,57
9:47,2127,Christian Keeling Defensive Rebound.,55,57
9:37,2127,Javis Howard made Layup. Assisted by Travis McConico.,55,59
9:17,2127,Foul on Christian Keeling.,55,59
9:17,2198,Dedric Boyd made Free Throw.,56,59
9:17,2198,Dedric Boyd made Free Throw.,57,59
8:50,2127,Cortez Mitchell missed Layup.,57,59
8:50,2127,Jamaal David Offensive Rebound.,57,59
8:40,2198,Foul on Jackson Davis.,57,59
8:40,2127,Christian Keeling made Free Throw.,57,60
8:40,2127,Christian Keeling made Free Throw.,57,61
8:27,2198,Jackson Davis missed Layup.,57,61
8:27,2127,Christian Keeling Block.,57,61
8:26,2127,Christian Keeling Defensive Rebound.,57,61
8:06,2198,Foul on Dillon Avare.,57,61
8:06,2127,Cortez Mitchell missed Free Throw.,57,61
8:06,2127,Charleston Southern Deadball Team Rebound.,57,61
8:06,2127,Cortez Mitchell made Free Throw.,57,62
7:47,2198,Jackson Davis Turnover.,57,62
7:46,2127,Javis Howard Steal.,57,62
7:44,2198,Foul on Jackson Davis.,57,62
7:44,2127,Official TV Timeout,57,62
7:44,2127,Christian Keeling made Free Throw.,57,63
7:44,2127,Christian Keeling made Free Throw.,57,64
7:27,2198,Dedric Boyd Turnover.,57,64
7:26,2127,Jamaal David Steal.,57,64
7:11,2127,Christian Keeling missed Layup.,57,64
7:11,2198,DeAndre Dishman Defensive Rebound.,57,64
7:00,2198,Dedric Boyd missed Three Point Jumper.,57,64
7:00,2127,Deontaye Buskey Defensive Rebound.,57,64
6:33,2127,Deontaye Buskey missed Jumper.,57,64
6:33,2127,Charleston Southern Offensive Rebound.,57,64
6:13,2127,Travis McConico missed Jumper.,57,64
6:13,2198,DeAndre Dishman Defensive Rebound.,57,64
5:54,2198,Peyton Broughton missed Jumper.,57,64
5:54,2198,DeAndre Dishman Offensive Rebound.,57,64
5:31,2198,Dujuanta Weaver made Three Point Jumper. Assisted by Nick Mayo.,60,64
4:57,2198,Foul on Nick Mayo.,60,64
4:57,2127,Jamaal David missed Free Throw.,60,64
4:57,2127,Charleston Southern Deadball Team Rebound.,60,64
4:57,2127,Jamaal David made Free Throw.,60,65
4:31,2198,Dedric Boyd Turnover.,60,65
4:30,2127,Cortez Mitchell Steal.,60,65
4:09,2127,Ty Jones Turnover.,60,65
3:50,2127,Foul on Ty Jones.,60,65
3:50,2127,Official TV Timeout,60,65
3:50,2198,Dedric Boyd missed Free Throw.,60,65
3:50,2198,Eastern Kentucky Deadball Team Rebound.,60,65
3:50,2198,Dedric Boyd made Free Throw.,61,65
3:27,2127,Christian Keeling missed Jumper.,61,65
3:27,2198,DeAndre Dishman Defensive Rebound.,61,65
2:59,2198,Dedric Boyd missed Three Point Jumper.,61,65
2:59,2198,DeAndre Dishman Offensive Rebound.,61,65
2:56,2198,DeAndre Dishman made Layup.,63,65
2:40,2127,Cortez Mitchell missed Layup.,63,65
2:40,2198,Zach Charles Block.,63,65
2:38,2198,Zach Charles Defensive Rebound.,63,65
2:38,2198,Eastern Kentucky  Timeout,63,65
2:38,2127,Foul on Jordan Jones.,63,65
2:38,2198,Zach Charles made Free Throw.,64,65
2:21,2127,Christian Keeling Turnover.,64,65
2:21,2198,Nick Mayo Steal.,64,65
2:01,2198,DeAndre Dishman made Layup. Assisted by Dujuanta Weaver.,66,65
2:01,2127,Foul on Jordan Jones.,66,65
2:01,2198,DeAndre Dishman missed Free Throw.,66,65
2:01,2127,Travis McConico Defensive Rebound.,66,65
1:45,2127,Cortez Mitchell Turnover.,66,65
1:45,2198,Dujuanta Weaver Steal.,66,65
1:25,2198,Dujuanta Weaver missed Jumper.,66,65
1:25,2198,DeAndre Dishman Offensive Rebound.,66,65
1:06,2198,Dedric Boyd missed Jumper.,66,65
1:06,2127,Phlandrous Fleming Jr Block.,66,65
1:03,2127,Javis Howard Defensive Rebound.,66,65
0:42,2127,Foul on Travis McConico.,66,65
0:42,2127,Travis McConico Turnover.,66,65
0:42,2198,Eastern Kentucky  Timeout,66,65
0:19,2198,Dedric Boyd missed Jumper.,66,65
0:19,2127,Cortez Mitchell Defensive Rebound.,66,65
0:16,2198,Foul on Nick Mayo.,66,65
0:16,2127,Cortez Mitchell missed Free Throw.,66,65
0:16,2127,Charleston Southern Deadball Team Rebound.,66,65
0:16,2198,Eastern Kentucky  Timeout,66,65
0:16,2127,Cortez Mitchell missed Free Throw.,66,65
0:16,2198,Dedric Boyd Defensive Rebound.,66,65
0:15,2127,Foul on Cortez Mitchell.,66,65
0:15,2198,Dedric Boyd made Free Throw.,67,65
0:15,2198,Dedric Boyd made Free Throw.,68,65
0:06,2127,Christian Keeling missed Three Point Jumper.,68,65
0:06,2198,DeAndre Dishman Defensive Rebound.,68,65
0:02,2127,Foul on Phlandrous Fleming Jr.,68,65
0:02,2198,DeAndre Dishman made Free Throw.,69,65
0:02,2198,DeAndre Dishman made Free Throw.,70,65
0:00,2127,End of Game,70,65
