Maryland-Eastern Shore,156,Creighton,2379
11:03,2379,Sean Hoggs Defensive Rebound.,27,70
10:36,2379,Tyler Jones missed Three Point Jumper.,27,70
10:36,2379,Miryne Thomas Offensive Rebound.,27,70
10:34,156,Foul on Manny Suarez.,27,70
10:34,156,Official TV Timeout,27,70
10:12,2379,Foul on Tyler Jones.,27,70
10:12,2379,Tyler Jones Turnover.,27,70
9:59,156,Ty-Shon Alexander missed Jumper.,27,70
9:59,2379,Tyler Jones Defensive Rebound.,27,70
9:41,2379,Tyler Jones missed Jumper.,27,70
9:41,2379,Miryne Thomas Offensive Rebound.,27,70
9:36,2379,Miryne Thomas missed Jumper.,27,70
9:36,156,Ronnie Harrell Jr. Defensive Rebound.,27,70
9:30,156,Manny Suarez made Layup. Assisted by Ronnie Harrell Jr..,27,72
9:07,2379,Tyler Jones missed Jumper.,27,72
9:07,156,Manny Suarez Defensive Rebound.,27,72
8:55,156,Manny Suarez missed Dunk.,27,72
8:55,2379,Sean Hoggs Defensive Rebound.,27,72
8:31,2379,Logan McIntosh missed Layup.,27,72
8:31,156,Tyler Clement Block.,27,72
8:31,156,Manny Suarez Defensive Rebound.,27,72
8:22,156,Mitch Ballock missed Three Point Jumper.,27,72
8:22,2379,Tyler Jones Defensive Rebound.,27,72
7:52,2379,Logan McIntosh missed Layup.,27,72
7:52,156,Ronnie Harrell Jr. Defensive Rebound.,27,72
7:40,156,Ronnie Harrell Jr. missed Three Point Jumper.,27,72
7:40,156,Manny Suarez Offensive Rebound.,27,72
7:35,156,Tyler Clement missed Three Point Jumper.,27,72
7:35,2379,Sean Hoggs Defensive Rebound.,27,72
7:09,2379,Logan McIntosh missed Layup.,27,72
7:09,156,Ty-Shon Alexander Defensive Rebound.,27,72
6:48,156,Ronnie Harrell Jr. made Layup.,27,74
6:45,156,Creighton  Timeout,27,74
6:19,2379,Tyler Jones missed Layup.,27,74
6:19,156,Mitch Ballock Defensive Rebound.,27,74
6:09,156,Mitch Ballock Turnover.,27,74
5:53,2379,Tyler Jones missed Three Point Jumper.,27,74
5:53,156,Mitch Ballock Defensive Rebound.,27,74
5:17,156,Kaleb Joseph missed Three Point Jumper.,27,74
5:17,2379,Najee Fitzgerald Defensive Rebound.,27,74
5:00,2379,Cameron Bacote missed Three Point Jumper.,27,74
5:00,156,Kaleb Joseph Defensive Rebound.,27,74
4:53,2379,Foul on Ahmad Frost.,27,74
4:53,156,Kaleb Joseph made Free Throw.,27,75
4:53,156,Kaleb Joseph made Free Throw.,27,76
4:27,2379,Miryne Thomas missed Layup.,27,76
4:27,2379,Miryne Thomas Offensive Rebound.,27,76
4:22,2379,Miryne Thomas missed Layup.,27,76
4:22,2379,Ahmad Frost Offensive Rebound.,27,76
4:16,2379,Ahmad Frost made Jumper.,29,76
4:09,156,Tyler Clement missed Three Point Jumper.,29,76
4:09,156,Manny Suarez Offensive Rebound.,29,76
4:04,156,Manny Suarez made Layup.,29,78
3:54,2379,Miryne Thomas missed Three Point Jumper.,29,78
3:54,2379,Najee Fitzgerald Offensive Rebound.,29,78
3:40,2379,Logan McIntosh made Layup.,31,78
3:40,156,Foul on Mitch Ballock.,31,78
3:40,156,Official TV Timeout,31,78
3:40,2379,Logan McIntosh made Free Throw.,32,78
3:14,156,Ty-Shon Alexander made Three Point Jumper. Assisted by Tyler Clement.,32,81
2:54,2379,Miryne Thomas missed Three Point Jumper.,32,81
2:54,156,Manny Suarez Defensive Rebound.,32,81
2:46,156,Jordan Scurry made Three Point Jumper. Assisted by Ty-Shon Alexander.,32,84
2:18,2379,Logan McIntosh missed Three Point Jumper.,32,84
2:18,156,Manny Suarez Defensive Rebound.,32,84
2:06,156,Jordan Scurry missed Three Point Jumper.,32,84
2:06,2379,Miryne Thomas Defensive Rebound.,32,84
1:35,2379,Ahmad Frost made Jumper.,34,84
1:21,156,Tyler Clement missed Layup.,34,84
1:21,2379,Miryne Thomas Defensive Rebound.,34,84
1:14,2379,Logan McIntosh made Layup.,36,84
0:59,156,Tyler Clement made Three Point Jumper. Assisted by Ty-Shon Alexander.,36,87
0:43,156,Foul on Tyler Clement.,36,87
0:25,2379,Miryne Thomas missed Jumper.,36,87
0:24,156,Jordan Scurry Defensive Rebound.,36,87
0:00,156,End of Game,36,87
