Thomas (GA),Error,Samford,2535
9:02,-1,Foul on Eric Johnson.,19,29
8:59,2535,Triston Chambers Turnover.,19,29
8:59,2535,Foul on Triston Chambers.,19,29
8:51,-1,JaVoris Cooks missed Three Point Jumper.,19,29
8:51,2535,Triston Chambers Defensive Rebound.,19,29
8:34,2535,Stefan Lakic made Jumper. Assisted by Triston Chambers.,19,31
8:06,2535,Foul on Justin Coleman.,19,31
7:52,-1,Katrell Myers missed Jumper.,19,31
7:52,2535,Stefan Lakic Defensive Rebound.,19,31
7:38,2535,Official TV Timeout,19,31
7:27,2535,Eric Adams made Jumper.,19,33
7:00,-1,Willie Holloway Turnover.,19,33
6:43,2535,Demetrius Denzel-Dyson made Jumper. Assisted by Justin Coleman.,19,35
6:26,-1,JaVoris Cooks made Jumper. Assisted by Ivan Tomic.,21,35
6:15,2535,Stefan Lakic made Layup. Assisted by Justin Coleman.,21,37
6:15,-1,Foul on Dante DiSipio.,21,37
6:15,2535,Stefan Lakic made Free Throw.,21,38
6:04,2535,Foul on Triston Chambers.,21,38
6:04,-1,JaVoris Cooks missed Free Throw.,21,38
6:04,-1,Thomas (GA) Deadball Team Rebound.,21,38
6:04,-1,JaVoris Cooks made Free Throw.,22,38
5:46,2535,Stefan Lakic missed Layup.,22,38
5:46,-1,Thomas (GA) Defensive Rebound.,22,38
5:34,-1,Jalen Bonds missed Layup.,22,38
5:34,2535,Stefan Lakic Defensive Rebound.,22,38
5:27,2535,Josh Sharkey made Layup.,22,40
5:03,-1,Ivan Tomic made Jumper.,24,40
4:46,2535,Josh Sharkey missed Three Point Jumper.,24,40
4:46,2535,Eric Adams Offensive Rebound.,24,40
4:33,2535,Josh Sharkey Turnover.,24,40
4:30,-1,Jalen Bonds Steal.,24,40
4:28,-1,Jalen Bonds made Layup.,26,40
4:05,2535,Gerald Smith made Three Point Jumper. Assisted by Josh Sharkey.,26,43
3:51,-1,JaVoris Cooks Turnover.,26,43
3:50,2535,Stefan Lakic Steal.,26,43
3:40,2535,Stefan Lakic made Layup. Assisted by Josh Sharkey.,26,45
3:19,-1,Eric Johnson Turnover.,26,45
3:19,2535,Official TV Timeout,26,45
3:06,2535,Stefan Lakic missed Jumper.,26,45
3:06,2535,Alex Peters Offensive Rebound.,26,45
3:02,2535,Alex Peters made Layup.,26,47
2:47,-1,DJ Roulhac missed Layup.,26,47
2:47,2535,Stefan Lakic Defensive Rebound.,26,47
2:26,2535,Justin Coleman missed Layup.,26,47
2:26,2535,Samford Offensive Rebound.,26,47
2:17,-1,Foul on Willie Holloway.,26,47
2:17,2535,Alex Peters made Free Throw.,26,48
2:17,2535,Alex Peters missed Free Throw.,26,48
2:17,-1,Jerodd Blount Defensive Rebound.,26,48
1:54,-1,Ivan Tomic made Three Point Jumper. Assisted by Jerodd Blount.,29,48
1:28,-1,Foul on Forrest Freeland.,29,48
1:28,2535,Alex Peters missed Free Throw.,29,48
1:28,2535,Samford Deadball Team Rebound.,29,48
1:28,2535,Alex Peters made Free Throw.,29,49
1:15,-1,Hezekiah Goodwin missed Three Point Jumper.,29,49
1:15,2535,Samford Defensive Rebound.,29,49
1:00,-1,Foul on Jerodd Blount.,29,49
1:00,2535,Demetrius Denzel-Dyson made Free Throw.,29,50
1:00,2535,Demetrius Denzel-Dyson made Free Throw.,29,51
1:00,2535,Samford  Timeout,29,51
0:45,-1,Jerodd Blount missed Three Point Jumper.,29,51
0:45,2535,Justin Coleman Defensive Rebound.,29,51
0:23,2535,Josh Sharkey Turnover.,29,51
0:21,-1,Forrest Freeland Steal.,29,51
0:17,-1,Katrell Myers missed Layup.,29,51
0:17,2535,Demetrius Denzel-Dyson Defensive Rebound.,29,51
0:15,-1,Foul on Katrell Myers.,29,51
0:15,2535,Demetrius Denzel-Dyson made Free Throw.,29,52
0:15,2535,Demetrius Denzel-Dyson made Free Throw.,29,53
0:10,-1,JaVoris Cooks missed Jumper.,29,53
0:10,2535,Eric Adams Defensive Rebound.,29,53
0:05,2535,Josh Sharkey Turnover.,29,53
0:01,-1,Ivan Tomic missed Jumper.,29,53
0:01,2535,Josh Sharkey Defensive Rebound.,29,53
0:01,-1,Foul on Eric Johnson.,29,53
0:01,2535,Demetrius Denzel-Dyson made Free Throw.,29,54
0:01,2535,Demetrius Denzel-Dyson missed Free Throw.,29,54
0:01,-1,JaVoris Cooks Defensive Rebound.,29,54
0:00,2535,End of 1st half,29,53
19:47,-1,JaVoris Cooks made Jumper.,31,54
19:28,2535,Eric Adams made Jumper.,31,56
19:13,-1,JaVoris Cooks missed Layup.,31,56
19:13,2535,Triston Chambers Block.,31,56
19:11,2535,Eric Adams Defensive Rebound.,31,56
19:05,2535,Justin Coleman Turnover.,31,56
18:53,-1,DJ Roulhac Turnover.,31,56
18:53,-1,Foul on DJ Roulhac.,31,56
18:32,-1,Foul on Willie Holloway.,31,56
18:32,2535,Eric Adams Turnover.,31,56
18:32,2535,Foul on Eric Adams.,31,56
18:17,-1,Katrell Myers missed Layup.,31,56
18:17,-1,Dante DiSipio Offensive Rebound.,31,56
18:13,-1,Dante DiSipio missed Jumper.,31,56
18:13,2535,Eric Adams Block.,31,56
18:12,-1,Dante DiSipio Offensive Rebound.,31,56
18:11,-1,Dante DiSipio made Layup.,33,56
18:11,2535,Foul on Eric Adams.,33,56
18:11,-1,Dante DiSipio missed Free Throw.,33,56
18:11,2535,Stefan Lakic Defensive Rebound.,33,56
18:02,2535,Stefan Lakic made Three Point Jumper. Assisted by Justin Coleman.,33,59
17:44,-1,Jakari Bush missed Jumper.,33,59
17:44,2535,Justin Coleman Defensive Rebound.,33,59
17:35,2535,Demetrius Denzel-Dyson missed Jumper.,33,59
17:35,-1,Johnnel Ginnie Defensive Rebound.,33,59
17:27,2535,Foul on Demetrius Denzel-Dyson.,33,59
17:27,-1,Katrell Myers made Free Throw.,34,59
17:27,-1,Katrell Myers made Free Throw.,35,59
17:17,2535,Stefan Lakic Turnover.,35,59
17:05,2535,Foul on Stefan Lakic.,35,59
16:44,-1,Jalen Bonds missed Jumper.,35,59
16:44,2535,Justin Coleman Defensive Rebound.,35,59
16:34,2535,Justin Coleman Turnover.,35,59
16:32,-1,Katrell Myers Steal.,35,59
16:21,-1,JaVoris Cooks missed Three Point Jumper.,35,59
16:21,2535,Eric Adams Defensive Rebound.,35,59
16:10,-1,Foul on Johnnel Ginnie.,35,59
16:10,2535,Alex Thompson made Free Throw.,35,60
16:10,2535,Alex Thompson made Free Throw.,35,61
16:01,-1,Jakari Bush Turnover.,35,61
15:58,2535,Eric Adams Steal.,35,61
15:55,2535,Alex Thompson missed Three Point Jumper.,35,61
15:55,-1,Katrell Myers Defensive Rebound.,35,61
15:45,-1,JaVoris Cooks missed Three Point Jumper.,35,61
15:45,2535,Eric Adams Defensive Rebound.,35,61
15:37,2535,Triston Chambers Turnover.,35,61
15:37,2535,Official TV Timeout,35,61
15:21,-1,Katrell Myers Turnover.,35,61
15:20,2535,Josh Sharkey Steal.,35,61
15:13,2535,Josh Sharkey Turnover.,35,61
15:00,-1,Jakari Bush Turnover.,35,61
15:00,2535,Josh Sharkey Steal.,35,61
14:56,2535,Alex Thompson missed Dunk.,35,61
14:56,-1,Jalen Bonds Defensive Rebound.,35,61
14:49,-1,DJ Roulhac Turnover.,35,61
14:47,2535,Eric Adams Steal.,35,61
14:47,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,35,61
14:47,-1,Thomas (GA) Defensive Rebound.,35,61
14:47,2535,Foul on Demetrius Denzel-Dyson.,35,61
14:34,-1,JaVoris Cooks made Jumper. Assisted by Eric Johnson.,37,61
14:17,-1,Foul on Ivan Tomic.,37,61
14:17,2535,Demetrius Denzel-Dyson made Free Throw.,37,62
14:17,2535,Demetrius Denzel-Dyson made Free Throw.,37,63
14:07,-1,Eric Johnson missed Layup.,37,63
14:07,2535,Josh Sharkey Defensive Rebound.,37,63
13:47,2535,Alex Thompson made Layup. Assisted by Josh Sharkey.,37,65
13:37,-1,Johnnel Ginnie Turnover.,37,65
13:37,-1,Foul on Johnnel Ginnie.,37,65
13:30,2535,Alex Thompson missed Jumper.,37,65
13:30,2535,Samford Offensive Rebound.,37,65
13:16,2535,Alex Thompson made Three Point Jumper. Assisted by Josh Sharkey.,37,68
12:53,2535,Foul on Alex Peters.,37,68
12:53,-1,Willie Holloway made Free Throw.,38,68
12:53,-1,Willie Holloway made Free Throw.,39,68
12:36,2535,Alex Thompson missed Three Point Jumper.,39,68
12:36,-1,Jakari Bush Defensive Rebound.,39,68
12:28,-1,Jakari Bush Turnover.,39,68
12:13,2535,Josh Sharkey made Jumper. Assisted by Alex Peters.,39,70
11:54,-1,Willie Holloway missed Jumper.,39,70
11:54,2535,Triston Chambers Defensive Rebound.,39,70
11:36,2535,Alex Thompson made Jumper. Assisted by Josh Sharkey.,39,72
11:08,-1,Hezekiah Goodwin made Three Point Jumper. Assisted by Jakari Bush.,42,72
11:04,-1,Thomas (GA)  Timeout,42,72
11:04,2535,Official TV Timeout,42,72
10:50,2535,Alex Thompson missed Jumper.,42,72
10:50,-1,Jalen Bonds Defensive Rebound.,42,72
10:40,-1,Hezekiah Goodwin missed Three Point Jumper.,42,72
10:40,2535,Alex Peters Defensive Rebound.,42,72
10:26,2535,Josh Sharkey missed Jumper.,42,72
10:26,-1,Jakari Bush Defensive Rebound.,42,72
10:20,-1,Jakari Bush Turnover.,42,72
10:17,2535,Josh Sharkey Steal.,42,72
10:12,2535,Triston Chambers made Three Point Jumper. Assisted by Josh Sharkey.,42,75
10:11,2535,Official TV Timeout,42,75
10:05,-1,Jakari Bush Turnover.,42,75
10:04,2535,Alex Peters Steal.,42,75
9:37,2535,Alex Thompson made Jumper. Assisted by Triston Chambers.,42,77
9:24,-1,Jerodd Blount missed Layup.,42,77
9:24,2535,Justin Coleman Defensive Rebound.,42,77
9:17,-1,Foul on Eric Johnson.,42,77
9:17,2535,Alex Peters missed Free Throw.,42,77
9:17,2535,Samford Deadball Team Rebound.,42,77
9:17,2535,Alex Peters missed Free Throw.,42,77
9:17,-1,Jalen Bonds Defensive Rebound.,42,77
8:58,-1,Eric Johnson Turnover.,42,77
8:58,-1,Foul on Eric Johnson.,42,77
8:43,2535,Gerald Smith Turnover.,42,77
8:41,-1,Hezekiah Goodwin Steal.,42,77
8:33,-1,JaVoris Cooks missed Jumper.,42,77
8:33,2535,Stefan Lakic Defensive Rebound.,42,77
8:14,-1,Foul on Willie Holloway.,42,77
8:14,2535,Alex Peters missed Free Throw.,42,77
8:14,2535,Samford Deadball Team Rebound.,42,77
8:14,2535,Alex Peters made Free Throw.,42,78
8:00,-1,Jalen Bonds missed Jumper.,42,78
8:00,2535,Josh Sharkey Defensive Rebound.,42,78
7:50,2535,Justin Coleman made Jumper.,42,80
7:37,-1,DJ Roulhac Turnover.,42,80
7:35,2535,Stefan Lakic Steal.,42,80
7:29,-1,Foul on Hezekiah Goodwin.,42,80
7:29,2535,Official TV Timeout,42,80
7:29,2535,Josh Sharkey made Free Throw.,42,81
7:29,2535,Josh Sharkey made Free Throw.,42,82
7:17,-1,Katrell Myers Turnover.,42,82
7:15,2535,Josh Sharkey Steal.,42,82
7:12,-1,Foul on Katrell Myers.,42,82
7:12,2535,Eric Adams missed Free Throw.,42,82
7:12,2535,Samford Deadball Team Rebound.,42,82
7:12,2535,Eric Adams missed Free Throw.,42,82
7:12,-1,Katrell Myers Defensive Rebound.,42,82
6:58,-1,Jalen Bonds made Layup. Assisted by JaVoris Cooks.,44,82
6:46,2535,Justin Coleman missed Jumper.,44,82
6:46,-1,Jalen Bonds Defensive Rebound.,44,82
6:27,-1,Katrell Myers Turnover.,44,82
6:26,2535,Stefan Lakic Steal.,44,82
6:24,2535,Stefan Lakic made Layup.,44,84
6:24,-1,Foul on Jalen Bonds.,44,84
6:24,2535,Stefan Lakic made Free Throw.,44,85
5:58,-1,Hezekiah Goodwin missed Three Point Jumper.,44,85
5:58,2535,Eric Adams Defensive Rebound.,44,85
5:45,2535,Eric Adams made Jumper. Assisted by Stefan Lakic.,44,87
5:18,-1,Jalen Bonds missed Layup.,44,87
5:18,2535,Eric Adams Block.,44,87
5:16,-1,Forrest Freeland Offensive Rebound.,44,87
5:14,-1,Forrest Freeland missed Jumper.,44,87
5:14,2535,Stefan Lakic Defensive Rebound.,44,87
5:05,2535,Eric Adams made Jumper. Assisted by Demetrius Denzel-Dyson.,44,89
4:32,-1,Hezekiah Goodwin Turnover.,44,89
4:31,2535,Stefan Lakic Steal.,44,89
4:29,-1,Foul on Jalen Bonds.,44,89
4:29,2535,Stefan Lakic made Free Throw.,44,90
4:29,2535,Stefan Lakic made Free Throw.,44,91
4:19,2535,Tanner Tapp Turnover.,44,91
4:16,-1,DJ Roulhac Steal.,44,91
4:14,-1,DJ Roulhac missed Layup.,44,91
4:14,-1,Jerodd Blount Offensive Rebound.,44,91
4:13,2535,Foul on Stefan Lakic.,44,91
4:13,-1,Jerodd Blount made Free Throw.,45,91
4:13,-1,Jerodd Blount made Free Throw.,46,91
4:04,-1,Foul on Eric Johnson.,46,91
4:04,2535,Josh Sharkey missed Free Throw.,46,91
4:04,2535,Samford Deadball Team Rebound.,46,91
4:04,2535,Josh Sharkey made Free Throw.,46,92
3:48,-1,Jerodd Blount missed Three Point Jumper.,46,92
3:48,2535,Alex Thompson Defensive Rebound.,46,92
3:33,2535,Alex Thompson missed Three Point Jumper.,46,92
3:33,-1,Ivan Tomic Defensive Rebound.,46,92
3:18,-1,Ivan Tomic missed Jumper.,46,92
3:18,2535,Stefan Lakic Defensive Rebound.,46,92
2:59,2535,Alex Thompson made Jumper.,46,94
2:38,-1,DJ Roulhac missed Jumper.,46,94
2:38,2535,Triston Chambers Defensive Rebound.,46,94
2:30,-1,Foul on Jakari Bush.,46,94
2:30,2535,Official TV Timeout,46,94
2:30,2535,Josh Sharkey made Free Throw.,46,95
2:30,2535,Josh Sharkey made Free Throw.,46,96
2:10,-1,Jakari Bush Turnover.,46,96
2:06,-1,Foul on Jakari Bush.,46,96
2:06,2535,Josh Sharkey missed Free Throw.,46,96
2:06,2535,Samford Deadball Team Rebound.,46,96
2:06,2535,Josh Sharkey missed Free Throw.,46,96
2:06,-1,DJ Roulhac Defensive Rebound.,46,96
2:00,-1,Ivan Tomic Turnover.,46,96
2:00,-1,Foul on Ivan Tomic.,46,96
1:42,2535,Tanner Tapp missed Three Point Jumper.,46,96
1:42,-1,Jakari Bush Defensive Rebound.,46,96
1:34,-1,Jerodd Blount made Jumper. Assisted by Jakari Bush.,48,96
1:34,2535,Foul on Triston Chambers.,48,96
1:34,-1,Jerodd Blount made Free Throw.,49,96
1:19,2535,Alex Thompson made Jumper.,49,98
0:57,-1,Jerodd Blount missed Three Point Jumper.,49,98
0:57,2535,Alex Thompson Defensive Rebound.,49,98
0:52,2535,Tanner Tapp Turnover.,49,98
0:35,-1,Dante DiSipio made Jumper. Assisted by Hezekiah Goodwin.,51,98
0:25,2535,Tanner Tapp missed Three Point Jumper.,51,98
0:25,-1,Jerodd Blount Defensive Rebound.,51,98
0:25,-1,Jakari Bush Turnover.,51,98
0:01,2535,Triston Chambers missed Three Point Jumper.,51,98
0:01,2535,Josh Sharkey Offensive Rebound.,51,98
0:00,2535,End of Game,51,98
