South Dakota State,38,Colorado,2571
10:22,38,Namon Wright made Three Point Jumper. Assisted by McKinley Wright IV.,14,25
10:09,2571,Mike Daum missed Three Point Jumper.,14,25
10:09,38,Tyler Bey Defensive Rebound.,14,25
10:06,2571,Foul on Lane Severyn.,14,25
9:49,38,Namon Wright missed Three Point Jumper.,14,25
9:49,2571,Skyler Flatten Defensive Rebound.,14,25
9:27,2571,Brandon Key missed Layup.,14,25
9:27,38,Lucas Siewert Block.,14,25
9:25,2571,South Dakota State Offensive Rebound.,14,25
9:22,2571,Mike Daum made Three Point Jumper. Assisted by David Jenkins Jr..,17,25
9:05,38,Deleon Brown missed Layup.,17,25
9:05,2571,Reed Tellinghuisen Defensive Rebound.,17,25
8:58,2571,David Jenkins Jr. missed Jumper.,17,25
8:58,38,Namon Wright Defensive Rebound.,17,25
8:50,38,Dominique Collier made Layup.,17,27
8:48,2571,Foul on Chris Howell.,17,27
8:48,38,Dominique Collier made Free Throw.,17,28
8:41,38,Foul on Deleon Brown.,17,28
8:27,2571,Chris Howell missed Layup.,17,28
8:27,2571,Tevin King Offensive Rebound.,17,28
8:21,2571,Chris Howell missed Layup.,17,28
8:21,2571,Chris Howell Offensive Rebound.,17,28
8:21,38,Foul on Tyler Bey.,17,28
8:21,2571,Mike Daum made Free Throw.,18,28
8:21,2571,Mike Daum made Free Throw.,19,28
8:13,38,Dominique Collier missed Three Point Jumper.,19,28
8:13,2571,Chris Howell Defensive Rebound.,19,28
8:04,2571,David Jenkins Jr. Turnover.,19,28
8:03,38,Dominique Collier Steal.,19,28
7:49,38,Namon Wright missed Three Point Jumper.,19,28
7:49,2571,Chris Howell Defensive Rebound.,19,28
7:44,38,Foul on Lazar Nikolic.,19,28
7:44,2571,Foul on Reed Tellinghuisen.,19,28
7:44,38,Official TV Timeout,19,28
7:32,2571,David Jenkins Jr. made Jumper.,21,28
7:07,38,D'Shawn Schwartz missed Three Point Jumper.,21,28
7:07,2571,Mike Daum Defensive Rebound.,21,28
6:54,2571,Tevin King Turnover.,21,28
6:53,38,Lazar Nikolic Steal.,21,28
6:48,38,Dominique Collier missed Layup.,21,28
6:48,2571,Mike Daum Defensive Rebound.,21,28
6:46,38,Foul on Dominique Collier.,21,28
6:46,2571,Mike Daum made Free Throw.,22,28
6:46,2571,Mike Daum made Free Throw.,23,28
6:21,38,Deleon Brown missed Jumper.,23,28
6:21,38,McKinley Wright IV Offensive Rebound.,23,28
6:18,38,McKinley Wright IV made Layup.,23,30
5:55,2571,Mike Daum missed Layup.,23,30
5:55,38,Lazar Nikolic Defensive Rebound.,23,30
5:49,38,McKinley Wright IV missed Layup.,23,30
5:49,2571,Reed Tellinghuisen Block.,23,30
5:49,2571,South Dakota State Defensive Rebound.,23,30
5:26,2571,Mike Daum made Layup.,25,30
5:12,38,McKinley Wright IV Turnover.,25,30
5:11,2571,Skyler Flatten Steal.,25,30
5:09,2571,Skyler Flatten missed Layup.,25,30
5:09,38,McKinley Wright IV Block.,25,30
5:07,38,Colorado Defensive Rebound.,25,30
4:57,38,Foul on Lucas Siewert.,25,30
4:57,38,Lucas Siewert Turnover.,25,30
4:45,2571,Skyler Flatten missed Three Point Jumper.,25,30
4:45,38,Lucas Siewert Defensive Rebound.,25,30
4:31,38,Lucas Siewert made Three Point Jumper. Assisted by McKinley Wright IV.,25,33
4:17,2571,Brandon Key made Layup.,27,33
4:14,38,Colorado  Timeout,27,33
3:56,38,Foul on Lazar Nikolic.,27,33
3:56,38,Lazar Nikolic Turnover.,27,33
3:47,2571,Skyler Flatten Turnover.,27,33
3:46,38,McKinley Wright IV Steal.,27,33
3:23,38,Lucas Siewert missed Jumper.,27,33
3:23,2571,Mike Daum Defensive Rebound.,27,33
3:06,2571,Skyler Flatten missed Three Point Jumper.,27,33
3:06,38,Tyler Bey Defensive Rebound.,27,33
2:57,38,McKinley Wright IV made Jumper.,27,35
2:55,2571,South Dakota State  Timeout,27,35
2:40,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Brandon Key.,30,35
2:25,38,Tyler Bey made Jumper. Assisted by McKinley Wright IV.,30,37
2:12,2571,David Jenkins Jr. made Three Point Jumper.,33,37
1:58,38,Namon Wright Turnover.,33,37
1:51,2571,Mike Daum missed Layup.,33,37
1:51,2571,Mike Daum Offensive Rebound.,33,37
1:48,2571,Mike Daum missed Layup.,33,37
1:48,38,Tyler Bey Defensive Rebound.,33,37
1:46,38,Tyler Bey Turnover.,33,37
1:45,2571,Brandon Key Steal.,33,37
1:44,2571,David Jenkins Jr. Turnover.,33,37
1:32,38,Namon Wright made Jumper.,33,39
1:18,2571,David Jenkins Jr. missed Three Point Jumper.,33,39
1:18,38,Dallas Walton Defensive Rebound.,33,39
1:16,2571,Foul on Mike Daum.,33,39
1:16,38,Namon Wright made Free Throw.,33,40
1:16,38,Namon Wright made Free Throw.,33,41
0:59,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Tevin King.,36,41
0:39,38,Dallas Walton made Jumper. Assisted by Namon Wright.,36,43
0:34,2571,Reed Tellinghuisen Turnover.,36,43
0:05,38,McKinley Wright IV missed Layup.,36,43
0:05,38,Colorado Deadball Team Rebound.,36,43
0:02,38,Colorado  Turnover.,36,43
0:00,2571,Brandon Key missed Layup.,36,43
0:00,2571,South Dakota State Deadball Team Rebound.,36,43
0:00,38,End of 1st half,36,43
19:52,38,George King Turnover.,36,43
19:52,38,Foul on George King.,36,43
19:33,2571,Tevin King missed Layup.,36,43
19:33,2571,Tevin King Offensive Rebound.,36,43
19:30,2571,Tevin King made Layup.,38,43
19:12,2571,Foul on David Jenkins Jr..,38,43
19:11,38,Deleon Brown missed Jumper.,38,43
19:11,38,Colorado Offensive Rebound.,38,43
18:57,38,McKinley Wright IV made Jumper. Assisted by Tyler Bey.,38,45
18:36,2571,David Jenkins Jr. missed Jumper.,38,45
18:36,38,Colorado Defensive Rebound.,38,45
18:20,38,D'Shawn Schwartz made Jumper. Assisted by Deleon Brown.,38,47
18:03,2571,Mike Daum made Layup.,40,47
17:49,38,McKinley Wright IV Turnover.,40,47
17:27,2571,Reed Tellinghuisen made Jumper.,42,47
17:02,38,D'Shawn Schwartz missed Three Point Jumper.,42,47
17:02,2571,Skyler Flatten Defensive Rebound.,42,47
16:52,38,Foul on Lazar Nikolic.,42,47
16:38,2571,Reed Tellinghuisen missed Layup.,42,47
16:38,2571,South Dakota State Deadball Team Rebound.,42,47
16:36,2571,Mike Daum missed Layup.,42,47
16:36,38,D'Shawn Schwartz Defensive Rebound.,42,47
16:25,38,Lucas Siewert made Layup.,42,49
16:02,38,Foul on Tyler Bey.,42,49
16:02,2571,David Jenkins Jr. made Free Throw.,43,49
16:02,2571,David Jenkins Jr. made Free Throw.,44,49
16:02,38,Official TV Timeout,44,49
15:53,38,Official TV Timeout,44,49
15:45,2571,Foul on Skyler Flatten.,44,49
15:40,38,McKinley Wright IV made Jumper.,44,51
15:23,2571,David Jenkins Jr. missed Jumper.,44,51
15:23,2571,South Dakota State Offensive Rebound.,44,51
15:15,38,Foul on Tyler Bey.,44,51
15:12,2571,Skyler Flatten missed Layup.,44,51
15:12,2571,Mike Daum Offensive Rebound.,44,51
15:10,2571,Mike Daum made Jumper.,46,51
14:58,38,McKinley Wright IV missed Jumper.,46,51
14:58,2571,Tevin King Defensive Rebound.,46,51
14:36,2571,Tevin King missed Three Point Jumper.,46,51
14:36,38,Tyler Bey Defensive Rebound.,46,51
14:24,38,Lucas Siewert made Jumper.,46,53
14:03,2571,Skyler Flatten made Three Point Jumper. Assisted by David Jenkins Jr..,49,53
13:37,38,Dominique Collier made Three Point Jumper. Assisted by McKinley Wright IV.,49,56
13:13,2571,Mike Daum made Layup.,51,56
12:57,2571,Foul on Tevin King.,51,56
12:53,38,Deleon Brown missed Three Point Jumper.,51,56
12:53,2571,Skyler Flatten Defensive Rebound.,51,56
12:46,2571,Brandon Key missed Three Point Jumper.,51,56
12:46,38,Lucas Siewert Defensive Rebound.,51,56
12:37,38,Deleon Brown missed Layup.,51,56
12:37,2571,Lane Severyn Block.,51,56
12:36,38,Colorado Offensive Rebound.,51,56
12:17,38,George King made Layup.,51,58
11:58,2571,Reed Tellinghuisen made Jumper.,53,58
11:44,2571,Foul on Lane Severyn.,53,58
11:44,38,Official TV Timeout,53,58
11:39,38,Deleon Brown made Layup.,53,60
11:24,2571,David Jenkins Jr. missed Layup.,53,60
11:24,2571,Mike Daum Offensive Rebound.,53,60
11:21,2571,Mike Daum missed Layup.,53,60
11:21,2571,Lane Severyn Offensive Rebound.,53,60
11:18,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Tevin King.,56,60
10:57,2571,Foul on Tevin King.,56,60
10:52,38,Namon Wright missed Jumper.,56,60
10:52,2571,South Dakota State Defensive Rebound.,56,60
10:31,2571,Mike Daum Turnover.,56,60
10:31,38,Dominique Collier Steal.,56,60
10:13,2571,Foul on Lane Severyn.,56,60
10:03,38,Dominique Collier missed Layup.,56,60
10:03,2571,Mike Daum Defensive Rebound.,56,60
9:57,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Brandon Key.,59,60
9:25,2571,Foul on Tevin King.,59,60
9:25,38,George King made Free Throw.,59,61
9:25,38,George King made Free Throw.,59,62
9:04,38,Foul on Dominique Collier.,59,62
8:59,2571,Mike Daum made Jumper. Assisted by Brandon Key.,61,62
8:34,38,Deleon Brown made Three Point Jumper. Assisted by McKinley Wright IV.,61,65
8:20,38,Foul on McKinley Wright IV.,61,65
8:10,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Skyler Flatten.,64,65
7:50,38,Lucas Siewert missed Three Point Jumper.,64,65
7:50,2571,Chris Howell Defensive Rebound.,64,65
7:31,2571,Chris Howell made Layup.,66,65
7:25,38,Colorado  Timeout,66,65
7:04,38,George King made Three Point Jumper. Assisted by Lucas Siewert.,66,68
6:49,2571,Brandon Key made Layup.,68,68
6:40,2571,Foul on Brandon Key.,68,68
6:40,38,Official TV Timeout,68,68
6:40,38,McKinley Wright IV made Free Throw.,68,69
6:40,38,McKinley Wright IV made Free Throw.,68,70
6:25,2571,Mike Daum made Layup. Assisted by Brandon Key.,70,70
6:07,38,Lucas Siewert made Layup.,70,72
5:42,2571,Brandon Key made Layup.,72,72
5:26,38,Deleon Brown missed Layup.,72,72
5:26,38,McKinley Wright IV Offensive Rebound.,72,72
5:22,38,George King made Three Point Jumper. Assisted by McKinley Wright IV.,72,75
5:11,38,Foul on George King.,72,75
5:11,2571,Mike Daum missed Free Throw.,72,75
5:11,38,Lazar Nikolic Defensive Rebound.,72,75
5:09,38,McKinley Wright IV Turnover.,72,75
5:07,2571,Brandon Key Steal.,72,75
5:02,2571,David Jenkins Jr. missed Three Point Jumper.,72,75
5:02,38,McKinley Wright IV Defensive Rebound.,72,75
4:50,38,McKinley Wright IV missed Three Point Jumper.,72,75
4:50,38,Lazar Nikolic Offensive Rebound.,72,75
4:45,38,Deleon Brown missed Three Point Jumper.,72,75
4:45,38,McKinley Wright IV Offensive Rebound.,72,75
4:40,38,McKinley Wright IV Turnover.,72,75
4:40,2571,Brandon Key Steal.,72,75
4:40,38,Foul on Namon Wright.,72,75
4:40,2571,Brandon Key made Free Throw.,73,75
4:40,2571,Brandon Key made Free Throw.,74,75
4:12,38,Lucas Siewert made Jumper.,74,77
3:50,38,Foul on Lazar Nikolic.,74,77
3:50,38,Official TV Timeout,74,77
3:50,2571,Brandon Key made Free Throw.,75,77
3:50,2571,Brandon Key made Free Throw.,76,77
3:23,38,Namon Wright missed Jumper.,76,77
3:23,2571,David Jenkins Jr. Defensive Rebound.,76,77
3:10,2571,Mike Daum missed Layup.,76,77
3:10,38,Namon Wright Defensive Rebound.,76,77
2:59,38,McKinley Wright IV missed Layup.,76,77
2:59,38,Lazar Nikolic Offensive Rebound.,76,77
2:56,38,Lazar Nikolic made Dunk.,76,79
2:41,2571,Tevin King made Layup.,78,79
2:39,2571,South Dakota State  Timeout,78,79
2:29,38,McKinley Wright IV made Jumper.,78,81
2:07,2571,Mike Daum missed Three Point Jumper.,78,81
2:07,2571,Brandon Key Offensive Rebound.,78,81
2:00,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Brandon Key.,81,81
1:45,38,Namon Wright made Three Point Jumper. Assisted by Lucas Siewert.,81,84
1:35,2571,South Dakota State  Timeout,81,84
1:30,2571,Tevin King missed Layup.,81,84
1:30,38,Tyler Bey Defensive Rebound.,81,84
1:12,38,Colorado  Timeout,81,84
0:58,38,Namon Wright Turnover.,81,84
0:56,2571,Reed Tellinghuisen Steal.,81,84
0:40,2571,David Jenkins Jr. made Three Point Jumper.,84,84
0:36,38,Colorado  Timeout,84,84
0:29,38,McKinley Wright IV missed Layup.,84,84
0:29,38,McKinley Wright IV Offensive Rebound.,84,84
0:27,38,McKinley Wright IV made Layup.,84,86
0:06,38,Foul on Lazar Nikolic.,84,86
0:06,2571,Mike Daum made Free Throw.,85,86
0:06,2571,Mike Daum made Free Throw.,86,86
0:01,38,McKinley Wright IV missed Jumper.,86,86
0:01,38,Colorado Deadball Team Rebound.,86,86
0:00,38,End of 2nd half,86,86
4:32,38,Colorado  Timeout,86,86
4:29,38,Foul on Namon Wright.,86,86
4:29,38,Namon Wright Turnover.,86,86
4:16,2571,Mike Daum made Layup.,88,86
3:54,38,Tyler Bey made Jumper. Assisted by Deleon Brown.,88,88
3:27,2571,David Jenkins Jr. made Layup.,90,88
3:05,38,Foul on Lucas Siewert.,90,88
3:05,38,Lucas Siewert Turnover.,90,88
2:52,2571,David Jenkins Jr. made Jumper.,92,88
2:33,38,Namon Wright missed Jumper.,92,88
2:33,2571,Mike Daum Defensive Rebound.,92,88
2:00,2571,Skyler Flatten made Layup.,94,88
1:44,38,McKinley Wright IV made Jumper.,94,90
1:15,2571,David Jenkins Jr. missed Jumper.,94,90
1:15,2571,Mike Daum Offensive Rebound.,94,90
1:13,38,Foul on Tyler Bey.,94,90
1:13,2571,Mike Daum missed Free Throw.,94,90
1:13,2571,South Dakota State Deadball Team Rebound.,94,90
1:13,2571,Mike Daum missed Free Throw.,94,90
1:13,38,Tyler Bey Defensive Rebound.,94,90
1:03,38,McKinley Wright IV made Jumper.,94,92
0:49,2571,South Dakota State  Timeout,94,92
0:34,2571,David Jenkins Jr. missed Layup.,94,92
0:34,38,Namon Wright Defensive Rebound.,94,92
0:26,38,Deleon Brown made Layup. Assisted by George King.,94,94
0:15,2571,South Dakota State  Timeout,94,94
0:01,2571,David Jenkins Jr. missed Jumper.,94,94
0:01,38,George King Defensive Rebound.,94,94
0:00,38,End of 1st overtime,94,94
4:46,2571,Tevin King missed Layup.,94,94
4:46,2571,South Dakota State Offensive Rebound.,94,94
4:35,2571,Skyler Flatten missed Jumper.,94,94
4:35,38,Tyler Bey Defensive Rebound.,94,94
4:08,2571,Foul on Tevin King.,94,94
4:08,38,McKinley Wright IV missed Free Throw.,94,94
4:08,38,Colorado Deadball Team Rebound.,94,94
4:08,38,McKinley Wright IV made Free Throw.,94,95
3:51,2571,Mike Daum missed Layup.,94,95
3:51,38,Tyler Bey Defensive Rebound.,94,95
3:50,2571,Foul on Mike Daum.,94,95
3:50,38,Tyler Bey made Free Throw.,94,96
3:50,38,Tyler Bey made Free Throw.,94,97
3:25,2571,Mike Daum missed Layup.,94,97
3:25,2571,Mike Daum Offensive Rebound.,94,97
3:23,2571,Mike Daum made Layup.,96,97
3:01,38,Tyler Bey made Layup.,96,99
2:45,2571,David Jenkins Jr. made Three Point Jumper.,99,99
2:10,38,McKinley Wright IV made Layup.,99,101
1:51,2571,Reed Tellinghuisen missed Three Point Jumper.,99,101
1:51,38,Namon Wright Defensive Rebound.,99,101
1:41,38,Tyler Bey made Jumper. Assisted by McKinley Wright IV.,99,103
1:25,2571,Tevin King made Layup.,101,103
1:10,38,Colorado  Timeout,101,103
0:50,2571,Foul on Tevin King.,101,103
0:50,38,McKinley Wright IV made Free Throw.,101,104
0:50,38,McKinley Wright IV made Free Throw.,101,105
0:38,2571,Mike Daum missed Layup.,101,105
0:38,38,Tyler Bey Defensive Rebound.,101,105
0:37,2571,Foul on Reed Tellinghuisen.,101,105
0:37,38,Tyler Bey made Free Throw.,101,106
0:37,38,Tyler Bey made Free Throw.,101,107
0:31,2571,David Jenkins Jr. made Free Throw.,102,107
0:31,38,Foul on Deleon Brown.,101,107
0:31,2571,David Jenkins Jr. made Free Throw.,103,107
0:31,2571,David Jenkins Jr. missed Free Throw.,103,107
0:31,38,George King Defensive Rebound.,103,107
0:30,2571,Foul on Mike Daum.,103,107
0:30,38,George King made Free Throw.,103,108
0:30,38,George King missed Free Throw.,103,108
0:30,2571,Mike Daum Defensive Rebound.,103,108
0:26,2571,David Jenkins Jr. missed Three Point Jumper.,103,108
0:26,38,McKinley Wright IV Defensive Rebound.,103,108
0:22,2571,Foul on Mike Daum.,103,108
0:22,38,McKinley Wright IV made Free Throw.,103,109
0:22,38,McKinley Wright IV made Free Throw.,103,110
0:17,2571,Mike Daum missed Three Point Jumper.,103,110
0:17,38,McKinley Wright IV Defensive Rebound.,103,110
0:11,2571,Foul on David Jenkins Jr..,103,110
0:11,38,McKinley Wright IV made Free Throw.,103,111
0:11,38,McKinley Wright IV made Free Throw.,103,112
0:04,2571,Brandon Key missed Three Point Jumper.,103,112
0:04,38,George King Defensive Rebound.,103,112
0:00,38,End of Game,103,112
