Simon Fraser,70,Idaho,2829
3:11,70,Nate Sherwood Turnover.,23,24
3:09,-1,Jj Pankratz Steal.,23,24
3:07,-1,Othniel Spence missed Three Point Jumper.,23,24
3:07,-1,Tyrell Lewin Offensive Rebound.,23,24
3:03,70,Foul on Jordan Scott.,23,24
3:03,-1,Tyrell Lewin missed Free Throw.,23,24
3:03,70,Arkadiy Mkrtychyan Defensive Rebound.,23,24
2:58,70,Perrion Callandret made Jumper.,23,26
2:58,-1,Foul on Tyrell Lewin.,23,26
2:58,70,Perrion Callandret made Free Throw.,23,27
2:35,-1,Othniel Spence missed Three Point Jumper.,23,27
2:34,70,Arkadiy Mkrtychyan Defensive Rebound.,23,27
2:29,70,Chad Sherwood made Three Point Jumper. Assisted by Perrion Callandret.,23,30
2:22,-1,Simon Fraser  Timeout,23,30
2:05,-1,Iziah Sherman-Newsome made Three Point Jumper. Assisted by Jordan Muir-Keung.,26,30
1:47,70,Perrion Callandret missed Three Point Jumper.,26,30
1:47,-1,Simon Fraser Defensive Rebound.,26,30
1:31,-1,Michael Provenzano made Layup.,28,30
1:11,70,Arkadiy Mkrtychyan Turnover.,28,30
1:10,-1,Michael Provenzano Steal.,28,30
1:07,-1,Michael Provenzano made Layup.,30,30
0:47,70,Jordan Scott missed Layup.,30,30
0:47,-1,Iziah Sherman-Newsome Block.,30,30
0:45,-1,Jordan Muir-Keung Defensive Rebound.,30,30
0:29,-1,Jordan Muir-Keung missed Layup.,30,30
0:29,70,Arkadiy Mkrtychyan Defensive Rebound.,30,30
0:21,70,Perrion Callandret missed Jumper.,30,30
0:20,-1,Simon Fraser Defensive Rebound.,30,30
0:01,-1,Iziah Sherman-Newsome made Three Point Jumper. Assisted by Michael Provenzano.,33,30
0:00,70,End of 1st half,33,30
19:49,70,Foul on Victor Sanders.,33,30
19:36,-1,Michael Provenzano Turnover.,33,30
19:24,-1,Foul on Jj Pankratz.,33,30
19:16,70,Victor Sanders made Free Throw.,33,31
19:00,70,Victor Sanders made Free Throw.,33,32
18:46,-1,Iziah Sherman-Newsome missed Three Point Jumper.,33,32
18:46,70,Jordan Scott Defensive Rebound.,33,32
18:45,-1,Foul on Michael Provenzano.,33,32
18:25,70,Perrion Callandret missed Jumper.,33,32
18:25,70,Brayon Blake Offensive Rebound.,33,32
18:21,-1,Foul on Matthew O'Brien.,33,32
18:15,-1,Foul on Iziah Sherman-Newsome.,33,32
18:10,-1,Foul on Jj Pankratz.,33,32
18:10,70,Brayon Blake made Free Throw.,33,33
18:10,70,Brayon Blake made Free Throw.,33,34
18:00,-1,Kedar Salam Turnover.,33,34
17:55,-1,Foul on Matthew O'Brien.,33,34
17:55,70,Perrion Callandret made Free Throw.,33,35
17:55,70,Perrion Callandret missed Free Throw.,33,35
17:55,-1,Simon Fraser Deadball Team Rebound.,33,35
17:39,-1,Kedar Salam Turnover.,33,35
17:38,70,Victor Sanders Steal.,33,35
17:22,70,Victor Sanders missed Three Point Jumper.,33,35
17:22,-1,Jj Pankratz Defensive Rebound.,33,35
17:04,-1,Othniel Spence missed Layup.,33,35
17:04,70,Victor Sanders Block.,33,35
17:03,70,Nate Sherwood Defensive Rebound.,33,35
16:56,-1,Foul on Michael Provenzano.,33,35
16:56,70,Perrion Callandret made Free Throw.,33,36
16:56,70,Perrion Callandret missed Free Throw.,33,36
16:56,-1,Jj Pankratz Defensive Rebound.,33,36
16:46,-1,Michael Provenzano missed Layup.,33,36
16:46,70,Perrion Callandret Block.,33,36
16:46,-1,Simon Fraser Offensive Rebound.,33,36
16:39,-1,Othniel Spence missed Jumper.,33,36
16:39,70,Jordan Scott Defensive Rebound.,33,36
16:31,70,Chad Sherwood missed Three Point Jumper.,33,36
16:31,70,Jordan Scott Offensive Rebound.,33,36
16:27,-1,Foul on Tyrell Lewin.,33,36
16:27,70,Jordan Scott made Free Throw.,33,37
16:27,70,Jordan Scott made Free Throw.,33,38
16:12,-1,Iziah Sherman-Newsome missed Layup.,33,38
16:12,-1,Iziah Sherman-Newsome Offensive Rebound.,33,38
16:09,70,Foul on Nate Sherwood.,33,38
16:09,-1,Iziah Sherman-Newsome missed Free Throw.,33,38
16:09,-1,Simon Fraser Deadball Team Rebound.,33,38
16:09,-1,Iziah Sherman-Newsome missed Free Throw.,33,38
16:09,70,Jordan Scott Defensive Rebound.,33,38
15:49,70,Nate Sherwood Turnover.,33,38
15:49,70,Official TV Timeout,33,38
15:26,70,Foul on Chad Sherwood.,33,38
15:19,-1,Iziah Sherman-Newsome missed Jumper.,33,38
15:19,70,Trevon Allen Defensive Rebound.,33,38
15:02,70,Victor Sanders made Jumper.,33,40
14:42,70,Foul on Chad Sherwood.,33,40
14:40,70,Foul on Arkadiy Mkrtychyan.,33,40
14:40,-1,Iziah Sherman-Newsome made Free Throw.,34,40
14:40,-1,Iziah Sherman-Newsome missed Free Throw.,34,40
14:40,70,Arkadiy Mkrtychyan Defensive Rebound.,34,40
14:31,70,Brayon Blake made Layup. Assisted by Victor Sanders.,34,42
14:09,-1,Jj Pankratz missed Jumper.,34,42
14:09,70,Trevon Allen Defensive Rebound.,34,42
14:01,70,Brayon Blake made Layup. Assisted by Trevon Allen.,34,44
13:44,-1,Michael Provenzano missed Layup.,34,44
13:44,70,Brayon Blake Defensive Rebound.,34,44
13:33,70,Brayon Blake missed Jumper.,34,44
13:33,-1,Jj Pankratz Block.,34,44
13:31,-1,Jordan Muir-Keung Defensive Rebound.,34,44
13:12,-1,Iziah Sherman-Newsome made Jumper. Assisted by Jordan Muir-Keung.,36,44
12:46,70,Trevon Allen made Three Point Jumper. Assisted by Perrion Callandret.,36,47
12:17,70,Foul on Nate Sherwood.,36,47
12:05,-1,Jj Pankratz made Layup. Assisted by Kedar Salam.,38,47
11:47,70,Perrion Callandret Turnover.,38,47
11:47,70,Official TV Timeout,38,47
11:30,-1,Jj Pankratz missed Jumper.,38,47
11:30,70,Brayon Blake Defensive Rebound.,38,47
11:17,-1,Foul on Kedar Salam.,38,47
11:17,70,Brayon Blake made Free Throw.,38,48
11:17,70,Brayon Blake made Free Throw.,38,49
11:03,-1,Kedar Salam missed Jumper.,38,49
11:03,70,Jordan Scott Defensive Rebound.,38,49
10:55,70,Nate Sherwood made Layup. Assisted by Perrion Callandret.,38,51
10:35,-1,Jj Pankratz Turnover.,38,51
10:26,-1,Foul on Jj Pankratz.,38,51
10:26,70,Brayon Blake made Free Throw.,38,52
10:26,70,Brayon Blake missed Free Throw.,38,52
10:26,-1,Jj Pankratz Defensive Rebound.,38,52
10:08,-1,Othniel Spence made Layup.,40,52
9:42,70,Brayon Blake missed Three Point Jumper.,40,52
9:42,-1,Jordan Muir-Keung Defensive Rebound.,40,52
9:34,-1,Foul on Jj Pankratz.,40,52
9:34,-1,Jj Pankratz Turnover.,40,52
9:23,70,Nate Sherwood made Layup. Assisted by Jordan Scott.,40,54
8:53,-1,Michael Provenzano made Jumper.,42,54
8:34,70,Brayon Blake missed Jumper.,42,54
8:34,-1,Jordan Muir-Keung Defensive Rebound.,42,54
8:09,-1,Matthew O'Brien Turnover.,42,54
8:09,70,Brayon Blake Steal.,42,54
8:01,70,Arkadiy Mkrtychyan Turnover.,42,54
8:00,-1,Jordan Muir-Keung Steal.,42,54
7:58,70,Foul on Chad Sherwood.,42,54
7:58,70,Official TV Timeout,42,54
7:58,-1,Kedar Salam made Free Throw.,43,54
7:58,-1,Kedar Salam made Free Throw.,44,54
7:52,70,Chad Sherwood made Three Point Jumper. Assisted by Perrion Callandret.,44,57
7:37,-1,Kedar Salam Turnover.,44,57
7:36,70,Victor Sanders Steal.,44,57
7:33,70,Chad Sherwood made Three Point Jumper. Assisted by Victor Sanders.,44,60
7:15,-1,Matthew O'Brien missed Three Point Jumper.,44,60
7:15,70,Victor Sanders Defensive Rebound.,44,60
7:07,70,Victor Sanders missed Dunk.,44,60
7:07,-1,Iziah Sherman-Newsome Defensive Rebound.,44,60
7:02,-1,Michael Provenzano made Jumper.,46,60
6:44,-1,Foul on Kedar Salam.,46,60
6:44,70,Victor Sanders missed Free Throw.,46,60
6:44,70,Idaho Deadball Team Rebound.,46,60
6:44,70,Victor Sanders missed Free Throw.,46,60
6:44,-1,Othniel Spence Defensive Rebound.,46,60
6:18,70,Foul on Victor Sanders.,46,60
6:18,-1,Matthew O'Brien made Free Throw.,47,60
6:18,-1,Matthew O'Brien missed Free Throw.,47,60
6:18,70,Brayon Blake Defensive Rebound.,47,60
6:02,70,Brayon Blake made Free Throw.,47,61
6:02,70,Brayon Blake missed Free Throw.,47,62
6:02,-1,Foul on Iziah Sherman-Newsome.,47,60
6:02,-1,Technical Foul on Simon Fraser.,47,60
6:02,70,Brayon Blake made Free Throw.,47,62
6:02,70,Idaho Deadball Team Rebound.,47,62
6:02,70,Brayon Blake made Free Throw.,47,63
5:50,70,Foul on Chad Sherwood.,47,63
5:50,-1,Foul on Iziah Sherman-Newsome.,47,63
5:50,-1,Jj Pankratz missed Free Throw.,47,63
5:50,-1,Simon Fraser Deadball Team Rebound.,47,63
5:50,70,Victor Sanders missed Free Throw.,47,63
5:50,70,Idaho Deadball Team Rebound.,47,63
5:50,70,Victor Sanders missed Free Throw.,47,63
5:50,70,Idaho Deadball Team Rebound.,47,63
5:43,70,Chad Sherwood missed Three Point Jumper.,47,63
5:43,-1,Jordan Muir-Keung Defensive Rebound.,47,63
5:31,-1,Michael Provenzano missed Three Point Jumper.,47,63
5:31,70,Brayon Blake Defensive Rebound.,47,63
5:18,70,Arkadiy Mkrtychyan made Layup. Assisted by Victor Sanders.,47,65
5:00,-1,Michael Provenzano missed Jumper.,47,65
5:00,70,Brayon Blake Defensive Rebound.,47,65
4:53,70,Victor Sanders Turnover.,47,65
4:52,-1,Othniel Spence Steal.,47,65
4:45,70,Foul on Chad Sherwood.,47,65
4:45,-1,Jordan Muir-Keung made Free Throw.,48,65
4:45,-1,Jordan Muir-Keung missed Free Throw.,48,65
4:45,70,Arkadiy Mkrtychyan Defensive Rebound.,48,65
4:31,70,Arkadiy Mkrtychyan missed Layup.,48,65
4:31,70,Jordan Scott Offensive Rebound.,48,65
4:17,70,Jordan Scott missed Jumper.,48,65
4:17,70,Jordan Scott Offensive Rebound.,48,65
4:14,70,Jordan Scott made Layup.,48,67
3:48,-1,Othniel Spence missed Three Point Jumper.,48,67
3:48,-1,Tyrell Lewin Offensive Rebound.,48,67
3:27,-1,Jordan Muir-Keung made Layup.,50,67
3:09,-1,Foul on Tyrell Lewin.,50,67
3:09,70,Official TV Timeout,50,67
3:09,70,Victor Sanders made Free Throw.,50,68
3:09,70,Victor Sanders made Free Throw.,50,69
2:47,-1,Matthew O'Brien missed Jumper.,50,69
2:47,70,Jordan Scott Defensive Rebound.,50,69
2:33,70,Scott Blakney made Layup. Assisted by Arkadiy Mkrtychyan.,50,71
2:07,-1,Jordan Muir-Keung missed Three Point Jumper.,50,71
2:07,70,Jordan Scott Defensive Rebound.,50,71
1:56,70,Arkadiy Mkrtychyan missed Jumper.,50,71
1:56,-1,Jj Pankratz Defensive Rebound.,50,71
1:46,70,Foul on Trevon Allen.,50,71
1:46,-1,Jj Pankratz missed Free Throw.,50,71
1:46,-1,Simon Fraser Deadball Team Rebound.,50,71
1:46,-1,Jj Pankratz made Free Throw.,51,71
1:35,70,Geno West Turnover.,51,71
1:33,-1,Jj Pankratz Steal.,51,71
1:33,70,Foul on Geno West.,51,71
1:33,-1,Jj Pankratz missed Free Throw.,51,71
1:33,-1,Simon Fraser Deadball Team Rebound.,51,71
1:33,-1,Jj Pankratz made Free Throw.,52,71
1:08,70,Chance Garvin made Layup. Assisted by Trevon Allen.,52,73
0:53,-1,Jj Pankratz missed Three Point Jumper.,52,73
0:53,70,Chance Garvin Defensive Rebound.,52,73
0:35,70,Geno West missed Jumper.,52,73
0:35,-1,Kedar Salam Defensive Rebound.,52,73
0:20,70,Foul on Chance Garvin.,52,73
0:20,-1,Michael Provenzano made Free Throw.,53,73
0:20,-1,Michael Provenzano made Free Throw.,54,73
0:00,70,End of Game,54,73
