Savannah State,2755,Grambling,2542
15:33,2755,Foul on Ervin Mitchell.,14,11
15:28,2755,Ervin Mitchell Turnover.,14,11
15:22,2542,Joshua Floyd made Layup.,16,11
14:59,2755,Remond Brown Turnover.,16,11
14:52,2542,Isaiah Felder missed Three Point Jumper.,16,11
14:52,2755,Averyl Ugba Defensive Rebound.,16,11
14:42,2755,Nigel Ribeiro Turnover.,16,11
14:42,2542,Foul on Joshua Floyd.,16,11
14:31,2755,Remond Brown missed Three Point Jumper.,16,11
14:31,2755,Chase Cormier Offensive Rebound.,16,11
14:26,2755,Marcel Thompson missed Three Point Jumper.,16,11
14:26,2542,Robert Kelly Jr. Defensive Rebound.,16,11
14:26,2542,Joshua Floyd Turnover.,16,11
14:26,2755,Marcel Thompson Steal.,16,11
14:25,2755,Deonte Hearns Turnover.,16,11
14:09,2542,Joshua Floyd missed Layup.,16,11
14:09,2542,Robert Kelly Jr. Offensive Rebound.,16,11
14:05,2542,Casey Wells made Three Point Jumper. Assisted by Joshua Floyd.,19,11
13:50,2755,Marcel Thompson Turnover.,19,11
13:36,2542,Casey Wells missed Three Point Jumper.,19,11
13:36,2542,Robert Kelly Jr. Offensive Rebound.,19,11
13:30,2542,Foul on Casey Wells.,19,11
13:25,2755,Ivy Smith Jr. Turnover.,19,11
13:09,2542,Dexter McClanahan made Three Point Jumper. Assisted by Isaiah Felder.,22,11
12:53,2755,Deonte Hearns missed Layup.,22,11
12:53,2755,Averyl Ugba Offensive Rebound.,22,11
12:50,2755,Averyl Ugba made Layup.,22,13
12:42,2542,Isaiah Felder missed Three Point Jumper.,22,13
12:42,2755,Grambling Defensive Rebound.,22,13
12:06,2755,Ivy Smith Jr. missed Three Point Jumper.,22,13
12:06,2755,Deonte Hearns Offensive Rebound.,22,13
12:02,2755,Deonte Hearns made Layup.,22,15
11:55,2542,Dexter McClanahan made Three Point Jumper. Assisted by Joshua Floyd.,25,15
11:33,2755,Remond Brown Turnover.,25,15
11:29,2542,Dexter McClanahan missed Three Point Jumper.,25,15
11:29,2755,Averyl Ugba Defensive Rebound.,25,15
11:07,2755,Ervin Mitchell missed Layup.,25,15
11:07,2542,Robert Kelly Jr. Defensive Rebound.,25,15
11:00,2542,Dexter McClanahan made Three Point Jumper. Assisted by Austin Dasent.,28,15
10:38,2755,Ivy Smith Jr. missed Three Point Jumper.,28,15
10:38,2542,Casey Wells Defensive Rebound.,28,15
10:28,2542,Dexter McClanahan missed Layup.,28,15
10:28,2755,Deonte Hearns Block.,28,15
10:28,2542,Robert Kelly Jr. Offensive Rebound.,28,15
10:22,2542,Robert Kelly Jr. made Layup.,30,15
9:59,2755,Averyl Ugba made Layup. Assisted by Ivy Smith Jr..,30,17
9:49,2542,Austin Dasent made Layup.,32,17
9:34,2755,Ivy Smith Jr. made Three Point Jumper. Assisted by Remond Brown.,32,20
9:24,2542,Foul on Austin Dasent.,32,20
9:08,2755,Remond Brown missed Three Point Jumper.,32,20
9:08,2542,Troyce Manassa Defensive Rebound.,32,20
8:57,2542,Troyce Manassa made Three Point Jumper. Assisted by Austin Dasent.,35,20
8:38,2755,Ivy Smith Jr. missed Three Point Jumper.,35,20
8:38,2755,Deonte Hearns Offensive Rebound.,35,20
8:34,2755,Deonte Hearns missed Layup.,35,20
8:34,2542,Jahir Cabeza Block.,35,20
8:34,2542,Robert Kelly Jr. Defensive Rebound.,35,20
8:26,2542,Austin Dasent Turnover.,35,20
8:23,2755,Ivy Smith Jr. made Layup.,35,22
8:17,2542,Foul on Jahir Cabeza.,35,22
8:17,2755,Ivy Smith Jr. missed Free Throw.,35,22
8:17,2755,Ivy Smith Jr. Offensive Rebound.,35,22
8:17,2755,Ivy Smith Jr. made Layup.,35,24
8:17,2542,Austin Dasent missed Three Point Jumper.,35,24
8:17,2755,Nigel Ribeiro Defensive Rebound.,35,24
7:59,2755,Remond Brown made Three Point Jumper. Assisted by Nigel Ribeiro.,35,27
7:39,2542,Jahir Cabeza made Three Point Jumper. Assisted by Austin Dasent.,38,27
7:34,2755,Ivy Smith Jr. Turnover.,38,27
7:30,2542,Jahir Cabeza Steal.,38,27
7:29,2542,Jahir Cabeza missed Layup.,38,27
7:29,2542,Troyce Manassa Offensive Rebound.,38,27
7:26,2542,Troyce Manassa made Layup.,40,27
7:05,2755,Remond Brown made Jumper.,40,29
6:57,2542,Foul on Jahir Cabeza.,40,29
6:49,2542,Foul on Jordan Gaines.,40,29
6:45,2755,Deonte Hearns missed Free Throw.,40,29
6:45,2755,Grambling Deadball Team Rebound.,40,29
6:35,2755,Deonte Hearns missed Free Throw.,40,29
6:35,2542,Jordan Gaines Defensive Rebound.,40,29
6:27,2542,Jordan Gaines made Jumper. Assisted by Troyce Manassa.,42,29
5:57,2755,Ivy Smith Jr. missed Jumper.,42,29
5:57,2542,Troyce Manassa Defensive Rebound.,42,29
5:45,2542,Jordan Gaines missed Jumper.,42,29
5:45,2755,Averyl Ugba Defensive Rebound.,42,29
5:32,2755,Averyl Ugba made Layup. Assisted by Deonte Hearns.,42,31
5:25,2755,Foul on Ivy Smith Jr..,42,31
5:19,2542,Troyce Manassa missed Three Point Jumper.,42,31
5:19,2755,Remond Brown Defensive Rebound.,42,31
5:08,2755,Ervin Mitchell made Three Point Jumper. Assisted by Remond Brown.,42,34
5:01,2755,Foul on Xairius Larry.,42,34
5:01,2542,Dexter McClanahan made Three Point Jumper. Assisted by Austin Dasent.,45,34
4:52,2755,Ervin Mitchell missed Jumper.,45,34
4:52,2542,Austin Dasent Defensive Rebound.,45,34
4:45,2755,Foul on Remond Brown.,45,34
4:45,2542,Jordan Gaines made Layup. Assisted by Austin Dasent.,47,34
4:45,2542,Jordan Gaines missed Free Throw.,47,34
4:45,2755,Averyl Ugba Defensive Rebound.,47,34
4:37,2755,Remond Brown missed Three Point Jumper.,47,34
4:37,2542,Austin Dasent Defensive Rebound.,47,34
4:32,2542,Austin Dasent Turnover.,47,34
4:23,2755,Remond Brown Turnover.,47,34
4:21,2542,Dexter McClanahan Steal.,47,34
4:19,2542,Dexter McClanahan made Dunk.,49,34
4:12,2755,Ervin Mitchell made Layup.,49,36
4:01,2755,Foul on Remond Brown.,49,36
4:01,2542,Foul on Troyce Manassa.,49,36
3:42,2542,Robert Kelly Jr. missed Free Throw.,49,36
3:42,2542,Savannah St Deadball Team Rebound.,49,36
3:42,2542,Robert Kelly Jr. made Free Throw.,50,36
3:26,2755,Xairius Larry missed Three Point Jumper.,50,36
3:26,2542,Dexter McClanahan Defensive Rebound.,50,36
3:12,2542,Robert Kelly Jr. Turnover.,50,36
2:48,2755,Averyl Ugba made Layup. Assisted by Ivy Smith Jr..,50,38
2:41,2542,Dexter McClanahan made Three Point Jumper. Assisted by Zach Sellers.,53,38
2:14,2755,Ervin Mitchell made Three Point Jumper. Assisted by Remond Brown.,53,41
1:58,2542,Troyce Manassa made Layup.,55,41
1:31,2542,Foul on Dexter McClanahan.,55,41
1:28,2755,Deonte Hearns missed Free Throw.,55,41
1:28,2755,Grambling Deadball Team Rebound.,55,41
1:28,2755,Deonte Hearns made Free Throw.,55,42
1:05,2542,Foul on Robert Kelly Jr..,55,42
1:05,2755,Ervin Mitchell made Three Point Jumper. Assisted by Ivy Smith Jr..,55,45
1:05,2542,Casey Wells missed Three Point Jumper.,55,45
1:05,2755,Averyl Ugba Defensive Rebound.,55,45
1:00,2755,Ivy Smith Jr. missed Jumper.,55,45
1:00,2542,Joshua Floyd Defensive Rebound.,55,45
0:15,2542,Joshua Floyd Turnover.,55,45
0:07,2755,Drake Wilks missed Three Point Jumper.,55,45
0:07,2542,Dexter McClanahan Defensive Rebound.,55,45
0:00,2755,End of 1st half,55,45
19:54,2755,Foul on Ervin Mitchell.,55,45
19:54,2542,Jahir Cabeza missed Free Throw.,55,45
19:54,2542,Savannah St Deadball Team Rebound.,55,45
19:54,2542,Jahir Cabeza missed Free Throw.,55,45
19:54,2542,Savannah St Deadball Team Rebound.,55,45
19:54,2542,Jahir Cabeza made Free Throw.,56,45
19:36,2755,Ervin Mitchell made Layup.,56,47
19:26,2542,Troyce Manassa Turnover.,56,47
19:24,2755,Chase Cormier Steal.,56,47
19:21,2755,Nigel Ribeiro made Layup. Assisted by Chase Cormier.,56,49
19:10,2542,Joshua Floyd made Layup.,58,49
18:51,2755,Nigel Ribeiro missed Three Point Jumper.,58,49
18:51,2542,Jahir Cabeza Defensive Rebound.,58,49
18:38,2542,Robert Kelly Jr. made Layup. Assisted by Austin Dasent.,60,49
18:38,2755,Remond Brown made Layup.,60,51
18:38,2755,Foul on Nigel Ribeiro.,60,51
18:24,2542,Jahir Cabeza made Three Point Jumper. Assisted by Austin Dasent.,63,51
17:48,2755,Nigel Ribeiro missed Three Point Jumper.,63,51
17:48,2542,Robert Kelly Jr. Defensive Rebound.,63,51
17:40,2755,Foul on Chase Cormier.,63,51
17:40,2542,Troyce Manassa made Free Throw.,64,51
17:40,2542,Troyce Manassa made Free Throw.,65,51
17:29,2755,Nigel Ribeiro made Layup.,65,53
17:15,2542,Troyce Manassa made Layup.,67,53
16:31,2755,Ervin Mitchell made Three Point Jumper. Assisted by Remond Brown.,67,56
16:23,2755,Foul on Chase Cormier.,67,56
16:23,2542,Robert Kelly Jr. Turnover.,67,56
16:23,2755,Remond Brown Steal.,67,56
16:23,2755,Remond Brown Turnover.,67,56
16:23,2542,Robert Kelly Jr. Steal.,67,56
16:23,2542,Robert Kelly Jr. Turnover.,67,56
16:23,2755,Chase Cormier Steal.,67,56
16:23,2755,Ervin Mitchell made Layup.,67,58
16:23,2542,Foul on Troyce Manassa.,67,58
16:17,2755,Ervin Mitchell made Free Throw.,67,59
16:02,2542,Robert Kelly Jr. made Layup. Assisted by Austin Dasent.,69,59
15:39,2755,Ervin Mitchell made Three Point Jumper. Assisted by Chase Cormier.,69,62
15:30,2542,Dexter McClanahan Turnover.,69,62
15:30,2755,Ervin Mitchell Steal.,69,62
15:30,2755,Averyl Ugba made Layup. Assisted by Ervin Mitchell.,69,64
15:30,2542,Foul on Robert Kelly Jr..,69,64
15:26,2755,Averyl Ugba made Free Throw.,69,65
15:19,2542,Jordan Gaines Turnover.,69,65
15:18,2755,Remond Brown Steal.,69,65
15:09,2755,Nigel Ribeiro Turnover.,69,65
15:05,2755,Nigel Ribeiro Steal.,69,65
15:05,2542,Austin Dasent Turnover.,69,65
15:05,2755,Nigel Ribeiro made Layup.,69,67
15:00,2755,Foul on Averyl Ugba.,69,67
14:44,2542,Dexter McClanahan missed Layup.,69,67
14:44,2755,Averyl Ugba Defensive Rebound.,69,67
14:22,2755,Ivy Smith Jr. made Three Point Jumper. Assisted by Remond Brown.,69,70
14:07,2542,Troyce Manassa Turnover.,69,70
14:06,2755,Ervin Mitchell Steal.,69,70
13:59,2755,Remond Brown missed Layup.,69,70
13:59,2755,Averyl Ugba Offensive Rebound.,69,70
13:56,2755,Averyl Ugba missed Layup.,69,70
13:56,2542,Dexter McClanahan Defensive Rebound.,69,70
13:47,2542,Dexter McClanahan missed Three Point Jumper.,69,70
13:47,2755,Nigel Ribeiro Defensive Rebound.,69,70
13:47,2542,Foul on Jordan Gaines.,69,70
13:47,2755,Nigel Ribeiro made Free Throw.,69,71
13:47,2755,Nigel Ribeiro made Free Throw.,69,72
13:40,2755,Ervin Mitchell made Three Point Jumper. Assisted by Nigel Ribeiro.,69,75
13:27,2542,Troyce Manassa made Three Point Jumper. Assisted by Austin Dasent.,72,75
13:01,2755,Remond Brown missed Layup.,72,75
13:01,2755,Deonte Hearns Offensive Rebound.,72,75
12:56,2755,Deonte Hearns Turnover.,72,75
12:54,2542,Robert Kelly Jr. Steal.,72,75
12:51,2755,Foul on Remond Brown.,72,75
12:51,2755,Foul on Ervin Mitchell.,72,75
12:50,2542,Troyce Manassa made Free Throw.,73,75
12:50,2542,Troyce Manassa made Free Throw.,74,75
12:25,2755,Deonte Hearns made Layup.,74,77
12:13,2542,Dexter McClanahan made Layup.,76,77
12:02,2542,Foul on Troyce Manassa.,76,77
12:02,2755,Nigel Ribeiro made Free Throw.,76,78
12:02,2755,Nigel Ribeiro missed Free Throw.,76,78
12:02,2542,Dexter McClanahan Defensive Rebound.,76,78
11:57,2755,Foul on Deonte Hearns.,76,78
11:55,2542,Austin Dasent made Free Throw.,77,78
11:55,2542,Austin Dasent missed Free Throw.,77,78
11:55,2755,Averyl Ugba Defensive Rebound.,77,78
11:33,2755,Ivy Smith Jr. missed Three Point Jumper.,77,78
11:33,2755,Deonte Hearns Offensive Rebound.,77,78
11:24,2755,Ivy Smith Jr. missed Three Point Jumper.,77,78
11:24,2542,Joshua Floyd Defensive Rebound.,77,78
11:19,2542,Robert Kelly Jr. made Layup. Assisted by Joshua Floyd.,79,78
10:55,2755,Ivy Smith Jr. missed Three Point Jumper.,79,78
10:55,2755,Grambling Offensive Rebound.,79,78
10:55,2542,Foul on Austin Dasent.,79,78
10:43,2755,Deonte Hearns made Layup. Assisted by Nigel Ribeiro.,79,80
10:43,2542,Foul on Robert Kelly Jr..,79,80
10:43,2755,Deonte Hearns missed Free Throw.,79,80
10:43,2542,Dexter McClanahan Defensive Rebound.,79,80
10:43,2542,Dexter McClanahan made Layup.,81,80
10:18,2755,Nigel Ribeiro missed Three Point Jumper.,81,80
10:18,2542,Troyce Manassa Defensive Rebound.,81,80
10:05,2542,Joshua Floyd missed Three Point Jumper.,81,80
10:05,2755,Averyl Ugba Defensive Rebound.,81,80
9:56,2755,Ervin Mitchell missed Layup.,81,80
9:56,2755,Averyl Ugba Offensive Rebound.,81,80
9:50,2755,Averyl Ugba made Dunk.,81,82
9:39,2542,Joshua Floyd Turnover.,81,82
9:19,2755,Ervin Mitchell made Layup.,81,84
8:46,2542,Dexter McClanahan missed Three Point Jumper.,81,84
8:46,2542,Jahir Cabeza Offensive Rebound.,81,84
8:42,2755,Foul on Chase Cormier.,81,84
8:37,2542,Jahir Cabeza made Free Throw.,82,84
8:37,2542,Jahir Cabeza made Free Throw.,83,84
8:36,2542,Foul on Kamil Williams.,83,84
8:36,2755,Remond Brown made Free Throw.,83,85
8:36,2755,Remond Brown missed Free Throw.,83,85
8:36,2755,Averyl Ugba Offensive Rebound.,83,85
8:36,2755,Ivy Smith Jr. Turnover.,83,85
8:36,2542,Dexter McClanahan Steal.,83,85
8:30,2755,Foul on Xairius Larry.,83,85
8:30,2542,Casey Wells made Free Throw.,84,85
8:30,2542,Casey Wells made Free Throw.,85,85
8:08,2542,Foul on Jahir Cabeza.,85,85
7:58,2755,Ervin Mitchell made Free Throw.,85,86
7:58,2755,Ervin Mitchell made Free Throw.,85,87
7:39,2542,Kamil Williams missed Three Point Jumper.,85,87
7:39,2755,Ivy Smith Jr. Defensive Rebound.,85,87
7:11,2755,Ervin Mitchell missed Layup.,85,87
7:11,2755,Ervin Mitchell Offensive Rebound.,85,87
7:09,2755,Ervin Mitchell made Layup.,85,89
6:41,2542,Troyce Manassa made Layup.,87,89
6:15,2755,Nigel Ribeiro missed Jumper.,87,89
6:15,2542,Jahir Cabeza Defensive Rebound.,87,89
6:06,2542,Kamil Williams missed Three Point Jumper.,87,89
6:06,2755,Ivy Smith Jr. Defensive Rebound.,87,89
6:01,2542,Foul on Kamil Williams.,87,89
6:01,2755,Ivy Smith Jr. made Free Throw.,87,90
6:01,2755,Ivy Smith Jr. made Free Throw.,87,91
6:01,2542,Dexter McClanahan missed Three Point Jumper.,87,91
6:01,2755,Deonte Hearns Defensive Rebound.,87,91
5:38,2755,Nigel Ribeiro Turnover.,87,91
5:38,2542,Casey Wells made Three Point Jumper. Assisted by Austin Dasent.,90,91
5:38,2755,Remond Brown made Jumper.,90,93
4:54,2542,Austin Dasent Turnover.,90,93
4:52,2755,Ivy Smith Jr. Steal.,90,93
4:49,2755,Averyl Ugba made Layup. Assisted by Ivy Smith Jr..,90,95
4:38,2542,Austin Dasent Turnover.,90,95
4:23,2755,Remond Brown made Jumper.,90,97
4:15,2755,Foul on Nigel Ribeiro.,90,97
4:15,2542,Dexter McClanahan made Free Throw.,91,97
4:15,2542,Dexter McClanahan missed Free Throw.,91,97
4:15,2755,Averyl Ugba Defensive Rebound.,91,97
3:55,2755,Remond Brown made Three Point Jumper. Assisted by Ervin Mitchell.,91,100
3:43,2542,Austin Dasent made Layup. Assisted by Robert Kelly Jr..,93,100
3:14,2542,Foul on Casey Wells.,93,100
3:06,2755,Ervin Mitchell missed Free Throw.,93,100
3:06,2755,Grambling Deadball Team Rebound.,93,100
3:06,2755,Ervin Mitchell made Free Throw.,93,101
2:52,2542,Joshua Floyd Turnover.,93,101
2:51,2755,Remond Brown Steal.,93,101
2:48,2755,Ervin Mitchell made Layup. Assisted by Remond Brown.,93,103
2:32,2542,Joshua Floyd made Three Point Jumper. Assisted by Troyce Manassa.,96,103
2:03,2755,Ervin Mitchell made Layup.,96,105
1:53,2542,Troyce Manassa missed Three Point Jumper.,96,105
1:53,2755,Remond Brown Defensive Rebound.,96,105
1:30,2755,Remond Brown missed Jumper.,96,105
1:30,2542,Dexter McClanahan Defensive Rebound.,96,105
1:23,2755,Foul on Nigel Ribeiro.,96,105
1:23,2542,Joshua Floyd made Free Throw.,97,105
1:23,2542,Joshua Floyd made Layup.,99,105
0:50,2755,Chase Cormier missed Three Point Jumper.,99,105
0:50,2542,Dexter McClanahan Defensive Rebound.,99,105
0:42,2542,Casey Wells missed Three Point Jumper.,99,105
0:42,2755,Nigel Ribeiro Defensive Rebound.,99,105
0:27,2542,Foul on Casey Wells.,99,105
0:27,2755,Nigel Ribeiro made Free Throw.,99,106
0:27,2755,Nigel Ribeiro made Free Throw.,99,107
0:19,2542,Dexter McClanahan Turnover.,99,107
0:19,2755,Averyl Ugba Steal.,99,107
0:19,2755,Averyl Ugba Turnover.,99,107
0:17,2755,Foul on Ervin Mitchell.,99,107
0:17,2542,Austin Dasent made Free Throw.,100,107
0:17,2542,Austin Dasent made Free Throw.,101,107
0:15,2542,Foul on Joshua Floyd.,101,107
0:15,2755,Nigel Ribeiro missed Free Throw.,101,107
0:15,2755,Grambling Deadball Team Rebound.,101,107
0:15,2755,Nigel Ribeiro made Free Throw.,101,108
0:08,2542,Casey Wells made Three Point Jumper. Assisted by Austin Dasent.,104,108
0:07,2542,Foul on Casey Wells.,104,108
0:07,2755,Drake Wilks missed Free Throw.,104,108
0:07,2755,Grambling Deadball Team Rebound.,104,108
0:07,2755,Drake Wilks made Free Throw.,104,109
0:07,2542,Joshua Floyd Turnover.,104,109
0:06,2542,Foul on Austin Dasent.,104,109
0:06,2755,Averyl Ugba missed Free Throw.,104,109
0:06,2755,Grambling Deadball Team Rebound.,104,109
0:06,2755,Averyl Ugba made Free Throw.,104,110
0:00,2542,Troyce Manassa missed Three Point Jumper.,104,110
0:00,2542,Robert Kelly Jr. Offensive Rebound.,104,110
0:00,2755,End of 2nd half,104,110
