Cornell,248,Houston,172
18:10,248,Devin Davis made Free Throw.,28,47
18:10,248,Devin Davis missed Free Throw.,28,47
18:10,172,Wil Bathurst Defensive Rebound.,28,47
18:02,172,JoJo Fallas made Three Point Jumper. Assisted by Robert Hatter.,31,47
17:44,248,Bertrand Nkali made Jumper. Assisted by Galen Robinson Jr..,31,49
17:24,172,Robert Hatter missed Three Point Jumper.,31,49
17:24,248,Damyean Dotson Defensive Rebound.,31,49
17:14,248,Damyean Dotson missed Three Point Jumper.,31,49
17:14,172,Robert Hatter Defensive Rebound.,31,49
17:01,172,Matt Morgan missed Layup.,31,49
17:01,248,Bertrand Nkali Defensive Rebound.,31,49
16:40,172,Foul on Stone Gettings.,31,49
16:34,248,Devin Davis made Jumper. Assisted by Galen Robinson Jr..,31,51
16:16,172,Matt Morgan missed Three Point Jumper.,31,51
16:16,172,Wil Bathurst Offensive Rebound.,31,51
16:05,172,Robert Hatter missed Layup.,31,51
16:05,248,Devin Davis Defensive Rebound.,31,51
16:00,248,Devin Davis Turnover.,31,51
15:59,172,Robert Hatter Steal.,31,51
15:57,172,Matt Morgan missed Three Point Jumper.,31,51
15:57,172,Cornell Offensive Rebound.,31,51
15:53,248,Official TV Timeout,31,51
15:37,172,Josh Warren missed Layup.,31,51
15:37,248,Bertrand Nkali Defensive Rebound.,31,51
15:12,248,Galen Robinson Jr. made Layup.,31,53
14:45,172,Foul on Robert Hatter.,31,53
14:45,172,Robert Hatter Turnover.,31,53
14:29,248,Rob Gray Jr. missed Three Point Jumper.,31,53
14:29,172,JoJo Fallas Defensive Rebound.,31,53
14:23,172,Matt Morgan missed Three Point Jumper.,31,53
14:23,248,Armoni Brooks Defensive Rebound.,31,53
14:19,172,Foul on Troy Whiteside.,31,53
14:08,248,Rob Gray Jr. missed Layup.,31,53
14:08,248,Wes VanBeck Offensive Rebound.,31,53
14:05,248,Wes VanBeck made Jumper.,31,55
14:05,172,Foul on Troy Whiteside.,31,55
14:05,248,Wes VanBeck made Free Throw.,31,56
13:48,172,Josh Warren made Layup.,33,56
13:32,248,Damyean Dotson Turnover.,33,56
13:07,248,Foul on Wes VanBeck.,33,56
12:49,172,Matt Morgan made Three Point Jumper. Assisted by Darryl Smith.,36,56
12:19,248,Rob Gray Jr. made Jumper.,36,58
12:01,172,Matt Morgan made Layup. Assisted by Josh Warren.,38,58
11:49,248,Houston  Timeout,38,58
11:40,248,Devin Davis missed Jumper.,38,58
11:40,172,Matt Morgan Defensive Rebound.,38,58
11:27,172,Desmond Fleming Turnover.,38,58
11:27,248,Official TV Timeout,38,58
11:14,248,Damyean Dotson made Three Point Jumper. Assisted by Galen Robinson Jr..,38,61
10:52,248,Foul on Galen Robinson Jr..,38,61
10:52,172,Darryl Smith made Free Throw.,39,61
10:52,172,Darryl Smith made Free Throw.,40,61
10:35,248,Morris Dunnigan missed Three Point Jumper.,40,61
10:35,172,Matt Morgan Defensive Rebound.,40,61
10:26,172,Josh Warren made Layup. Assisted by Matt Morgan.,42,61
10:26,248,Foul on Devin Davis.,42,61
10:26,172,Josh Warren made Free Throw.,43,61
10:10,248,Morris Dunnigan missed Three Point Jumper.,43,61
10:10,248,Devin Davis Offensive Rebound.,43,61
10:08,172,Foul on Troy Whiteside.,43,61
10:08,248,Devin Davis missed Free Throw.,43,61
10:08,172,Robert Hatter Defensive Rebound.,43,61
10:01,172,Matt Morgan missed Three Point Jumper.,43,61
10:01,172,Darryl Smith Offensive Rebound.,43,61
9:58,172,Darryl Smith Turnover.,43,61
9:40,248,Devin Davis missed Jumper.,43,61
9:40,172,Darryl Smith Defensive Rebound.,43,61
9:22,248,Foul on Damyean Dotson.,43,61
9:04,248,Foul on Devin Davis.,43,61
8:58,172,Robert Hatter missed Three Point Jumper.,43,61
8:58,172,Darryl Smith Offensive Rebound.,43,61
8:55,172,Darryl Smith missed Jumper.,43,61
8:55,248,Morris Dunnigan Defensive Rebound.,43,61
8:50,248,Morris Dunnigan made Layup. Assisted by Galen Robinson Jr..,43,63
8:21,172,Robert Hatter Turnover.,43,63
8:02,248,Morris Dunnigan made Jumper.,43,65
7:42,248,Official TV Timeout,43,65
7:27,172,Darryl Smith made Layup. Assisted by Josh Warren.,45,65
7:27,248,Foul on Morris Dunnigan.,45,65
7:27,172,Darryl Smith made Free Throw.,46,65
7:19,248,Rob Gray Jr. made Layup.,46,67
6:57,172,Wil Bathurst missed Layup.,46,67
6:57,248,Morris Dunnigan Defensive Rebound.,46,67
6:50,248,Morris Dunnigan missed Jumper.,46,67
6:50,172,Josh Warren Defensive Rebound.,46,67
6:40,172,Matt Morgan missed Jumper.,46,67
6:40,248,Damyean Dotson Defensive Rebound.,46,67
6:16,172,Foul on Desmond Fleming.,46,67
6:16,248,Rob Gray Jr. made Free Throw.,46,68
6:16,248,Rob Gray Jr. made Free Throw.,46,69
6:03,172,Matt Morgan missed Three Point Jumper.,46,69
6:03,248,Danrad Knowles Defensive Rebound.,46,69
5:46,248,Rob Gray Jr. Turnover.,46,69
5:46,172,Cornell  Timeout,46,69
5:35,172,Matt Morgan Turnover.,46,69
5:33,248,Rob Gray Jr. Steal.,46,69
5:32,248,Rob Gray Jr. made Layup.,46,71
5:25,172,JoJo Fallas Turnover.,46,71
5:24,248,Wes VanBeck Steal.,46,71
5:20,248,Morris Dunnigan made Layup. Assisted by Wes VanBeck.,46,73
5:00,248,Foul on Rob Gray Jr..,46,73
5:00,172,Matt Morgan made Free Throw.,47,73
5:00,172,Matt Morgan made Free Throw.,48,73
4:41,248,Rob Gray Jr. made Jumper.,48,75
4:10,172,Foul on Stone Gettings.,48,75
4:10,172,Stone Gettings Turnover.,48,75
3:58,248,Wes VanBeck missed Jumper.,48,75
3:58,172,Wil Bathurst Defensive Rebound.,48,75
3:57,248,Foul on Xavier Dupree.,48,75
3:57,248,Official TV Timeout,48,75
3:57,172,Wil Bathurst made Free Throw.,49,75
3:57,172,Wil Bathurst made Free Throw.,50,75
3:42,248,Xavier Dupree missed Jumper.,50,75
3:42,172,JoJo Fallas Defensive Rebound.,50,75
3:32,172,Wil Bathurst Turnover.,50,75
3:31,248,Xavier Dupree Steal.,50,75
3:27,248,Wes VanBeck made Three Point Jumper. Assisted by Rob Gray Jr..,50,78
3:06,172,JoJo Fallas made Layup.,52,78
3:05,248,Foul on Xavier Dupree.,52,78
3:05,172,JoJo Fallas made Free Throw.,53,78
2:51,248,Devin Davis made Dunk.,53,80
2:35,172,Jack Gordon Turnover.,53,80
2:34,248,Devin Davis Steal.,53,80
2:17,248,Wes VanBeck made Jumper.,53,82
1:54,172,Matt Morgan missed Three Point Jumper.,53,82
1:54,248,Wes VanBeck Defensive Rebound.,53,82
1:40,248,Morris Dunnigan Turnover.,53,82
1:39,172,Wil Bathurst Steal.,53,82
1:23,172,Kyle Brown Turnover.,53,82
1:21,248,Xavier Dupree Steal.,53,82
1:16,172,Foul on Desmond Fleming.,53,82
1:16,248,Morris Dunnigan missed Free Throw.,53,82
1:16,248,Houston Deadball Team Rebound.,53,82
1:16,248,Morris Dunnigan made Free Throw.,53,83
0:55,172,Joseph Bayless missed Jumper.,53,83
0:55,248,Armoni Brooks Defensive Rebound.,53,83
0:39,248,Armoni Brooks missed Jumper.,53,83
0:39,248,Kyle Meyer Offensive Rebound.,53,83
0:35,248,Kyle Meyer missed Jumper.,53,83
0:35,172,Cornell Defensive Rebound.,53,83
0:19,172,Joseph Bayless missed Jumper.,53,83
0:19,248,Armoni Brooks Defensive Rebound.,53,83
0:00,248,End of Game,53,83
