Mt. St. Mary's,130,Michigan,116
5:17,116,Will Miller missed Three Point Jumper.,14,23
5:15,130,Derrick Walton Jr. Defensive Rebound.,14,23
5:10,130,Moritz Wagner missed Three Point Jumper.,14,23
5:07,116,Will Miller Defensive Rebound.,14,23
4:40,116,Elijah Long missed Jumper.,14,23
4:38,130,Zak Irvin Defensive Rebound.,14,23
4:32,130,Duncan Robinson made Three Point Jumper. Assisted by Zak Irvin.,14,26
4:31,116,Mt. St. Mary's  Timeout,14,26
4:09,116,Elijah Long made Layup.,16,26
3:42,130,Moritz Wagner made Layup.,16,28
3:24,116,Greg Alexander missed Jumper.,16,28
3:22,130,Zak Irvin Defensive Rebound.,16,28
3:17,130,Moritz Wagner made Layup. Assisted by Derrick Walton Jr..,16,30
3:02,116,Elijah Long missed Layup.,16,30
3:00,130,Moritz Wagner Defensive Rebound.,16,30
2:53,130,Moritz Wagner made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,16,33
2:52,116,Mt. St. Mary's  Timeout,16,33
2:32,116,Junior Robinson missed Layup.,16,33
2:29,130,Moritz Wagner Defensive Rebound.,16,33
2:05,130,Moritz Wagner missed Three Point Jumper.,16,33
2:03,116,Greg Alexander Defensive Rebound.,16,33
1:45,116,Mawdo Sallah missed Jumper.,16,33
1:43,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,16,33
1:22,116,Foul on Mawdo Sallah.,16,33
1:17,130,Derrick Walton Jr. missed Jumper.,16,33
1:15,116,Miles Wilson Defensive Rebound.,16,33
0:47,116,Miles Wilson Turnover.,16,33
0:47,130,Moritz Wagner Steal.,16,33
0:45,130,Moritz Wagner Turnover.,16,33
0:37,116,Junior Robinson missed Jumper.,16,33
0:35,130,Derrick Walton Jr. Defensive Rebound.,16,33
0:06,130,Zak Irvin missed Three Point Jumper.,16,33
0:03,130,Duncan Robinson Offensive Rebound.,16,33
0:01,130,Duncan Robinson missed Jumper.,16,33
0:01,116,Elijah Long Defensive Rebound.,16,33
0:00,130,End of 1st half,16,33
19:28,116,Mawdo Sallah missed Jumper.,16,33
19:23,130,Moritz Wagner Defensive Rebound.,16,33
19:22,130,Moritz Wagner Turnover.,16,33
19:22,116,Mawdo Sallah Steal.,16,33
19:19,116,Junior Robinson missed Jumper.,16,33
19:18,130,Moritz Wagner Defensive Rebound.,16,33
18:55,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,16,33
18:52,116,Mawdo Sallah Defensive Rebound.,16,33
18:30,130,Foul on Moritz Wagner.,16,33
18:30,116,Greg Alexander made Free Throw.,17,33
18:30,116,Greg Alexander made Free Throw.,18,33
18:00,130,Derrick Walton Jr. missed Three Point Jumper.,18,33
17:57,116,Mawdo Sallah Defensive Rebound.,18,33
17:47,116,Elijah Long Turnover.,18,33
17:47,130,Derrick Walton Jr. Steal.,18,33
17:44,130,Derrick Walton Jr. made Layup.,18,35
17:23,116,Junior Robinson made Three Point Jumper. Assisted by Elijah Long.,21,35
16:49,130,Muhammad-Ali Abdur-Rahkman missed Dunk.,21,35
16:47,130,Moritz Wagner Offensive Rebound.,21,35
16:45,130,Moritz Wagner Turnover.,21,35
16:45,116,Greg Alexander Steal.,21,35
16:41,116,Elijah Long made Layup. Assisted by Chris Wray.,23,35
16:10,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,23,35
16:07,116,Greg Alexander Defensive Rebound.,23,35
15:39,116,Junior Robinson missed Jumper.,23,35
15:39,130,Moritz Wagner Block.,23,35
15:38,130,D.J. Wilson Defensive Rebound.,23,35
15:38,116,Foul on Mawdo Sallah.,23,35
15:38,130,Official TV Timeout,23,35
15:17,130,Foul on Muhammad-Ali Abdur-Rahkman.,23,35
15:17,130,Muhammad-Ali Abdur-Rahkman Turnover.,23,35
15:06,116,Will Miller missed Three Point Jumper.,23,35
15:04,130,Derrick Walton Jr. Defensive Rebound.,23,35
14:57,116,Foul on Chris Wray.,23,35
14:43,130,D.J. Wilson missed Jumper.,23,35
14:40,130,D.J. Wilson Offensive Rebound.,23,35
14:39,130,D.J. Wilson made Jumper.,23,37
14:16,116,Junior Robinson made Three Point Jumper.,26,37
13:56,130,Zak Irvin missed Jumper.,26,37
13:56,130,Moritz Wagner Offensive Rebound.,26,37
13:56,116,Foul on Will Miller.,26,37
13:54,130,Derrick Walton Jr. missed Jumper.,26,37
13:54,116,Junior Robinson Block.,26,37
13:54,130,Michigan Offensive Rebound.,26,37
13:36,130,Zak Irvin made Jumper.,26,39
13:04,116,Greg Alexander missed Three Point Jumper.,26,39
13:00,130,D.J. Wilson Defensive Rebound.,26,39
12:53,130,D.J. Wilson made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,26,42
12:32,116,Miles Wilson made Jumper.,28,42
12:32,116,Mt. St. Mary's  Timeout,28,42
12:00,130,Mark Donnal made Layup.,28,44
11:40,116,Will Miller missed Three Point Jumper.,28,44
11:37,130,Zak Irvin Defensive Rebound.,28,44
11:30,130,Duncan Robinson made Three Point Jumper. Assisted by Zak Irvin.,28,47
11:16,116,Elijah Long missed Jumper.,28,47
11:14,116,Elijah Long Offensive Rebound.,28,47
11:12,116,Chris Wray made Layup. Assisted by Elijah Long.,30,47
10:41,130,Muhammad-Ali Abdur-Rahkman made Layup.,30,49
10:21,116,Greg Alexander missed Three Point Jumper.,30,49
10:17,130,Mark Donnal Defensive Rebound.,30,49
10:09,116,Foul on Chris Wray.,30,49
10:09,130,Official TV Timeout,30,49
9:53,130,Zak Irvin missed Three Point Jumper.,30,49
9:49,116,Elijah Long Defensive Rebound.,30,49
9:41,130,Foul on Muhammad-Ali Abdur-Rahkman.,30,49
9:41,116,Elijah Long made Free Throw.,31,49
9:41,116,Elijah Long made Free Throw.,32,49
9:30,130,Xavier Simpson missed Three Point Jumper.,32,49
9:25,116,Mawdo Sallah Defensive Rebound.,32,49
9:03,116,Junior Robinson made Three Point Jumper. Assisted by Chris Wray.,35,49
8:33,130,Duncan Robinson missed Jumper.,35,49
8:30,130,Duncan Robinson Offensive Rebound.,35,49
8:29,130,Derrick Walton Jr. made Three Point Jumper. Assisted by Duncan Robinson.,35,52
8:09,116,Greg Alexander made Layup.,37,52
7:41,116,Official TV Timeout,37,52
7:41,116,Foul on Mawdo Sallah.,37,52
7:41,130,Xavier Simpson made Free Throw.,37,53
7:41,130,Xavier Simpson missed Free Throw.,37,53
7:41,116,Chris Wray Defensive Rebound.,37,53
7:14,116,Mawdo Sallah made Layup. Assisted by Chris Wray.,39,53
6:43,130,Duncan Robinson missed Three Point Jumper.,39,53
6:43,116,Chris Wray Block.,39,53
6:41,116,Chris Wray Defensive Rebound.,39,53
6:32,116,Junior Robinson made Three Point Jumper. Assisted by Chris Wray.,42,53
6:15,130,Michigan  Timeout,42,53
5:55,130,Duncan Robinson missed Three Point Jumper.,42,53
5:52,130,Mark Donnal Offensive Rebound.,42,53
5:45,116,Foul on Elijah Long.,42,53
5:25,130,Duncan Robinson Turnover.,42,53
5:16,116,Miles Wilson missed Jumper.,42,53
5:13,116,Mawdo Sallah Offensive Rebound.,42,53
4:46,116,Elijah Long made Three Point Jumper.,45,53
4:18,130,Zak Irvin made Jumper.,45,55
3:45,116,Junior Robinson missed Three Point Jumper.,45,55
3:45,130,Michigan Deadball Team Rebound.,45,55
3:13,130,Mark Donnal missed Jumper.,45,55
3:09,130,D.J. Wilson Offensive Rebound.,45,55
3:08,130,Derrick Walton Jr. missed Three Point Jumper.,45,55
3:06,130,Mark Donnal Offensive Rebound.,45,55
3:05,130,Mark Donnal made Jumper.,45,57
2:34,116,Elijah Long missed Jumper.,45,57
2:32,130,D.J. Wilson Defensive Rebound.,45,57
2:10,116,Foul on Junior Robinson.,45,57
2:10,130,Derrick Walton Jr. made Free Throw.,45,58
2:10,130,Derrick Walton Jr. made Free Throw.,45,59
2:01,116,Elijah Long made Jumper.,47,59
1:59,116,Technical Foul on Elijah Long.,47,59
1:59,130,Derrick Walton Jr. made Free Throw.,47,60
1:59,130,Derrick Walton Jr. made Free Throw.,47,61
1:38,130,Foul on Derrick Walton Jr..,47,61
1:38,130,Derrick Walton Jr. Turnover.,47,61
1:15,116,Junior Robinson missed Jumper.,47,61
1:15,130,Moritz Wagner Block.,47,61
1:11,130,Derrick Walton Jr. Defensive Rebound.,47,61
0:48,130,Moritz Wagner made Three Point Jumper. Assisted by Derrick Walton Jr..,47,64
0:20,116,Elijah Long missed Jumper.,47,64
0:16,116,Mawdo Sallah Offensive Rebound.,47,64
0:15,116,Mawdo Sallah missed Jumper.,47,64
0:13,130,Derrick Walton Jr. Defensive Rebound.,47,64
0:00,130,End of Game,47,64
