St. Francis (BKN),292,UT Rio Grande Valley,2597
15:48,2597,Yunus Hopkinson missed Layup.,6,6
15:48,2597,Yunus Hopkinson Offensive Rebound.,6,6
15:43,2597,Glenn Sanabria Turnover.,6,6
15:28,292,Lew Stallworth made Layup.,6,8
14:54,2597,Yunus Hopkinson missed Three Point Jumper.,6,8
14:54,2597,Keon Williams Offensive Rebound.,6,8
14:47,292,Foul on Walter Jones.,6,8
14:45,292,Foul on Walter Jones.,6,8
14:45,2597,Keon Williams made Free Throw.,7,8
14:45,2597,Keon Williams made Free Throw.,8,8
14:23,292,Lew Stallworth made Jumper.,8,10
14:02,2597,Jahmel Bodrick missed Layup.,8,10
14:02,292,UT Rio Grande Valley Defensive Rebound.,8,10
13:56,2597,Foul on Jahmel Bodrick.,8,10
13:56,292,Nick Dixon Turnover.,8,10
13:56,2597,Rasheem Dunn Steal.,8,10
13:43,292,Foul on Mike Nwabuzor.,8,10
13:43,2597,Rasheem Dunn missed Free Throw.,8,10
13:43,2597,St. Francis BKN Deadball Team Rebound.,8,10
13:43,2597,Rasheem Dunn made Free Throw.,9,10
13:28,292,Walter Jones missed Jumper.,9,10
13:28,292,Nick Dixon Offensive Rebound.,9,10
13:25,292,Nick Dixon missed Three Point Jumper.,9,10
13:25,2597,Rasheem Dunn Defensive Rebound.,9,10
13:13,2597,Glenn Sanabria missed Three Point Jumper.,9,10
13:13,292,Nick Dixon Defensive Rebound.,9,10
13:01,292,Mike Nwabuzor missed Layup.,9,10
13:01,2597,Robert Montgomery Defensive Rebound.,9,10
12:57,2597,Glenn Sanabria made Layup.,11,10
12:40,292,Nick Dixon missed Layup.,11,10
12:40,2597,Keon Williams Defensive Rebound.,11,10
12:22,292,Foul on Walter Jones.,11,10
12:22,2597,Glenn Sanabria missed Free Throw.,11,10
12:22,292,Dan Kimasa Defensive Rebound.,11,10
12:11,292,Foul on Xavier McDaniel Jr..,11,10
11:49,2597,Keon Williams missed Jumper.,11,10
11:49,292,Nick Dixon Defensive Rebound.,11,10
11:40,292,Xavier McDaniel Jr. missed Jumper.,11,10
11:40,2597,Keon Williams Defensive Rebound.,11,10
11:27,2597,Yunus Hopkinson missed Three Point Jumper.,11,10
11:27,292,UT Rio Grande Valley Defensive Rebound.,11,10
11:11,292,Antonio Green missed Jumper.,11,10
11:11,2597,Gianni Ford Defensive Rebound.,11,10
10:55,2597,Rasheem Dunn made Three Point Jumper. Assisted by Yunus Hopkinson.,14,10
10:39,292,Xavier McDaniel Jr. missed Three Point Jumper.,14,10
10:39,2597,Gunnar Olafsson Defensive Rebound.,14,10
10:17,2597,Robert Montgomery Turnover.,14,10
9:57,292,Gage Loy missed Three Point Jumper.,14,10
9:57,2597,Gianni Ford Defensive Rebound.,14,10
9:50,2597,Gianni Ford missed Layup.,14,10
9:50,2597,Robert Montgomery Offensive Rebound.,14,10
9:46,2597,Robert Montgomery missed Layup.,14,10
9:46,2597,St. Francis BKN Offensive Rebound.,14,10
9:39,292,Foul on Lesley Varner Jr..,14,10
9:35,2597,Robert Montgomery made Free Throw.,15,10
9:35,2597,Robert Montgomery missed Free Throw.,15,10
9:35,2597,Darelle Porter Offensive Rebound.,15,10
9:35,2597,Darelle Porter made Layup.,17,10
9:35,292,Lew Stallworth made Layup.,17,12
9:15,2597,Darelle Porter missed Jumper.,17,12
9:15,292,Gage Loy Defensive Rebound.,17,12
9:10,2597,Foul on Robert Montgomery.,17,12
8:48,292,Lew Stallworth made Layup.,17,14
8:19,2597,Rasheem Dunn missed Three Point Jumper.,17,14
8:19,292,UT Rio Grande Valley Defensive Rebound.,17,14
7:54,292,Lew Stallworth missed Three Point Jumper.,17,14
7:54,292,Gage Loy Offensive Rebound.,17,14
7:49,292,Mike Hoffman missed Jumper.,17,14
7:49,2597,Yunus Hopkinson Defensive Rebound.,17,14
7:49,2597,Rasheem Dunn missed Jumper.,17,14
7:49,292,Gage Loy Defensive Rebound.,17,14
7:41,292,Gage Loy missed Layup.,17,14
7:41,2597,Rasheem Dunn Defensive Rebound.,17,14
7:31,2597,Yunus Hopkinson missed Three Point Jumper.,17,14
7:31,292,Gage Loy Defensive Rebound.,17,14
7:22,292,Antonio Green missed Three Point Jumper.,17,14
7:22,292,Gage Loy Offensive Rebound.,17,14
7:08,292,Lew Stallworth missed Layup.,17,14
7:08,2597,Rasheem Dunn Defensive Rebound.,17,14
6:48,2597,Jagos Lasic Turnover.,17,14
6:15,292,Antonio Green missed Jumper.,17,14
6:15,2597,Robert Montgomery Defensive Rebound.,17,14
5:55,2597,Darelle Porter Turnover.,17,14
5:37,292,Nick Dixon made Layup.,17,16
5:16,2597,Yunus Hopkinson made Three Point Jumper. Assisted by Glenn Sanabria.,20,16
5:07,2597,Foul on Yunus Hopkinson.,20,16
5:07,292,Xavier McDaniel Jr. missed Layup.,20,16
5:07,292,Nick Dixon Offensive Rebound.,20,16
5:07,292,Nick Dixon made Layup.,20,18
4:45,2597,Glenn Sanabria made Three Point Jumper.,23,18
4:26,292,Antonio Green missed Jumper.,23,18
4:26,2597,Glenn Sanabria Defensive Rebound.,23,18
4:20,2597,Rasheem Dunn missed Layup.,23,18
4:20,2597,Robert Montgomery Offensive Rebound.,23,18
4:13,2597,Robert Montgomery made Layup.,25,18
4:03,292,Xavier McDaniel Jr. missed Layup.,25,18
4:03,2597,Darelle Porter Defensive Rebound.,25,18
3:35,2597,Darelle Porter missed Three Point Jumper.,25,18
3:35,292,UT Rio Grande Valley Defensive Rebound.,25,18
3:26,2597,Foul on Robert Montgomery.,25,18
3:26,292,Antonio Green made Free Throw.,25,19
3:26,292,Antonio Green made Free Throw.,25,20
3:17,2597,Darelle Porter made Layup. Assisted by Rasheem Dunn.,27,20
3:02,292,Lew Stallworth Turnover.,27,20
3:01,2597,Joshua Nurse Steal.,27,20
2:29,2597,Darelle Porter missed Jumper.,27,20
2:29,292,UT Rio Grande Valley Defensive Rebound.,27,20
2:05,292,Mike Hoffman missed Jumper.,27,20
2:05,292,Xavier McDaniel Jr. Offensive Rebound.,27,20
1:54,2597,Foul on Darelle Porter.,27,20
1:54,292,Nick Dixon made Free Throw.,27,21
1:54,292,Nick Dixon missed Free Throw.,27,21
1:54,292,Nick Dixon Offensive Rebound.,27,21
1:54,292,Nick Dixon made Jumper.,27,23
1:32,2597,Glenn Sanabria missed Layup.,27,23
1:32,292,Xavier McDaniel Jr. Defensive Rebound.,27,23
1:24,292,Xavier McDaniel Jr. made Layup.,27,25
1:22,2597,Foul on Yunus Hopkinson.,27,25
1:21,292,Xavier McDaniel Jr. made Free Throw.,27,26
1:15,292,Foul on Mike Hoffman.,27,26
1:15,2597,Gunnar Olafsson missed Free Throw.,27,26
1:15,2597,St. Francis BKN Deadball Team Rebound.,27,26
1:15,2597,Gunnar Olafsson missed Free Throw.,27,26
1:15,292,Antonio Green Defensive Rebound.,27,26
1:15,292,Antonio Green Turnover.,27,26
1:15,2597,Keon Williams Steal.,27,26
1:15,2597,Keon Williams made Layup.,29,26
1:08,292,Lew Stallworth missed Three Point Jumper.,29,26
1:08,2597,Joshua Nurse Defensive Rebound.,29,26
0:40,2597,Joshua Nurse Turnover.,29,26
0:39,292,Antonio Green Steal.,29,26
0:35,292,Antonio Green Turnover.,29,26
0:34,2597,Rasheem Dunn Steal.,29,26
0:30,2597,Rasheem Dunn missed Jumper.,29,26
0:30,2597,Gunnar Olafsson Offensive Rebound.,29,26
0:10,2597,Glenn Sanabria missed Jumper.,29,26
0:10,292,UT Rio Grande Valley Defensive Rebound.,29,26
0:00,292,End of 1st half,29,26
19:36,292,Gage Loy missed Jumper.,29,26
19:36,2597,Gunnar Olafsson Defensive Rebound.,29,26
19:13,2597,Glenn Sanabria missed Layup.,29,26
19:13,292,Gage Loy Defensive Rebound.,29,26
19:00,292,Gage Loy Turnover.,29,26
18:58,2597,Glenn Sanabria Steal.,29,26
18:52,292,Foul on Lew Stallworth.,29,26
18:52,2597,Yunus Hopkinson made Free Throw.,30,26
18:52,2597,Yunus Hopkinson made Free Throw.,31,26
18:43,292,Mike Hoffman missed Jumper.,31,26
18:43,2597,Joshua Nurse Defensive Rebound.,31,26
18:32,2597,Yunus Hopkinson missed Jumper.,31,26
18:32,2597,Keon Williams Offensive Rebound.,31,26
18:29,2597,Keon Williams missed Layup.,31,26
18:29,292,Lew Stallworth Defensive Rebound.,31,26
18:19,292,Lew Stallworth made Layup.,31,28
17:57,2597,Gunnar Olafsson missed Three Point Jumper.,31,28
17:57,292,Lew Stallworth Defensive Rebound.,31,28
17:50,292,Nick Dixon missed Three Point Jumper.,31,28
17:50,2597,Gunnar Olafsson Defensive Rebound.,31,28
17:40,2597,Glenn Sanabria made Layup.,33,28
17:24,292,Gage Loy made Layup. Assisted by Nick Dixon.,33,30
17:08,292,Foul on Mike Hoffman.,33,30
17:08,2597,Joshua Nurse made Free Throw.,34,30
17:08,2597,Joshua Nurse missed Free Throw.,34,30
17:08,292,Antonio Green Defensive Rebound.,34,30
16:46,292,Antonio Green missed Jumper.,34,30
16:46,2597,Gunnar Olafsson Defensive Rebound.,34,30
16:43,292,Nick Dixon made Layup.,34,32
16:38,2597,Gunnar Olafsson Turnover.,34,32
16:37,292,Lew Stallworth Steal.,34,32
16:33,292,Antonio Green missed Three Point Jumper.,34,32
16:33,292,Adonis Rwabigwi Offensive Rebound.,34,32
16:28,292,Adonis Rwabigwi missed Layup.,34,32
16:28,292,Adonis Rwabigwi Offensive Rebound.,34,32
16:18,2597,Foul on Joshua Nurse.,34,32
16:13,292,Adonis Rwabigwi missed Free Throw.,34,32
16:13,292,Gage Loy Offensive Rebound.,34,32
16:13,292,Nick Dixon made Layup. Assisted by Gage Loy.,34,34
16:10,2597,Glenn Sanabria missed Three Point Jumper.,34,34
16:10,2597,Jahmel Bodrick Offensive Rebound.,34,34
16:05,2597,Jahmel Bodrick made Layup.,36,34
15:52,292,Nick Dixon made Jumper.,36,36
15:29,2597,Yunus Hopkinson missed Layup.,36,36
15:29,292,Xavier McDaniel Jr. Defensive Rebound.,36,36
15:14,292,Nick Dixon missed Jumper.,36,36
15:14,2597,Gunnar Olafsson Defensive Rebound.,36,36
14:51,2597,Glenn Sanabria missed Three Point Jumper.,36,36
14:51,2597,Gunnar Olafsson Offensive Rebound.,36,36
14:46,2597,Yunus Hopkinson made Three Point Jumper. Assisted by Rasheem Dunn.,39,36
14:39,2597,Foul on Yunus Hopkinson.,39,36
14:32,292,Adonis Rwabigwi made Free Throw.,39,37
14:07,292,Xavier McDaniel Jr. made Free Throw.,39,38
14:07,292,Xavier McDaniel Jr. made Free Throw.,39,39
13:57,2597,Glenn Sanabria made Layup.,41,39
13:45,292,Adonis Rwabigwi made Layup. Assisted by Nick Dixon.,41,41
13:15,2597,Jahmel Bodrick made Layup. Assisted by Glenn Sanabria.,43,41
12:58,2597,Foul on Jahmel Bodrick.,43,41
12:51,292,Antonio Green missed Jumper.,43,41
12:38,292,Adonis Rwabigwi Offensive Rebound.,43,41
12:36,292,Adonis Rwabigwi made Layup.,43,43
12:31,2597,Foul on Rasheem Dunn.,43,43
12:25,2597,Foul on Keon Williams.,43,43
12:25,292,Antonio Green missed Three Point Jumper.,43,43
12:25,2597,Glenn Sanabria Defensive Rebound.,43,43
12:25,292,Foul on Xavier McDaniel Jr..,43,43
12:18,2597,Glenn Sanabria made Layup.,45,43
12:10,292,Nick Dixon missed Layup.,45,43
12:10,2597,Darelle Porter Defensive Rebound.,45,43
12:03,2597,Robert Montgomery Turnover.,45,43
12:02,292,Nick Dixon Steal.,45,43
11:38,292,Antonio Green made Jumper. Assisted by Lew Stallworth.,45,45
11:06,2597,Rasheem Dunn missed Three Point Jumper.,45,45
11:06,292,Antonio Green Defensive Rebound.,45,45
10:41,292,Xavier McDaniel Jr. made Jumper.,45,47
10:13,2597,Darelle Porter made Three Point Jumper. Assisted by Glenn Sanabria.,48,47
10:04,2597,Foul on Robert Montgomery.,48,47
10:01,2597,Foul on Jahmel Bodrick.,48,47
10:01,292,Lew Stallworth missed Free Throw.,48,47
10:01,292,UT Rio Grande Valley Deadball Team Rebound.,48,47
10:01,292,Lew Stallworth made Free Throw.,48,48
10:00,292,Foul on Xavier McDaniel Jr..,48,48
9:44,2597,Darelle Porter missed Three Point Jumper.,48,48
9:44,292,Walter Jones Defensive Rebound.,48,48
9:30,292,Lew Stallworth Turnover.,48,48
9:13,292,Foul on Walter Jones.,48,48
9:13,2597,Rasheem Dunn made Free Throw.,49,48
9:13,2597,Rasheem Dunn made Free Throw.,50,48
8:47,292,Nick Dixon made Layup. Assisted by Lew Stallworth.,50,50
8:32,2597,Darelle Porter missed Jumper.,50,50
8:32,292,Xavier McDaniel Jr. Defensive Rebound.,50,50
8:22,292,Xavier McDaniel Jr. missed Three Point Jumper.,50,50
8:22,2597,Rasheem Dunn Defensive Rebound.,50,50
7:57,292,Foul on Lew Stallworth.,50,50
7:44,2597,Yunus Hopkinson made Three Point Jumper.,53,50
7:22,292,Lew Stallworth made Layup.,53,52
7:05,2597,Robert Montgomery missed Layup.,53,52
7:05,292,UT Rio Grande Valley Defensive Rebound.,53,52
7:01,2597,Foul on Darelle Porter.,53,52
6:56,292,Xavier McDaniel Jr. made Free Throw.,53,53
6:56,292,Xavier McDaniel Jr. made Free Throw.,53,54
6:56,2597,Darelle Porter Turnover.,53,54
6:56,292,Nick Dixon Steal.,53,54
6:56,292,Xavier McDaniel Jr. made Jumper. Assisted by Nick Dixon.,53,56
6:56,2597,Yunus Hopkinson made Layup.,55,56
6:56,292,Antonio Green missed Three Point Jumper.,55,56
6:56,2597,Robert Montgomery Defensive Rebound.,55,56
6:50,2597,Rasheem Dunn missed Three Point Jumper.,55,56
6:50,292,Xavier McDaniel Jr. Defensive Rebound.,55,56
6:43,292,Xavier McDaniel Jr. missed Jumper.,55,56
6:43,2597,Robert Montgomery Defensive Rebound.,55,56
6:26,2597,Rasheem Dunn Turnover.,55,56
6:12,292,Antonio Green missed Layup.,55,56
5:59,292,Gage Loy Offensive Rebound.,55,56
5:50,292,Gage Loy made Layup.,55,58
5:45,292,Foul on Gage Loy.,55,58
5:40,2597,Yunus Hopkinson missed Free Throw.,55,58
5:40,2597,St. Francis BKN Deadball Team Rebound.,55,58
5:13,2597,Yunus Hopkinson missed Free Throw.,55,58
5:13,292,Gage Loy Defensive Rebound.,55,58
4:46,292,Nick Dixon made Three Point Jumper.,55,61
4:36,2597,Yunus Hopkinson missed Three Point Jumper.,55,61
4:36,292,Moe McDonald Defensive Rebound.,55,61
4:14,292,Nick Dixon made Three Point Jumper.,55,64
3:50,2597,Glenn Sanabria missed Three Point Jumper.,55,64
3:50,292,Moe McDonald Defensive Rebound.,55,64
3:34,292,Nick Dixon missed Jumper.,55,64
3:34,2597,Gunnar Olafsson Defensive Rebound.,55,64
3:28,292,Foul on Gage Loy.,55,64
3:28,2597,Rasheem Dunn made Free Throw.,56,64
3:28,2597,Rasheem Dunn made Free Throw.,57,64
3:06,2597,Foul on Robert Montgomery.,57,64
3:06,292,Gage Loy made Free Throw.,57,65
3:06,292,Gage Loy made Free Throw.,57,66
2:44,2597,Robert Montgomery missed Layup.,57,66
2:44,292,Gage Loy Defensive Rebound.,57,66
2:26,292,Lew Stallworth made Layup.,57,68
1:56,2597,Gunnar Olafsson made Layup.,59,68
1:34,2597,Foul on Robert Montgomery.,59,68
1:34,292,Lew Stallworth missed Free Throw.,59,68
1:34,292,UT Rio Grande Valley Deadball Team Rebound.,59,68
1:34,292,Lew Stallworth made Free Throw.,59,69
1:16,292,Foul on Gage Loy.,59,69
1:16,2597,Glenn Sanabria missed Free Throw.,59,69
1:16,2597,St. Francis BKN Deadball Team Rebound.,59,69
1:16,2597,Glenn Sanabria made Free Throw.,60,69
1:16,2597,Glenn Sanabria made Free Throw.,61,69
0:56,292,Nick Dixon made Layup.,61,71
0:45,2597,Yunus Hopkinson missed Layup.,61,71
0:45,292,Mike Hoffman Block.,61,71
0:45,292,Nick Dixon Defensive Rebound.,61,71
0:24,292,Antonio Green missed Three Point Jumper.,61,71
0:24,2597,Jahmel Bodrick Defensive Rebound.,61,71
0:18,2597,Yunus Hopkinson missed Three Point Jumper.,61,71
0:18,292,Nick Dixon Defensive Rebound.,61,71
0:00,292,End of 2nd half,61,71
