Iowa,235,Memphis,2294
18:30,2294,Tyler Cook Defensive Rebound.,58,56
18:22,235,Foul on Chad Rykhoek.,58,56
18:22,2294,Tyler Cook made Free Throw.,59,56
18:22,2294,Tyler Cook made Free Throw.,60,56
18:22,235,Markel Crawford made Layup.,60,58
18:21,235,Foul on Craig Randall II.,60,58
17:57,2294,Peter Jok Turnover.,60,58
17:34,235,Markel Crawford missed Jumper.,60,58
17:34,235,Jeremiah Martin Offensive Rebound.,60,58
17:30,235,K.J. Lawson missed Three Point Jumper.,60,58
17:30,2294,Tyler Cook Defensive Rebound.,60,58
17:12,2294,Dom Uhl missed Three Point Jumper.,60,58
17:12,235,K.J. Lawson Defensive Rebound.,60,58
16:46,235,K.J. Lawson missed Layup.,60,58
16:46,2294,Peter Jok Defensive Rebound.,60,58
16:35,2294,Peter Jok missed Layup.,60,58
16:35,2294,Iowa Offensive Rebound.,60,58
16:33,2294,Nicholas Baer made Three Point Jumper. Assisted by Christian Williams.,63,58
16:26,235,Dedric Lawson made Layup.,63,60
15:55,2294,Tyler Cook Turnover.,63,60
15:45,235,Markel Crawford missed Three Point Jumper.,63,60
15:45,235,Dedric Lawson Offensive Rebound.,63,60
15:40,235,Dedric Lawson made Layup.,63,62
15:32,2294,Christian Williams missed Three Point Jumper.,63,62
15:32,235,Dedric Lawson Defensive Rebound.,63,62
15:24,235,Jeremiah Martin made Three Point Jumper. Assisted by Craig Randall II.,63,65
15:05,2294,Christian Williams missed Layup.,63,65
15:05,235,Dedric Lawson Block.,63,65
15:05,235,Jeremiah Martin Defensive Rebound.,63,65
14:55,235,Jeremiah Martin missed Three Point Jumper.,63,65
14:55,235,Markel Crawford Offensive Rebound.,63,65
14:35,235,Jeremiah Martin made Three Point Jumper.,63,68
14:24,2294,Tyler Cook missed Layup.,63,68
14:24,2294,Tyler Cook Offensive Rebound.,63,68
14:21,2294,Tyler Cook made Layup.,65,68
14:11,235,K.J. Lawson made Layup.,65,70
14:04,2294,Foul on Tyler Cook.,65,70
13:59,235,K.J. Lawson made Free Throw.,65,71
13:55,2294,Cordell Pemsl Turnover.,65,71
13:53,235,Jeremiah Martin Steal.,65,71
13:50,235,Craig Randall II made Layup. Assisted by Jeremiah Martin.,65,73
13:18,2294,Jordan Bohannon missed Layup.,65,73
13:18,235,Memphis Defensive Rebound.,65,73
12:59,235,K.J. Lawson missed Layup.,65,73
12:59,235,Dedric Lawson Offensive Rebound.,65,73
12:56,235,Dedric Lawson made Layup.,65,75
12:40,235,Foul on Markel Crawford.,65,75
12:40,2294,Peter Jok made Free Throw.,66,75
12:40,2294,Peter Jok made Free Throw.,67,75
12:32,235,K.J. Lawson missed Jumper.,67,75
12:32,2294,Peter Jok Defensive Rebound.,67,75
12:19,2294,Brady Ellingson made Three Point Jumper. Assisted by Ahmad Wagner.,70,75
12:08,2294,Foul on Ahmad Wagner.,70,75
12:08,235,Markel Crawford made Free Throw.,70,76
12:08,235,Markel Crawford made Free Throw.,70,77
11:56,2294,Jordan Bohannon made Layup. Assisted by Brady Ellingson.,72,77
11:25,2294,Foul on Ahmad Wagner.,72,77
11:07,235,Craig Randall II made Three Point Jumper. Assisted by Jeremiah Martin.,72,80
10:40,2294,Peter Jok Turnover.,72,80
10:37,235,Craig Randall II made Three Point Jumper. Assisted by Dedric Lawson.,72,83
10:28,235,Foul on Dedric Lawson.,72,83
10:09,2294,Cordell Pemsl missed Free Throw.,72,83
10:09,2294,Iowa Deadball Team Rebound.,72,83
10:09,2294,Cordell Pemsl missed Free Throw.,72,83
10:09,2294,Ahmad Wagner Offensive Rebound.,72,83
10:09,2294,Ahmad Wagner Turnover.,72,83
9:50,235,Foul on Dedric Lawson.,72,83
9:33,2294,Ahmad Wagner missed Layup.,72,83
9:33,235,Dedric Lawson Defensive Rebound.,72,83
9:18,235,K.J. Lawson missed Layup.,72,83
9:18,2294,Ahmad Wagner Defensive Rebound.,72,83
9:09,2294,Tyler Cook made Layup. Assisted by Nicholas Baer.,74,83
8:52,235,Craig Randall II missed Jumper.,74,83
8:52,235,Dedric Lawson Offensive Rebound.,74,83
8:52,2294,Foul on Ahmad Wagner.,74,83
8:52,235,Dedric Lawson made Free Throw.,74,84
8:52,235,Dedric Lawson missed Free Throw.,74,84
8:52,2294,Peter Jok Defensive Rebound.,74,84
8:42,2294,Dom Uhl made Layup. Assisted by Jordan Bohannon.,76,84
8:16,235,Jeremiah Martin missed Jumper.,76,84
8:16,2294,Peter Jok Defensive Rebound.,76,84
8:16,2294,Foul on Peter Jok.,76,84
8:16,235,Foul on Jeremiah Martin.,76,84
8:09,2294,Tyler Cook Turnover.,76,84
8:07,235,Dedric Lawson Steal.,76,84
7:55,2294,Foul on Jordan Bohannon.,76,84
7:35,235,Jeremiah Martin missed Three Point Jumper.,76,84
7:35,2294,Brady Ellingson Defensive Rebound.,76,84
7:23,2294,Peter Jok Turnover.,76,84
7:23,235,Jeremiah Martin Steal.,76,84
7:23,235,Jeremiah Martin made Layup.,76,86
7:10,2294,Peter Jok Turnover.,76,86
7:06,235,K.J. Lawson Turnover.,76,86
6:49,2294,Peter Jok missed Three Point Jumper.,76,86
6:49,235,Craig Randall II Defensive Rebound.,76,86
6:29,235,Craig Randall II missed Three Point Jumper.,76,86
6:29,235,Markel Crawford Offensive Rebound.,76,86
5:51,235,Jeremiah Martin Turnover.,76,86
5:49,2294,Peter Jok Steal.,76,86
5:48,2294,Peter Jok made Layup.,78,86
5:21,235,K.J. Lawson missed Layup.,78,86
5:21,2294,Tyler Cook Block.,78,86
5:21,2294,Brady Ellingson Defensive Rebound.,78,86
5:06,235,Foul on Markel Crawford.,78,86
5:06,2294,Peter Jok made Free Throw.,79,86
5:06,2294,Peter Jok made Free Throw.,80,86
4:55,235,Dedric Lawson made Layup.,80,88
4:47,2294,Jordan Bohannon made Three Point Jumper.,83,88
4:24,235,Dedric Lawson missed Layup.,83,88
4:24,2294,Dom Uhl Defensive Rebound.,83,88
4:15,2294,Dom Uhl Turnover.,83,88
4:14,235,Jeremiah Martin Steal.,83,88
4:09,2294,Foul on Jordan Bohannon.,83,88
4:09,235,Markel Crawford missed Free Throw.,83,88
4:09,235,Memphis Deadball Team Rebound.,83,88
4:09,235,Markel Crawford made Free Throw.,83,89
3:58,2294,Peter Jok made Three Point Jumper. Assisted by Jordan Bohannon.,86,89
3:31,235,Markel Crawford missed Layup.,86,89
3:31,235,Dedric Lawson Offensive Rebound.,86,89
3:27,235,Dedric Lawson made Layup.,86,91
3:07,2294,Jordan Bohannon missed Three Point Jumper.,86,91
3:07,2294,Tyler Cook Offensive Rebound.,86,91
3:01,235,Foul on Craig Randall II.,86,91
3:01,2294,Peter Jok made Free Throw.,87,91
3:01,2294,Peter Jok made Free Throw.,88,91
2:40,235,Craig Randall II missed Layup.,88,91
2:40,235,- Null Offensive Rebound.,88,91
2:34,235,Dedric Lawson made Layup.,88,93
2:11,2294,Jordan Bohannon Turnover.,88,93
2:09,235,Craig Randall II Steal.,88,93
1:47,235,Markel Crawford made Jumper. Assisted by Craig Randall II.,88,95
1:30,235,Foul on Craig Randall II.,88,95
1:30,2294,Peter Jok made Free Throw.,89,95
1:30,2294,Peter Jok made Free Throw.,90,95
1:14,2294,Foul on Nicholas Baer.,90,95
1:14,235,Jeremiah Martin made Free Throw.,90,96
1:14,235,Jeremiah Martin missed Free Throw.,90,96
1:14,2294,Peter Jok Defensive Rebound.,90,96
1:11,2294,Tyler Cook missed Layup.,90,96
1:11,235,Dedric Lawson Defensive Rebound.,90,96
1:11,2294,Foul on Nicholas Baer.,90,96
0:50,235,Markel Crawford made Free Throw.,90,97
0:50,235,Markel Crawford made Free Throw.,90,98
0:41,2294,Jordan Bohannon Turnover.,90,98
0:40,2294,Foul on Nicholas Baer.,90,98
0:40,235,Dedric Lawson made Free Throw.,90,99
0:40,235,Dedric Lawson missed Free Throw.,90,99
0:40,2294,Brady Ellingson Defensive Rebound.,90,99
0:33,2294,Christian Williams missed Layup.,90,99
0:33,235,K.J. Lawson Defensive Rebound.,90,99
0:29,2294,Foul on Dom Uhl.,90,99
0:29,235,K.J. Lawson missed Free Throw.,90,99
0:29,235,Memphis Deadball Team Rebound.,90,99
0:29,235,K.J. Lawson missed Free Throw.,90,99
0:29,2294,Tyler Cook Defensive Rebound.,90,99
0:21,2294,Dom Uhl missed Three Point Jumper.,90,99
0:21,2294,Peter Jok Offensive Rebound.,90,99
0:18,235,Foul on Markel Crawford.,90,99
0:18,2294,Peter Jok made Free Throw.,91,99
0:18,2294,Peter Jok made Free Throw.,92,99
0:17,2294,Foul on Jordan Bohannon.,92,99
0:14,235,Christian Kessee made Free Throw.,92,100
0:14,235,Christian Kessee missed Free Throw.,92,100
0:14,2294,Ahmad Wagner Defensive Rebound.,92,100
0:08,2294,Jordan Bohannon missed Layup.,92,100
0:08,235,K.J. Lawson Defensive Rebound.,92,100
0:00,235,End of 2nd half,92,100
