Utah Valley,252,BYU,3084
5:39,252,L.J. Rose made Free Throw.,90,80
5:39,252,L.J. Rose missed Free Throw.,90,80
5:38,252,Payton Dastrup Offensive Rebound.,90,80
5:24,252,Payton Dastrup Turnover.,90,80
5:23,3084,Brandon Randolph Steal.,90,80
5:19,3084,Conner Toolson made Layup. Assisted by Brandon Randolph.,92,80
5:11,252,Kyle Davis Turnover.,92,80
5:09,3084,Conner Toolson Steal.,92,80
4:50,252,Foul on L.J. Rose.,92,80
4:50,3084,Brandon Randolph made Free Throw.,93,80
4:50,3084,Brandon Randolph made Free Throw.,94,80
4:50,3084,Foul on Zach Nelson.,94,80
4:50,252,Eric Mika made Free Throw.,94,81
4:50,252,Eric Mika made Free Throw.,94,82
4:41,3084,Jordan Poydras made Three Point Jumper. Assisted by Brandon Randolph.,97,82
4:27,252,Kyle Davis missed Jumper.,97,82
4:27,3084,Conner Toolson Defensive Rebound.,97,82
4:14,252,Foul on Eric Mika.,97,82
4:14,3084,Isaac Neilson missed Free Throw.,97,82
4:14,3084,Utah Valley Deadball Team Rebound.,97,82
4:14,3084,Isaac Neilson made Free Throw.,98,82
4:14,252,Kyle Davis made Dunk. Assisted by TJ Haws.,98,84
4:14,3084,Isaac Neilson made Jumper.,100,84
3:38,252,L.J. Rose missed Jumper.,100,84
3:38,252,Kyle Davis Offensive Rebound.,100,84
3:38,3084,Foul on Zach Nelson.,100,84
3:38,252,Official TV Timeout,100,84
3:38,252,Kyle Davis made Free Throw.,100,85
3:38,252,Kyle Davis made Free Throw.,100,86
3:24,3084,Jordan Poydras Turnover.,100,86
3:13,252,TJ Haws missed Jumper.,100,86
3:13,3084,Brandon Randolph Defensive Rebound.,100,86
3:11,3084,Brandon Randolph Turnover.,100,86
3:11,252,Nick Emery made Jumper.,100,88
2:57,252,Foul on TJ Haws.,100,88
2:57,3084,Conner Toolson made Free Throw.,101,88
2:57,3084,Conner Toolson made Free Throw.,102,88
2:50,252,Nick Emery Turnover.,102,88
2:26,3084,Jordan Poydras missed Jumper.,102,88
2:26,252,Yoeli Childs Defensive Rebound.,102,88
2:19,252,Nick Emery missed Three Point Jumper.,102,88
2:19,252,Kyle Davis Offensive Rebound.,102,88
2:16,252,Kyle Davis missed Jumper.,102,88
2:16,3084,Isaac Neilson Block.,102,88
2:14,3084,Zach Nelson Defensive Rebound.,102,88
2:06,3084,Isaac Neilson made Layup. Assisted by Brandon Randolph.,104,88
1:59,3084,Utah Valley  Timeout,104,88
1:54,3084,Foul on Isaac Neilson.,104,88
1:54,252,Kyle Davis missed Free Throw.,104,88
1:54,252,BYU Deadball Team Rebound.,104,88
1:54,252,Kyle Davis made Free Throw.,104,89
1:51,3084,Isaac Neilson missed Jumper.,104,89
1:51,252,Yoeli Childs Block.,104,89
1:51,3084,Utah Valley Offensive Rebound.,104,89
1:51,3084,Conner Toolson missed Three Point Jumper.,104,89
1:51,252,Nick Emery Defensive Rebound.,104,89
1:51,252,Yoeli Childs made Dunk. Assisted by Nick Emery.,104,91
1:49,252,Foul on TJ Haws.,104,91
1:29,3084,Brandon Randolph made Free Throw.,105,91
1:29,3084,Brandon Randolph missed Free Throw.,105,91
1:29,252,Yoeli Childs Defensive Rebound.,105,91
1:19,252,Nick Emery made Jumper.,105,93
1:10,252,Foul on Colby Leifson.,105,93
1:10,3084,Brandon Randolph made Free Throw.,106,93
1:10,3084,Brandon Randolph made Free Throw.,107,93
1:05,252,Nick Emery made Layup.,107,95
1:01,252,Foul on Nick Emery.,107,95
1:01,3084,Brandon Randolph missed Free Throw.,107,95
1:01,3084,Utah Valley Deadball Team Rebound.,107,95
1:01,3084,Brandon Randolph made Free Throw.,108,95
0:55,3084,Foul on Conner Toolson.,108,95
0:55,252,Nick Emery made Free Throw.,108,96
0:55,252,Nick Emery made Free Throw.,108,97
0:48,3084,Isaac Neilson made Dunk. Assisted by Brandon Randolph.,110,97
0:48,252,Foul on L.J. Rose.,110,97
0:48,3084,Isaac Neilson made Free Throw.,111,97
0:41,252,Nick Emery missed Jumper.,111,97
0:41,3084,Isaac Neilson Block.,111,97
0:41,252,BYU Offensive Rebound.,111,97
0:41,3084,Foul on Hayden Schenck.,111,97
0:41,252,Davin Guinn missed Free Throw.,111,97
0:41,252,BYU Deadball Team Rebound.,111,97
0:41,252,Davin Guinn made Free Throw.,111,98
0:40,252,Foul on Colby Leifson.,111,98
0:40,3084,Jordan Poydras made Free Throw.,112,98
0:40,3084,Jordan Poydras missed Free Throw.,112,98
0:40,252,Nick Emery Defensive Rebound.,112,98
0:36,252,Colby Leifson made Three Point Jumper. Assisted by Nick Emery.,112,101
0:28,252,Foul on Colby Leifson.,112,101
0:28,3084,Brandon Randolph made Free Throw.,113,101
0:28,3084,Brandon Randolph made Free Throw.,114,101
0:28,252,Nick Emery missed Three Point Jumper.,114,101
0:28,3084,Isaac Neilson Defensive Rebound.,114,101
0:00,252,End of Game,114,101
