Colgate,171,Columbia,2142
17:08,171,Luke Petrasek missed Jumper.,36,48
17:08,171,Chris McComber Offensive Rebound.,36,48
16:38,171,Quinton Adlesh missed Jumper.,36,48
16:38,2142,Jordan Swopshire Defensive Rebound.,36,48
16:20,2142,Jordan Swopshire missed Three Point Jumper.,36,48
16:20,171,Nate Hickman Defensive Rebound.,36,48
16:15,171,Nate Hickman missed Three Point Jumper.,36,48
16:15,2142,Colgate Defensive Rebound.,36,48
16:13,2142,Jordan Swopshire missed Three Point Jumper.,36,48
16:13,171,Nate Hickman Defensive Rebound.,36,48
15:47,2142,Foul on Dana Batt.,36,48
15:47,171,Official TV Timeout,36,48
15:23,171,Mike Smith missed Layup.,36,48
15:23,2142,Sean O'Brien Defensive Rebound.,36,48
15:07,2142,Foul on Sean O'Brien.,36,48
14:47,171,Quinton Adlesh missed Layup.,36,48
14:47,2142,Francisco Amiel Defensive Rebound.,36,48
14:26,2142,Nathan Harries missed Layup.,36,48
14:26,171,Luke Petrasek Defensive Rebound.,36,48
14:06,2142,Foul on Sean O'Brien.,36,48
13:54,171,Luke Petrasek Turnover.,36,48
13:42,2142,Colgate  Timeout,36,48
13:42,171,Official TV Timeout,36,48
13:26,2142,Sean O'Brien missed Jumper.,36,48
13:26,171,Columbia Deadball Team Rebound.,36,48
13:25,2142,Foul on Sean O'Brien.,36,48
13:14,171,Chris McComber Turnover.,36,48
12:52,2142,Nathan Harries made Three Point Jumper. Assisted by Malcolm Regisford.,39,48
12:35,171,CJ Davis missed Three Point Jumper.,39,48
12:35,2142,Nathan Harries Defensive Rebound.,39,48
12:26,2142,Nathan Harries made Layup.,41,48
12:03,171,Rodney Hunter made Jumper.,41,50
11:32,2142,Andrew Bargmann missed Three Point Jumper.,41,50
11:32,171,Rodney Hunter Defensive Rebound.,41,50
11:10,171,Quinton Adlesh missed Three Point Jumper.,41,50
11:10,2142,Andrew Bargmann Defensive Rebound.,41,50
10:53,2142,Nathan Harries made Layup.,43,50
10:29,171,Lukas Meisner missed Three Point Jumper.,43,50
10:29,2142,Nathan Harries Defensive Rebound.,43,50
10:28,171,Foul on Rodney Hunter.,43,50
10:27,171,Official TV Timeout,43,50
10:06,2142,Malcolm Regisford missed Layup.,43,50
10:06,171,Lukas Meisner Block.,43,50
10:03,171,Lukas Meisner Defensive Rebound.,43,50
9:50,2142,Foul on Andrew Bargmann.,43,50
9:50,171,Lukas Meisner made Free Throw.,43,51
9:50,171,Lukas Meisner made Free Throw.,43,52
9:23,171,Foul on Luke Petrasek.,43,52
9:23,2142,Jordan Swopshire made Free Throw.,44,52
9:23,2142,Jordan Swopshire made Free Throw.,45,52
9:03,171,Mike Smith made Layup.,45,54
8:50,2142,Will Rayman missed Layup.,45,54
8:50,2142,Will Rayman Offensive Rebound.,45,54
8:45,2142,Will Rayman made Layup.,47,54
8:29,171,Quinton Adlesh missed Three Point Jumper.,47,54
8:29,2142,Colgate Deadball Team Rebound.,47,54
8:22,171,Foul on Luke Petrasek.,47,54
8:08,2142,Sean O'Brien missed Three Point Jumper.,47,54
8:08,171,Chris McComber Defensive Rebound.,47,54
7:53,2142,Foul on Jordan Swopshire.,47,54
7:51,171,Official TV Timeout,47,54
7:51,171,Lukas Meisner missed Free Throw.,47,54
7:51,2142,Will Rayman Defensive Rebound.,47,54
7:36,2142,Jordan Swopshire missed Three Point Jumper.,47,54
7:36,171,Nate Hickman Defensive Rebound.,47,54
7:17,171,Chris McComber missed Three Point Jumper.,47,54
7:17,2142,Jordan Swopshire Defensive Rebound.,47,54
6:59,2142,Nathan Harries missed Layup.,47,54
6:59,2142,Nathan Harries Offensive Rebound.,47,54
6:54,2142,Nathan Harries made Layup.,49,54
6:32,171,Nate Hickman missed Jumper.,49,54
6:32,171,Chris McComber Offensive Rebound.,49,54
6:27,171,Chris McComber Turnover.,49,54
6:16,2142,Tom Rivard made Layup. Assisted by Nathan Harries.,51,54
6:15,171,Columbia  Timeout,51,54
6:09,171,Foul on Lukas Meisner.,51,54
6:09,171,Lukas Meisner Turnover.,51,54
5:53,2142,Sean O'Brien missed Three Point Jumper.,51,54
5:53,171,Luke Petrasek Defensive Rebound.,51,54
5:45,2142,Foul on Sean O'Brien.,51,54
5:45,171,Nate Hickman made Free Throw.,51,55
5:45,171,Nate Hickman missed Free Throw.,51,55
5:45,2142,Jordan Swopshire Defensive Rebound.,51,55
5:26,2142,Foul on Will Rayman.,51,55
5:26,2142,Will Rayman Turnover.,51,55
5:19,171,Lukas Meisner made Three Point Jumper. Assisted by Mike Smith.,51,58
5:03,2142,Jordan Swopshire made Three Point Jumper.,54,58
4:45,171,Mike Smith made Layup.,54,60
4:31,171,Foul on Rodney Hunter.,54,60
4:31,2142,Will Rayman made Free Throw.,55,60
4:31,2142,Will Rayman made Free Throw.,56,60
4:09,171,Luke Petrasek made Three Point Jumper. Assisted by Rodney Hunter.,56,63
3:47,171,Foul on Rodney Hunter.,56,63
3:47,171,Official TV Timeout,56,63
3:47,2142,Will Rayman made Free Throw.,57,63
3:47,2142,Will Rayman made Free Throw.,58,63
3:36,171,Nate Hickman missed Jumper.,58,63
3:36,2142,Francisco Amiel Block.,58,63
3:33,171,Lukas Meisner Offensive Rebound.,58,63
3:17,171,Nate Hickman missed Layup.,58,63
3:17,171,Luke Petrasek Offensive Rebound.,58,63
3:16,171,Luke Petrasek made Two Point Tip Shot.,58,65
3:05,171,Foul on Quinton Adlesh.,58,65
3:05,2142,Nathan Harries made Free Throw.,59,65
3:05,2142,Nathan Harries made Free Throw.,60,65
2:55,171,Foul on Lukas Meisner.,60,65
2:55,171,Lukas Meisner Turnover.,60,65
2:43,2142,Will Rayman missed Three Point Jumper.,60,65
2:43,171,Luke Petrasek Defensive Rebound.,60,65
2:08,171,Luke Petrasek missed Jumper.,60,65
2:08,2142,Nathan Harries Defensive Rebound.,60,65
