Buffalo,2692,Weber State,2084
6:50,2084,Ikenna Smart Offensive Rebound.,17,8
6:45,2084,Ikenna Smart made Layup.,19,8
6:14,2084,Foul on Dontay Caruthers.,19,8
6:14,2692,Cody John made Free Throw.,19,9
6:14,2692,Cody John made Free Throw.,19,10
6:14,2084,Dontay Caruthers missed Layup.,19,10
6:14,2692,Jeremy Senglin Defensive Rebound.,19,10
6:10,2692,Dusty Baker made Three Point Jumper. Assisted by Cody John.,19,13
5:37,2692,Foul on Jeremy Senglin.,19,13
5:27,2084,Davonta Jordan made Layup.,21,13
5:16,2692,Cody John missed Three Point Jumper.,21,13
5:16,2084,Ikenna Smart Defensive Rebound.,21,13
5:05,2084,Willie Conner missed Layup.,21,13
5:05,2692,Kyndahl Hill Defensive Rebound.,21,13
4:58,2692,Richaud Gittens missed Three Point Jumper.,21,13
4:58,2692,Dusty Baker Offensive Rebound.,21,13
4:46,2692,Jeremy Senglin missed Three Point Jumper.,21,13
4:46,2084,Ikenna Smart Defensive Rebound.,21,13
4:35,2084,Blake Hamilton made Three Point Jumper.,24,13
4:15,2692,Cody John made Layup. Assisted by Jeremy Senglin.,24,15
3:51,2084,Davonta Jordan Turnover.,24,15
3:51,2692,Dusty Baker Steal.,24,15
3:51,2692,Official TV Timeout,24,15
3:32,2692,Dusty Baker missed Layup.,24,15
3:32,2084,Blake Hamilton Block.,24,15
3:32,2084,Buffalo Defensive Rebound.,24,15
3:15,2084,David Kadiri made Layup. Assisted by Blake Hamilton.,26,15
2:59,2692,Jeremy Senglin missed Layup.,26,15
2:59,2692,Kyndahl Hill Offensive Rebound.,26,15
2:56,2692,Kyndahl Hill made Dunk.,26,17
2:38,2084,Dontay Caruthers Turnover.,26,17
2:35,2692,Dusty Baker Steal.,26,17
2:33,2692,Jeremy Senglin made Layup. Assisted by Dusty Baker.,26,19
2:06,2084,Blake Hamilton Turnover.,26,19
2:05,2692,Ryan Richardson Steal.,26,19
2:01,2692,Cody John made Layup. Assisted by Ryan Richardson.,26,21
1:58,2084,Buffalo  Timeout,26,21
1:51,2084,Blake Hamilton missed Three Point Jumper.,26,21
1:51,2084,Willie Conner Offensive Rebound.,26,21
1:47,2084,Davonta Jordan missed Three Point Jumper.,26,21
1:47,2692,Weber State Defensive Rebound.,26,21
1:27,2692,Ryan Richardson missed Three Point Jumper.,26,21
1:27,2692,Dusty Baker Offensive Rebound.,26,21
1:20,2692,Dusty Baker made Layup.,26,23
1:07,2084,Davonta Jordan made Layup.,28,23
0:48,2692,Kyndahl Hill missed Layup.,28,23
0:48,2084,Nick Perkins Defensive Rebound.,28,23
0:36,2084,Nick Perkins missed Three Point Jumper.,28,23
0:36,2692,Kyndahl Hill Defensive Rebound.,28,23
0:26,2692,Weber State  Timeout,28,23
0:04,2692,Jeremy Senglin made Three Point Jumper. Assisted by Dusty Baker.,28,26
0:01,2084,Ikenna Smart made Dunk. Assisted by Davonta Jordan.,30,26
0:00,2692,End of 1st half,28,26
19:48,2084,Ikenna Smart missed Layup.,30,26
19:48,2692,Weber State Deadball Team Rebound.,30,26
19:48,2084,Foul on Nick Perkins.,30,26
19:30,2692,Zach Braxton Turnover.,30,26
19:29,2084,Blake Hamilton Steal.,30,26
19:27,2692,Foul on McKay Cannon.,30,26
19:27,2084,Blake Hamilton made Free Throw.,31,26
19:27,2084,Blake Hamilton missed Free Throw.,31,26
19:27,2692,Kyndahl Hill Defensive Rebound.,31,26
19:17,2084,Foul on Ikenna Smart.,31,26
19:17,2692,Jeremy Senglin missed Free Throw.,31,26
19:17,2692,Weber State Deadball Team Rebound.,31,26
19:17,2692,Jeremy Senglin made Free Throw.,31,27
19:00,2084,Blake Hamilton Turnover.,31,27
18:59,2692,Cody John Steal.,31,27
18:53,2692,Cody John made Layup.,31,29
18:43,2692,Foul on McKay Cannon.,31,29
18:43,2084,Willie Conner made Free Throw.,32,29
18:43,2084,Willie Conner missed Free Throw.,32,29
18:43,2084,Buffalo Deadball Team Rebound.,32,29
18:43,2084,Willie Conner made Free Throw.,33,29
18:25,2692,Kyndahl Hill Turnover.,33,29
18:24,2084,Blake Hamilton Steal.,33,29
18:21,2084,Willie Conner missed Layup.,33,29
18:21,2084,David Kadiri Offensive Rebound.,33,29
18:19,2084,David Kadiri missed Layup.,33,29
18:19,2692,Weber State Deadball Team Rebound.,33,29
18:18,2084,Foul on David Kadiri.,33,29
18:02,2692,Jeremy Senglin missed Three Point Jumper.,33,29
18:02,2692,Kyndahl Hill Offensive Rebound.,33,29
17:57,2692,Jeremy Senglin made Three Point Jumper. Assisted by Kyndahl Hill.,33,32
17:21,2084,Blake Hamilton missed Three Point Jumper.,33,32
17:21,2692,Jeremy Senglin Defensive Rebound.,33,32
17:17,2692,Cody John made Three Point Jumper. Assisted by Jeremy Senglin.,33,35
16:44,2084,Blake Hamilton Turnover.,33,35
16:33,2084,Foul on Dontay Caruthers.,33,35
16:27,2084,Foul on Raheem Johnson.,33,35
16:18,2692,Cody John made Jumper.,33,37
15:59,2084,Nick Perkins missed Layup.,33,37
15:59,2692,Richaud Gittens Defensive Rebound.,33,37
15:42,2692,Richaud Gittens missed Three Point Jumper.,33,37
15:42,2692,Kyndahl Hill Offensive Rebound.,33,37
15:35,2084,Foul on Ikenna Smart.,33,37
15:35,2692,Official TV Timeout,33,37
15:35,2692,Kyndahl Hill made Free Throw.,33,38
15:35,2692,Kyndahl Hill missed Free Throw.,33,38
15:35,2084,Ikenna Smart Defensive Rebound.,33,38
15:29,2692,Foul on Cody John.,33,38
15:23,2084,Willie Conner Turnover.,33,38
15:21,2692,Cody John Steal.,33,38
15:18,2692,Kyndahl Hill made Dunk. Assisted by Richaud Gittens.,33,40
15:03,2084,Blake Hamilton missed Layup.,33,40
15:03,2084,Nick Perkins Offensive Rebound.,33,40
14:58,2084,Nick Perkins made Layup.,35,40
14:44,2692,Jeremy Senglin missed Three Point Jumper.,35,40
14:44,2084,Buffalo Defensive Rebound.,35,40
14:18,2084,Blake Hamilton made Layup.,37,40
13:53,2692,Zach Braxton made Layup. Assisted by Jeremy Senglin.,37,42
13:53,2084,Foul on Ikenna Smart.,37,42
13:53,2692,Zach Braxton missed Free Throw.,37,42
13:53,2084,Willie Conner Defensive Rebound.,37,42
13:36,2084,Ikenna Smart missed Layup.,37,42
13:36,2084,Nick Perkins Offensive Rebound.,37,42
13:24,2084,Nick Perkins made Layup.,39,42
13:21,2692,Zach Braxton Turnover.,39,42
13:00,2084,Blake Hamilton missed Layup.,39,42
13:00,2084,Blake Hamilton Offensive Rebound.,39,42
12:57,2084,Blake Hamilton made Layup.,41,42
12:39,2692,Dusty Baker made Three Point Jumper. Assisted by Jeremy Senglin.,41,45
12:24,2084,Davonta Jordan missed Layup.,41,45
12:24,2084,Nick Perkins Offensive Rebound.,41,45
12:20,2084,Nick Perkins made Layup.,43,45
12:07,2692,Cody John missed Layup.,43,45
12:07,2692,Kyndahl Hill Offensive Rebound.,43,45
12:05,2084,Foul on Blake Hamilton.,43,45
12:05,2692,Kyndahl Hill made Free Throw.,43,46
12:05,2692,Kyndahl Hill made Free Throw.,43,47
11:51,2084,Blake Hamilton missed Jumper.,43,47
11:51,2692,Jeremy Senglin Defensive Rebound.,43,47
11:41,2692,Richaud Gittens made Layup. Assisted by Jeremy Senglin.,43,49
11:41,2084,Foul on Ikenna Smart.,43,49
11:41,2692,Official TV Timeout,43,49
11:41,2692,Richaud Gittens missed Free Throw.,43,49
11:41,2084,Nick Perkins Defensive Rebound.,43,49
11:14,2084,Nick Perkins missed Layup.,43,49
11:14,2084,David Kadiri Offensive Rebound.,43,49
11:08,2084,David Kadiri missed Layup.,43,49
11:08,2692,Cody John Defensive Rebound.,43,49
10:58,2692,Richaud Gittens missed Three Point Jumper.,43,49
10:58,2084,Davonta Jordan Defensive Rebound.,43,49
10:47,2084,Willie Conner made Layup. Assisted by Davonta Jordan.,45,49
10:47,2692,Foul on Dusty Baker.,45,49
10:47,2084,Willie Conner made Free Throw.,46,49
10:30,2084,Foul on Willie Conner.,46,49
10:30,2692,Jeremy Senglin made Free Throw.,46,50
10:30,2692,Jeremy Senglin made Free Throw.,46,51
10:19,2084,Blake Hamilton missed Layup.,46,51
10:19,2692,Richaud Gittens Defensive Rebound.,46,51
10:13,2692,Jeremy Senglin missed Layup.,46,51
10:13,2084,Blake Hamilton Defensive Rebound.,46,51
10:09,2084,Willie Conner Turnover.,46,51
9:56,2084,Foul on David Kadiri.,46,51
9:56,2692,Kyndahl Hill made Free Throw.,46,52
9:56,2692,Kyndahl Hill made Free Throw.,46,53
9:38,2084,Raheem Johnson missed Layup.,46,53
9:38,2084,Buffalo Deadball Team Rebound.,46,53
9:37,2692,Foul on Jeremy Senglin.,46,53
9:31,2692,Foul on Richaud Gittens.,46,53
9:27,2084,Foul on Willie Conner.,46,53
9:27,2084,Willie Conner Turnover.,46,53
9:10,2692,Jeremy Senglin missed Three Point Jumper.,46,53
9:10,2084,Raheem Johnson Defensive Rebound.,46,53
9:01,2692,Foul on Ryan Richardson.,46,53
9:01,2084,Davonta Jordan missed Free Throw.,46,53
9:01,2692,Dusty Baker Defensive Rebound.,46,53
8:55,2692,Foul on Jeremy Senglin.,46,53
8:55,2692,Jeremy Senglin Turnover.,46,53
8:44,2084,Nick Perkins made Jumper. Assisted by Willie Conner.,48,53
8:26,2692,Kyndahl Hill Turnover.,48,53
8:25,2084,Dontay Caruthers Steal.,48,53
8:19,2084,Nick Perkins Turnover.,48,53
8:16,2692,Ryan Richardson Steal.,48,53
8:14,2692,Richaud Gittens made Layup. Assisted by Ryan Richardson.,48,55
8:14,2084,Foul on Willie Conner.,48,55
8:14,2692,Richaud Gittens made Free Throw.,48,56
7:59,2084,Blake Hamilton made Layup.,50,56
7:36,2692,Kyndahl Hill missed Layup.,50,56
7:36,2084,Raheem Johnson Block.,50,56
7:34,2084,Blake Hamilton Defensive Rebound.,50,56
7:30,2084,Blake Hamilton missed Layup.,50,56
7:30,2084,Raheem Johnson Offensive Rebound.,50,56
7:26,2084,Raheem Johnson made Dunk.,52,56
7:14,2692,McKay Cannon missed Three Point Jumper.,52,56
7:14,2692,Kyndahl Hill Offensive Rebound.,52,56
7:05,2692,Kyndahl Hill made Jumper.,52,58
6:37,2084,Nick Perkins Turnover.,52,58
6:37,2692,Official TV Timeout,52,58
6:28,2692,Jeremy Senglin missed Three Point Jumper.,52,58
6:28,2084,Davonta Jordan Defensive Rebound.,52,58
6:13,2084,Blake Hamilton missed Three Point Jumper.,52,58
6:13,2692,McKay Cannon Defensive Rebound.,52,58
6:10,2084,Foul on Davonta Jordan.,52,58
6:10,2692,McKay Cannon made Free Throw.,52,59
6:10,2692,McKay Cannon made Free Throw.,52,60
5:53,2692,Foul on Cody John.,52,60
5:53,2084,Blake Hamilton made Free Throw.,53,60
5:53,2084,Blake Hamilton made Free Throw.,54,60
5:43,2692,Cody John missed Three Point Jumper.,54,60
5:43,2084,Blake Hamilton Defensive Rebound.,54,60
5:32,2084,Blake Hamilton missed Three Point Jumper.,54,60
5:32,2692,Jeremy Senglin Defensive Rebound.,54,60
5:18,2692,Foul on Kyndahl Hill.,54,60
5:18,2692,Kyndahl Hill Turnover.,54,60
5:06,2084,Blake Hamilton made Layup.,56,60
4:44,2692,Foul on McKay Cannon.,56,60
4:44,2692,McKay Cannon Turnover.,56,60
4:34,2084,Foul on Nick Perkins.,56,60
4:34,2084,Nick Perkins Turnover.,56,60
4:19,2692,Jeremy Senglin Turnover.,56,60
4:11,2692,Foul on Kyndahl Hill.,56,60
4:11,2084,Willie Conner missed Free Throw.,56,60
4:11,2084,Buffalo Deadball Team Rebound.,56,60
4:11,2084,Willie Conner made Free Throw.,57,60
3:52,2692,Dusty Baker made Three Point Jumper. Assisted by Richaud Gittens.,57,63
3:31,2084,Blake Hamilton made Jumper.,59,63
3:14,2692,Jeremy Senglin Turnover.,59,63
3:13,2084,Dontay Caruthers Steal.,59,63
3:11,2084,Dontay Caruthers made Layup.,61,63
2:43,2084,Foul on Blake Hamilton.,61,63
2:43,2692,Official TV Timeout,61,63
2:43,2692,Jeremy Senglin made Free Throw.,61,64
2:43,2692,Jeremy Senglin made Free Throw.,61,65
2:27,2692,Foul on Cody John.,61,65
2:27,2084,Willie Conner made Free Throw.,62,65
2:27,2084,Willie Conner made Free Throw.,63,65
2:27,2084,Willie Conner made Free Throw.,64,65
2:07,2692,Foul on Jeremy Senglin.,64,65
2:07,2692,Jeremy Senglin Turnover.,64,65
1:52,2084,Willie Conner missed Three Point Jumper.,64,65
1:52,2084,Davonta Jordan Offensive Rebound.,64,65
1:39,2084,Davonta Jordan missed Layup.,64,65
1:39,2084,Nick Perkins Offensive Rebound.,64,65
1:35,2084,Nick Perkins made Layup.,66,65
1:10,2692,Kyndahl Hill Turnover.,66,65
1:10,2084,Blake Hamilton Steal.,66,65
1:07,2084,Willie Conner made Layup. Assisted by Blake Hamilton.,68,65
1:07,2692,Foul on Dusty Baker.,68,65
1:07,2084,Willie Conner made Free Throw.,69,65
0:54,2692,Cody John missed Three Point Jumper.,69,65
0:54,2692,Richaud Gittens Offensive Rebound.,69,65
0:43,2692,Richaud Gittens made Layup. Assisted by Dusty Baker.,69,67
0:43,2084,Foul on Blake Hamilton.,69,67
0:43,2692,Richaud Gittens made Free Throw.,69,68
0:36,2084,Buffalo  Timeout,69,68
0:23,2084,Buffalo  Timeout,69,68
0:15,2084,Blake Hamilton made Three Point Jumper. Assisted by Willie Conner.,72,68
0:08,2692,Jeremy Senglin made Three Point Jumper.,72,71
0:08,2692,Weber State  Timeout,72,71
0:05,2692,Foul on Richaud Gittens.,72,71
0:05,2084,Blake Hamilton made Free Throw.,73,71
0:05,2084,Blake Hamilton made Free Throw.,74,71
0:05,2084,Buffalo  Timeout,74,71
0:01,2084,Foul on Dontay Caruthers.,74,71
0:01,2692,Dusty Baker missed Free Throw.,74,71
0:01,2692,Weber State Deadball Team Rebound.,74,71
0:01,2692,Dusty Baker made Free Throw.,74,72
0:01,2692,Dusty Baker missed Free Throw.,74,72
0:01,2084,Blake Hamilton Defensive Rebound.,74,72
0:00,2692,End of Game,74,71
